21_JUMP_STREET.srt 	21_JUMP_STREET_DVS507 	01:20:01,00 --> 01:20:05,50 	his cohort hangs back.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS435 	00:38:10,00 --> 00:38:14,50 	he hangs upside down.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS563 	00:53:13,00 --> 00:53:20,50 	angel hovers in the air beside someone, who hangs upside-down from the ceiling.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS308 	00:58:43,00 --> 00:58:49,50 	she fingers strings of beads hanging from a desk lamp,
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS396 	01:17:17,00 --> 01:17:21,50 	she hangs her head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS228 	00:25:04,00 --> 00:25:09,50 	behind someone, someone hangs her head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS415 	00:47:41,00 --> 00:47:46,50 	crystal chandeliers hang from the ceiling.
ZOMBIELAND.srt 	ZOMBIELAND_DVS545 	01:04:00,00 --> 01:04:05,50 	the sun hangs low in the sky
ZOMBIELAND.srt 	ZOMBIELAND_DVS675 	01:14:58,00 --> 01:15:03,50 	fake bloody animal carcasses hang from the ceiling.
ZOOKEEPER.srt 	ZOOKEEPER_DVS30 	00:04:48,00 --> 00:05:02,50 	someone hangs the tire from a rope on a tree.
ZOOKEEPER.srt 	ZOOKEEPER_DVS292 	01:04:31,00 --> 01:04:35,50 	someone hangs up.
