21_JUMP_STREET.srt 	21_JUMP_STREET_DVS181 	00:31:02,00 --> 00:31:06,50 	she smiles coquettishly.
SPARKLE_2012.srt 	SPARKLE_2012_DVS591 	01:36:39,00 --> 01:36:43,50 	she smiles at someone.
SUPER_8.srt 	SUPER_8_DVS232 	00:39:46,00 --> 00:39:52,50 	someone smiles then makes her face go slack and tilts her head sideways.
SUPER_8.srt 	SUPER_8_DVS333 	00:59:34,00 --> 00:59:40,50 	the camera zooms in on someone's mother's face as she smiles.
SUPER_8.srt 	SUPER_8_DVS492 	01:24:14,00 --> 01:24:20,50 	someone tosses the gun aside and smiles briefly as the creature pauses.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS297 	00:43:29,00 --> 00:43:34,50 	someone's eyes widen, as he smiles broadly.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS702 	01:33:55,00 --> 01:34:00,50 	someone paces, then smiles at someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS703 	01:33:57,00 --> 01:34:01,50 	he smiles back.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS52 	00:12:47,00 --> 00:12:54,50 	someone rises, smiling.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS105 	00:24:54,00 --> 00:25:03,50 	someone smiles to himself.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS143 	00:31:35,00 --> 00:31:40,50 	he smiles at his work.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS196 	00:37:48,00 --> 00:37:58,50 	he smiles.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS319 	01:01:22,00 --> 01:01:28,50 	smiling gently she closes her eyes and lets out a breath.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS369 	01:12:26,00 --> 01:12:31,50 	he smiles down at her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS394 	01:15:39,00 --> 01:15:58,50 	at the airport someone lowers her gaze then smiles at someone again.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS235 	00:46:12,00 --> 00:46:16,50 	he eyes her, smiling.
THE_CALL.srt 	THE_CALL_DVS715 	00:54:38,00 --> 00:54:45,50 	her database searches briefly, then loads a smiling photo of the kidnapper.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS554 	01:21:40,00 --> 01:21:47,50 	someone smiles pleasantly.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS739 	01:43:48,00 --> 01:43:52,50 	he smiles.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS436 	00:52:01,00 --> 00:52:06,50 	he smiles.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS521 	00:57:35,00 --> 00:57:39,50 	now, on the vanger estate someone smiles at the sight of a parked car.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS552 	01:01:56,00 --> 01:02:03,50 	amid the parade spectators someone smiles with a few girlfriends.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS636 	01:09:25,00 --> 01:09:30,50 	he slows to a stop then smiles.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1091 	01:54:34,00 --> 01:54:40,50 	smiling calmly, someone heads into the house.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS70 	00:24:50,00 --> 00:24:54,50 	someone smiles warmly.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS99 	00:34:43,00 --> 00:34:49,50 	smiling at him from her bed, flipping through a magazine.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS168 	00:55:55,00 --> 00:55:59,50 	she smiles.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS198 	01:04:24,00 --> 01:04:28,50 	he smiles gently.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS237 	01:17:40,00 --> 01:17:44,50 	the executives smile.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS273 	01:30:53,00 --> 01:30:59,50 	someone smiles again, genuinely touched by someone's declaration.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS98 	00:31:53,00 --> 00:31:59,50 	drops his gaze then smiles and swings his arms.
THE_VOW.srt 	THE_VOW_DVS58 	00:04:40,00 --> 00:04:46,50 	she smiles, he drops his gaze and grins sheepishly.
THE_VOW.srt 	THE_VOW_DVS172 	00:18:03,00 --> 00:18:08,50 	smiling he collects his belongings.
THE_VOW.srt 	THE_VOW_DVS210 	00:26:48,00 --> 00:26:53,50 	someone smiles wistfully.
THE_VOW.srt 	THE_VOW_DVS467 	01:06:51,00 --> 01:06:57,50 	he smiles at someone and directs her gaze out the windshield.
THE_VOW.srt 	THE_VOW_DVS468 	01:07:02,00 --> 01:07:08,50 	someone unbuttons his shirt and someones smile fades.
THE_VOW.srt 	THE_VOW_DVS491 	01:09:24,00 --> 01:09:28,50 	someone smiles fondly.
THE_VOW.srt 	THE_VOW_DVS513 	01:11:26,00 --> 01:11:31,50 	someone smiles sadly, her eyes welling up.
THE_VOW.srt 	THE_VOW_DVS698 	01:37:33,00 --> 01:37:37,50 	he smiles.
THE_WATCH.srt 	THE_WATCH_DVS454 	01:21:54,00 --> 01:21:58,50 	she smiles at someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS455 	01:44:59,00 --> 01:45:07,50 	the husband smiles.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS108 	00:18:30,00 --> 00:18:35,50 	he smiles at a dark-haired woman strolling by.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS114 	00:20:17,00 --> 00:20:21,50 	he smiles.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS188 	00:36:20,00 --> 00:36:24,50 	he smiles.
THOR.srt 	THOR_DVS63 	00:07:42,00 --> 00:07:50,50 	smiling as he strides past lines of guards, the man casually flips the hammer and points to cheering onlookers.
THOR.srt 	THOR_DVS309 	00:44:56,00 --> 00:44:59,50 	she smiles.
THOR.srt 	THOR_DVS343 	00:51:28,00 --> 00:51:34,50 	smiling at someone, someone momentarily drives off the road.
THOR.srt 	THOR_DVS381 	00:57:02,00 --> 00:57:10,50 	he smiles as he strides toward the hammer.
THOR.srt 	THOR_DVS538 	01:26:11,00 --> 01:26:15,50 	someone smiles slightly.
THOR.srt 	THOR_DVS563 	01:28:28,00 --> 01:28:32,50 	someone smiles broadly.
THOR.srt 	THOR_DVS605 	01:32:28,00 --> 01:32:32,50 	they both smile.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS54 	00:06:49,00 --> 00:06:53,50 	he smiles and they kiss.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS191 	00:25:20,00 --> 00:25:24,50 	she barely smiles.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS359 	00:39:49,00 --> 00:39:55,50 	someone frowns at someone, who smiles meagerly.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS569 	01:03:10,00 --> 01:03:14,50 	the player eyes the boy sheepishly, then smiles.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS726 	01:20:13,00 --> 01:20:21,50 	he smiles at his benched teammates as he passes and they respond with slack-jawed stares.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS747 	01:21:58,00 --> 01:22:02,50 	she awakens and smiles.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS879 	01:33:08,00 --> 01:33:14,50 	elsewhere in the crowd, someone smiles up at the guitarist.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS884 	01:33:33,00 --> 01:33:42,50 	her boyfriend points at someone, smiling warmly.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS892 	01:34:17,00 --> 01:34:22,50 	smiling tearfully, she nods.
TRUE_GRIT.srt 	TRUE_GRIT_DVS55 	00:09:56,00 --> 00:10:01,50 	he smiles and raises his eyebrows.
TRUE_GRIT.srt 	TRUE_GRIT_DVS72 	00:21:01,00 --> 00:21:04,50 	she smiles.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS226 	00:21:12,00 --> 00:21:16,50 	someone smiles uncertainly.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS463 	00:56:48,00 --> 00:56:57,50 	smiling and chatting, they speed down a narrow sun-dappled road in the woods.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS485 	01:01:04,00 --> 01:01:08,50 	someone smiles to herself.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS29 	00:04:20,00 --> 00:04:25,50 	smiling politely, he heads away.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS63 	00:12:01,00 --> 00:12:06,50 	she smiles as she resumes her work.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS94 	00:14:19,00 --> 00:14:23,50 	he smiles wistfully.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS146 	00:25:29,00 --> 00:25:35,50 	someone waves to the blonde girl, who smiles and waves back.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS175 	00:30:12,00 --> 00:30:16,50 	someone smiles a bit.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS245 	00:40:08,00 --> 00:40:17,50 	accepting, he eyes its tidy paper wrapping and smiles up at her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS386 	01:01:09,00 --> 01:01:16,50 	he smiles back, then returns his gaze to the sky.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS482 	01:15:02,00 --> 01:15:09,50 	he glides the cursor across a smiling photo of someone with trees behind her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS614 	01:32:07,00 --> 01:32:14,50 	in the next photo, the smiling beauty stands in the snow in an ankle-length coat.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS736 	01:45:14,00 --> 01:45:21,50 	someone smiles wistfully at the words, nods, and dashes off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS799 	01:53:12,00 --> 01:53:17,50 	she smiles nervously.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS812 	01:54:22,00 --> 01:54:26,50 	she smiles.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS818 	01:54:54,00 --> 01:55:00,50 	smiling, the zookeeper crouches behind her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS822 	01:55:18,00 --> 01:55:24,50 	his eyes crinkle at the corners as he smiles at her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS845 	01:58:29,00 --> 01:58:33,50 	she smiles tenderly at him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS122 	00:13:05,00 --> 00:13:10,50 	someone smiles comfortingly at his fiance.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS281 	00:40:01,00 --> 00:40:11,50 	she smiles at the dashing simon.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS533 	01:14:12,00 --> 01:14:20,50 	later, she smiles at the reflection of her long smooth ponytail and flounces it against her back.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS579 	01:19:47,00 --> 01:19:52,50 	someone smiles sheepishly someone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS612 	01:22:53,00 --> 01:23:00,50 	she grins girlishly at someone, who smiles from his seat among the guests.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS643 	01:29:39,00 --> 01:29:43,50 	someone smiles fondly.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS122 	00:07:57,00 --> 00:08:06,50 	the doctor smiles approvingly at the boy.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS416 	00:36:00,00 --> 00:36:04,50 	someone smiles warmly at him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS433 	00:38:01,00 --> 00:38:07,50 	he smiles pleasurably, then scoots past the group.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS438 	00:38:17,00 --> 00:38:23,50 	smiling warmly, someone steps in close to someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS477 	00:42:41,00 --> 00:42:45,50 	he smiles bitterly.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS496 	00:45:33,00 --> 00:45:37,50 	he smiles.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS103 	00:15:51,00 --> 00:15:56,50 	someone smiles broadly.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS150 	00:26:07,00 --> 00:26:12,50 	he smiles at her and approaches her table.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS165 	00:31:51,00 --> 00:31:55,50 	she smiles and tilts her head.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS279 	00:55:03,00 --> 00:55:09,50 	smiling at one another, they touch glasses then finished their drinks.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS418 	01:20:59,00 --> 01:21:03,50 	she smiles weakly.
ZOMBIELAND.srt 	ZOMBIELAND_DVS523 	01:01:30,00 --> 01:01:35,50 	then smiles through an exhaled laugh.
ZOMBIELAND.srt 	ZOMBIELAND_DVS544 	01:03:58,00 --> 01:04:03,50 	both girls smile as they drive forward.
ZOMBIELAND.srt 	ZOMBIELAND_DVS557 	01:05:30,00 --> 01:05:38,50 	outside, little someone smiles at the wonderland of mini lights decorating trees, buildings, and fences.
ZOMBIELAND.srt 	ZOMBIELAND_DVS739 	01:19:55,00 --> 01:19:59,50 	he smiles.
