21_JUMP_STREET.srt 	21_JUMP_STREET_DVS419 	01:10:56,00 --> 01:11:03,50 	the car peels out dropping the biker and knocking over the motorcycles.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS19 	00:02:46,00 --> 00:03:13,50 	crossing between two rows of workbenches, the sandy-haired man drops a load of shirts.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS166 	00:30:50,00 --> 00:30:55,50 	one agent briefly drops his gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS172 	00:32:20,00 --> 00:32:32,50 	the exotic beauty drops her gaze and someone throws the coat at its owner.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS175 	00:33:05,00 --> 00:33:25,50 	now in an apartment, a hand drops a rabbit's foot key chain by a tabletop sculpture of two racing greyhounds.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS249 	00:46:10,00 --> 00:46:15,50 	glares at him, then drops her gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS497 	01:33:47,00 --> 01:34:00,50 	baby face drops onto his back.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS155 	00:38:42,00 --> 00:38:51,50 	prince someone drops to one knee and prayerfully folds his hands.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS161 	00:39:45,00 --> 00:39:55,50 	someone drops on to one knee.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS328 	01:20:00,00 --> 01:20:08,50 	dropping an iron chandelier on him.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS393 	01:37:23,00 --> 01:37:30,50 	dropping his eyes to the ground, he crouches and plants one hand in the mud.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS428 	01:46:31,00 --> 01:46:37,50 	sword belt dropped from his waist.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS54 	00:09:39,00 --> 00:09:45,50 	he drops a book on the floor then shuts the door behind him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS457 	01:10:06,00 --> 01:10:12,50 	then playfully drops the spoons into the dishwasher.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS580 	01:27:08,00 --> 01:27:13,50 	the writer drops his head on the typewriter.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS644 	01:32:27,00 --> 01:32:32,50 	someone drops to the floor again.
SALT.srt 	SALT_DVS35 	00:07:44,00 --> 00:07:52,50 	drop their cellphones in a metal box and enter an observation area overlooking an interrogation room.
SALT.srt 	SALT_DVS267 	00:47:03,00 --> 00:47:10,50 	someone drops the newspaper by the door and moves away as it smolders.
SALT.srt 	SALT_DVS301 	00:52:47,00 --> 00:52:54,50 	she raises her hands, aiming the gun harmlessly at the ceiling then lets it drop.
SALT.srt 	SALT_DVS375 	01:06:57,00 --> 01:07:12,50 	she checks a corridor for survivors then drops her gaze downstairs.
SALT.srt 	SALT_DVS489 	01:25:03,00 --> 01:25:16,50 	she drops her emptied handgun and raises an automatic rifle.
SANCTUM.srt 	SANCTUM_DVS331 	01:06:14,00 --> 01:06:20,50 	a slack-jawed someone drops his hand on his lap.
SANCTUM.srt 	SANCTUM_DVS511 	01:35:26,00 --> 01:35:33,50 	his father's side, someone drops to his knees and cradles his head in his hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS600 	00:39:57,00 --> 00:40:08,50 	now, a woman with a cloth over her nose and mouth uses a stick to pick up an article of clothing from a pile and drop it into a small fire burning in the middle of a patio.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1193 	01:20:40,00 --> 01:20:45,50 	the fan drops from her grasp.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS37 	00:07:33,00 --> 00:07:42,50 	a tray tips over, dropping a decanter.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS42 	00:08:33,00 --> 00:08:49,50 	he treads toward someone and eyes him uncertainly, then drops his gaze to a small black box.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS52 	00:10:59,00 --> 00:11:11,50 	the boy drops it and the two halves of the outermost nesting doll open.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS120 	00:23:39,00 --> 00:23:45,50 	his jaw drops as
SOUL_SURFER.srt 	SOUL_SURFER_DVS74 	00:24:47,00 --> 00:24:54,50 	she drops the cordless phone and sprints across the room.
SOUL_SURFER.srt 	SOUL_SURFER_DVS93 	00:33:34,00 --> 00:33:38,50 	someone drops his fork.
SOUL_SURFER.srt 	SOUL_SURFER_DVS185 	00:56:05,00 --> 00:56:10,50 	she lets it drop to her chest and blinks back tears.
SUPER_8.srt 	SUPER_8_DVS102 	00:17:23,00 --> 00:17:31,50 	as the front train cars rise into the air and crash into poll, the boys drop the camera and scurry down the platform.
SUPER_8.srt 	SUPER_8_DVS161 	00:25:47,00 --> 00:25:53,50 	later, someone drops the boys off on a street outside someone's house.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS61 	00:08:57,00 --> 00:09:03,50 	behind him a cat pushes open a window and drops inside.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS125 	00:19:48,00 --> 00:19:54,50 	someone drops to the floor as bullets rip through the front door.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS128 	00:20:00,00 --> 00:20:06,50 	the mustached american drops a newspaper as he keels forward,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS161 	00:24:39,00 --> 00:24:43,50 	he drops onto the hood.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS276 	00:40:11,00 --> 00:40:21,50 	meanwhile avoiding the gunfire someone drops to a lower level, then kicks a thug down a staircase.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS282 	00:40:40,00 --> 00:40:50,50 	the lifeboat drops into the ocean with everyone aboard.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS341 	00:52:38,00 --> 00:52:45,50 	the plane drops into a step dive.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS376 	00:56:00,00 --> 00:56:06,50 	kicking his legs he drops onto the back of the plane as it pitches forward.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS380 	00:56:21,00 --> 00:56:32,50 	the propeller slows to a stop then drops off.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS383 	00:56:48,00 --> 00:56:52,50 	someone drops to his knees.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS391 	00:57:55,00 --> 00:58:00,50 	snowy drags a large bone then drops it.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS463 	01:07:36,00 --> 01:07:42,50 	he catches the feather in his mouth then drops it to his hand.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS470 	01:08:38,00 --> 01:08:43,50 	he cuts a rope, dropping a lantern and lighting the gun powder.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS597 	01:21:20,00 --> 01:21:27,50 	he drops the launcher.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS24 	00:05:17,00 --> 00:05:22,50 	someone drops his gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS208 	00:39:17,00 --> 00:39:37,50 	his jaw drops as he spots an eviction notice taped to it.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS49 	00:09:31,00 --> 00:09:36,50 	someone drops his taco on his plate.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS81 	00:15:53,00 --> 00:16:20,50 	in the bathroom, he drops someone's toothbrush in the toilet, then places it back in its holder.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS350 	01:05:08,00 --> 01:05:14,50 	dropping the flag, he dashes over a hill.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS378 	01:11:57,00 --> 01:12:04,50 	someone drops her gaze, fiddling with her silky honey-brown hair.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS406 	01:16:36,00 --> 01:16:40,50 	someone drops by.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS556 	01:39:33,00 --> 01:39:40,50 	someone drops his gun.
THE_CALL.srt 	THE_CALL_DVS920 	01:10:34,00 --> 01:10:40,50 	someone picks up a green rubber glove, then drops it disgustedly.
THE_CALL.srt 	THE_CALL_DVS951 	01:13:14,00 --> 01:13:20,50 	she rubs the broken face of the phone and drops it back on the ground.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS52 	00:11:21,00 --> 00:11:27,50 	hunched forward, someone drops his hollow gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS205 	00:33:35,00 --> 00:33:41,50 	his gaze fixes on someone, then drops morosely.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS351 	00:53:56,00 --> 00:54:02,50 	he drops to his hands and knees, hanging his head low to the ground.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS673 	01:34:14,00 --> 01:34:20,50 	two more cousins drop off folded slips of paper into the wooden bowl.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS205 	00:25:27,00 --> 00:25:33,50 	then drops her bag,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS225 	00:27:12,00 --> 00:27:16,50 	he drops the phone to his side.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS461 	00:53:39,00 --> 00:53:46,50 	jamming a pillow under her hips, he drops her upon it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS469 	00:54:16,00 --> 00:54:22,50 	as her captor drops his pants, she thrashes wrathfully.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS508 	00:57:01,00 --> 00:57:05,50 	unlocking it she drops her keys.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS509 	00:57:03,00 --> 00:57:09,50 	her bag drops onto the floor and her keys and the check plunk onto a table.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS541 	01:01:08,00 --> 01:01:15,50 	moving a box of research materials someone drops some folders and envelopes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS919 	01:42:13,00 --> 01:42:19,50 	our view drops to someone's information right below it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1120 	01:57:30,00 --> 01:57:33,50 	meanwhile, hurrying from the archives someone drops off the keys at the empty security booth.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1306 	02:19:17,00 --> 02:19:22,50 	he drops it on his desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1379 	02:27:57,00 --> 02:28:02,50 	she removes her earrings and lets them drop down a sink's drain.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS224 	01:14:29,00 --> 01:14:34,50 	then drops his head and sighs.
THE_SITTER.srt 	THE_SITTER_DVS97 	00:52:18,00 --> 00:52:23,50 	rolls over and drops the keys in his palms.
THE_VOW.srt 	THE_VOW_DVS110 	00:11:43,00 --> 00:11:52,50 	hurrying up a flight of stairs, someone drops his someone mnemonic menu and pauses to snatch it up.
THE_VOW.srt 	THE_VOW_DVS157 	00:16:28,00 --> 00:16:33,50 	someone drops his dejected gaze.
THE_VOW.srt 	THE_VOW_DVS391 	00:55:07,00 --> 00:55:13,50 	she drops her admonished gaze.
THE_VOW.srt 	THE_VOW_DVS523 	01:13:33,00 --> 01:13:41,50 	in the apartment, someone drops a jacket on a chair and carries a stack of mail to a coffee table.
THE_WATCH.srt 	THE_WATCH_DVS181 	00:32:56,00 --> 00:33:01,50 	he drops the egg and shoves off on his board.
THE_WATCH.srt 	THE_WATCH_DVS335 	00:58:00,00 --> 00:58:05,50 	someone grabs several boxes and drops one.
THE_WATCH.srt 	THE_WATCH_DVS378 	01:06:43,00 --> 01:06:47,50 	she drops out of sight.
THE_WATCH.srt 	THE_WATCH_DVS489 	01:27:30,00 --> 01:27:36,50 	several aliens drop from the ceiling.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS78 	00:23:26,00 --> 00:23:30,50 	he drops his pizza box.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS403 	01:34:49,00 --> 01:34:55,50 	dropping the book on the coffee table,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS454 	01:44:58,00 --> 01:45:02,50 	he drops to one knee.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS57 	00:08:05,00 --> 00:08:10,50 	she drops her face in the towel.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS196 	00:37:38,00 --> 00:37:46,50 	he drops the file in front of someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS230 	00:42:50,00 --> 00:42:55,50 	dropping to the floor, the agent shoot their assailants.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS234 	00:43:10,00 --> 00:43:20,50 	someone drops to the floor as someone shoots.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS299 	00:54:47,00 --> 00:54:54,50 	someone drops onto the roof and throws in a canister.
THOR.srt 	THOR_DVS483 	01:19:03,00 --> 01:19:11,50 	someone drops a coffee mug.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS243 	00:32:06,00 --> 00:32:11,50 	he drops a rolled up dollar.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS246 	00:32:20,00 --> 00:32:26,50 	he drops the rolled up dollar and slides back to retrieve it.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS547 	01:00:24,00 --> 01:00:28,50 	the ref drops the puck.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS572 	01:03:20,00 --> 01:03:24,50 	someone drops his gaze and works his lips.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS659 	01:13:44,00 --> 01:13:48,50 	at a game, a ref drops the puck.
TRUE_GRIT.srt 	TRUE_GRIT_DVS174 	00:38:05,00 --> 00:38:10,50 	then drops a pile of logs on the fire.
TRUE_GRIT.srt 	TRUE_GRIT_DVS223 	00:48:04,00 --> 00:48:08,50 	the corpse drops.
TRUE_GRIT.srt 	TRUE_GRIT_DVS398 	01:19:25,00 --> 01:19:31,50 	someone drops the bucket and it floats away on the water.
TRUE_GRIT.srt 	TRUE_GRIT_DVS572 	01:40:20,00 --> 01:40:24,50 	someone staggers to a halt and drops to his knees.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS264 	00:25:26,00 --> 00:25:31,50 	someone's jaw drops into a gleeful grin.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS210 	00:36:23,00 --> 00:36:31,50 	someone drops his posts, hurdles the fence, and lands in a thicket of nettles.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS236 	00:39:31,00 --> 00:39:39,50 	she drops a stack of invoices in front of him and saunters off in her puppy-appliqued sweatshirt.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS355 	00:57:13,00 --> 00:57:25,50 	he drops back down to 	all fours and sniffs the side mirror.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS373 	00:59:49,00 --> 00:59:56,50 	its door drops shut.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS430 	01:07:52,00 --> 01:07:56,50 	someone drops his knife.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS149 	00:19:01,00 --> 00:19:07,50 	her jaw drops open and she moves his arm off of her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS153 	00:19:12,00 --> 00:19:17,50 	she drops down on her knees.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS444 	01:02:08,00 --> 01:02:17,50 	someone watches as he drops his jeans.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS450 	01:02:51,00 --> 01:03:02,50 	the ball drops in the hoop three times.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS380 	00:32:04,00 --> 00:32:11,50 	someone clutches his head and drops to his knees, as memories of someone torturing him flood his mind.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS625 	00:58:09,00 --> 00:58:15,50 	the russian's eyes close and his head drops.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS797 	01:11:38,00 --> 01:11:44,50 	the mutant lightly taps it and it drops out of the window.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS881 	01:20:28,00 --> 01:20:33,50 	lowering his arms, he drops his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1032 	01:33:17,00 --> 01:33:21,50 	someone drops someone to the floor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1147 	01:42:35,00 --> 01:42:43,50 	someone loses control and the submarine drops to the edge of the sandy shore, landing on its side.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1251 	01:52:52,00 --> 01:52:59,50 	someone lets him drop onto the sand.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS85 	00:12:34,00 --> 00:12:41,50 	someone carries an armful of toiletries into the bathroom and drops them onto the counter.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS162 	00:30:26,00 --> 00:30:31,50 	someone smiles and drops her eyes.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS196 	00:37:54,00 --> 00:37:59,50 	someone drops the figurine.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS386 	01:14:19,00 --> 01:14:24,50 	he drops the sticks then hurries toward someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS69 	00:05:52,00 --> 00:05:59,50 	circling back to his car door, the narrator drops his keys.
ZOMBIELAND.srt 	ZOMBIELAND_DVS140 	00:12:14,00 --> 00:12:20,50 	someone picks one up then drops it.
ZOMBIELAND.srt 	ZOMBIELAND_DVS381 	00:43:35,00 --> 00:43:41,50 	he drops another.
ZOMBIELAND.srt 	ZOMBIELAND_DVS572 	01:06:46,00 --> 01:06:53,50 	someone drops one with a keen shot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS757 	01:21:16,00 --> 01:21:21,50 	someone drops the twinkie remnants.
ZOOKEEPER.srt 	ZOOKEEPER_DVS97 	00:20:29,00 --> 00:20:34,50 	a wire basket drops from his hand.
ZOOKEEPER.srt 	ZOOKEEPER_DVS99 	00:20:55,00 --> 00:21:00,50 	he drops into the rock ledge and lands on his back.
ZOOKEEPER.srt 	ZOOKEEPER_DVS380 	01:24:04,00 --> 01:24:09,50 	dropping to one knee, someone falters then straightens.
