21_JUMP_STREET.srt 	21_JUMP_STREET_DVS175 	00:30:14,00 --> 00:30:19,50 	a text, meet at yearbook.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS395 	01:02:55,00 --> 01:03:01,50 	someone meets her friendly gaze and gives a thoughtful look.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS470 	01:14:10,00 --> 01:14:15,50 	spar meets his pleading gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS492 	01:16:21,00 --> 01:16:27,50 	the aging tiger wearily meets his gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS535 	01:21:27,00 --> 01:21:33,50 	someone meets her attentive gaze, then shakes his head wistfully.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS703 	01:42:11,00 --> 01:42:18,50 	someone primps her hair, then wheels around to meet someone with a big smile.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS821 	01:55:15,00 --> 01:55:20,50 	someone meets her gaze with a grateful look.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS649 	01:30:42,00 --> 01:30:50,50 	someone steps forward to meet someone as she approaches.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS64 	00:05:03,00 --> 00:05:09,50 	someone eyes the chocolate, licks his lips, then meets the man's gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS738 	01:07:03,00 --> 01:07:09,50 	someone smiles and meets him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS884 	01:20:45,00 --> 01:20:50,50 	his eyes close briefly, then meet someone's.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1336 	02:02:20,00 --> 02:02:26,50 	she leans down, meeting his gaze squarely.
ZOMBIELAND.srt 	ZOMBIELAND_DVS208 	00:22:32,00 --> 00:22:39,50 	wielding the banjo like a club, someone rushes to meet it.
ZOMBIELAND.srt 	ZOMBIELAND_DVS292 	00:32:50,00 --> 00:32:56,50 	the hummer pulls forward and someone strides back to meet it.
ZOMBIELAND.srt 	ZOMBIELAND_DVS727 	01:18:59,00 --> 01:19:05,50 	as he pulls away, she meets his gaze with a smile.
ZOOKEEPER.srt 	ZOOKEEPER_DVS260 	00:56:43,00 --> 00:56:49,50 	as someone's eyes meet his, he quickly looks away.
ZOOKEEPER.srt 	ZOOKEEPER_DVS340 	01:16:18,00 --> 01:16:22,50 	she meets his gaze.
