21_JUMP_STREET.srt 	21_JUMP_STREET_DVS642 	01:37:01,00 --> 01:37:15,50 	he puts gunpowder from the shells and two lithium batteries from someone's digital camera in a liquor bottle.
SPARKLE_2012.srt 	SPARKLE_2012_DVS397 	01:07:38,00 --> 01:07:43,50 	someone puts a steadying hand on it.
SPARKLE_2012.srt 	SPARKLE_2012_DVS406 	01:08:41,00 --> 01:08:46,50 	putting her arms around him.
SUPER_8.srt 	SUPER_8_DVS433 	01:18:03,00 --> 01:18:08,50 	someone puts the locket in his own pocket.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS551 	01:17:05,00 --> 01:17:09,50 	someone puts his fingers in his ears.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS184 	00:36:35,00 --> 00:36:40,50 	she puts on a three quarter sleeve baseball t.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS320 	01:01:39,00 --> 01:01:48,50 	someone puts his arm around her and kisses her.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS292 	00:54:03,00 --> 00:54:09,50 	she stays put.
THE_CALL.srt 	THE_CALL_DVS156 	00:12:56,00 --> 00:13:00,50 	she puts her face in her hands.
THE_CALL.srt 	THE_CALL_DVS303 	00:25:55,00 --> 00:26:00,50 	the trainees observe as someone puts on a headset.
THE_CALL.srt 	THE_CALL_DVS756 	00:57:22,00 --> 00:57:28,50 	he lowers her to the ground, covers her mouth, and puts the phone to his ear.
THE_CALL.srt 	THE_CALL_DVS970 	01:14:18,00 --> 01:14:23,50 	putting a foot on the ladder, someone descends into the underground chamber.
THE_CALL.srt 	THE_CALL_DVS1057 	01:19:59,00 --> 01:20:05,50 	someone puts her hand over her mouth.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS110 	00:19:14,00 --> 00:19:21,50 	a partition slides down, revealing a groggy teen girl putting on glasses.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS716 	01:40:05,00 --> 01:40:10,50 	she puts on her shoes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS120 	00:11:47,00 --> 00:11:52,50 	someone checks her cell phone then puts it down.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS170 	00:20:20,00 --> 00:20:25,50 	young someone puts on a prep school blazer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS248 	00:29:09,00 --> 00:29:15,50 	he puts on glasses and crouches over the files.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS391 	00:46:54,00 --> 00:47:00,50 	and he forces her to bend forward putting her face in his lap.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS473 	00:54:38,00 --> 00:54:46,50 	looming over her someone puts on the condom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS558 	01:02:20,00 --> 01:02:26,50 	stopping, he puts on his glasses and consults the photo.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS655 	01:11:23,00 --> 01:11:32,50 	then puts on his reading glasses, picks up someone's bible and flips to leviticus chapters 3-4.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS691 	01:16:26,00 --> 01:16:32,50 	in her bedroom someone puts on an oversized t-shirt.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS730 	01:20:57,00 --> 01:21:03,50 	it rolls off the side but he catches it and puts it back.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS928 	01:43:21,00 --> 01:43:27,50 	as its gate lowers the manager puts on white cotton gloves.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1072 	01:53:09,00 --> 01:53:16,50 	he scrambles to a recess and puts his back to a pair of doors.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1289 	02:15:53,00 --> 02:15:58,50 	she averts her gaze and he puts it away.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS248 	01:22:37,00 --> 01:22:41,50 	she puts on some lipstick.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS125 	00:39:09,00 --> 00:39:12,50 	he puts on his jacket.
THE_VOW.srt 	THE_VOW_DVS247 	00:30:59,00 --> 00:31:06,50 	as someone puts on a bra, her naked husband straggles by, rubbing his eyes.
THE_VOW.srt 	THE_VOW_DVS410 	00:57:03,00 --> 00:57:10,50 	someone puts down his shoulder satchel and regards someone with a wounded expression.
THE_VOW.srt 	THE_VOW_DVS444 	01:04:01,00 --> 01:04:09,50 	now, at home, someone puts on a dark blazer over a muted blue button down, then picks up a tie.
THE_VOW.srt 	THE_VOW_DVS554 	01:15:30,00 --> 01:15:36,50 	someone puts down his glass, someone does the same.
THE_VOW.srt 	THE_VOW_DVS694 	01:36:27,00 --> 01:36:33,50 	she stops and puts her hands in her coat pockets.
THE_WATCH.srt 	THE_WATCH_DVS141 	00:27:14,00 --> 00:27:19,50 	the fat cop puts his hands up.
THE_WATCH.srt 	THE_WATCH_DVS314 	00:54:56,00 --> 00:55:01,50 	someone puts it in a choke hold.
THE_WATCH.srt 	THE_WATCH_DVS474 	01:25:32,00 --> 01:25:40,50 	someone put two more bullets in the alien as he trots past.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS285 	00:52:54,00 --> 00:52:59,50 	he puts the dog back in its cage.
THOR.srt 	THOR_DVS258 	00:35:22,00 --> 00:35:28,50 	someone starts the truck, puts it into reverse, and backs into someone.
THOR.srt 	THOR_DVS385 	00:57:30,00 --> 00:57:35,50 	the large agent puts someone into a headlock,
THOR.srt 	THOR_DVS525 	01:24:24,00 --> 01:24:29,50 	someone puts one hand on the side of someone's face.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS117 	00:13:28,00 --> 00:13:32,50 	someone puts on a beaming smile.
TRUE_GRIT.srt 	TRUE_GRIT_DVS39 	00:05:46,00 --> 00:05:51,50 	a bag's put over his head.
TRUE_GRIT.srt 	TRUE_GRIT_DVS100 	00:24:36,00 --> 00:24:40,50 	he puts his pipe on a side table.
TRUE_GRIT.srt 	TRUE_GRIT_DVS126 	00:32:49,00 --> 00:32:56,50 	at the boarding house, she puts on her father's coat and rolls up the sleeves.
TRUE_GRIT.srt 	TRUE_GRIT_DVS147 	00:35:19,00 --> 00:35:24,50 	someone puts a cigarette in his mouth and lights it.
TRUE_GRIT.srt 	TRUE_GRIT_DVS260 	00:53:37,00 --> 00:53:45,50 	someone raises his hand to someone who puts someone's coat over the chimney top, stifling the smoke.
TRUE_GRIT.srt 	TRUE_GRIT_DVS408 	01:20:58,00 --> 01:21:05,50 	she shoots him as he starts towards her and the recoil puts her on her backside in the water.
TRUE_GRIT.srt 	TRUE_GRIT_DVS447 	01:28:28,00 --> 01:28:34,50 	he pounces, pinning her to the ground and putting a knife to her throat.
TRUE_GRIT.srt 	TRUE_GRIT_DVS461 	01:30:54,00 --> 01:30:59,50 	another puts a bullet through someone's shoulder.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS215 	00:18:11,00 --> 00:18:15,50 	someone puts his arm around someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS321 	00:34:47,00 --> 00:34:51,50 	someone puts someone on hold.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS411 	00:50:05,00 --> 00:50:15,50 	later someone puts on lipstick at a mirror.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS135 	00:24:16,00 --> 00:24:22,50 	someone puts it in a donations box.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS304 	00:48:18,00 --> 00:48:22,50 	someone tries to put one in a bucket.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS458 	01:11:53,00 --> 01:12:00,50 	someone grabs onto the back of his belt and he puts an arm around her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS73 	00:06:13,00 --> 00:06:19,50 	with a sheepish gaze her boss slowly swivels his chair around, putting his back to her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS268 	00:38:46,00 --> 00:38:51,50 	he puts a sandwich down.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS334 	00:48:44,00 --> 00:48:49,50 	he helps her put a foot in the stirrups.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS503 	01:12:10,00 --> 01:12:15,50 	someone puts his hands on his hips and hangs his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS135 	00:08:44,00 --> 00:08:52,50 	the doctor comes over, puts an arm around him, and surveys the devastated medical lab.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS473 	00:42:11,00 --> 00:42:15,50 	someone puts it in a briefcase.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1085 	01:37:51,00 --> 01:37:56,50 	he puts on his helmet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1230 	01:50:39,00 --> 01:50:43,50 	someone puts on the helmet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1323 	02:00:05,00 --> 02:00:10,50 	while someone, someone, and beast stay put across the beach
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS136 	00:23:56,00 --> 00:24:02,50 	she puts on eye shadow and powders her face with a make-up sponge.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS320 	00:59:29,00 --> 00:59:35,50 	putting it on, she strolls down a hallway
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS344 	01:07:00,00 --> 01:07:06,50 	she applies lipstick, puts on pearl earrings.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS391 	01:16:19,00 --> 01:16:23,50 	someone puts his arm around someone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS423 	01:21:38,00 --> 01:21:43,50 	someone puts on her stained dress and sweater.
ZOMBIELAND.srt 	ZOMBIELAND_DVS460 	00:53:28,00 --> 00:53:34,50 	someone puts on his scraggly wig and plods ahead like a zombie.
ZOOKEEPER.srt 	ZOOKEEPER_DVS257 	00:56:28,00 --> 00:56:34,50 	someone puts his hand in hers.
