21_JUMP_STREET.srt 	21_JUMP_STREET_DVS134 	00:22:08,00 --> 00:22:14,50 	he drives toward someone who nimbly rolls over the hood and lands safely on the ground.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS88 	00:30:01,00 --> 00:30:06,50 	someone rolls his eyes.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS162 	00:54:26,00 --> 00:54:30,50 	someone rolls her eyes.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS250 	01:22:58,00 --> 01:23:05,50 	someone parks by the side of the road and rolls down his window.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS279 	01:31:37,00 --> 01:31:48,50 	the end credits start to roll over the scene, as a man pushes his mother on a wheelchair, and a teenager offers his mom a sip from his juice box.
THE_WATCH.srt 	THE_WATCH_DVS48 	00:06:10,00 --> 00:06:17,50 	a single d battery rolls to a puddle of green slime under his foot.
THE_WATCH.srt 	THE_WATCH_DVS123 	00:20:46,00 --> 00:20:52,50 	someone holds the rolled up magazine to his eye and looks someone over.
THE_WATCH.srt 	THE_WATCH_DVS139 	00:26:58,00 --> 00:27:05,50 	from the passenger seat, someone motions to someone to roll down the window.
THE_WATCH.srt 	THE_WATCH_DVS173 	00:32:18,00 --> 00:32:25,50 	now, the kid skates out of the station and rolls down an empty street passed closed storefronts.
THE_WATCH.srt 	THE_WATCH_DVS318 	00:55:26,00 --> 00:55:31,50 	someone rolls off the broken glass on the pool table.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS53 	00:13:16,00 --> 00:13:28,50 	the successful business woman crosses paths with her and rolls her eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS136 	00:37:07,00 --> 00:37:11,50 	she rolls her eyes.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS127 	00:23:40,00 --> 00:23:45,50 	she rolls her eyes and he walks off with a grin.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS153 	00:29:40,00 --> 00:29:48,50 	then they roll into the middle and lie side by side.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS432 	01:17:37,00 --> 01:17:49,50 	someone sends someone rolling over a table then throws a knife into a leather chair by someone's head.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS483 	01:24:48,00 --> 01:24:56,50 	the blast sends the suv rolling sideways toward the road's unfinished end.
THOR.srt 	THOR_DVS64 	00:07:51,00 --> 00:07:57,50 	nearby, a brunette woman rolls her eyes.
THOR.srt 	THOR_DVS195 	00:25:34,00 --> 00:25:40,50 	the beast's eyes roll backward as it collapses onto the ground.
THOR.srt 	THOR_DVS226 	00:30:28,00 --> 00:30:33,50 	he rolls onto his back and falls still.
THOR.srt 	THOR_DVS461 	01:16:14,00 --> 01:16:19,50 	someone rolls his eyes.
THOR.srt 	THOR_DVS641 	01:37:15,00 --> 01:37:21,50 	he leaps and drives the point of his spear into the floor just as someone rolls away.
THOR.srt 	THOR_DVS649 	01:37:41,00 --> 01:37:47,50 	someone rolls off the side of the bridge and hangs from the edge by his fingertips.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS84 	00:10:14,00 --> 00:10:18,50 	he rolls onto his back.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS124 	00:14:09,00 --> 00:14:14,50 	he rolls his shoulders and someone glances at the crowd.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS203 	00:26:36,00 --> 00:26:40,50 	someone rolls his eyes.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS243 	00:32:06,00 --> 00:32:11,50 	he drops a rolled up dollar.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS244 	00:32:09,00 --> 00:32:15,50 	in someone's hands, the dollar is the size of a rolled up poster.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS246 	00:32:20,00 --> 00:32:26,50 	he drops the rolled up dollar and slides back to retrieve it.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS281 	00:34:40,00 --> 00:34:45,50 	with a quick glance over his shoulder, he leaves the rolled up dollar someone in its place.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS287 	00:35:09,00 --> 00:35:14,50 	he rolls off and shakes out his arms.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS429 	00:45:48,00 --> 00:45:54,50 	he rolls his eyes as he leaves someone by himself.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS745 	01:21:46,00 --> 01:21:52,50 	then slides a rolled up someone under the pillow.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS779 	01:23:36,00 --> 01:23:41,50 	rolling over, someone scowls and removes his ear buds.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS785 	01:24:18,00 --> 01:24:23,50 	blinking tearfully, he rolls over and props himself up on his elbows.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS853 	01:30:54,00 --> 01:31:00,50 	someone rolls her eyes, then sprinkles someone with amnesia dust.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS890 	01:34:00,00 --> 01:34:05,50 	she stares, then rolls her head in a double take.
TRUE_GRIT.srt 	TRUE_GRIT_DVS74 	00:21:11,00 --> 00:21:15,50 	she rolls a cigarette.
TRUE_GRIT.srt 	TRUE_GRIT_DVS121 	00:30:43,00 --> 00:30:48,50 	she rolls him a cigarette.
TRUE_GRIT.srt 	TRUE_GRIT_DVS126 	00:32:49,00 --> 00:32:56,50 	at the boarding house, she puts on her father's coat and rolls up the sleeves.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS189 	00:15:27,00 --> 00:15:33,50 	someone rolls her eyes and storms out.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS434 	00:53:07,00 --> 00:53:11,50 	the remote rolls out.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS460 	00:56:10,00 --> 00:56:16,50 	someone rolls her eyes, then looks back at their table.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS465 	00:57:09,00 --> 00:57:20,50 	an aerial view shows the road winding over rolling wooded hills.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS658 	01:31:13,00 --> 01:31:19,50 	someone rolls off of her and flips on a lamp.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS176 	00:30:17,00 --> 00:30:21,50 	someone rolls his eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS625 	01:32:44,00 --> 01:32:57,50 	another tear rolls down someone's cheek.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS763 	01:48:34,00 --> 01:48:41,50 	the zoo owner rolls over and finds sunlight peeking in between his curtains.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS236 	00:31:23,00 --> 00:31:29,50 	someone rolls her eyes in a good-humored sneer, then steps away.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS480 	01:07:21,00 --> 01:07:27,50 	then rolls on her back and reaches for the brush on her nightstand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS461 	00:41:26,00 --> 00:41:33,50 	someone rolls up her sleeve and swabs at a patch of her skin with a cotton ball.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1156 	01:43:10,00 --> 01:43:19,50 	someone hits the floor and someone covers him, securing them both to the metal hull as the jet rolls upside-down.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1299 	01:57:09,00 --> 01:57:16,50 	someone grimaces as someone extracts the bullet, which rolls into his palm.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS197 	00:38:02,00 --> 00:38:10,50 	someone drives slowly through a suburban neighborhood then rolls to a stop across the street from a two-story house.
ZOMBIELAND.srt 	ZOMBIELAND_DVS477 	00:55:47,00 --> 00:55:51,50 	they roll someone off the mansion balcony.
ZOMBIELAND.srt 	ZOMBIELAND_DVS592 	01:08:39,00 --> 01:08:47,50 	as someone rolls out of someone's garage, someone stares solemnly after him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS595 	01:08:57,00 --> 01:09:02,50 	he rolls down the passenger side window.
ZOMBIELAND.srt 	ZOMBIELAND_DVS736 	01:19:38,00 --> 01:19:45,50 	he swallows then shifts his attention to little someone who rolls her eyes.
ZOOKEEPER.srt 	ZOOKEEPER_DVS30 	00:04:48,00 --> 00:05:02,50 	he rolls the tire into a barren habitat.
ZOOKEEPER.srt 	ZOOKEEPER_DVS307 	01:07:50,00 --> 01:07:56,50 	finding someone outside, he rolls down his window.
ZOOKEEPER.srt 	ZOOKEEPER_DVS308 	01:08:25,00 --> 01:08:34,50 	as he rolls his window back up, someone frowns slightly.
