21_JUMP_STREET.srt 	21_JUMP_STREET_DVS254 	00:43:31,00 --> 00:43:39,50 	now in his old room, someone nervously taps a cordless phone against his palm, then makes a call.
THE_VOW.srt 	THE_VOW_DVS532 	01:14:00,00 --> 01:14:07,50 	the newlyweds joyfully make their way up a narrow aisle between the well-wishers.
THE_VOW.srt 	THE_VOW_DVS659 	01:31:16,00 --> 01:31:23,50 	making sketches that resemble the treelike sculptures in her former studio.
THE_WATCH.srt 	THE_WATCH_DVS99 	00:12:37,00 --> 00:12:43,50 	the young man flips his knife around, then makes a stabbing gesture.
THE_WATCH.srt 	THE_WATCH_DVS297 	00:53:34,00 --> 00:53:40,50 	someone gropes the alien's butt, then pretends to make out with it.
THE_WATCH.srt 	THE_WATCH_DVS367 	01:04:22,00 --> 01:04:28,50 	two couples make out in front of some bushes where someone and someone hide.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS262 	01:09:13,00 --> 01:09:17,50 	someone makes a call.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS307 	01:20:28,00 --> 01:20:33,50 	now someone and someone make out in his car.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS529 	01:56:02,00 --> 01:56:13,50 	later, leslie spins past someone and makes a shot.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS201 	00:39:33,00 --> 00:39:40,50 	now in a stylish home, someone dances in a kitchen as she makes microwave popcorn.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS258 	00:48:23,00 --> 00:48:32,50 	behind his back, he discreetly draws a gun then makes a show of resting his hand behind someone's seat back.
THOR.srt 	THOR_DVS85 	00:11:02,00 --> 00:11:08,50 	a spiked grid dissolves and releases a faceless guardian made of ribbed armor.
THOR.srt 	THOR_DVS129 	00:18:43,00 --> 00:18:51,50 	staying close together, the warriors make their way over uneven shelves of fractured ice.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS43 	00:05:52,00 --> 00:05:56,50 	the girl makes fangs.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS57 	00:07:13,00 --> 00:07:17,50 	someone makes a face.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS248 	00:32:29,00 --> 00:32:38,50 	with the dollar strapped to his back, he cautiously tiptoes across a hardwood floor, making his way past a looming dining table.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS725 	01:20:11,00 --> 01:20:16,50 	someone makes another turn and gathers speed.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS90 	00:10:05,00 --> 00:10:10,50 	with a disgusted gape, someone makes a phone call.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS60 	00:11:34,00 --> 00:11:41,50 	she combines the slices to make two sandwiches, then grabs storage bags.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS294 	00:46:49,00 --> 00:46:54,50 	someone makes a heart shape with her hands.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS321 	00:52:19,00 --> 00:52:24,50 	he dramatically makes a fist.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS330 	00:53:30,00 --> 00:53:34,50 	someone makes a note.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS356 	00:57:30,00 --> 00:57:42,50 	as the bear trudges away, someone makes a call.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS371 	00:59:17,00 --> 00:59:21,50 	someone makes a call.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS502 	01:17:46,00 --> 01:17:51,50 	he carefully makes his way down.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS617 	01:32:15,00 --> 01:32:24,50 	someone making a goofy face behind a seated someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS686 	01:39:52,00 --> 01:40:01,50 	at buster's enclosure, someone makes notes.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS114 	00:11:26,00 --> 00:11:32,50 	the drunk young woman reluctantly makes her way to the center of the party.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS190 	00:22:40,00 --> 00:22:46,50 	now at a bakery, someone makes notes at a table.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS454 	01:03:08,00 --> 01:03:12,50 	he makes a layup.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS575 	01:19:21,00 --> 01:19:30,50 	tumbling down beside someone and someone, someone and someone make out.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS621 	01:24:59,00 --> 01:25:08,50 	the other bridesmaids quickly join in, making it a group hug as the sisters' father snaps a photo.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS651 	01:30:58,00 --> 01:31:05,50 	someone wedges between the bride and groom, making someone spill his champagne.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS193 	00:14:49,00 --> 00:14:55,50 	someone uses the banker's watch to stop his arm, then makes him smack himself.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS649 	00:59:40,00 --> 00:59:45,50 	making it squeeze even tighter.
ZOMBIELAND.srt 	ZOMBIELAND_DVS171 	00:16:59,00 --> 00:17:06,50 	he makes repeated efforts, smashing her ankle until a bone juts out.
ZOMBIELAND.srt 	ZOMBIELAND_DVS439 	00:49:56,00 --> 00:50:01,50 	now the oxfords make their way down a hall.
ZOMBIELAND.srt 	ZOMBIELAND_DVS574 	01:06:57,00 --> 01:07:03,50 	as someone pegs another, little someone barely makes it into the passenger seat.
