21_JUMP_STREET.srt 	21_JUMP_STREET_DVS178 	00:30:27,00 --> 00:30:36,50 	yeah you are dumbass.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS62 	00:04:34,00 --> 00:04:40,50 	miss someone is on her bike and was hit by a taxi.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS159 	00:11:56,00 --> 00:12:01,50 	someone's bag is at reception.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS175 	00:12:57,00 --> 00:13:03,50 	this is the story of someone and someone,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS274 	00:18:36,00 --> 00:18:47,50 	the temple of gupo fair is a holy place.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS274 	00:18:36,00 --> 00:18:47,50 	we are here today in front of gupo to write your laotong contract and make your vows of eternal commitment.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS456 	00:30:05,00 --> 00:30:10,50 	this is a new interactive nu shu program.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS700 	00:45:51,00 --> 00:45:56,50 	she isn't even studying for the college entrance exam.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS869 	00:57:44,00 --> 00:57:48,50 	the taiping rebels are coming.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1094 	01:14:47,00 --> 01:14:52,50 	so much has happened in the years we were apart.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1125 	01:16:45,00 --> 01:16:50,50 	there are things about men you someone never know.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1126 	01:16:48,00 --> 01:16:53,50 	there are matters you do not understand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1131 	01:17:01,00 --> 01:17:05,50 	the rebels have been stopped.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1182 	01:19:59,00 --> 01:20:06,50 	three sworn sisters in jintian have promised to love me as i am.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1309 	01:30:25,00 --> 01:30:30,50 	his locker number is 173.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1344 	01:32:14,00 --> 01:32:21,50 	the end of this story is about things of the heart that someone never change.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1350 	01:32:33,00 --> 01:32:38,50 	my mother is very sick.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1359 	01:33:02,00 --> 01:33:07,50 	for ten years, she was only their teacher.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1419 	01:36:33,00 --> 01:36:37,50 	the world is always changing.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1421 	01:36:39,00 --> 01:36:44,50 	everything in life is changing.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1451 	01:38:23,00 --> 01:38:28,50 	whose eyes are closed.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1464 	01:39:00,00 --> 01:39:06,50 	and we someone be sisters for 10,000 years.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS21 	00:04:40,00 --> 00:04:54,50 	someone draws on his window a picture of a gorilla being attacked by three airplanes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS25 	00:05:28,00 --> 00:05:35,50 	i would like to be someone's friend or girl
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS164 	00:32:26,00 --> 00:32:31,50 	subtitles appear your hair is beautiful.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS188 	00:36:31,00 --> 00:36:38,50 	as two cops approach, someone and someone are suddenly dressed as policemen.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS251 	00:50:21,00 --> 00:50:40,50 	later, he descends the spiral stairway into the basement, which is now stocked with boxes and printing supplies.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS252 	00:50:38,00 --> 00:50:49,50 	he gingerly unrolls it to reveal an arcane depiction of a spell being cast.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS385 	01:21:26,00 --> 01:21:33,50 	abigail is dead.
SUPER_8.srt 	SUPER_8_DVS188 	00:31:19,00 --> 00:31:25,50 	on a grassy hill, someone fires a cap gun at someone who is dressed like a zombie.
SUPER_8.srt 	SUPER_8_DVS267 	00:45:15,00 --> 00:45:21,50 	he peers through the trees but the junkyard is shrouded in darkness.
SUPER_8.srt 	SUPER_8_DVS285 	00:51:15,00 --> 00:51:25,50 	as someone storms toward the house someone points to her chest and mouths, "was it me?"
SUPER_8.srt 	SUPER_8_DVS329 	00:59:09,00 --> 00:59:13,50 	later, the boy is about kindergarten age
SUPER_8.srt 	SUPER_8_DVS375 	01:05:45,00 --> 01:05:52,50 	high above them a small dent is punched into the water tank's side.
SUPER_8.srt 	SUPER_8_DVS389 	01:09:25,00 --> 01:09:31,50 	the two boys are swept along with the crowd as soldiers herd them into a large waiting area.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS83 	00:11:58,00 --> 00:12:04,50 	someone steps toward the counter, but the ship is missing.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS86 	00:12:22,00 --> 00:12:27,50 	he tugs on the gates handles, but they are locked with a chain.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS109 	00:15:28,00 --> 00:15:32,50 	the ship's center mast is unbroken.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS136 	00:20:38,00 --> 00:20:44,50 	someone picks up the newspaper, which is covered with bloody fingerprints.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS174 	00:25:29,00 --> 00:25:33,50 	which is stamped karaboudjan,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS307 	00:45:52,00 --> 00:45:58,50 	the inspectors escort silk into his apartment, which is filled with shelves of wallets.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS362 	00:54:44,00 --> 00:54:50,50 	someone is thrown back onto the windshield as the plane picks up speed.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS496 	01:11:06,00 --> 01:11:12,50 	the boat's unicorn statue is the last thing to slip beneath the waves.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS82 	00:18:51,00 --> 00:19:01,50 	tell me why aren't you married?
THE_CALL.srt 	THE_CALL_DVS755 	00:57:15,00 --> 00:57:20,50 	he sees it's been connected for an hour and 28 minutes.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS59 	00:13:15,00 --> 00:13:22,50 	his gait is listless and steady as he makes his way past a few recovery rooms.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS652 	01:33:04,00 --> 01:33:09,50 	he was a prominent attorney, banker, and socialite in old hawaii.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS92 	00:09:28,00 --> 00:09:36,50 	someone, are you available for an interview regarding the wennerstrom verdict?
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS274 	00:32:16,00 --> 00:32:25,50 	we glimpse the words the mother was inebriated.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS458 	00:53:26,00 --> 00:53:31,50 	her widely spread arms are chained to the headboard.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS539 	01:00:58,00 --> 01:01:07,50 	from wennerstrom, it reads, can somebody please explain to me what the fuck is going on with these two assholes?
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS632 	01:09:09,00 --> 01:09:13,50 	i am a rapist pig.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1371 	02:27:32,00 --> 02:27:40,50 	the total is $3,212,655,732.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS41 	00:09:49,00 --> 00:09:55,50 	beside her bed is a framed photo of her and someone.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS45 	00:10:28,00 --> 00:10:35,50 	where middle-aged men and women are mingling with each other and engaging in conversation.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS52 	00:10:55,00 --> 00:11:01,50 	realizing her advances are directed at him, he hurries away.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS151 	00:52:54,00 --> 00:53:00,50 	the next day, someone and her son are back in the car and on the road.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS226 	01:14:35,00 --> 01:14:42,50 	other participants are seated or milling around preparing for their presentations.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS234 	01:16:21,00 --> 01:16:26,50 	where someone is continuing his presentation.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS326 	01:54:13,00 --> 01:54:19,50 	cancel request pop up notes, someone have to confirm that you are friends.
THE_VOW.srt 	THE_VOW_DVS239 	00:30:24,00 --> 00:30:33,50 	the frame of a much larger wall mirror is home to several more candids, lovingly tucked in place.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS70 	00:18:23,00 --> 00:18:29,50 	the woman who is her own man
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS109 	00:31:16,00 --> 00:31:21,50 	what are your short-term goals?
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS369 	01:28:51,00 --> 01:28:59,50 	be right back.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS39 	00:04:54,00 --> 00:05:10,50 	the word war is in red.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS333 	01:00:38,00 --> 01:00:43,50 	sooner or later he'll be coming for you.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS426 	01:16:48,00 --> 01:16:54,50 	now someone is bare feet, move up and down.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS457 	01:21:12,00 --> 01:21:20,50 	on the freeway, someone's convertible is escorted on three sides.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS457 	01:21:12,00 --> 01:21:20,50 	the passenger side is unguarded.
THOR.srt 	THOR_DVS182 	00:24:15,00 --> 00:24:32,50 	a huge column of black rocks topples behind the others as they flee the beast, which burst through the barricade as if it were made of matchsticks.
THOR.srt 	THOR_DVS355 	00:54:35,00 --> 00:54:40,50 	a section of the fence is peeled back.
THOR.srt 	THOR_DVS419 	01:05:52,00 --> 01:05:59,50 	on a nearby computer screen, a driver's license baring someone's photo is marked falsified data.
THOR.srt 	THOR_DVS526 	01:24:27,00 --> 01:24:34,50 	they leap apart as an energy beam flips over the car they were hiding behind.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS244 	00:32:09,00 --> 00:32:15,50 	in someone's hands, the dollar is the size of a rolled up poster.
TRUE_GRIT.srt 	TRUE_GRIT_DVS44 	00:08:04,00 --> 00:08:10,50 	a coffin is slid onto a rail wagon.
TRUE_GRIT.srt 	TRUE_GRIT_DVS62 	00:13:55,00 --> 00:14:00,50 	snoring beside her is grandma someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS69 	00:17:31,00 --> 00:17:37,50 	his ratty gray hair is slicked over in a side parting
TRUE_GRIT.srt 	TRUE_GRIT_DVS84 	00:23:01,00 --> 00:23:05,50 	he lights a pipe and the flame illuminates his beady eyes which are fixed on someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS142 	00:35:00,00 --> 00:35:05,50 	on the other side, someone is with someone,
TRUE_GRIT.srt 	TRUE_GRIT_DVS215 	00:46:23,00 --> 00:46:31,50 	dangling from one of the upper most branches of a tree is a hanged man.
TRUE_GRIT.srt 	TRUE_GRIT_DVS246 	00:50:40,00 --> 00:50:45,50 	the rider appears to be a black bear and the second horse has a dead body draped over it.
TRUE_GRIT.srt 	TRUE_GRIT_DVS257 	00:53:13,00 --> 00:53:19,50 	all is dark apart from a slit of yellow light at a window.
TRUE_GRIT.srt 	TRUE_GRIT_DVS265 	00:54:48,00 --> 00:54:59,50 	the younger, moon, has lank straggly hair and his face is covered in sweat.
TRUE_GRIT.srt 	TRUE_GRIT_DVS315 	01:06:14,00 --> 01:06:19,50 	the dead men are propped up outside the cabin.
TRUE_GRIT.srt 	TRUE_GRIT_DVS344 	01:11:30,00 --> 01:11:35,50 	behind them, in the distance, is a mountain range.
TRUE_GRIT.srt 	TRUE_GRIT_DVS357 	01:13:00,00 --> 01:13:06,50 	the entrance is surrounded by craggy stone cliffs.
TRUE_GRIT.srt 	TRUE_GRIT_DVS370 	01:17:36,00 --> 01:17:40,50 	someone's brow is pinched
TRUE_GRIT.srt 	TRUE_GRIT_DVS441 	01:27:53,00 --> 01:27:57,50 	someone's eyes are closed.
TRUE_GRIT.srt 	TRUE_GRIT_DVS451 	01:29:23,00 --> 01:29:28,50 	one of whom is the blithering simpleton.
TRUE_GRIT.srt 	TRUE_GRIT_DVS468 	01:31:19,00 --> 01:31:24,50 	his leg is trapped beneath it
TRUE_GRIT.srt 	TRUE_GRIT_DVS475 	01:31:46,00 --> 01:31:52,50 	someone is but a tiny speck far below on the plain.
TRUE_GRIT.srt 	TRUE_GRIT_DVS485 	01:32:25,00 --> 01:32:29,50 	she makes sure the gun is cocked.
TRUE_GRIT.srt 	TRUE_GRIT_DVS506 	01:34:09,00 --> 01:34:17,50 	in the hollow where the corpses viscera should be is a coiled and glistening rattlesnake.
TRUE_GRIT.srt 	TRUE_GRIT_DVS506 	01:34:09,00 --> 01:34:17,50 	in the hollow where the corpses viscera should be is a coiled and glistening rattlesnake.
TRUE_GRIT.srt 	TRUE_GRIT_DVS523 	01:35:27,00 --> 01:35:32,50 	there are two puncture marks in her flesh.
TRUE_GRIT.srt 	TRUE_GRIT_DVS542 	01:37:30,00 --> 01:37:34,50 	the sky is black.
TRUE_GRIT.srt 	TRUE_GRIT_DVS594 	01:43:19,00 --> 01:43:26,50 	someone's coffin is loaded onto a train.
TRUE_GRIT.srt 	TRUE_GRIT_DVS597 	01:44:00,00 --> 01:44:07,50 	snow drifts down on the plot where a small number of gravestones are clustered.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS340 	00:39:06,00 --> 00:39:17,50 	her blonde hair is longer and styled with wavy feathering.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS408 	00:49:48,00 --> 00:49:54,50 	it reads: this present isn't for you.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS747 	01:47:03,00 --> 01:47:17,50 	in buster's enclosure, his enormous footprint is now a paw-shaped 	puddle.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS762 	01:48:25,00 --> 01:48:37,50 	now, a digital alarm clock on a nightstand reads 6:43 am.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS835 	01:57:19,00 --> 01:57:26,50 	he enters through a side door and stops a few feet from the table where someone had been.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS851 	01:58:56,00 --> 01:59:09,50 	the dartmoor animal park on which this story is based is an acclaimed zoo whose methods are studied worldwide.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS851 	01:58:56,00 --> 01:59:09,50 	the dartmoor animal park on which this story is based is an acclaimed zoo whose methods are studied worldwide.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS851 	01:58:56,00 --> 01:59:09,50 	the dartmoor animal park on which this story is based is an acclaimed zoo whose methods are studied worldwide.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS851 	01:58:56,00 --> 01:59:09,50 	the park is open to faithful followers year-round.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS79 	00:06:48,00 --> 00:06:53,50 	another, "is this food scale your new best friend?"
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS81 	00:06:55,00 --> 00:07:03,50 	a tagline reads "the average number of lovers women have in their lifetime is 10.5."
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS546 	01:15:12,00 --> 01:15:19,50 	her ponytail is on fire.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS700 	01:35:07,00 --> 01:35:12,50 	the bride and groom are someone and someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS178 	00:14:09,00 --> 00:14:15,50 	possession of that gold is illegal.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS305 	00:23:34,00 --> 00:23:41,50 	since i was a boy, my father made the finest suits in dusseldorf.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS306 	00:23:38,00 --> 00:23:44,50 	my parents were from dusseldorf.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS763 	01:08:41,00 --> 01:08:46,50 	these americans are ruthless.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1051 	01:34:58,00 --> 01:35:07,50 	as of 10:25 hours, the cargo vessel aral sea is hereby ordered to reverse course and return to port in odessa.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1055 	01:35:09,00 --> 01:35:19,50 	they are not responding.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS316 	00:59:16,00 --> 00:59:22,50 	the name slade is handwritten beneath the words mercury injuns
ZOMBIELAND.srt 	ZOMBIELAND_DVS364 	00:41:30,00 --> 00:41:34,50 	don't be a hero.
ZOMBIELAND.srt 	ZOMBIELAND_DVS455 	00:52:35,00 --> 00:52:41,50 	someone and someone hurry over, pretending to be ghostbusters.
ZOMBIELAND.srt 	ZOMBIELAND_DVS711 	01:17:55,00 --> 01:18:01,50 	rule 17 changes from don't be a hero to be a hero.
ZOMBIELAND.srt 	ZOMBIELAND_DVS711 	01:17:55,00 --> 01:18:01,50 	rule 17 changes from don't be a hero to be a hero.
ZOOKEEPER.srt 	ZOOKEEPER_DVS21 	00:03:19,00 --> 00:03:25,50 	is guarding a grand entryway.
ZOOKEEPER.srt 	ZOOKEEPER_DVS80 	00:15:22,00 --> 00:15:26,50 	a dog is licking himself.
ZOOKEEPER.srt 	ZOOKEEPER_DVS280 	01:00:46,00 --> 01:00:50,50 	he were on a swing.
