21_JUMP_STREET.srt 	21_JUMP_STREET_DVS486 	01:18:29,00 --> 01:18:33,50 	beside someone, someone lowers his sad gaze.
THE_CALL.srt 	THE_CALL_DVS500 	00:38:21,00 --> 00:38:56,50 	lowering the phone, she slips it into her back pocket.
THE_CALL.srt 	THE_CALL_DVS588 	00:45:41,00 --> 00:45:49,50 	with his mouth hanging open, the killer lowers the body onto someone and leans over the trunk.
THE_CALL.srt 	THE_CALL_DVS831 	01:03:25,00 --> 01:03:31,50 	her right eye shifts as someone lowers the high chair back, creating a gurney.
THE_CALL.srt 	THE_CALL_DVS840 	01:03:51,00 --> 01:04:05,50 	now, someone lowers her head back over the lip of the sink and sprays down her hair.
THE_CALL.srt 	THE_CALL_DVS883 	01:08:29,00 --> 01:08:36,50 	at her desk, someone removes her cell from her ear and lowers her thoughtful gaze.
THE_CALL.srt 	THE_CALL_DVS948 	01:12:59,00 --> 01:13:07,50 	she carefully sidesteps as she lowers the flashlight and discovers a small black object in the dirt.
THE_CALL.srt 	THE_CALL_DVS971 	01:14:20,00 --> 01:14:27,50 	as she lowers herself, she hesitantly lets go of the hatch.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS26 	00:05:31,00 --> 00:05:36,50 	someone briefly lowers the phone and glowers at it.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS259 	00:40:52,00 --> 00:40:57,50 	someone contritely lowers his gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS355 	00:55:06,00 --> 00:55:11,50 	someone lowers her gaze and bites her bottom lip.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS568 	01:24:46,00 --> 01:24:52,50 	someone lowers his remorseful gaze and his lips pucker.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS590 	01:27:33,00 --> 01:27:38,50 	seeing his woeful look, she lowers her gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS711 	01:39:09,00 --> 01:39:15,50 	lowering the flowers, someone speer glances between him and someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS311 	00:37:46,00 --> 00:37:51,50 	lowering her steely eyes, someone sucks in a breath.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS383 	00:46:21,00 --> 00:46:28,50 	someone straightens in her chair her gaze still averted, and lowers his zipper.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS436 	00:52:01,00 --> 00:52:06,50 	someone lowers her gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS890 	01:39:15,00 --> 01:39:22,50 	as he works them down the rest of the way she lowers herself back on top of him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1184 	02:06:25,00 --> 02:06:32,50 	she lowers someone then rips the plastic bag off his face and unshackles his ankles.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1238 	02:10:23,00 --> 02:10:27,50 	she lowers her gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1402 	02:30:04,00 --> 02:30:16,50 	as he feebly inches a pawn forward she helps him, then lowers her gaze and bites her thumb.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS230 	01:31:33,00 --> 01:31:43,50 	the programmer uncomfortably lowers his half-eaten red licorice.
THE_VOW.srt 	THE_VOW_DVS83 	00:07:09,00 --> 00:07:15,50 	someone glances around, then hurriedly lowers the lingerie.
THE_VOW.srt 	THE_VOW_DVS135 	00:14:17,00 --> 00:14:23,50 	then lowers his lips to her neck.
THE_VOW.srt 	THE_VOW_DVS203 	00:25:09,00 --> 00:25:16,50 	he lowers the phone.
THE_VOW.srt 	THE_VOW_DVS205 	00:25:59,00 --> 00:26:06,50 	lowering her thoughtful eyes, someone puffs her cheeks out then exhales.
THE_VOW.srt 	THE_VOW_DVS400 	00:55:42,00 --> 00:55:50,50 	lowering her gaze, she strides for the door and irritably tosses down a piece of clay on her way out.
THE_WATCH.srt 	THE_WATCH_DVS206 	00:38:01,00 --> 00:38:06,50 	someone lowers his uneasy gaze.
THE_WATCH.srt 	THE_WATCH_DVS503 	01:29:25,00 --> 01:29:29,50 	someone lowers his gun.
THE_WATCH.srt 	THE_WATCH_DVS527 	01:31:54,00 --> 01:32:07,50 	the guys sprint for the security door as it lowers.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS101 	00:29:53,00 --> 00:29:57,50 	she lowers her passenger side window.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS193 	00:46:24,00 --> 00:46:29,50 	he kisses her, then lowers himself on top of her.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS363 	01:28:33,00 --> 01:28:37,50 	then lowers herself over him.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS499 	01:26:40,00 --> 01:26:45,50 	someone lowers his gaze and nods shyly.
THOR.srt 	THOR_DVS398 	00:59:42,00 --> 00:59:48,50 	someone releases the tension on his bow and lowers it.
THOR.srt 	THOR_DVS507 	01:22:33,00 --> 01:22:41,50 	someone slips off as the destroyer lowers its visor and incinerates a gas station with a beam of fire.
THOR.srt 	THOR_DVS617 	01:33:36,00 --> 01:33:45,50 	standing in the doorway, someone lowers his spear.
THOR.srt 	THOR_DVS679 	01:41:09,00 --> 01:41:13,50 	someone lowers his head.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS22 	00:02:46,00 --> 00:02:50,50 	he lowers his hand from his heart.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS35 	00:05:15,00 --> 00:05:19,50 	the boy lowers his gaze.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS238 	00:31:30,00 --> 00:31:35,50 	he smacks his lips thoughtfully as he lowers
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS525 	00:58:14,00 --> 00:58:19,50 	he lowers his glove from the man's gaping mouth.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS646 	01:30:08,00 --> 01:30:13,50 	someone lowers her petulant gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS86 	00:13:36,00 --> 00:13:41,50 	someone lowers his heartbroken eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS181 	00:32:28,00 --> 00:32:34,50 	he lowers his thoughtful gaze and purses his lips.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS282 	00:44:47,00 --> 00:44:56,50 	someone lowers the lid and flees.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS438 	01:08:55,00 --> 01:09:00,50 	someone lowers his gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS503 	01:17:55,00 --> 01:18:01,50 	someone lowers his cupped hands from his mouth.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS633 	01:33:48,00 --> 01:33:54,50 	in the kitchen, the widower lowers his overwhelmed gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS729 	01:44:45,00 --> 01:44:49,50 	someone lowers his gaze.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS380 	00:54:55,00 --> 00:55:01,50 	she shuffles forward in the skintight garment and lowers the purse.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS385 	00:55:25,00 --> 00:55:30,50 	someone lowers his cell phone from his ear.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS79 	00:05:54,00 --> 00:05:59,50 	his face flush, the boy lowers his arms apologetically.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS131 	00:08:33,00 --> 00:08:37,50 	someone lowers his arms.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS174 	00:13:07,00 --> 00:13:12,50 	someone lowers her wounded gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS298 	00:23:11,00 --> 00:23:16,50 	he lowers his glass and chuckles bitterly.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS343 	00:26:57,00 --> 00:27:01,50 	someone lowers his hand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS344 	00:27:03,00 --> 00:27:07,50 	someone lowers her gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS592 	00:55:17,00 --> 00:55:23,50 	as he swings the doors closed, someone lowers his hand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS596 	00:55:35,00 --> 00:55:40,50 	with puzzled looks, they lower their binocular
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS611 	00:57:09,00 --> 00:57:15,50 	she lowers her zipper, which trails from her collar to the hem of her skirt.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS675 	01:01:48,00 --> 01:01:53,50 	someone lowers her thoughtful gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS735 	01:06:49,00 --> 01:06:54,50 	someone lowers his woeful gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS903 	01:22:25,00 --> 01:22:30,50 	breaking into a grin, he lowers his arm.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS930 	01:25:48,00 --> 01:25:57,50 	lowering her gaze to the case, she removes its remaining injection, and stares at the lime-green serum in the syringe's barrel.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1026 	01:32:32,00 --> 01:32:39,50 	as he nears the group, someone lowers his gaze and someone and someone trade a look.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1038 	01:33:57,00 --> 01:34:03,50 	the admiral grimly lowers his binocular
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1133 	01:41:33,00 --> 01:41:38,50 	he lowers the lenses, his jaw slack.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1134 	01:41:36,00 --> 01:41:41,50 	an american radioman lowers his headset.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1177 	01:45:17,00 --> 01:45:21,50 	someone lowers the lever.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1260 	01:53:49,00 --> 01:53:55,50 	someone lowers his fingertips from his temple, breathing heavily.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1264 	01:54:22,00 --> 01:54:28,50 	someone lowers a headset from her ear, her mouth agape.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1295 	01:56:54,00 --> 01:57:03,50 	as the telepath collapses, a stunned someone lowers her pistol and someone sadly sees his friend fall.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1306 	01:57:47,00 --> 01:57:53,50 	he lowers his hand and someone drops to her knee
ZOMBIELAND.srt 	ZOMBIELAND_DVS302 	00:33:56,00 --> 00:34:02,50 	as she lowers the gun, he and someone climb out.
ZOMBIELAND.srt 	ZOMBIELAND_DVS326 	00:37:08,00 --> 00:37:12,50 	someone lowers his gun.
ZOMBIELAND.srt 	ZOMBIELAND_DVS432 	00:49:34,00 --> 00:49:39,50 	he lowers his feet to the leopard print carpet
