21_JUMP_STREET.srt 	21_JUMP_STREET_DVS395 	01:07:05,00 --> 01:07:10,50 	he glances nervously at ms.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS627 	01:58:28,00 --> 01:58:33,50 	one man glances over.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS122 	00:32:05,00 --> 00:32:11,50 	glancing back
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS202 	00:49:02,00 --> 00:49:11,50 	he glances at someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS221 	00:52:43,00 --> 00:52:47,50 	someone glances up a hill.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS266 	01:01:55,00 --> 01:02:04,50 	someone watches, then glances at someone and leans back in his chair.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS278 	01:06:23,00 --> 01:06:47,50 	inscrutably then glances at the fire and bites his lower lip.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS320 	01:17:28,00 --> 01:17:54,50 	she glances back toward someone with parted lips, then continues out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS338 	01:22:55,00 --> 01:23:06,50 	he pauses briefly, glancing over his shoulder.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS439 	01:07:44,00 --> 01:07:49,50 	glancing anxiously toward the hallway.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS451 	01:09:31,00 --> 01:09:38,50 	both men glance down at her.
SALT.srt 	SALT_DVS107 	00:21:02,00 --> 00:21:09,50 	she glances up at a security camera.
SALT.srt 	SALT_DVS117 	00:22:06,00 --> 00:22:26,50 	as the overhead lights flicker on, she glances up at a camera.
SALT.srt 	SALT_DVS138 	00:24:59,00 --> 00:25:13,50 	slowing briefly, someone glances back at the rink petroleum building.
SALT.srt 	SALT_DVS546 	01:34:05,00 --> 01:34:23,50 	he glances down again at someone's restraints then eyes the bald man.
SALT.srt 	SALT_DVS550 	01:34:47,00 --> 01:35:09,50 	he glances out of the potomac then directs her gaze to the door.
SALT.srt 	SALT_DVS556 	01:35:52,00 --> 01:36:15,50 	leaning briefly against a tree trunk, she glances over her shoulder.
SANCTUM.srt 	SANCTUM_DVS379 	01:15:15,00 --> 01:15:20,50 	someone glances away.
SANCTUM.srt 	SANCTUM_DVS483 	01:29:36,00 --> 01:29:46,50 	he glances at someone who drops his supply bag and crouches by the equipment as well.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS377 	00:25:08,00 --> 00:25:14,50 	still clutching the bride's hands, she glances into the street,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS397 	00:26:25,00 --> 00:26:31,50 	someone withdraws and he glances up at her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS495 	00:32:11,00 --> 00:32:17,50 	she cautiously glances around, then hurries off down the hall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS674 	00:44:06,00 --> 00:44:12,50 	glancing around, she spots her father by the window.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS111 	00:22:06,00 --> 00:22:11,50 	he glances at a crowd gathered around the broken urn
SOUL_SURFER.srt 	SOUL_SURFER_DVS256 	01:16:13,00 --> 01:16:21,50 	she glances over her shoulder at the little boy.
SOUL_SURFER.srt 	SOUL_SURFER_DVS285 	01:21:20,00 --> 01:21:24,50 	someone glances away.
SPARKLE_2012.srt 	SPARKLE_2012_DVS56 	00:09:37,00 --> 00:09:42,50 	she nervously glances around, and he smiles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS158 	00:27:06,00 --> 00:27:13,50 	someone glares at someone, who glances around the diner and twists his huge ring.
SPARKLE_2012.srt 	SPARKLE_2012_DVS180 	00:29:44,00 --> 00:29:50,50 	he glances around, then talks through the glass.
SPARKLE_2012.srt 	SPARKLE_2012_DVS218 	00:34:26,00 --> 00:34:37,50 	someone glances back at the drummer.
SPARKLE_2012.srt 	SPARKLE_2012_DVS293 	00:48:39,00 --> 00:48:44,50 	he glances at the others.
SPARKLE_2012.srt 	SPARKLE_2012_DVS314 	00:52:14,00 --> 00:52:21,50 	she glances up at them with a reassuring look, and continues to the bottom.
SPARKLE_2012.srt 	SPARKLE_2012_DVS504 	01:21:11,00 --> 01:21:19,50 	she glances at the body-bag, as he guides her into the backseat of a patrol car and closes the door.
SUPER_8.srt 	SUPER_8_DVS132 	00:20:06,00 --> 00:20:13,50 	as someone and someone rejoin the others someone glances down at a piece of wreckage covered in blood.
SUPER_8.srt 	SUPER_8_DVS343 	01:01:47,00 --> 01:01:54,50 	someone picks up a paintbrush and prods the vibrating cube then glances at someone.
SUPER_8.srt 	SUPER_8_DVS393 	01:10:32,00 --> 01:10:37,50 	someone's eyes widened as he glances around himself.
SUPER_8.srt 	SUPER_8_DVS462 	01:21:22,00 --> 01:21:28,50 	moving closer to the door, someone stops and glances back at someone.
SUPER_8.srt 	SUPER_8_DVS481 	01:23:07,00 --> 01:23:12,50 	someone glances up at a cracked window.
SUPER_8.srt 	SUPER_8_DVS535 	01:29:31,00 --> 01:29:36,50 	louis someone glances at someone.
SUPER_8.srt 	SUPER_8_DVS574 	01:35:22,00 --> 01:35:28,50 	someone darts through the tunnel and glances back at the creature.
SUPER_8.srt 	SUPER_8_DVS589 	01:36:42,00 --> 01:36:50,50 	cowering beside someone, someone frowns as she glances from the creature to someone who marches toward the creature.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS42 	00:04:50,00 --> 00:04:56,50 	the man pats his empty pocket then glances around himself.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS46 	00:05:10,00 --> 00:05:15,50 	the red-haired young man glances around himself.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS26 	00:05:55,00 --> 00:06:14,50 	glancing over his shoulder, he spots an onlooker across the rooftop.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS38 	00:08:50,00 --> 00:09:02,50 	other art students glance up from their work.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS101 	00:24:23,00 --> 00:24:32,50 	about 50 yards away someone glances back.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS103 	00:24:43,00 --> 00:24:48,50 	she glances out his window.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS131 	00:29:27,00 --> 00:29:38,50 	in the kitchen someone fills a bowl with cereal, then glances around.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS185 	00:36:38,00 --> 00:36:45,50 	as she dons pajama pants, she glances over her shoulder at someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS197 	00:37:55,00 --> 00:38:01,50 	he glances at someone, then drops his head.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS213 	00:41:23,00 --> 00:41:29,50 	he glances at someone then returns his gaze to the paintings.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS255 	00:48:49,00 --> 00:49:04,50 	she glances back at someone reading alone one table away.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS308 	00:58:59,00 --> 00:59:04,50 	with his sleeve, then glances off pensively.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS57 	00:11:35,00 --> 00:11:44,50 	he glances over his shoulder and blows out an impatient breath.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS256 	00:49:09,00 --> 00:49:14,50 	he glances at her low-cut top then ogles her.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS289 	00:53:45,00 --> 00:53:50,50 	someone glances away.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS302 	00:54:48,00 --> 00:54:52,50 	he glances at someone.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS456 	01:24:11,00 --> 01:24:15,50 	the woman glances at her.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS472 	01:25:55,00 --> 01:26:13,50 	glancing around, she creeps out of the bathroom and makes her way up some stairs.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS563 	01:40:39,00 --> 01:40:47,50 	someone kicks his weapon away from him then glances at someone.
THE_CALL.srt 	THE_CALL_DVS281 	00:24:41,00 --> 00:24:46,50 	the young blond quickly glances around.
THE_CALL.srt 	THE_CALL_DVS484 	00:37:25,00 --> 00:37:31,50 	the kidnapper stares at the driver, then glances back.
THE_CALL.srt 	THE_CALL_DVS687 	00:53:01,00 --> 00:53:08,50 	glancing between them, the attendant whips out the box cutter.
THE_CALL.srt 	THE_CALL_DVS886 	01:08:39,00 --> 01:08:45,50 	she glances over her shoulder.
THE_CALL.srt 	THE_CALL_DVS950 	01:13:12,00 --> 01:13:16,50 	someone glances up thoughtfully.
THE_CALL.srt 	THE_CALL_DVS1003 	01:16:55,00 --> 01:17:00,50 	someone glances up and across the room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS90 	00:16:37,00 --> 00:16:43,50 	he glances at her, starts to go, but hesitates.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS448 	01:07:55,00 --> 01:08:06,50 	he moves with a rhythmic, purposeful gait, glancing occasionally over the slate-hued water.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS462 	01:08:55,00 --> 01:09:02,50 	glancing over his shoulder, he slows, then quickens his pace to a reckless scramble.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS533 	01:17:34,00 --> 01:17:43,50 	he glances at the band, then rubs his face.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS306 	00:36:13,00 --> 00:36:19,50 	he glances haughtily at the heavily pierced woman as he reviews her file.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS652 	01:11:05,00 --> 01:11:11,50 	he glances back at the departing train then heads off.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS680 	01:15:49,00 --> 01:15:55,50 	the hacker purses her lips then glances aside bashfully.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS694 	01:16:36,00 --> 01:16:43,50 	she pauses eyeing the door, then glances back at her sleeping lover in the bedroom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS695 	01:16:43,00 --> 01:16:49,50 	she pivots away from the door, her panicked eyes glancing about.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS782 	01:30:14,00 --> 01:30:20,50 	they both glance over at harold's house, then exchange a look.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS836 	01:34:59,00 --> 01:35:04,50 	entering through a different door, he glances around the abandoned cabin lit meagerly by daylight.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS870 	01:37:07,00 --> 01:37:12,50 	she glances around the bathroom then strides into the kitchen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1154 	02:01:42,00 --> 02:01:49,50 	someone glances back at the camera.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1397 	02:29:44,00 --> 02:29:49,50 	she glances away with a faint smile.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1421 	02:32:35,00 --> 02:32:40,50 	she glances at the cab as it drives off,
THE_SITTER.srt 	THE_SITTER_DVS33 	00:19:58,00 --> 00:20:02,50 	someone glances back.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS68 	00:17:25,00 --> 00:17:29,50 	on one boat, a young man glanced.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS157 	00:55:13,00 --> 00:55:19,50 	he glances at her.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS163 	00:59:26,00 --> 00:59:30,50 	the door then glances around.
THE_VOW.srt 	THE_VOW_DVS52 	00:04:07,00 --> 00:04:13,50 	as she passes, he glances after her.
THE_VOW.srt 	THE_VOW_DVS155 	00:16:17,00 --> 00:16:21,50 	she glances away.
THE_VOW.srt 	THE_VOW_DVS268 	00:34:13,00 --> 00:34:18,50 	going out, he glances at her repeatedly.
THE_VOW.srt 	THE_VOW_DVS294 	00:38:14,00 --> 00:38:19,50 	on the sidewalk out front, he glances around, then breaks into a run.
THE_VOW.srt 	THE_VOW_DVS349 	00:47:36,00 --> 00:47:41,50 	wincing, someone glances away.
THE_VOW.srt 	THE_VOW_DVS661 	01:32:31,00 --> 01:32:36,50 	someone glances away.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS166 	00:42:48,00 --> 00:42:54,50 	she glances away, then shoots him a contemplative look.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS388 	01:32:13,00 --> 01:32:17,50 	someone glances away.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS432 	01:40:41,00 --> 01:40:46,50 	lowering the phone, he glances around.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS439 	01:41:32,00 --> 01:41:37,50 	he glances at the vacated stall.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS497 	01:51:33,00 --> 01:51:38,50 	someone glances away with thoughtful eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS518 	01:54:50,00 --> 01:54:55,50 	nodding, he glances away with a smile.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS34 	00:04:20,00 --> 00:04:35,50 	he glances up at the skyscraper then moves to someone's body which lies sprawled on the car's crushed roof.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS98 	00:15:20,00 --> 00:15:26,50 	crossing the office, he glances over her outfit.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS183 	00:34:17,00 --> 00:34:23,50 	she glances at someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS418 	01:15:24,00 --> 01:15:29,50 	someone glances back at the footage and stops.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS516 	01:28:45,00 --> 01:28:51,50 	she smiles and glances away.
THOR.srt 	THOR_DVS29 	00:03:11,00 --> 00:03:18,50 	she glances around herself.
THOR.srt 	THOR_DVS307 	00:44:40,00 --> 00:44:47,50 	someone presses her lips together and glances away, then returns to someone.
THOR.srt 	THOR_DVS314 	00:45:25,00 --> 00:45:32,50 	as they round a corner, someone pauses and glances back at someone, then hurries off.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS28 	00:03:47,00 --> 00:03:52,50 	then glances around with a troubled expression.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS94 	00:10:58,00 --> 00:11:04,50 	wide-eyed, someone swallows, then glances nervously.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS150 	00:18:25,00 --> 00:18:30,50 	he glances aside, then gestures for someone to crouch to his eye level.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS185 	00:24:46,00 --> 00:24:51,50 	he glances at his surroundings.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS330 	00:38:26,00 --> 00:38:33,50 	as someone glides away, someone uneasily glances around the arena.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS486 	00:53:21,00 --> 00:53:25,50 	he glances toward his boss.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS488 	00:53:32,00 --> 00:53:37,50 	someone frowns and glances back at fairy godmother's office.
TRUE_GRIT.srt 	TRUE_GRIT_DVS496 	01:33:25,00 --> 01:33:34,50 	she glances about the cave and frowns as her eyes alight on a dead body lying just a few feet away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS322 	00:35:33,00 --> 00:35:38,50 	he glances off, then eyes her frankly.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS339 	00:39:02,00 --> 00:39:08,50 	he drops it aside with a smirk, then glances up toward the
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS31 	00:04:51,00 --> 00:04:55,50 	they glance at a diner.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS124 	00:20:48,00 --> 00:20:56,50 	as he glances aside and smiles, a ray of sunlight haloes his hair and shoulders.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS128 	00:21:12,00 --> 00:21:26,50 	glancing back at the lion enclosure, he locks eyes with the big cat.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS158 	00:27:50,00 --> 00:27:56,50 	he glances at someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS596 	01:30:56,00 --> 01:31:02,50 	the father's brow knits and he glances at his son.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS806 	01:53:44,00 --> 01:53:50,50 	he glances after her, then shifts his thoughtful eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS824 	01:55:29,00 --> 01:55:38,50 	someone nods at someone and she glances at the crowd.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS77 	00:06:35,00 --> 00:06:41,50 	she ends the call, glancing at an older woman beside her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS201 	00:24:19,00 --> 00:24:23,50 	glancing up from the catalog,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS258 	00:35:20,00 --> 00:35:26,50 	she glances through her doorway as she pads down toward the bathroom.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS576 	01:19:30,00 --> 01:19:36,50 	someone smiles at someone, then glances uncomfortably at the couple.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS654 	01:31:55,00 --> 01:32:01,50 	she glances aside, then lowers her thoughtful gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS303 	00:23:29,00 --> 00:23:34,50 	his friend glances up from his drink.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS470 	00:42:03,00 --> 00:42:10,50 	he brings out a folder, glances over his shoulder, and studies its cover.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS639 	00:59:00,00 --> 00:59:05,50 	he glances at someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS920 	01:24:47,00 --> 01:24:52,50 	someone's face falls and he glances away.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1017 	01:31:39,00 --> 01:31:52,50 	someone glances back.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1084 	01:37:47,00 --> 01:37:52,50 	he glances at his cohorts.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1316 	01:59:22,00 --> 01:59:30,50 	as someone crosses the beach, she glances at someone and someone, then sets her gaze on someone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS49 	00:06:52,00 --> 00:06:58,50 	she glances sideways at the man and slowly slides her right arm free.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS111 	00:17:21,00 --> 00:17:26,50 	she glances sideways at him then sips her drink.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS362 	01:09:17,00 --> 01:09:21,50 	she glances over her shoulder.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS388 	01:15:26,00 --> 01:15:31,50 	she glances at the other guests, then back at someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS350 	00:40:10,00 --> 00:40:18,50 	someone glances away and unlatches his seat belt then slowly guides it off his chest.
ZOMBIELAND.srt 	ZOMBIELAND_DVS750 	01:20:37,00 --> 01:20:43,50 	he glances at someone and they cautiously advance.
ZOOKEEPER.srt 	ZOOKEEPER_DVS81 	00:15:27,00 --> 00:15:39,50 	he climbs up to the keyhole, glances around, then picks the lock.
ZOOKEEPER.srt 	ZOOKEEPER_DVS107 	00:22:14,00 --> 00:22:41,50 	someone sets down a wheelbarrow, glances around then cautiously approaches.
ZOOKEEPER.srt 	ZOOKEEPER_DVS120 	00:26:23,00 --> 00:26:29,50 	in his pit, someone the gorilla glances up.
ZOOKEEPER.srt 	ZOOKEEPER_DVS343 	01:16:37,00 --> 01:16:56,50 	someone blinks at her, his lips parted in a discouraged expression, then glances at the eagles.
ZOOKEEPER.srt 	ZOOKEEPER_DVS427 	01:33:25,00 --> 01:33:29,50 	gorilla then glances upward.
