30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS24 	00:04:17,00 --> 00:04:24,50 	she cradles his dark sideburns and kisses him passionately on the lips.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS271 	00:50:47,00 --> 00:50:52,50 	it depicts a man kissing a woman's face.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS316 	00:58:08,00 --> 00:58:15,50 	an old dog wheezes on his couch as they stop and kiss.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS354 	01:04:16,00 --> 01:04:33,50 	kissing hungrily as they remove their coats.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS356 	01:04:39,00 --> 01:04:51,50 	as someone and someone lie kissing on the kitchen island, the picture fades to black.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS402 	01:12:00,00 --> 01:12:06,50 	he kisses her neck.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS74 	00:09:29,00 --> 00:09:34,50 	the woman kisses her cheek, then glares at someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS833 	01:28:34,00 --> 01:28:39,50 	he hugs her again and kisses her cheek.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS896 	01:34:36,00 --> 01:34:45,50 	as someone grins on stage, someone draws someone and someone close, kisses the little girl's head, and points at someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS898 	01:34:45,00 --> 01:34:49,50 	he kisses someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS219 	00:19:48,00 --> 00:19:53,50 	someone kisses someone passionately.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS239 	00:22:50,00 --> 00:22:56,50 	she flips open the lid of a pastry box and kisses his cheek.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS553 	01:13:55,00 --> 01:14:00,50 	they hug again and kiss each other on the cheek.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS555 	01:14:02,00 --> 01:14:12,50 	he and someone grab each other in a passionate embrace and kiss hungrily.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS800 	01:53:19,00 --> 01:53:24,50 	he kisses her and she closes her eyes.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS324 	00:46:14,00 --> 00:46:19,50 	their mother arrives and kisses someone's cheek.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS325 	00:46:18,00 --> 00:46:22,50 	she kisses someone and strokes her hair.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS470 	01:06:03,00 --> 01:06:07,50 	they kiss, wrapping their arms around each other.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS476 	01:07:01,00 --> 01:07:05,50 	then he kisses her again.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS500 	01:11:03,00 --> 01:11:07,50 	he kisses her shoulder.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS566 	01:17:18,00 --> 01:17:22,50 	he kisses jacinda.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS641 	01:28:52,00 --> 01:28:57,50 	someone's mother beckons someone and kisses his cheek.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS642 	01:29:27,00 --> 01:29:33,50 	the bride beams and her husband tenderly kisses her bare shoulder.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS806 	01:12:55,00 --> 01:13:00,50 	someone gratefully kisses someone's blonde head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1320 	01:59:55,00 --> 02:00:00,50 	he kisses the back of her hand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1337 	02:02:36,00 --> 02:02:42,50 	he kisses her lips, then raises his fingers to his temple.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS304 	00:58:21,00 --> 00:58:26,50 	someone' gray-haired father, someone, kisses her.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS367 	01:10:19,00 --> 01:10:24,50 	she tries to kiss him but someone pushes away.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS413 	01:19:24,00 --> 01:19:29,50 	she wraps her legs around him as they kiss.
ZOMBIELAND.srt 	ZOMBIELAND_DVS157 	00:15:56,00 --> 00:16:01,50 	she kisses his cheek and rests her head on his shoulder.
ZOMBIELAND.srt 	ZOMBIELAND_DVS243 	00:25:53,00 --> 00:25:58,50 	the young woman kisses the girl's forehead.
ZOMBIELAND.srt 	ZOMBIELAND_DVS449 	00:51:48,00 --> 00:51:52,50 	he kisses his hand.
ZOMBIELAND.srt 	ZOMBIELAND_DVS703 	01:17:15,00 --> 01:17:20,50 	he twirls his guns then kisses one.
ZOOKEEPER.srt 	ZOOKEEPER_DVS425 	01:33:10,00 --> 01:33:19,50 	she kisses someone then wraps her arms around his neck and kisses him again.
ZOOKEEPER.srt 	ZOOKEEPER_DVS425 	01:33:10,00 --> 01:33:19,50 	she kisses someone then wraps her arms around his neck and kisses him again.
