21_JUMP_STREET.srt 	21_JUMP_STREET_DVS88 	00:11:41,00 --> 00:11:48,50 	the uniform cops walk through a storage area and enter a small chapel.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS355 	01:34:11,00 --> 01:34:15,50 	she walks away obliviously.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS382 	01:40:01,00 --> 01:40:07,50 	he comes down from the stairs and walks closer to her.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS28 	00:19:53,00 --> 00:19:59,50 	and walks away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS369 	00:54:14,00 --> 00:54:19,50 	now they walk through a vast wine cellar.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS383 	00:56:30,00 --> 00:56:35,50 	he walks off and someone gazes thoughtfully.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS456 	01:06:17,00 --> 01:06:22,50 	someone walks out followed by two of his masked men.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS484 	01:10:27,00 --> 01:10:36,50 	at night, spotlights illuminate the ancient amphitheater as someone's guards walk someone out on stage.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS540 	01:16:52,00 --> 01:17:13,50 	the acolytes somberly part to reveal someone walking toward someone and the weakened someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS56 	00:12:37,00 --> 00:12:43,50 	someone walks with a balding mustached officer.
GREEN_ZONE.srt 	GREEN_ZONE_DVS151 	00:39:28,00 --> 00:39:39,50 	someone glances at pots, then walks over to the prosthetic leg, picks it up and hands it to someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS196 	00:50:55,00 --> 00:51:01,50 	later, someone and someone walk into a cia compound.
GROWN_UPS.srt 	GROWN_UPS_DVS209 	00:57:40,00 --> 00:57:44,50 	cones in their hands as they walk.
GROWN_UPS.srt 	GROWN_UPS_DVS259 	01:13:58,00 --> 01:14:03,50 	he walks his fingers over someone's forehead.
HUGO.srt 	HUGO_DVS114 	00:15:03,00 --> 00:15:12,50 	the man walks out of a gate on the opposite side then enters a building's front door- which he shuts in someone's face.
HUGO.srt 	HUGO_DVS149 	00:20:34,00 --> 00:20:39,50 	someone's father walks through the museum,
HUGO.srt 	HUGO_DVS162 	00:22:18,00 --> 00:22:23,50 	they walk into the attic storeroom.
HUGO.srt 	HUGO_DVS167 	00:23:34,00 --> 00:23:41,50 	in the station, the brown-haired woman walks her little dog to the cafe and opens the door.
HUGO.srt 	HUGO_DVS173 	00:24:22,00 --> 00:24:28,50 	glancing around himself, he steals a roll and a bottle of milk then walks off.
HUGO.srt 	HUGO_DVS181 	00:25:27,00 --> 00:25:34,50 	straightening his hat, the inspector walks stiffly towards the woman as she sets up shop.
HUGO.srt 	HUGO_DVS218 	00:32:52,00 --> 00:32:57,50 	someone walks into the shop, then reaches for a broom.
HUGO.srt 	HUGO_DVS250 	00:35:24,00 --> 00:35:32,50 	someone walks to the back of the automaton and rubs one finger over the heart shaped keyhole.
HUGO.srt 	HUGO_DVS288 	00:42:44,00 --> 00:42:48,50 	they walk into the station.
HUGO.srt 	HUGO_DVS296 	00:45:42,00 --> 00:45:48,50 	someone and someone walk off together then glance over their shoulders.
HUGO.srt 	HUGO_DVS300 	00:46:33,00 --> 00:46:39,50 	someone shoves his way through a crowd of people walking in the opposite direction.
HUGO.srt 	HUGO_DVS445 	01:04:35,00 --> 01:04:42,50 	someone smiles as the bookseller hands him the thick volume then walks off.
HUGO.srt 	HUGO_DVS453 	01:05:38,00 --> 01:05:43,50 	a curly-haired woman walks up with a tray.
HUGO.srt 	HUGO_DVS526 	01:18:05,00 --> 01:18:09,50 	the inspector walks off.
HUGO.srt 	HUGO_DVS546 	01:21:33,00 --> 01:21:37,50 	then walks off.
HUGO.srt 	HUGO_DVS549 	01:21:43,00 --> 01:21:50,50 	they walk arm-in-arm.
HUGO.srt 	HUGO_DVS556 	01:22:24,00 --> 01:22:30,50 	people walk along train station platforms.
HUGO.srt 	HUGO_DVS558 	01:22:31,00 --> 01:22:38,50 	someone glances toward the railroad track as he walks near the edge of the platform.
HUGO.srt 	HUGO_DVS607 	01:27:29,00 --> 01:27:35,50 	someone closes a large book, then walks down the hallway.
HUGO.srt 	HUGO_DVS651 	01:33:14,00 --> 01:33:18,50 	and walks up to someone.
HUGO.srt 	HUGO_DVS695 	01:41:33,00 --> 01:41:40,50 	a woman wearing high-heeled shoes walks past someone's toyshop.
HUGO.srt 	HUGO_DVS781 	01:53:23,00 --> 01:53:30,50 	someone puts one arm around someone as they all walk off together.
HUGO.srt 	HUGO_DVS789 	01:54:54,00 --> 01:55:00,50 	the curtain parts and someone walks out wearing a tuxedo.
IN_TIME.srt 	IN_TIME_DVS551 	00:59:15,00 --> 00:59:21,50 	in a flashback, someone trips forward as he walks.
IN_TIME.srt 	IN_TIME_DVS702 	01:15:16,00 --> 01:15:21,50 	in the ghetto, a tall young man with deep-set eyes walks down a deserted street.
INSIDE_MAN.srt 	INSIDE_MAN_DVS96 	00:24:49,00 --> 00:25:13,50 	they round a corner out of the offices and walk along a wall of vertical bars.
INSIDE_MAN.srt 	INSIDE_MAN_DVS143 	00:42:28,00 --> 00:42:39,50 	as the captain walks over to someone, the robbers in the no hold are re-entering manhattan trust.
INSIDE_MAN.srt 	INSIDE_MAN_DVS172 	00:48:44,00 --> 00:48:54,50 	he forces her inside, closes the door and walks onward to another office.
INSIDE_MAN.srt 	INSIDE_MAN_DVS233 	01:08:45,00 --> 01:08:54,50 	now someone walks with ms.
INSIDE_MAN.srt 	INSIDE_MAN_DVS254 	01:18:31,00 --> 01:18:43,50 	he walks down the hallway with his face uncovered and his hood back on his shoulders.
INSIDE_MAN.srt 	INSIDE_MAN_DVS267 	01:22:45,00 --> 01:22:55,50 	someone walks away from the open vault.
INSIDE_MAN.srt 	INSIDE_MAN_DVS272 	01:24:33,00 --> 01:24:46,50 	he nervously makes his way past the barrel of the gun and walks out.
INSIDE_MAN.srt 	INSIDE_MAN_DVS284 	01:27:28,00 --> 01:27:44,50 	nodding his head slightly, someone walks off.
INSIDE_MAN.srt 	INSIDE_MAN_DVS301 	01:31:24,00 --> 01:31:31,50 	someone gets up and walks out of the truck.
INSIDE_MAN.srt 	INSIDE_MAN_DVS363 	01:45:05,00 --> 01:45:14,50 	someone walks down a marble corridor, rubbing his hands and grinning.
INSIDE_MAN.srt 	INSIDE_MAN_DVS401 	01:54:07,00 --> 01:54:14,50 	outside, someone walks out through the front door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS423 	02:00:47,00 --> 02:00:54,50 	he walks away pocketing the cartier box.
IRON_MAN_2.srt 	IRON_MAN_2_DVS102 	00:19:27,00 --> 00:19:31,50 	she follows him as he walks away.
IRON_MAN_2.srt 	IRON_MAN_2_DVS106 	00:21:32,00 --> 00:21:39,50 	pepper stares at someone, who walks across the room, as a long-armed robot brings him a champagne bottle and flutes on a tray.
IRON_MAN_2.srt 	IRON_MAN_2_DVS141 	00:26:13,00 --> 00:26:24,50 	inside, someone walks off while someone and pepper step into a restaurant.
IRON_MAN_2.srt 	IRON_MAN_2_DVS144 	00:26:41,00 --> 00:26:45,50 	someone walks with someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS151 	00:28:11,00 --> 00:28:16,50 	someone walks to a table and sits.
IRON_MAN_2.srt 	IRON_MAN_2_DVS163 	00:30:42,00 --> 00:30:51,50 	someone and other men wearing helmets and orange coveralls walk alongside a chain-link fence by the roadway.
IRON_MAN_2.srt 	IRON_MAN_2_DVS236 	00:43:27,00 --> 00:43:36,50 	as someone walks off, his cell explodes.
IRON_MAN_2.srt 	IRON_MAN_2_DVS270 	00:50:04,00 --> 00:50:13,50 	someone dons eyeglasses, walks to a computer keyboard, and types.
IRON_MAN_2.srt 	IRON_MAN_2_DVS282 	00:52:59,00 --> 00:53:03,50 	someone stands and walks out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS289 	00:53:43,00 --> 00:53:49,50 	moments later, someone walks into someone's house and approaches pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS312 	00:56:55,00 --> 00:57:07,50 	someone walks away from someone, who lies on the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS341 	01:01:11,00 --> 01:01:18,50 	the onlookers disperse as someone, major allen, and a small group of men walk toward the hangar.
IRON_MAN_2.srt 	IRON_MAN_2_DVS360 	01:06:29,00 --> 01:06:34,50 	general someone walks off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS361 	01:06:53,00 --> 01:07:01,50 	the men exchange salutes and someone walks away.
IRON_MAN_2.srt 	IRON_MAN_2_DVS383 	01:12:47,00 --> 01:12:51,50 	someone walks off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS392 	01:13:49,00 --> 01:13:56,50 	someone walks to one side of a scale city model on a table and steps to his right.
IRON_MAN_2.srt 	IRON_MAN_2_DVS428 	01:20:37,00 --> 01:20:45,50 	walking across the room, he pops one strawberry into his mouth and dumps the rest into a wastebasket.
IRON_MAN_2.srt 	IRON_MAN_2_DVS460 	01:24:25,00 --> 01:24:32,50 	someone walks downstairs into the basement, punches in the security code, and enters someone's lab.
IRON_MAN_2.srt 	IRON_MAN_2_DVS532 	01:36:03,00 --> 01:36:08,50 	someone walks over to someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS621 	01:46:23,00 --> 01:46:27,50 	they walk shoulder to shoulder.
IRON_MAN_2.srt 	IRON_MAN_2_DVS642 	01:48:37,00 --> 01:48:44,50 	outside the arena, four police officers walk with pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS671 	01:50:54,00 --> 01:51:10,50 	they walk over to someone, also on the ground.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS165 	00:53:46,00 --> 00:53:50,50 	she walks someone to the door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS282 	01:18:47,00 --> 01:18:54,50 	on the other side of the hedge a guy walks by.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS35 	00:03:25,00 --> 00:03:30,50 	the boy walks away from his sister.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS217 	00:43:21,00 --> 00:43:27,50 	someone walks past someone irvin and finds his assistant.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS242 	00:48:49,00 --> 00:48:54,50 	he walks his hands up the stick toward someone's.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS262 	00:52:07,00 --> 00:52:15,50 	with a bashful smile, someone walks onto the makeshift dance floor of flattened cardboard boxes.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS55 	00:06:13,00 --> 00:06:23,50 	the former brooklyn-er walks past it.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS487 	01:33:53,00 --> 01:34:07,50 	now she walks down the sidewalk toting a grocery bag.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS135 	00:48:46,00 --> 00:48:53,50 	someone walks his fingers up someone's arm.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS243 	01:24:34,00 --> 01:24:39,50 	a plastic fish pops out, and the sheep walks away.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS290 	01:34:48,00 --> 01:34:55,50 	as someone walks away, someone slowly shuts the door to her suite.
KARATE_KID.srt 	KARATE_KID_DVS368 	00:32:33,00 --> 00:32:38,50 	someone and his mom walk the market.
KARATE_KID.srt 	KARATE_KID_DVS422 	00:38:27,00 --> 00:38:34,50 	he walks away.
KARATE_KID.srt 	KARATE_KID_DVS425 	00:38:44,00 --> 00:38:51,50 	as someone walks some distance behind the others, mrs. po stops beside him.
KARATE_KID.srt 	KARATE_KID_DVS443 	00:39:50,00 --> 00:39:57,50 	later, someone and the other boys walk through an arched gateway onto a narrow street.
KARATE_KID.srt 	KARATE_KID_DVS637 	00:54:17,00 --> 00:54:22,50 	someone stops walking and stares.
KARATE_KID.srt 	KARATE_KID_DVS658 	00:55:38,00 --> 00:55:53,50 	checking a slip of paper, he heads through the gate's double doors and walks down a winding alley cluttered with boxes and junk.
KARATE_KID.srt 	KARATE_KID_DVS779 	01:05:39,00 --> 01:05:45,50 	someone walks along the side of the courtyard, scanning the crowd.
KARATE_KID.srt 	KARATE_KID_DVS1135 	01:34:24,00 --> 01:34:31,50 	the instructor gets to his feet, walks past someone, and leaves the auditorium.
KARATE_KID.srt 	KARATE_KID_DVS1177 	01:36:53,00 --> 01:36:59,50 	someone walks alongside the car, scanning the destroyed vehicle.
KARATE_KID.srt 	KARATE_KID_DVS1303 	01:45:17,00 --> 01:45:22,50 	someone halts and walks away.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS44 	00:07:17,00 --> 00:07:22,50 	someone's husband someone walks into the circle of performers.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS54 	00:10:24,00 --> 00:10:32,50 	someone, still in costume, walks down a hallway backstage then sachets into a room where several fans wait to meet her.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS62 	00:11:56,00 --> 00:12:02,50 	someone walks backstage.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS196 	00:52:02,00 --> 00:52:10,50 	the man walks away.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS200 	00:52:15,00 --> 00:52:21,50 	she drops the jump rope then walks out of the room.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS223 	00:55:43,00 --> 00:55:49,50 	someone walks slowly.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS234 	00:57:38,00 --> 00:57:43,50 	walking on a crowded street, someone waves to fans.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS305 	01:10:56,00 --> 01:11:01,50 	backstage a blond dancer walks through the dressing room.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS338 	01:19:07,00 --> 01:19:12,50 	someone and someone walk into a bridal shop.
KNOCKED_UP.srt 	KNOCKED_UP_DVS10 	00:09:20,00 --> 00:09:24,50 	later they walk past a nightclub.
KNOCKED_UP.srt 	KNOCKED_UP_DVS23 	00:17:58,00 --> 00:18:06,50 	in front of the house they walk across the lawn as someone carries the baby toward them.
KNOCKED_UP.srt 	KNOCKED_UP_DVS127 	01:14:21,00 --> 01:14:26,50 	with a furrowed brow, someone turns and walks out.
KNOCKED_UP.srt 	KNOCKED_UP_DVS156 	01:37:46,00 --> 01:37:53,50 	then walks out to the backyard.
KNOCKED_UP.srt 	KNOCKED_UP_DVS187 	01:57:41,00 --> 01:57:48,50 	as someone walks away, someone stares after him.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS15 	00:06:38,00 --> 00:06:45,50 	she walks off and someone fixes his gaze on the fossil.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS87 	00:28:57,00 --> 00:29:02,50 	someone smiles and walks away.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS216 	01:17:10,00 --> 01:17:16,50 	with a hurt gaze, someone walks down the steps, past grumpy.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS151 	00:33:00,00 --> 00:33:04,50 	as he walks off, someone
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS294 	01:10:27,00 --> 01:10:37,50 	now in class she walks among her students with a box of folded slips of paper.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS301 	01:11:37,00 --> 01:11:44,50 	now someone walks down the hall to her office.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS319 	01:14:54,00 --> 01:14:58,50 	he passes the neighbor walking a dog, then
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS144 	00:18:11,00 --> 00:18:23,50 	now young someone walks down a dirt road lined with grimy homes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS233 	00:32:05,00 --> 00:32:10,50 	someone eyes her son then walks away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS498 	00:55:13,00 --> 00:55:21,50 	he walks along the benches lining the boat's perimeter, pausing to paw at the zebra carcass.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS142 	00:51:59,00 --> 00:52:06,50 	as he readies the needle, two slippered feet walk down the hall.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS145 	00:52:16,00 --> 00:52:22,50 	he congests himself as he walks down the hall toward someone and someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS20 	00:03:00,00 --> 00:03:06,50 	she walks down a corridor.
MORNING_GLORY.srt 	MORNING_GLORY_DVS57 	00:09:45,00 --> 00:09:52,50 	she walks through the smart ibs high rise with a tall, lean guy,
MORNING_GLORY.srt 	MORNING_GLORY_DVS104 	00:22:32,00 --> 00:22:36,50 	someone walks off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS126 	00:29:31,00 --> 00:29:35,50 	he walks off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS135 	00:32:24,00 --> 00:32:29,50 	they walk through the office.
MORNING_GLORY.srt 	MORNING_GLORY_DVS154 	00:35:03,00 --> 00:35:08,50 	someone walks through the office.
MORNING_GLORY.srt 	MORNING_GLORY_DVS185 	00:42:43,00 --> 00:42:48,50 	he gets up and walks off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS218 	00:48:35,00 --> 00:48:41,50 	she walks into the wood-paneled bar and spots someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS223 	00:49:40,00 --> 00:49:45,50 	they walk slowly into someone's dark apartment.
MORNING_GLORY.srt 	MORNING_GLORY_DVS224 	00:49:49,00 --> 00:49:54,50 	someone walks through different rooms in the huge apartment.
MORNING_GLORY.srt 	MORNING_GLORY_DVS225 	00:50:03,00 --> 00:50:08,50 	someone walks through a dark room towards another lamp lit room.
MORNING_GLORY.srt 	MORNING_GLORY_DVS292 	01:03:10,00 --> 01:03:14,50 	they walk along the street.
MORNING_GLORY.srt 	MORNING_GLORY_DVS428 	01:33:22,00 --> 01:33:29,50 	he hangs his head, glances up briefly, then walks away, putting on his sunglasses.
MORNING_GLORY.srt 	MORNING_GLORY_DVS440 	01:34:16,00 --> 01:34:24,50 	someone walks through the corridor behind them.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS95 	00:14:06,00 --> 00:14:14,50 	someone walks into the crate, breaking it apart and sending an envelope sliding under a dresser.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS213 	00:31:17,00 --> 00:31:22,50 	he glares, then starts to walk away.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS223 	00:32:01,00 --> 00:32:09,50 	as the penguins move closer, someone follows and sees someone someone walking like a penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS323 	00:41:17,00 --> 00:41:25,50 	with their flippers up, the line of penguins walks past the metropolitan museum of art.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS418 	00:48:34,00 --> 00:48:40,50 	someone passes with his penguins on a walking rope.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS422 	00:49:02,00 --> 00:49:09,50 	he stops and allows them to walk between his legs, then waddles on after them.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS684 	01:25:05,00 --> 01:25:10,50 	they walk a snowy arctic ridge.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS685 	01:25:12,00 --> 01:25:18,50 	the six penguins and two babies walk in single file behind them.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS55 	00:13:45,00 --> 00:13:50,50 	she walks away from an apothecary cabinet.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS148 	00:33:32,00 --> 00:33:41,50 	he braces himself with both arms as he walks his legs up the side of the barn and eases deeper inside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS358 	01:17:08,00 --> 01:17:13,50 	someone lifts the walking stick from the sidecar.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS59 	00:06:56,00 --> 00:07:02,50 	someone walks someone to his car, a blue bmw.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS71 	00:08:25,00 --> 00:08:30,50 	someone walks over, someone's nearby watching.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS93 	00:12:27,00 --> 00:12:31,50 	someone walks down to see him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS164 	00:27:01,00 --> 00:27:06,50 	with an awkward look she walks off.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS169 	00:27:56,00 --> 00:28:02,50 	someone and someone walked past with their lunch.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS178 	00:30:02,00 --> 00:30:06,50 	they walk past the doctor.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS194 	00:34:19,00 --> 00:34:25,50 	a neighbor walks up with his dog.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS195 	00:34:34,00 --> 00:34:39,50 	they guy shakes his head and walks by.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS283 	00:51:56,00 --> 00:52:00,50 	someone walks up to her.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS339 	01:03:46,00 --> 01:03:50,50 	they walk out.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS348 	01:05:34,00 --> 01:05:38,50 	she walks off.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS350 	01:05:43,00 --> 01:05:50,50 	someone walks up wearing a raincoat over a shimmering silver shirt dress.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS381 	01:09:48,00 --> 01:09:54,50 	they walk through the urban light instillation at the los angeles county museum of art.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS387 	01:11:25,00 --> 01:11:29,50 	someone walks away and someone jumps on his back,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS393 	01:12:37,00 --> 01:12:42,50 	she gets out of the car and walks towards the hospital.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS396 	01:12:55,00 --> 01:13:02,50 	still in her pretty silver dress someone walks into the hospital.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS398 	01:13:05,00 --> 01:13:11,50 	in a daze, she slowly walks past the front desk.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS420 	01:17:07,00 --> 01:17:12,50 	someone as he walks by.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS479 	01:27:22,00 --> 01:27:27,50 	she walks down the steps to the road.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS505 	01:33:06,00 --> 01:33:12,50 	he walks into a room where someone lies in a slightly tilted bed someone shuts the door.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS517 	01:35:56,00 --> 01:36:03,50 	someone walks along beneath the covered walkway with the red and white emergency sign at the end of it.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS519 	01:36:37,00 --> 01:36:42,50 	someone gets out of the car and walks over to him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS560 	01:42:08,00 --> 01:42:13,50 	then nonchalantly walks off.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS17 	00:04:30,00 --> 00:04:38,50 	he somberly walks away past a giant poster featuring his head with a fresno grizzly's hat.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS124 	00:31:38,00 --> 00:31:45,50 	someone spreads his arms wide like wings, then walks around in a circle.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS315 	01:15:14,00 --> 01:15:20,50 	someone walks down the stairs in her new dress.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS25 	00:04:21,00 --> 00:04:28,50 	then walks past the door's broken pieces and down a few steps to the doorway.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS453 	01:47:32,00 --> 01:47:36,50 	then he walks off
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS457 	01:50:19,00 --> 01:50:26,50 	they stop walking as they notice someone sword fighting four male students at the same time.
PROMETHEUS.srt 	PROMETHEUS_DVS163 	00:10:31,00 --> 00:10:38,50 	at another time, he bounces his basketball as he walks the ships corridors.
PROMETHEUS.srt 	PROMETHEUS_DVS413 	00:41:56,00 --> 00:42:02,50 	as he walks away the black ooze pools around the urn.
PROMETHEUS.srt 	PROMETHEUS_DVS663 	01:12:05,00 --> 01:12:12,50 	he gestures to a few others, who walk in and circle the disc.
PROMETHEUS.srt 	PROMETHEUS_DVS863 	01:34:43,00 --> 01:34:50,50 	meanwhile someone walks down a corridor with someone and his aide close behind.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS31 	00:04:56,00 --> 00:05:13,50 	outside, someone walks backward 20 yards from the gate.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS47 	00:07:57,00 --> 00:08:05,50 	outside, someone walks alone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS278 	00:52:52,00 --> 00:53:05,50 	both men walk with their hands in their pockets.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS378 	01:12:12,00 --> 01:12:19,50 	now, hoover and someone walk down a hall.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS594 	01:51:33,00 --> 01:51:40,50 	someone' gaze follows her as she walks around his vehicle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS600 	01:52:30,00 --> 01:52:38,50 	stands and walks away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS646 	02:01:27,00 --> 02:01:38,50 	another character walks in.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS662 	02:04:50,00 --> 02:05:00,50 	now, someone steps into plain view walking between someone and polly.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS38 	00:08:36,00 --> 00:08:44,50 	someone walks off with his arm around someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS343 	01:24:37,00 --> 01:24:42,50 	someone walk their horses through a village farm.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS446 	01:51:13,00 --> 01:51:20,50 	as he walks pass the the crowd,
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS29 	00:02:53,00 --> 00:02:57,50 	an old woman walks beside them.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS41 	00:07:08,00 --> 00:07:15,50 	someone walks on stage with his hands in his pockets leaving a clapping blonde woman behind.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS528 	01:21:54,00 --> 01:22:00,50 	someone gathers herself and tries to walk out again.
