21_JUMP_STREET.srt 	21_JUMP_STREET_DVS214 	00:36:28,00 --> 00:36:37,50 	as the undercover cops shake their heads, a rapid series of explosive and disturbing images fill our view.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS205 	00:47:39,00 --> 00:47:44,50 	someone shakes someone's hand.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS190 	00:25:07,00 --> 00:25:13,50 	the alarmed goat shakes its head and ears, then spins in a circle.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS224 	00:30:14,00 --> 00:30:19,50 	someone shakes his head with a furrowed brow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS256 	00:33:47,00 --> 00:33:53,50 	someone eyes the amiable boy and shakes his head with a smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS274 	00:36:30,00 --> 00:36:35,50 	he leans down to the bottom bunk and shakes his sleeping brother.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS372 	00:44:29,00 --> 00:44:36,50 	shaking his head, he catches his breath and peers down into the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS649 	01:09:22,00 --> 01:09:26,50 	as he shakes himself off,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS726 	01:15:28,00 --> 01:15:42,50 	shaking his head, the tiger backs away and swipes at it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS884 	01:29:21,00 --> 01:29:28,50 	shaking his head, someone blinks rapidly and sees someone someone struggling across the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1090 	01:52:45,00 --> 01:52:50,50 	someone lowers his eyes and shakes his head.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1124 	01:58:40,00 --> 01:58:46,50 	the writer shakes hands with someone's beautiful wife and children.
MORNING_GLORY.srt 	MORNING_GLORY_DVS362 	01:19:59,00 --> 01:20:04,50 	he shakes his head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS37 	00:05:23,00 --> 00:05:28,50 	someone shuts his eyes, and shakes his head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS58 	00:09:24,00 --> 00:09:30,50 	someone glances aside and subtly shakes his head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS81 	00:12:34,00 --> 00:12:39,50 	it shakes off ice chips from head to toe.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS218 	00:31:31,00 --> 00:31:40,50 	as stinky's tail feathers rise and fall on nimrod's face, the bird tries to shake them away, but rolls off the bed.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS448 	00:52:26,00 --> 00:52:30,50 	someone shakes her head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS465 	00:55:19,00 --> 00:55:23,50 	someone shakes her head at him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS555 	01:05:48,00 --> 01:05:54,50 	someone lifts his gaze to the rugged, unshaven man and shakes his head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS667 	01:22:54,00 --> 01:22:59,50 	the cop shakes her hand.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS341 	01:14:48,00 --> 01:14:52,50 	he shakes someone's hand.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS350 	01:16:11,00 --> 01:16:18,50 	he scratches behind his ears, then tilts his head as if shaking out water.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS166 	00:27:06,00 --> 00:27:13,50 	as someone and someone go into to the restaurant someone wearily shakes his head.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS497 	01:32:10,00 --> 01:32:14,50 	she shakes her head.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS511 	01:34:40,00 --> 01:34:44,50 	someone wearily shakes his head.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS51 	00:11:53,00 --> 00:11:58,50 	someone shakes his head and mouths no.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS230 	00:55:16,00 --> 00:55:20,50 	he shakes his head.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS290 	01:09:58,00 --> 01:10:02,50 	someone shakes her head.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS341 	01:21:34,00 --> 01:21:38,50 	she shakes her head.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS351 	01:24:24,00 --> 01:24:29,50 	someone lowers her gaze and shakes her head.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS420 	01:31:07,00 --> 01:31:18,50 	someone shakes her head.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS254 	01:06:58,00 --> 01:07:08,50 	as he tries to shake the fire out, the pearl slips from his grasp.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS452 	01:47:23,00 --> 01:47:30,50 	poseidon extends his arm and they shake hands while sharing an amicable stare.
PROMETHEUS.srt 	PROMETHEUS_DVS524 	00:58:24,00 --> 00:58:30,50 	someone blinks back tears and shakes her head.
PROMETHEUS.srt 	PROMETHEUS_DVS740 	01:20:09,00 --> 01:20:16,50 	a tear falls from someone's eye and she shakes her head in confusion.
PROMETHEUS.srt 	PROMETHEUS_DVS991 	01:48:55,00 --> 01:49:02,50 	someone stumbles to a touchscreen control panel and works it with shaking hands.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS115 	00:20:36,00 --> 00:20:48,50 	someone stands and shakes his hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS154 	00:28:03,00 --> 00:28:08,50 	the two men shake hands.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS155 	00:28:15,00 --> 00:28:30,50 	they shake hands.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS272 	00:51:31,00 --> 00:51:36,50 	someone shakes his head, his brow knit.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS345 	01:06:03,00 --> 01:06:08,50 	he shakes his head lightheartedly.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS380 	01:13:04,00 --> 01:13:10,50 	they shake hands.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS561 	01:44:45,00 --> 01:44:49,50 	he shakes her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS171 	00:41:25,00 --> 00:41:30,50 	someone shakes his hand.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS45 	00:07:23,00 --> 00:07:30,50 	now, audience members shake his hand as someone makes his way up an aisle.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS61 	00:10:12,00 --> 00:10:17,50 	crouching to someone, he shakes his head.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS200 	00:33:49,00 --> 00:33:54,50 	she shakes her head and sighs.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS219 	00:35:04,00 --> 00:35:09,50 	someone raises her arms and shakes her head.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS527 	01:21:50,00 --> 01:21:55,50 	someone shakes his head softly.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS535 	01:23:52,00 --> 01:23:57,50 	someone lowers his gaze and shakes his head.
SALT.srt 	SALT_DVS235 	00:40:45,00 --> 00:40:50,50 	she cheerfully shuts her eyes and shakes her head.
SANCTUM.srt 	SANCTUM_DVS21 	00:05:22,00 --> 00:05:27,50 	he shakes his head, then lifts it out of the water.
SANCTUM.srt 	SANCTUM_DVS66 	00:14:50,00 --> 00:14:55,50 	someone shakes his head.
SANCTUM.srt 	SANCTUM_DVS261 	00:53:53,00 --> 00:54:11,50 	someone shakes his head, wags a finger, then swims toward the tunnel himself.
SANCTUM.srt 	SANCTUM_DVS503 	01:34:04,00 --> 01:34:11,50 	shaking his head, someone returns to his back, his hand pressed to his son's cheek.
SANCTUM.srt 	SANCTUM_DVS509 	01:35:11,00 --> 01:35:22,50 	someone shrugs with resignation, shaking his head at the cave walls.
SANCTUM.srt 	SANCTUM_DVS516 	01:36:30,00 --> 01:36:34,50 	sobbing, someone shakes his head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS666 	00:43:30,00 --> 00:43:34,50 	someone shakes her head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS827 	00:55:01,00 --> 00:55:08,50 	across the table, her husband shakes sauce off a round dumpling and bites into it.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1077 	01:13:43,00 --> 01:13:48,50 	someone stares at her with disbelief, then shakes her head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1145 	01:18:00,00 --> 01:18:06,50 	someone glances at her, then shakes her head.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS277 	00:56:25,00 --> 00:56:31,50 	the young man shakes his head and screws his mouth up.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS351 	01:13:23,00 --> 01:13:28,50 	he shakes his ring.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS373 	01:18:53,00 --> 01:18:58,50 	the apprentice shakes his head.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS468 	01:39:04,00 --> 01:39:15,50 	someone shakes his head.
SOUL_SURFER.srt 	SOUL_SURFER_DVS143 	00:43:33,00 --> 00:43:38,50 	the mother shakes her head then bursts into tears.
SOUL_SURFER.srt 	SOUL_SURFER_DVS257 	01:16:23,00 --> 01:16:28,50 	the girl shakes his head.
SOUL_SURFER.srt 	SOUL_SURFER_DVS329 	01:37:12,00 --> 01:37:17,50 	someone smiles and shakes her head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS24 	00:04:11,00 --> 00:04:18,50 	someone beams and shakes her head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS27 	00:04:56,00 --> 00:05:01,50 	someone shakes the tambourine overhead.
SPARKLE_2012.srt 	SPARKLE_2012_DVS45 	00:07:43,00 --> 00:07:50,50 	she smiles and shakes her head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS199 	00:32:01,00 --> 00:32:08,50 	someone shakes hands with a bartender.
SPARKLE_2012.srt 	SPARKLE_2012_DVS281 	00:44:43,00 --> 00:44:49,50 	someone shoots the reverend a look, then shakes her head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS297 	00:50:42,00 --> 00:50:47,50 	someone shakes her head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS450 	01:14:09,00 --> 01:14:19,50 	in the closet on the floor, someone and someone huddle around sister, who shakes back her tangled hair.
SPARKLE_2012.srt 	SPARKLE_2012_DVS531 	01:27:45,00 --> 01:27:49,50 	she shakes her head.
SUPER_8.srt 	SUPER_8_DVS290 	00:51:50,00 --> 00:51:54,50 	the two men shake hands.
SUPER_8.srt 	SUPER_8_DVS602 	01:38:24,00 --> 01:38:30,50 	on a corner, a metal trash can shakes then flies off toward the water tower.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS317 	00:49:13,00 --> 00:49:17,50 	someone stands and shakes someone's hand.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS497 	01:12:04,00 --> 01:12:10,50 	someone spits into his palm, then shakes someone's hand.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS514 	01:13:11,00 --> 01:13:14,50 	someone shakes them.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS100 	00:24:18,00 --> 00:24:25,50 	someone smirks, then shakes her head and continues on alone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS344 	01:08:06,00 --> 01:08:12,50 	vivian admires her son as she shakes her head.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS389 	01:14:45,00 --> 01:14:50,50 	he shakes his head.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS397 	01:16:41,00 --> 01:16:47,50 	smiling faintly he shakes someone's hand then leans in.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS42 	00:07:25,00 --> 00:07:33,50 	she shakes her head.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS123 	00:24:34,00 --> 00:24:39,50 	someone smiles and shakes her head.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS338 	01:02:51,00 --> 01:02:57,50 	someone smiles tightly and someone shakes his head.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS577 	01:44:17,00 --> 01:44:29,50 	the bounty hunter signs a form and the cop at the desk shakes his head incredulously.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS583 	01:45:35,00 --> 01:45:47,50 	someone beams at him and shakes her head.
THE_CALL.srt 	THE_CALL_DVS148 	00:12:08,00 --> 00:12:13,50 	someone shrugs and shakes her head.
THE_CALL.srt 	THE_CALL_DVS217 	00:18:24,00 --> 00:18:29,50 	smiling, autumn's blond friend shakes her head.
THE_CALL.srt 	THE_CALL_DVS256 	00:21:44,00 --> 00:21:49,50 	she smiles and shakes her head as autumn hurries off.
THE_CALL.srt 	THE_CALL_DVS262 	00:22:12,00 --> 00:22:19,50 	smiling, the blond shakes her head and slides the phone into her back pocket.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS147 	00:25:22,00 --> 00:25:28,50 	large air bubbles escape her gaping mouth as her body shakes with sobs.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS343 	00:52:54,00 --> 00:53:00,50 	someone shakes his head, struggling to retain his composure.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS405 	01:01:12,00 --> 01:01:18,50 	someone wanders over to the water to shake out the sand.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS431 	01:05:13,00 --> 01:05:17,50 	someone shakes his head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS567 	01:23:58,00 --> 01:24:03,50 	someone responds with a bitter sneer and shakes his head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS685 	01:36:21,00 --> 01:36:28,50 	someone glances at someone, then shakes his head with a frustrated smile.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS608 	01:07:22,00 --> 01:07:26,50 	someone shakes his head.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS112 	00:41:52,00 --> 00:41:58,50 	peers at his mother and scoffs as he shakes his head.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS127 	00:46:59,00 --> 00:47:06,50 	he sulks and avoids her gaze, shaking his head slightly.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS142 	00:48:59,00 --> 00:49:06,50 	someone shakes her head in disappointment and her expression hardens.
THE_SITTER.srt 	THE_SITTER_DVS10 	00:06:52,00 --> 00:06:57,50 	someone shakes his head.
THE_SITTER.srt 	THE_SITTER_DVS130 	01:10:05,00 --> 01:10:09,50 	she shakes her head.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS130 	00:44:26,00 --> 00:44:35,50 	his fist closed, someone shakes his head.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS251 	01:37:35,00 --> 01:37:41,50 	someone squeezes his eye shut, swallows, and shakes his head.
THE_VOW.srt 	THE_VOW_DVS196 	00:23:52,00 --> 00:23:57,50 	someone shrugs and shakes her head.
THE_VOW.srt 	THE_VOW_DVS411 	00:57:19,00 --> 00:57:26,50 	someone averts his considerate gaze, shakes his head and shifts on his feet.
THE_VOW.srt 	THE_VOW_DVS475 	01:07:59,00 --> 01:08:04,50 	someone shakes her hair out.
THE_VOW.srt 	THE_VOW_DVS506 	01:10:31,00 --> 01:10:37,50 	someone shakes his head earnestly.
THE_VOW.srt 	THE_VOW_DVS514 	01:11:36,00 --> 01:11:41,50 	someone shakes her head tearfully.
THE_VOW.srt 	THE_VOW_DVS632 	01:27:14,00 --> 01:27:20,50 	shaking her head, her mother lowers her tearful eyes.
THE_VOW.srt 	THE_VOW_DVS635 	01:28:32,00 --> 01:28:37,50 	someone slouches and shakes her head to herself.
THE_VOW.srt 	THE_VOW_DVS651 	01:30:36,00 --> 01:30:42,50 	someone shakes her head and drops her face in her hands.
THE_VOW.srt 	THE_VOW_DVS703 	01:38:39,00 --> 01:38:43,50 	she shakes her head.
THE_WATCH.srt 	THE_WATCH_DVS247 	00:44:59,00 --> 00:45:03,50 	someone gently shakes his head.
THE_WATCH.srt 	THE_WATCH_DVS426 	01:18:22,00 --> 01:18:26,50 	someone shakes his head.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS91 	00:28:52,00 --> 00:29:00,50 	she shakes his hand.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS330 	01:22:36,00 --> 01:22:41,50 	he pauses and shakes his head.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS428 	01:39:14,00 --> 01:39:22,50 	he shakes his head.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS498 	01:51:38,00 --> 01:51:44,50 	shifting her gaze back to james, she shakes her head.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS507 	01:52:53,00 --> 01:52:57,50 	he shakes his head at her.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS510 	01:53:20,00 --> 01:53:27,50 	shaking out a bag, someone ignores her.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS515 	01:54:26,00 --> 01:54:32,50 	considering her, he shakes his head, then shrugs.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS168 	00:32:01,00 --> 00:32:06,50 	someone shakes hands with the bouncer on the way in.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS306 	00:57:00,00 --> 00:57:04,50 	someone shakes his hand.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS519 	01:29:06,00 --> 01:29:12,50 	someone's brow lifts in a delighted smile, he shakes her hand.
THOR.srt 	THOR_DVS71 	00:08:32,00 --> 00:08:39,50 	the blonde man winks at the bejeweled woman, who suppresses a smile and shakes her head slightly.
THOR.srt 	THOR_DVS286 	00:39:12,00 --> 00:39:20,50 	shaking his head slightly, someone grips two handles on the sides of the small casket and picks it up.
THOR.srt 	THOR_DVS543 	01:26:46,00 --> 01:26:52,50 	someone strokes someone's bloody face then shakes her head.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS135 	00:16:26,00 --> 00:16:31,50 	someone shakes his head, then furrows his brow.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS181 	00:24:23,00 --> 00:24:29,50 	he notices her tapping finger, then shakes his head.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS235 	00:31:15,00 --> 00:31:20,50 	shaking his head skeptically, someone twists the cap off the tube.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS287 	00:35:09,00 --> 00:35:14,50 	he rolls off and shakes out his arms.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS566 	01:02:43,00 --> 01:02:48,50 	the burly man swallows and shakes his head.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS623 	01:08:57,00 --> 01:09:04,50 	as someone irritably shakes his head, someone pushes himself onto his hands and knees.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS628 	01:09:30,00 --> 01:09:34,50 	someone shakes his head.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS645 	01:11:24,00 --> 01:11:30,50 	then regretfully shakes his head and summons a sorrowful breath.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS700 	01:17:26,00 --> 01:17:35,50 	their coach folds his arms, shakes his head, and allows a smile.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS718 	01:19:29,00 --> 01:19:36,50 	someone drops his stick, shakes off his gloves, and removes his helmet.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS781 	01:23:53,00 --> 01:23:56,50 	someone shakes his head
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS790 	01:24:40,00 --> 01:24:45,50 	someone shuts his eyes, shakes his head, and mutters a silent wish.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS845 	01:29:59,00 --> 01:30:03,50 	someone shakes his head and shrugs his hand.
TRUE_GRIT.srt 	TRUE_GRIT_DVS120 	00:29:56,00 --> 00:30:01,50 	she shakes his shoulder.
TRUE_GRIT.srt 	TRUE_GRIT_DVS276 	00:58:21,00 --> 00:58:28,50 	someone watches moon lying on the floor shaking and grimaces.
TRUE_GRIT.srt 	TRUE_GRIT_DVS403 	01:19:50,00 --> 01:19:54,50 	someone shakes his head.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS185 	00:13:58,00 --> 00:14:03,50 	someone shakes her hand and smirks.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS437 	00:53:29,00 --> 00:53:34,50 	he shakes the remote, then hits a button.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS442 	00:53:48,00 --> 00:53:54,50 	nearby, the boy shakes the remote.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS479 	00:58:34,00 --> 00:58:39,50 	she irritably shakes her head.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS496 	01:04:00,00 --> 01:04:07,50 	someone shakes her head, slack-jawed.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS577 	01:16:39,00 --> 01:16:43,50 	they shake hands.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS605 	01:20:41,00 --> 01:20:45,50 	she shakes her head.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS618 	01:22:38,00 --> 01:22:43,50 	someone shakes someone's hand, then pats his shoulder.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS622 	01:23:19,00 --> 01:23:23,50 	someone shakes her head.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS338 	00:55:12,00 --> 00:55:21,50 	behind them, someone shakes her head and makes notes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS385 	01:00:54,00 --> 01:01:07,50 	he raises his beer bottle in a toast, then shakes his head.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS426 	01:07:22,00 --> 01:07:28,50 	someone shakes his head disbelievingly and smiles to himself.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS535 	01:21:27,00 --> 01:21:33,50 	someone meets her attentive gaze, then shakes his head wistfully.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS668 	01:38:10,00 --> 01:38:16,50 	his long hair in a ponytail, someone shakes his hand.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS712 	01:42:44,00 --> 01:42:49,50 	he shakes his head and aims his pen.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS719 	01:43:29,00 --> 01:43:36,50 	someone shakes someone's hand.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS740 	01:45:47,00 --> 01:45:53,50 	someone solemnly shakes her head, then yields a smile.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS181 	00:20:43,00 --> 00:20:49,50 	as roger shakes someone's hand, someone cringes.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS747 	01:40:06,00 --> 01:40:11,50 	she covers his mouth with her hand and shakes her head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS47 	00:04:01,00 --> 00:04:06,50 	the girl shakes it.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS647 	00:59:35,00 --> 00:59:39,50 	someone shakes his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS761 	01:08:35,00 --> 01:08:39,50 	he shakes someone's hand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS844 	01:17:17,00 --> 01:17:22,50 	stopping, someone shakes his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS883 	01:20:42,00 --> 01:20:48,50 	someone shakes his head and someone touches his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS954 	01:28:22,00 --> 01:28:26,50 	someone shakes his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1040 	01:34:12,00 --> 01:34:22,50 	meanwhile on a russian battleship, the captain lowers a pair of binoculars, then crosses to a radioman, who shakes his head.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS36 	00:03:47,00 --> 00:03:52,50 	she shakes the cartridge then replaces it.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS178 	00:34:20,00 --> 00:34:26,50 	someone's sister frowns after her then shakes her head and shuts the door.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS231 	00:43:29,00 --> 00:43:34,50 	someone shakes someone's hand.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS323 	00:59:40,00 --> 00:59:45,50 	peering closely at the photo, she shakes her head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS155 	00:14:35,00 --> 00:14:38,50 	she shakes her head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS328 	00:37:14,00 --> 00:37:21,50 	she glares at someone through the rear view mirror and irritably shakes her head
ZOMBIELAND.srt 	ZOMBIELAND_DVS448 	00:51:41,00 --> 00:51:48,50 	someone excitedly punches the air then shakes the movie star's hand.
ZOOKEEPER.srt 	ZOOKEEPER_DVS341 	01:16:24,00 --> 01:16:34,50 	bowing his head, someone shakes it.
