21_JUMP_STREET.srt 	21_JUMP_STREET_DVS90 	00:11:53,00 --> 00:12:00,50 	a woman with long blonde hair turns.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS195 	00:35:37,00 --> 00:35:43,50 	pacing in front of a long control panel, stark turns a dial.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS196 	00:35:40,00 --> 00:35:48,50 	putting on a pair of glasses with dark lenses, he grabs a metal wheel and turns it with both hands.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS200 	00:36:25,00 --> 00:36:31,50 	stark glances at someone and resumes turning the wheel.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS224 	00:39:38,00 --> 00:39:47,50 	someone races up a parallel street, then tries to turn on to a main road, but instead crashes through a shop's front window.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS232 	00:40:25,00 --> 00:40:33,50 	someone hangs on to the top of the cab as someone swerves several times, then turns sharply down an alley.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS249 	00:43:39,00 --> 00:43:45,50 	someone stops and slowly turns to face the other men.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS270 	00:49:49,00 --> 00:49:56,50 	someone turns and pretends to punch out a hitler impersonator sneaking up behind him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS276 	00:51:33,00 --> 00:51:45,50 	someone turns and walks off the stage as the showgirls return.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS281 	00:53:11,00 --> 00:53:18,50 	they both turn as a military ambulance pulls to a stop beside a medical tent.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS304 	00:58:10,00 --> 00:58:15,50 	the burly prisoner turns to the guard as he puts his hat back on.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS309 	00:58:44,00 --> 00:58:55,50 	hydra soldiers turn to face him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS343 	01:03:44,00 --> 01:03:51,50 	someone turns and flees in the opposite direction.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS344 	01:03:52,00 --> 01:03:58,50 	someone chases after him, then slows and turns into another room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS404 	01:13:47,00 --> 01:13:52,50 	someone shakes dernier's hand and turns to the others.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS443 	01:19:56,00 --> 01:20:04,50 	someone moves ahead into a small clearing, then turns and hurls the shield into a treetop.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS510 	01:31:46,00 --> 01:31:52,50 	everyone turns to someone who gazes ahead with a furrowed brow.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS559 	01:37:36,00 --> 01:37:46,50 	he turns on the cockpit control panel.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS570 	01:39:05,00 --> 01:39:09,50 	someone turns to someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS575 	01:39:29,00 --> 01:39:39,50 	someone turns the steering wheel and stomps on the brake pedal.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS614 	01:43:55,00 --> 01:44:02,50 	someone turns and pulls out a pistol blaster as he scans the room.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS59 	00:05:05,00 --> 00:05:11,50 	as the man turns back to the wheel, someone knocks on his window.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS65 	00:05:37,00 --> 00:05:44,50 	as someone pushes his bike, he turns back to see the van park a few doors down the street.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS67 	00:05:49,00 --> 00:05:53,50 	he turns away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS88 	00:06:55,00 --> 00:06:59,50 	as he turns to go, she reaches for his hand.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS91 	00:07:14,00 --> 00:07:18,50 	she turns away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS176 	00:13:59,00 --> 00:14:05,50 	on the beach, someone turns around and watches.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS212 	00:17:05,00 --> 00:17:10,50 	the older surfer turns away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS306 	00:25:09,00 --> 00:25:13,50 	someone turns away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS307 	00:25:17,00 --> 00:25:22,50 	shaking his head, the teen turns away and heads home.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS310 	00:25:29,00 --> 00:25:35,50 	turning, he finds his wife watching from the front door of their home.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS378 	00:35:32,00 --> 00:35:38,50 	as he turns away, she leaves the table,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS380 	00:35:54,00 --> 00:35:59,50 	someone turns to face her, his gaze receptive.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS388 	00:36:42,00 --> 00:36:47,50 	someone opens her door then turns on a shower.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS547 	00:53:03,00 --> 00:53:09,50 	at his desk, the young surfer pulls out the cigar box and turns on a lamp.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS551 	00:53:18,00 --> 00:53:23,50 	someone grabs the letter and gazes longingly then turns it over in the box.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS566 	00:54:47,00 --> 00:54:52,50 	his mom snatches it and turns.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS646 	01:02:24,00 --> 01:02:30,50 	the shark turns, giving a view of its glassy black eyes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS648 	01:02:29,00 --> 01:02:35,50 	noticing someone's rising panic, someone turns the boy to face him and gives calming gestures.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS723 	01:12:12,00 --> 01:12:18,50 	someone greets a few friends then turns and notices him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS779 	01:17:14,00 --> 01:17:19,50 	the teen turns and takes a few steps back
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS783 	01:17:50,00 --> 01:17:56,50 	his brow furrowed, the older man turns his face toward the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS802 	01:19:24,00 --> 01:19:28,50 	he turns and his eyes widen.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS826 	01:21:33,00 --> 01:21:37,50 	his expression anguished, his mentor turns his face away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS900 	01:28:08,00 --> 01:28:12,50 	turning away, she sinks down to the floor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS969 	01:35:20,00 --> 01:35:26,50 	someone takes this in, then turns his gaze out toward the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1029 	01:39:47,00 --> 01:39:53,50 	then turns around and paddles, preparing to catch this one.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1079 	01:43:06,00 --> 01:43:11,50 	the photographer smiles, then turns.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1092 	01:44:02,00 --> 01:44:08,50 	sitting on his board, someone turns as someone sits up next to him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1120 	01:47:27,00 --> 01:47:34,50 	as someone slows down, he turns to see the veterans sitting on their boards smiling.
CHRONICLE.srt 	CHRONICLE_DVS163 	00:24:36,00 --> 00:24:41,50 	he turns it around to face a different space.
CHRONICLE.srt 	CHRONICLE_DVS191 	00:28:29,00 --> 00:28:35,50 	as someone faces someone, someone turns away.
CHRONICLE.srt 	CHRONICLE_DVS274 	00:41:51,00 --> 00:41:55,50 	he turns and smiles.
CHRONICLE.srt 	CHRONICLE_DVS361 	00:55:46,00 --> 00:55:53,50 	someone childishly turns his back on someone and rockets skyward.
CHRONICLE.srt 	CHRONICLE_DVS388 	00:59:12,00 --> 00:59:17,50 	someone turns away and flies out the window.
CHRONICLE.srt 	CHRONICLE_DVS391 	00:59:22,00 --> 00:59:30,50 	as he swivels a hand aimed in her direction, her body gently turns and a blanket slides up to cover her.
CHRONICLE.srt 	CHRONICLE_DVS427 	01:02:44,00 --> 01:02:51,50 	someone halts by the gas pumps and turns back to find him taking aim.
CHRONICLE.srt 	CHRONICLE_DVS519 	01:14:07,00 --> 01:14:13,50 	the teenager turns to face the semi-circle of police.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS65 	00:13:08,00 --> 00:13:12,50 	glowering, someone turns away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS103 	00:24:03,00 --> 00:24:09,50 	the promoter turns away, leaving someone under the stark overhead light.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS169 	00:36:06,00 --> 00:36:22,50 	sheltered from the lightly falling snow, she turns toward the building.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS204 	00:42:27,00 --> 00:42:36,50 	they turn their heads and walk away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS248 	01:01:56,00 --> 01:02:05,50 	someone sits wearily, his gaze turned downward.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS253 	01:02:43,00 --> 01:02:58,50 	pressing against him, someone puts her free hand on his shoulder as she turns the meat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS404 	01:37:58,00 --> 01:38:04,50 	someone turns in his seat, facing the large man fully.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS457 	01:47:36,00 --> 01:47:41,50 	someone turns her stunned gaze from the priest.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS486 	01:51:48,00 --> 01:51:54,50 	as someone's gaze lowers, she turns around and walks out.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS521 	02:02:12,00 --> 02:02:17,50 	someone's view turns blurry.
COLOMBIANA.srt 	COLOMBIANA_DVS75 	00:05:18,00 --> 00:05:23,50 	turning away, he heads toward the home.
COLOMBIANA.srt 	COLOMBIANA_DVS80 	00:05:41,00 --> 00:05:50,50 	someone turns over a framed family photo, removes a computer chip from under a piece of tape, then opens a drawer and rifles through it.
COLOMBIANA.srt 	COLOMBIANA_DVS117 	00:09:30,00 --> 00:09:36,50 	he turns away from the stairs and drops to his knees.
COLOMBIANA.srt 	COLOMBIANA_DVS166 	00:14:44,00 --> 00:14:56,50 	turning a corner into a covered marketplace, someone sprints past an arcade and various vendors.
COLOMBIANA.srt 	COLOMBIANA_DVS168 	00:14:55,00 --> 00:15:04,50 	someone turns a sharp corner around a display of bowls holding chili peppers.
COLOMBIANA.srt 	COLOMBIANA_DVS187 	00:16:25,00 --> 00:16:33,50 	as she casually strolls along, the sedan full of gunmen turns a corner and rolls up behind her.
COLOMBIANA.srt 	COLOMBIANA_DVS272 	00:22:40,00 --> 00:22:46,50 	turning, she finds someone staring at her through a set of windows.
COLOMBIANA.srt 	COLOMBIANA_DVS297 	00:25:13,00 --> 00:25:19,50 	someone shifts his gaze and turns over his paper.
COLOMBIANA.srt 	COLOMBIANA_DVS298 	00:25:32,00 --> 00:25:37,50 	he turns over someone's slip of paper.
COLOMBIANA.srt 	COLOMBIANA_DVS313 	00:27:07,00 --> 00:27:12,50 	turning, he finds someone standing motionless.
COLOMBIANA.srt 	COLOMBIANA_DVS326 	00:28:41,00 --> 00:28:47,50 	someone turns his niece away by the shoulder.
COLOMBIANA.srt 	COLOMBIANA_DVS372 	00:33:36,00 --> 00:33:42,50 	at his station, the guard turns on a portable radio.
COLOMBIANA.srt 	COLOMBIANA_DVS415 	00:36:44,00 --> 00:36:49,50 	she kicks him as he turns, knocking him out cold.
COLOMBIANA.srt 	COLOMBIANA_DVS458 	00:40:15,00 --> 00:40:21,50 	someone warren turns away and faces the desk sergeant.
COLOMBIANA.srt 	COLOMBIANA_DVS470 	00:41:25,00 --> 00:41:30,50 	the sergeant glances past her and she turns.
COLOMBIANA.srt 	COLOMBIANA_DVS493 	00:43:26,00 --> 00:43:33,50 	a blonde woman turns from a mirror as a now casually dressed someone emerges.
COLOMBIANA.srt 	COLOMBIANA_DVS497 	00:44:01,00 --> 00:44:07,50 	she hangs up, runs to the bus, and turns in her ticket.
COLOMBIANA.srt 	COLOMBIANA_DVS500 	00:44:38,00 --> 00:44:45,50 	a cigarette smolders between a bodyguard's fingers as he turns and lifts his chin.
COLOMBIANA.srt 	COLOMBIANA_DVS523 	00:47:16,00 --> 00:47:21,50 	where she turns on a set of security monitors.
COLOMBIANA.srt 	COLOMBIANA_DVS537 	00:48:20,00 --> 00:48:27,50 	she sets the weapon down and turns away, twirling the candy in her mouth.
COLOMBIANA.srt 	COLOMBIANA_DVS551 	00:50:28,00 --> 00:50:35,50 	he halts and turns around to find someone watching him from a leather sofa.
COLOMBIANA.srt 	COLOMBIANA_DVS574 	00:52:15,00 --> 00:52:23,50 	turning, he pulls up onto a sidewalk and parks beneath an overhanging roof at a building's entrance.
COLOMBIANA.srt 	COLOMBIANA_DVS582 	00:53:25,00 --> 00:53:32,50 	gathering up her bags, she pauses and turns.
COLOMBIANA.srt 	COLOMBIANA_DVS593 	00:55:57,00 --> 00:56:02,50 	he types some more and turns up a map of amazonia.
COLOMBIANA.srt 	COLOMBIANA_DVS612 	00:57:52,00 --> 00:57:59,50 	he turns to a bodyguard.
COLOMBIANA.srt 	COLOMBIANA_DVS613 	00:58:06,00 --> 00:58:14,50 	someone winks and pats the guard's face, then turns to the women who pillow fight on his canopy bed.
COLOMBIANA.srt 	COLOMBIANA_DVS659 	01:01:52,00 --> 01:01:57,50 	someone shakes his head as he turns to face her.
COLOMBIANA.srt 	COLOMBIANA_DVS688 	01:05:06,00 --> 01:05:12,50 	she turns on to her side, adjusting the pillow under her head
COLOMBIANA.srt 	COLOMBIANA_DVS715 	01:08:13,00 --> 01:08:18,50 	then turns away and rests her elbow on the table.
COLOMBIANA.srt 	COLOMBIANA_DVS741 	01:10:16,00 --> 01:10:20,50 	turning a corner,
COLOMBIANA.srt 	COLOMBIANA_DVS748 	01:11:11,00 --> 01:11:16,50 	he turns and glares at her.
COLOMBIANA.srt 	COLOMBIANA_DVS780 	01:15:33,00 --> 01:15:40,50 	the older woman turns to face someone who keeps his gaze fixed forward.
COLOMBIANA.srt 	COLOMBIANA_DVS813 	01:18:50,00 --> 01:18:55,50 	she turns on the shower then opens the birdcage.
COLOMBIANA.srt 	COLOMBIANA_DVS863 	01:22:12,00 --> 01:22:18,50 	she turns as the authorities march into the garage,
COLOMBIANA.srt 	COLOMBIANA_DVS872 	01:23:02,00 --> 01:23:07,50 	agent someone turns to face them.
COLOMBIANA.srt 	COLOMBIANA_DVS899 	01:24:56,00 --> 01:25:00,50 	as he turns it in his fingers.
COLOMBIANA.srt 	COLOMBIANA_DVS906 	01:25:23,00 --> 01:25:31,50 	turning, he finds someone standing nearby in the shadows with her handgun pointed at him.
COLOMBIANA.srt 	COLOMBIANA_DVS918 	01:28:04,00 --> 01:28:08,50 	she turns away.
COLOMBIANA.srt 	COLOMBIANA_DVS928 	01:29:25,00 --> 01:29:31,50 	someone turns away.
COLOMBIANA.srt 	COLOMBIANA_DVS975 	01:33:47,00 --> 01:33:52,50 	they turn down a corridor.
COLOMBIANA.srt 	COLOMBIANA_DVS1004 	01:35:45,00 --> 01:35:52,50 	someone turns to the mezzanine and fires.
COLOMBIANA.srt 	COLOMBIANA_DVS1067 	01:39:50,00 --> 01:39:57,50 	turning a corner, someone finds the road blocked by a garbage truck.
COLOMBIANA.srt 	COLOMBIANA_DVS1069 	01:40:42,00 --> 01:40:48,50 	turning, someone sees her dogs in the back seat.
COLOMBIANA.srt 	COLOMBIANA_DVS1091 	01:43:16,00 --> 01:43:21,50 	at the fbi, agent someone turns to someone.
COLOMBIANA.srt 	COLOMBIANA_DVS1095 	01:43:31,00 --> 01:43:39,50 	golden sunlight glows down on her as she turns away from the phone and dons a hat.
DEAR_JOHN.srt 	DEAR_JOHN_DVS70 	00:09:39,00 --> 00:09:46,50 	someone bashfully glances at the fire and turns away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS147 	00:23:55,00 --> 00:24:04,50 	he turns her to face him, and they share a tender kiss.
DEAR_JOHN.srt 	DEAR_JOHN_DVS162 	00:25:13,00 --> 00:25:20,50 	turning, he spots a solitary figure sitting alone at the base of a grassy dune.
DEAR_JOHN.srt 	DEAR_JOHN_DVS163 	00:25:20,00 --> 00:25:29,50 	he watches his rival cross to the dune, then turns back to his game.
DEAR_JOHN.srt 	DEAR_JOHN_DVS170 	00:26:55,00 --> 00:27:01,50 	turning, someone wraps her arms around him and lays him back against the dune.
DEAR_JOHN.srt 	DEAR_JOHN_DVS175 	00:28:39,00 --> 00:28:44,50 	someone starts to speak, then turns away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS206 	00:32:22,00 --> 00:32:32,50 	he turns, facing a window.
DEAR_JOHN.srt 	DEAR_JOHN_DVS216 	00:34:07,00 --> 00:34:17,50 	she turns her face toward his and kisses him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS395 	01:01:04,00 --> 01:01:10,50 	someone shares a quick look with someone, who turns away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS400 	01:01:32,00 --> 01:01:47,50 	the soldier awkwardly watches his father, then turns to someone, who waits a few steps away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS409 	01:02:31,00 --> 01:02:40,50 	she cups someone's face in her hands as she kisses him one last time, then turns away and strides out of the airport.
DEAR_JOHN.srt 	DEAR_JOHN_DVS442 	01:05:16,00 --> 01:05:25,50 	with a disappointed look, he turns away from the mailbag.
DEAR_JOHN.srt 	DEAR_JOHN_DVS504 	01:13:18,00 --> 01:13:24,50 	now, he enters a military building, and turns down a hallway.
DEAR_JOHN.srt 	DEAR_JOHN_DVS540 	01:16:59,00 --> 01:17:06,50 	with a sober stare, he turns over the jefferson mule in his fingers.
DEAR_JOHN.srt 	DEAR_JOHN_DVS714 	01:36:09,00 --> 01:36:16,50 	someone brushes her hair back and turns, catching someone's gaze in the mirror.
DEAR_JOHN.srt 	DEAR_JOHN_DVS716 	01:36:15,00 --> 01:36:23,50 	someone turns away pulls a flannel shirt over her shoulders.
DEAR_JOHN.srt 	DEAR_JOHN_DVS721 	01:36:37,00 --> 01:36:46,50 	as someone turns to face him, he halts in the doorway and stares at her resolutely.
DEAR_JOHN.srt 	DEAR_JOHN_DVS724 	01:36:50,00 --> 01:36:57,50 	then turns from the doorway and strides off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS736 	01:37:36,00 --> 01:37:44,50 	as someone turns, she lifts her brow expectantly and offers a faint smile.
DEAR_JOHN.srt 	DEAR_JOHN_DVS751 	01:38:25,00 --> 01:38:32,50 	he accidentally turns on his wipers and they glide across the windshield.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS95 	00:22:48,00 --> 00:22:53,50 	someone turns to someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS285 	01:10:41,00 --> 01:10:49,50 	open-mouthed, someone turns to someone who snaps out of his death impersonation.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS311 	01:17:23,00 --> 01:17:29,50 	someone turns and wades out of the pond.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS320 	01:18:07,00 --> 01:18:12,50 	he turns around and switches on another light.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS373 	01:30:54,00 --> 01:31:00,50 	someone mouths "thank you" then turns back to someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS386 	01:34:01,00 --> 01:34:05,50 	someone turns back to him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS390 	01:35:09,00 --> 01:35:14,50 	someone turns back towards the room the others are in.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS405 	01:41:02,00 --> 01:41:07,50 	he turns a light illuminating the painting off.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS414 	01:42:50,00 --> 01:42:54,50 	someone turns to someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS427 	01:44:38,00 --> 01:44:46,50 	then turns slowly towards the door where someone is standing, tears in her eyes.
DISTRICT_9.srt 	DISTRICT_9_DVS327 	00:35:47,00 --> 00:36:00,50 	pale and sickly, he briefly turns away from the surrounding guests, wipes his mouth then grabs a knife.
DISTRICT_9.srt 	DISTRICT_9_DVS438 	00:48:20,00 --> 00:48:31,50 	he turns abruptly and lowers himself into the grass.
DISTRICT_9.srt 	DISTRICT_9_DVS448 	00:50:18,00 --> 00:50:40,50 	he finds a can of cat food and turns it upside down over his tilted back head.
DISTRICT_9.srt 	DISTRICT_9_DVS486 	00:56:48,00 --> 00:57:04,50 	someone stomps his foot and turns his back to someone.
DISTRICT_9.srt 	DISTRICT_9_DVS487 	00:57:03,00 --> 00:57:14,50 	someone turns.
DISTRICT_9.srt 	DISTRICT_9_DVS686 	01:20:28,00 --> 01:20:38,50 	someone enters the ship and turns to find someone crawling away from him.
DISTRICT_9.srt 	DISTRICT_9_DVS688 	01:20:44,00 --> 01:20:50,50 	he turns someone around and marches him outside.
DISTRICT_9.srt 	DISTRICT_9_DVS759 	01:29:43,00 --> 01:29:59,50 	the robot turns to face him.
DISTRICT_9.srt 	DISTRICT_9_DVS763 	01:30:27,00 --> 01:30:33,50 	the alien turn
DISTRICT_9.srt 	DISTRICT_9_DVS765 	01:30:38,00 --> 01:30:45,50 	turns its face to the mother ship.
DISTRICT_9.srt 	DISTRICT_9_DVS768 	01:30:50,00 --> 01:31:05,50 	the robot turns.
DISTRICT_9.srt 	DISTRICT_9_DVS797 	01:34:30,00 --> 01:34:41,50 	someone turns on the others.
DISTRICT_9.srt 	DISTRICT_9_DVS842 	01:39:45,00 --> 01:39:49,50 	the colonel turns.
DISTRICT_9.srt 	DISTRICT_9_DVS871 	01:44:45,00 --> 01:44:52,50 	turning to profile, he holds up the imitation
EASY_A.srt 	EASY_A_DVS36 	00:09:02,00 --> 00:09:12,50 	where a girl turns to show a text to a friend at a desk behind her.
EASY_A.srt 	EASY_A_DVS37 	00:09:11,00 --> 00:09:22,50 	the friend turns to a guy behind her, then we shoot outside past a row of lockers to find someone.
EASY_A.srt 	EASY_A_DVS38 	00:09:22,00 --> 00:09:28,50 	turning to go, she runs into someone with a snooty friend.
EASY_A.srt 	EASY_A_DVS105 	00:34:47,00 --> 00:34:52,50 	as she turns around, they sheepishly stop.
EASY_A.srt 	EASY_A_DVS200 	01:01:56,00 --> 01:02:01,50 	someone turns away.
EASY_A.srt 	EASY_A_DVS226 	01:11:53,00 --> 01:11:57,50 	someone turns away.
EASY_A.srt 	EASY_A_DVS239 	01:13:03,00 --> 01:13:09,50 	she turns her back to him and cries.
EASY_A.srt 	EASY_A_DVS255 	01:17:08,00 --> 01:17:13,50 	and turns off the ignition.
FLIGHT.srt 	FLIGHT_DVS109 	00:22:02,00 --> 00:22:06,50 	the planes turns upside down.
FLIGHT.srt 	FLIGHT_DVS117 	00:23:42,00 --> 00:23:49,50 	the plane turns upright, and a still unconscious someone falls on some passengers.
FLIGHT.srt 	FLIGHT_DVS134 	00:26:00,00 --> 00:26:06,50 	then turns towards the black smoke rising from the crash site.
FLIGHT.srt 	FLIGHT_DVS151 	00:27:34,00 --> 00:27:39,50 	someone turns, and someone smiles.
FLIGHT.srt 	FLIGHT_DVS188 	00:42:44,00 --> 00:42:49,50 	the bald man turns to someone.
FLIGHT.srt 	FLIGHT_DVS197 	00:46:31,00 --> 00:46:38,50 	a car turns onto a dirt driveway and passes a sign that reads, whitaker crop dusting company.
FLIGHT.srt 	FLIGHT_DVS219 	00:48:24,00 --> 00:48:31,50 	he collects the bottles of liquor and the decanter, and turns on the stereo.
FLIGHT.srt 	FLIGHT_DVS501 	01:12:31,00 --> 01:12:36,50 	someone covers someone with a blanket, then turns off the video and switches off the light.
FLIGHT.srt 	FLIGHT_DVS526 	01:15:48,00 --> 01:15:53,50 	someone turns around, and sees someone.
FLIGHT.srt 	FLIGHT_DVS601 	01:23:17,00 --> 01:23:21,50 	someone turns to the nurse.
FLIGHT.srt 	FLIGHT_DVS768 	01:36:48,00 --> 01:36:53,50 	someone turns and walks away.
FLIGHT.srt 	FLIGHT_DVS825 	01:40:33,00 --> 01:40:37,50 	someone turns off the news.
FLIGHT.srt 	FLIGHT_DVS903 	01:47:02,00 --> 01:47:06,50 	someone turns around,
FLIGHT.srt 	FLIGHT_DVS1250 	02:11:34,00 --> 02:11:39,50 	someone turns on his cell phone recorder.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS19 	00:05:16,00 --> 00:05:21,50 	she jerks his seat up and turns away.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS35 	00:09:52,00 --> 00:09:57,50 	he turns away, staring at his cell.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS221 	00:59:37,00 --> 00:59:50,50 	they turn away.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS339 	01:29:42,00 --> 01:30:01,50 	that night, someone walks into his kitchen, throws down his bag and turns on the lights.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS349 	01:33:08,00 --> 01:33:14,50 	someone turns away and finds his father gone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS9 	00:06:30,00 --> 00:06:34,50 	turns the clock radio off.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS103 	00:58:18,00 --> 00:58:23,50 	someone turns the video back on.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS106 	01:01:30,00 --> 01:01:39,50 	turning, someone stares wide-eyed at his glaring boss then puts on a smile.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS144 	01:25:08,00 --> 01:25:14,50 	later in the bedroom, someone turns on an ipod.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS37 	00:06:30,00 --> 00:06:42,50 	his face glistening with sweat, he turns his head toward the noise outside.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS76 	00:12:15,00 --> 00:12:31,50 	she changes the radio station and turns her tender gaze to someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS82 	00:13:10,00 --> 00:13:33,50 	someone turns then throws the match down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS98 	00:15:16,00 --> 00:15:27,50 	nearby a goateed thug turns.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS102 	00:15:49,00 --> 00:16:04,50 	the chain links glow and the rider turns his scorched flaming skull.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	turning, the creature slings his chain back, grazing someone's shoulder.
