21_JUMP_STREET.srt 	21_JUMP_STREET_DVS332 	00:55:09,00 --> 00:55:15,50 	as someone heads off, someone grins at someone and pumps his fists.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS377 	01:13:04,00 --> 01:13:18,50 	his other arm curls around the massive stack of completed homework assignments as he heads down the sidewalk at a brisk pace.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS64 	00:12:18,00 --> 00:12:40,50 	stopping at the storefront's glass door, he unlocks it and heads inside.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS77 	00:15:04,00 --> 00:15:17,50 	he heads outside.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS162 	00:32:59,00 --> 00:33:15,50 	the hulking goateed guy, someone, arrives sporting two black eyes and a gash across his nose he heads inside and lumbers to the rear.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS210 	00:42:47,00 --> 00:42:54,50 	he cuffs her to the headboard, plops down their bags, and heads out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS314 	00:57:27,00 --> 00:57:37,50 	as they speed forward, shoving against each other, someone spots an suv headed straight for the thug's vehicle.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS454 	01:23:47,00 --> 01:23:54,50 	as the couple heads up the front steps, someone climbs into the car and peels out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS471 	01:25:50,00 --> 01:25:58,50 	brushing her hair out of her face, she peers over her shoulder then casually heads to the bathroom.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS504 	01:31:08,00 --> 01:31:15,50 	they stop at a neon restroom sign and she heads inside.
THE_CALL.srt 	THE_CALL_DVS116 	00:09:00,00 --> 00:09:09,50 	he heads toward a beaded curtain and parts it.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS126 	00:21:01,00 --> 00:21:08,50 	heading out, he pauses at the door and glances solemnly back at her.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS216 	00:34:38,00 --> 00:34:42,50 	someone heads back toward his house.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS226 	00:35:14,00 --> 00:35:19,50 	he heads toward his home, passing lush flowering shrubs.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS350 	00:53:50,00 --> 00:53:56,50 	heading back for the house, someone shuffles across the lawn.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS368 	00:57:14,00 --> 00:57:20,50 	then heads down a dirt road bordered by a wooden fence.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS376 	00:57:50,00 --> 00:57:56,50 	heading uphill, the jeep jostles its passengers.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS763 	01:45:29,00 --> 01:45:35,50 	she wraps her arm around the girl and they head off together.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS87 	00:09:11,00 --> 00:09:15,50 	heading into the next room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS188 	00:23:48,00 --> 00:23:55,50 	then shoulders her bag and heads out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS301 	00:34:59,00 --> 00:35:03,50 	he heads for the kitchen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS324 	00:39:35,00 --> 00:39:39,50 	someone heads back to them.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS356 	00:43:55,00 --> 00:43:59,50 	she heads off.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS416 	00:48:20,00 --> 00:48:28,50 	he heads down a marble corridor bustling with business people and stops at a reception desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS733 	01:21:10,00 --> 01:21:15,50 	he heads over and pets the cat.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS754 	01:25:05,00 --> 01:25:12,50 	someone offers his hand but she heads inside ignoring him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS833 	01:34:52,00 --> 01:34:58,50 	he consults the newspaper photo then heads over to the cabin.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1163 	02:04:00,00 --> 02:04:05,50 	someone puts the monitor down and heads off.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1329 	02:22:27,00 --> 02:22:33,50 	entering the kitchen she heads right past the two publishers to a counter.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1418 	02:32:13,00 --> 02:32:20,50 	the couple heads down a walkway to a waiting taxi at the top of a hill.
THE_SITTER.srt 	THE_SITTER_DVS57 	00:33:57,00 --> 00:34:01,50 	someone heads off.
THE_SITTER.srt 	THE_SITTER_DVS88 	00:48:24,00 --> 00:48:28,50 	they head back to the car.
THE_SITTER.srt 	THE_SITTER_DVS102 	00:54:40,00 --> 00:54:45,50 	she heads off.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS21 	00:07:37,00 --> 00:07:46,50 	hand stuffed in the pocket of his gray hooded sweatshirt, the young man hurries toward one of the warmly lit brick buildings and heads up a few step.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS43 	00:12:01,00 --> 00:12:12,50 	meanwhile, the dark-haired young man heads upstairs.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS317 	01:53:25,00 --> 01:53:29,50 	someone heads out.
THE_VOW.srt 	THE_VOW_DVS72 	00:06:29,00 --> 00:06:35,50 	she wipes her nose with a tissue, then heads over.
THE_VOW.srt 	THE_VOW_DVS84 	00:07:13,00 --> 00:07:18,50 	with a wave, someone heads away.
THE_VOW.srt 	THE_VOW_DVS98 	00:09:04,00 --> 00:09:08,50 	she heads inside.
THE_VOW.srt 	THE_VOW_DVS267 	00:34:10,00 --> 00:34:14,50 	he heads for the door.
THE_VOW.srt 	THE_VOW_DVS286 	00:37:39,00 --> 00:37:48,50 	outside someone mnemonic, someone glances around without seeing him, then heads down a sidewalk.
THE_VOW.srt 	THE_VOW_DVS293 	00:38:09,00 --> 00:38:15,50 	then heads outside.
THE_VOW.srt 	THE_VOW_DVS374 	00:52:36,00 --> 00:52:42,50 	smiling, he heads off.
THE_VOW.srt 	THE_VOW_DVS392 	00:55:13,00 --> 00:55:19,50 	with an exasperated look, he heads to the door.
THE_VOW.srt 	THE_VOW_DVS575 	01:20:04,00 --> 01:20:10,50 	bowing his head, someone shuffles back a few steps, then heads inside.
THE_VOW.srt 	THE_VOW_DVS705 	01:38:57,00 --> 01:39:02,50 	they head down the sidewalk.
THE_WATCH.srt 	THE_WATCH_DVS226 	00:42:12,00 --> 00:42:17,50 	someone politely returns the gesture, then heads inside.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS53 	00:13:16,00 --> 00:13:28,50 	someone reads as she heads down a sidewalk.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS131 	00:36:41,00 --> 00:36:45,50 	he heads to the driver's side.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS251 	01:03:30,00 --> 01:03:34,50 	the guys head out of the gym.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS342 	01:24:34,00 --> 01:24:39,50 	in slow motion, a valet heads over.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS349 	01:26:03,00 --> 01:26:07,50 	she heads off.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS386 	01:31:31,00 --> 01:31:37,50 	she heads outside where someone and duke play basketball.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS390 	01:32:21,00 --> 01:32:26,50 	she hands him his keys and phone and he heads off.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS443 	01:42:08,00 --> 01:42:15,50 	someone enters his mother's house, catching her in her robe as she heads upstairs with a mug in each hand.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS16 	00:02:42,00 --> 00:02:51,50 	heading toward glass doors onto the helipad, the rugged brother spots someone's reflection.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS42 	00:05:44,00 --> 00:05:49,50 	her smile fades as her assistant heads off.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS53 	00:07:41,00 --> 00:07:45,50 	someone heads away.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS79 	00:13:17,00 --> 00:13:26,50 	someone shoulders his bag and heads off.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS117 	00:21:39,00 --> 00:21:44,50 	she heads off with another movie.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS178 	00:32:43,00 --> 00:32:55,50 	he peers across the dance floor then heads after her.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS359 	01:05:59,00 --> 01:06:04,50 	someone makes a call as she heads out.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS425 	01:16:42,00 --> 01:16:46,50 	she heads up some stairs.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS217 	00:28:05,00 --> 00:28:09,50 	he heads to the kitchen.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS293 	00:35:37,00 --> 00:35:43,50 	as someone heads out, he comes face to face with the cat.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS477 	00:51:14,00 --> 00:51:19,50 	he offers a sarcastic salute, then heads out.
TRUE_GRIT.srt 	TRUE_GRIT_DVS198 	00:43:30,00 --> 00:43:34,50 	they head towards a wooden shack.
TRUE_GRIT.srt 	TRUE_GRIT_DVS352 	01:12:14,00 --> 01:12:22,50 	under a canopy of swollen dark gray clouds, they head across a plain of straw-like grass.
TRUE_GRIT.srt 	TRUE_GRIT_DVS353 	01:12:28,00 --> 01:12:37,50 	as they head through a pine forest, someone sticks another empty bottle over the end of a thin stubby branch.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS292 	00:29:30,00 --> 00:29:35,50 	as he halts in front of someone, the women head off.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS378 	00:45:10,00 --> 00:45:16,50 	as they each head back to their own doors, they share another glance.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS559 	01:14:30,00 --> 01:14:34,50 	he heads down the hall.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS53 	00:10:14,00 --> 00:10:20,50 	the principal shoots the father a horrified glance, then heads off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS161 	00:28:07,00 --> 00:28:13,50 	he marches off, but the staff heads in the opposite direction.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS167 	00:29:12,00 --> 00:29:16,50 	the frizzy-haired man heads off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS263 	00:43:01,00 --> 00:43:05,50 	they head indoors.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS489 	01:15:59,00 --> 01:16:03,50 	he heads to the gate.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS707 	01:42:28,00 --> 01:42:34,50 	now, a clipboard bears a document headed,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS51 	00:03:43,00 --> 00:03:46,50 	he heads off.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS417 	00:58:31,00 --> 00:58:34,50 	he heads off.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS597 	01:21:09,00 --> 01:21:13,50 	he heads off.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS680 	01:34:04,00 --> 01:34:11,50 	she sprints past a pond, then heads out through the open gate of a white-picket fence.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1070 	01:36:44,00 --> 01:36:49,50 	beast notices the rocket heading their way.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1097 	01:39:19,00 --> 01:39:26,50 	the young man brings his arms in at his sides and shoots head first into the sea.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1104 	01:39:53,00 --> 01:39:58,50 	the jet banks right, heading for the fleet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1284 	01:55:46,00 --> 01:55:52,50 	someone thrusts his open hand and the missiles head for the ships.
ZOMBIELAND.srt 	ZOMBIELAND_DVS308 	00:34:26,00 --> 00:34:31,50 	as he heads out of the station, she peeks under her red convertible.
ZOMBIELAND.srt 	ZOMBIELAND_DVS654 	01:13:43,00 --> 01:13:49,50 	he kills one then heads toward the entrance of a haunted house.
ZOOKEEPER.srt 	ZOOKEEPER_DVS87 	00:19:20,00 --> 00:19:25,50 	with a smile, someone heads away.
ZOOKEEPER.srt 	ZOOKEEPER_DVS107 	00:22:14,00 --> 00:22:41,50 	the kids head off.
ZOOKEEPER.srt 	ZOOKEEPER_DVS173 	00:37:53,00 --> 00:37:57,50 	someone heads off.
ZOOKEEPER.srt 	ZOOKEEPER_DVS196 	00:44:30,00 --> 00:44:39,50 	someone nods at the lioness and heads off.
ZOOKEEPER.srt 	ZOOKEEPER_DVS376 	01:23:35,00 --> 01:23:41,50 	he heads to the door as nimer greets the high roller.
ZOOKEEPER.srt 	ZOOKEEPER_DVS396 	01:28:33,00 --> 01:28:38,50 	right past her, he heads upstairs and.
