21_JUMP_STREET.srt 	21_JUMP_STREET_DVS33 	00:03:48,00 --> 00:03:53,50 	he slams him down on the mat and raises his fist.
THE_WATCH.srt 	THE_WATCH_DVS448 	01:21:32,00 --> 01:21:38,50 	guns raised, someone and someone patrol another area.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS34 	00:09:37,00 --> 00:09:42,50 	everyone but someone raises their beer.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS528 	01:55:54,00 --> 01:56:01,50 	now leslie checks the ball to someone who raises an arm in a signal to his team.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS20 	00:03:00,00 --> 00:03:05,50 	someone hands one off as he raise his pass.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS260 	00:48:38,00 --> 00:48:45,50 	someone raises both hands, someone grabs the wheel.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS348 	01:03:25,00 --> 01:03:30,50 	someone raises her glass of white wine.
THOR.srt 	THOR_DVS202 	00:27:06,00 --> 00:27:15,50 	a dagger of ice forms in someone's hand as someone raises his silver spear.
THOR.srt 	THOR_DVS263 	00:35:44,00 --> 00:35:51,50 	a bald man grilling hot dogs raises his tongs and cheers.
THOR.srt 	THOR_DVS327 	00:48:40,00 --> 00:48:48,50 	after a moments hesitation, someone raises his right fist to his own breast and kneels on one knee.
THOR.srt 	THOR_DVS377 	00:56:33,00 --> 00:56:41,50 	outside, the crane raises the man with the crossbow above the crater with a direct view of someone.
THOR.srt 	THOR_DVS406 	01:02:08,00 --> 01:02:14,50 	someone raises his eyes for the first time and glares at someone.
THOR.srt 	THOR_DVS617 	01:33:36,00 --> 01:33:45,50 	as someone raises an ice dagger, a bolt of energy strikes him down.
THOR.srt 	THOR_DVS630 	01:35:22,00 --> 01:35:28,50 	someone raises someone, but someone knocks him to the floor with a blast from his spear.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS175 	00:23:18,00 --> 00:23:24,50 	someone reluctantly raises his hand and glares at the winged clerk.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS192 	00:25:28,00 --> 00:25:33,50 	someone raises her brow thoughtfully and nods.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS241 	00:31:47,00 --> 00:31:52,50 	someone raises his foot at someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS621 	01:08:47,00 --> 01:08:52,50 	someone hesitates, his stick raised and the puck at his feet.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS701 	01:17:33,00 --> 01:17:39,50 	someone stands and raises his arms.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS787 	01:24:34,00 --> 01:24:38,50 	someone shifts his sober gaze, nods, then raises a finger.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS864 	01:31:49,00 --> 01:31:56,50 	the boy arrives at center stage and raises his strumming hand to the guitar strings.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS876 	01:32:56,00 --> 01:33:03,50 	dancing with someone, someone raises her hand high and someone beams.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS367 	00:43:27,00 --> 00:43:32,50 	she nods and raises the hot dog.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS467 	00:57:20,00 --> 00:57:26,50 	as someone beams at their surroundings, someone raises a cracker.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS488 	01:01:32,00 --> 01:01:37,50 	the producer smiles and raises her glass.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS534 	01:11:52,00 --> 01:11:56,50 	he raises her arms above her head.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS575 	01:16:26,00 --> 01:16:32,50 	he strides determinedly to someone's door and raises his fist.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS598 	01:19:25,00 --> 01:19:29,50 	he raises his brow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS384 	01:00:39,00 --> 01:00:43,50 	someone raises her glass.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS286 	00:40:21,00 --> 00:40:27,50 	he raises his eyebrows.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS314 	00:23:57,00 --> 00:24:05,50 	as he raises his glass to his lips, the other two follow suit, swapping uneasy looks.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS583 	00:54:45,00 --> 00:54:52,50 	as someone heads to the back, the soldiers inside raise their gun
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS597 	00:55:47,00 --> 00:55:54,50 	as he touches his temple, someone and someone raise their binoculars again.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS803 	01:12:27,00 --> 01:12:33,50 	around the ring-shaped table, officials raise their hands unanimously.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS882 	01:20:39,00 --> 01:20:44,50 	raising his fingers, he wiggles them questioningly.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1274 	01:54:50,00 --> 01:55:00,50 	with the mutants behind him, someone raises a hand and the rockets stop in mid-air within a 100 feet of the shore.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS50 	00:07:11,00 --> 00:07:18,50 	someone raises her head and stares at the birth notice sticking out of her purse on the floor.
ZOMBIELAND.srt 	ZOMBIELAND_DVS642 	01:12:38,00 --> 01:12:44,50 	someone raises portable air horn above his head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS708 	01:17:36,00 --> 01:17:41,50 	trembling, he raises his shotgun at a clown zombie.
ZOMBIELAND.srt 	ZOMBIELAND_DVS716 	01:18:13,00 --> 01:18:20,50 	someone raises the mallet once again and smashes the clown's head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS731 	01:19:12,00 --> 01:19:16,50 	he raises his brow.
ZOMBIELAND.srt 	ZOMBIELAND_DVS756 	01:21:10,00 --> 01:21:14,50 	he raises a finger.
