21_JUMP_STREET.srt 	21_JUMP_STREET_DVS123 	00:18:46,00 --> 00:18:50,50 	someone picks up a vase.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS639 	01:09:38,00 --> 01:09:42,50 	he picks up her suitcase.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS841 	01:35:25,00 --> 01:35:32,50 	moving to a box of books he picks up a children's paperback and flips through it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1305 	02:19:13,00 --> 02:19:17,50 	he picks up a thick file.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS173 	00:58:12,00 --> 00:58:18,50 	someone readies a napkin and picks the greens off her plate.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS269 	01:42:15,00 --> 01:42:22,50 	someone picks up a contract and reads.
THE_VOW.srt 	THE_VOW_DVS292 	00:38:06,00 --> 00:38:12,50 	he picks it up and checks its display,
THE_WATCH.srt 	THE_WATCH_DVS30 	00:04:46,00 --> 00:04:52,50 	in the pharmacy, he picks out a medicine bottle and eats a few pills.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS24 	00:05:02,00 --> 00:05:10,50 	i'll pick up some pizza on the way home.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS168 	00:42:57,00 --> 00:43:02,50 	he picks her up with her knees straddling his waist.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS93 	00:14:59,00 --> 00:15:04,50 	the burly man picks someone up.
THOR.srt 	THOR_DVS50 	00:05:30,00 --> 00:05:35,50 	a warrior picks up the glowing box.
THOR.srt 	THOR_DVS83 	00:10:54,00 --> 00:11:00,50 	as one of the giants picks up the box, someone taps his spear against the floor.
THOR.srt 	THOR_DVS301 	00:42:34,00 --> 00:42:39,50 	someone picks up the broken mug.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS425 	00:45:26,00 --> 00:45:30,50 	someone picks up a guitar.
TRUE_GRIT.srt 	TRUE_GRIT_DVS59 	00:13:36,00 --> 00:13:42,50 	she picks up a shiny revolver and cradles it in both hands.
TRUE_GRIT.srt 	TRUE_GRIT_DVS387 	01:18:36,00 --> 01:18:41,50 	she picks up a wooden bucket by its rope handle.
TRUE_GRIT.srt 	TRUE_GRIT_DVS410 	01:21:04,00 --> 01:21:09,50 	someone picks herself up again.
TRUE_GRIT.srt 	TRUE_GRIT_DVS562 	01:39:15,00 --> 01:39:20,50 	someone picks her up and her aggression subsides.
TRUE_GRIT.srt 	TRUE_GRIT_DVS565 	01:39:34,00 --> 01:39:41,50 	someone lulls her head back and someone picks up his pace, trotting briskly on as fast as his legs.
TRUE_GRIT.srt 	TRUE_GRIT_DVS567 	01:39:48,00 --> 01:39:57,50 	someone stares ahead with a look of determination, his grizzled countenance picked out by the pale moonlight.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS263 	00:25:23,00 --> 00:25:27,50 	he picks up someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS404 	00:49:30,00 --> 00:49:34,50 	she picks up the gift and peeks around.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS412 	00:50:14,00 --> 00:50:23,50 	the producer caps her lipstick and picks up her cell phone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS418 	00:50:43,00 --> 00:50:53,50 	someone picks up the someone, black, vibrating panties and carefully works them over her black high heels.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS420 	00:50:55,00 --> 00:51:02,50 	the producer adjusts her skirt, then picks up a remote control.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS435 	00:53:11,00 --> 00:53:19,50 	a stocky pre-teen boy pick it up, quizzically rumpling his lips, and returns to his table.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS638 	01:28:32,00 --> 01:28:36,50 	someone pick up a phone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS88 	00:13:45,00 --> 00:13:51,50 	picking her up, someone carries her into her bedroom.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS308 	00:49:28,00 --> 00:49:32,50 	she picks up a hawk.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS593 	01:30:30,00 --> 01:30:42,50 	he strokes the teen's smooth hair, then notices a stack 	of drawings on a bedside table and picks them up.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS671 	01:38:32,00 --> 01:38:42,50 	later, as someone and someone look on, someone picks up a single piece of straw.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS532 	01:14:09,00 --> 01:14:15,50 	someone picks up a blonde hair extension and brushes it out.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS536 	01:14:30,00 --> 01:14:35,50 	he picks one with a gold face.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS227 	00:17:21,00 --> 00:17:26,50 	in the private room, the female agent picks up the rear.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS462 	00:41:30,00 --> 00:41:36,50 	he picks up a syringe and injects the needle into her vein.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS777 	01:09:37,00 --> 01:09:44,50 	he marches to a phone on one of the long tables and picks it up.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS140 	00:24:15,00 --> 00:24:20,50 	she picks up her purse, and smooths down her skirt.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS147 	00:25:52,00 --> 00:25:58,50 	someone picks up her phone and types on the keypad.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS294 	00:56:26,00 --> 00:56:32,50 	she picks it up and checks the caller id.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS376 	01:11:36,00 --> 01:11:42,50 	someone steps to a table in the living room and picks up a bottle of maker's someone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS425 	01:21:57,00 --> 01:22:01,50 	someone picks up a coffee pot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS272 	00:30:00,00 --> 00:30:04,50 	he picks up a rifle.
