21_JUMP_STREET.srt 	21_JUMP_STREET_DVS26 	00:03:12,00 --> 00:03:18,50 	he gives the trashcan a kick then grabs his aching leg.
IN_TIME.srt 	IN_TIME_DVS503 	00:54:25,00 --> 00:54:29,50 	someone gives him a stubborn look
IN_TIME.srt 	IN_TIME_DVS508 	00:54:36,00 --> 00:54:41,50 	someone gives a nod and someone answers.
IN_TIME.srt 	IN_TIME_DVS538 	00:57:59,00 --> 00:58:04,50 	she gives him an uneasy look, then extends her arm.
IN_TIME.srt 	IN_TIME_DVS560 	01:00:06,00 --> 01:00:10,50 	someone gives a surprised look.
IN_TIME.srt 	IN_TIME_DVS574 	01:01:01,00 --> 01:01:08,50 	he glances at someone, who gives him a sidelong look then shifts away her crestfallen eyes.
IN_TIME.srt 	IN_TIME_DVS584 	01:02:36,00 --> 01:02:40,50 	she gives him a tender look,
IN_TIME.srt 	IN_TIME_DVS614 	01:05:48,00 --> 01:05:52,50 	someone gives a thoughtful look.
IN_TIME.srt 	IN_TIME_DVS628 	01:07:09,00 --> 01:07:13,50 	she gives them to him.
IN_TIME.srt 	IN_TIME_DVS805 	01:25:43,00 --> 01:25:47,50 	he gives a cocky grin.
IN_TIME.srt 	IN_TIME_DVS838 	01:29:05,00 --> 01:29:10,50 	she gives him an exasperated look.
IN_TIME.srt 	IN_TIME_DVS853 	01:30:18,00 --> 01:30:22,50 	someone gives a shocked look.
IN_TIME.srt 	IN_TIME_DVS931 	01:38:01,00 --> 01:38:06,50 	they halt in front of him and he gives a relieved look.
IN_TIME.srt 	IN_TIME_DVS935 	01:38:44,00 --> 01:38:51,50 	shaking his head, someone gives an outraged smile.
IN_TIME.srt 	IN_TIME_DVS968 	01:41:51,00 --> 01:41:55,50 	he gives a resolute nod.
IN_TIME.srt 	IN_TIME_DVS978 	01:42:37,00 --> 01:42:42,50 	someone gives a sly smile.
INSIDE_MAN.srt 	INSIDE_MAN_DVS66 	00:17:58,00 --> 00:18:13,50 	he gives someone his cell phone and pats him on the cheek, then returns to the office and shuts the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS216 	01:00:23,00 --> 01:00:28,50 	he gives a thumbs up to his listening team.
INSIDE_MAN.srt 	INSIDE_MAN_DVS231 	01:08:03,00 --> 01:08:07,50 	he gives the phone to ms.
INSIDE_MAN.srt 	INSIDE_MAN_DVS413 	01:59:11,00 --> 01:59:21,50 	someone gives the bank chairman a cold look, then follows his partner.
IRON_MAN_2.srt 	IRON_MAN_2_DVS86 	00:17:08,00 --> 00:17:18,50 	someone dons dark sunglasses, gives a thumbs up, and blows kisses to someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS160 	00:30:13,00 --> 00:30:20,50 	on the roadway, someone gives a thumbs up to a crew member.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS57 	00:16:59,00 --> 00:17:04,50 	someone gives her a squeeze.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS60 	00:17:37,00 --> 00:17:45,50 	someone uncomfortably arches her brows, then gives a sad blink and gazes at the ceiling.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS67 	00:18:59,00 --> 00:19:04,50 	she gives an amused smirk.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS88 	00:26:30,00 --> 00:26:38,50 	now, at the hotel's front desk the clerk gives someone and someone their bills.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS160 	00:53:14,00 --> 00:53:22,50 	someone gives in her lips meeting his in a sensual mood.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS178 	00:56:56,00 --> 00:57:02,50 	lifting her brow someone gives a wide-eyed nod.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS223 	01:05:43,00 --> 01:05:48,50 	he gives someone a pleading look.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS237 	01:08:36,00 --> 01:08:45,50 	someone gives a tender smile which fades to a serene look.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS259 	01:14:30,00 --> 01:14:36,50 	someone stares at his family glumly then gives a regretful look.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS263 	01:15:19,00 --> 01:15:27,50 	he gives a little hop.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS349 	01:38:45,00 --> 01:38:50,50 	went into the bedroom and gives a mischievous grin.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS375 	01:45:52,00 --> 01:45:57,50 	she drops her gaze and gives a pensive nod.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS386 	01:49:02,00 --> 01:49:08,50 	he paces away from her as she gives a fleeting smile.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS387 	01:49:10,00 --> 01:49:16,50 	he gives a gentle grin and she gazes at him earnestly.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS400 	01:52:29,00 --> 01:52:38,50 	someone gives a broad shrug then drops his hands into his lap.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS406 	01:53:20,00 --> 01:53:26,50 	someone halts, gives a long nod.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS199 	00:39:33,00 --> 00:39:40,50 	as everyone around her jumps up and cheers, someone gives an unimpressed look.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS201 	00:39:43,00 --> 00:39:49,50 	the older man lowers his fake beard and gives her a smile.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS282 	00:53:23,00 --> 00:53:29,50 	two relatives lift someone onto their shoulders, and she gives the crowd high fives.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS357 	01:07:08,00 --> 01:07:14,50 	the old valet gives his own fingers a kiss of approval.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS430 	01:20:24,00 --> 01:20:30,50 	with the kids, someone gives a perplexed smile.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS38 	00:04:34,00 --> 00:04:38,50 	the redhead gives a resigned nod.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS87 	00:12:40,00 --> 00:12:48,50 	someone gives an amused smirk.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS91 	00:14:05,00 --> 00:14:10,50 	someone gives someone a forlorn look.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS181 	00:33:44,00 --> 00:33:49,50 	she gives it a small upward jerk, and flips the omelet.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS298 	00:59:14,00 --> 00:59:19,50 	someone gives a proud smile, and shrugs.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS369 	01:10:06,00 --> 01:10:11,50 	someone jolts awake, and gives a horrified gape.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS427 	01:23:20,00 --> 01:23:24,50 	someone gives a reserved nod.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS467 	01:30:25,00 --> 01:30:30,50 	someone gives a sympathetic look.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS470 	01:30:45,00 --> 01:30:50,50 	someone gives a thoughtful look.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS38 	00:10:00,00 --> 00:10:05,50 	he gives ariel a shot, then smacks him.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS62 	00:23:39,00 --> 00:23:44,50 	someone gives her a gentle shove, and she falls over.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS66 	00:23:53,00 --> 00:23:59,50 	someone gives her a playful shove, and she swats at him.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS190 	01:08:17,00 --> 01:08:21,50 	he gives her the putting flag.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS244 	01:24:38,00 --> 01:24:44,50 	the girl hugs someone, then he gives her the heimlich maneuver.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS251 	01:26:26,00 --> 01:26:31,50 	as he guides her off stage, someone gives her a hug.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS337 	01:48:11,00 --> 01:48:19,50 	her old friend gives a small nod.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS337 	01:48:11,00 --> 01:48:19,50 	leaning in, she gives him a passionate kiss.
KARATE_KID.srt 	KARATE_KID_DVS84 	00:07:21,00 --> 00:07:26,50 	someone gives the sign a skeptical look.
KARATE_KID.srt 	KARATE_KID_DVS194 	00:16:55,00 --> 00:17:00,50 	she gives a meek nod.
KARATE_KID.srt 	KARATE_KID_DVS350 	00:31:23,00 --> 00:31:30,50 	he and his friend dump out its contents, then give the bag another kick.
KARATE_KID.srt 	KARATE_KID_DVS397 	00:35:48,00 --> 00:35:54,50 	he gives his mother an anguished look, his brow creased.
KARATE_KID.srt 	KARATE_KID_DVS419 	00:38:11,00 --> 00:38:18,50 	someone follows his gaze to the boy, who gives a menacing look.
KARATE_KID.srt 	KARATE_KID_DVS461 	00:40:58,00 --> 00:41:08,50 	he and his friends give chase.
KARATE_KID.srt 	KARATE_KID_DVS510 	00:46:23,00 --> 00:46:31,50 	someone gives him a look and the boy backs away.
KARATE_KID.srt 	KARATE_KID_DVS535 	00:48:17,00 --> 00:48:21,50 	someone gives someone a look.
KARATE_KID.srt 	KARATE_KID_DVS634 	00:54:10,00 --> 00:54:14,50 	someone gives an uneasy look.
KARATE_KID.srt 	KARATE_KID_DVS819 	01:08:11,00 --> 01:08:19,50 	as someone stares at his friend tenderly, someone gives a shy smile and fidgets.
KARATE_KID.srt 	KARATE_KID_DVS927 	01:15:57,00 --> 01:16:02,50 	someone gives him a wry look.
KARATE_KID.srt 	KARATE_KID_DVS982 	01:20:16,00 --> 01:20:24,50 	someone gives one last look to the exquisite spectacle, then follows his teacher to a doorway.
KARATE_KID.srt 	KARATE_KID_DVS1054 	01:25:38,00 --> 01:25:43,50 	he gives another smack.
KARATE_KID.srt 	KARATE_KID_DVS1090 	01:29:56,00 --> 01:30:21,50 	she struts toward someone, gives a shimmy, then pops her bent arms.
KARATE_KID.srt 	KARATE_KID_DVS1363 	01:50:07,00 --> 01:50:13,50 	someone gives a relieved smile.
KARATE_KID.srt 	KARATE_KID_DVS1364 	01:50:12,00 --> 01:50:18,50 	someone gives a slight bow and plants his fist against his palm.
KARATE_KID.srt 	KARATE_KID_DVS1416 	01:54:25,00 --> 01:54:30,50 	the official gives someone a point.
KARATE_KID.srt 	KARATE_KID_DVS1442 	01:57:00,00 --> 01:57:15,50 	with an icy glare, he gives someone ping a perfunctory bow.
KARATE_KID.srt 	KARATE_KID_DVS1525 	02:03:46,00 --> 02:03:51,50 	someone gives an understanding nod.
KARATE_KID.srt 	KARATE_KID_DVS1548 	02:05:09,00 --> 02:05:17,50 	someone gives someone a supportive nod and pat on the back.
KARATE_KID.srt 	KARATE_KID_DVS1555 	02:05:34,00 --> 02:05:38,50 	his opponent gives a small jump forward.
KARATE_KID.srt 	KARATE_KID_DVS1608 	02:10:50,00 --> 02:10:57,50 	someone cheers wildly and someone gives an astonished smile.
KARATE_KID.srt 	KARATE_KID_DVS1632 	02:12:40,00 --> 02:12:46,50 	someone gives a proud nod, his eyes glistening.
KARATE_KID.srt 	KARATE_KID_DVS1639 	02:13:08,00 --> 02:13:16,50 	gives a crooked smile, and offers it to him.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS240 	00:57:54,00 --> 00:57:59,50 	later, a woman gives someone a manicure.
KNOCKED_UP.srt 	KNOCKED_UP_DVS77 	00:44:51,00 --> 00:44:56,50 	someone gives a slow thoughtful nod.
KNOCKED_UP.srt 	KNOCKED_UP_DVS90 	00:55:14,00 --> 00:55:19,50 	someone gives a defensive shrug
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS209 	01:14:14,00 --> 01:14:19,50 	she wraps her arms around his neck and gives him a passionate kiss.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS218 	01:18:22,00 --> 01:18:26,50 	he gives him a man hug.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS40 	00:13:27,00 --> 00:13:32,50 	he gives a suggestive wink.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS77 	00:19:45,00 --> 00:19:58,50 	the instructor gazes out at their expectant faces, then gives an indifferent shrug.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS79 	00:20:29,00 --> 00:20:35,50 	she gives a bright firm nod.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS93 	00:23:15,00 --> 00:23:24,50 	someone gives a puzzled frown, someone eyes someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS103 	00:25:01,00 --> 00:25:06,50 	she gives a disappointed nod.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS171 	00:39:39,00 --> 00:39:44,50 	someone gives him a kiss.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS232 	00:54:27,00 --> 00:54:32,50 	she gives him a trendy dark rimmed pair.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS262 	01:02:38,00 --> 01:02:55,50 	someone gives him a playful grin and someone stares at her with concerned eyes.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS282 	01:07:11,00 --> 01:07:17,50 	she gives a brisk headshake then returns her attention to someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS283 	01:07:41,00 --> 01:07:52,50 	with his lips pressed in a solemn line someone gives a respectful nod.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS287 	01:09:03,00 --> 01:09:07,50 	he gives her the accordion files.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS289 	01:09:41,00 --> 01:09:46,50 	someone gives him a thoughtful look.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS335 	01:17:30,00 --> 01:17:36,50 	lamar gives him three lottery tickets.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS382 	01:30:45,00 --> 01:30:55,50 	closing her eyes, someone gives a wide
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS318 	00:39:52,00 --> 00:39:57,50 	a sailor gives him a life jacket.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS407 	00:47:48,00 --> 00:47:55,50 	the teen gives her a weary smile then leans over the side of the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS417 	00:48:35,00 --> 00:48:40,50 	he gives a resigned sigh.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS453 	00:51:41,00 --> 00:51:47,50 	orange juice gives hers a shake, the throws it down.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS549 	00:59:15,00 --> 00:59:21,50 	someone gives a small nod and gazes into the animal's fierce amber eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS676 	01:11:46,00 --> 01:11:57,50 	on a starry night beneath a full moon, countless sea creatures swimming around the boat and raft give off a cerulean-hued phosphorescent glow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS682 	01:12:12,00 --> 01:12:18,50 	the water gives off a sparkling glow with each motion of his hand.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS956 	01:34:44,00 --> 01:34:50,50 	as he steps on to terraferma, his legs give out and he falls.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1087 	01:50:54,00 --> 01:50:59,50 	someone gives a conceding nod.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1107 	01:55:39,00 --> 01:55:43,50 	the writer gives a slight frown.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1112 	01:56:57,00 --> 01:57:03,50 	someone gives a faint smile.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS13 	00:03:13,00 --> 00:03:18,50 	someone gives someone a bemused frown.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS55 	00:20:18,00 --> 00:20:24,50 	as someone gives a satisfied look, someone vomits.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS86 	00:32:19,00 --> 00:32:24,50 	they give confused looks.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS118 	00:44:13,00 --> 00:44:19,50 	he stares at someone, who gives a halfhearted smile.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS146 	00:52:33,00 --> 00:52:41,50 	he gives two thumbs up then heads away.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS152 	00:54:21,00 --> 00:54:31,50 	someone gives a mock scowl.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS159 	00:56:29,00 --> 00:56:33,50 	someone gives them a kiss.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS272 	01:26:58,00 --> 01:27:02,50 	he gives someone a look.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS280 	01:28:22,00 --> 01:28:27,50 	someone gives him a tender look.
MORNING_GLORY.srt 	MORNING_GLORY_DVS341 	01:14:56,00 --> 01:15:00,50 	she gives the frog a sloppy kiss.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS101 	00:14:47,00 --> 00:14:55,50 	someone gives it a quick peck.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS171 	00:24:27,00 --> 00:24:32,50 	the penguin runs off and someone gives chase.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS214 	00:31:21,00 --> 00:31:25,50 	he gives a crazed look.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS225 	00:32:15,00 --> 00:32:19,50 	he gives a thoughtful look.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS236 	00:34:44,00 --> 00:34:53,50 	beside him, someone texts on her cell and someone gives a disappointed look.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS253 	00:36:32,00 --> 00:36:37,50 	he gives someone more cash.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS280 	00:37:43,00 --> 00:37:48,50 	she gives someone a kiss.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS351 	00:44:27,00 --> 00:44:38,50 	the dancing patron's part, giving mrs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS474 	00:56:41,00 --> 00:56:46,50 	she gives him an unsure look, then smiles.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS481 	00:58:32,00 --> 00:58:37,50 	someone gives them a sulky look.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS534 	01:04:18,00 --> 01:04:23,50 	someone gives a resigned look.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS556 	01:05:52,00 --> 01:05:58,50 	someone's shoulders heave, and he gives an anguished look.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS577 	01:09:18,00 --> 01:09:23,50 	someone gives a wounded look.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS634 	01:16:49,00 --> 01:17:07,50 	she gives him a nod, then strides toward the guard, swoons, and falls on her back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS658 	01:21:34,00 --> 01:21:39,50 	someone gives a confident nod.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS675 	01:23:59,00 --> 01:24:03,50 	he gives them a pleased look.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS43 	00:10:36,00 --> 00:10:46,50 	he gives in and steps down.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS191 	00:41:51,00 --> 00:41:56,50 	the boys give chase.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS220 	00:46:17,00 --> 00:46:23,50 	someone gives a smarmy wave good-bye.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS279 	01:01:17,00 --> 01:01:22,50 	someone gives a respectful nod.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS307 	01:06:40,00 --> 01:06:46,50 	she gives a nod.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS314 	01:08:51,00 --> 01:08:56,50 	someone gives someone a nod.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS325 	01:11:51,00 --> 01:11:58,50 	as he leans over her shoulder, the fountain pen poised, someone gives him a look.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS328 	01:12:26,00 --> 01:12:31,50 	someone gives someone a puzzled look, but
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS412 	01:26:05,00 --> 01:26:15,50 	someone gives a relieved nod.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS52 	00:06:11,00 --> 00:06:16,50 	someone gives someone's attractive mom a big hug.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS332 	01:00:25,00 --> 01:00:29,50 	he gives it to someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS341 	01:03:51,00 --> 01:03:57,50 	someone gives an embarrassed smile and a wave.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS561 	01:42:10,00 --> 01:42:15,50 	someone gives a weary look and follows him.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS240 	00:56:40,00 --> 00:56:45,50 	someone gives the conductor cash.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS254 	01:00:54,00 --> 01:01:00,50 	he gives a taunting lunge.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS335 	01:19:50,00 --> 01:19:55,50 	someone gives someone a sidelong glance.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS345 	01:22:40,00 --> 01:22:46,50 	as someone heads upstairs, he gives someone a pat on the back.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS392 	01:29:05,00 --> 01:29:15,50 	as someone leans forward, someone's sister gives a dirty look.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS169 	00:37:05,00 --> 00:37:12,50 	beside him, someone gives a nod and raises his staff in congratulations.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS356 	01:28:16,00 --> 01:28:21,50 	then gives hades an apologetic smile.
PROMETHEUS.srt 	PROMETHEUS_DVS176 	00:12:14,00 --> 00:12:24,50 	from the nose, outer panels part giving view through the glass windows to a pale gray planet floating amidst a sea of stars.
PROMETHEUS.srt 	PROMETHEUS_DVS208 	00:15:05,00 --> 00:15:11,50 	someone gives an intimidated nod then smiles.
PROMETHEUS.srt 	PROMETHEUS_DVS226 	00:19:08,00 --> 00:19:13,50 	the mohawked crewman gives a nod.
PROMETHEUS.srt 	PROMETHEUS_DVS239 	00:20:39,00 --> 00:20:44,50 	windows give the illusion of a peaceful winter scene.
PROMETHEUS.srt 	PROMETHEUS_DVS258 	00:24:45,00 --> 00:24:49,50 	he gives a smile.
PROMETHEUS.srt 	PROMETHEUS_DVS293 	00:29:02,00 --> 00:29:09,50 	the crust rounded front gives a hint of wind-eroded carving of a face.
PROMETHEUS.srt 	PROMETHEUS_DVS432 	00:44:00,00 --> 00:44:08,50 	the android calmly clips the humans to his line and gives someone the okay hand signal.
PROMETHEUS.srt 	PROMETHEUS_DVS529 	00:59:02,00 --> 00:59:09,50 	gazing into her eyes he gives her a tender kiss and rubs her chest.
PROMETHEUS.srt 	PROMETHEUS_DVS747 	01:20:34,00 --> 01:20:42,50 	a hand in an oversized yellow glove gives her cheek a few brisk taps.
PROMETHEUS.srt 	PROMETHEUS_DVS774 	01:23:26,00 --> 01:23:32,50 	as they lower toward her, someone gives herself another injection.
PROMETHEUS.srt 	PROMETHEUS_DVS812 	01:27:10,00 --> 01:27:17,50 	meanwhile, someone gives herself another shot, then drops the auto-injector.
PROMETHEUS.srt 	PROMETHEUS_DVS943 	01:44:23,00 --> 01:44:28,50 	someone gives his captain an affirming glance.
PROMETHEUS.srt 	PROMETHEUS_DVS1050 	01:54:24,00 --> 01:54:28,50 	and gives a relieved sigh.
PROMETHEUS.srt 	PROMETHEUS_DVS1057 	01:55:53,00 --> 01:56:02,50 	someone gives her a childlike appreciative smile as she lowers him into her bag.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS37 	00:06:10,00 --> 00:06:21,50 	his grip on someone's forearm gives way and the gang leader lets him go.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS64 	00:11:20,00 --> 00:11:26,50 	he grins and gives the blonde a kiss.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS125 	00:23:24,00 --> 00:23:29,50 	he gives his head a stunned shake.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS144 	00:25:52,00 --> 00:26:06,50 	the snobbish woman gives her the eye.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS190 	00:36:26,00 --> 00:36:33,50 	someone gazes dreamily at him and he gives her another smile.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS206 	00:39:12,00 --> 00:39:19,50 	someone eyes it and gives a nod.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS274 	00:52:17,00 --> 00:52:23,50 	chewing some gum, the criminal gives a cocky smile.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS364 	01:09:40,00 --> 01:09:47,50 	someone gives gilbert a hard look.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS412 	01:19:29,00 --> 01:19:37,50 	the leader gives a nod and homer leaves.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS416 	01:20:18,00 --> 01:20:27,50 	someone accepts the cash, gives his brow a resigned lift, and shoots a tentative smile at someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS505 	01:35:06,00 --> 01:35:20,50 	he swallows, glancing at someone, and his lips give a brief irritated sneer.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS689 	02:09:13,00 --> 02:09:20,50 	someone swallows, blinks her glistening eyes, then gives a stony nod.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS697 	02:10:34,00 --> 02:10:39,50 	meeting someone's gaze, she gives a nod.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS203 	00:49:11,00 --> 00:49:19,50 	king someone gives someone a patronizing look.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS260 	01:00:10,00 --> 01:00:19,50 	the widow give someone a final glance before heading out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS276 	01:06:11,00 --> 01:06:17,50 	she gives a mocking curtsy, then storms off, shoving her fingers in her mouth.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS345 	01:24:57,00 --> 01:25:07,50 	he gives her a boost into the saddle, then gently sets her foot in a stirrup.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS348 	01:25:15,00 --> 01:25:35,50 	he meets her gaze and she gives a coy warm smile.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS414 	01:43:58,00 --> 01:44:08,50 	he leans close and gives a taunting smile.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS103 	00:17:58,00 --> 00:18:04,50 	someone gives someone a wide-eyed sheepish stare as she shuts the drawer.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS176 	00:29:12,00 --> 00:29:16,50 	he gives a feeble shake of his head.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS372 	01:00:05,00 --> 01:00:10,50 	someone gives an earnest shake of his head.
