21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	someone shifts his frustrated gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS815 	01:33:24,00 --> 01:33:29,50 	then thoughtfully shifts his gaze away.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1017 	01:49:49,00 --> 01:49:55,50 	in the cottage someone removes his reading glasses and shifts his thoughtful gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1080 	01:53:36,00 --> 01:53:40,50 	someone pauses, shifting his weary gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1118 	01:57:22,00 --> 01:57:28,50 	someone shifts his defeated gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1286 	02:15:44,00 --> 02:15:48,50 	someone shifts his gaze.
THE_VOW.srt 	THE_VOW_DVS145 	00:15:08,00 --> 00:15:15,50 	the brunette shifts her groggy gaze, then closes her eyes and winces.
THE_VOW.srt 	THE_VOW_DVS160 	00:16:36,00 --> 00:16:41,50 	she shifts her shocked eyes to someone.
THE_VOW.srt 	THE_VOW_DVS175 	00:19:02,00 --> 00:19:06,50 	someone shifts her shocked gaze.
THE_WATCH.srt 	THE_WATCH_DVS76 	00:10:01,00 --> 00:10:07,50 	shifting his emotional gaze, someone tugs at his collar.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS107 	00:31:07,00 --> 00:31:16,50 	her eyes slowly shift back toward it.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS163 	00:42:39,00 --> 00:42:45,50 	he shifts his gaze to the stereo's display panel.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS230 	00:57:39,00 --> 00:57:43,50 	someone shifts her wide-eyed gaze.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS374 	01:09:13,00 --> 01:09:19,50 	it shifts to james monroe elementary.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS707 	01:18:26,00 --> 01:18:32,50 	he shifts his conflicted gaze and crouches slightly, his stick ready.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS251 	00:23:49,00 --> 00:23:53,50 	she shifts on a branch.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS513 	01:07:50,00 --> 01:07:58,50 	she shifts her eyes back to the monitor and watches as someone forces a smile.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS549 	01:13:31,00 --> 01:13:39,50 	someone shifts her eyes to the floor.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS51 	00:09:58,00 --> 00:10:12,50 	with concerned looks, both men shift their eyes back to someone's drawing, where the bald 	decapitated man's tongue juts from his mouth in agony, as his head flies away from his body.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS84 	00:13:28,00 --> 00:13:34,50 	he shifts his gaze to a cluster of pill bottles filling a shelf.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS143 	00:25:03,00 --> 00:25:18,50 	in the back seat, someone sighs and shifts his unhappy 	gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS158 	00:27:50,00 --> 00:27:56,50 	someone shifts her skeptical gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS328 	00:53:13,00 --> 00:53:20,50 	the inspector shifts his gaze to someone and wiggles his eyebrows.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS393 	01:02:39,00 --> 01:02:44,50 	someone shifts his gaze to the zoo's grounds.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS435 	01:08:16,00 --> 01:08:21,50 	someone shifts her weight, her gaze intent.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS557 	01:26:48,00 --> 01:26:57,50 	a vulture's sharp-beaked face and white fluffy collar fill our view as it shifts its keen gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS843 	01:58:24,00 --> 01:58:29,50 	shifting his gaze from his kids,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS516 	01:13:32,00 --> 01:13:37,50 	someone pauses and shifts her gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS75 	00:05:39,00 --> 00:05:46,50 	someone sighs, shifts his gaze to the coin, and grits his teeth.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS82 	00:06:04,00 --> 00:06:10,50 	his gaze troubled, the doctor shifts thoughtfully in his chair.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS362 	00:30:06,00 --> 00:30:14,50 	dark scales flutter around her figure in waves as she shifts into her natural blue form.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS414 	00:35:28,00 --> 00:35:39,50 	in the escaping submarine, someone shifts his smug gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS427 	00:37:40,00 --> 00:37:47,50 	the slim charmingly disheveled young man shifts his uncertain gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS468 	00:41:55,00 --> 00:42:01,50 	the young man licks his lips and shifts his uneasy gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS600 	00:55:58,00 --> 00:56:07,50 	the russian man blinks as if dazed, then shifts his gaze to someone as she greets a mustached general.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS663 	01:00:50,00 --> 01:00:55,50 	he shifts his gaze back to someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS975 	01:29:28,00 --> 01:29:37,50 	starting at her hand, she shifts into her natural form, with scaly blue skin, slick dark-red hair, and pale-yellow eye
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1060 	01:35:37,00 --> 01:35:45,50 	someone shifts his gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1179 	01:45:24,00 --> 01:45:30,50 	he shifts his troubled gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1265 	01:54:25,00 --> 01:54:30,50 	on the beach, someone shifts his gaze.
ZOMBIELAND.srt 	ZOMBIELAND_DVS340 	00:39:10,00 --> 00:39:14,50 	he shifts his stare to the window.
ZOMBIELAND.srt 	ZOMBIELAND_DVS548 	01:04:10,00 --> 01:04:16,50 	someone smiles at her sister then shifts gears.
ZOMBIELAND.srt 	ZOMBIELAND_DVS736 	01:19:38,00 --> 01:19:45,50 	he swallows then shifts his attention to little someone who rolls her eyes.
ZOOKEEPER.srt 	ZOOKEEPER_DVS126 	00:27:17,00 --> 00:27:25,50 	the gorilla shifts his gaze.
ZOOKEEPER.srt 	ZOOKEEPER_DVS248 	00:55:38,00 --> 00:55:44,50 	he shifts his eyes pensively.
ZOOKEEPER.srt 	ZOOKEEPER_DVS338 	01:15:22,00 --> 01:15:28,50 	frowning, someone shifts her gaze to the eagles.
ZOOKEEPER.srt 	ZOOKEEPER_DVS350 	01:18:31,00 --> 01:18:35,50 	shane shifts his weight.
