21_JUMP_STREET.srt 	21_JUMP_STREET_DVS267 	00:46:28,00 --> 00:46:33,50 	now, someone's parents leave the house.
IN_TIME.srt 	IN_TIME_DVS674 	01:13:13,00 --> 01:13:19,50 	as the pair leaves, the customers rush into the vault and clean it out.
IN_TIME.srt 	IN_TIME_DVS696 	01:14:49,00 --> 01:14:55,50 	now, the words out of blink of on his neon sign, leaving only time illuminated.
IN_TIME.srt 	IN_TIME_DVS728 	01:17:44,00 --> 01:17:50,50 	as someone and someone leave the room, a few arrive in the hall.
IN_TIME.srt 	IN_TIME_DVS766 	01:20:55,00 --> 01:20:59,50 	he leaves with a sneer.
IN_TIME.srt 	IN_TIME_DVS898 	01:35:14,00 --> 01:35:22,50 	someone and someone flinch as shots hit the windshield, leaving dents in the bulletproof glass.
INSIDE_MAN.srt 	INSIDE_MAN_DVS108 	00:33:04,00 --> 00:33:12,50 	we never leave until the job is done.
INSIDE_MAN.srt 	INSIDE_MAN_DVS159 	00:47:17,00 --> 00:47:21,50 	someone leaves.
INSIDE_MAN.srt 	INSIDE_MAN_DVS198 	00:56:48,00 --> 00:56:56,50 	with a sultry smirk, the shapely woman leaves someone, someone, and someone to their investigation.
INSIDE_MAN.srt 	INSIDE_MAN_DVS208 	00:58:43,00 --> 00:58:49,50 	someone leaves the room with the papers.
INSIDE_MAN.srt 	INSIDE_MAN_DVS244 	01:14:33,00 --> 01:14:39,50 	someone leaves him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS361 	01:44:15,00 --> 01:44:26,50 	someone leaves.
INSIDE_MAN.srt 	INSIDE_MAN_DVS400 	01:54:00,00 --> 01:54:07,50 	the mastermind leaves as someone and someone approach a desk.
INSIDE_MAN.srt 	INSIDE_MAN_DVS418 	02:00:04,00 --> 02:00:09,50 	the other man leaves the table.
IRON_MAN_2.srt 	IRON_MAN_2_DVS114 	00:22:27,00 --> 00:22:33,50 	someone tucks the envelope in his jacket and pays the man, who leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS137 	00:25:43,00 --> 00:25:48,50 	someone leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS210 	00:40:02,00 --> 00:40:06,50 	someone leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS219 	00:42:13,00 --> 00:42:19,50 	staring at someone, the guard places the tray on a shelf attached to the cell door and leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS227 	00:42:45,00 --> 00:42:50,50 	the guard closes the door, locks it, and leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS245 	00:44:44,00 --> 00:44:50,50 	the guard and the others leave.
IRON_MAN_2.srt 	IRON_MAN_2_DVS337 	01:00:22,00 --> 01:00:30,50 	the men move their heads from left to right as someone speeds past the tower.
IRON_MAN_2.srt 	IRON_MAN_2_DVS349 	01:03:07,00 --> 01:03:11,50 	someone leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS366 	01:09:44,00 --> 01:09:50,50 	someone leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS422 	01:19:56,00 --> 01:20:00,50 	someone also leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS424 	01:20:18,00 --> 01:20:23,50 	someone closes the door as she leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS467 	01:25:29,00 --> 01:25:34,50 	someone leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS474 	01:26:04,00 --> 01:26:12,50 	firing from left to right toward the triangular core, the beam burns a line in the wall which drips with flames.
IRON_MAN_2.srt 	IRON_MAN_2_DVS517 	01:33:43,00 --> 01:33:54,50 	as footage of military aircraft and ships appear on the screen, eight drones rise from the floor on a platform at the back of stage left.
IRON_MAN_2.srt 	IRON_MAN_2_DVS519 	01:33:57,00 --> 01:34:05,50 	more drones with wing-like panels atop their shoulders rise from the back of the stage left.
IRON_MAN_2.srt 	IRON_MAN_2_DVS520 	01:34:09,00 --> 01:34:15,50 	eight drones with glowing faces rise at the front of stage left.
IRON_MAN_2.srt 	IRON_MAN_2_DVS552 	01:38:07,00 --> 01:38:13,50 	someone lets go of someone and leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS652 	01:49:28,00 --> 01:49:43,50 	a small missile launcher pops out of someone's left shoulder.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	left alone, someone gazes at her picturesque house.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS168 	00:54:11,00 --> 00:54:15,50 	his ex and leaves.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS182 	00:58:11,00 --> 00:58:18,50 	as the nurse leaves he sets down his specimen cup.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS227 	01:06:58,00 --> 01:07:03,50 	someone kisses her and leaves.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS58 	00:09:27,00 --> 00:09:34,50 	someone climbs out of bed, leaving behind a full body sweat stain on the sheet.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS83 	00:18:47,00 --> 00:18:51,50 	he smiles at her as he leaves.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS180 	00:35:07,00 --> 00:35:10,50 	she leaves.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS67 	00:08:20,00 --> 00:08:25,50 	someone smiles gratefully and leaves.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS176 	00:33:07,00 --> 00:33:13,50 	with an amused smile, someone shakes his head and leaves.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS182 	00:33:49,00 --> 00:33:55,50 	madame someone leaves with an indignant huff.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS258 	00:49:11,00 --> 00:49:16,50 	someone leaves someone alone at a desk.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS262 	00:50:19,00 --> 00:50:25,50 	someone steps out, leaving someone to retake her test.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS559 	01:50:07,00 --> 01:50:16,50 	the postman hands her an envelope and leaves.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS15 	00:04:11,00 --> 00:04:15,50 	the pair leaves.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS19 	00:04:57,00 --> 00:05:03,50 	he leaves a note on a young woman's pillow, cindy i had a great night.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS39 	00:10:18,00 --> 00:10:22,50 	later, they leave the bathroom.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS80 	00:29:16,00 --> 00:29:20,50 	later, they leave.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS176 	01:03:17,00 --> 01:03:22,50 	as she leaves, someone approaches her in the hallway.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS188 	01:06:30,00 --> 01:06:37,50 	someone leaves.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS230 	01:19:31,00 --> 01:19:35,50 	someone leaves.
KARATE_KID.srt 	KARATE_KID_DVS221 	00:19:10,00 --> 00:19:17,50 	crouching over his fallen opponent, he delivers a brutal punch to someone's left eye.
KARATE_KID.srt 	KARATE_KID_DVS225 	00:19:39,00 --> 00:19:45,50 	someone leaves someone to himself and the other gawkers disperse.
KARATE_KID.srt 	KARATE_KID_DVS263 	00:23:55,00 --> 00:24:04,50 	the girl grins sweetly and leaves.
KARATE_KID.srt 	KARATE_KID_DVS314 	00:28:07,00 --> 00:28:14,50 	and they leave through the same door.
KARATE_KID.srt 	KARATE_KID_DVS389 	00:34:43,00 --> 00:34:51,50 	someone leaves.
KARATE_KID.srt 	KARATE_KID_DVS1068 	01:26:50,00 --> 01:26:56,50 	as someone leaves, mr.
KARATE_KID.srt 	KARATE_KID_DVS1072 	01:27:22,00 --> 01:27:27,50 	she leaves.
KARATE_KID.srt 	KARATE_KID_DVS1085 	01:29:19,00 --> 01:29:26,50 	she leaves someone on the dancer's platform, claps her hands, and nods encouragingly.
KARATE_KID.srt 	KARATE_KID_DVS1133 	01:34:13,00 --> 01:34:19,50 	someone leaves the stage as the judges chat and nod.
KARATE_KID.srt 	KARATE_KID_DVS1496 	02:01:36,00 --> 02:01:42,50 	as the doctor leaves, someone and someone rush in.
KARATE_KID.srt 	KARATE_KID_DVS1502 	02:02:09,00 --> 02:02:17,50 	the two females leave together.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS159 	00:45:35,00 --> 00:45:43,50 	someone leaves.
KNOCKED_UP.srt 	KNOCKED_UP_DVS121 	01:12:07,00 --> 01:12:12,50 	as someone leaves, someone smiles at someone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS156 	01:37:46,00 --> 01:37:53,50 	someone leaves.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS147 	00:53:37,00 --> 00:53:47,50 	they leave someone alone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS165 	01:00:35,00 --> 01:00:41,50 	he removes his khaki shirt, leaving his t-shirt on.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS219 	01:18:29,00 --> 01:18:34,50 	someone leaves past grumpy.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS178 	00:40:39,00 --> 00:40:53,50 	he leaves.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS218 	00:50:15,00 --> 00:50:24,50 	she gawks as someone and someone leave the suv for the donut shop.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS82 	00:07:43,00 --> 00:07:50,50 	leaving his seat, the skinny, sad-eyed someone marches up to the front of the class.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS86 	00:08:44,00 --> 00:08:49,50 	someone leaves another chalkboard and resumes his seat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS158 	00:21:04,00 --> 00:21:10,50 	in present day, someone and the writer leave his house.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS295 	00:38:26,00 --> 00:38:32,50 	it leaves the upper deck flooded as he recovers.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS378 	00:45:14,00 --> 00:45:21,50 	lightning flashes then diminishes leaving the boy alone in the darkness.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS521 	00:57:06,00 --> 00:57:16,50 	as the boat and raft float of gently rolling waves, the clouds gradually blot out the moonlight leaving the boy and tiger in darkness.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS64 	00:22:34,00 --> 00:22:39,50 	he winks at someone then leaves.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS127 	00:46:39,00 --> 00:46:51,50 	as she leaves, someone eyes the sample box of sustengo.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS190 	01:09:34,00 --> 01:09:41,50 	she leaves and someone stares ahead.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS206 	01:13:46,00 --> 01:13:51,50 	he licks his lips, presses them tight, and leaves.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS216 	01:18:12,00 --> 01:18:18,50 	someone leaves his car with the valet.
MORNING_GLORY.srt 	MORNING_GLORY_DVS101 	00:22:03,00 --> 00:22:08,50 	someone leaves.
MORNING_GLORY.srt 	MORNING_GLORY_DVS179 	00:41:03,00 --> 00:41:09,50 	someone sinks back into his seat and the woman leaves.
MORNING_GLORY.srt 	MORNING_GLORY_DVS211 	00:48:07,00 --> 00:48:12,50 	she kisses him and leaves.
MORNING_GLORY.srt 	MORNING_GLORY_DVS367 	01:21:08,00 --> 01:21:12,50 	she leaves.
MORNING_GLORY.srt 	MORNING_GLORY_DVS433 	01:33:52,00 --> 01:33:57,50 	the woman leaves the note with someone and heads off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS453 	01:36:32,00 --> 01:36:37,50 	someone leaves.
MORNING_GLORY.srt 	MORNING_GLORY_DVS466 	01:39:04,00 --> 01:39:08,50 	she leaves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS44 	00:07:26,00 --> 00:07:31,50 	someone leaves his town car for a brownstone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS97 	00:14:14,00 --> 00:14:19,50 	he grabs his briefcase and leaves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS109 	00:17:41,00 --> 00:17:47,50 	someone leaves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS127 	00:20:23,00 --> 00:20:28,50 	the sanitation man leaves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS227 	00:32:27,00 --> 00:32:33,50 	he leaves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS230 	00:33:17,00 --> 00:33:21,50 	his bosses leave.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS308 	00:39:50,00 --> 00:39:58,50 	frightened, the penguins charge the babysitter who runs out of the apartment leaving the front door open.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS312 	00:40:17,00 --> 00:40:22,50 	someone sees the penguins leaving the elevator.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS326 	00:41:40,00 --> 00:41:46,50 	the server leaves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS450 	00:52:46,00 --> 00:52:54,50 	someone and someone leave them.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS480 	00:58:25,00 --> 00:58:32,50 	the others flock to the zookeeper, including captain who leaves someone's side.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS634 	01:16:49,00 --> 01:17:07,50 	nearby, a big guard intercepts a mother and daughter trying to leave the zoo.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS649 	01:18:54,00 --> 01:18:58,50 	he leaves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS669 	01:22:59,00 --> 01:23:04,50 	with a smitten look, she leaves with him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS75 	00:17:08,00 --> 00:17:13,50 	swirl leaves around someone as she heads home.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS116 	00:26:09,00 --> 00:26:16,50 	as someone leaves the parlor, the mole above someone's upper lip disappears.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS155 	00:34:47,00 --> 00:34:53,50 	as she leaves, someone peeks under his covers.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS239 	00:50:00,00 --> 00:50:06,50 	as the cart leaves, two piglets peer over the back gate.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS273 	00:59:48,00 --> 01:00:04,50 	someone continues through the field, leaving the others behind.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS369 	01:18:30,00 --> 01:18:38,50 	they see the elephant leaving.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS398 	01:23:46,00 --> 01:23:50,50 	she leaves him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS477 	01:37:50,00 --> 01:37:59,50 	leaving the woods, someone rounds a turn, stops running and stares.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS19 	00:04:38,00 --> 00:04:43,50 	as someone leaves the lights go out one by one.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS63 	00:15:04,00 --> 00:15:11,50 	she kisses each of them on the cheeks leaving huge lipstick marks.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS131 	00:33:47,00 --> 00:33:54,50 	now someone leaves the fitting room in a shapeless black dress.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS145 	00:37:46,00 --> 00:37:52,50 	someone ducks into the next room leaving the boys to their ice cream.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS153 	00:39:10,00 --> 00:39:16,50 	someone ends the call leaving someone staring.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS249 	00:59:33,00 --> 00:59:39,50 	now the kids leave the house.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS263 	01:02:41,00 --> 01:02:45,50 	someone leaves with his skateboard.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	the horn snaps in two and the beast collapses, leaving the broken off tip lodged in the tree.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS133 	00:31:35,00 --> 00:31:42,50 	someone and someone race off, leaving the mass of battling warriors behind.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS182 	00:41:24,00 --> 00:41:31,50 	someone slings his backpack over his shoulder as he leaves the boathouse.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS193 	00:47:05,00 --> 00:47:16,50 	a breeze blows dead leaves across the store's parking lot as the teens arrive.
PROMETHEUS.srt 	PROMETHEUS_DVS97 	00:05:49,00 --> 00:05:56,50 	two more figures leave a cave, high behind him, as he waves his arms.
PROMETHEUS.srt 	PROMETHEUS_DVS298 	00:29:31,00 --> 00:29:38,50 	the other survey team members leave the atvs staring up.
PROMETHEUS.srt 	PROMETHEUS_DVS324 	00:31:32,00 --> 00:31:38,50 	leaving his chair the captain goes to a layout table.
PROMETHEUS.srt 	PROMETHEUS_DVS374 	00:36:57,00 --> 00:37:01,50 	someone starts to leave.
PROMETHEUS.srt 	PROMETHEUS_DVS376 	00:37:46,00 --> 00:37:52,50 	leaning close to someone, someone wheels around and leaves with someone.
PROMETHEUS.srt 	PROMETHEUS_DVS412 	00:41:48,00 --> 00:41:56,50 	holloway leaves the carved relief in the wall.
PROMETHEUS.srt 	PROMETHEUS_DVS499 	00:52:11,00 --> 00:52:18,50 	the android lifts a glass off a shelf with his thumb and middle finger, leaving his index finger extended.
PROMETHEUS.srt 	PROMETHEUS_DVS587 	01:05:31,00 --> 01:05:36,50 	now an away team leaves the airlock.
PROMETHEUS.srt 	PROMETHEUS_DVS850 	01:33:05,00 --> 01:33:13,50 	someone and the others step out, then the door slides shut, leaving someone alone with the old man.
PROMETHEUS.srt 	PROMETHEUS_DVS867 	01:35:16,00 --> 01:35:24,50 	now a transport vehicle sets out from the ship leaving a trail of dust in its wake.
PROMETHEUS.srt 	PROMETHEUS_DVS872 	01:36:19,00 --> 01:36:25,50 	the captain leaves his chair.
PROMETHEUS.srt 	PROMETHEUS_DVS907 	01:40:27,00 --> 01:40:31,50 	she leaves the monitor.
PROMETHEUS.srt 	PROMETHEUS_DVS980 	01:47:58,00 --> 01:48:06,50 	someone lies in a pocket left underneath the ship, saved by the formation of jagged rocks behind her.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS25 	00:04:26,00 --> 00:04:30,50 	someone leaves.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS28 	00:04:36,00 --> 00:04:46,50 	outside, someone leaves the metal gate behind and crosses the open ground toward the sedan.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS31 	00:04:56,00 --> 00:05:13,50 	inside, the criminals run out, leaving their hostages behind.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS37 	00:06:10,00 --> 00:06:21,50 	someone's body slides to a stop in the dirt as the car drives off leaving a cloud of dust behind.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS70 	00:11:57,00 --> 00:12:08,50 	he gets up and leaves the garage.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS75 	00:12:46,00 --> 00:13:05,50 	someone leaves the kitchen.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS99 	00:16:19,00 --> 00:16:24,50 	the bank robbers leave their hostages and stride out of the trees.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS124 	00:23:00,00 --> 00:23:23,50 	someone follows someone and veronica as they stroll away, leaving someone alone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS158 	00:28:42,00 --> 00:28:53,50 	someone leaves.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS207 	00:39:22,00 --> 00:39:33,50 	someone leaves, shutting the door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS221 	00:40:50,00 --> 00:41:17,50 	he rises, leaving a lifeless barton.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS251 	00:46:25,00 --> 00:46:31,50 	someone leaves.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS278 	00:52:52,00 --> 00:53:05,50 	his back to someone, someone barely slows his leisurely stride and leaves with his agents.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS417 	01:20:28,00 --> 01:20:34,50 	he stows the cash in his bag and leaves.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS433 	01:22:44,00 --> 01:22:57,50 	someone closes his door most of the way, but leaves it cracked open.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS580 	01:47:58,00 --> 01:48:18,50 	in the interrogation room, someone lowers his arm from the burly agent's throat and leaves.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS608 	01:54:25,00 --> 01:54:38,50 	they leave and our view returns to someone who remains at the table covering her mouth with her hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS638 	02:00:03,00 --> 02:00:38,50 	entering the packed house, the crime boss leaves someone at a seat, then proceeds down the aisle with polly.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS667 	02:05:27,00 --> 02:05:33,50 	across the street, someone and hurt leave the recessed storefront.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS119 	00:31:03,00 --> 00:31:12,50 	with a subtle glare, she leaves the preacher.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS195 	00:46:40,00 --> 00:46:49,50 	he waves off his courtiers who bow and hurry out leaving the royal family, someone, someone and one other chancellor.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS252 	00:58:39,00 --> 00:58:48,50 	two maids bustle out leaving someone and someone alone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS282 	01:07:07,00 --> 01:07:41,50 	someone leaves a camp and prowls into the misty woods.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS448 	01:51:27,00 --> 01:51:48,50 	someone leaves someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS271 	00:41:30,00 --> 00:41:36,50 	left alone with her, someone backs against a wall.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS298 	00:47:51,00 --> 00:47:59,50 	leaving the room in total darkness, but for the alarm clock which reads 11:56.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS348 	00:56:50,00 --> 00:56:55,50 	leaving the table, someone falls down drunkenly.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS426 	01:05:54,00 --> 01:06:00,50 	as they leave grauman's egyptian
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS567 	01:26:00,00 --> 01:26:06,50 	grimacing, someone types, i'll never leave you.
SALT.srt 	SALT_DVS185 	00:32:13,00 --> 00:32:22,50 	leaving her building, someone spots her.
SANCTUM.srt 	SANCTUM_DVS24 	00:06:09,00 --> 00:06:16,50 	the goateed guy leaves a canopy-covered station and steps past the two divers.
SANCTUM.srt 	SANCTUM_DVS26 	00:06:25,00 --> 00:06:34,50 	he leaves the pool and sits behind a computer housed inside an orange plastic case.
SANCTUM.srt 	SANCTUM_DVS52 	00:11:25,00 --> 00:11:32,50 	someone leaves the computer station to approach someone and someone.
SANCTUM.srt 	SANCTUM_DVS193 	00:43:56,00 --> 00:44:03,50 	on the upper edge blows out shooting sparks and leaving the falls in darkness.
SANCTUM.srt 	SANCTUM_DVS323 	01:04:45,00 --> 01:04:52,50 	the last of the light fades out, leaving us in total darkness.
SANCTUM.srt 	SANCTUM_DVS332 	01:06:18,00 --> 01:06:27,50 	someone squeezes someone's shoulder then leaves his side.
SANCTUM.srt 	SANCTUM_DVS520 	01:37:15,00 --> 01:37:23,50 	back in the cave, the oil candle's flame slowly extinguishes, leaving the area in darkness.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS107 	00:07:24,00 --> 00:07:31,50 	leaving the turntable, she starts to cross the tastefully decorated room.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS831 	00:55:14,00 --> 00:55:19,50 	as he leaves the table, someone gets up and follows him to a doorway.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1004 	01:05:36,00 --> 01:05:44,50 	a girlish singer in a slinky black dress leaves the stage and flirts with patrons on the dance floor.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1104 	01:15:27,00 --> 01:15:32,50 	hand in hand, they leave the doorway.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1241 	01:23:21,00 --> 01:23:27,50 	she continues onward, leaving the party.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1261 	01:25:15,00 --> 01:25:19,50 	the landlady leaves.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1412 	01:36:09,00 --> 01:36:14,50 	leaving several characters in black ink.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS28 	00:05:52,00 --> 00:06:00,50 	he leaves the note on a concrete planter as the class heads off.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS226 	00:43:23,00 --> 00:43:27,50 	a bald man leaves with him.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS246 	00:48:50,00 --> 00:48:53,50 	leaves them.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS249 	00:50:13,00 --> 00:50:17,50 	he leaves.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS372 	01:18:21,00 --> 01:18:27,50 	someone steps away, leaving the incantus open on someone's lap.
SOUL_SURFER.srt 	SOUL_SURFER_DVS175 	00:53:41,00 --> 00:53:48,50 	left alone with someone, someone soberly steps closer to him.
SOUL_SURFER.srt 	SOUL_SURFER_DVS309 	01:32:38,00 --> 01:33:00,50 	leaving the other surfers, she paddles farther out to sea.
SPARKLE_2012.srt 	SPARKLE_2012_DVS29 	00:05:06,00 --> 00:05:14,50 	she sets down the microphone and leaves the stage.
SPARKLE_2012.srt 	SPARKLE_2012_DVS79 	00:13:23,00 --> 00:13:31,50 	as the group leaves, someone sees someone walk away from the front door, and deeper into the house.
SPARKLE_2012.srt 	SPARKLE_2012_DVS80 	00:13:28,00 --> 00:13:35,50 	the rest of the group departs, leaving someone in the living room with someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS163 	00:27:44,00 --> 00:27:51,50 	she leaves the box and the little ring picture on the table with the half eaten food and drinks.
SPARKLE_2012.srt 	SPARKLE_2012_DVS167 	00:28:03,00 --> 00:28:09,50 	she smiles and leaves.
SPARKLE_2012.srt 	SPARKLE_2012_DVS301 	00:51:07,00 --> 00:51:11,50 	someone leaves her seat.
SPARKLE_2012.srt 	SPARKLE_2012_DVS422 	01:10:28,00 --> 01:10:34,50 	she blows smoke in his direction, then leaves.
