21_JUMP_STREET.srt 	21_JUMP_STREET_DVS73 	00:08:08,00 --> 00:08:13,50 	the biker knocks him over and runs off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	someone runs down a hallway while someone exchanges punches with the first guard near the entrance.
IRON_MAN_2.srt 	IRON_MAN_2_DVS656 	01:50:02,00 --> 01:50:10,50 	someone runs sideways and fires at someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS59 	00:17:25,00 --> 00:17:39,50 	the woman laughs and her lover runs a hand down her back.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS347 	01:38:35,00 --> 01:38:39,50 	he runs out.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS31 	00:03:16,00 --> 00:03:21,50 	his sister runs into him with a french horn.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS155 	00:31:22,00 --> 00:31:28,50 	the boy runs off with poopsie taped to his back.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS184 	00:35:41,00 --> 00:35:45,50 	she runs up to her room.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS219 	00:41:25,00 --> 00:41:38,50 	the lid pops into the air, and someone runs out of the kitchen.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS104 	00:38:44,00 --> 00:38:55,50 	as his pregnant mother catches up, he chucks the full cup at her and runs off.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS108 	00:39:10,00 --> 00:39:21,50 	inside, children run wildly through an elaborate play structure with tunnels, slides, and climbing ropes.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS113 	00:41:02,00 --> 00:41:06,50 	she runs away.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS145 	00:56:46,00 --> 00:56:54,50 	the black-haired pig charges them and they run.
KARATE_KID.srt 	KARATE_KID_DVS208 	00:17:49,00 --> 00:18:02,50 	the bully advances and beckons someone, who runs at him.
KARATE_KID.srt 	KARATE_KID_DVS211 	00:18:07,00 --> 00:18:15,50 	someone runs at the bully, who flips him over his shoulder.
KARATE_KID.srt 	KARATE_KID_DVS218 	00:18:43,00 --> 00:18:51,50 	now, the girl wrenches herself free of the other boys, runs to the bully, and yells at him.
KARATE_KID.srt 	KARATE_KID_DVS769 	01:05:18,00 --> 01:05:22,50 	someone runs off.
KARATE_KID.srt 	KARATE_KID_DVS969 	01:19:13,00 --> 01:19:25,50 	slack-jawed, the boy runs to another window.
KARATE_KID.srt 	KARATE_KID_DVS1076 	01:28:09,00 --> 01:28:19,50 	they run from the school, hand in hand.
KARATE_KID.srt 	KARATE_KID_DVS1081 	01:28:42,00 --> 01:29:00,50 	now, they run among jetting-fountain plumes outside the olympic stadium.
KARATE_KID.srt 	KARATE_KID_DVS1101 	01:31:16,00 --> 01:31:29,50 	now, she runs along a sidewalk, with someone trailing close behind.
KARATE_KID.srt 	KARATE_KID_DVS1314 	01:46:02,00 --> 01:46:28,50 	now, someone runs laps on the great wall.
KARATE_KID.srt 	KARATE_KID_DVS1389 	01:52:12,00 --> 01:52:21,50 	someone's opponent kicks at him, but someone backs away, running off the mat.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS139 	00:39:02,00 --> 00:39:08,50 	someone runs to her tour bus.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS179 	00:49:19,00 --> 00:49:25,50 	a blond girl with large dark rimmed glasses runs off.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS228 	00:56:34,00 --> 00:56:40,50 	someone runs down a hallway.
KNOCKED_UP.srt 	KNOCKED_UP_DVS158 	01:42:37,00 --> 01:42:40,50 	sadie runs downstairs.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS242 	01:27:01,00 --> 01:27:08,50 	he runs to someone and rips off her necklace.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS178 	00:23:50,00 --> 00:23:54,50 	someone runs off.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS426 	00:49:14,00 --> 00:49:28,50 	orange juice scoots back on the bench and shrieks as someone bounds passed her and runs in circles.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS853 	01:26:19,00 --> 01:26:25,50 	as someone writes, the lead runs out on his only pencil.
MORNING_GLORY.srt 	MORNING_GLORY_DVS55 	00:09:39,00 --> 00:09:45,50 	now dressed in a suit, someone runs off a bus towards a ferry.
MORNING_GLORY.srt 	MORNING_GLORY_DVS85 	00:15:01,00 --> 00:15:07,50 	she runs across a busy road towards ibs.
MORNING_GLORY.srt 	MORNING_GLORY_DVS163 	00:38:14,00 --> 00:38:18,50 	someone runs up steps.
MORNING_GLORY.srt 	MORNING_GLORY_DVS210 	00:48:03,00 --> 00:48:07,50 	and waits for her to run back.
MORNING_GLORY.srt 	MORNING_GLORY_DVS215 	00:48:24,00 --> 00:48:30,50 	as she runs out, a model is being photographed at the entrance.
MORNING_GLORY.srt 	MORNING_GLORY_DVS216 	00:48:27,00 --> 00:48:35,50 	she runs out of another cocktail lounge, then another bar just as two guys are thrown out into the street.
MORNING_GLORY.srt 	MORNING_GLORY_DVS465 	01:39:00,00 --> 01:39:05,50 	someone runs through the lobby.
MORNING_GLORY.srt 	MORNING_GLORY_DVS467 	01:39:05,00 --> 01:39:10,50 	she runs past a huge golden statue by a fountain.
MORNING_GLORY.srt 	MORNING_GLORY_DVS475 	01:39:48,00 --> 01:39:55,50 	someone runs past the ibs building.
MORNING_GLORY.srt 	MORNING_GLORY_DVS476 	01:39:57,00 --> 01:40:04,50 	someone runs a spatula around the edge of the saucepan in which he has cooked the frittata.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS186 	00:26:24,00 --> 00:26:28,50 	the other penguins run over.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS192 	00:27:02,00 --> 00:27:10,50 	they see the sixth bird running into a wall.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS211 	00:31:06,00 --> 00:31:11,50 	downstairs the penguins run in circles.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS632 	01:16:36,00 --> 01:16:47,50 	captain flees with a colorful kite strapped to her back which knocks toys off display shelves as she runs past.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS653 	01:19:27,00 --> 01:19:33,50 	someone bursts in, pretending to run in slow motion.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS701 	01:27:07,00 --> 01:27:13,50 	behind them a penguin runs over to captain and nuzzles with her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS53 	00:13:16,00 --> 00:13:21,50 	he runs after the others.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS80 	00:17:48,00 --> 00:17:52,50 	spinning someone as they run by.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS185 	00:41:11,00 --> 00:41:20,50 	at the tree, the piglet runs up the trunk.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS337 	01:14:11,00 --> 01:14:15,50 	they start to run.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS473 	01:37:01,00 --> 01:37:05,50 	someone and the kids run off.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS480 	01:38:15,00 --> 01:38:24,50 	with one arm in a sling, he raises the other in a wave and runs forward.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS55 	00:06:41,00 --> 00:06:46,50 	two boys run down the stairs.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS100 	00:14:42,00 --> 00:14:47,50 	someone raises his brows and vanessa runs off.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS214 	00:36:20,00 --> 00:36:29,50 	someone shines a light on his naked body and runs her finger along his leg.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS216 	00:36:54,00 --> 00:37:03,50 	someone throws a frisbee to someone and runs at her.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS330 	00:59:53,00 --> 00:59:59,50 	at the hospital, someone runs to someone who's with dr.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS388 	01:11:53,00 --> 01:12:00,50 	the guard runs over to them he breaks them up a second time.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS553 	01:41:43,00 --> 01:41:51,50 	a guy runs up, stops the door with his briefcase, and gets in.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS84 	00:22:38,00 --> 00:22:42,50 	he runs off.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS213 	00:52:12,00 --> 00:52:17,50 	someone runs to the bathroom mirror.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS229 	00:55:07,00 --> 00:55:12,50 	behind his back, someone runs off.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS239 	00:56:30,00 --> 00:56:38,50 	the boy runs to someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS296 	01:10:49,00 --> 01:10:55,50 	now someone runs out of the house and kicks the can away from someone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS135 	00:31:50,00 --> 00:31:59,50 	someone starts to run away but the soldier jumps out and strikes at him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS258 	01:07:22,00 --> 01:07:33,50 	someone bashes the heads with his shield, then runs out brandishing his sword.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS266 	01:08:29,00 --> 01:08:35,50 	as someone runs in the opposite direction, one of the heads spots him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS313 	01:18:33,00 --> 01:18:52,50 	as they run into the gaming area, someone shoulder checks a casino worker.
PROMETHEUS.srt 	PROMETHEUS_DVS357 	00:35:01,00 --> 00:35:08,50 	someone runs his finger along a few of the lines and presses the engraved dots.
PROMETHEUS.srt 	PROMETHEUS_DVS365 	00:35:50,00 --> 00:35:55,50 	the team runs after the giant ghostly figures.
PROMETHEUS.srt 	PROMETHEUS_DVS366 	00:35:54,00 --> 00:36:03,50 	it gets up and runs on as those ahead dart out of view.
PROMETHEUS.srt 	PROMETHEUS_DVS730 	01:18:12,00 --> 01:18:17,50 	he runs a scan of her abdomen.
PROMETHEUS.srt 	PROMETHEUS_DVS809 	01:26:49,00 --> 01:26:56,50 	the mutant falls back and the guys run over him with the transport.
PROMETHEUS.srt 	PROMETHEUS_DVS901 	01:39:51,00 --> 01:39:59,50 	he strikes the aide, flings him into a wall across the chamber, then spots someone running away, but lets her go.
PROMETHEUS.srt 	PROMETHEUS_DVS919 	01:41:17,00 --> 01:41:22,50 	running through a tunnel, someone glances back.
PROMETHEUS.srt 	PROMETHEUS_DVS932 	01:42:23,00 --> 01:42:34,50 	she runs for someone, but the ground fissures, threatening to cut her off from the ship.
PROMETHEUS.srt 	PROMETHEUS_DVS933 	01:42:31,00 --> 01:42:37,50 	as the gap widens she jumps the fissure and runs on.
PROMETHEUS.srt 	PROMETHEUS_DVS936 	01:42:47,00 --> 01:42:51,50 	running for someone, someone jumps another gap, but falls short and grabs hold of the opposite ledge.
PROMETHEUS.srt 	PROMETHEUS_DVS944 	01:44:25,00 --> 01:44:35,50 	now someone runs through a corridor, unzipping her clothes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS50 	00:08:35,00 --> 00:08:52,50 	he trips, then climbs to his feet and runs on.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS53 	00:09:20,00 --> 00:09:25,50 	the lawman's shot misses and floyd runs off.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS85 	00:14:20,00 --> 00:14:25,50 	and run across the street toward the bank.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS96 	00:15:42,00 --> 00:15:54,50 	two hostages run off.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS208 	00:39:36,00 --> 00:39:44,50 	rushing from the building, he runs across the street to agent someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS259 	00:49:25,00 --> 00:49:31,50 	she runs her toes along a soap dish.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS473 	01:29:47,00 --> 01:29:59,50 	now in slow motion, the criminals run along the misty overlook with someone leading the way.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS480 	01:30:57,00 --> 01:31:10,50 	now, someone comes running through the forest.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS568 	01:45:48,00 --> 01:45:57,50 	agents run up a stairwell.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS22 	00:03:21,00 --> 00:03:26,50 	he defiantly tips his head back, then runs out the gate.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS134 	00:34:57,00 --> 00:35:05,50 	in a hazy flashback, a tow headed boy runs into a crowd.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS214 	00:51:35,00 --> 00:51:39,50 	he sees more boys running through the trees.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS365 	01:30:38,00 --> 01:31:05,50 	more armed boys run past.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS511 	02:07:23,00 --> 02:07:46,50 	as he runs a finger down the document, someone and queen someone watch tensely.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS28 	00:02:44,00 --> 00:02:49,50 	a dark-haired man runs beside him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS136 	00:23:15,00 --> 00:23:19,50 	he runs through the house.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS142 	00:24:32,00 --> 00:24:37,50 	he runs upstairs and into his office.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS192 	00:32:16,00 --> 00:32:20,50 	she runs off.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS216 	00:34:53,00 --> 00:35:00,50 	later, someone runs up to him and leaps into his arms.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS305 	00:48:49,00 --> 00:48:56,50 	they run across the beach together then pace to the opposite ends of a long drift wood log.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS378 	01:00:51,00 --> 01:00:56,50 	the little dog runs up to her.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS671 	01:37:12,00 --> 01:37:16,50 	the unleashed dog runs off.
SALT.srt 	SALT_DVS157 	00:27:30,00 --> 00:27:35,50 	someone runs over and she pats him.
SALT.srt 	SALT_DVS217 	00:37:04,00 --> 00:37:11,50 	spies the pursuing suv then runs off between two lanes of unmoving cars.
SALT.srt 	SALT_DVS282 	00:49:46,00 --> 00:49:59,50 	his partner attacks once more but someone kicks him unconscious and runs off with his gun.
SALT.srt 	SALT_DVS403 	01:10:37,00 --> 01:10:44,50 	the security agent runs a detection wand over him then lets him through.
SALT.srt 	SALT_DVS434 	01:15:01,00 --> 01:15:12,50 	in the shaft, someone sees two parallel rails running down a wall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS204 	00:14:44,00 --> 00:14:50,50 	hobbling forward, the little girl tries to run outside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1410 	01:36:03,00 --> 01:36:08,50 	as a tear runs down someone's cheek,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS163 	00:31:41,00 --> 00:32:07,50 	someone runs his hand over various items, then stops in front of a figurine covered in acupuncture needles.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS169 	00:33:21,00 --> 00:33:32,50 	someone runs his curled nails over a dragon-shaped buckle on his belt.
SOUL_SURFER.srt 	SOUL_SURFER_DVS51 	00:16:45,00 --> 00:16:49,50 	now they run over to a red pick up.
SOUL_SURFER.srt 	SOUL_SURFER_DVS181 	00:55:26,00 --> 00:55:34,50 	someone calls after someone as she runs toward the house.
SPARKLE_2012.srt 	SPARKLE_2012_DVS228 	00:35:31,00 --> 00:35:36,50 	she runs her hands up and down the mic stand.
SPARKLE_2012.srt 	SPARKLE_2012_DVS232 	00:35:58,00 --> 00:36:03,50 	sister runs her hand up her arm.
SPARKLE_2012.srt 	SPARKLE_2012_DVS507 	01:21:34,00 --> 01:21:40,50 	she wipes a tear running down the bridge of someone's nose.
SUPER_8.srt 	SUPER_8_DVS94 	00:15:36,00 --> 00:15:42,50 	someone runs to the edge of the platform and peers toward a train approaching in the distance.
SUPER_8.srt 	SUPER_8_DVS114 	00:18:18,00 --> 00:18:25,50 	running from the flames, someone separates from someone and someone and dashes into a someone field.
SUPER_8.srt 	SUPER_8_DVS125 	00:19:18,00 --> 00:19:23,50 	lying on its side the camera continues to run.
SUPER_8.srt 	SUPER_8_DVS153 	00:24:17,00 --> 00:24:25,50 	as someone runs to the car someone and someone retrieve the camera and other equipment.
SUPER_8.srt 	SUPER_8_DVS173 	00:27:03,00 --> 00:27:08,50 	someone runs across the street to someone's house.
SUPER_8.srt 	SUPER_8_DVS229 	00:39:02,00 --> 00:39:08,50 	someone and someone slap hands then run off together.
SUPER_8.srt 	SUPER_8_DVS294 	00:53:33,00 --> 00:53:37,50 	a tear runs down someone's cheek.
SUPER_8.srt 	SUPER_8_DVS369 	01:04:35,00 --> 01:04:42,50 	he runs back to someone's bike which lies on the pavement.
SUPER_8.srt 	SUPER_8_DVS412 	01:14:11,00 --> 01:14:19,50 	toting a tire iron the boys run across the parking lot and climb over a tall chain-link fence.
SUPER_8.srt 	SUPER_8_DVS487 	01:23:50,00 --> 01:23:57,50 	the boys run alongside of the bus.
SUPER_8.srt 	SUPER_8_DVS488 	01:23:58,00 --> 01:24:04,50 	one by one the boys jump off the bus then run across the road together.
SUPER_8.srt 	SUPER_8_DVS507 	01:26:26,00 --> 01:26:33,50 	a few blocks away, the boys run past houses and across more lawns.
SUPER_8.srt 	SUPER_8_DVS510 	01:26:38,00 --> 01:26:45,50 	as they run through a back gate they stop as an exploding tank tumbles across the ground toward them.
SUPER_8.srt 	SUPER_8_DVS511 	01:26:45,00 --> 01:26:53,50 	the boys change direction, soldiers run down the street past a large two-story houses as missiles zoom around them.
SUPER_8.srt 	SUPER_8_DVS513 	01:27:08,00 --> 01:27:13,50 	the boys rush into the house and run upstairs.
SUPER_8.srt 	SUPER_8_DVS521 	01:28:07,00 --> 01:28:11,50 	someone runs over.
SUPER_8.srt 	SUPER_8_DVS522 	01:28:12,00 --> 01:28:16,50 	someone and someone run off.
SUPER_8.srt 	SUPER_8_DVS523 	01:28:20,00 --> 01:28:26,50 	someone and someone run down the street as fire and smoke fill the night sky.
SUPER_8.srt 	SUPER_8_DVS524 	01:28:26,00 --> 01:28:34,50 	across town, they run into the cemetery and over to the caretaker's shed which has several sets of doors.
SUPER_8.srt 	SUPER_8_DVS552 	01:32:51,00 --> 01:32:57,50 	carrying a lit sparkler someone runs into another tunnel.
SUPER_8.srt 	SUPER_8_DVS565 	01:34:12,00 --> 01:34:17,50 	someone runs over to someone and shakes her.
SUPER_8.srt 	SUPER_8_DVS579 	01:35:46,00 --> 01:35:51,50 	someone runs out of a side tunnel.
SUPER_8.srt 	SUPER_8_DVS601 	01:38:18,00 --> 01:38:25,50 	later above ground, the children run along a street into the center of town.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS49 	00:05:30,00 --> 00:05:34,50 	snowy runs up to the young man.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS53 	00:06:44,00 --> 00:06:48,50 	the man runs up to them.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS69 	00:09:29,00 --> 00:09:43,50 	the cat jumps onto a table, climbs up a curtain, and knocks over a vase as it runs along a shelf.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS88 	00:12:36,00 --> 00:12:41,50 	snowy runs to a nearby gap in the brick wall.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS91 	00:13:18,00 --> 00:13:28,50 	he runs into the wooded property as the large guard dog chases him.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS143 	00:22:41,00 --> 00:22:49,50 	the goateed pickpocket steals the inspector's wallet and runs off dragging him by the elastic cord.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS144 	00:22:49,00 --> 00:22:57,50 	the other inspector grabs the thief's coat, but runs into a lamp post.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS148 	00:23:17,00 --> 00:23:23,50 	someone runs into the road as a car emerges from the mist, narrowly missing him.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS155 	00:24:15,00 --> 00:24:21,50 	snowy bounds upstairs and runs into someone's apartment.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS188 	00:27:56,00 --> 00:28:02,50 	he runs to a wooden crate in the middle of room and pushes it.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS199 	00:29:14,00 --> 00:29:19,50 	outside the thugs light the dynamite's fuse then run for cover.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS283 	00:40:51,00 --> 00:40:59,50 	as the helmsman spins the ship's wheel, someone runs onto the deck and shoots a flare into the night sky.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS417 	01:00:40,00 --> 01:00:46,50 	sir someone runs along a horizontal mast, cuts a rope, then swings past
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS480 	01:09:25,00 --> 01:09:31,50 	sir someone runs his sword through red someone, then backhands him in his face.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS556 	01:17:48,00 --> 01:17:55,50 	someone stumbles out of the audience, runs to a banquet table then yanks off the table cloth.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS572 	01:19:06,00 --> 01:19:12,50 	lines run through the words bulletproof and never break.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS577 	01:19:27,00 --> 01:19:32,50 	someone runs in waving his arms.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS632 	01:24:17,00 --> 01:24:22,50 	someone runs to the edge of the someone and glares at someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS652 	01:28:09,00 --> 01:28:14,50 	someone and someone run out.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS675 	01:30:49,00 --> 01:30:56,50 	as more of someone's thugs run up, snowy pushes over a crate of cans and spills them across the dock.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS685 	01:32:09,00 --> 01:32:16,50 	someone runs up to him and swings the metal bar.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS265 	00:51:22,00 --> 00:51:34,50 	one elbow on the bar, someone runs a hand through his wavy hair.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS292 	00:56:53,00 --> 00:56:58,50 	the troubled teen runs out.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS303 	00:57:58,00 --> 00:58:03,50 	someone runs out after him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS126 	00:26:10,00 --> 00:26:16,50 	a race starts and someone runs too.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS131 	00:26:37,00 --> 00:26:50,50 	she runs off the other way.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS462 	01:24:57,00 --> 01:25:03,50 	she runs a hand down her thigh then pats it.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS510 	01:31:53,00 --> 01:32:07,50 	someone empties the garbage bag on a pool table then runs onstage with more money.
THE_CALL.srt 	THE_CALL_DVS218 	00:18:32,00 --> 00:18:39,50 	meanwhile, someone dumps a prescription pill into her hand by a running bathroom faucet.
THE_CALL.srt 	THE_CALL_DVS508 	00:39:10,00 --> 00:39:17,50 	he aims the screw driver at her eye then runs his fingers along her paint-stained hair.
THE_CALL.srt 	THE_CALL_DVS797 	01:00:34,00 --> 01:00:38,50 	someone runs a search.
THE_CALL.srt 	THE_CALL_DVS1111 	01:23:41,00 --> 01:23:48,50 	she sees a deep gash running from between his eyebrows down his right cheek.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS91 	00:17:07,00 --> 00:17:12,50 	someone runs out.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS185 	00:30:01,00 --> 00:30:06,50 	running at a stilted, awkward gait,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS383 	00:58:19,00 --> 00:58:27,50 	someone runs out on a grassy ridge past the corner of an old stone foundation.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS64 	00:05:01,00 --> 00:05:09,50 	the journalist runs across the street to a building.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS84 	00:09:02,00 --> 00:09:08,50 	as she runs the bowl under a tap.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS93 	00:09:33,00 --> 00:09:40,50 	returning with her steaming noodles, someone runs a google search on wennerstrom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS662 	01:12:37,00 --> 01:12:44,50 	someone runs to the tree-lined road and an suv slows to a stop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1089 	01:54:05,00 --> 01:54:09,50 	running toward the steps, someone loses his footing and falls.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1185 	02:06:30,00 --> 02:06:36,50 	his jaw misaligned, someone struggles to his feet and runs out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1187 	02:06:40,00 --> 02:06:46,50 	someone runs through a corridor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1188 	02:06:43,00 --> 02:06:48,50 	someone runs upstairs.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS281 	01:31:50,00 --> 01:31:57,50 	and a boy runs before his mom, guiding her as they both haul their luggage.
THE_SITTER.srt 	THE_SITTER_DVS83 	00:45:03,00 --> 00:45:06,50 	the car and runs away.
THE_SITTER.srt 	THE_SITTER_DVS84 	00:45:10,00 --> 00:45:16,50 	someone runs to a railing and frantically peers over the edge.
