21_JUMP_STREET.srt 	21_JUMP_STREET_DVS126 	00:20:35,00 --> 00:20:43,50 	in the morning, someone and someone wake to find someone's father using an elliptical machine at their feet.
GROWN_UPS.srt 	GROWN_UPS_DVS265 	01:15:28,00 --> 01:15:36,50 	he finds the breast pump on his nipple.
IN_TIME.srt 	IN_TIME_DVS183 	00:19:48,00 --> 00:19:55,50 	she hurries off the bus and jogs back towards weis time lenders finding it closed.
IN_TIME.srt 	IN_TIME_DVS202 	00:21:11,00 --> 00:21:19,50 	rounding a corner, she lifts her arm and finds her clock counting down from ten seconds.
IN_TIME.srt 	IN_TIME_DVS207 	00:21:44,00 --> 00:21:49,50 	he finds her clock timed out.
IN_TIME.srt 	IN_TIME_DVS301 	00:31:02,00 --> 00:31:10,50 	checking his cards, he finds a pair of queens and places his wrist under a scanner.
IN_TIME.srt 	IN_TIME_DVS419 	00:45:07,00 --> 00:45:15,50 	fighting his way outside, he finds someone at his roadster.
IN_TIME.srt 	IN_TIME_DVS484 	00:52:40,00 --> 00:52:47,50 	brushing her hair back, he finds a sizable diamond stud on her earlobe.
IN_TIME.srt 	IN_TIME_DVS599 	01:04:08,00 --> 01:04:23,50 	someone checks his balance and finds 4 hours and 45 minutes.
IN_TIME.srt 	IN_TIME_DVS713 	01:16:06,00 --> 01:16:13,50 	finding his victim's clock frozen in inky numbers, someone lowers his weapon.
IN_TIME.srt 	IN_TIME_DVS753 	01:19:36,00 --> 01:19:46,50 	lunging out to shoot, someone finds them gone.
IN_TIME.srt 	IN_TIME_DVS866 	01:31:32,00 --> 01:31:38,50 	inside, he finds a lone time capsule on a pedestal.
IN_TIME.srt 	IN_TIME_DVS891 	01:34:26,00 --> 01:34:31,50 	someone finds 44 minutes on his clock.
IN_TIME.srt 	IN_TIME_DVS917 	01:36:54,00 --> 01:37:01,50 	he finds a timekeeper parked on a corner with his driver's side door open.
IN_TIME.srt 	IN_TIME_DVS954 	01:40:23,00 --> 01:40:32,50 	lifting her arm, someone finds six seconds left on her clock.
INSIDE_MAN.srt 	INSIDE_MAN_DVS83 	00:20:46,00 --> 00:20:53,50 	detectives someone and someone enter the command truck and find an officer in a cramped room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS203 	00:58:12,00 --> 00:58:32,50 	finding a black suede envelope, he unfastens its string and button closure and removes a manilla envelope from inside it.
INSIDE_MAN.srt 	INSIDE_MAN_DVS262 	01:20:43,00 --> 01:21:07,50 	in the next office, he finds someone in his original clothing.
INSIDE_MAN.srt 	INSIDE_MAN_DVS264 	01:21:17,00 --> 01:21:22,50 	inside, someone finds half a dozen hostages.
INSIDE_MAN.srt 	INSIDE_MAN_DVS408 	01:55:35,00 --> 01:55:40,50 	he finds a pack of juicy fruit gum.
INSIDE_MAN.srt 	INSIDE_MAN_DVS409 	01:55:42,00 --> 01:55:49,50 	next to it, he finds the cartier box and the huge diamond ring inside it.
INSIDE_MAN.srt 	INSIDE_MAN_DVS411 	01:55:58,00 --> 01:56:13,50 	he finds someone and someone browsing the room's contents.
INSIDE_MAN.srt 	INSIDE_MAN_DVS416 	01:59:50,00 --> 01:59:56,50 	he finds the mayor, ms.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS73 	00:22:39,00 --> 00:22:45,50 	someone follows finding her crouched by the toilet.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS208 	01:02:50,00 --> 01:03:00,50 	in the lobby, someone finds someone seated on a bench.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS320 	01:31:18,00 --> 01:31:35,50 	frowning, someone peeks out the window and finds someone's sports car parked in the driveway.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS158 	00:32:05,00 --> 00:32:10,50 	someone finds his son staring at him.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS290 	00:54:26,00 --> 00:54:30,50 	they find sweat stains on the bed.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS402 	01:14:06,00 --> 01:14:12,50 	getting up, someone finds his melon boobs pushed at his shoulders.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS37 	00:04:21,00 --> 00:04:26,50 	he finds the redhead squatting in the kitchen.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS234 	00:44:02,00 --> 00:44:08,50 	she tears off the wrapping paper to find a thin box.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS48 	00:13:41,00 --> 00:13:49,50 	digging through his pockets, someone finds the wedding ring.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS98 	00:36:23,00 --> 00:36:30,50 	returning to mrs. harrington, she finds someone staring at her.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS298 	01:37:45,00 --> 01:37:51,50 	later, we drift over a bed, to find someone lying alone.
KARATE_KID.srt 	KARATE_KID_DVS114 	00:10:39,00 --> 00:10:48,50 	passing a row of empty chairs, he finds a small break room, where a group of grubby maintenance men lounge around a table.
KARATE_KID.srt 	KARATE_KID_DVS127 	00:11:22,00 --> 00:11:30,50 	someone peeks through the screen door and finds a man hunched in front of a fan, with his back to the entrance.
KARATE_KID.srt 	KARATE_KID_DVS389 	00:34:43,00 --> 00:34:51,50 	he finds his mother adoring a dozen young boys and girls clad in red gis.
KARATE_KID.srt 	KARATE_KID_DVS471 	00:41:57,00 --> 00:42:12,50 	he finds a piece of wire hanging from a nearby hook and laces it through two eyelets on the doors, binding them together.
KARATE_KID.srt 	KARATE_KID_DVS662 	00:56:10,00 --> 00:56:19,50 	scanning the space, the boy finds an antique curio cabinet and several chinese paintings hanging on a wall.
KARATE_KID.srt 	KARATE_KID_DVS978 	01:20:01,00 --> 01:20:09,50 	doubling back, he steps into the light as he finds his pupil entranced by the woman's practice.
KARATE_KID.srt 	KARATE_KID_DVS1163 	01:36:01,00 --> 01:36:08,50 	someone steps into the living room and finds someone bludgeoning the car with a sledgehammer.
KARATE_KID.srt 	KARATE_KID_DVS1187 	01:37:21,00 --> 01:37:28,50 	someone regards the front end of someone's car and finds it similarly damaged.
KARATE_KID.srt 	KARATE_KID_DVS1240 	01:41:30,00 --> 01:41:35,50 	the kung fu master lifts his head and finds another rope handle lassoing his other hand.
KARATE_KID.srt 	KARATE_KID_DVS1292 	01:44:30,00 --> 01:44:38,50 	someone peeks into someone's room and finds him doing push-ups, with his feet
KARATE_KID.srt 	KARATE_KID_DVS1304 	01:45:19,00 --> 01:45:27,50 	someone frowns curiously and peeks under the sheet, finding someone halfway across the roof.
KARATE_KID.srt 	KARATE_KID_DVS1330 	01:47:34,00 --> 01:47:40,50 	someone unties the fabric wrapping and finds a white uniform.
KARATE_KID.srt 	KARATE_KID_DVS1471 	01:59:42,00 --> 01:59:49,50 	eyeing the platform, he finds someone gazing down on him with a stony expression.
KNOCKED_UP.srt 	KNOCKED_UP_DVS110 	01:09:29,00 --> 01:09:43,50 	dropping it, she finds a bank statement with someone's name on it.
KNOCKED_UP.srt 	KNOCKED_UP_DVS115 	01:10:18,00 --> 01:10:22,50 	she finds three baby books.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS24 	00:08:07,00 --> 00:08:13,50 	finds a makeshift electronic device on his desk.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS143 	00:51:28,00 --> 00:51:44,50 	they find someone reclining listlessly in the back of an old half-buried cadillac convertible.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS266 	01:03:52,00 --> 01:03:56,50 	he digs in the plants pot, finds the key.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS273 	01:05:12,00 --> 01:05:24,50 	on the landing, he finds the contents of his home office.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS304 	00:38:56,00 --> 00:39:04,50 	finding his level flooded, he dives into the water and swims.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS342 	00:41:46,00 --> 00:41:58,50 	finding a life preserver, he climbs up on the canvas secured tautly over the front half of the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS448 	00:51:10,00 --> 00:51:22,50 	he lifts away a hatch beneath the canvas cover and finds a duffle inside.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS450 	00:51:24,00 --> 00:51:33,50 	lifting another hatch, the teen finds it packed with life jackets.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS506 	00:55:53,00 --> 00:56:03,50 	as someone slurps it down, someone jumps off the boat, he tries to push away on the raft but finds a line tethering him closely to the boat's prow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS523 	00:57:19,00 --> 00:57:29,50 	as it illuminates the sky, we find the boat and raft adrift on perfectly still, glassy waters that reflect the cloudy sky.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS525 	00:57:29,00 --> 00:57:37,50 	we find a perfect mirror-like image of the sun-lit clouds, undisturbed on the water's surface.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS613 	01:06:50,00 --> 01:06:55,50 	his claws find no hold in its painted metal.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS636 	01:08:39,00 --> 01:08:44,50 	shining it over the side, he finds someone clinging to the whole rope.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS653 	01:09:33,00 --> 01:09:42,50 	our view surfaces to find someone seated at one end making notes as he overlooks his stock of supplies.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS123 	00:45:23,00 --> 00:45:36,50 	with a furrowed brow, he finds pamphlets for sustengo then removes a sample box.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS156 	00:55:32,00 --> 00:56:04,50 	he adds the keyword, chicago and finds a link to a myspace profile.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS204 	01:12:46,00 --> 01:12:57,50 	finding a bay window, he steps close and peeks in.
MORNING_GLORY.srt 	MORNING_GLORY_DVS143 	00:33:40,00 --> 00:33:47,50 	someone marches from one end of the corridor to the other, then finds the central point.
MORNING_GLORY.srt 	MORNING_GLORY_DVS403 	01:28:52,00 --> 01:28:59,50 	someone and someone head back into the daybreak offices to find the team gathered around a table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS47 	00:07:50,00 --> 00:07:55,50 	someone enters the house to find a boy dribbling a soccer ball.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS77 	00:12:04,00 --> 00:12:10,50 	he removes the top and finds a frozen penguin inside.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS138 	00:21:00,00 --> 00:21:07,50 	waking up, someone finds himself staring straight into the birds open beak.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS176 	00:24:51,00 --> 00:25:00,50 	he finds a penguin eating from a tipped trashcan.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS177 	00:25:02,00 --> 00:25:07,50 	in the bathroom, he finds a penguin in the toilet.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS181 	00:25:21,00 --> 00:25:30,50 	in the dining area he finds three more birds.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS182 	00:25:28,00 --> 00:25:34,50 	he finds a fifth atop a panel fountain.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS217 	00:31:29,00 --> 00:31:34,50 	he finds all of the birds in his bed.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS226 	00:32:17,00 --> 00:32:25,50 	now wearing his suit and jacket, the passes the living room and finds the penguins still mesmerized by someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS237 	00:34:50,00 --> 00:34:55,50 	the penguins find a pigeon amid them.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS436 	00:51:18,00 --> 00:51:23,50 	someone crouches down to find another egg.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS476 	00:56:49,00 --> 00:56:54,50 	he finds someone standing in his open doorway.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS528 	01:02:56,00 --> 01:03:03,50 	answering the door he finds someone and his bosses.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS570 	01:08:01,00 --> 01:08:08,50 	someone races into the apartment and finds it returned to its original state.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS615 	01:13:49,00 --> 01:13:55,50 	they burst into someone's office, and find him on the phone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS619 	01:15:23,00 --> 01:15:29,50 	later, in a veterinary lab, he finds a stack of surgical masks.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS56 	00:14:00,00 --> 00:14:18,50 	stepping behind the counter, someone finds syrup dripping from the cabinet drawers, pooling on the floor.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS113 	00:25:32,00 --> 00:25:42,50 	he finds the elegant dishware unbroken on the table.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS119 	00:26:27,00 --> 00:26:35,50 	now, someone finds someone in the kitchen.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS127 	00:28:56,00 --> 00:29:18,50 	at a second look, she finds the staircase as plain as ever.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS172 	00:38:21,00 --> 00:38:28,50 	he finds the pigpen empty.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS181 	00:40:26,00 --> 00:40:31,50 	find some pigs.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS309 	01:07:20,00 --> 01:07:26,50 	the girls find someone and someone in the kitchen.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS491 	01:39:35,00 --> 01:39:44,50 	as the reunited family heads down hill, someone finds mr. edelweiss perched by her side.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS495 	01:40:19,00 --> 01:40:27,50 	we drift into the silhouette and find a cartoon where someone pedals the scratch-o- matic
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS135 	00:35:26,00 --> 00:35:32,50 	at home, someone finds someone with his back against a door.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS248 	00:58:21,00 --> 00:58:28,50 	later, someone finds someone controlling a computer game with a huge touch screen.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS278 	01:05:49,00 --> 01:05:55,50 	now someone finds someone dejectedly playing with legos in his room.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS311 	01:13:22,00 --> 01:13:32,50 	at home, someone searches a digital jukebox and finds the book of love in a playlist labeled someone's most played.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS201 	00:48:55,00 --> 00:49:01,50 	inside, someone finds a statue of a satyr with ram's horns.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS311 	01:17:33,00 --> 01:17:39,50 	someone returns to the club and finds someone about to eat a lotus flower.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS331 	01:22:00,00 --> 01:22:06,50 	they find a gaunt man in a monk like robe standing in a rowboat.
PROMETHEUS.srt 	PROMETHEUS_DVS415 	00:42:01,00 --> 00:42:08,50 	outside the dome the four researchers find only the atvs.
PROMETHEUS.srt 	PROMETHEUS_DVS470 	00:49:30,00 --> 00:49:35,50 	rounding a bend, he finds someone waiting for him.
PROMETHEUS.srt 	PROMETHEUS_DVS609 	01:07:22,00 --> 01:07:30,50 	as someone progresses, we find the probe hovering before a heart shaped door of multiple oblong panels.
PROMETHEUS.srt 	PROMETHEUS_DVS631 	01:08:45,00 --> 01:08:56,50 	within the chamber, we drift up to find two more giant pods resting opposite their counterparts atop a hundred foot disc marked with a spiderweb-like pattern.
PROMETHEUS.srt 	PROMETHEUS_DVS644 	01:10:05,00 --> 01:10:12,50 	the others find someone's face green and distorted.
PROMETHEUS.srt 	PROMETHEUS_DVS1047 	01:54:18,00 --> 01:54:23,50 	crouching at the android's body she rummages around and finds her cross.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS158 	00:28:42,00 --> 00:28:53,50 	outside, he finds only a wealthy young couple.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS172 	00:32:20,00 --> 00:32:32,50 	someone stares as he finds the man's coat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	someone removes the lid, finding forest green tissue paper over the contents.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	folding back the layer, she finds a camel hair coat with a thick fur collar.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS230 	00:42:12,00 --> 00:42:34,50 	our gaze drifts up to find someone between someone and a heavyset thug.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS471 	01:29:34,00 --> 01:29:45,50 	someone scans the hillside but finds no sign of anyone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS480 	01:30:57,00 --> 01:31:10,50 	as someone's car drives off, someone finds his fallen partner.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS563 	01:44:53,00 --> 01:44:59,50 	her lips tremble as she finds words.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	the gangster finds another bulletin board and scans its postings.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	further along the bulletin board, he finds black and white photos of himself - others show more buildings.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS89 	00:23:46,00 --> 00:23:56,50 	he flips aside a crusader's chain mail hood, but finds an unfamiliar face.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS89 	00:23:46,00 --> 00:23:56,50 	now, someone finds someone gripping the spear in his own gut.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS93 	00:24:28,00 --> 00:24:33,50 	a grizzled man finds it, but the animal flees
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS104 	00:26:28,00 --> 00:26:40,50 	the red haired archer finds a knight's purse empty, then salvages a small cup.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS153 	00:38:16,00 --> 00:38:35,50 	the red and gold flag, queen someone finds someone's helmet underneath ringed by the english crown.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS170 	00:41:09,00 --> 00:41:15,50 	someone finds the bearded wavy haired nobleman addressing him and steps closer.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS251 	00:58:06,00 --> 00:58:22,50 	someone's fingers find the archer's neck, then face.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS399 	01:38:00,00 --> 01:38:17,50 	in the border, the archer finds a child sized hand print beside that of a grown man.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS498 	02:05:15,00 --> 02:05:24,50 	someone races to someone and finds her laying still in the water.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS60 	00:10:07,00 --> 00:10:14,50 	someone finds the dog on his bed with a shredded paperback beside a wet stain on the sheet.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS137 	00:23:18,00 --> 00:23:24,50 	he finds his cellphone in a pile of clothes and answers it.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS146 	00:25:09,00 --> 00:25:15,50 	someone finds no sign of the woman downstairs.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS171 	00:28:33,00 --> 00:28:37,50 	but finds no sign of someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS319 	00:51:26,00 --> 00:51:32,50 	they find someone wielding a chainsaw.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS353 	00:57:31,00 --> 00:57:37,50 	she finds a photo of herself wearing a polo shirt.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS431 	01:06:40,00 --> 01:06:47,50 	he scans the busy intersection, finding no sign of his clingy paramour.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS589 	01:27:48,00 --> 01:27:54,50 	finding her ankles crossed over the hardwood floor.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS625 	01:30:44,00 --> 01:30:50,50 	the young man awakens to find himself on the couch.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS636 	01:31:34,00 --> 01:31:40,50 	someone stop short and finding someone gone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS641 	01:32:03,00 --> 01:32:09,50 	someone comes upstairs to find his brother lying on the floor.
SALT.srt 	SALT_DVS162 	00:28:02,00 --> 00:28:10,50 	her chest, finding a backpack, she slings it over her shoulder then jerks her gaze to the door.
SALT.srt 	SALT_DVS528 	01:30:17,00 --> 01:30:22,50 	she finds someone seated across from her.
SANCTUM.srt 	SANCTUM_DVS273 	00:55:25,00 --> 00:55:31,50 	the pool next and finds the financier wandering out of view.
SANCTUM.srt 	SANCTUM_DVS275 	00:55:38,00 --> 00:55:45,50 	hiking over a ridge, someone finds a vast cavernous passageway ascending before him.
SANCTUM.srt 	SANCTUM_DVS360 	01:10:59,00 --> 01:11:07,50 	someone finds a secure position and studies the wall.
SANCTUM.srt 	SANCTUM_DVS397 	01:17:40,00 --> 01:17:54,50 	trudging past stalagmites, he and someone find an underwater cave on the opposite side of the chamber.
SANCTUM.srt 	SANCTUM_DVS426 	01:21:57,00 --> 01:22:02,50 	lifting his foot, someone finds a hold.
SANCTUM.srt 	SANCTUM_DVS490 	01:30:43,00 --> 01:30:50,50 	someone sets down his bag and someone rummages through it, finding a bag of food.
SANCTUM.srt 	SANCTUM_DVS495 	01:31:32,00 --> 01:31:39,50 	gaze at someone's discarded rebreather pack, someone finds three light sticks inside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS69 	00:05:10,00 --> 00:05:18,50 	following her gaze, someone finds an unconscious someone covered in casts and bandages.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS165 	00:12:18,00 --> 00:12:24,50 	she finds a stack of orange and white note cards.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS209 	00:14:59,00 --> 00:15:04,50 	only through pain someone you find beauty.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS210 	00:15:01,00 --> 00:15:06,50 	only through suffering someone you find peace.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS433 	00:28:46,00 --> 00:28:57,50 	with a nod, she heads back to an exhibit room where she finds a gallery worker hanging black and white images of disfigured feet on a crisp white wall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS762 	00:50:55,00 --> 00:51:03,50 	now, our view rises from a customer's menu to find someone working as a waitress in a pink uniform.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS764 	00:51:02,00 --> 00:51:09,50 	in the restaurant's kitchen, our view descends from a metal counter to find someone studying while on break.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS945 	01:01:24,00 --> 01:01:30,50 	he finds his young son on the end without his share of the covers.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1006 	01:05:47,00 --> 01:05:55,50 	he finds someone on a love seat where a man with a grey beard awkwardly fails to chat with her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1076 	01:12:45,00 --> 01:12:51,50 	she leaves the restroom to find someone waiting outside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1270 	01:25:52,00 --> 01:25:57,50 	we drift closer to her and find her lips slightly pursed as she reads.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1276 	01:26:14,00 --> 01:26:19,50 	and finds it filled with writing.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1326 	01:31:17,00 --> 01:31:23,50 	she finds a modest shrine in memory of someone's father.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1339 	01:31:58,00 --> 01:32:03,50 	on the bottom shelf, she finds a stack of typed pages.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1390 	01:34:37,00 --> 01:34:42,50 	someone finds a closed fan in the basket.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS73 	00:14:04,00 --> 00:14:11,50 	they find everything back to normal.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS156 	00:30:44,00 --> 00:30:55,50 	someone's smoky vision shows an old chinese woman finding the someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS182 	00:35:51,00 --> 00:35:55,50 	he finds himself in the puppet's
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS245 	00:48:44,00 --> 00:48:49,50 	he finds someone signing autographs for fans
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS361 	01:16:33,00 --> 01:16:40,50 	finding the garbage truck empty, someone approaches a crowd of onlookers.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS468 	01:39:04,00 --> 01:39:15,50 	he finds someone hunched over the fallen sorcerer.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS479 	01:41:12,00 --> 01:41:38,50 	someone ambles to the park gate and finds someone's hat lying on the sidewalk.
SPARKLE_2012.srt 	SPARKLE_2012_DVS66 	00:11:36,00 --> 00:11:43,50 	now someone finds someone smoking a cigarette.
SPARKLE_2012.srt 	SPARKLE_2012_DVS93 	00:14:30,00 --> 00:14:38,50 	unnoticed, someone approaches a doorway and finds the reserved beauty singing with her eyes closed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS190 	00:31:08,00 --> 00:31:17,50 	the sedan drives off, and our view leaves a window to find someone asleep on the couch.
SUPER_8.srt 	SUPER_8_DVS129 	00:19:41,00 --> 00:19:49,50 	someone climbs over the twisted train tracks and finds preston standing near someone on the other side.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS82 	00:18:51,00 --> 00:19:01,50 	i haven't found my dream girl.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS142 	00:31:28,00 --> 00:31:37,50 	then flips it over to find his drawing.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS171 	00:34:50,00 --> 00:34:58,50 	crossing the street, someone picks up her pace as she finds her lost friend.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS333 	01:04:42,00 --> 01:04:50,50 	on another day, our view travels across his bedroom to find him hard at work at his desk.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS32 	00:04:44,00 --> 00:04:55,50 	someone finds a print-out of her mugshot taped to her computer.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS64 	00:12:18,00 --> 00:12:40,50 	the portly man flips on the lights and finds someone asleep, sprawled across a leather loveseat.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS102 	00:20:06,00 --> 00:20:22,50 	she finds a bar coaster in a pair of jeans.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS118 	00:23:52,00 --> 00:23:57,50 	someone finds someone sharing her bench.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS130 	00:26:25,00 --> 00:26:35,50 	emerging outside, someone finds him blocking her path.
