21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS128 	00:10:02,00 --> 00:10:09,50 	in the front yard, his wife sits on the grass with another woman and her little girl.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS215 	00:17:16,00 --> 00:17:22,50 	he sits up on the board, letting his feet dangle in the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS220 	00:17:43,00 --> 00:17:51,50 	in his sweats, someone sits up and peeks out a window to find someone heading out to his van across the street.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS334 	00:29:34,00 --> 00:29:38,50 	they pause and sit up.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS392 	00:36:55,00 --> 00:37:01,50 	now, someone's van sits in the pouring rain outside his house.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS396 	00:37:05,00 --> 00:37:11,50 	another shows his boyhood-self sitting close to a father figure.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS431 	00:40:51,00 --> 00:40:59,50 	sitting on his board, someone holds two arms in the air and someone shows a beaming smile from the beach.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS465 	00:45:08,00 --> 00:45:13,50 	someone sits nearby with a group of students.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS469 	00:45:19,00 --> 00:45:25,50 	later in his room, someone sits before a typewriter, transcribing his handwritten essay.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS503 	00:49:01,00 --> 00:49:05,50 	they sit quietly with arms crossed,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS524 	00:51:06,00 --> 00:51:13,50 	the young surfer sits cross-legged, drawing in his private notebook.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS701 	01:08:13,00 --> 01:08:19,50 	the two pause and sit up, straddling their boards.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS716 	01:10:42,00 --> 01:10:46,50 	someone sits with someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS722 	01:12:09,00 --> 01:12:14,50 	sitting yards away, someone stands eagerly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS839 	01:22:56,00 --> 01:23:05,50 	our view drifts past the two paddleboards to find someone and someone sitting side by side, enjoying their accomplishment.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS992 	01:37:07,00 --> 01:37:14,50 	they all paddle out to join about two dozen surfers sitting on their boards.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1006 	01:37:50,00 --> 01:37:56,50 	but at the last moment, he sits back on his board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1026 	01:39:38,00 --> 01:39:43,50 	he eyes a building swell and sits up on his board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1043 	01:40:34,00 --> 01:40:40,50 	with a grave look, one of someone's buddies sits up.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1092 	01:44:02,00 --> 01:44:08,50 	sitting on his board, someone turns as someone sits up next to him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1092 	01:44:02,00 --> 01:44:08,50 	sitting on his board, someone turns as someone sits up next to him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1100 	01:45:17,00 --> 01:45:22,50 	he sits on his board, adjusting his hood.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1120 	01:47:27,00 --> 01:47:34,50 	as someone slows down, he turns to see the veterans sitting on their boards smiling.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1149 	01:49:20,00 --> 01:49:27,50 	now, someone sits on a surfboard, a white lei around his neck.
CHRONICLE.srt 	CHRONICLE_DVS49 	00:06:09,00 --> 00:06:15,50 	a stationary view shows someone sitting at a desk in his bedroom.
CHRONICLE.srt 	CHRONICLE_DVS56 	00:06:40,00 --> 00:06:44,50 	someone sits up.
CHRONICLE.srt 	CHRONICLE_DVS59 	00:06:57,00 --> 00:07:02,50 	he sits back a bit and expels a shaky breath.
CHRONICLE.srt 	CHRONICLE_DVS134 	00:19:55,00 --> 00:20:01,50 	on another day, his mother holds it as they sit at a waterfront cafe.
CHRONICLE.srt 	CHRONICLE_DVS232 	00:33:02,00 --> 00:33:07,50 	behind him, someone sits up.
CHRONICLE.srt 	CHRONICLE_DVS266 	00:41:02,00 --> 00:41:06,50 	his dad sits up.
CHRONICLE.srt 	CHRONICLE_DVS338 	00:50:38,00 --> 00:50:45,50 	they sit in a basement.
CHRONICLE.srt 	CHRONICLE_DVS365 	00:56:24,00 --> 00:56:30,50 	someone sits motionless watching the cheerleaders practice.
CHRONICLE.srt 	CHRONICLE_DVS378 	00:58:01,00 --> 00:58:06,50 	he sits cross-legged on an old icebox.
CHRONICLE.srt 	CHRONICLE_DVS381 	00:58:20,00 --> 00:58:25,50 	later in his bedroom, he sits at his computer.
CHRONICLE.srt 	CHRONICLE_DVS418 	01:01:57,00 --> 01:02:05,50 	now, he sits with his back to a fence and his respirator mask off, counting out the cash.
CHRONICLE.srt 	CHRONICLE_DVS435 	01:03:28,00 --> 01:03:34,50 	another camera sits on a tripod near the foot of someone's bed.
CHRONICLE.srt 	CHRONICLE_DVS441 	01:04:08,00 --> 01:04:14,50 	someone sits with a hunched posture, his hands in his lap.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS22 	00:04:40,00 --> 00:04:50,50 	later, the boxer sits on a patio in the night air.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS23 	00:04:55,00 --> 00:04:59,50 	she sits.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS33 	00:07:44,00 --> 00:07:54,50 	on the lacquer dresser, another box sits filled with earrings, rings, and necklaces.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS40 	00:08:43,00 --> 00:08:47,50 	a girl sits up in bed.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS47 	00:09:32,00 --> 00:09:36,50 	he sits her at the table,
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS49 	00:09:42,00 --> 00:09:58,50 	two empty milk bottles sit in a basket.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS70 	00:13:49,00 --> 00:14:00,50 	in the basement apartment, someone's oldest son sits against a wall with his arms folded.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS110 	00:25:31,00 --> 00:25:43,50 	she sits up and glances toward the door.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS126 	00:28:24,00 --> 00:28:34,50 	someone sits on someone's lap.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS171 	00:36:34,00 --> 00:36:46,50 	later, inside, a coalscuttle sits empty next to the stove whose open grate reveals dying embers.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS232 	00:50:52,00 --> 00:51:02,50 	with a bowl of hash sitting in front of him, someone paces.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS248 	01:01:56,00 --> 01:02:05,50 	someone sits wearily, his gaze turned downward.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS276 	01:06:50,00 --> 01:07:20,50 	behind her, two vendors sit at a folding table and men in business suits and fedoras follow different paths.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS283 	01:08:06,00 --> 01:08:15,50 	under a crystal chandelier, a card table and folding chairs sit on a parquet floor.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS284 	01:08:13,00 --> 01:08:20,50 	the ladies each sit with a blossom patterned china cup.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS364 	01:28:25,00 --> 01:28:29,50 	someone sits next to them.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS425 	01:43:51,00 --> 01:43:56,50 	someone sits on the ring's edge with a towel draped over his neck.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS472 	01:49:31,00 --> 01:49:37,50 	he sits on the empty bench and someone feels his outstretched hand.
COLOMBIANA.srt 	COLOMBIANA_DVS54 	00:03:03,00 --> 00:03:12,50 	on a covered patio, a man with thick dark hair and a beard sits across a small table from a younger stubble faced man.
COLOMBIANA.srt 	COLOMBIANA_DVS70 	00:05:00,00 --> 00:05:06,50 	two of someone's men sit in the back seat with rifles ready.
COLOMBIANA.srt 	COLOMBIANA_DVS103 	00:08:21,00 --> 00:08:28,50 	as he guides his daughter to sit back down at the table, his wife returns with two more guns.
COLOMBIANA.srt 	COLOMBIANA_DVS128 	00:10:53,00 --> 00:11:01,50 	someone sits across from someone and folds his arms on the table, then eyes the beefy gunman.
COLOMBIANA.srt 	COLOMBIANA_DVS207 	00:17:49,00 --> 00:17:55,50 	he gazes at someone who sits in front of his desk.
COLOMBIANA.srt 	COLOMBIANA_DVS224 	00:19:14,00 --> 00:19:19,50 	on a government jet, a woman sits with someone.
COLOMBIANA.srt 	COLOMBIANA_DVS235 	00:19:54,00 --> 00:20:00,50 	which sits beside a row of windows at her eye level.
COLOMBIANA.srt 	COLOMBIANA_DVS261 	00:21:44,00 --> 00:21:50,50 	someone sits waiting at a low window sill.
COLOMBIANA.srt 	COLOMBIANA_DVS262 	00:21:47,00 --> 00:21:55,50 	the man steps into a dingy room where a tall dark haired figure punches a guy sitting in a chair.
COLOMBIANA.srt 	COLOMBIANA_DVS283 	00:23:44,00 --> 00:23:50,50 	as she sits up, we notice guns hanging on the wall behind her.
COLOMBIANA.srt 	COLOMBIANA_DVS340 	00:30:16,00 --> 00:30:21,50 	the cops sit her down in front of him.
COLOMBIANA.srt 	COLOMBIANA_DVS361 	00:32:51,00 --> 00:32:56,50 	someone promptly sits up.
COLOMBIANA.srt 	COLOMBIANA_DVS428 	00:37:30,00 --> 00:37:35,50 	someone wakes with a start and sits up.
COLOMBIANA.srt 	COLOMBIANA_DVS542 	00:49:05,00 --> 00:49:11,50 	agent someone sits down at his desk and plays the prison security footage.
COLOMBIANA.srt 	COLOMBIANA_DVS563 	00:51:33,00 --> 00:51:38,50 	he sits with her straddling his lap.
COLOMBIANA.srt 	COLOMBIANA_DVS566 	00:51:46,00 --> 00:51:51,50 	she gingerly sits up.
COLOMBIANA.srt 	COLOMBIANA_DVS576 	00:52:25,00 --> 00:52:33,50 	he glances at a blonde woman who sits reading near a similarly blanketed window.
COLOMBIANA.srt 	COLOMBIANA_DVS578 	00:52:34,00 --> 00:52:38,50 	he sits down.
COLOMBIANA.srt 	COLOMBIANA_DVS579 	00:52:36,00 --> 00:52:40,50 	someone sits beside him.
COLOMBIANA.srt 	COLOMBIANA_DVS595 	00:56:09,00 --> 00:56:13,50 	he sits back in his chair.
COLOMBIANA.srt 	COLOMBIANA_DVS705 	01:06:22,00 --> 01:06:28,50 	he gazes at food on a nearby table then sits facing her.
COLOMBIANA.srt 	COLOMBIANA_DVS730 	01:09:14,00 --> 01:09:21,50 	the next morning, the stuffed alligator sits on a table in front of a tray holding glasses of orange juice,
COLOMBIANA.srt 	COLOMBIANA_DVS752 	01:12:23,00 --> 01:12:30,50 	cupping a hand over her mouth, she sits on a bench then kicks the shelf in front of her.
COLOMBIANA.srt 	COLOMBIANA_DVS775 	01:15:16,00 --> 01:15:23,50 	among them sit someone and mama who murmurs a prayer under her breath.
COLOMBIANA.srt 	COLOMBIANA_DVS778 	01:15:24,00 --> 01:15:29,50 	sitting beside her great-aunt, she stares ahead coldly.
COLOMBIANA.srt 	COLOMBIANA_DVS789 	01:16:13,00 --> 01:16:19,50 	sitting in another parked car, someone chews gum.
COLOMBIANA.srt 	COLOMBIANA_DVS891 	01:24:20,00 --> 01:24:25,50 	she shuffles through a living room to a sitting room.
COLOMBIANA.srt 	COLOMBIANA_DVS893 	01:24:23,00 --> 01:24:30,50 	in front of her, a bloody someone sits tied to a chair, his head drooped forward.
COLOMBIANA.srt 	COLOMBIANA_DVS907 	01:25:44,00 --> 01:25:49,50 	he sits as she shows the disconnected cameras.
COLOMBIANA.srt 	COLOMBIANA_DVS937 	01:30:39,00 --> 01:30:44,50 	someone sits stiffly, his mouth agape.
COLOMBIANA.srt 	COLOMBIANA_DVS952 	01:31:40,00 --> 01:31:45,50 	someone sits in his chair.
COLOMBIANA.srt 	COLOMBIANA_DVS1097 	01:43:49,00 --> 01:43:57,50 	a woman sitting on a bench stares off with disinterested eyes as someone passes by then boards the bus.
DEAR_JOHN.srt 	DEAR_JOHN_DVS26 	00:02:56,00 --> 00:03:02,50 	a boyish guy sits on the railings, sending her purse plunging into the water.
DEAR_JOHN.srt 	DEAR_JOHN_DVS59 	00:07:37,00 --> 00:07:44,50 	someone and someone sit back down.
DEAR_JOHN.srt 	DEAR_JOHN_DVS119 	00:18:03,00 --> 00:18:17,50 	later, he sits straddling his board, gazing at the houses along the shore.
DEAR_JOHN.srt 	DEAR_JOHN_DVS160 	00:25:06,00 --> 00:25:12,50 	another group sits around two young men playing acoustic guitars.
DEAR_JOHN.srt 	DEAR_JOHN_DVS162 	00:25:13,00 --> 00:25:20,50 	turning, he spots a solitary figure sitting alone at the base of a grassy dune.
DEAR_JOHN.srt 	DEAR_JOHN_DVS236 	00:36:43,00 --> 00:36:53,50 	now they enter a crude village where a calf drinks from ruts of sitting water.
DEAR_JOHN.srt 	DEAR_JOHN_DVS245 	00:38:34,00 --> 00:38:49,50 	another soldier exits a house and pats someone, who sits on a porch reading.
DEAR_JOHN.srt 	DEAR_JOHN_DVS315 	00:48:47,00 --> 00:48:53,50 	someone sits on a chair and buttons a suit jacket.
DEAR_JOHN.srt 	DEAR_JOHN_DVS317 	00:48:57,00 --> 00:49:02,50 	someone walks off, then returns to the sitting room.
DEAR_JOHN.srt 	DEAR_JOHN_DVS321 	00:49:33,00 --> 00:49:46,50 	someone sits in the back seat of someone's blue volkswagen, as they drive away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS339 	00:52:01,00 --> 00:52:09,50 	well over a dozen cars sit parked on the front lawn.
DEAR_JOHN.srt 	DEAR_JOHN_DVS362 	00:56:53,00 --> 00:57:05,50 	now as guests stroll around the curtis' expansive grounds, someone finds someone siting alone on a bench overlooking a marsh.
DEAR_JOHN.srt 	DEAR_JOHN_DVS415 	01:03:05,00 --> 01:03:11,50 	sitting on a crate, someone furrows his brow thoughtfully.
DEAR_JOHN.srt 	DEAR_JOHN_DVS431 	01:04:26,00 --> 01:04:31,50 	with a letter in his hand, someone sits on a cot.
DEAR_JOHN.srt 	DEAR_JOHN_DVS445 	01:05:29,00 --> 01:05:36,50 	in charleston, someone sits alone on the beach.
DEAR_JOHN.srt 	DEAR_JOHN_DVS449 	01:05:49,00 --> 01:05:59,50 	sitting down, he dials, then lifts the phone to his ear.
DEAR_JOHN.srt 	DEAR_JOHN_DVS454 	01:06:38,00 --> 01:06:43,50 	someone sits at a weight machine.
DEAR_JOHN.srt 	DEAR_JOHN_DVS457 	01:06:50,00 --> 01:06:55,50 	later, he sits outside and reads the letter.
DEAR_JOHN.srt 	DEAR_JOHN_DVS459 	01:07:38,00 --> 01:07:42,50 	he sits on his cot.
DEAR_JOHN.srt 	DEAR_JOHN_DVS523 	01:15:30,00 --> 01:15:34,50 	someone sits up with an alarmed look.
DEAR_JOHN.srt 	DEAR_JOHN_DVS580 	01:21:52,00 --> 01:21:59,50 	someone sits beside his surfboard with his knees pulled up, and his head bowed.
DEAR_JOHN.srt 	DEAR_JOHN_DVS595 	01:22:48,00 --> 01:22:55,50 	someone sits alone in a vacant church.
DEAR_JOHN.srt 	DEAR_JOHN_DVS652 	01:28:36,00 --> 01:28:42,50 	they find a beardless someone sitting in a wheelchair.
DEAR_JOHN.srt 	DEAR_JOHN_DVS702 	01:35:07,00 --> 01:35:11,50 	later in the sitting room.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS41 	00:03:15,00 --> 00:03:23,50 	the man paints a piece of cheese resting on a table between two mice sitting in a pergola.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS114 	00:29:30,00 --> 00:29:35,50 	and sits at someone's computer.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS137 	00:31:17,00 --> 00:31:23,50 	someone sits downstairs in someone's apartment block lobby.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS160 	00:38:00,00 --> 00:38:10,50 	someone scrambles over to the chair and sits with his back to it.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS242 	00:59:44,00 --> 00:59:49,50 	he sits down and studies them.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS246 	01:00:03,00 --> 01:00:12,50 	the next shows the boy mouse sitting alone at the kitchen table with a photo of the girl mouse propped up in front of him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS256 	01:01:55,00 --> 01:02:01,50 	still sitting in the chair, he dials again.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS287 	01:10:55,00 --> 01:11:01,50 	someone gives up hitting him and someone sits up again.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS324 	01:18:36,00 --> 01:18:42,50 	someone walks back to his workbench and sits down.
DISTRICT_9.srt 	DISTRICT_9_DVS228 	00:25:38,00 --> 00:25:44,50 	someone helps someone sit up.
DISTRICT_9.srt 	DISTRICT_9_DVS332 	00:36:30,00 --> 00:36:42,50 	someone sits in the waiting room.
DISTRICT_9.srt 	DISTRICT_9_DVS389 	00:43:23,00 --> 00:43:27,50 	he sits beside her.
DISTRICT_9.srt 	DISTRICT_9_DVS453 	00:51:15,00 --> 00:51:23,50 	sitting in the dirt, someone rips the lid off a can.
DISTRICT_9.srt 	DISTRICT_9_DVS467 	00:54:01,00 --> 00:54:07,50 	someone sits back and muffles his mouth with his human arm.
DISTRICT_9.srt 	DISTRICT_9_DVS483 	00:56:11,00 --> 00:56:18,50 	he slowly wakes and sits up.
DISTRICT_9.srt 	DISTRICT_9_DVS545 	01:04:02,00 --> 01:04:06,50 	someone sits across from them.
DISTRICT_9.srt 	DISTRICT_9_DVS549 	01:04:44,00 --> 01:04:52,50 	a group of nigerians, two of them sit on a couch.
DISTRICT_9.srt 	DISTRICT_9_DVS659 	01:17:16,00 --> 01:17:32,50 	someone sits in the chair and pulls down a harness, which engages the seat to move forward to a control station.
EASY_A.srt 	EASY_A_DVS42 	00:11:59,00 --> 00:12:04,50 	a black boy sits beside her.
EASY_A.srt 	EASY_A_DVS61 	00:21:11,00 --> 00:21:15,50 	her husband sits with their son.
EASY_A.srt 	EASY_A_DVS116 	00:38:25,00 --> 00:38:32,50 	pulling bustiers from the shopping bags, she sits to work with a needle and thread.
EASY_A.srt 	EASY_A_DVS215 	01:05:58,00 --> 01:06:04,50 	now at home, someone sits on a sectional with her mom and brother.
EASY_A.srt 	EASY_A_DVS299 	01:26:40,00 --> 01:26:48,50 	someone sits at a fountain, staring at a text that reads, "ri, sorry i lied to you."
FLIGHT.srt 	FLIGHT_DVS26 	00:03:39,00 --> 00:03:44,50 	he sits up and snorts a line of cocaine.
FLIGHT.srt 	FLIGHT_DVS38 	00:05:13,00 --> 00:05:18,50 	whitaker sits next to his copilot.
FLIGHT.srt 	FLIGHT_DVS52 	00:09:27,00 --> 00:09:31,50 	someone sits facing someone.
FLIGHT.srt 	FLIGHT_DVS122 	00:24:38,00 --> 00:24:44,50 	they head towards a church, sitting on an expanse of open land.
FLIGHT.srt 	FLIGHT_DVS177 	00:38:59,00 --> 00:39:05,50 	he sees someone sitting on the stairs, smoking a cigarette.
FLIGHT.srt 	FLIGHT_DVS179 	00:39:18,00 --> 00:39:21,50 	she sits.
FLIGHT.srt 	FLIGHT_DVS205 	00:47:13,00 --> 00:47:20,50 	a retro stereo sits on a cabinet, against a wall with framed photos.
FLIGHT.srt 	FLIGHT_DVS243 	00:50:42,00 --> 00:50:46,50 	later that evening he sits, watching the news.
FLIGHT.srt 	FLIGHT_DVS344 	00:57:40,00 --> 00:57:46,50 	someone sits at the bar and moves a cocktail napkin back and forth, as he studies the glass of vodka.
FLIGHT.srt 	FLIGHT_DVS376 	01:00:50,00 --> 01:00:57,50 	someone sits in the passenger seat of someone's car, as he drives and drinks his beer.
FLIGHT.srt 	FLIGHT_DVS504 	01:12:45,00 --> 01:12:51,50 	someone sits in a chair on the veranda, taking pictures.
FLIGHT.srt 	FLIGHT_DVS507 	01:13:07,00 --> 01:13:12,50 	he sits in a rocking chair.
FLIGHT.srt 	FLIGHT_DVS659 	01:29:36,00 --> 01:29:41,50 	someone sits on the bed.
FLIGHT.srt 	FLIGHT_DVS670 	01:30:27,00 --> 01:30:32,50 	someone walks past someone, raising a hand to her head before she sits on the bed.
FLIGHT.srt 	FLIGHT_DVS672 	01:30:50,00 --> 01:30:55,50 	he sits next to her on the bed.
FLIGHT.srt 	FLIGHT_DVS691 	01:33:21,00 --> 01:33:29,50 	rain falls steadily as someone sits in the car and pours alcohol into a bottle of juice, and takes a drink.
FLIGHT.srt 	FLIGHT_DVS891 	01:45:08,00 --> 01:45:14,50 	he sits over the toilet, smoking as the bath fills.
FLIGHT.srt 	FLIGHT_DVS938 	01:51:26,00 --> 01:51:30,50 	someone sits beside someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS30 	00:07:28,00 --> 00:07:33,50 	now they sit in the car.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS54 	00:14:34,00 --> 00:14:39,50 	she sits down.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS102 	00:27:19,00 --> 00:27:24,50 	he watches her rear as he is sitting on the couch.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS124 	00:33:37,00 --> 00:33:42,50 	someone goes to a waiting area where someone sits.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS142 	00:37:50,00 --> 00:37:58,50 	looking into the bathroom, she finds someone sitting on the toilet.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS144 	00:38:05,00 --> 00:38:09,50 	she sits up again.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS158 	00:41:57,00 --> 00:42:02,50 	later they sit at a someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS234 	01:02:20,00 --> 01:02:37,50 	at night, someone and someone sit on the patio, looking through a photo album.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS266 	01:09:23,00 --> 01:09:28,50 	he gingerly removes her hand and sits up.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS343 	01:30:42,00 --> 01:30:48,50 	now someone and someone sit in central park together.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS344 	01:32:03,00 --> 01:32:08,50 	sitting side-by-side on a boulder, they hug.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS351 	01:33:24,00 --> 01:33:39,50 	he finds his father hanging his trousers over a railing, then sitting down at an empty table in his shirt, jacket, and boxers.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS93 	00:51:22,00 --> 00:51:32,50 	someone sits stiffly facing him.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS114 	01:05:20,00 --> 01:05:24,50 	sitting at a nurses desk.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS131 	01:18:54,00 --> 01:19:07,50 	later, someone and naples sit on a couch playing with toys.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS143 	01:25:02,00 --> 01:25:08,50 	someone sits primly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS37 	00:06:30,00 --> 00:06:42,50 	he looks at a scar on the palm of his hand then sits up.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS58 	00:09:57,00 --> 00:10:05,50 	in a cafe, someone sits alone at a table, watching a man in a grey suit take off his wedding ring.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS132 	00:20:49,00 --> 00:20:56,50 	now in a sunlit clearing, someone's suv sits parked with the driver's door open.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS165 	00:25:45,00 --> 00:25:51,50 	now someone's motorcycle sits on a truck's flatbed.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS173 	00:28:19,00 --> 00:28:27,50 	now in someone's suv, someone sits with his eyes closed.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS194 	00:30:37,00 --> 00:30:54,50 	he looks over his shoulder at someone who sits slumped and blindfolded on the floor.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	as the last truck passes under, a man climbs a ladder to the excavator's control cab which sits just behind the cutting wheel.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS222 	00:36:19,00 --> 00:36:23,50 	he sits wearing a blindfold.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS252 	00:40:05,00 --> 00:40:13,50 	sitting in the control seat between two levers, he pulls one back and pushes the other forward.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS280 	00:43:25,00 --> 00:43:34,50 	at a truck stop diner, someone sits alone at a booth with a frown, his eyes fixed on a nearby family.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS283 	00:43:43,00 --> 00:43:49,50 	sitting across from him, he slides the tray over.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS289 	00:44:40,00 --> 00:44:47,50 	sitting beside someone, she wraps an arm around him and kisses his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS323 	00:48:54,00 --> 00:49:02,50 	someone sits beside him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS332 	00:50:20,00 --> 00:50:32,50 	the boy sits in front of someone on the gas tank with his legs draped over the handlebars.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS385 	00:57:01,00 --> 00:57:09,50 	someone grabs the possessed man's shoulder and they sit down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS467 	01:07:56,00 --> 01:08:02,50 	in a corridor, someone sits beside someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS471 	01:08:20,00 --> 01:08:25,50 	he sits up straight and someone nods.
