21_JUMP_STREET.srt 	21_JUMP_STREET_DVS341 	00:56:42,00 --> 00:56:49,50 	they move off together revealing a left behind someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS367 	00:45:13,00 --> 00:45:18,50 	he rises and moves to the front of his desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS381 	00:46:12,00 --> 00:46:18,50 	as he moves her hand against the front of his pants,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS437 	00:52:06,00 --> 00:52:12,50 	someone starts to move past his ward then stops in front of her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS461 	00:53:39,00 --> 00:53:46,50 	as someone moves up beside her she flails and kicks desperately.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS488 	00:55:52,00 --> 00:55:58,50 	the journalist moves his reading glasses to his brow
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS491 	00:56:07,00 --> 00:56:15,50 	out view sinks down, moving closer to the side of the sofa until darkness fills our view.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS834 	01:34:56,00 --> 01:35:01,50 	he moves to a window and peers inside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS838 	01:35:09,00 --> 01:35:19,50 	his foot kicks an empty bottle on the floor as he moves into a neglected room scattered with papers, books, and trash.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS873 	01:37:25,00 --> 01:37:30,50 	as he swigs from the bottle she moves closer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS888 	01:39:04,00 --> 01:39:11,50 	they kiss and then she moves her mouth lower and bites his nipple.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1025 	01:50:22,00 --> 01:50:30,50 	now someone moves around the perimeter of someone's house.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1376 	02:27:48,00 --> 02:27:54,50 	she moves to a balcony's open door and lights up.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS327 	01:54:17,00 --> 01:54:22,50 	someone's cursor moves to the send request button.
THE_VOW.srt 	THE_VOW_DVS139 	00:14:26,00 --> 00:14:34,50 	his fingers move to the buttons on her top.
THE_VOW.srt 	THE_VOW_DVS176 	00:19:07,00 --> 00:19:14,50 	she moves down the serving line.
THE_VOW.srt 	THE_VOW_DVS197 	00:23:55,00 --> 00:23:59,50 	she moves off.
THE_VOW.srt 	THE_VOW_DVS383 	00:53:58,00 --> 00:54:03,50 	he moves to her unfinished piece.
THE_VOW.srt 	THE_VOW_DVS541 	01:14:31,00 --> 01:14:36,50 	someone moves unhappily through the crowd.
THE_VOW.srt 	THE_VOW_DVS545 	01:14:44,00 --> 01:14:50,50 	she fails to notice him and he moves on sullenly.
THE_WATCH.srt 	THE_WATCH_DVS176 	00:32:31,00 --> 00:32:36,50 	something moves alongside of it.
THE_WATCH.srt 	THE_WATCH_DVS202 	00:36:30,00 --> 00:36:37,50 	it lights up and its sections move.
THE_WATCH.srt 	THE_WATCH_DVS258 	00:48:20,00 --> 00:48:25,50 	they move through a shadowy garden wafting with mist.
THE_WATCH.srt 	THE_WATCH_DVS261 	00:48:43,00 --> 00:48:49,50 	a few yards ahead, the branches of a thick cluster of bushes move.
THE_WATCH.srt 	THE_WATCH_DVS397 	01:12:02,00 --> 01:12:06,50 	someone slowly moves to someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS115 	00:33:30,00 --> 00:33:34,50 	he spots two guys moving a chair.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS278 	01:15:43,00 --> 01:15:50,50 	he moves closer.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS516 	01:54:33,00 --> 01:54:37,50 	she moves closer.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS161 	00:31:11,00 --> 00:31:17,50 	as his colleagues move on, someone shifts his gaze.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS282 	00:52:36,00 --> 00:52:44,50 	as someone moves on to the terrier's cage, the tiny mutt springs out and attacks someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS469 	00:50:20,00 --> 00:50:25,50 	to move by itself and a lamp tips.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS527 	00:58:23,00 --> 00:58:28,50 	the father moves his hand toward someone's.
TRUE_GRIT.srt 	TRUE_GRIT_DVS294 	01:03:14,00 --> 01:03:19,50 	two of the riders move closer to someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS477 	01:31:54,00 --> 01:32:00,50 	still astride his horse, someone doesn't move a muscle.
TRUE_GRIT.srt 	TRUE_GRIT_DVS507 	01:34:17,00 --> 01:34:21,50 	it starts to move.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS249 	00:23:40,00 --> 00:23:45,50 	the cat moves farther away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS536 	01:12:00,00 --> 01:12:06,50 	she twirls away, then moves back into his arms.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS143 	00:25:03,00 --> 00:25:18,50 	the suv now leads the moving truck onto the zoo property.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS169 	00:29:24,00 --> 00:29:27,50 	he moves off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS354 	00:57:05,00 --> 00:57:15,50 	the bear moves 	to the driver side window.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS385 	01:00:54,00 --> 01:01:07,50 	meanwhile, a flashlight's beam moves back and forth in 	the sky as someone and someone lie side by side on the roof.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS477 	01:14:37,00 --> 01:14:45,50 	he moves the cursor down the desktop photo of someone and someone to a row of icons at the bottom.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS478 	01:14:43,00 --> 01:14:49,50 	the cursor moves along the monitor's dock to the iphoto application.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS545 	01:23:54,00 --> 01:23:58,50 	she moves past him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS316 	00:44:39,00 --> 00:44:43,50 	a puppet moves in beside them.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS430 	01:01:04,00 --> 01:01:08,50 	he moves to her spot on the court.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS175 	00:13:29,00 --> 00:13:35,50 	as he moves to a couch, she flops down next to him and nestles.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS327 	00:24:40,00 --> 00:24:49,50 	his aim sweeps toward the tailor and the trigger moves.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS493 	00:45:10,00 --> 00:45:20,50 	someone flips more switches and a strip of paper begins to move like a conveyor belt under the arms of a chart recorder.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS798 	01:11:51,00 --> 01:11:59,50 	now a massive russian ship, named aral sea, slowly moves across the ocean.
ZOMBIELAND.srt 	ZOMBIELAND_DVS29 	00:03:08,00 --> 00:03:13,50 	as titles appear, images move in slow motion.
ZOMBIELAND.srt 	ZOMBIELAND_DVS159 	00:16:11,00 --> 00:16:16,50 	he quickly moves his hand to his hoodie and fidgets with it.
ZOMBIELAND.srt 	ZOMBIELAND_DVS232 	00:25:21,00 --> 00:25:26,50 	someone moves away and little someone's shoulders sag.
ZOMBIELAND.srt 	ZOMBIELAND_DVS356 	00:40:46,00 --> 00:40:51,50 	now as the horizon glows dimly, the hummer moves through a low fog.
ZOMBIELAND.srt 	ZOMBIELAND_DVS526 	01:01:36,00 --> 01:01:43,50 	in reply, he lets his hands move from her hips to the small of her back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS571 	01:06:42,00 --> 01:06:46,50 	someone moves out.
ZOMBIELAND.srt 	ZOMBIELAND_DVS618 	01:10:45,00 --> 01:10:49,50 	the seats stop moving.
ZOOKEEPER.srt 	ZOOKEEPER_DVS269 	00:59:28,00 --> 00:59:36,50 	she moves off and waves her arms at the dj on a balcony, then returns to her date.
ZOOKEEPER.srt 	ZOOKEEPER_DVS283 	01:01:23,00 --> 01:01:27,50 	as they move apart, we see someone watching.
ZOOKEEPER.srt 	ZOOKEEPER_DVS294 	01:04:50,00 --> 01:04:57,50 	moving his arms like a robot, he clanks a fork and knife together.
ZOOKEEPER.srt 	ZOOKEEPER_DVS415 	01:30:44,00 --> 01:30:49,50 	they move for the support beam.
