21_JUMP_STREET.srt 	21_JUMP_STREET_DVS30 	00:03:33,00 --> 00:03:39,50 	ahead in line, someone now sporting a buzz cut spots him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS54 	00:13:26,00 --> 00:13:33,50 	in a someone and noble, someone spots the single mother two paces ahead of him in line.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS115 	00:33:30,00 --> 00:33:34,50 	he spots two guys moving a chair.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS191 	00:46:07,00 --> 00:46:12,50 	he spots a framed photo with someone in it.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS407 	01:35:53,00 --> 01:35:58,50 	someone spots him from the doorway.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS50 	00:07:00,00 --> 00:07:04,50 	she spots someone's ring.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS179 	00:33:35,00 --> 00:33:40,50 	she spots someone and someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS259 	00:33:28,00 --> 00:33:33,50 	and spots a sleeping boy across the room.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS386 	00:42:16,00 --> 00:42:20,50 	they spot the googly-eyed dog.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS678 	01:15:51,00 --> 01:15:57,50 	he spots someone perched on a goal's crossbar.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS818 	01:26:59,00 --> 01:27:04,50 	a school faculty member comes out and spots the
TRUE_GRIT.srt 	TRUE_GRIT_DVS498 	01:33:33,00 --> 01:33:39,50 	and spots a knife ina belt around his waist.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS252 	00:23:53,00 --> 00:24:00,50 	she spots a well-built man through a pair of open balcony doors as he exits a shower.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS390 	00:46:53,00 --> 00:46:58,50 	as someone spots his nephew, someone looks on.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS447 	00:54:38,00 --> 00:54:43,50 	someone spots the boy.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS458 	00:55:53,00 --> 00:55:58,50 	someone spots him and seizes it.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS501 	01:04:30,00 --> 01:04:35,50 	later someone spots her in the lobby.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS32 	00:05:10,00 --> 00:05:16,50 	someone spots a restaurant ahead and his face falls.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS93 	00:14:09,00 --> 00:14:21,50 	as he returns his attention to the young partygoers 	next door, a blonde woman holding a beer spots him and gives a friendly wave.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS359 	00:58:14,00 --> 00:58:21,50 	tranquilizer gun in hand, someone freezes as he spots the grizzly on a hill.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS628 	01:33:18,00 --> 01:33:31,50 	back in the field, someone's white spotted sundress flutters as she leads her children in tighter circles around her 	husband.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS819 	01:54:57,00 --> 01:55:03,50 	as someone strolls through the crowd, he spots the kites.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS98 	00:08:31,00 --> 00:08:39,50 	she climbs a flight of stairs up to a tasteful party where an elegant blonde spots her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS270 	00:38:52,00 --> 00:38:57,50 	someone spots a photo of him and someone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS355 	00:52:07,00 --> 00:52:15,50 	nearing a giant statue in the center of the room, she spots a handsome african-american man reading.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS542 	01:14:53,00 --> 01:15:02,50 	he pauses to greet acquaintances, then spots her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS595 	01:20:36,00 --> 01:20:41,50 	someone spots him and hesitates,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS710 	01:35:47,00 --> 01:35:58,50 	she waves to the bride as she dances her way to the front of the parade, then spots a pizza delivery man's bicycle 	propped against a brick wall, and steals it.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS721 	01:36:45,00 --> 01:36:51,50 	spotting someone onstage with his band, someone beams.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS724 	01:36:53,00 --> 01:37:00,50 	someone climbs a trellis fence, peeks overtop, and spots the security guards.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS621 	00:57:57,00 --> 00:58:03,50 	outside, someone spots a soldier wrapped in barbed wire.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1181 	01:45:34,00 --> 01:45:40,50 	he spots angel fluttering above the ship.
ZOMBIELAND.srt 	ZOMBIELAND_DVS194 	00:19:47,00 --> 00:19:52,50 	he spots fedex packages on the side of the road.
ZOMBIELAND.srt 	ZOMBIELAND_DVS568 	01:06:21,00 --> 01:06:26,50 	as they swarm over a go-cart track, the girls spot them from the swinging pharaoh ship.
ZOMBIELAND.srt 	ZOMBIELAND_DVS631 	01:11:52,00 --> 01:11:58,50 	back on the ride, little someone points as she spots the suv.
ZOMBIELAND.srt 	ZOMBIELAND_DVS636 	01:12:08,00 --> 01:12:14,50 	he spots the partially submerged yellow hummer.
ZOOKEEPER.srt 	ZOOKEEPER_DVS252 	00:55:57,00 --> 00:56:02,50 	he spots someone with someone.
