21_JUMP_STREET.srt 	21_JUMP_STREET_DVS25 	00:03:10,00 --> 00:03:15,50 	the nerd wipes his own tears and stands.
DISTRICT_9.srt 	DISTRICT_9_DVS503 	00:59:01,00 --> 00:59:13,50 	someone's son stands beside someone.
DISTRICT_9.srt 	DISTRICT_9_DVS514 	00:59:53,00 --> 01:00:00,50 	he stares at the dark spatters, then stands.
DISTRICT_9.srt 	DISTRICT_9_DVS679 	01:19:34,00 --> 01:19:44,50 	someone stands.
DISTRICT_9.srt 	DISTRICT_9_DVS685 	01:20:20,00 --> 01:20:28,50 	someone stands in the doorway where sunlight floods into the vessel.
DISTRICT_9.srt 	DISTRICT_9_DVS708 	01:23:05,00 --> 01:23:17,50 	in the transport, someone stands with his arms bound behind him, and peers out a cracked window at the abduction.
DISTRICT_9.srt 	DISTRICT_9_DVS780 	01:32:26,00 --> 01:32:34,50 	as the robot stands, the sniper fires.
DISTRICT_9.srt 	DISTRICT_9_DVS869 	01:44:27,00 --> 01:44:32,50 	a framed wedding photo stands nearby.
EASY_A.srt 	EASY_A_DVS37 	00:09:11,00 --> 00:09:22,50 	the red-haired teen stands alone.
EASY_A.srt 	EASY_A_DVS94 	00:33:11,00 --> 00:33:16,50 	as he stands, she musses his hair and rumbles his shirt.
EASY_A.srt 	EASY_A_DVS148 	00:45:52,00 --> 00:46:08,50 	we whiz back through the locker room, to the lap pool, where someone stands uncomfortably.
EASY_A.srt 	EASY_A_DVS217 	01:08:42,00 --> 01:08:47,50 	someone smiles as he stands.
EASY_A.srt 	EASY_A_DVS253 	01:17:01,00 --> 01:17:06,50 	she stands and shuts the door behind her, strolling off.
FLIGHT.srt 	FLIGHT_DVS69 	00:14:16,00 --> 00:14:20,50 	he stands in the doorway.
FLIGHT.srt 	FLIGHT_DVS185 	00:40:13,00 --> 00:40:18,50 	the gaunt man stands by his iv pole.
FLIGHT.srt 	FLIGHT_DVS192 	00:45:03,00 --> 00:45:08,50 	she wipes a tear from her eye, offers a smile, then stands, and climbs up the stairs.
FLIGHT.srt 	FLIGHT_DVS446 	01:07:56,00 --> 01:08:03,50 	someone stands at the far end of the large conference table, opposite someone.
FLIGHT.srt 	FLIGHT_DVS488 	01:09:57,00 --> 01:10:04,50 	someone pushes through the double glass doors and walks towards someone, who stands.
FLIGHT.srt 	FLIGHT_DVS588 	01:20:41,00 --> 01:20:45,50 	a man stands at a podium.
FLIGHT.srt 	FLIGHT_DVS678 	01:31:50,00 --> 01:31:54,50 	someone stands at the bedroom entrance.
FLIGHT.srt 	FLIGHT_DVS693 	01:33:42,00 --> 01:33:50,50 	the crashed south jet aircraft stands almost completely assembled, with parts strewn around beside it.
FLIGHT.srt 	FLIGHT_DVS912 	01:48:21,00 --> 01:48:28,50 	he replaces the cap, then slowly stands up and sets the bottle on top of the fridge.
FLIGHT.srt 	FLIGHT_DVS1230 	02:09:46,00 --> 02:09:51,50 	photos of someone and someone, standing next to a christmas tree.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS45 	00:13:01,00 --> 00:13:05,50 	they reach a gyros stand.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS278 	01:13:14,00 --> 01:13:21,50 	he angrily pushes away from the table and stands, then trips and falls.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS285 	01:14:31,00 --> 01:14:36,50 	the hollywood sign stands tall downhill of them behind a fence.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS350 	01:33:12,00 --> 01:33:21,50 	returning to the hostess stand he peers inside the crowded restaurant, then proceeds inside.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS352 	01:33:38,00 --> 01:33:50,50 	standing frozen to the spot, someone narrows his eyes.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS84 	00:48:02,00 --> 00:48:15,50 	a man with a frizzy hairdo stands waiting near the corner.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS138 	01:21:32,00 --> 01:21:36,50 	someone stands at the door.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS97 	00:15:11,00 --> 00:15:17,50 	someone stands, aims his revolver at her and cocks the hammer.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS99 	00:15:24,00 --> 00:15:40,50 	the others stand motionless, staring at the rider's flaming skull.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS133 	00:20:53,00 --> 00:21:01,50 	the heavyset thug stands nearby as someone opens someone's door and yanks him out.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS237 	00:37:53,00 --> 00:38:04,50 	following his gaze, someone finds ghost rider unharmed, standing at the explosion's outskirts.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS431 	01:02:07,00 --> 01:02:12,50 	outside, the hooded monks stand in a circle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS478 	01:09:29,00 --> 01:09:36,50 	he stands upright.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS598 	01:26:00,00 --> 01:26:08,50 	she lurches to halt at the sight of ghost rider standing beside the overturned flaming suv.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS603 	01:26:24,00 --> 01:26:36,50 	she steps forward as ghost rider stands, cradling someone's limp form in his arms.
GREEN_ZONE.srt 	GREEN_ZONE_DVS27 	00:07:21,00 --> 00:07:28,50 	a soldier stands guard at a corner as his teammates enter an unlit building.
GREEN_ZONE.srt 	GREEN_ZONE_DVS94 	00:23:40,00 --> 00:23:44,50 	he attempts to help him stand.
GREEN_ZONE.srt 	GREEN_ZONE_DVS115 	00:27:49,00 --> 00:28:09,50 	now someone stands, prompting the others.
GREEN_ZONE.srt 	GREEN_ZONE_DVS174 	00:45:23,00 --> 00:45:28,50 	as someone stands, someone weaves toward him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS193 	00:50:37,00 --> 00:50:44,50 	standing beside a humvee, they lock eyes.
GREEN_ZONE.srt 	GREEN_ZONE_DVS337 	01:16:09,00 --> 01:16:14,50 	a man stands behind a bus.
GREEN_ZONE.srt 	GREEN_ZONE_DVS445 	01:37:41,00 --> 01:37:46,50 	someone stands motionless.
GREEN_ZONE.srt 	GREEN_ZONE_DVS458 	01:40:39,00 --> 01:40:51,50 	in the sunlit room, local officials stand waiting, some in long arabic scarves, others in business suits.
GROWN_UPS.srt 	GROWN_UPS_DVS54 	00:16:13,00 --> 00:16:25,50 	someone stands nervously.
GROWN_UPS.srt 	GROWN_UPS_DVS83 	00:25:02,00 --> 00:25:06,50 	he stands.
GROWN_UPS.srt 	GROWN_UPS_DVS244 	01:12:13,00 --> 01:12:20,50 	someone stands in the kitchen with a jug of water.
GROWN_UPS.srt 	GROWN_UPS_DVS266 	01:15:48,00 --> 01:15:54,50 	curly steps out of the closet and stands beside him.
HUGO.srt 	HUGO_DVS35 	00:03:56,00 --> 00:04:01,50 	the girl stands and smiles at the man.
HUGO.srt 	HUGO_DVS66 	00:08:42,00 --> 00:08:50,50 	the inspector shoves past the man, then pushes his way into a throng of travelers standing on a train platform.
HUGO.srt 	HUGO_DVS97 	00:12:41,00 --> 00:12:52,50 	he stands motionless at the top of the clock tower, as the setting sun casts long shadows over the train station and the rest of the sprawling city.
HUGO.srt 	HUGO_DVS105 	00:14:07,00 --> 00:14:14,50 	someone stands rooted to the floor, gazing out at the snowy paris streets beyond.
HUGO.srt 	HUGO_DVS112 	00:14:46,00 --> 00:14:56,50 	they approach a gate leading to a cemetery filled with snow dusted statues of hooded figures standing with their hands clasped and their heads bowed.
HUGO.srt 	HUGO_DVS136 	00:18:08,00 --> 00:18:14,50 	now well dressed and clean, someone stands with a blonde man with glasses.
HUGO.srt 	HUGO_DVS176 	00:24:46,00 --> 00:24:52,50 	still chewing, someone stands on the other side of the pillar.
HUGO.srt 	HUGO_DVS203 	00:30:36,00 --> 00:30:42,50 	someone stands in front of the toyshop and stares at someone.
HUGO.srt 	HUGO_DVS207 	00:31:01,00 --> 00:31:06,50 	someone remains standing with his arms at his sides.
HUGO.srt 	HUGO_DVS259 	00:37:12,00 --> 00:37:17,50 	the boy now stands in a cage in the inspector's office.
HUGO.srt 	HUGO_DVS269 	00:39:45,00 --> 00:39:52,50 	later, they stand in a street gazing up at a glowing theatre sign - le cinema.
HUGO.srt 	HUGO_DVS278 	00:40:35,00 --> 00:40:39,50 	someone stands on a window ledge.
HUGO.srt 	HUGO_DVS285 	00:42:25,00 --> 00:42:30,50 	standing on a bridge, someone stares at her.
HUGO.srt 	HUGO_DVS366 	00:56:03,00 --> 00:56:07,50 	someone stands as someone steps into the room.
HUGO.srt 	HUGO_DVS484 	01:11:30,00 --> 01:11:35,50 	a bearded bespectacled man stand behind them.
HUGO.srt 	HUGO_DVS488 	01:11:50,00 --> 01:11:54,50 	same man standing behind them.
HUGO.srt 	HUGO_DVS588 	01:25:13,00 --> 01:25:18,50 	he stands quickly on mechanical legs.
HUGO.srt 	HUGO_DVS602 	01:27:02,00 --> 01:27:09,50 	someone's ears stand straight up as he stares at the inspector.
HUGO.srt 	HUGO_DVS648 	01:33:02,00 --> 01:33:06,50 	who stands in the doorway.
HUGO.srt 	HUGO_DVS655 	01:34:30,00 --> 01:34:38,50 	as a younger man, he stands on a stage in a packed theatre.
HUGO.srt 	HUGO_DVS660 	01:35:54,00 --> 01:36:00,50 	carnival someone stands outside a cinematograph.
HUGO.srt 	HUGO_DVS686 	01:39:21,00 --> 01:39:26,50 	a man places a smoke bomb where they stood.
HUGO.srt 	HUGO_DVS696 	01:42:30,00 --> 01:42:35,50 	someone grins at someone then stands.
HUGO.srt 	HUGO_DVS717 	01:46:18,00 --> 01:46:23,50 	the inspector stands with his back to someone.
HUGO.srt 	HUGO_DVS723 	01:47:02,00 --> 01:47:07,50 	a small vent stands ajar.
HUGO.srt 	HUGO_DVS741 	01:48:52,00 --> 01:48:59,50 	standing beside him, the inspector peers up at the clockwork's giant moving gears.
HUGO.srt 	HUGO_DVS777 	01:52:51,00 --> 01:52:56,50 	he glances at someone who stands nearby staring at them.
HUGO.srt 	HUGO_DVS782 	01:53:29,00 --> 01:53:35,50 	the inspector stands still and stares at the floor.
HUGO.srt 	HUGO_DVS791 	01:55:04,00 --> 01:55:09,50 	tears well in someone's eyes as she stands.
IN_TIME.srt 	IN_TIME_DVS45 	00:05:07,00 --> 00:05:13,50 	later, he stands at a machine inside the factory.
IN_TIME.srt 	IN_TIME_DVS343 	00:35:24,00 --> 00:35:32,50 	just inside, someone stands with someone and two other auburn-haired beauties.
IN_TIME.srt 	IN_TIME_DVS403 	00:43:10,00 --> 00:43:14,50 	someone stands.
IN_TIME.srt 	IN_TIME_DVS477 	00:51:42,00 --> 00:51:50,50 	someone stands by as someone raises a fist to a screen door fitted with protective iron bars.
IN_TIME.srt 	IN_TIME_DVS598 	01:04:05,00 --> 01:04:09,50 	he stands.
IN_TIME.srt 	IN_TIME_DVS652 	01:10:45,00 --> 01:10:51,50 	then pushes his chair out from his desk and stands.
IN_TIME.srt 	IN_TIME_DVS837 	01:28:34,00 --> 01:28:39,50 	he stands with his back to someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS88 	00:23:07,00 --> 00:23:15,50 	the bank employee staggers over to one of the robbers standing in the doorway.
INSIDE_MAN.srt 	INSIDE_MAN_DVS161 	00:47:29,00 --> 00:47:40,50 	they reach a second office where another robber stands by just out
INSIDE_MAN.srt 	INSIDE_MAN_DVS193 	00:55:16,00 --> 00:55:29,50 	just outside the giant safes, someone stands with her rifle.
INSIDE_MAN.srt 	INSIDE_MAN_DVS217 	01:01:50,00 --> 01:01:59,50 	outside the bank, police stand by in the afternoon sun.
INSIDE_MAN.srt 	INSIDE_MAN_DVS265 	01:21:32,00 --> 01:21:43,50 	as a robber stands guard behind them, someone follows someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS282 	01:27:03,00 --> 01:27:08,50 	banging it, they stand inches apart.
INSIDE_MAN.srt 	INSIDE_MAN_DVS306 	01:32:40,00 --> 01:32:46,50 	now, in the command truck, someone stands over the message written on the
INSIDE_MAN.srt 	INSIDE_MAN_DVS318 	01:34:28,00 --> 01:34:43,50 	officers stand behind a squad car with their rifles aimed at the doors.
INSIDE_MAN.srt 	INSIDE_MAN_DVS368 	01:46:43,00 --> 01:46:59,50 	he stands and leaves adjusting the jacket of his off-white panama suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS43 	00:05:15,00 --> 00:05:31,50 	at night, someone wearing a red and gold armor-like suit and helmet, stands in the bay of an airplane.
IRON_MAN_2.srt 	IRON_MAN_2_DVS73 	00:12:38,00 --> 00:12:42,50 	someone stands.
IRON_MAN_2.srt 	IRON_MAN_2_DVS75 	00:13:42,00 --> 00:13:51,50 	someone stands, approaches someone, and shakes his hand.
IRON_MAN_2.srt 	IRON_MAN_2_DVS85 	00:16:51,00 --> 00:16:57,50 	they stand and applaud.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	as he stands, the suit expands, covering someone's entire body.
IRON_MAN_2.srt 	IRON_MAN_2_DVS195 	00:36:18,00 --> 00:36:33,50 	iron man stands and wraps the whip around his right arm.
IRON_MAN_2.srt 	IRON_MAN_2_DVS209 	00:39:58,00 --> 00:40:03,50 	someone stands, walks to the door, and knocks.
IRON_MAN_2.srt 	IRON_MAN_2_DVS220 	00:42:17,00 --> 00:42:22,50 	someone stands, picks up the tray, and grabs a note lying on it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS242 	00:44:13,00 --> 00:44:17,50 	someone stands.
IRON_MAN_2.srt 	IRON_MAN_2_DVS270 	00:50:04,00 --> 00:50:13,50 	they approach two rows of white armored suits standing atop platforms.
IRON_MAN_2.srt 	IRON_MAN_2_DVS291 	00:53:59,00 --> 00:54:05,50 	he stands, then points one arm upward.
IRON_MAN_2.srt 	IRON_MAN_2_DVS321 	00:58:04,00 --> 00:58:13,50 	someone stands.
IRON_MAN_2.srt 	IRON_MAN_2_DVS325 	00:58:30,00 --> 00:58:37,50 	someone stands, rips off a countertop, and smashes it against someone's back.
IRON_MAN_2.srt 	IRON_MAN_2_DVS331 	00:59:35,00 --> 00:59:41,50 	glancing around himself, someone focuses on someone, who stands across the room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS359 	01:06:09,00 --> 01:06:18,50 	standing beside someone, short-haired general someone studies the silver someone ii suit hanging inside.
IRON_MAN_2.srt 	IRON_MAN_2_DVS364 	01:09:02,00 --> 01:09:09,50 	someone stands nearby.
IRON_MAN_2.srt 	IRON_MAN_2_DVS427 	01:20:34,00 --> 01:20:40,50 	he stands and grabs the basket of strawberries.
IRON_MAN_2.srt 	IRON_MAN_2_DVS453 	01:23:33,00 --> 01:23:41,50 	someone smiles, then stands and walks across the room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS513 	01:32:33,00 --> 01:32:40,50 	he dances to the front of the stage and stands behind a clear plexiglas podium.
IRON_MAN_2.srt 	IRON_MAN_2_DVS557 	01:38:31,00 --> 01:38:44,50 	the drones on the expo grounds stand on steps and fire missiles at people as they run away.
IRON_MAN_2.srt 	IRON_MAN_2_DVS590 	01:41:25,00 --> 01:41:31,50 	someone stands watch while someone swipes a card through a security system.
IRON_MAN_2.srt 	IRON_MAN_2_DVS624 	01:47:02,00 --> 01:47:08,50 	someone and someone stand back to back as they glance around at the drones.
IRON_MAN_2.srt 	IRON_MAN_2_DVS666 	01:50:30,00 --> 01:50:39,50 	someone throws his other pulse whip around someone, who stands to someone's left.
IRON_MAN_2.srt 	IRON_MAN_2_DVS671 	01:50:54,00 --> 01:51:10,50 	they fire repulsor blasts, which meet where someone stands and form a fiery ball that explodes.
IRON_MAN_2.srt 	IRON_MAN_2_DVS675 	01:51:38,00 --> 01:51:50,50 	someone zooms toward the front steps of the arena, where pepper stands near a wrecked drone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS688 	01:54:01,00 --> 01:54:04,50 	someone stands.
IRON_MAN_2.srt 	IRON_MAN_2_DVS702 	01:56:06,00 --> 01:56:11,50 	later, senator someone stands at a podium outdoors.
IRON_MAN_2.srt 	IRON_MAN_2_DVS706 	01:56:47,00 --> 01:57:00,50 	someone stands between the two men and places his hands on their shoulders.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS98 	00:29:08,00 --> 00:29:12,50 	in her graveled courtyard they stand.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS328 	01:33:17,00 --> 01:33:29,50 	later, wearing a wide-brimmed hat she stands in one of the plots of her spacious garden.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS214 	00:42:49,00 --> 00:42:56,50 	she gestures to two attractive blondes standing with jared.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS232 	00:46:19,00 --> 00:46:25,50 	an award-winning baker stands before an array of fancy cakes.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS245 	00:49:11,00 --> 00:49:17,50 	he furrows his brows, stands up, and gazes toward the woods.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS326 	01:03:01,00 --> 01:03:05,50 	the track star stands in a costume.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS416 	01:17:44,00 --> 01:17:51,50 	an aboveground pool stands among the shrubs, in the snowy yard.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS417 	01:17:49,00 --> 01:17:57,50 	now, a window edged with frost frames someone as she stands at a table inside, unpacking her groceries.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS253 	00:46:43,00 --> 00:46:48,50 	another american woman stands at a mirror.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS256 	00:48:11,00 --> 00:48:15,50 	someone stands.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS280 	00:54:32,00 --> 00:54:38,50 	someone and someone stand across from her in the child's kitchen.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS282 	00:55:10,00 --> 00:55:14,50 	someone stands.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS377 	01:11:28,00 --> 01:11:33,50 	standing reluctantly, someone paces toward her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS610 	01:57:33,00 --> 01:57:41,50 	beside the portrait, someone's cambridge kitchen stands by, quaint and vacant.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS151 	00:57:34,00 --> 00:57:39,50 	someone stands at the tail end.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS164 	00:59:45,00 --> 00:59:52,50 	she picks her way over some jagged rocks, and stands beneath the waterfall.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS268 	01:29:02,00 --> 01:29:08,50 	someone flashes her rear, and all of the men stand up.
KARATE_KID.srt 	KARATE_KID_DVS37 	00:03:23,00 --> 00:03:32,50 	someone stands on a seat and shoves a satchel into an overhead bin.
KARATE_KID.srt 	KARATE_KID_DVS232 	00:20:09,00 --> 00:20:22,50 	now, a classical chinese tower, with stacked roofs, stands silhouetted against a golden sky and low sun.
KARATE_KID.srt 	KARATE_KID_DVS320 	00:28:40,00 --> 00:28:50,50 	before him, two, red, wooden doors stand open, revealing a pair of inner doors upholstered in dark-green leather.
KARATE_KID.srt 	KARATE_KID_DVS353 	00:31:42,00 --> 00:31:48,50 	as they leave, the american stands motionless, staring after them.
KARATE_KID.srt 	KARATE_KID_DVS376 	00:33:34,00 --> 00:33:46,50 	on a large rain-soaked courtyard stretching before them, 100s of students in identical crimson uniforms stand in tidy ranks.
KARATE_KID.srt 	KARATE_KID_DVS476 	00:42:40,00 --> 00:42:58,50 	someone hastily stands and backs away, as someone and two others close in on him.
KARATE_KID.srt 	KARATE_KID_DVS569 	00:51:07,00 --> 00:51:14,50 	the students stand at attention, their arms behind their backs, and their eyes straight ahead.
KARATE_KID.srt 	KARATE_KID_DVS719 	01:00:14,00 --> 01:00:24,50 	now, on the school's athletic field, dozens of uniformed students stand in neat ranks.
KARATE_KID.srt 	KARATE_KID_DVS765 	01:04:53,00 --> 01:05:02,50 	colorful figures stand atop its arch.
KARATE_KID.srt 	KARATE_KID_DVS965 	01:18:54,00 --> 01:19:05,50 	now, an enclosed walkway stands built into a high cliff face.
KARATE_KID.srt 	KARATE_KID_DVS984 	01:20:25,00 --> 01:20:32,50 	a basin stands paved with the yin-yang of black and white marble.
KARATE_KID.srt 	KARATE_KID_DVS985 	01:20:32,00 --> 01:20:40,50 	the basin stands upon a compass-like framework of white stone that's submerged in a shallow pool.
KARATE_KID.srt 	KARATE_KID_DVS1089 	01:29:45,00 --> 01:29:58,50 	she stands tensely, her shoulders hunched and her fists clenched at her sides.
KARATE_KID.srt 	KARATE_KID_DVS1188 	01:37:25,00 --> 01:37:33,50 	the bumper lies on the floor beneath a cock-eyed headlight, and the sledgehammer stands leaning against the hood.
KARATE_KID.srt 	KARATE_KID_DVS1269 	01:42:46,00 --> 01:42:55,50 	now, someone stands between the poles with his back to someone.
KARATE_KID.srt 	KARATE_KID_DVS1285 	01:43:51,00 --> 01:44:02,50 	watchtowers dot the fortification, standing on the mountain's highest peaks.
KARATE_KID.srt 	KARATE_KID_DVS1297 	01:44:50,00 --> 01:44:58,50 	now in someone's courtyard, someone kicks the utility pole which stands thickly wrapped in padding.
KARATE_KID.srt 	KARATE_KID_DVS1323 	01:47:07,00 --> 01:47:12,50 	dozens of trophies stand on a nearby table.
KARATE_KID.srt 	KARATE_KID_DVS1338 	01:48:17,00 --> 01:48:24,50 	someone hugs him back and gives him a pat, as they stand in the center of the vacant arena.
KARATE_KID.srt 	KARATE_KID_DVS1345 	01:48:47,00 --> 01:48:53,50 	the door swings open further, revealing her father standing behind it.
KARATE_KID.srt 	KARATE_KID_DVS1442 	01:57:00,00 --> 01:57:15,50 	someone's brow glistens with sweat as he stands at mr.
KARATE_KID.srt 	KARATE_KID_DVS1472 	01:59:46,00 --> 01:59:52,50 	a referee stands at the mat's edge, pointing with a flag.
KARATE_KID.srt 	KARATE_KID_DVS1558 	02:05:48,00 --> 02:06:17,50 	as he stands, someone charges again and kicks him off of the platform.
KARATE_KID.srt 	KARATE_KID_DVS1566 	02:07:06,00 --> 02:07:18,50 	someone stands, his face shining with sweat.
KARATE_KID.srt 	KARATE_KID_DVS1607 	02:10:46,00 --> 02:10:52,50 	he pushes himself up, then stands on his good leg.
KARATE_KID.srt 	KARATE_KID_DVS1651 	02:14:01,00 --> 02:14:06,50 	standing apart, master someone stares, slack-jawed.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS117 	00:27:45,00 --> 00:27:56,50 	standing on stage she points one gloved hand toward the audience.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS175 	00:48:42,00 --> 00:48:50,50 	elsewhere teens in costumes stand outside.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS188 	00:50:51,00 --> 00:50:57,50 	a statue of a man on horseback stands amidst several city buildings.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS270 	01:03:25,00 --> 01:03:32,50 	a tall brick building stands beneath hazy skies.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS284 	01:05:21,00 --> 01:05:25,50 	she stands then walks out of the room.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS291 	01:09:10,00 --> 01:09:16,50 	cheering people standing behind a security barricade wave their arms.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS310 	01:11:26,00 --> 01:11:32,50 	someone stands in front of someone and smiles at her, as she gets ready.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS315 	01:11:46,00 --> 01:11:52,50 	a male performer dressed in a sequined costume stands with his hands over his mouth.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS336 	01:18:27,00 --> 01:18:32,50 	in rehearsa,l someone stands at a microphone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS342 	01:20:14,00 --> 01:20:21,50 	someone stands aside and gazes at her sister then blinks and stares downward.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS353 	01:22:33,00 --> 01:22:40,50 	in concert colored lights pulsate on someone's costume as she stands on stage.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS359 	01:24:57,00 --> 01:25:04,50 	dancers pose around someone as she stands center stage with one arm raised straight up.
KNOCKED_UP.srt 	KNOCKED_UP_DVS167 	01:45:56,00 --> 01:46:04,50 	someone's bed stands empty.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS12 	00:04:48,00 --> 00:04:53,50 	someone stands before a class of 12
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS47 	00:16:04,00 --> 00:16:12,50 	someone stands by a massive viking ship with a crashed plane in its hull.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS116 	00:37:28,00 --> 00:37:32,50 	they're standing in a vast limbo.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS118 	00:38:27,00 --> 00:38:31,50 	he stands at a table of crystals.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS156 	00:57:40,00 --> 00:57:52,50 	a few feet away, someone stands up
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS178 	01:05:04,00 --> 01:05:12,50 	by the table, someone stands with the tachyon amplifier strapped over her chest.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS258 	01:31:36,00 --> 01:31:40,50 	he notices a woman standing behind
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS24 	00:07:19,00 --> 00:07:38,50 	standing in a closet of mostly empty hangers, someone hangs up his red u-mart polo shirt.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS149 	00:32:46,00 --> 00:32:51,50 	he stands in front of someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS244 	00:58:39,00 --> 00:58:43,50 	she stands.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS308 	01:12:51,00 --> 01:12:56,50 	someone stands his class.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS323 	01:15:15,00 --> 01:15:23,50 	someone stands and
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS356 	01:25:27,00 --> 01:25:48,50 	someone stands.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS58 	00:03:47,00 --> 00:03:55,50 	a small, red-ish bird stands on a floating pad near the concrete rim of a pool.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS62 	00:04:21,00 --> 00:04:27,50 	in a modern kitchen, a middle aged man stands at a stove.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS90 	00:09:04,00 --> 00:09:12,50 	several more boards stand filled to his left and students call out each number he writes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS141 	00:17:29,00 --> 00:17:35,50 	he stands and stumbles into the water.
