21_JUMP_STREET.srt 	21_JUMP_STREET_DVS148 	00:23:28,00 --> 00:23:37,50 	looking head someone stares.
HUGO.srt 	HUGO_DVS594 	01:25:45,00 --> 01:25:52,50 	sitting on his bed, staring back at the automaton, someone holds a small oil lamp.
HUGO.srt 	HUGO_DVS601 	01:26:46,00 --> 01:26:52,50 	the inspector hangs up the phone then stares intently at someone.
HUGO.srt 	HUGO_DVS602 	01:27:02,00 --> 01:27:09,50 	someone's ears stand straight up as he stares at the inspector.
HUGO.srt 	HUGO_DVS713 	01:45:09,00 --> 01:45:14,50 	someone reaches out toward someone who stares at the inspector.
HUGO.srt 	HUGO_DVS777 	01:52:51,00 --> 01:52:56,50 	he glances at someone who stands nearby staring at them.
IN_TIME.srt 	IN_TIME_DVS59 	00:06:43,00 --> 00:06:49,50 	nearby, a man starring at his exposed body clock hangs up a phone.
IN_TIME.srt 	IN_TIME_DVS120 	00:14:27,00 --> 00:14:33,50 	he stares off sadly, then meets someone's stoic gaze.
IN_TIME.srt 	IN_TIME_DVS243 	00:25:13,00 --> 00:25:18,50 	he stares with hardened eyes.
IN_TIME.srt 	IN_TIME_DVS255 	00:26:12,00 --> 00:26:20,50 	standing at a car's open door, she turns as he passes and stares after him.
IN_TIME.srt 	IN_TIME_DVS286 	00:29:01,00 --> 00:29:08,50 	on the patio, the young woman stops staring as a waitress serves her.
IN_TIME.srt 	IN_TIME_DVS289 	00:29:41,00 --> 00:29:45,50 	he stares intently.
IN_TIME.srt 	IN_TIME_DVS308 	00:31:47,00 --> 00:31:52,50 	sitting beside someone, she stares at someone.
IN_TIME.srt 	IN_TIME_DVS335 	00:34:47,00 --> 00:34:52,50 	he stares at the sales attendant, then shifts his gaze.
IN_TIME.srt 	IN_TIME_DVS434 	00:46:32,00 --> 00:46:49,50 	someone's auburn hair blows across her face as she stares slack-jawed at the oncoming traffic.
IN_TIME.srt 	IN_TIME_DVS479 	00:51:56,00 --> 00:52:02,50 	the inner door opens and someone's wife stares out.
IN_TIME.srt 	IN_TIME_DVS516 	00:55:48,00 --> 00:55:53,50 	he stares off.
IN_TIME.srt 	IN_TIME_DVS549 	00:59:07,00 --> 00:59:12,50 	she stares with inviting eyes.
IN_TIME.srt 	IN_TIME_DVS552 	00:59:29,00 --> 00:59:34,50 	someone stares sadly.
IN_TIME.srt 	IN_TIME_DVS562 	01:00:21,00 --> 01:00:27,50 	someone stares off with woeful eyes.
IN_TIME.srt 	IN_TIME_DVS677 	01:13:31,00 --> 01:13:37,50 	many others linger on the spot staring at the authorities.
IN_TIME.srt 	IN_TIME_DVS679 	01:13:36,00 --> 01:13:44,50 	riding shotgun, the gang leader stares wide-eyed at the newly-empowered citizens.
IN_TIME.srt 	IN_TIME_DVS683 	01:14:05,00 --> 01:14:10,50 	taking a garment from her basket, she pauses and stares inside.
IN_TIME.srt 	IN_TIME_DVS694 	01:14:42,00 --> 01:14:49,50 	the proprietor stares slack-jawed at his clock
IN_TIME.srt 	IN_TIME_DVS839 	01:29:11,00 --> 01:29:17,50 	she stares off thoughtfully, then shifts her eyes back to him.
IN_TIME.srt 	IN_TIME_DVS850 	01:30:03,00 --> 01:30:09,50 	he stares with wide eyes.
IN_TIME.srt 	IN_TIME_DVS869 	01:31:38,00 --> 01:31:43,50 	someone stares disbelievingly.
IN_TIME.srt 	IN_TIME_DVS880 	01:33:17,00 --> 01:33:22,50 	she stares at him through their diminishing gap.
INSIDE_MAN.srt 	INSIDE_MAN_DVS113 	00:33:31,00 --> 00:33:36,50 	sits at the desk, staring at the phone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS158 	00:46:54,00 --> 00:46:59,50 	someone stares off pensively.
INSIDE_MAN.srt 	INSIDE_MAN_DVS305 	01:32:35,00 --> 01:32:40,50 	someone stares unblinking.
INSIDE_MAN.srt 	INSIDE_MAN_DVS320 	01:35:52,00 --> 01:35:58,50 	someone lies on her back, staring meekly at two riflemen over her.
INSIDE_MAN.srt 	INSIDE_MAN_DVS432 	02:02:16,00 --> 02:02:27,50 	someone stares with a confused look, then faces his reflection in a vanity mirror.
IRON_MAN_2.srt 	IRON_MAN_2_DVS28 	00:03:10,00 --> 00:03:37,50 	starring robert downey jr. as someone stark and iron man.
IRON_MAN_2.srt 	IRON_MAN_2_DVS40 	00:04:49,00 --> 00:04:57,50 	someone smiles as he stares down at the glowing device, which emits a bright beam of light as he picks it up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS155 	00:28:49,00 --> 00:28:57,50 	he takes out his finger, leans against the sink counter with his head lowered, pauses, then stares at his reflection in the mirror.
IRON_MAN_2.srt 	IRON_MAN_2_DVS219 	00:42:13,00 --> 00:42:19,50 	staring at someone, the guard places the tray on a shelf attached to the cell door and leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS326 	00:58:34,00 --> 00:58:41,50 	he lies staring through the flames, then pulls his head out of the fire.
IRON_MAN_2.srt 	IRON_MAN_2_DVS402 	01:15:48,00 --> 01:15:53,50 	someone stares at his mustached father, who nods and smiles.
IRON_MAN_2.srt 	IRON_MAN_2_DVS578 	01:40:15,00 --> 01:40:22,50 	someone stares into the rear-view mirror as someone changes clothes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS160 	00:53:14,00 --> 00:53:22,50 	he nuzzles her neck then stares lustfully at her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS200 	01:00:52,00 --> 01:00:57,50 	someone stares admiring and shakes his head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS218 	01:04:26,00 --> 01:04:35,50 	jakes smile fades and he stares at her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS239 	01:08:51,00 --> 01:09:05,50 	her legs crossed, she idly bounces her foot, and stares off.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS259 	01:14:30,00 --> 01:14:36,50 	someone stares at his family glumly then gives a regretful look.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS366 	01:42:48,00 --> 01:43:02,50 	she stares up at the night sky with her hands crossed protectively over her chest.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS158 	00:32:05,00 --> 00:32:10,50 	someone finds his son staring at him.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS188 	00:36:56,00 --> 00:37:01,50 	she stops and stares at two players.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS432 	01:20:29,00 --> 01:20:34,50 	her date stares cross-eyed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS123 	00:21:05,00 --> 00:21:12,50 	someone stares wide-eyed at her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS127 	00:22:01,00 --> 00:22:06,50 	in a bridge class, someone stares out a window.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS249 	00:46:23,00 --> 00:46:33,50 	he shuts off a lamp, and stares up at the ceiling.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS367 	01:09:57,00 --> 01:10:04,50 	it strolls into the kitchen and takes a seat, staring at the oven.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS81 	00:30:14,00 --> 00:30:20,50 	facing someone, she finds him staring pointedly at her.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS83 	00:30:45,00 --> 00:30:51,50 	someone turns to someone, who stares agog at him.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS98 	00:36:23,00 --> 00:36:30,50 	returning to mrs. harrington, she finds someone staring at her.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS222 	01:17:09,00 --> 01:17:19,50 	someone notices someone staring at his lap.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS299 	01:37:49,00 --> 01:37:56,50 	staring thoughtfully, he fondles his wedding ring between his fingertips.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS305 	01:38:25,00 --> 01:38:31,50 	he remains awake, staring blankly across the room.
KARATE_KID.srt 	KARATE_KID_DVS118 	00:10:55,00 --> 00:11:01,50 	his friendly expression fades as they keep staring.
KARATE_KID.srt 	KARATE_KID_DVS353 	00:31:42,00 --> 00:31:48,50 	as they leave, the american stands motionless, staring after them.
KARATE_KID.srt 	KARATE_KID_DVS394 	00:35:33,00 --> 00:35:38,50 	someone shifts his weight as he stares uneasily at his mother.
KARATE_KID.srt 	KARATE_KID_DVS412 	00:37:38,00 --> 00:37:47,50 	she spots someone staring at the door and heads over.
KARATE_KID.srt 	KARATE_KID_DVS418 	00:38:08,00 --> 00:38:14,50 	shifting his eyes, he sees someone and his friends staring at them.
KARATE_KID.srt 	KARATE_KID_DVS431 	00:39:06,00 --> 00:39:09,50 	on the bus, someone sullenly stares ahead.
KARATE_KID.srt 	KARATE_KID_DVS485 	00:43:43,00 --> 00:43:53,50 	someone steps closer and stares down at him.
KARATE_KID.srt 	KARATE_KID_DVS493 	00:44:26,00 --> 00:44:30,50 	he stares at the boy.
KARATE_KID.srt 	KARATE_KID_DVS547 	00:49:25,00 --> 00:49:33,50 	someone stares disappointedly as the man ignores him.
KARATE_KID.srt 	KARATE_KID_DVS575 	00:51:26,00 --> 00:51:32,50 	he stares at them as his instructor continues.
KARATE_KID.srt 	KARATE_KID_DVS584 	00:51:53,00 --> 00:51:59,50 	the instructor stares down at them.
KARATE_KID.srt 	KARATE_KID_DVS604 	00:52:43,00 --> 00:52:48,50 	master someone stares firmly.
KARATE_KID.srt 	KARATE_KID_DVS819 	01:08:11,00 --> 01:08:19,50 	as someone stares at his friend tenderly, someone gives a shy smile and fidgets.
KARATE_KID.srt 	KARATE_KID_DVS837 	01:09:20,00 --> 01:09:27,50 	she stares at the screen, slack-jawed, then disbelievingly cocks her head.
KARATE_KID.srt 	KARATE_KID_DVS961 	01:18:42,00 --> 01:18:47,50 	someone swallows, staring at the magnificent feat.
KARATE_KID.srt 	KARATE_KID_DVS1028 	01:23:32,00 --> 01:23:38,50 	the man stares at the boy, then slowly rests a hand on his back.
KARATE_KID.srt 	KARATE_KID_DVS1040 	01:24:16,00 --> 01:24:26,50 	now, he stares intensely at his mother, as they lunch in a marketplace.
KARATE_KID.srt 	KARATE_KID_DVS1070 	01:27:00,00 --> 01:27:06,50 	staring at a posting on the door.
KARATE_KID.srt 	KARATE_KID_DVS1128 	01:34:00,00 --> 01:34:04,50 	someone stares tenderly.
KARATE_KID.srt 	KARATE_KID_DVS1172 	01:36:31,00 --> 01:36:35,50 	he stares off, vacantly.
KARATE_KID.srt 	KARATE_KID_DVS1214 	01:39:22,00 --> 01:39:27,50 	someone clenches his jaw, staring off, as the boy rifles through the photos.
KARATE_KID.srt 	KARATE_KID_DVS1399 	01:52:39,00 --> 01:52:47,50 	someone stares up at the video scoreboard, which shows an instant replay of him running from his opponent.
KARATE_KID.srt 	KARATE_KID_DVS1524 	02:03:35,00 --> 02:03:40,50 	someone stares tenderly at him.
KARATE_KID.srt 	KARATE_KID_DVS1610 	02:10:57,00 --> 02:11:06,50 	master someone's lips part as he stares.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS104 	00:23:17,00 --> 00:23:22,50 	someone stares wide-eyed at the camera.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS342 	01:20:14,00 --> 01:20:21,50 	someone stands aside and gazes at her sister then blinks and stares downward.
KNOCKED_UP.srt 	KNOCKED_UP_DVS118 	01:10:29,00 --> 01:10:34,50 	into the bag, then stares off with a pensive expression.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS56 	00:18:51,00 --> 00:18:56,50 	someone stares suspiciously.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS24 	00:07:19,00 --> 00:07:38,50 	he stares at it for a moment, then slides the closet door shut.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS136 	00:31:06,00 --> 00:31:11,50 	someone stares disbelievingly.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS360 	01:26:18,00 --> 01:26:22,50 	taking a sip, she stares to someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS138 	00:16:36,00 --> 00:16:43,50 	staring at the glass, someone cautiously accepts the drink and takes a tiny sip.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS223 	00:29:44,00 --> 00:29:52,50 	later at the dinner table, someone stares off in a trance, smiling to himself as his father speaks.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS226 	00:30:58,00 --> 00:31:10,50 	someone stares longingly at his mother who catches someone's humorless gaze.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS261 	00:34:40,00 --> 00:34:47,50 	someone stares at his son as he shoves pills into a banana.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS264 	00:34:59,00 --> 00:35:06,50 	the writer watches him with a furrowed brow as adult someone stares into the river before them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS356 	00:43:12,00 --> 00:43:18,50 	his limbs splayed as he stares at the enormous craft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS401 	00:47:14,00 --> 00:47:20,50 	the spotted hyena keeps its four paws on the canvas, staring at someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS470 	00:52:48,00 --> 00:52:54,50 	as he stares down at her, someone's mournful expression hardens wrathfully.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS504 	00:55:47,00 --> 00:55:52,50 	someone pauses, staring hungrily.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS621 	01:07:32,00 --> 01:07:40,50 	staring him down, someone's gaze softens.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS622 	01:07:37,00 --> 01:07:43,50 	the mostly submerged tiger stares up at him helplessly.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS666 	01:10:50,00 --> 01:10:55,50 	someone stares with a softened remorseful gaze.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS872 	01:28:05,00 --> 01:28:19,50 	he stares into the sky with a huge smile then pulls himself to a crouching position on the bench.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS938 	01:33:14,00 --> 01:33:18,50 	he stares for a moment.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS989 	01:37:20,00 --> 01:37:27,50 	later he climbs out of the pond and notices the meerkats staring behind him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1019 	01:39:35,00 --> 01:39:43,50 	with his mouth ajar, he stares down at a pool emitting a phosphorescent blue/green light.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1041 	01:42:49,00 --> 01:42:54,50 	he blows the whistle and stares up a hill.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1060 	01:46:03,00 --> 01:46:07,50 	he stares into the jungle.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1062 	01:46:07,00 --> 01:46:12,50 	he stares and cries as they carry him away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1064 	01:46:34,00 --> 01:46:40,50 	with his mouth open, the story teller stares at his guest.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1079 	01:49:12,00 --> 01:49:18,50 	the younger japanese man stares at someone as the older one turns to him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1099 	01:54:25,00 --> 01:54:29,50 	he stares off mournfully.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1104 	01:55:03,00 --> 01:55:09,50 	he stares off with a haunted expression and takes a deep breath.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1105 	01:55:16,00 --> 01:55:23,50 	at someone's house, the young writer stares off with parted lips and a furrowed brow.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS44 	00:18:51,00 --> 00:18:56,50 	he stares unflinchingly.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS118 	00:44:13,00 --> 00:44:19,50 	he stares at someone, who gives a halfhearted smile.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS200 	01:12:02,00 --> 01:12:11,50 	glancing aside, he pauses and stares.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS256 	01:24:06,00 --> 01:24:14,50 	in the grass, someone faces jinx, who stares at him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS50 	00:08:17,00 --> 00:08:22,50 	she fidgets and stares into space.
MORNING_GLORY.srt 	MORNING_GLORY_DVS99 	00:21:52,00 --> 00:22:00,50 	someone loses his smirk and stares sourly at her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS156 	00:35:17,00 --> 00:35:21,50 	she stares at him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS255 	00:57:42,00 --> 00:57:47,50 	someone stares into the distance wearily.
MORNING_GLORY.srt 	MORNING_GLORY_DVS325 	01:13:18,00 --> 01:13:22,50 	she stares at him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS409 	01:29:47,00 --> 01:29:51,50 	she stares in surprise.
MORNING_GLORY.srt 	MORNING_GLORY_DVS431 	01:33:34,00 --> 01:33:42,50 	in the daybreak offices, she stands in a doorway staring down, and puts her hand on her hip.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS72 	00:11:36,00 --> 00:11:40,50 	someone stares off.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS138 	00:21:00,00 --> 00:21:07,50 	waking up, someone finds himself staring straight into the birds open beak.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS508 	01:01:17,00 --> 01:01:24,50 	the family notices captain staring at an unhatched egg.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS525 	01:02:44,00 --> 01:02:48,50 	he stares at the unhatched egg.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS124 	00:28:34,00 --> 00:28:48,50 	someone stares stoically, her snaggletooth pressing into her lower lip.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS157 	00:35:36,00 --> 00:35:54,50 	someone stares at his headgear and cocks her head.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS222 	00:46:43,00 --> 00:46:49,50 	he stares wide-eyed.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS236 	00:49:13,00 --> 00:49:19,50 	as someone stares at it, someone remorsefully hangs her head.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS273 	00:59:48,00 --> 01:00:04,50 	as someone stares off with heartbroken gaze, someone clutches her hand in both of his.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS312 	01:07:51,00 --> 01:08:07,50 	as the boys stop in front of his desk, he stares down at them with stern eyes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS320 	01:11:02,00 --> 01:11:08,50 	lord someone stares, his reddened face almost queasy.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS323 	01:11:23,00 --> 01:11:36,50 	lord someone stares downward, picks up his glasses, then lifts his gaze thoughtfully to the boys before him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS374 	01:19:21,00 --> 01:19:38,50 	he stares eye level to someone, gawking first at her, then at her tool belt.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS387 	01:21:48,00 --> 01:21:54,50 	staring with dazed eyes, someone sinks into a chair.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS26 	00:02:43,00 --> 00:02:47,50 	the both stared straight ahead.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS307 	00:54:46,00 --> 00:54:50,50 	she stares at him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS320 	00:57:25,00 --> 00:57:30,50 	someone stares at his father.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS379 	01:09:35,00 --> 01:09:41,50 	he glances at someone who stares ahead.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS454 	01:23:04,00 --> 01:23:11,50 	someone calls someone as he stares at his phone, which someone holds aloft.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS467 	01:25:54,00 --> 01:25:58,50 	she stares ahead intently.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS548 	01:41:31,00 --> 01:41:38,50 	the door opens and she stares distastefully at an elderly gentleman.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS14 	00:03:25,00 --> 00:03:29,50 	he stares off nostalgically.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS332 	01:18:53,00 --> 01:18:59,50 	he looks at his daughter who stares back with a disappointed gaze.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS338 	01:20:27,00 --> 01:20:32,50 	staring off, someone slowly shakes her head.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS402 	01:30:12,00 --> 01:30:21,50 	she stares off, then glances back as someone clenches her jaw and strokes the strings with force.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS426 	01:31:42,00 --> 01:31:50,50 	she stares off, then glances back as someone clenches her jaw and strokes the strings with force.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS138 	00:32:17,00 --> 00:32:23,50 	someone bashes an opponent to the ground and stares disbelievingly.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS155 	00:35:20,00 --> 00:35:25,50 	heave[unclear]s as she stares with wide eyes.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS308 	01:17:06,00 --> 01:17:16,50 	as someone stares at it a waitress swoops in behind him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS325 	01:21:19,00 --> 01:21:24,50 	then stares past the sign,
PROMETHEUS.srt 	PROMETHEUS_DVS72 	00:04:06,00 --> 00:04:13,50 	one makes a seam down the side of his face and he stares at his transforming arm.
PROMETHEUS.srt 	PROMETHEUS_DVS273 	00:26:20,00 --> 00:26:26,50 	other members of the crew move forward, staring out.
PROMETHEUS.srt 	PROMETHEUS_DVS298 	00:29:31,00 --> 00:29:38,50 	the other survey team members leave the atvs staring up.
PROMETHEUS.srt 	PROMETHEUS_DVS361 	00:35:25,00 --> 00:35:29,50 	he stares at an approaching light.
PROMETHEUS.srt 	PROMETHEUS_DVS502 	00:52:59,00 --> 00:53:04,50 	someone stares grimly at holloway.
PROMETHEUS.srt 	PROMETHEUS_DVS732 	01:18:50,00 --> 01:18:55,50 	she stares wide-eyed and her lips stammer.
PROMETHEUS.srt 	PROMETHEUS_DVS743 	01:20:24,00 --> 01:20:30,50 	someone, lying nearly motionless, stares up at the ceiling.
PROMETHEUS.srt 	PROMETHEUS_DVS778 	01:23:41,00 --> 01:23:48,50 	relaxing a bit someone lifts her head of the table and stares slack-jawed.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS43 	00:06:57,00 --> 00:07:11,50 	then stares forward with a steely gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS124 	00:23:00,00 --> 00:23:23,50 	he stares at the brunette in the red dress who laughs and beams.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS133 	00:24:35,00 --> 00:24:40,50 	someone stares back defiantly.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS174 	00:32:58,00 --> 00:33:05,50 	someone eyes it, then looks to a staring co-worker.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	someone lifts the present from its box, staring at it.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS221 	00:40:50,00 --> 00:41:17,50 	someone' mouth drops open as he stares downward.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS226 	00:41:47,00 --> 00:41:52,50 	someone stops, staring with his mouth agape.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS251 	00:46:25,00 --> 00:46:31,50 	someone stares off.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS581 	01:48:20,00 --> 01:48:29,50 	in the interrogation room, the burly agent stays put beside the open door out of the sight line of his peers who's staring.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS673 	02:06:23,00 --> 02:06:44,50 	someone falls face down, eyes staring off as blood streams from his ruptured cheek.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS687 	02:08:50,00 --> 02:09:04,50 	she stares guardedly at him, then takes the seat facing his.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS692 	02:09:55,00 --> 02:10:00,50 	the agent stares solemnly.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS54 	00:14:20,00 --> 00:14:27,50 	the brawny man stares at the archer tauntingly then, lifts the middle cup.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS80 	00:21:23,00 --> 00:21:34,50 	someone stares slack jawed, then turns and breaks into a run.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS113 	00:28:55,00 --> 00:29:04,50 	someone stands staring at it thoughtfully.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS233 	00:53:57,00 --> 00:54:01,50 	staring down at her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS391 	01:36:55,00 --> 01:37:10,50 	someone stares at it as he rides closer.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS448 	01:51:27,00 --> 01:51:48,50 	someone purses her lips as she stares at the fallen man's weapon.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS456 	01:53:15,00 --> 01:53:39,50 	someone stares lovingly at her and draws a deep breath.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS521 	02:10:11,00 --> 02:10:22,50 	the sheriff stares fearfully into the surrounding forest.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS160 	00:26:44,00 --> 00:26:48,50 	someone stares skeptically.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS169 	00:28:28,00 --> 00:28:33,50 	he stares fearfully toward the kitchen.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS185 	00:30:43,00 --> 00:30:47,50 	she stares meaningfully at him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS199 	00:33:42,00 --> 00:33:50,50 	staring up at him tearfully, someone yields a smile.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS230 	00:35:32,00 --> 00:35:37,50 	someone stops dancing staring wide-eyed.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS235 	00:35:46,00 --> 00:35:51,50 	facing him, someone stares slack-jawed.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS257 	00:40:14,00 --> 00:40:19,50 	someone stares dumbly at the page.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS374 	01:00:33,00 --> 01:00:39,50 	now in bed, someone stares up at the ceiling.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS382 	01:01:30,00 --> 01:01:37,50 	someone remains below, staring up after them.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS389 	01:02:31,00 --> 01:02:37,50 	someone freezes, staring off with a scowl.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS391 	01:02:49,00 --> 01:02:57,50 	at night, someone lies curled up in bed staring woefully at the unoccupied pillow beside him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS423 	01:05:36,00 --> 01:05:42,50 	at a box office, she holds him tight and stares up at his face.
