21_JUMP_STREET.srt 	21_JUMP_STREET_DVS531 	01:22:36,00 --> 01:22:40,50 	he returns to his mirror.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS487 	01:08:12,00 --> 01:08:21,50 	she fills her purse with various items including one of two cell phones, then returns to the bed and gives someone a kiss goodbye.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS491 	01:08:28,00 --> 01:08:35,50 	she notices someone walking by with a clipboard and returns her attention to the binder.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS510 	00:46:40,00 --> 00:46:48,50 	someone and someone exchange an amazed look, then return their attention to the hovering dancer.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS676 	01:01:52,00 --> 01:01:57,50 	she returns her eyes to angel, who looks away.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS849 	01:17:37,00 --> 01:17:44,50 	she waves and he gives her a half-hearted smile as he returns the gesture.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS973 	01:29:21,00 --> 01:29:26,50 	she returns to her regular human form.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1289 	01:56:13,00 --> 01:56:23,50 	the american and russian commanders each watch them returning.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1348 	02:04:04,00 --> 02:04:11,50 	someone returns her gaze to her initial visitor, then changes back to her human form.
ZOMBIELAND.srt 	ZOMBIELAND_DVS201 	00:21:32,00 --> 00:21:36,50 	he returns it to a weapon stash.
ZOMBIELAND.srt 	ZOMBIELAND_DVS502 	00:58:50,00 --> 00:58:57,50 	someone returns a rugged nod.
ZOOKEEPER.srt 	ZOOKEEPER_DVS68 	00:13:43,00 --> 00:13:57,50 	she returns a tender look.
ZOOKEEPER.srt 	ZOOKEEPER_DVS269 	00:59:28,00 --> 00:59:36,50 	she moves off and waves her arms at the dj on a balcony, then returns to her date.
ZOOKEEPER.srt 	ZOOKEEPER_DVS347 	01:17:54,00 --> 01:18:14,50 	someone drops his pained gaze then returns it to someone who looks away.
ZOOKEEPER.srt 	ZOOKEEPER_DVS351 	01:18:44,00 --> 01:18:53,50 	he returns a can of pepper spray to its holder on a.
