21_JUMP_STREET.srt 	21_JUMP_STREET_DVS29 	00:03:22,00 --> 00:03:31,50 	the nerd enters the metropolitan city police academy wearing a blue uniform and takes his place in a registration line.
BRUNO.srt 	BRUNO_DVS132 	00:31:25,00 --> 00:31:31,50 	someone sits, and takes each of their hands.
BRUNO.srt 	BRUNO_DVS143 	00:34:17,00 --> 00:34:23,50 	takes an african infant out the box - bystanders stare.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	someone raises a fork full of pie, pauses, then takes his first bite.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	someone digs into a piece of strawberry cream pie, and takes a bite.
BURLESQUE.srt 	BURLESQUE_DVS111 	00:14:46,00 --> 00:14:54,50 	collecting empty glasses, the ambitious girl starts taking drink orders.
BURLESQUE.srt 	BURLESQUE_DVS131 	00:17:48,00 --> 00:17:55,50 	they swipe kitty paws at each other, then take turns upstaging each other.
BURLESQUE.srt 	BURLESQUE_DVS182 	00:26:38,00 --> 00:26:44,50 	he takes back his phone and they sip their drinks.
BURLESQUE.srt 	BURLESQUE_DVS309 	00:41:45,00 --> 00:41:49,50 	he takes the newspaper from her.
BURLESQUE.srt 	BURLESQUE_DVS402 	00:55:51,00 --> 00:55:56,50 	she pretends to take a shot.
BURLESQUE.srt 	BURLESQUE_DVS457 	01:02:44,00 --> 01:02:49,50 	primping, someone takes her hair down.
BURLESQUE.srt 	BURLESQUE_DVS458 	01:02:46,00 --> 01:02:53,50 	as she and someone enter, several trendy upscale guests take notice.
BURLESQUE.srt 	BURLESQUE_DVS459 	01:02:52,00 --> 01:03:00,50 	he takes her into a kitchen staffed with caterers and grabs one of the many bottles of wine.
BURLESQUE.srt 	BURLESQUE_DVS460 	01:03:01,00 --> 01:03:06,50 	he takes two glasses and a tray of hors d'oeuvres.
BURLESQUE.srt 	BURLESQUE_DVS546 	01:18:09,00 --> 01:18:14,50 	wearing fingerless leather gloves, she takes a drag off a cigarette.
BURLESQUE.srt 	BURLESQUE_DVS550 	01:19:41,00 --> 01:19:49,50 	someone takes out a crowbar and smashes someone's passenger window as she drives past.
BURLESQUE.srt 	BURLESQUE_DVS656 	01:41:22,00 --> 01:41:30,50 	she stops and takes a second long look at a red neon sign which reads, the best view on the sunset strip.
BURLESQUE.srt 	BURLESQUE_DVS673 	01:44:33,00 --> 01:44:38,50 	she takes a seat across from him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS69 	00:10:13,00 --> 00:10:20,50 	someone takes a swing, but the man easily blocks it and punches someone into some trashcans.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS71 	00:10:20,00 --> 00:10:30,50 	the thug takes a swing but misses.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS79 	00:11:58,00 --> 00:12:12,50 	taking a microphone, stark dabs his mouth with a handkerchief.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS209 	00:37:56,00 --> 00:38:02,50 	someone glances toward someone as he takes out a zippo lighter and opens it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS211 	00:38:08,00 --> 00:38:24,50 	agent someone takes out a pistol and shoots someone on the shoulder, but he escapes into the hallway and shoots another guard.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS234 	00:40:42,00 --> 00:41:09,50 	taking his eyes off the road, someone fires at someone once, then slams into a passing truck.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS240 	00:41:42,00 --> 00:41:54,50 	further down river, someone takes out his lighter and flips it open.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS322 	01:00:53,00 --> 01:01:00,50 	the prisoners stand as someone frisks the guard's body and takes his keys.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS382 	01:08:39,00 --> 01:08:46,50 	he takes several steps backward, sighs, then races forward and leaps off the catwalk.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS392 	01:11:38,00 --> 01:11:42,50 	someone takes the broken transceiver out of his pocket.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS400 	01:12:50,00 --> 01:12:56,50 	an officer takes the map.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS407 	01:14:04,00 --> 01:14:10,50 	grinning, someone takes the men's empty mugs to the bar.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS417 	01:15:52,00 --> 01:16:04,50 	an engineer smiles as he takes notes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS497 	01:27:00,00 --> 01:27:04,50 	someone takes a bite of the steak.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS542 	01:36:04,00 --> 01:36:19,50 	a bullet takes out a hydra trooper kneeling beside an armored vehicle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS573 	01:39:18,00 --> 01:39:26,50 	someone stands, then leaps onto the plane's back wheel mount as the bomber takes off.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS627 	01:45:17,00 --> 01:45:27,50 	someone takes of his helmet and sits in the pilot's chair.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS633 	01:46:33,00 --> 01:46:39,50 	someone takes out his compass with the photo of someone in the lid
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS657 	01:50:02,00 --> 01:50:10,50 	taking a deep breath, she takes out the photo which depicts someone before his transformation, just a skinny kid from brooklyn.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS657 	01:50:02,00 --> 01:50:10,50 	taking a deep breath, she takes out the photo which depicts someone before his transformation, just a skinny kid from brooklyn.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS92 	00:07:15,00 --> 00:07:19,50 	he takes the bottle.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS94 	00:07:24,00 --> 00:07:32,50 	taking off his shirt, someone passes a couch and a divider that separates the living room from his bed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS137 	00:11:20,00 --> 00:11:25,50 	he takes a rundown path, passing graffiti that reads, "surf where you live."
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS161 	00:12:53,00 --> 00:12:58,50 	someone takes a deep breath and lowers his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS202 	00:16:26,00 --> 00:16:30,50 	someone takes off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS272 	00:20:49,00 --> 00:20:56,50 	one of someone's friends takes a wave and rides down the 20-foot face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS273 	00:20:54,00 --> 00:21:01,50 	the men take one wave after another, their boards cleanly skimming the glassy water beneath their feet.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS274 	00:20:59,00 --> 00:21:04,50 	someone's shoulders heave as he takes in the spectacle.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS283 	00:21:34,00 --> 00:21:44,50 	someone reaches the foot of the wave, briefly vanishing from view within the rolling tides before he emerges to take more of the face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS317 	00:26:31,00 --> 00:26:37,50 	taking a break, someone thoughtfully wipes his hands off with a rag.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS347 	00:32:29,00 --> 00:32:34,50 	they take turns jumping another speed bump.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS354 	00:32:58,00 --> 00:33:04,50 	recovering, he takes a smooth turn around the pool.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS401 	00:37:29,00 --> 00:37:35,50 	someone takes a folded page from the teen and opens it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS440 	00:42:17,00 --> 00:42:21,50 	he takes off a shoe.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS446 	00:43:18,00 --> 00:43:22,50 	he takes off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS450 	00:43:46,00 --> 00:43:53,50 	as someone takes off across the pool, someone rips off his wet shirt and tosses it aside.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS499 	00:48:31,00 --> 00:48:36,50 	they both take seats at the table.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS506 	00:49:20,00 --> 00:49:24,50 	someone takes notes atop the cliff.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS570 	00:55:02,00 --> 00:55:11,50 	clad in a wetsuit and carrying a surfboard, someone climbs over a barrier fence and takes a seat next to a brooding blond.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS576 	00:56:02,00 --> 00:56:09,50 	on the ridge, someone takes a running start and leaps from the edge.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS631 	01:00:42,00 --> 01:00:48,50 	someone takes the essay from his pocket and sets it on the tray.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS665 	01:04:33,00 --> 01:04:39,50 	at night, someone takes out the trash behind pleasure pizza.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS715 	01:10:40,00 --> 01:10:44,50 	someone takes someone's hand.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS771 	01:16:49,00 --> 01:16:53,50 	taking deep breaths, someone marches off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS809 	01:19:55,00 --> 01:20:02,50 	someone hurriedly takes down the other board, ducks down, and carries it from the shed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS830 	01:22:16,00 --> 01:22:20,50 	someone takes it and sips.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS847 	01:23:32,00 --> 01:23:37,50 	someone takes the money uneasily.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS854 	01:24:05,00 --> 01:24:10,50 	someone takes it from its box with a stunned gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS918 	01:29:55,00 --> 01:30:01,50 	the teen takes in his inventory with deep nervous breaths.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS943 	01:32:30,00 --> 01:32:38,50 	taking his new surfboard down from the van's roof, someone pauses at the sight of blond approaching.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS961 	01:34:29,00 --> 01:34:36,50 	someone takes in the roiling foamy waters crashing the bone yard then faces someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS962 	01:34:35,00 --> 01:34:41,50 	taking in his resolute expression, someone backs off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS973 	01:35:31,00 --> 01:35:37,50 	he gives it to his mentor then takes up his board and marches off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1037 	01:40:13,00 --> 01:40:20,50 	with the board jutting out perpendicular over the wave, someone takes a wide stance.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1046 	01:40:45,00 --> 01:40:51,50 	someone takes a step forward, his eyes locked on the surf.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1087 	01:43:36,00 --> 01:43:42,50 	someone paddles by the blue boat as it takes in a broken board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1109 	01:46:20,00 --> 01:46:24,50 	someone and someone take deep breaths.
CHRONICLE.srt 	CHRONICLE_DVS151 	00:23:03,00 --> 00:23:10,50 	in another aisle, a little girl takes a plush giraffe from a display cubby.
CHRONICLE.srt 	CHRONICLE_DVS209 	00:30:45,00 --> 00:30:49,50 	someone takes his hand.
CHRONICLE.srt 	CHRONICLE_DVS284 	00:43:45,00 --> 00:43:54,50 	someone nonchalantly takes a sip of someone's energy drink.
CHRONICLE.srt 	CHRONICLE_DVS308 	00:46:36,00 --> 00:46:41,50 	a guy in a varsity jacket takes a drink.
CHRONICLE.srt 	CHRONICLE_DVS415 	01:01:44,00 --> 01:01:49,50 	takes out his wallet, and pilfers the cash inside.
CHRONICLE.srt 	CHRONICLE_DVS416 	01:01:46,00 --> 01:01:52,50 	returning to the first thug, he takes his money, too.
CHRONICLE.srt 	CHRONICLE_DVS423 	01:02:22,00 --> 01:02:28,50 	surveillance footage shows someone taking off his backpack.
CHRONICLE.srt 	CHRONICLE_DVS437 	01:03:42,00 --> 01:03:47,50 	he takes a seat at his son's bedside.
CHRONICLE.srt 	CHRONICLE_DVS438 	01:03:44,00 --> 01:03:50,50 	the tripod camera shows him taking someone's hand.
CHRONICLE.srt 	CHRONICLE_DVS458 	01:07:17,00 --> 01:07:21,50 	someone suddenly takes flight.
CHRONICLE.srt 	CHRONICLE_DVS503 	01:12:16,00 --> 01:12:24,50 	the cops take aim behind their open doors.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS14 	00:03:09,00 --> 00:03:13,50 	he takes out a stack of cash.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS31 	00:07:34,00 --> 00:07:41,50 	the boxer takes off a catholic cross necklace and drapes it over his framed wedding photo.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS112 	00:25:51,00 --> 00:25:55,50 	as someone takes her in his embrace,
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS118 	00:27:30,00 --> 00:27:39,50 	someone returns to his chair facing someone and takes a rag from the box.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS153 	00:33:42,00 --> 00:33:48,50 	someone holds out her hands, palms up, and someone takes them in his own
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS163 	00:35:19,00 --> 00:35:25,50 	someone takes a mug in hand and leans over someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS195 	00:40:52,00 --> 00:40:59,50 	with his head lowered, he takes a deep breath.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS215 	00:44:26,00 --> 00:44:36,50 	takes a seat at the kitchen table and watches his boys.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS248 	01:01:56,00 --> 01:02:05,50 	he reaches into his vest pocket, takes something out, and palms it.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS303 	01:13:03,00 --> 01:13:08,50 	someone takes someone to a corner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS316 	01:15:20,00 --> 01:15:24,50 	someone takes a barrage of hits.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS337 	01:24:42,00 --> 01:24:47,50 	takes a seat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	a quick color drained flash takes us into the fight.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS437 	01:45:15,00 --> 01:45:23,50 	his shoulders shift beneath his crisp blue suit as he takes a few steps toward her and kisses her pale cheek.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS490 	01:52:31,00 --> 01:52:38,50 	someone takes a deep breath.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS499 	01:55:21,00 --> 01:55:31,50 	someone takes a seat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS523 	02:02:43,00 --> 02:02:51,50 	someone's jaw takes the hit.
COLOMBIANA.srt 	COLOMBIANA_DVS60 	00:03:48,00 --> 00:03:54,50 	with their weary eyes fixed on each other, they both take a sip.
COLOMBIANA.srt 	COLOMBIANA_DVS86 	00:06:31,00 --> 00:06:36,50 	he takes off a necklace with a flower pendant.
COLOMBIANA.srt 	COLOMBIANA_DVS97 	00:07:44,00 --> 00:07:52,50 	as his wife rushes into the next room, someone takes his daughter's hands and drops to one knee.
COLOMBIANA.srt 	COLOMBIANA_DVS147 	00:13:25,00 --> 00:13:30,50 	the motorcyclist takes off down the hill.
COLOMBIANA.srt 	COLOMBIANA_DVS152 	00:13:39,00 --> 00:13:45,50 	meanwhile, someone and some men take off in an suv
COLOMBIANA.srt 	COLOMBIANA_DVS164 	00:14:30,00 --> 00:14:41,50 	as someone emerges on a sidewalk, she spots the motorcyclist approaching and takes off down a stone staircase.
COLOMBIANA.srt 	COLOMBIANA_DVS200 	00:17:14,00 --> 00:17:23,50 	cars and pedestrians take little notice as they bustle past the dirty faced girl in her sullied school uniform.
COLOMBIANA.srt 	COLOMBIANA_DVS210 	00:18:06,00 --> 00:18:12,50 	taking a deep breath, she sticks a finger down her throat.
COLOMBIANA.srt 	COLOMBIANA_DVS215 	00:18:27,00 --> 00:18:32,50 	grimacing, he uses it to take the chip.
COLOMBIANA.srt 	COLOMBIANA_DVS253 	00:21:15,00 --> 00:21:20,50 	someone climbs on and takes a seat.
COLOMBIANA.srt 	COLOMBIANA_DVS282 	00:23:41,00 --> 00:23:47,50 	waking, she takes in her surroundings.
COLOMBIANA.srt 	COLOMBIANA_DVS302 	00:25:57,00 --> 00:26:04,50 	someone leans back in his chair and takes a deep breath through parted lips.
COLOMBIANA.srt 	COLOMBIANA_DVS324 	00:28:31,00 --> 00:28:37,50 	he straightens, takes out his fedora and beats it back into shape.
COLOMBIANA.srt 	COLOMBIANA_DVS345 	00:30:58,00 --> 00:31:04,50 	she tries to take some candy but he snatches it away.
COLOMBIANA.srt 	COLOMBIANA_DVS354 	00:32:16,00 --> 00:32:22,50 	he takes gum from his mouth and sticks it on warren's badge.
COLOMBIANA.srt 	COLOMBIANA_DVS374 	00:33:47,00 --> 00:33:52,50 	in the female cell block, someone takes the spoon from the mug.
COLOMBIANA.srt 	COLOMBIANA_DVS421 	00:37:07,00 --> 00:37:11,50 	she takes someone's gun.
COLOMBIANA.srt 	COLOMBIANA_DVS433 	00:38:11,00 --> 00:38:18,50 	someone takes aim at him.
COLOMBIANA.srt 	COLOMBIANA_DVS469 	00:41:13,00 --> 00:41:19,50 	at the station, doyle takes someone's fingerprints.
COLOMBIANA.srt 	COLOMBIANA_DVS522 	00:47:12,00 --> 00:47:19,50 	she takes out a cup of noodles.
COLOMBIANA.srt 	COLOMBIANA_DVS540 	00:48:55,00 --> 00:49:00,50 	the killer electrocutes a man taking a bath.
COLOMBIANA.srt 	COLOMBIANA_DVS546 	00:50:07,00 --> 00:50:14,50 	arriving at a door, he takes out his keys before noticing that it's ajar.
COLOMBIANA.srt 	COLOMBIANA_DVS557 	00:51:02,00 --> 00:51:07,50 	someone gently takes hold of her wrists.
COLOMBIANA.srt 	COLOMBIANA_DVS605 	00:57:08,00 --> 00:57:13,50 	taking out a stack of money, she fans through it
COLOMBIANA.srt 	COLOMBIANA_DVS651 	01:01:03,00 --> 01:01:09,50 	bending over another dead bodyguard, he takes his gun.
COLOMBIANA.srt 	COLOMBIANA_DVS656 	01:01:34,00 --> 01:01:41,50 	he lifts the flower to his nose, closes his eyes, and takes a sniff.
COLOMBIANA.srt 	COLOMBIANA_DVS704 	01:06:17,00 --> 01:06:22,50 	she gives him a kiss then takes his hand.
COLOMBIANA.srt 	COLOMBIANA_DVS710 	01:06:47,00 --> 01:06:52,50 	he gently pushes her away and she takes a seat in front of him.
COLOMBIANA.srt 	COLOMBIANA_DVS811 	01:18:44,00 --> 01:18:51,50 	someone finds a key then takes a handgun from a table's underside.
COLOMBIANA.srt 	COLOMBIANA_DVS816 	01:19:00,00 --> 01:19:06,50 	in the lobby, someone takes an elevator.
COLOMBIANA.srt 	COLOMBIANA_DVS831 	01:20:03,00 --> 01:20:10,50 	in the bathroom, someone takes a huge assault rifle down from the crawl space.
COLOMBIANA.srt 	COLOMBIANA_DVS838 	01:20:31,00 --> 01:20:37,50 	taking up her enormous rifle, she marches down her neighbor's hallway.
COLOMBIANA.srt 	COLOMBIANA_DVS845 	01:21:00,00 --> 01:21:06,50 	then lap into the hall where someone takes cover.
COLOMBIANA.srt 	COLOMBIANA_DVS905 	01:25:13,00 --> 01:25:22,50 	he wearily takes his frozen dinner to the kitchen and puts it tray in the microwave.
COLOMBIANA.srt 	COLOMBIANA_DVS915 	01:27:31,00 --> 01:27:37,50 	she takes a framed photo from a shelf and stares down at it.
COLOMBIANA.srt 	COLOMBIANA_DVS936 	01:30:34,00 --> 01:30:42,50 	he peers cautiously out the window then returns to the desk, takes his file, and goes.
COLOMBIANA.srt 	COLOMBIANA_DVS941 	01:30:54,00 --> 01:31:00,50 	takes out a selection of rifles, and sets them on a worktable.
COLOMBIANA.srt 	COLOMBIANA_DVS982 	01:34:16,00 --> 01:34:21,50 	as her shots hit a gunman, others take cover.
COLOMBIANA.srt 	COLOMBIANA_DVS992 	01:34:49,00 --> 01:34:54,50 	then takes out his cell and dials.
COLOMBIANA.srt 	COLOMBIANA_DVS1006 	01:35:54,00 --> 01:36:01,50 	the bald gunman follows and the thin one takes cover behind a pillar.
COLOMBIANA.srt 	COLOMBIANA_DVS1092 	01:43:20,00 --> 01:43:26,50 	someone takes his cell back and heads out of the room.
DEAR_JOHN.srt 	DEAR_JOHN_DVS109 	00:16:05,00 --> 00:16:09,50 	he takes a coin from her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS161 	00:25:10,00 --> 00:25:16,50 	someone hangs back, pensively taking in the cheerful scene.
DEAR_JOHN.srt 	DEAR_JOHN_DVS189 	00:29:49,00 --> 00:29:56,50 	in the next yard, someone takes out the trash, sporting a black eye and a swollen nose.
DEAR_JOHN.srt 	DEAR_JOHN_DVS197 	00:31:01,00 --> 00:31:09,50 	a pair of hands and oven mitts take them out and sets them on a stove.
DEAR_JOHN.srt 	DEAR_JOHN_DVS198 	00:31:15,00 --> 00:31:33,50 	taking it into the kitchen, he sets the plate, place mat and glass on the island.
DEAR_JOHN.srt 	DEAR_JOHN_DVS222 	00:34:40,00 --> 00:34:44,50 	he takes two bags from his father.
DEAR_JOHN.srt 	DEAR_JOHN_DVS238 	00:37:07,00 --> 00:37:12,50 	someone watches the helicopter take off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS239 	00:37:25,00 --> 00:37:50,50 	on a college campus, a mailman takes a few letters from his satchel and places them into one of many po boxes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS239 	00:37:25,00 --> 00:37:50,50 	from inside the po box, we see someone take out her mail.
DEAR_JOHN.srt 	DEAR_JOHN_DVS263 	00:41:39,00 --> 00:41:45,50 	then takes out a coin, which he holds under a magnifying glass.
DEAR_JOHN.srt 	DEAR_JOHN_DVS287 	00:44:51,00 --> 00:44:57,50 	now older someone takes milk out of the fridge.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	as someone remains frozen, our view is sent to take in a bird's eye view of the chaos.
DEAR_JOHN.srt 	DEAR_JOHN_DVS309 	00:48:05,00 --> 00:48:11,50 	a heavy-set traveler eyes them as he takes off his belt.
DEAR_JOHN.srt 	DEAR_JOHN_DVS320 	00:49:29,00 --> 00:49:33,50 	he takes out the pan.
DEAR_JOHN.srt 	DEAR_JOHN_DVS342 	00:52:52,00 --> 00:52:57,50 	someone takes the drink and averts his gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS366 	00:58:30,00 --> 00:58:41,50 	leading him by the hand, someone takes someone to her family's stables.
DEAR_JOHN.srt 	DEAR_JOHN_DVS412 	01:02:45,00 --> 01:02:53,50 	now in a military plane, someone lies on some cargo netting as it takes off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS539 	01:16:57,00 --> 01:17:02,50 	he takes out a blue velvet box and opens it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS543 	01:17:10,00 --> 01:17:16,50 	someone sets the coin aside, and takes out a blank sheet of paper.
DEAR_JOHN.srt 	DEAR_JOHN_DVS544 	01:17:14,00 --> 01:17:22,50 	he lays it on the desk, then takes a pen from a holder and writes the word, dear in the upper left hand corner.
DEAR_JOHN.srt 	DEAR_JOHN_DVS553 	01:18:03,00 --> 01:18:08,50 	he takes an envelope from his back pocket.
DEAR_JOHN.srt 	DEAR_JOHN_DVS561 	01:18:37,00 --> 01:18:42,50 	he scoots a wheeled stool over, and takes a seat.
DEAR_JOHN.srt 	DEAR_JOHN_DVS607 	01:23:42,00 --> 01:23:48,50 	someone stops the car and takes out his keys.
DEAR_JOHN.srt 	DEAR_JOHN_DVS659 	01:29:15,00 --> 01:29:21,50 	someone takes a seat and the ailing father studies him wryly.
DEAR_JOHN.srt 	DEAR_JOHN_DVS704 	01:35:11,00 --> 01:35:15,50 	he takes an envelope.
DEAR_JOHN.srt 	DEAR_JOHN_DVS735 	01:37:33,00 --> 01:37:39,50 	she takes a few steps toward him and raises her tearful eyes.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS60 	00:08:32,00 --> 00:08:39,50 	someone puts his box down and takes a seat at an enormous desk.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS106 	00:28:21,00 --> 00:28:27,50 	he takes out a stuffed mouse wearing a suit.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS108 	00:29:00,00 --> 00:29:09,50 	someone takes a few faltering, stiff-legged steps towards the bedroom.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS148 	00:36:25,00 --> 00:36:29,50 	he takes someone's hand.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS178 	00:39:44,00 --> 00:39:49,50 	someone takes photos on his phone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS196 	00:47:09,00 --> 00:47:16,50 	she takes two bottles of wine from a rack.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS271 	01:07:11,00 --> 01:07:17,50 	forcing a smile, someone takes the ring box and gets on one knee.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS309 	01:17:03,00 --> 01:17:10,50 	someone takes his hand out of his pocket and rubs his thumb and forefinger together.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS317 	01:17:54,00 --> 01:18:00,50 	he takes the someone mouse from his shirt pocket and stares at it
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS340 	01:22:01,00 --> 01:22:07,50 	a vulture takes food from a man's mouth.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS352 	01:24:58,00 --> 01:25:06,50 	he takes out a case containing stuffed mice in evolution of man style poses.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS421 	01:43:24,00 --> 01:43:28,50 	someone takes it and reads it.
DISTRICT_9.srt 	DISTRICT_9_DVS184 	00:21:27,00 --> 00:21:31,50 	inside, the vest-clad alien takes out the canister and hands it to his partner.
DISTRICT_9.srt 	DISTRICT_9_DVS207 	00:23:20,00 --> 00:23:32,50 	he waves the camera and ran off, and takes out a tissue to wipe his face.
DISTRICT_9.srt 	DISTRICT_9_DVS458 	00:51:55,00 --> 00:51:59,50 	someone takes out his phone.
DISTRICT_9.srt 	DISTRICT_9_DVS518 	01:00:25,00 --> 01:00:42,50 	he takes off his shirt and inspects the wound.
DISTRICT_9.srt 	DISTRICT_9_DVS559 	01:06:10,00 --> 01:06:14,50 	someone takes out some cash.
DISTRICT_9.srt 	DISTRICT_9_DVS562 	01:06:29,00 --> 01:06:39,50 	someone takes someone's alien arm in his hand.
DISTRICT_9.srt 	DISTRICT_9_DVS659 	01:17:16,00 --> 01:17:32,50 	he takes off his jacket.
DISTRICT_9.srt 	DISTRICT_9_DVS716 	01:24:28,00 --> 01:24:40,50 	as his peers on the ground take up positions, someone's men hustle.
DISTRICT_9.srt 	DISTRICT_9_DVS759 	01:29:43,00 --> 01:29:59,50 	the robot takes a step back.
DISTRICT_9.srt 	DISTRICT_9_DVS768 	01:30:50,00 --> 01:31:05,50 	a volt of electricity hits the gun-wielding mercenary dead-on, exploding him and takes off
