21_JUMP_STREET.srt 	21_JUMP_STREET_DVS282 	00:48:55,00 --> 00:49:00,50 	he passes it off to the nerds and follows.
INSIDE_MAN.srt 	INSIDE_MAN_DVS179 	00:51:30,00 --> 00:51:36,50 	a helmeted worker follows the detective to the truck.
INSIDE_MAN.srt 	INSIDE_MAN_DVS229 	01:07:37,00 --> 01:07:45,50 	she buttons her designer business coat and follows him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS258 	01:19:28,00 --> 01:19:41,50 	with only the police floodlights shining dimly through the windows, the pistol-wielding robber follows behind the detective.
INSIDE_MAN.srt 	INSIDE_MAN_DVS259 	01:19:44,00 --> 01:19:59,50 	someone reaches the lobby and follows the first robber past empty desks and chairs.
INSIDE_MAN.srt 	INSIDE_MAN_DVS265 	01:21:32,00 --> 01:21:43,50 	as a robber stands guard behind them, someone follows someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS324 	01:36:19,00 --> 01:36:25,50 	now, two men with bunker shields enter the bank followed by the rest of the police.
INSIDE_MAN.srt 	INSIDE_MAN_DVS413 	01:59:11,00 --> 01:59:21,50 	someone gives the bank chairman a cold look, then follows his partner.
IRON_MAN_2.srt 	IRON_MAN_2_DVS102 	00:19:27,00 --> 00:19:31,50 	she follows him as he walks away.
IRON_MAN_2.srt 	IRON_MAN_2_DVS145 	00:26:46,00 --> 00:26:49,50 	pepper follows.
IRON_MAN_2.srt 	IRON_MAN_2_DVS153 	00:28:29,00 --> 00:28:33,50 	someone stands and follows someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS202 	00:37:23,00 --> 00:37:34,50 	later, a balding mustached man and several police officers follow someone through a dark corridor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS360 	01:06:29,00 --> 01:06:34,50 	someone follows.
IRON_MAN_2.srt 	IRON_MAN_2_DVS541 	01:36:59,00 --> 01:37:05,50 	the air force drones follow someone as he speeds up after someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS545 	01:37:13,00 --> 01:37:27,50 	they follow him toward an expo building while firing bullets through the windows.
IRON_MAN_2.srt 	IRON_MAN_2_DVS577 	01:40:05,00 --> 01:40:14,50 	air force drones follow someone as he zooms high into the sky.
IRON_MAN_2.srt 	IRON_MAN_2_DVS579 	01:40:21,00 --> 01:40:36,50 	in the sky, someone and the drones follow someone as he flies along a freeway.
IRON_MAN_2.srt 	IRON_MAN_2_DVS592 	01:41:32,00 --> 01:41:40,50 	someone follows.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	at the expo, air force drones follow someone as he zooms overhead.
IRON_MAN_2.srt 	IRON_MAN_2_DVS603 	01:43:47,00 --> 01:44:08,50 	the drones follow someone inside, crash into continents, and explode.
IRON_MAN_2.srt 	IRON_MAN_2_DVS603 	01:43:47,00 --> 01:44:08,50 	someone follows someone, who holds two cocked pistols, into the room.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS73 	00:22:39,00 --> 00:22:45,50 	someone follows finding her crouched by the toilet.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS255 	01:11:59,00 --> 01:12:05,50 	outside, someone follows her ex onto the patio.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS361 	01:41:34,00 --> 01:41:43,50 	someone follows and someone trails after them.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS363 	01:41:54,00 --> 01:42:25,50 	someone's car follows down the driveway.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS36 	00:03:27,00 --> 00:03:35,50 	now at a commercial shoot, a dark-haired man sits in the producer's chair, followed by a bespectacled assistant.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS121 	00:24:25,00 --> 00:24:29,50 	the rest of the family follows her off.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS314 	01:01:28,00 --> 01:01:35,50 	someone follows, wearing a simple wedding dress, and holding her father's arm.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS391 	01:15:52,00 --> 01:16:04,50 	someone slips the letter from the envelope as she follows someone into the apartment.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS64 	00:23:45,00 --> 00:23:51,50 	later, someone carries a few shopping bags in each hand, as he follows her.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS68 	00:23:58,00 --> 00:24:08,50 	later, someone follows her out of tiffany's, loaded down with shopping bags.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS115 	00:41:21,00 --> 00:41:26,50 	someone follows someone through the play structure.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS283 	01:31:22,00 --> 01:31:27,50 	someone follows.
KARATE_KID.srt 	KARATE_KID_DVS133 	00:11:55,00 --> 00:12:03,50 	raising his chopsticks, he follows its movements.
KARATE_KID.srt 	KARATE_KID_DVS143 	00:12:40,00 --> 00:12:48,50 	someone's gaze follows someone outside the windows as the boy halts in the middle of the street.
KARATE_KID.srt 	KARATE_KID_DVS145 	00:12:49,00 --> 00:12:54,50 	someone glances up and down the street, then follows.
KARATE_KID.srt 	KARATE_KID_DVS250 	00:22:19,00 --> 00:22:24,50 	someone follows mrs. po toward the entrance.
KARATE_KID.srt 	KARATE_KID_DVS373 	00:33:18,00 --> 00:33:29,50 	catching up, someone follows him through a gate flanked by gilded sculptures of kung fu warriors in action.
KARATE_KID.srt 	KARATE_KID_DVS381 	00:34:02,00 --> 00:34:18,50 	on an elevated platform set with padded mats, older students in black uniforms follow the commands of their square-jawed instructor.
KARATE_KID.srt 	KARATE_KID_DVS390 	00:34:52,00 --> 00:34:57,50 	she follows someone out.
KARATE_KID.srt 	KARATE_KID_DVS406 	00:36:52,00 --> 00:37:00,50 	as she follows someone, mr.
KARATE_KID.srt 	KARATE_KID_DVS419 	00:38:11,00 --> 00:38:18,50 	someone follows his gaze to the boy, who gives a menacing look.
KARATE_KID.srt 	KARATE_KID_DVS444 	00:39:54,00 --> 00:39:59,50 	someone follows at a safe distance.
KARATE_KID.srt 	KARATE_KID_DVS464 	00:41:09,00 --> 00:41:29,50 	someone and his friends follow him across a road and into an alleyway.
KARATE_KID.srt 	KARATE_KID_DVS465 	00:41:26,00 --> 00:41:31,50 	behind him, someone swiftly follows.
KARATE_KID.srt 	KARATE_KID_DVS472 	00:42:10,00 --> 00:42:30,50 	following someone, the group races behind residential buildings, where drying clothes hang on lines.
KARATE_KID.srt 	KARATE_KID_DVS609 	00:52:55,00 --> 00:53:01,50 	wmaster someone follows his gaze to a poster here a chinese character sits in the center of a gold circle.
KARATE_KID.srt 	KARATE_KID_DVS631 	00:53:55,00 --> 00:54:00,50 	someone follows mr.
KARATE_KID.srt 	KARATE_KID_DVS788 	01:06:38,00 --> 01:06:44,50 	she waves for him to follow her and steps into the storage room.
KARATE_KID.srt 	KARATE_KID_DVS943 	01:17:18,00 --> 01:17:24,50 	someone marches up the narrow steps, followed by his student.
KARATE_KID.srt 	KARATE_KID_DVS966 	01:19:02,00 --> 01:19:07,50 	following his gaze, the boy halts in his tracks.
KARATE_KID.srt 	KARATE_KID_DVS982 	01:20:16,00 --> 01:20:24,50 	someone gives one last look to the exquisite spectacle, then follows his teacher to a doorway.
KARATE_KID.srt 	KARATE_KID_DVS1139 	01:34:39,00 --> 01:34:46,50 	as they follow their daughter's gaze, the parents' smiles fade.
KARATE_KID.srt 	KARATE_KID_DVS1242 	01:41:34,00 --> 01:41:38,50 	following their guidance, the teacher climbs out of the car.
KARATE_KID.srt 	KARATE_KID_DVS1290 	01:44:17,00 --> 01:44:22,50 	someone follows behind him, watching closely.
KARATE_KID.srt 	KARATE_KID_DVS1311 	01:45:45,00 --> 01:45:53,50 	someone sweeps his closed fan in front of someone's face, and someone follows its movements with his body.
KARATE_KID.srt 	KARATE_KID_DVS1440 	01:56:52,00 --> 01:56:59,50 	the boy in blue steps onto the platform, followed by his crimson-clad opponent.
KARATE_KID.srt 	KARATE_KID_DVS1448 	01:57:50,00 --> 01:57:56,50 	in the crowd, a woman beckons someone and someone, who follow her.
KNOCKED_UP.srt 	KNOCKED_UP_DVS68 	00:40:32,00 --> 00:40:42,50 	someone follows their gaze to a clip from wild things.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS79 	00:26:47,00 --> 00:26:54,50 	the group cautiously follows the music, moving deeper into the cave.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS171 	01:02:32,00 --> 01:02:39,50 	someone follows, belly down.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS202 	01:11:19,00 --> 01:11:24,50 	someone follows someone past the crystals.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS31 	00:10:58,00 --> 00:11:05,50 	someone follows his neighbor into a garage filled with secondhand goods.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS75 	00:19:26,00 --> 00:19:33,50 	the students follow his gaze to their professor, whose shoulders sag disappointedly.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS172 	00:39:43,00 --> 00:39:48,50 	she follows the others out.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS208 	00:48:33,00 --> 00:48:38,50 	now our view follow someone as he weaves through traffic o0n his blue scooter.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS301 	01:11:37,00 --> 01:11:44,50 	he follows the other students out.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS364 	01:26:47,00 --> 01:26:52,50 	someone enters following her raven haired
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS99 	00:11:29,00 --> 00:11:35,50 	they follow the charming, colorful street toward the sea.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS212 	00:27:58,00 --> 00:28:10,50 	as someone and her friends move on, someone attempts to follow them with the drum satchel draped over his shoulder.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS231 	00:31:45,00 --> 00:31:52,50 	someone stops beside her boy, following his gaze to the setting sun.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS402 	00:47:20,00 --> 00:47:26,50 	someone follows its gaze, peering across the surf.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS477 	00:53:36,00 --> 00:53:43,50 	someone leaps from the boat, following a rope, tethering the raft to the lifeboat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS554 	01:00:14,00 --> 01:00:20,50 	now someone reads through the book and follows its advice.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS724 	01:15:13,00 --> 01:15:21,50 	the companion fish dodges a breaching predator which we follow as it dips beneath the surface.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS798 	01:21:48,00 --> 01:21:54,50 	someone's smiling mouth hangs open as he follows their movement.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS890 	01:29:51,00 --> 01:30:01,50 	in the distance, a brilliant lightning bolt strikes down followed by flashes of lightning throughout thin pockets in the clouds.
MORNING_GLORY.srt 	MORNING_GLORY_DVS123 	00:27:23,00 --> 00:27:27,50 	then follows someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS384 	01:24:41,00 --> 01:24:47,50 	someone follows with his camera.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS180 	00:25:14,00 --> 00:25:22,50 	as he heads over, the bathroom penguin follows.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS196 	00:28:03,00 --> 00:28:10,50 	his sister and the other birds follow.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS223 	00:32:01,00 --> 00:32:09,50 	as the penguins move closer, someone follows and sees someone someone walking like a penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS243 	00:35:18,00 --> 00:35:24,50 	the penguins follow.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS279 	00:37:37,00 --> 00:37:46,50 	someone steps around the couch and someone follows.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS322 	00:41:16,00 --> 00:41:20,50 	lovey follows the penguin off.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS358 	00:45:10,00 --> 00:45:15,50 	single file, the penguins follow him inside.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS363 	00:45:56,00 --> 00:46:00,50 	someone follows her to the elevator.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS415 	00:48:21,00 --> 00:48:27,50 	as someone crosses the room, the penguins follow.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS463 	00:54:40,00 --> 00:54:47,50 	someone looks at the table again, and someone follows his tense gaze.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS575 	01:08:55,00 --> 01:09:03,50 	as someone follows her upstairs, someone watches, then turns to her ex-husband.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS626 	01:16:11,00 --> 01:16:20,50 	removing their masks, the someone walk nonchalantly into a gift shop, followed by the penguins in single file.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS639 	01:17:52,00 --> 01:18:00,50 	the two guards follow close behind.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS153 	00:34:13,00 --> 00:34:18,50 	he glances at the house as another pig follows.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS165 	00:37:17,00 --> 00:37:24,50 	someone knits her brow and follows him inside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS249 	00:51:36,00 --> 00:51:55,50 	someone follows his sister.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS308 	01:06:50,00 --> 01:07:21,50 	grinning, the boys follow the sergeant as he marches past sand bag barricades through a doorway.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS457 	01:34:19,00 --> 01:34:25,50 	the someone's follow his gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS461 	01:34:57,00 --> 01:35:05,50 	smiling, someone follows the others out to the slide.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS463 	01:35:07,00 --> 01:35:12,50 	someone takes the next turn, followed by mr.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS479 	01:38:05,00 --> 01:38:16,50 	taking in her emotional smile, they follow her gaze.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS310 	00:55:38,00 --> 00:55:43,50 	someone and someone follow him inside.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS553 	01:41:43,00 --> 01:41:51,50 	he's followed by several more people.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS561 	01:42:10,00 --> 01:42:15,50 	someone gives a weary look and follows him.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS131 	00:33:47,00 --> 00:33:54,50 	someone follows the boy.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS304 	01:11:40,00 --> 01:11:46,50 	someone belly flops on top of them, followed by someone and someone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS55 	00:12:24,00 --> 00:12:29,50 	back to his peers, then follows ms.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS126 	00:29:26,00 --> 00:29:32,50 	someone wears chest armor as he follows someone to the training field.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS329 	01:21:38,00 --> 01:21:44,50 	as the teens follow a path along a broad, tranquil river
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS351 	01:26:22,00 --> 01:26:28,50 	now the teens follow someone into an enormous sitting room.
PROMETHEUS.srt 	PROMETHEUS_DVS73 	00:04:11,00 --> 00:04:18,50 	our view swoops close and follows one of the lesions as it creates a trench along the limb.
PROMETHEUS.srt 	PROMETHEUS_DVS84 	00:04:56,00 --> 00:05:03,50 	following them, we watch the golden dna strands rebuild, then blacken.
PROMETHEUS.srt 	PROMETHEUS_DVS186 	00:12:48,00 --> 00:12:55,50 	he follows wet prints of bare feet down a corridor's black rubber floor.
PROMETHEUS.srt 	PROMETHEUS_DVS272 	00:26:14,00 --> 00:26:22,50 	on board someone, holloway rushes to the front windows, while someone follows warily.
PROMETHEUS.srt 	PROMETHEUS_DVS299 	00:29:37,00 --> 00:29:43,50 	holloway ventures forward and someone follows.
PROMETHEUS.srt 	PROMETHEUS_DVS311 	00:30:30,00 --> 00:30:34,50 	someone follows.
PROMETHEUS.srt 	PROMETHEUS_DVS388 	00:39:06,00 --> 00:39:11,50 	someone and someone follow the others into the room.
PROMETHEUS.srt 	PROMETHEUS_DVS960 	01:46:05,00 --> 01:46:10,50 	followed by an outpouring of smoke and someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS50 	00:08:35,00 --> 00:08:52,50 	a group of armed lawmen follow behind, charging up a hill.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS124 	00:23:00,00 --> 00:23:23,50 	someone follows someone and veronica as they stroll away, leaving someone alone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS277 	00:52:47,00 --> 00:52:53,50 	someone follows someone from inside his cell.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS306 	00:57:47,00 --> 00:58:02,50 	the lawyer nonchalantly follows a second guard farther ahead.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS334 	01:03:41,00 --> 01:04:03,50 	his accomplice follows close behind with one hand clutching the deputy between them.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS454 	01:27:39,00 --> 01:27:44,50 	follows baby face who backs up to a side door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS508 	01:36:19,00 --> 01:36:47,50 	a woman with similar short hair comes down a staircase, hands someone a large, brown paper bag, and follows her into the apartment.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS594 	01:51:33,00 --> 01:51:40,50 	someone' gaze follows her as she walks around his vehicle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS604 	01:53:37,00 --> 01:53:45,50 	someone's fanning motion slows as her knowing gaze follows him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS652 	02:03:16,00 --> 02:03:45,50 	a guard follows, closes a prison door, and locks it.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS82 	00:22:22,00 --> 00:22:28,50 	tucked among the trees follows the group.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS105 	00:26:51,00 --> 00:27:02,50 	someone follows the faint cry to someone, clutching the spear pinning him to the ground.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS123 	00:32:10,00 --> 00:32:23,50 	father someone and someone follow her out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS391 	01:36:55,00 --> 01:37:10,50 	the archer dismounts and his men follow suit.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS463 	01:55:04,00 --> 01:55:08,50 	someone follows the soldier's
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS46 	00:07:50,00 --> 00:07:59,50 	now, we follow someone through a hallway.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS382 	01:01:30,00 --> 01:01:37,50 	someone follows at her heels.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS509 	01:18:58,00 --> 01:19:05,50 	someone follows her into the bedroom and someone goes downstairs.
SALT.srt 	SALT_DVS164 	00:28:13,00 --> 00:28:21,50 	he follows her down a hall and into a dark room.
SALT.srt 	SALT_DVS263 	00:46:33,00 --> 00:46:40,50 	matveyev follows, flanked by his security.
SALT.srt 	SALT_DVS349 	01:02:12,00 --> 01:02:20,50 	her russian mentor follows close behind.
SALT.srt 	SALT_DVS531 	01:30:39,00 --> 01:30:44,50 	away from the rising helicopter, followed by another chopper
SANCTUM.srt 	SANCTUM_DVS117 	00:24:13,00 --> 00:24:18,50 	he follows close behind her, rebreather also removed from her back.
SANCTUM.srt 	SANCTUM_DVS123 	00:25:10,00 --> 00:25:16,50 	someone continues on and someone follows.
SANCTUM.srt 	SANCTUM_DVS295 	00:59:27,00 --> 00:59:32,50 	just footsteps behind, someone follows.
SANCTUM.srt 	SANCTUM_DVS448 	01:24:38,00 --> 01:24:45,50 	follows without a light, his figure disappearing in the blackness behind his father.
SANCTUM.srt 	SANCTUM_DVS475 	01:28:27,00 --> 01:28:42,50 	holding his makeshift torch, someone glances around and follows his son into a tunnel.
SANCTUM.srt 	SANCTUM_DVS480 	01:29:14,00 --> 01:29:21,50 	someone rises and someone shifts his helmet as his son follows the river.
SANCTUM.srt 	SANCTUM_DVS508 	01:35:05,00 --> 01:35:11,50 	as someone steps away, someone's glare follows him.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS69 	00:05:10,00 --> 00:05:18,50 	following her gaze, someone finds an unconscious someone covered in casts and bandages.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS100 	00:07:03,00 --> 00:07:09,50 	someone starts to follow, but someone discreetly steps in her path.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS578 	00:38:41,00 --> 00:38:46,50 	she follows after her mother-in-law.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS690 	00:45:14,00 --> 00:45:21,50 	someone follows her with her eyes as she sits beside someone and rubs her back.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS831 	00:55:14,00 --> 00:55:19,50 	as he leaves the table, someone gets up and follows him to a doorway.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS964 	01:02:39,00 --> 01:02:45,50 	someone follows.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1074 	01:12:34,00 --> 01:12:38,50 	someone follows her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1128 	01:16:54,00 --> 01:16:58,50 	someone follows.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS34 	00:06:25,00 --> 00:06:33,50 	someone follows the note through a narrow alley and emerges on a street littered with hundreds of loose notes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS73 	00:14:04,00 --> 00:14:11,50 	he follows his teacher into the store.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS327 	01:07:08,00 --> 01:07:15,50 	someone follows a sidewalk by himself.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS406 	01:24:51,00 --> 01:24:57,50 	his apprentice follows.
SOUL_SURFER.srt 	SOUL_SURFER_DVS157 	00:46:51,00 --> 00:47:02,50 	someone gazes after the father as he follows his sons away.
SOUL_SURFER.srt 	SOUL_SURFER_DVS170 	00:50:20,00 --> 00:50:27,50 	someone hesitantly follows.
SPARKLE_2012.srt 	SPARKLE_2012_DVS32 	00:05:51,00 --> 00:06:02,50 	someone smiles adoringly, and follows someone past several other passengers to the back.
SPARKLE_2012.srt 	SPARKLE_2012_DVS39 	00:07:08,00 --> 00:07:13,50 	they follow her inside.
SPARKLE_2012.srt 	SPARKLE_2012_DVS86 	00:13:56,00 --> 00:14:02,50 	he tries to follow her, but ducks behind a wall avoiding someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS138 	00:23:40,00 --> 00:23:45,50 	he follows someone out, then looks back.
SPARKLE_2012.srt 	SPARKLE_2012_DVS171 	00:28:51,00 --> 00:29:01,50 	sara follows someone to the dressing room.
SPARKLE_2012.srt 	SPARKLE_2012_DVS198 	00:31:57,00 --> 00:32:01,50 	the trio follow someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS302 	00:51:11,00 --> 00:51:17,50 	as someone follows sister upstairs, someone touches her temple.
SPARKLE_2012.srt 	SPARKLE_2012_DVS446 	01:12:58,00 --> 01:13:03,50 	someone enters, followed by someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS556 	01:31:09,00 --> 01:31:18,50 	leaving the magazine behind, she follows the receptionist through a door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS571 	01:33:59,00 --> 01:34:05,50 	someone enters timidly, and follows her mother into the living room.
SUPER_8.srt 	SUPER_8_DVS140 	00:21:15,00 --> 00:21:22,50 	someone sticks the cube into his jacket pocket then follows the others up onto one of the wrecked train cars.
SUPER_8.srt 	SUPER_8_DVS185 	00:31:00,00 --> 00:31:05,50 	someone turns and follows her father into the house.
SUPER_8.srt 	SUPER_8_DVS199 	00:33:50,00 --> 00:33:55,50 	nearby, someone follows colonel someone out of a tent.
SUPER_8.srt 	SUPER_8_DVS387 	01:09:05,00 --> 01:09:14,50 	someone and someone ride in the bus as it drives through the countryside then follows a line of vehicles into greenville air force base.
SUPER_8.srt 	SUPER_8_DVS399 	01:12:24,00 --> 01:12:29,50 	the armed soldier follows someone down a hallway.
SUPER_8.srt 	SUPER_8_DVS461 	01:21:16,00 --> 01:21:23,50 	the wide-eyed boys followed his movements.
SUPER_8.srt 	SUPER_8_DVS542 	01:30:48,00 --> 01:30:56,50 	someone follows someone through a tunnel they pass underneath another huge hole on the floor of a house where a lamp flickers.
SUPER_8.srt 	SUPER_8_DVS576 	01:35:33,00 --> 01:35:42,50 	someone, someone, and tina the woman wearing rollers followed the sheriff past the creatures collection of wires and other equipment then into a tunnel.
SUPER_8.srt 	SUPER_8_DVS582 	01:36:04,00 --> 01:36:10,50 	someone and someone follow close to someone while tina lags behind.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS142 	00:22:32,00 --> 00:22:37,50 	a man follows the inspectors.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS223 	00:34:23,00 --> 00:34:28,50 	someone follows captain someone up a corridor.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS246 	00:37:15,00 --> 00:37:21,50 	someone shakes his injured fist, then follows the captain.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS251 	00:37:48,00 --> 00:37:53,50 	snowy follows someone as he creeps toward the bridge.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS621 	01:23:19,00 --> 01:23:24,50 	someone races after it as someone follows.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS44 	00:10:34,00 --> 00:10:46,50 	her gaze follows as he makes his way past someone and someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS104 	00:24:48,00 --> 00:24:56,50 	someone sits up following her gaze past a railing to a cluster of industrial brick buildings.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS138 	00:30:26,00 --> 00:30:31,50 	he follows her inside.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS144 	00:31:43,00 --> 00:31:50,50 	later on a quiet street someone and someone walk together following the others.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS196 	00:37:48,00 --> 00:37:58,50 	following someone's gaze, he sees his morning wood jetting up under the blanket.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS203 	00:38:45,00 --> 00:39:04,50 	now he follows someone down a sidewalk.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS356 	01:11:01,00 --> 01:11:11,50 	later as they follow the sidewalk, the young beauty casually bumps against someone, then tucks her hair behind her ear.
