21_JUMP_STREET.srt 	21_JUMP_STREET_DVS56 	00:05:54,00 --> 00:05:58,50 	he sees a biker gang.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS739 	01:37:45,00 --> 01:37:49,50 	someone sees her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS562 	00:53:10,00 --> 00:53:16,50 	through the window into the rec room, they see someone dancing on a couch.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS656 	01:00:08,00 --> 01:00:14,50 	in her mind, he sees the united states on a world map.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS700 	01:03:13,00 --> 01:03:22,50 	the young mutants see a cyclone pass by the transmitter.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS714 	01:04:19,00 --> 01:04:25,50 	racing into a small lunch room, they see the cyclone through a window.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS886 	01:20:51,00 --> 01:20:57,50 	in his mind's eye, someone sees a young someone lighting candle
ZOMBIELAND.srt 	ZOMBIELAND_DVS227 	00:24:56,00 --> 00:25:00,50 	he sees a bite on her arm.
ZOMBIELAND.srt 	ZOMBIELAND_DVS480 	00:57:02,00 --> 00:57:06,50 	then we see him in a sunny kitchen.
ZOOKEEPER.srt 	ZOOKEEPER_DVS35 	00:05:24,00 --> 00:05:31,50 	she sees someone standing at a dry erase board labeled things to do.
ZOOKEEPER.srt 	ZOOKEEPER_DVS236 	00:54:03,00 --> 00:54:08,50 	someone sees an eyeball drawn on frankie's eye patch.
