21_JUMP_STREET.srt 	21_JUMP_STREET_DVS183 	00:31:18,00 --> 00:31:24,50 	now they enter a darkened classroom with the window blinds drawn.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS605 	01:28:29,00 --> 01:28:36,50 	from the corridor, someone peers into the room, then enters with his wife and son behind him.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS641 	01:32:30,00 --> 01:32:35,50 	now, he enters the large house, allowing sunlight to filter through the screen door into the unlit living room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS814 	01:48:40,00 --> 01:48:46,50 	as they eat their ice cream, someone enters the distant dining room and digs through a bag on the table.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS55 	00:03:58,00 --> 00:04:02,50 	later he enters a coffee shop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS110 	00:11:02,00 --> 00:11:09,50 	now, someone enters a basement area with rough stonewalls.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS173 	00:21:19,00 --> 00:21:23,50 	they enter an attic.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS430 	00:51:37,00 --> 00:51:45,50 	she enters and climbs a stairwell that wraps an old-fashioned wrought iron elevator shaft.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS434 	00:51:51,00 --> 00:51:56,50 	she enters a tastefully decorated apartment.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS566 	01:02:45,00 --> 01:02:51,50 	he enters a building.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS572 	01:03:35,00 --> 01:03:43,50 	someone allows a brief eager smirk as she enters his apartment.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS698 	01:17:04,00 --> 01:17:08,50 	he enters the kitchen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS728 	01:20:49,00 --> 01:20:55,50 	he enters the kitchen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS884 	01:38:28,00 --> 01:38:36,50 	someone glances around then enters someone's bedroom in only her panties and tank top.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS985 	01:47:51,00 --> 01:47:59,50 	someone enters his name with a question someone into a row detailing someone murder.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1181 	02:06:13,00 --> 02:06:19,50 	meanwhile, someone enters the basement wielding a golf club.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1282 	02:14:42,00 --> 02:14:49,50 	the next day someone enters the investment bank and marches upstairs.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1334 	02:22:48,00 --> 02:22:55,50 	he enters the bedroom and tosses a copy of the new issue to someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1404 	02:30:41,00 --> 02:30:45,50 	now someone enters a someone.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS148 	00:50:47,00 --> 00:50:52,50 	he spots someone entering the motel lounge.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS201 	01:06:19,00 --> 01:06:27,50 	outside a convenience store, someone enters the wrong car, with a handful of candy.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS233 	01:16:18,00 --> 01:16:24,50 	then she quietly enters the side of the convention hall,
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS25 	00:07:59,00 --> 00:08:03,50 	then enters a bedroom where he flipped his laptop.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS290 	01:47:17,00 --> 01:47:28,50 	upstairs, someone enters a room with ashleigh, two other girls and a guy.
THE_VOW.srt 	THE_VOW_DVS199 	00:24:00,00 --> 00:24:08,50 	now someone enters the vip recovery room, clad in a short crocheted sweater dress and boots.
THE_VOW.srt 	THE_VOW_DVS251 	00:31:32,00 --> 00:31:36,50 	she enters the kitchen.
THE_VOW.srt 	THE_VOW_DVS509 	01:10:53,00 --> 01:11:01,50 	someone lingers on the spot, shifting boyishly on his feet as his wife enters her parents home.
THE_WATCH.srt 	THE_WATCH_DVS343 	01:00:01,00 --> 01:00:05,50 	the guys enter.
THE_WATCH.srt 	THE_WATCH_DVS356 	01:01:49,00 --> 01:01:53,50 	the couple enters the house past someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS185 	00:45:17,00 --> 00:45:22,50 	shirtless, someone enters the room.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS223 	00:55:21,00 --> 00:55:26,50 	someone enters his mother's house.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS272 	01:14:59,00 --> 01:15:03,50 	with a little pout, she enters.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS329 	01:22:32,00 --> 01:22:39,50 	now someone enters his living room, framed by one of someone's bare, bent legs.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS398 	01:34:21,00 --> 01:34:26,50 	now someone enters his apartment.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS430 	01:39:39,00 --> 01:39:46,50 	entering the bathroom, someone checks the stalls as he makes a phone call.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS465 	01:45:52,00 --> 01:45:59,50 	now sonia and someone enter the cafe during another open mic event.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS54 	00:07:45,00 --> 00:07:52,50 	later, she enters a sushi restaurant.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS175 	00:32:33,00 --> 00:32:37,50 	they enter a vip section.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS327 	00:59:55,00 --> 00:59:59,50 	they enter an interrogation room.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS415 	01:14:55,00 --> 01:15:02,50 	later, someone enters the surveillance area with the box under his arm.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS367 	00:40:18,00 --> 00:40:23,50 	more teammates enter.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS28 	00:02:45,00 --> 00:02:50,50 	she enters an office.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS48 	00:08:14,00 --> 00:08:20,50 	she enters and flips a switch, lighting the cheerily decorated apartment.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS148 	00:12:35,00 --> 00:12:42,50 	they enter a conference room.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS236 	00:22:14,00 --> 00:22:18,50 	they enter the main house.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS237 	00:22:26,00 --> 00:22:30,50 	a woman enters.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS306 	00:32:00,00 --> 00:32:07,50 	they enter the producer's office.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS593 	01:18:46,00 --> 01:18:50,50 	someone enters her room.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS48 	00:08:41,00 --> 00:08:48,50 	entering the office, the principal furrows his brow as he sees someone fiddling with his window.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS200 	00:33:58,00 --> 00:34:03,50 	now, someone enters the dim restaurant.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS207 	00:35:44,00 --> 00:36:05,50 	someone enters the enclosure with an armful of posts.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS465 	01:13:30,00 --> 01:13:39,50 	someone enters the cage area, unnoticed by someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS828 	01:56:07,00 --> 01:56:14,50 	now, the mee family enters a restaurant.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS87 	00:07:46,00 --> 00:07:53,50 	now as she enters her apartment building's lobby, her list fades into view.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS267 	00:38:40,00 --> 00:38:44,50 	they enter a house through its open door.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS339 	00:49:53,00 --> 00:49:58,50 	later, someone enters her apartment.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS398 	00:57:33,00 --> 00:57:38,50 	she enters her dark apartment.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS280 	00:22:21,00 --> 00:22:26,50 	later he enters a tavern.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS529 	00:48:40,00 --> 00:48:47,50 	striding out of the bridge, she enters the adjacent living room and office area.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS553 	00:52:07,00 --> 00:52:13,50 	someone climbs out the broken window and enters the courtyard.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS619 	00:57:49,00 --> 00:57:54,50 	now someone enters the mansion.
ZOMBIELAND.srt 	ZOMBIELAND_DVS414 	00:47:33,00 --> 00:47:42,50 	later, the companions enter the foyer.
ZOMBIELAND.srt 	ZOMBIELAND_DVS416 	00:47:43,00 --> 00:47:53,50 	the survivors enter.
ZOMBIELAND.srt 	ZOMBIELAND_DVS424 	00:48:59,00 --> 00:49:04,50 	now someone and someone enter a bedroom.
ZOMBIELAND.srt 	ZOMBIELAND_DVS461 	00:53:35,00 --> 00:53:41,50 	someone and someone crack up as someone enters the home theater.
ZOMBIELAND.srt 	ZOMBIELAND_DVS673 	01:14:53,00 --> 01:14:59,50 	at the haunted house, someone enters a dusty room.
ZOOKEEPER.srt 	ZOOKEEPER_DVS121 	00:26:27,00 --> 00:26:38,50 	someone enters the gorilla enclosure with a bucket and shuts the door behind him.
ZOOKEEPER.srt 	ZOOKEEPER_DVS344 	01:16:54,00 --> 01:17:04,50 	he enters with a box of popcorn in one hand.
