21_JUMP_STREET.srt 	21_JUMP_STREET_DVS327 	00:54:14,00 --> 00:54:20,50 	the teens from the three-way join the panicked stampede.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS772 	01:29:05,00 --> 01:29:09,50 	he joins her at the laptop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1273 	02:13:47,00 --> 02:13:54,50 	now in a hotel, someone joins someone on a bed where she uses her laptop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1394 	02:29:12,00 --> 02:29:19,50 	someone joins her outside.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS221 	01:13:36,00 --> 01:13:42,50 	she joins her hands together and rests them against her forehead.
THE_SITTER.srt 	THE_SITTER_DVS58 	00:34:01,00 --> 00:34:04,50 	someone joins someone.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS52 	00:14:35,00 --> 00:14:39,50 	someone joins her friend at her desk.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS107 	00:34:54,00 --> 00:35:00,50 	in a flashback, someone joins someone in a computer lab.
THE_VOW.srt 	THE_VOW_DVS99 	00:09:16,00 --> 00:09:20,50 	someones three guy friends join them.
THE_VOW.srt 	THE_VOW_DVS426 	00:59:29,00 --> 00:59:36,50 	at the studio, someone joins someone as she works a recording session.
THE_VOW.srt 	THE_VOW_DVS480 	01:08:23,00 --> 01:08:29,50 	joining hands they run further out into the glistening lake.
THE_VOW.srt 	THE_VOW_DVS519 	01:13:11,00 --> 01:13:15,50 	someones mother joins them.
THE_VOW.srt 	THE_VOW_DVS535 	01:14:11,00 --> 01:14:19,50 	later still, someone steps toward someone, but then holds back as she joins her sister for a wedding photo.
THE_WATCH.srt 	THE_WATCH_DVS59 	00:06:58,00 --> 00:07:05,50 	he falls to the floor, his blood accenting the window's emblazoned words, join the club.
THE_WATCH.srt 	THE_WATCH_DVS429 	01:18:41,00 --> 01:19:01,50 	now, someone joins the three watchmen as they march up the steps of a house.
THE_WATCH.srt 	THE_WATCH_DVS562 	01:36:28,00 --> 01:36:32,50 	someone joins his guys.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS203 	00:49:31,00 --> 00:49:36,50 	now someone joins his friends at the bar.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS391 	01:32:24,00 --> 01:32:30,50 	later, someone joins someone in an upscale restaurant.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS423 	01:37:11,00 --> 01:37:18,50 	now, in a dress shirt and slacks, someone joins his friends at the bar.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS165 	00:31:40,00 --> 00:31:47,50 	someone hops out of the sports car and joins someone who stands in a long line to get in.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS445 	01:19:11,00 --> 01:19:17,50 	someone joins someone in her convertible bug.
THOR.srt 	THOR_DVS250 	00:34:03,00 --> 00:34:11,50 	in a research lab, someone and someone join someone at a bulletin board covered with pictures of the magnetic storm.
THOR.srt 	THOR_DVS306 	00:44:12,00 --> 00:44:18,50 	someone and someone step away from someone to join someone.
THOR.srt 	THOR_DVS362 	00:55:27,00 --> 00:55:34,50 	someone crouches as more agents armed with assault rifles join the search.
THOR.srt 	THOR_DVS370 	00:56:03,00 --> 00:56:08,50 	more agents join the pursuit as someone races through the tunnel.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS324 	00:37:49,00 --> 00:37:57,50 	someone grins as he leaves someone and joins his teammates on the ice.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS701 	01:17:33,00 --> 01:17:39,50 	his teammates join him.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS804 	01:25:28,00 --> 01:25:34,50 	someone hurries downstairs and joins the winged man at his side.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS806 	01:25:46,00 --> 01:25:51,50 	as someone grins, someone joins them.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS874 	01:32:40,00 --> 01:32:51,50 	the band members exchange nods, then join someone on stage.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS303 	00:31:12,00 --> 00:31:17,50 	someone joins someone at the coffee maker.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS328 	00:36:03,00 --> 00:36:07,50 	she joins him.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS400 	00:48:40,00 --> 00:48:44,50 	someone joins them.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS426 	00:52:14,00 --> 00:52:19,50 	now in an upscale eatery, the jello girls join them.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS440 	00:53:38,00 --> 00:53:44,50 	as someone joins her, someone checks his cell phone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS527 	01:11:04,00 --> 01:11:15,50 	someone takes her hand and spins her away, then twirls underneath their joined hands, and pulls her into a tight embrace.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS313 	00:50:45,00 --> 00:50:55,50 	outside, someone joins someone and someone as they wait to greet the 	arriving pickup.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS370 	00:58:57,00 --> 00:59:08,50 	the others join them.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS488 	01:15:40,00 --> 01:15:47,50 	now someone runs to spar's enclosure, joining someone, someone, and someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS499 	01:17:09,00 --> 01:17:14,50 	someone joins in on the yelling.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS703 	01:42:11,00 --> 01:42:18,50 	someone joins her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS725 	01:43:59,00 --> 01:44:05,50 	now, at the jaguar restaurant, someone joins his brother at the bar.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS775 	01:50:41,00 --> 01:50:47,50 	someone joins his son as he climbs onto the toppled tree.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS826 	01:55:48,00 --> 01:55:54,50 	now, someone joins someone in a lookout tower.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS203 	00:24:33,00 --> 00:24:39,50 	a stunning brunette joins someone at his side.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS246 	00:33:17,00 --> 00:33:22,50 	in the present, she joins someone in a booth at a bar.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS322 	00:45:47,00 --> 00:45:51,50 	she joins someone at a table for three.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS550 	01:15:30,00 --> 01:15:34,50 	someone joins her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS621 	01:24:59,00 --> 01:25:08,50 	the other bridesmaids quickly join in, making it a group hug as the sisters' father snaps a photo.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS659 	01:32:14,00 --> 01:32:18,50 	someone joins her mother.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS661 	01:32:35,00 --> 01:32:39,50 	someone joins them.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS737 	01:37:30,00 --> 01:37:42,50 	someone joins the band, playing a tambourine, but someone fails to notice her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS222 	00:16:51,00 --> 00:16:58,50 	in a private room, an exquisite scantily clad blonde joins someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS229 	00:17:32,00 --> 00:17:40,50 	gazing over the gaming floor, the agent notices women joining men in private alcove
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS307 	00:23:42,00 --> 00:23:46,50 	he joins them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS741 	01:07:23,00 --> 01:07:29,50 	someone joins angel at her side and faces the other
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS749 	01:07:54,00 --> 01:08:02,50 	angel stares sadly at her friend as someone and his team join hands, then disappear with someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS787 	01:10:09,00 --> 01:10:16,50 	as someone embraces his adopted sister, someone joins the group.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS858 	01:18:34,00 --> 01:18:41,50 	later someone joins someone in a lab.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1324 	02:00:08,00 --> 02:00:14,50 	someone, angel, and the cyclone master join someone and someone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS29 	00:03:13,00 --> 00:03:17,50 	come join us at our home."
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS324 	00:59:42,00 --> 00:59:47,50 	someone joins her father at the kitchen table.
ZOMBIELAND.srt 	ZOMBIELAND_DVS494 	00:58:05,00 --> 00:58:09,50 	little someone joins him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS645 	01:12:59,00 --> 01:13:07,50 	from the tower, little someone and someone watch as the zombie crowd below disperses and joins the swarm.
