21_JUMP_STREET.srt 	21_JUMP_STREET_DVS87 	00:11:40,00 --> 00:11:44,50 	stepping inside.
HUGO.srt 	HUGO_DVS605 	01:27:23,00 --> 01:27:28,50 	someone steps up to someone front door.
HUGO.srt 	HUGO_DVS614 	01:28:44,00 --> 01:28:52,50 	smiling, someone steps up to someone.
HUGO.srt 	HUGO_DVS650 	01:33:12,00 --> 01:33:16,50 	he steps into the room
HUGO.srt 	HUGO_DVS706 	01:43:43,00 --> 01:43:48,50 	smiling, he steps forward and kisses her hands.
IN_TIME.srt 	IN_TIME_DVS74 	00:08:36,00 --> 00:08:41,50 	someone steps out of view as the man backs away.
IN_TIME.srt 	IN_TIME_DVS344 	00:35:50,00 --> 00:35:57,50 	as someone steps into the party, someone smirks and someone gazes discreetly after him.
IN_TIME.srt 	IN_TIME_DVS664 	01:12:06,00 --> 01:12:11,50 	then steps back and shifts on her feet.
IN_TIME.srt 	IN_TIME_DVS781 	01:22:15,00 --> 01:22:19,50 	the traveler steps forward.
IN_TIME.srt 	IN_TIME_DVS824 	01:27:32,00 --> 01:27:39,50 	he steps up to someone, his face mere inches from the other timekeeper's.
IN_TIME.srt 	IN_TIME_DVS850 	01:30:03,00 --> 01:30:09,50 	she steps closer.
INSIDE_MAN.srt 	INSIDE_MAN_DVS72 	00:18:41,00 --> 00:18:46,50 	someone is stepping over the unconscious executive's legs.
INSIDE_MAN.srt 	INSIDE_MAN_DVS150 	00:45:52,00 --> 00:45:56,50 	someone steps out.
INSIDE_MAN.srt 	INSIDE_MAN_DVS265 	01:21:32,00 --> 01:21:43,50 	the detective glances at the hostages, then steps out into the hallway.
INSIDE_MAN.srt 	INSIDE_MAN_DVS397 	01:53:18,00 --> 01:53:28,50 	he steps warily past the secured office where a man uses the phone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS424 	02:00:55,00 --> 02:01:12,50 	someone shuts the door, then steps over to the couch.
IRON_MAN_2.srt 	IRON_MAN_2_DVS65 	00:10:58,00 --> 00:11:04,50 	smiling, she steps away from the car.
IRON_MAN_2.srt 	IRON_MAN_2_DVS115 	00:22:39,00 --> 00:22:46,50 	someone glances out toward a sidewalk, then steps back into the passageway.
IRON_MAN_2.srt 	IRON_MAN_2_DVS141 	00:26:13,00 --> 00:26:24,50 	someone steps out of the car and waves to onlookers.
IRON_MAN_2.srt 	IRON_MAN_2_DVS259 	00:48:20,00 --> 00:48:26,50 	someone steps out of a convertible car and falls.
IRON_MAN_2.srt 	IRON_MAN_2_DVS410 	01:16:30,00 --> 01:16:34,50 	a woman steps in.
IRON_MAN_2.srt 	IRON_MAN_2_DVS588 	01:41:15,00 --> 01:41:21,50 	someone and someone, wearing a form-fitting black leather outfit, step out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	a third guard steps into the hallway.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	she lifts a can of mace and sprays a twelfth guard in the eyes as he steps out of a doorway.
IRON_MAN_2.srt 	IRON_MAN_2_DVS683 	01:52:53,00 --> 01:52:57,50 	they step closer together.
IRON_MAN_2.srt 	IRON_MAN_2_DVS694 	01:54:24,00 --> 01:54:30,50 	someone fury steps up and presses the folder to the desktop.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS102 	00:30:52,00 --> 00:31:00,50 	he sees someone rub someone's back, the someone side steps away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS136 	00:42:43,00 --> 00:42:56,50 	fully clothed someone puts his phone in his pocket, steps out of the shower, and shuts its glass door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS409 	01:53:34,00 --> 01:53:39,50 	someone steps up beside.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS175 	00:34:46,00 --> 00:34:50,50 	she tentatively steps inside.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS302 	00:58:26,00 --> 00:58:31,50 	fixing her belt, someone steps out of the bathroom.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS27 	00:02:51,00 --> 00:02:59,50 	someone steps out of the driver's seat and views the residence.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS33 	00:03:39,00 --> 00:03:59,50 	a ginger tabby steps out.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS284 	00:55:57,00 --> 00:56:02,50 	someone steps out.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS102 	00:37:45,00 --> 00:37:50,50 	someone steps out of her car in a tight dress.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS134 	00:47:56,00 --> 00:48:15,50 	now on a palm tree lined beach, someone steps out of the water in a yellow string bikini.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS145 	00:56:46,00 --> 00:56:54,50 	someone knocks someone down, and the pig steps on his back.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS169 	01:00:39,00 --> 01:00:45,50 	someone steps away.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS291 	01:34:54,00 --> 01:35:02,50 	now someone steps off of an elevator and crosses a hallway, with his hand shoved in his pockets.
KARATE_KID.srt 	KARATE_KID_DVS329 	00:29:42,00 --> 00:29:48,50 	the instructor steps through a doorway near the stage.
KARATE_KID.srt 	KARATE_KID_DVS350 	00:31:23,00 --> 00:31:30,50 	someone steps closer to someone.
KARATE_KID.srt 	KARATE_KID_DVS401 	00:36:36,00 --> 00:36:40,50 	his mom steps closer.
KARATE_KID.srt 	KARATE_KID_DVS545 	00:49:07,00 --> 00:49:11,50 	he steps toward him.
KARATE_KID.srt 	KARATE_KID_DVS788 	01:06:38,00 --> 01:06:44,50 	she waves for him to follow her and steps into the storage room.
KARATE_KID.srt 	KARATE_KID_DVS992 	01:20:52,00 --> 01:21:00,50 	the boy solemnly steps up on one of the white-stone beams and approaches the basin.
KARATE_KID.srt 	KARATE_KID_DVS1001 	01:21:40,00 --> 01:21:47,50 	someone steps up on the latticework and joins his pupil at the basin.
KARATE_KID.srt 	KARATE_KID_DVS1015 	01:22:48,00 --> 01:22:54,50 	someone steps back, gripping a bamboo pole in each hand.
KARATE_KID.srt 	KARATE_KID_DVS1088 	01:29:40,00 --> 01:29:46,50 	someone reluctantly steps up onto the platform.
KARATE_KID.srt 	KARATE_KID_DVS1094 	01:30:38,00 --> 01:30:44,50 	with a modest sigh, she steps down off the platform.
KARATE_KID.srt 	KARATE_KID_DVS1374 	01:51:17,00 --> 01:51:25,50 	an official steps up to someone and someone.
KARATE_KID.srt 	KARATE_KID_DVS1544 	02:04:54,00 --> 02:05:00,50 	as he steps away,
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS86 	00:16:54,00 --> 00:17:02,50 	elsewhere, the now light-haired someone steps into a suburban home and hugs her short white haired grandmother.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS116 	00:27:37,00 --> 00:27:46,50 	someone steps off an airplane, performers raise their arms in their pre-show circle.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS162 	00:46:09,00 --> 00:46:15,50 	someone steps into a reception room, then greets several visitors as they enter the room.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS223 	00:55:43,00 --> 00:55:49,50 	later they step away from the ride.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS265 	01:02:38,00 --> 01:02:45,50 	later she steps into an suv.
KNOCKED_UP.srt 	KNOCKED_UP_DVS167 	01:45:56,00 --> 01:46:04,50 	he steps toward the bathroom.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS106 	00:34:09,00 --> 00:34:16,50 	clawed reptilian feet step out from a row of niches along a rock wall.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS145 	00:53:18,00 --> 00:53:26,50 	someone steps closer to someone and shrugs his brow.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS214 	01:16:46,00 --> 01:16:51,50 	he steps out to face grumpy.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS140 	00:31:51,00 --> 00:31:59,50 	he snaps as he steps from side to side repeatedly putting his feet apart then together.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS283 	00:37:23,00 --> 00:37:34,50 	as he steps along a walkway, his feet slide on the wet flooring.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS538 	00:58:31,00 --> 00:58:39,50 	someone emerges from the canvas shelter at the center of the boat, steps up on a seat below its rim,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS772 	01:19:15,00 --> 01:19:21,50 	stepping forward, someone someone gobbles it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS917 	01:31:53,00 --> 01:31:59,50 	someone gently steps toward him across the canvas cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS919 	01:31:59,00 --> 01:32:07,50 	using the rim of the boat for support, he steps onto the bench and approaches the resting beast.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS138 	00:50:39,00 --> 00:50:43,50 	someone steps closer.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS161 	00:56:52,00 --> 00:56:57,50 	the vehicles park and they step out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS98 	00:21:45,00 --> 00:21:49,50 	he steps back into the room.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS340 	00:43:48,00 --> 00:43:52,50 	a man steps out of their way.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS357 	00:45:07,00 --> 00:45:11,50 	someone steps out of the cab.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS428 	00:50:26,00 --> 00:50:33,50 	someone steps out in a silver dress, her long hair draped over one shoulder.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS506 	01:01:10,00 --> 01:01:15,50 	stepping out of its egg, the baby trips.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS641 	01:18:03,00 --> 01:18:09,50 	flapping her flippers, she steps to the precipice.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS696 	01:26:09,00 --> 01:26:14,50 	she steps back to reveal an egg.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS90 	00:20:19,00 --> 00:20:23,50 	someone someone steps inside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS109 	00:25:07,00 --> 00:25:18,50 	she steps aside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS127 	00:28:56,00 --> 00:29:18,50 	the front door behind her opens and a goat steps inside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS176 	00:39:58,00 --> 00:40:03,50 	someone steps closer.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS246 	00:51:14,00 --> 00:51:22,50 	under someone's compassionate gaze, someone hangs her head then steps away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS272 	00:59:34,00 --> 00:59:49,50 	as someone listlessly steps away, someone crouches before someone and the docherty's draw near.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS275 	01:00:16,00 --> 01:00:24,50 	his gaze solemn, someone steps up alongside him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS313 	01:08:38,00 --> 01:08:51,50 	he sets his glasses down on his desk, then steps out from behind it.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS326 	01:12:07,00 --> 01:12:15,50 	someone steps up onto a chair.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS467 	01:35:35,00 --> 01:35:56,50 	someone peers toward the children, then steps away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS474 	01:37:07,00 --> 01:37:12,50 	someone steps up beside his wife.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS477 	01:37:50,00 --> 01:37:59,50 	she steps forward.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS251 	00:43:29,00 --> 00:43:35,50 	and someone cautiously steps in.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS346 	01:04:22,00 --> 01:04:27,50 	he smiles and steps closer for a kiss.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS352 	01:05:50,00 --> 01:05:54,50 	someone steps up to her
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS521 	01:36:50,00 --> 01:36:59,50 	he steps closer then frowns.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS162 	00:41:12,00 --> 00:41:18,50 	as she steps into the bathroom someone heaves another heavy sigh.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS362 	01:27:07,00 --> 01:27:12,50 	the young boy steps back from the hole with his arms folded.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS387 	01:28:32,00 --> 01:28:39,50 	stepping around the hole, someone grabs a shovel and pats the restaurant owner on the back.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS276 	01:10:05,00 --> 01:10:11,50 	someone lowers someone's head and his awestruck friends step up behind him.
PROMETHEUS.srt 	PROMETHEUS_DVS98 	00:05:53,00 --> 00:06:00,50 	from a campsite, another man steps closer and lowers a scarf from his face.
PROMETHEUS.srt 	PROMETHEUS_DVS148 	00:09:26,00 --> 00:09:33,50 	as the transmission ends, the man lingers with his hand on the touch screen, then steps away.
PROMETHEUS.srt 	PROMETHEUS_DVS240 	00:21:06,00 --> 00:21:10,50 	someone steps away.
PROMETHEUS.srt 	PROMETHEUS_DVS280 	00:27:46,00 --> 00:27:53,50 	the crew steps into a hanger.
PROMETHEUS.srt 	PROMETHEUS_DVS385 	00:38:55,00 --> 00:39:00,50 	someone steps further in, studying the sculpted face.
PROMETHEUS.srt 	PROMETHEUS_DVS397 	00:39:59,00 --> 00:40:04,50 	as holloway steps around a large pedestal,
PROMETHEUS.srt 	PROMETHEUS_DVS431 	00:43:46,00 --> 00:44:00,50 	as someone steps out, the storm bounces him around.
PROMETHEUS.srt 	PROMETHEUS_DVS464 	00:49:06,00 --> 00:49:11,50 	stepping over to the head of the sleep pod,
PROMETHEUS.srt 	PROMETHEUS_DVS471 	00:49:32,00 --> 00:49:37,50 	she steps before him and he slows to a stop.
PROMETHEUS.srt 	PROMETHEUS_DVS472 	00:49:36,00 --> 00:49:42,50 	she steps closer, fixing him with a piercing stare.
PROMETHEUS.srt 	PROMETHEUS_DVS660 	01:11:50,00 --> 01:11:56,50 	showing a helmetless engineer stepping up on the disk.
PROMETHEUS.srt 	PROMETHEUS_DVS728 	01:17:41,00 --> 01:17:48,50 	as he steps away, someone lets her arms relax at her sides.
PROMETHEUS.srt 	PROMETHEUS_DVS848 	01:32:47,00 --> 01:32:52,50 	doors part for someone and she steps into the room.
PROMETHEUS.srt 	PROMETHEUS_DVS889 	01:38:19,00 --> 01:38:25,50 	someone steps past his aide who lowers a gun.
PROMETHEUS.srt 	PROMETHEUS_DVS1042 	01:53:52,00 --> 01:53:57,50 	she steps into its dim cockpit.
PROMETHEUS.srt 	PROMETHEUS_DVS1044 	01:54:00,00 --> 01:54:08,50 	someone steps closer and looms over them coldly.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS62 	00:11:08,00 --> 00:11:14,50 	outside, someone and his men step out of their car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS69 	00:11:52,00 --> 00:11:59,50 	someone steps out of the safe house.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS111 	00:19:03,00 --> 00:19:11,50 	the men step onto a sunny veranda where reporters gather.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS152 	00:27:53,00 --> 00:28:02,50 	he steps away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS175 	00:33:05,00 --> 00:33:25,50 	with a coy smirk, she steps out from behind the counter and slips into her coat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS204 	00:38:49,00 --> 00:38:54,50 	she steps away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS210 	00:39:50,00 --> 00:39:57,50 	squinting, he steps into the hallway and lets the door swing shut behind him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS213 	00:40:06,00 --> 00:40:12,50 	he steps off and heads for the door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS217 	00:40:20,00 --> 00:40:27,50 	behind barton, a stout, baby-faced man steps into the hall and shoots him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS229 	00:42:06,00 --> 00:42:14,50 	he steps away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS317 	01:00:51,00 --> 01:01:18,50 	the lawyer steps away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS332 	01:03:14,00 --> 01:03:31,50 	he steps out with a rifle and hands a machine gun.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS358 	01:08:27,00 --> 01:08:46,50 	as someone heads around the corner down an icy walkway, someone steps out of the safe house.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS420 	01:20:59,00 --> 01:21:05,50 	someone courteously gestures for the doctor to step away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS555 	01:43:57,00 --> 01:44:05,50 	the interrogator steps out of the room.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS705 	02:11:10,00 --> 02:11:16,50 	the gray door opens and he steps out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS58 	00:17:09,00 --> 00:17:15,50 	as the king steps closer, someone bows his head.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS117 	00:30:23,00 --> 00:30:37,50 	as his companions step away, someone sets a helmet by someone's grave.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS145 	00:36:42,00 --> 00:36:49,50 	queen someone steps away from the windows.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS202 	00:49:02,00 --> 00:49:11,50 	as he steps toward someone, he rubs his cheek again with the back of his hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS282 	01:07:07,00 --> 01:07:41,50 	back lit by the candle, the sheer fabric offers a thinly veiled view of someone stepping out of her dress.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS285 	01:08:02,00 --> 01:08:18,50 	the frenchman smirks and steps to someone's side and gestures toward the forest.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS382 	01:34:25,00 --> 01:34:33,50 	someone steps into his embrace and the elderly man pats his back.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS392 	01:37:11,00 --> 01:37:21,50 	someone ties his horse to a wooden beam, then treads toward the cross and the stone steps forming its base.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS449 	01:51:49,00 --> 01:52:04,50 	someone steps closer and the devastated woman lays her brow on his shoulder.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS454 	01:52:56,00 --> 01:53:02,50 	he steps closer.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS47 	00:07:56,00 --> 00:08:02,50 	a man in a nice suit steps out from a doorway.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS59 	00:09:58,00 --> 00:10:03,50 	he rounds a corner and steps out of view.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS113 	00:20:21,00 --> 00:20:27,50 	he steps around his staircase and picks up the manuscript.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS157 	00:26:05,00 --> 00:26:09,50 	she steps out of the kitchen.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS158 	00:26:15,00 --> 00:26:21,50 	someone steps closer.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS172 	00:28:35,00 --> 00:28:41,50 	stepping off the stairs, he accidentally squishes a dog toy.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS174 	00:28:44,00 --> 00:28:50,50 	at the top of the foyer stairs, someone steps out in a dress.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS243 	00:37:55,00 --> 00:37:59,50 	someone steps away.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS260 	00:40:28,00 --> 00:40:34,50 	he steps around the desk and whispers in his brother's ear.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS275 	00:41:58,00 --> 00:42:02,50 	someone steps out.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS278 	00:43:01,00 --> 00:43:06,50 	now, the brothers step out front.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS336 	00:54:31,00 --> 00:54:37,50 	he steps out to a railing.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS461 	01:10:50,00 --> 01:10:56,50 	someone steps closer and cups her face in his hands.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS488 	01:14:40,00 --> 01:14:46,50 	someone runs into a blonde young woman as she steps out of the bathroom.
SALT.srt 	SALT_DVS28 	00:05:28,00 --> 00:05:33,50 	her colleague steps up.
SALT.srt 	SALT_DVS259 	00:45:43,00 --> 00:45:51,50 	she steps away.
SALT.srt 	SALT_DVS352 	01:02:43,00 --> 01:02:58,50 	as someone stares at her husband, someone steps up beside her, scrutinizing her response.
SALT.srt 	SALT_DVS381 	01:08:06,00 --> 01:08:11,50 	man in dress uniform steps up to someone.
SALT.srt 	SALT_DVS465 	01:19:28,00 --> 01:19:33,50 	someone steps away from it.
SANCTUM.srt 	SANCTUM_DVS36 	00:08:05,00 --> 00:08:10,50 	he shakes his head and steps past.
SANCTUM.srt 	SANCTUM_DVS293 	00:59:11,00 --> 00:59:24,50 	someone steps out from behind a pitch black wall and shines his helmet light across a rocky passage.
SANCTUM.srt 	SANCTUM_DVS508 	01:35:05,00 --> 01:35:11,50 	as someone steps away, someone's glare follows him.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS100 	00:07:03,00 --> 00:07:09,50 	someone starts to follow, but someone discreetly steps in her path.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS235 	00:16:20,00 --> 00:16:29,50 	a plump woman dressed in a colorful someone robe pushes aside the curtain on the enclosed litter and steps out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS504 	00:32:49,00 --> 00:32:55,50 	allowing her to step over the wooden rails in front.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS725 	00:48:07,00 --> 00:48:11,50 	someone steps back in front of her friend.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS888 	00:58:17,00 --> 00:58:22,50 	the butcher steps close.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS110 	00:22:01,00 --> 00:22:06,50 	someone steps onto a sidewalk
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS331 	01:07:49,00 --> 01:08:15,50 	someone steps out to the handrail, smirks sadly, and removes someone's ring.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS412 	01:26:46,00 --> 01:26:52,50 	as his girlfriend steps out, he answers his cell.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS418 	01:28:41,00 --> 01:28:47,50 	he steps back, the gem on his cane glowing.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS479 	01:41:12,00 --> 01:41:38,50 	someone steps away as they embrace and share a tender kiss.
SOUL_SURFER.srt 	SOUL_SURFER_DVS173 	00:52:47,00 --> 00:52:51,50 	she steps in close.
SOUL_SURFER.srt 	SOUL_SURFER_DVS257 	01:16:23,00 --> 01:16:28,50 	she steps into the water and splashes it.
SOUL_SURFER.srt 	SOUL_SURFER_DVS327 	01:36:52,00 --> 01:36:57,50 	as he steps away, someone beams after him.
SPARKLE_2012.srt 	SPARKLE_2012_DVS19 	00:03:02,00 --> 00:03:07,50 	the mc ogles someone as she steps to the mic.
SPARKLE_2012.srt 	SPARKLE_2012_DVS88 	00:14:08,00 --> 00:14:14,50 	someone steps out from his hiding place, and peers around the corner.
SPARKLE_2012.srt 	SPARKLE_2012_DVS317 	00:52:26,00 --> 00:52:33,50 	someone and someone watch from the second floor, as someone steps into the foyer.
SPARKLE_2012.srt 	SPARKLE_2012_DVS334 	00:54:19,00 --> 00:54:24,50 	she steps in front of someone and someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS439 	01:11:51,00 --> 01:12:01,50 	in slow motion, the elevator doors part, and someone steps out in a mod purple mini-dress.
SPARKLE_2012.srt 	SPARKLE_2012_DVS517 	01:25:17,00 --> 01:25:23,50 	as someone steps away, someone eyes the luggage.
SPARKLE_2012.srt 	SPARKLE_2012_DVS592 	01:37:08,00 --> 01:37:12,50 	someone steps away.
SPARKLE_2012.srt 	SPARKLE_2012_DVS594 	01:37:37,00 --> 01:37:42,50 	someone steps out from the wings with a plate.
SUPER_8.srt 	SUPER_8_DVS184 	00:30:46,00 --> 00:30:50,50 	her father steps out again.
SUPER_8.srt 	SUPER_8_DVS237 	00:40:13,00 --> 00:40:17,50 	she steps back and they exchange smiles.
SUPER_8.srt 	SUPER_8_DVS238 	00:40:24,00 --> 00:40:29,50 	someone's smile fades as someone steps away.
SUPER_8.srt 	SUPER_8_DVS240 	00:40:28,00 --> 00:40:33,50 	meanwhile, someone steps out of the destroyed gas station.
SUPER_8.srt 	SUPER_8_DVS252 	00:42:28,00 --> 00:42:32,50 	he blinks and steps back.
SUPER_8.srt 	SUPER_8_DVS276 	00:47:37,00 --> 00:47:43,50 	elsewhere, someone picks up clothes off the floor as someone steps into his bedroom.
SUPER_8.srt 	SUPER_8_DVS308 	00:54:53,00 --> 00:54:57,50 	someone steps out.
SUPER_8.srt 	SUPER_8_DVS314 	00:56:36,00 --> 00:56:42,50 	the man steps forward and injects the contents of a syringe
SUPER_8.srt 	SUPER_8_DVS321 	00:57:31,00 --> 00:57:39,50 	someone climbs through the window, stepping beside the white cube on someone's desk as she hops down.
SUPER_8.srt 	SUPER_8_DVS385 	01:08:43,00 --> 01:08:49,50 	a soldier hands a piece of paper to someone and someone as they step onto a bus.
SUPER_8.srt 	SUPER_8_DVS428 	01:17:32,00 --> 01:17:37,50 	in the school, someone and his friends step into the hallway.
SUPER_8.srt 	SUPER_8_DVS443 	01:18:51,00 --> 01:18:55,50 	they step behind a curtain.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS55 	00:07:14,00 --> 00:07:18,50 	a bearded man with glasses steps up.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS105 	00:14:47,00 --> 00:14:53,50 	a bald man with a bulbous nose steps out of the shadows.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS122 	00:19:04,00 --> 00:19:10,50 	someone slips the note into his wallet as he steps into the hallway.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS205 	00:29:43,00 --> 00:29:50,50 	crates of open champagne bottles fizz as the men step into the cargo hold.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS250 	00:37:29,00 --> 00:37:33,50 	then steps through a door.
