21_JUMP_STREET.srt 	21_JUMP_STREET_DVS62 	00:06:21,00 --> 00:06:26,50 	the rookies approach the biker gang.
PROMETHEUS.srt 	PROMETHEUS_DVS748 	01:20:56,00 --> 01:21:04,50 	as a crewman in a containment suit approaches, someone whacks him with a metal object, then heads forward.
PROMETHEUS.srt 	PROMETHEUS_DVS853 	01:33:40,00 --> 01:33:46,50 	she approaches him and he averts his gaze.
PROMETHEUS.srt 	PROMETHEUS_DVS1003 	01:49:49,00 --> 01:49:54,50 	sparks rain down erratically from the ceiling as she ventures past the bar, her axe ready, and approaches a doorway.
PROMETHEUS.srt 	PROMETHEUS_DVS1064 	01:56:26,00 --> 01:56:30,50 	it approaches the next structure.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS63 	00:11:12,00 --> 00:11:18,50 	as they approach the house, a young blonde woman greets them.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS75 	00:12:46,00 --> 00:13:05,50 	someone approaches a guard.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS155 	00:28:15,00 --> 00:28:30,50 	a short husky man with someone skin and a toothbrush mustache approaches someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS195 	00:37:03,00 --> 00:37:13,50 	two other g-men approach the luxury car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS437 	01:24:17,00 --> 01:24:33,50 	inside, baby face approaches a couple eating dinner.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS117 	00:30:23,00 --> 00:30:37,50 	now, as a rider approaches a humble country chapel, a word appears - nottingham.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS447 	01:51:24,00 --> 01:51:29,50 	noticing someone as she approaches the cart.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS511 	02:07:23,00 --> 02:07:46,50 	they approach two thrones on a canopied platform.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS495 	01:16:12,00 --> 01:16:16,50 	someone approaches her.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS631 	01:31:12,00 --> 01:31:19,50 	as he approaches it, the stack of pages comes into focus.
SALT.srt 	SALT_DVS179 	00:30:51,00 --> 00:31:05,50 	he approaches a wandering someone.
SALT.srt 	SALT_DVS211 	00:36:06,00 --> 00:36:16,50 	the tanker approaches below.
SALT.srt 	SALT_DVS272 	00:47:52,00 --> 00:47:58,50 	he approaches a lanky man in a row behind her.
SALT.srt 	SALT_DVS290 	00:51:06,00 --> 00:51:10,50 	nails the approaching agent in his bulletproof vest.
SALT.srt 	SALT_DVS468 	01:20:18,00 --> 01:20:24,50 	meanwhile, someone approaches the room.
SALT.srt 	SALT_DVS478 	01:22:19,00 --> 01:22:25,50 	someone approaches the window separating him from someone.
SANCTUM.srt 	SANCTUM_DVS43 	00:09:18,00 --> 00:09:22,50 	someone approaches a native.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS441 	00:29:16,00 --> 00:29:21,50 	with a straight line of bangs over her eyebrows approaches.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS509 	00:33:05,00 --> 00:33:09,50 	a woman approaches someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS623 	00:41:22,00 --> 00:41:28,50 	now inside, someone cautiously approaches a door with her purse in hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS868 	00:57:36,00 --> 00:57:42,50 	someone approaches it, raising a hand over her nose and mouth as she peers out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1307 	01:30:17,00 --> 01:30:23,50 	she crosses a waiting area and approaches a front desk.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS267 	00:53:51,00 --> 00:53:55,50 	later in a men's room, someone approaches him.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS328 	01:07:15,00 --> 01:07:26,50 	farther along, he approaches a window to a coffee house marked, "communication cafe."
SOUL_SURFER.srt 	SOUL_SURFER_DVS95 	00:33:54,00 --> 00:34:00,50 	the shark underwater approaching her surfboard attacking.
SOUL_SURFER.srt 	SOUL_SURFER_DVS192 	01:00:45,00 --> 01:00:52,50 	later, an official approaches someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS23 	00:03:40,00 --> 00:03:45,50 	black approaches the sharp-dressed man.
SPARKLE_2012.srt 	SPARKLE_2012_DVS38 	00:06:56,00 --> 00:07:07,50 	now the sisters hurry up a quiet suburban driveway past a white sedan, and approach a side entrance.
SPARKLE_2012.srt 	SPARKLE_2012_DVS55 	00:09:30,00 --> 00:09:35,50 	the manager approaches her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS90 	00:14:17,00 --> 00:14:23,50 	he approaches the door of the room someone entered and stops.
SPARKLE_2012.srt 	SPARKLE_2012_DVS169 	00:28:21,00 --> 00:28:26,50 	someone approaches with a dark-skinned mannequin.
SPARKLE_2012.srt 	SPARKLE_2012_DVS216 	00:34:09,00 --> 00:34:15,50 	backstage in an overcoat, sister approaches her sisters already dressed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS305 	00:51:35,00 --> 00:51:39,50 	someone slowly approaches.
SPARKLE_2012.srt 	SPARKLE_2012_DVS325 	00:53:25,00 --> 00:53:32,50 	sister emerges from inside and approaches someone in a white baby doll nightie.
SPARKLE_2012.srt 	SPARKLE_2012_DVS559 	01:31:38,00 --> 01:31:44,50 	she approaches the desk, and the busy executive glances at her.
SUPER_8.srt 	SUPER_8_DVS97 	00:16:38,00 --> 00:16:46,50 	the train approaches the depot at full speed.
SUPER_8.srt 	SUPER_8_DVS489 	01:24:01,00 --> 01:24:07,50 	inside the bus, someone fires at the creature as it approaches.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS399 	00:59:11,00 --> 00:59:18,50 	an approaching pirate ship fires cannon balls,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS419 	01:00:47,00 --> 01:00:53,50 	as more pirates approach, he slices a line and untangles the two ships.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS425 	01:01:21,00 --> 01:01:27,50 	sir someone glares at the silhouetted figure as he approaches.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS70 	00:15:55,00 --> 00:16:00,50 	he approaches, tray in hand.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS155 	00:33:05,00 --> 00:33:13,50 	he approaches someone's friends at the bar.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS261 	00:49:51,00 --> 00:50:20,50 	someone approaches from the opposite direction.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS408 	01:18:21,00 --> 01:18:30,50 	approaching the young artist, she regards the portrait appraisingly then tilts her head and smiles.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS46 	00:08:39,00 --> 00:08:46,50 	nighttime at a police station, a man in a sport coat approaches a jail cell.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS135 	00:27:04,00 --> 00:27:12,50 	she approaches two rows of waiting cabs parked along a curb.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS453 	01:23:35,00 --> 01:23:45,50 	a young couple climbs out and he approaches the driver.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS494 	01:29:16,00 --> 01:29:21,50 	someone approaches a purple and white muscle car.
THE_CALL.srt 	THE_CALL_DVS653 	00:50:42,00 --> 00:50:48,50 	hopping out, he approaches a chubby service attendant with some cash in hand.
THE_CALL.srt 	THE_CALL_DVS814 	01:01:34,00 --> 01:01:42,50 	one behind the other, several groups of officers stealthily approach from all sides, weapons drawn.
THE_CALL.srt 	THE_CALL_DVS882 	01:08:24,00 --> 01:08:29,50 	he hangs up and approaches a line of cars.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS87 	00:15:49,00 --> 00:15:53,50 	he approaches the table.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS151 	00:25:40,00 --> 00:25:45,50 	her father approaches with a compassionate frown.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS227 	00:35:17,00 --> 00:35:24,50 	he approaches the pool area where his daughters share a lounge chair.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS340 	00:52:07,00 --> 00:52:14,50 	a teenage boy enters the room and approaches him from behind.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS584 	01:26:58,00 --> 01:27:03,50 	as the girls approach someone's bed, someone wraps her arm around her sister's shoulders.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS141 	00:13:54,00 --> 00:14:02,50 	now, on a narrow snow smeared road, the car approaches a bridge with rainbow-shaped arches barely wide enough for two cars.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS149 	00:14:43,00 --> 00:14:49,50 	then approaches a sprawling elegant manor house with a circular driveway.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS202 	00:25:08,00 --> 00:25:13,50 	inside, she approaches an apartment door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS337 	00:41:28,00 --> 00:41:35,50 	as she approaches the platform a guy snatches her backpack off her shoulder.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS692 	01:16:29,00 --> 01:16:35,50 	someone approaches the door to her apartment.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS796 	01:31:33,00 --> 01:31:40,50 	now, someone consults a gps as he approaches a modest house on a country road.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS869 	01:37:02,00 --> 01:37:07,50 	she bites a strand off with her teeth and approaches him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS904 	01:40:07,00 --> 01:40:14,50 	he spots two breakfast settings arranged on a small table, then approaches.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1038 	01:51:20,00 --> 01:51:27,50 	at the archives someone pushes through heavy doors and approaches some vending machines.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1182 	02:06:17,00 --> 02:06:21,50 	she approaches someone from behind.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1193 	02:07:02,00 --> 02:07:07,50 	and approaches the dining table.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1283 	02:14:47,00 --> 02:14:53,50 	he peeks around a corner then approaches someone who hangs up her desk phone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1319 	02:20:08,00 --> 02:20:13,50 	someone approaches someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1351 	02:25:11,00 --> 02:25:17,50 	inside, someone approaches the front desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1400 	02:29:56,00 --> 02:30:02,50 	in the millennium offices a goateed man approaches someone.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS53 	00:10:58,00 --> 00:11:04,50 	later, a series of men try to approach someone.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS120 	00:43:03,00 --> 00:43:10,50 	uniformed costco employees approach people seated at scattered tables.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS227 	01:14:39,00 --> 01:14:44,50 	a man with a clipboard approaches.
THE_SITTER.srt 	THE_SITTER_DVS36 	00:20:19,00 --> 00:20:25,50 	approaches the maitre d's post at an upscale restaurant.
THE_SITTER.srt 	THE_SITTER_DVS52 	00:31:14,00 --> 00:31:19,50 	someone winks, then approaches rodrigo
THE_SITTER.srt 	THE_SITTER_DVS54 	00:31:38,00 --> 00:31:45,50 	as he searches for more the server approaches.
THE_SITTER.srt 	THE_SITTER_DVS59 	00:34:07,00 --> 00:34:12,50 	as someone trudges off the valet approaches someone.
THE_SITTER.srt 	THE_SITTER_DVS66 	00:37:01,00 --> 00:37:05,50 	they approach a fishmonger.
THE_SITTER.srt 	THE_SITTER_DVS104 	00:56:00,00 --> 00:56:04,50 	two officers approach.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS144 	00:51:37,00 --> 00:51:45,50 	a guy approaches.
THE_VOW.srt 	THE_VOW_DVS297 	00:38:20,00 --> 00:38:26,50 	someone enters a restaurant equipment store and approaches a worker at a counter.
THE_VOW.srt 	THE_VOW_DVS314 	00:40:43,00 --> 00:40:48,50 	they approach a tudor style house.
THE_VOW.srt 	THE_VOW_DVS548 	01:14:55,00 --> 01:15:01,50 	someone approaches with a bottle of fine liquor.
THE_VOW.srt 	THE_VOW_DVS666 	01:32:55,00 --> 01:33:00,50 	her father approaches.
THE_WATCH.srt 	THE_WATCH_DVS336 	00:58:20,00 --> 00:58:24,50 	someone approaches someone.
THE_WATCH.srt 	THE_WATCH_DVS369 	01:04:54,00 --> 01:05:00,50 	someone glares at someone as someone approaches chelsea.
THE_WATCH.srt 	THE_WATCH_DVS389 	01:08:41,00 --> 01:08:47,50 	someone flips open his butterfly knife and approaches someone.
THE_WATCH.srt 	THE_WATCH_DVS441 	01:20:33,00 --> 01:20:41,50 	someone, someone, someone, and someone approach the building and peer inside through the glass-paneled rollaway door.
THE_WATCH.srt 	THE_WATCH_DVS553 	01:35:13,00 --> 01:35:17,50 	someone approaches someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS92 	00:29:05,00 --> 00:29:10,50 	at the restaurant the chef approaches someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS93 	00:29:11,00 --> 00:29:17,50 	outside, someone approaches her car and hands over her valet ticket.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS214 	00:53:49,00 --> 00:53:59,50 	behind him, someone leslie and three more nba players approach.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS283 	01:16:16,00 --> 01:16:21,50 	the couple approaches the table and a nearby service cart.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS125 	00:23:00,00 --> 00:23:04,50 	he approaches her.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS447 	01:19:37,00 --> 01:19:46,50 	two men approach, one is heinrich.
THOR.srt 	THOR_DVS76 	00:09:48,00 --> 00:09:56,50 	the guards approach the glowing blue box which rests upon a pedestal of scored rock at the end of the corridor.
THOR.srt 	THOR_DVS95 	00:14:07,00 --> 00:14:12,50 	chuckling, someone approaches the warriors.
THOR.srt 	THOR_DVS102 	00:15:11,00 --> 00:15:17,50 	the riders slow as they approach the building,
THOR.srt 	THOR_DVS135 	00:19:20,00 --> 00:19:28,50 	as someone and his allies approach the citadel's entrance, a frost giant watches from behind a shadowed boulder.
THOR.srt 	THOR_DVS284 	00:39:06,00 --> 00:39:13,50 	deep within the vault, under asgard, someone approaches the glowing jotunheim box, or casket,
THOR.srt 	THOR_DVS348 	00:53:12,00 --> 00:53:19,50 	they approach the impact crater now lit by floodlights and swarming with shield agents.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS30 	00:03:51,00 --> 00:03:55,50 	he approaches a group of fans.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS95 	00:11:01,00 --> 00:11:05,50 	he approaches a mirror.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS232 	00:30:01,00 --> 00:30:05,50 	he approaches his case worker.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS433 	00:46:02,00 --> 00:46:08,50 	as he continues to riff, his head down, she approaches.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS768 	01:23:16,00 --> 01:23:21,50 	an ear bud wire trails from someone starts to approach, then pauses.
TRUE_GRIT.srt 	TRUE_GRIT_DVS148 	00:35:30,00 --> 00:35:36,50 	as they approach the riverbank, someone remounts little blackie.
TRUE_GRIT.srt 	TRUE_GRIT_DVS229 	00:48:25,00 --> 00:48:30,50 	a man slowly approaches on horseback.
TRUE_GRIT.srt 	TRUE_GRIT_DVS286 	01:01:21,00 --> 01:01:26,50 	a lone rider approaches the cabin.
TRUE_GRIT.srt 	TRUE_GRIT_DVS290 	01:02:09,00 --> 01:02:16,50 	as someone enters the cabin, several more riders approach.
TRUE_GRIT.srt 	TRUE_GRIT_DVS426 	01:23:30,00 --> 01:23:34,50 	they approach a camp.
TRUE_GRIT.srt 	TRUE_GRIT_DVS589 	01:42:12,00 --> 01:42:18,50 	she approaches two seated men on the show site.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS42 	00:06:24,00 --> 00:06:29,50 	now someone approaches a restaurant hostess.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS370 	00:43:49,00 --> 00:43:58,50 	spectators stare and the camera man approaches.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS492 	01:02:50,00 --> 01:02:54,50 	someone approaches them.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS514 	01:08:00,00 --> 01:08:07,50 	later someone strolls into a restaurant and approaches the hostess.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS209 	00:36:06,00 --> 00:36:13,50 	an approaching porcupine startles the rookie and he backs away, fumbling a few posts.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS218 	00:38:01,00 --> 00:38:07,50 	he lowers his shy gaze as she approaches with a basket draped with a napkin.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS261 	00:42:47,00 --> 00:42:53,50 	someone approaches someone, who waits on the porch.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS365 	00:58:38,00 --> 00:58:41,50 	the grizzly keeps approaching.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS366 	00:58:39,00 --> 00:58:42,50 	the grizzly keeps approaching.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS570 	01:27:42,00 --> 01:27:48,50 	pouring in from the high windows as he approaches someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS715 	01:43:10,00 --> 01:43:16,50 	someone resignedly approaches someone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS543 	01:15:00,00 --> 01:15:08,50 	the fountain's jets of water blast upward as he approaches.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS649 	01:30:42,00 --> 01:30:50,50 	someone steps forward to meet someone as she approaches.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS160 	00:10:16,00 --> 00:10:24,50 	in a pub, a boyishly attractively young man approaches a pretty woman with one blue eye and one green eye.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS162 	00:11:15,00 --> 00:11:21,50 	the blonde approaches the two as they raise their glasses.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS281 	00:22:23,00 --> 00:22:30,50 	the broodingly handsome man hangs up his jacket and hat, and approaches the bar.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1092 	01:38:42,00 --> 01:38:46,50 	someone approaches someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1190 	01:46:24,00 --> 01:46:29,50 	someone cautiously approaches the doorway.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1214 	01:48:23,00 --> 01:48:29,50 	as the villainess approaches, someone hurls an energy disc past her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1240 	01:51:42,00 --> 01:51:47,50 	the coin approaches someone's forehead.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS211 	00:39:19,00 --> 00:39:23,50 	a brown-haired saleswoman approaches someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS191 	00:18:56,00 --> 00:19:04,50 	as the guys approach a wrecked car, someone carefully checks the interior.
ZOMBIELAND.srt 	ZOMBIELAND_DVS222 	00:24:10,00 --> 00:24:14,50 	someone approaches him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS508 	00:59:11,00 --> 00:59:16,50 	someone tweaks another trinket then approaches.
ZOMBIELAND.srt 	ZOMBIELAND_DVS573 	01:06:52,00 --> 01:06:57,50 	she blows away a second one as they approach the hummer.
ZOMBIELAND.srt 	ZOMBIELAND_DVS649 	01:13:16,00 --> 01:13:21,50 	a hoard of zombies approach him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS653 	01:13:31,00 --> 01:13:45,50 	hanging off the swing by one arm, he shoots the zombies as they approach the fence.
ZOOKEEPER.srt 	ZOOKEEPER_DVS135 	00:28:27,00 --> 00:28:34,50 	someone shuts the door, makes sure no one's watching, then approaches the bears.
ZOOKEEPER.srt 	ZOOKEEPER_DVS141 	00:31:15,00 --> 00:31:22,50 	in someone's pit, someone slides over a bowl of popcorn for the approaching gorilla.
ZOOKEEPER.srt 	ZOOKEEPER_DVS172 	00:37:25,00 --> 00:37:29,50 	as a guy approaches from behind.
ZOOKEEPER.srt 	ZOOKEEPER_DVS217 	00:48:39,00 --> 00:48:44,50 	inside, a waitress approaches their booth.
