30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS208 	00:51:38,00 --> 00:51:42,50 	they climb out of the wreck.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS492 	01:28:34,00 --> 01:28:55,50 	someone climbs out of the borrowed car, satchel in hand.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS150 	00:25:36,00 --> 00:25:42,50 	she climbs out and buries her face in a colorful towel.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS264 	00:41:39,00 --> 00:41:43,50 	she climbs up.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS379 	00:58:07,00 --> 00:58:11,50 	the others climb out as well.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS688 	01:16:19,00 --> 01:16:24,50 	her lover stirs as she climbs out of bed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS752 	01:24:55,00 --> 01:25:00,50 	someone climbs off her bike and removes her helmet.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS787 	01:30:31,00 --> 01:30:37,50 	someone climbs into his vehicle and backs it out of its spot.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS845 	01:35:36,00 --> 01:35:41,50 	someone climbs a hill away from the cabin.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS855 	01:36:07,00 --> 01:36:12,50 	she drags a chair to the corner of the room climbs on top and mounts one camera from the ceiling.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS931 	01:43:31,00 --> 01:43:38,50 	the archives manager climbs down and adds the books to a fully stacked cart.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS937 	01:43:53,00 --> 01:43:57,50 	harold climbs out of the chair.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1021 	01:50:05,00 --> 01:50:12,50 	now someone climbs a steeply ascending walkway overlooking the water.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1197 	02:07:18,00 --> 02:07:23,50 	the suv climbs the gravel driveway.
THE_SITTER.srt 	THE_SITTER_DVS132 	01:10:21,00 --> 01:10:29,50 	she shifts her lips thoughtfully, then climbs out of the minivan.
THE_SITTER.srt 	THE_SITTER_DVS133 	01:10:28,00 --> 01:10:33,50 	unbuckles her seatbelt and climbs into the seat beside him.
THE_VOW.srt 	THE_VOW_DVS301 	00:38:48,00 --> 00:38:54,50 	climbing into the convertible mercedes, someone hugs her.
THE_WATCH.srt 	THE_WATCH_DVS517 	01:31:21,00 --> 01:31:29,50 	the guys climb out from the basement, then tip over a refrigerator, slamming the grate over another alien.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS137 	00:37:09,00 --> 00:37:13,50 	someone climbs out of the car.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS350 	01:26:10,00 --> 01:26:17,50 	she climbs into her silver mercedes.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS81 	00:13:33,00 --> 00:13:37,50 	someone climbs in back.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS302 	00:55:09,00 --> 00:55:13,50 	he nimbly climbs down to her.
THOR.srt 	THOR_DVS257 	00:35:00,00 --> 00:35:06,50 	they hustle outdoors again and climb into their research truck.
THOR.srt 	THOR_DVS470 	01:17:25,00 --> 01:17:31,50 	someone and several other agents climb into vehicles and speed off.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS267 	00:33:53,00 --> 00:33:58,50 	clinging to the blanket, he climbs up.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS536 	00:58:54,00 --> 00:59:00,50 	someone climbs over the railing and jumps off the balcony.
TRUE_GRIT.srt 	TRUE_GRIT_DVS235 	00:48:54,00 --> 00:48:59,50 	someone climbs down from the tree.
TRUE_GRIT.srt 	TRUE_GRIT_DVS425 	01:23:24,00 --> 01:23:31,50 	reconvened, they climb a steep track.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS247 	00:23:28,00 --> 00:23:33,50 	she climbs the tree in a hoodie and slip.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS635 	01:28:03,00 --> 01:28:10,50 	he climbs over the edge.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS216 	00:37:52,00 --> 00:38:00,50 	from a ladder, someone climbs into view.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS233 	00:39:17,00 --> 00:39:23,50 	as she climbs down, he cranes his neck to peer after her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS764 	01:48:38,00 --> 01:48:44,50 	someone climbs out of bed and draws the curtains apart.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS775 	01:50:41,00 --> 01:50:47,50 	someone joins his son as he climbs onto the toppled tree.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS781 	01:51:15,00 --> 01:51:21,50 	someone and someone help the guests as they climb down on the other side.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS98 	00:08:31,00 --> 00:08:39,50 	she climbs a flight of stairs up to a tasteful party where an elegant blonde spots her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS394 	00:57:14,00 --> 00:57:21,50 	someone climbs the stairs to her apartment, still in her heels and tight dress.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS724 	01:36:53,00 --> 01:37:00,50 	someone climbs a trellis fence, peeks overtop, and spots the security guards.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS595 	00:55:28,00 --> 00:55:37,50 	hidden behind a hill, someone, someone, someone, and someone watch as someone climbs off the chopper and heads toward the mansion.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS721 	01:04:49,00 --> 01:04:55,50 	the cyclone-maker climbs through the broken window.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS285 	00:55:30,00 --> 00:55:35,50 	dolce hops up and climbs over her back.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS352 	01:07:47,00 --> 01:07:52,50 	carrying a gift bag, someone climbs the front steps
ZOMBIELAND.srt 	ZOMBIELAND_DVS73 	00:06:11,00 --> 00:06:17,50 	he climbs in and locks it just as the zombies arrive.
ZOMBIELAND.srt 	ZOMBIELAND_DVS113 	00:09:17,00 --> 00:09:24,50 	the narrator climbs into the escalade's passenger seat then eyes the back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS566 	01:06:13,00 --> 01:06:21,50 	by the dozens, the ghoulish cannibals pour through the park gates and climb the fences.
ZOMBIELAND.srt 	ZOMBIELAND_DVS576 	01:07:03,00 --> 01:07:08,50 	someone climbs safely behind the wheel.
ZOMBIELAND.srt 	ZOMBIELAND_DVS660 	01:14:04,00 --> 01:14:10,50 	at the drop ride, zombies climb the tower's frame.
ZOMBIELAND.srt 	ZOMBIELAND_DVS664 	01:14:23,00 --> 01:14:29,50 	someone shoots as he climbs a staircase to a roller coaster platform.
ZOMBIELAND.srt 	ZOMBIELAND_DVS706 	01:17:24,00 --> 01:17:29,50 	a zombie climbs close to them.
ZOOKEEPER.srt 	ZOOKEEPER_DVS76 	00:15:00,00 --> 00:15:10,50 	the monkey leaps onto it, climbs down the pole and lands in someone's enclosure.
ZOOKEEPER.srt 	ZOOKEEPER_DVS216 	00:48:32,00 --> 00:48:40,50 	grinning, the zookeeper climbs out.
ZOOKEEPER.srt 	ZOOKEEPER_DVS332 	01:14:15,00 --> 01:14:25,50 	someone hits his head on the car's raised scissor door as he tries to climb inside.
ZOOKEEPER.srt 	ZOOKEEPER_DVS416 	01:30:53,00 --> 01:31:03,50 	he clings to someone's back as the gorilla climbs the beam which angles nearly 45 degrees outward.
ZOOKEEPER.srt 	ZOOKEEPER_DVS420 	01:31:25,00 --> 01:31:30,50 	someone keeps climbing.
