21_JUMP_STREET.srt 	21_JUMP_STREET_DVS112 	00:15:13,00 --> 00:15:22,50 	the teen dances, rips the clothes from his closet, trashes a piano keyboard and then leans close to the camera.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS173 	00:35:05,00 --> 00:35:16,50 	leaning him against the door jam, she doffs her coat.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS301 	00:57:48,00 --> 00:57:56,50 	charlotte sits on the sofa near someone who guiltily leans forward in an armchair.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS170 	00:35:36,00 --> 00:35:41,50 	he leans on his open window.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS215 	00:43:31,00 --> 00:43:44,50 	now he stumbles down the hall, leaning against a wall for support.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS216 	00:43:43,00 --> 00:43:54,50 	her handcuffed arm leaning vertically against the headboard.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS275 	00:51:58,00 --> 00:52:07,50 	cringing, she leans wearily over the handlebars.
THE_CALL.srt 	THE_CALL_DVS69 	00:03:57,00 --> 00:04:04,50 	the 911 operator locks her hands behind her head and leans back in her chair.
THE_CALL.srt 	THE_CALL_DVS196 	00:15:41,00 --> 00:15:46,50 	she leans on a cement ledge.
THE_CALL.srt 	THE_CALL_DVS220 	00:18:41,00 --> 00:18:46,50 	with her eyes closed, she leans on the sink.
THE_CALL.srt 	THE_CALL_DVS1013 	01:17:33,00 --> 01:17:39,50 	leaning forward, she sees him with his ring finger in his mouth.
THE_CALL.srt 	THE_CALL_DVS1170 	01:27:19,00 --> 01:27:25,50 	she leans in close to the killer's face.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS55 	00:12:24,00 --> 00:12:29,50 	someone leans back in his seat.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS100 	00:18:32,00 --> 00:18:39,50 	at the wheel, someone glances over at someone, who sleeps with her head leaned against the window.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS204 	00:33:32,00 --> 00:33:38,50 	he leans forward, his elbows on his knees.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS262 	00:41:25,00 --> 00:41:31,50 	unfastening her seat belt, she leans forward and hugs his seat.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS329 	00:50:58,00 --> 00:51:02,50 	then leans forward heavily.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS471 	01:09:29,00 --> 01:09:34,50 	he descends halfway down the porch steps, then leans back against a supporting pillar.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS621 	01:31:05,00 --> 01:31:11,50 	then leans over someone and strokes her hair.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS740 	01:43:55,00 --> 01:44:01,50 	he bends down and leans over her, his fingers lingering on her brow.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS203 	00:25:14,00 --> 00:25:19,50 	she leans towards the door and listens.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS395 	00:47:07,00 --> 00:47:11,50 	he leans his head back.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS578 	01:04:08,00 --> 01:04:14,50 	he leans forward making note of someone's orientation on the sidewalk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS609 	01:07:29,00 --> 01:07:34,50 	with an icy stare, she leans in close.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS623 	01:08:35,00 --> 01:08:41,50 	someone leans back in his chair, his gaze chilled.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS802 	01:32:18,00 --> 01:32:23,50 	someone leans forward to stare after her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS813 	01:33:14,00 --> 01:33:20,50 	leaning closer to the monitor, he enlarges the picture.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1030 	01:50:42,00 --> 01:50:46,50 	he leans in cautiously.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS186 	01:02:05,00 --> 01:02:11,50 	someone leans forward on the table and shovels in the last of the steak.
THE_VOW.srt 	THE_VOW_DVS88 	00:07:27,00 --> 00:07:33,50 	his eyes squint merrily as he leans back laughing.
THE_VOW.srt 	THE_VOW_DVS164 	00:17:10,00 --> 00:17:14,50 	he leans against the machine.
THE_VOW.srt 	THE_VOW_DVS494 	01:09:41,00 --> 01:09:49,50 	leaning close, she brushes someones blanket off his shoulders, while letting her own fall to the floor.
THE_VOW.srt 	THE_VOW_DVS528 	01:13:48,00 --> 01:13:54,50 	someone wearily leans back on the sofa and stares at the ceiling.
THE_WATCH.srt 	THE_WATCH_DVS141 	00:27:14,00 --> 00:27:19,50 	someone leans over.
THE_WATCH.srt 	THE_WATCH_DVS166 	00:31:10,00 --> 00:31:14,50 	someone leans close on one side.
THE_WATCH.srt 	THE_WATCH_DVS280 	00:51:14,00 --> 00:51:21,50 	as the creature leans close to someone, someone smashes the gnome on its head.
THE_WATCH.srt 	THE_WATCH_DVS298 	00:53:37,00 --> 00:53:47,50 	as someone records him, someone leans the alien down in a dip.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS26 	00:05:26,00 --> 00:05:31,50 	he leans in too close.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS171 	00:43:18,00 --> 00:43:23,50 	someone tentatively leans in for a kiss.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS519 	01:54:53,00 --> 01:54:58,50 	as he meets her gaze again, she leans in closer.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS226 	00:42:06,00 --> 00:42:13,50 	leaning on someone, someone staggers drunkenly into a backroom where men play cards.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS458 	01:21:24,00 --> 01:21:38,50 	as the jeep comes up fast on the vw's unguarded side, someone grips the roll bar and leans out.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS513 	01:28:25,00 --> 01:28:30,50 	leaning on someone, the man obeys with effort.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS139 	00:17:29,00 --> 00:17:34,50 	she leans and someone mimes cracking an egg.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS205 	00:26:45,00 --> 00:26:50,50 	someone leans the stick against the bed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS212 	00:27:41,00 --> 00:27:45,50 	she leans in and they kiss.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS487 	00:53:25,00 --> 00:53:29,50 	he leans toward ziggy.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS840 	01:29:24,00 --> 01:29:31,50 	he leans toward someone with puckered lips but she gracefully recoils.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS882 	01:33:24,00 --> 01:33:29,50 	he bounces smoothly, leaning back.
TRUE_GRIT.srt 	TRUE_GRIT_DVS373 	01:17:43,00 --> 01:17:47,50 	he leans down to her.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS275 	00:26:40,00 --> 00:26:45,50 	she leans closer to someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS343 	00:40:14,00 --> 00:40:19,50 	she leans in coyly and caresses his chest.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS483 	00:59:15,00 --> 00:59:20,50 	he munches a snack, then leans forward.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS487 	01:01:19,00 --> 01:01:23,50 	someone leans back.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS530 	01:11:25,00 --> 01:11:30,50 	leaning against his chest, someone slinks up and down.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS544 	01:12:59,00 --> 01:13:06,50 	then leans against the wall with his hands in his pockets.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS555 	01:14:02,00 --> 01:14:12,50 	she leans against the door frame as they heatedly make out.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS173 	00:30:04,00 --> 00:30:08,50 	she leans on the wall.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS368 	00:58:51,00 --> 00:58:58,50 	someone leans away from buster's wide-open jaws.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS506 	01:18:04,00 --> 01:18:09,50 	someone leans heavily on a guard rail.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS540 	01:23:05,00 --> 01:23:12,50 	frowning, someone releases a deep breath and leans forward in her seat.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS551 	01:25:51,00 --> 01:25:57,50 	pressing his lips together, he leans against the banister railing.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS103 	00:09:49,00 --> 00:09:56,50 	perching in an armchair, someone leans back and peers out a window.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS367 	00:52:59,00 --> 00:53:04,50 	she leans back to peer around the statue.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS600 	01:21:25,00 --> 01:21:30,50 	she works her mouth, then leans over the banister.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS40 	00:03:03,00 --> 00:03:09,50 	she leans forward with an inviting smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS916 	01:24:16,00 --> 01:24:20,50 	she leans toward him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS937 	01:26:29,00 --> 01:26:35,50 	leaning his elbows on his knees, someone folds his hand
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS983 	01:30:09,00 --> 01:30:16,50 	he leans in and kisses her on the lips, then gently raises his hand to her neck.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1336 	02:02:20,00 --> 02:02:26,50 	she leans down, meeting his gaze squarely.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS31 	00:03:19,00 --> 00:03:24,50 	the woman leans forward and studies the baby's face.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS271 	00:52:30,00 --> 00:52:35,50 	they both lean forward and kiss.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS404 	01:18:36,00 --> 01:18:41,50 	she leans her head against his shoulder.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS431 	01:25:34,00 --> 01:25:39,50 	someone leans backward and tilts her head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS186 	00:18:16,00 --> 00:18:20,50 	her head leans back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS728 	01:19:02,00 --> 01:19:08,50 	she blinks then leans closer, bringing her lips near his ear.
