21_JUMP_STREET.srt  	21_JUMP_STREET_DVS139  	00:22:34,00 --> 00:22:41,50  	Now, the Camaro pulls into a high school parking lot bustling with teens.
DEAR_JOHN.srt  	DEAR_JOHN_DVS90  	00:13:19,00 --> 00:13:30,50  	He pulls out a set of keys and hands them to SOMEONE, who ambles toward the door.
DEAR_JOHN.srt  	DEAR_JOHN_DVS114  	00:17:20,00 --> 00:17:28,50  	Now the SOMEONE family car pulls up in front of SOMEONE's house.
DEAR_JOHN.srt  	DEAR_JOHN_DVS154  	00:24:31,00 --> 00:24:36,50  	She pulls at the door knobs, but he yanks the doors open.
DEAR_JOHN.srt  	DEAR_JOHN_DVS180  	00:29:00,00 --> 00:29:04,50  	SOMEONE pulls him aside.
DEAR_JOHN.srt  	DEAR_JOHN_DVS185  	00:29:29,00 --> 00:29:40,50  	An SUV rounds a turn, pulls up beside him, and continues on.
DEAR_JOHN.srt  	DEAR_JOHN_DVS206  	00:32:22,00 --> 00:32:32,50  	SOMEONE follows his gaze to find SOMEONE's car pulling up outside.
DEAR_JOHN.srt  	DEAR_JOHN_DVS216  	00:34:07,00 --> 00:34:17,50  	A window shows SOMEONE's car pulling away.
DEAR_JOHN.srt  	DEAR_JOHN_DVS224  	00:34:48,00 --> 00:34:58,50  	The bus pulls away.
DEAR_JOHN.srt  	DEAR_JOHN_DVS364  	00:58:10,00 --> 00:58:22,50  	SOMEONE clasps SOMEONE's head in her hands, then wraps her arms around his neck and pulls him into a tight embrace.
DEAR_JOHN.srt  	DEAR_JOHN_DVS373  	00:59:23,00 --> 00:59:29,50  	Propped up by his arms, as she pulls his undershirt over his head.
DEAR_JOHN.srt  	DEAR_JOHN_DVS503  	01:13:09,00 --> 01:13:19,50  	Standing in front of the mirror in his uniform, he pulls his belt tight around his waist.
DEAR_JOHN.srt  	DEAR_JOHN_DVS538  	01:16:51,00 --> 01:16:59,50  	Now, he pulls open a drawer and finds a jumble of dozens of coins in small boxes.
DEAR_JOHN.srt  	DEAR_JOHN_DVS571  	01:21:17,00 --> 01:21:24,50  	SOMEONE pulls his hand away and places his palm against SOMEONE's cheek.
DEAR_JOHN.srt  	DEAR_JOHN_DVS580  	01:21:52,00 --> 01:21:59,50  	SOMEONE sits beside his surfboard with his knees pulled up, and his head bowed.
DEAR_JOHN.srt  	DEAR_JOHN_DVS604  	01:23:27,00 --> 01:23:36,50  	The car pulls through the gate of SOMEONE's family home.
DEAR_JOHN.srt  	DEAR_JOHN_DVS605  	01:23:33,00 --> 01:23:40,50  	Slowing, the car pulls up alongside the corral beside the modest stables.
DEAR_JOHN.srt  	DEAR_JOHN_DVS699  	01:34:54,00 --> 01:34:59,50  	SOMEONE pulls her into his arms.
DEAR_JOHN.srt  	DEAR_JOHN_DVS716  	01:36:15,00 --> 01:36:23,50  	SOMEONE turns away pulls a flannel shirt over her shoulders.
DEAR_JOHN.srt  	DEAR_JOHN_DVS754  	01:38:35,00 --> 01:38:43,50  	Then pulls them out.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS99  	00:24:07,00 --> 00:24:12,50  	She pulls the Jesus Mouse out of his pocket.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS111  	00:29:22,00 --> 00:29:26,50  	He pulls himself along.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS124  	00:29:58,00 --> 00:30:04,50  	SOMEONE pulls a comedy sad face and types
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS184  	00:42:19,00 --> 00:42:24,50  	He pulls SOMEONE's shoulders back.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS236  	00:59:25,00 --> 00:59:31,50  	SOMEONE pulls a pillow over his head to block out SOMEONE's laughter.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS260  	01:03:05,00 --> 01:03:10,50  	SOMEONE pulls a face and gets the phone.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS267  	01:04:42,00 --> 01:04:47,50  	SOMEONE seethes and pulls up a chair.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS278  	01:09:51,00 --> 01:09:58,50  	As SOMEONE watches her go, SOMEONE pulls up in SOMEONE's Porsche Boxster.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS332  	01:19:11,00 --> 01:19:17,50  	He pulls a cloth cover off it and undoes the catches.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS337  	01:20:10,00 --> 01:20:19,50  	The Porsche pulls up in front of SOMEONE's palatial home.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS417  	01:43:06,00 --> 01:43:10,50  	Fire trucks pull up
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS436  	01:46:59,00 --> 01:47:07,50  	SOMEONE and SOMEONE pull away and gaze at each other.
