21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	someone shifts his frustrated gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS513 	02:07:51,00 --> 02:07:55,50 	someone shifts uneasily.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS282 	00:44:09,00 --> 00:44:14,50 	someone shifts his sympathetic gaze.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS373 	01:00:28,00 --> 01:00:35,50 	someone shifts his bewildered gaze then shrugs and smiles.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS392 	01:02:58,00 --> 01:03:05,50 	moving hesitantly, he turns on a bedside lamp and shifts his tempted gaze.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS666 	01:35:58,00 --> 01:36:03,50 	someone shifts his humble gaze.
SALT.srt 	SALT_DVS87 	00:18:36,00 --> 00:18:48,50 	she checks her cell then slides it shut and shifts her eyes around the sparse room.
SALT.srt 	SALT_DVS174 	00:29:48,00 --> 00:29:59,50 	as the young girl shifts her gaze, she notices the woman outside and returns the wave.
SALT.srt 	SALT_DVS245 	00:42:05,00 --> 00:42:26,50 	back in the present, someone shifts her listless gaze.
SALT.srt 	SALT_DVS416 	01:12:48,00 --> 01:12:52,50 	someone shifts his eyes thoughtfully.
SALT.srt 	SALT_DVS466 	01:19:53,00 --> 01:20:03,50 	outside the operation center, someone shifts her eyes.
SALT.srt 	SALT_DVS535 	01:31:29,00 --> 01:31:42,50 	he shifts angrily in his seat.
SALT.srt 	SALT_DVS538 	01:32:22,00 --> 01:32:29,50 	his chest heaving, someone shifts his bewildered gaze then looks to someone again.
SANCTUM.srt 	SANCTUM_DVS137 	00:29:06,00 --> 00:29:15,50 	someone watches the monitor with a grave look and someone shifts his gaze away.
SANCTUM.srt 	SANCTUM_DVS383 	01:16:11,00 --> 01:16:16,50 	he shifts his eyes.
SANCTUM.srt 	SANCTUM_DVS390 	01:17:03,00 --> 01:17:08,50 	shifting his jaw, someone pulls away.
SANCTUM.srt 	SANCTUM_DVS415 	01:20:21,00 --> 01:20:26,50 	someone shifts his somber eyes.
SANCTUM.srt 	SANCTUM_DVS420 	01:21:00,00 --> 01:21:12,50 	pushing out his jaw, he gives a thoughtful look, then abruptly shifts his gaze to a section of the cave's wall near someone.
SANCTUM.srt 	SANCTUM_DVS457 	01:25:36,00 --> 01:25:41,50 	he shifts his gaze to someone.
SANCTUM.srt 	SANCTUM_DVS480 	01:29:14,00 --> 01:29:21,50 	someone rises and someone shifts his helmet as his son follows the river.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS256 	00:17:37,00 --> 00:17:44,50 	someone and someone both stare straight ahead for a long moment, then, in unison, shift their curious eyes toward each other.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS287 	00:19:21,00 --> 00:19:27,50 	someone shifts her woeful eyes to her own lap and tilts her head thoughtfully.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS418 	00:28:02,00 --> 00:28:07,50 	someone shifts her concerned gaze away.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS425 	00:28:23,00 --> 00:28:31,50 	someone shifts her handbag's shoulder strap as she climbs some steps leading to a set of glass doors.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS520 	00:33:47,00 --> 00:33:52,50 	someone glances at her troubled friend, then takes her hands and shifts her gaze straight ahead.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS671 	00:43:53,00 --> 00:43:58,50 	someone shifts his trouble gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS783 	00:52:32,00 --> 00:52:36,50 	someone shifts her thoughtful gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS867 	00:57:31,00 --> 00:57:38,50 	she peers down toward the lower floor, then shifts her puzzled gaze and gets up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS999 	01:05:18,00 --> 01:05:25,50 	staring off, she shifts her attention to the traffic ahead and pulls her car forward.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1066 	01:11:54,00 --> 01:12:02,50 	she raises her fingers to her lips, shifts her coquettish gaze, and grants him a chaste kiss.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1081 	01:14:08,00 --> 01:14:14,50 	shifting her increasingly troubled gaze,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1444 	01:37:56,00 --> 01:38:01,50 	then shifts her gaze to someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1453 	01:38:26,00 --> 01:38:32,50 	someone shifts her attention to the cityscape before them.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS130 	00:24:44,00 --> 00:24:51,50 	as someone shifts his eyes, a giant talon knocks him
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS144 	00:28:07,00 --> 00:28:15,50 	the young man shifts his eyes, then nods.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS157 	00:31:03,00 --> 00:31:10,50 	someone shifts his eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS235 	00:45:30,00 --> 00:45:39,50 	the young man shifts his rueful gaze.
SOUL_SURFER.srt 	SOUL_SURFER_DVS44 	00:14:34,00 --> 00:14:39,50 	with a hard swallow, someone shifts her crestfallen eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS82 	00:27:25,00 --> 00:27:29,50 	she shifts the minivan into park.
SOUL_SURFER.srt 	SOUL_SURFER_DVS210 	01:08:21,00 --> 01:08:28,50 	as he sits beside her, she shifts her gaze away
SOUL_SURFER.srt 	SOUL_SURFER_DVS213 	01:08:50,00 --> 01:08:55,50 	she shifts her tearful gaze away.
SPARKLE_2012.srt 	SPARKLE_2012_DVS145 	00:25:01,00 --> 00:25:05,50 	she shifts icily.
SPARKLE_2012.srt 	SPARKLE_2012_DVS223 	00:35:01,00 --> 00:35:08,50 	someone shifts his uncertain gaze.
SPARKLE_2012.srt 	SPARKLE_2012_DVS578 	01:34:49,00 --> 01:34:54,50 	someone shifts her gaze, then looks to her mother.
SPARKLE_2012.srt 	SPARKLE_2012_DVS643 	01:46:14,00 --> 01:46:22,50 	in the wings, someone shifts his weight beside someone, who watches with crossed arms.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS118 	00:27:14,00 --> 00:27:24,50 	someone shifts his gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS163 	00:34:00,00 --> 00:34:12,50 	a brilliant disco lights swings by overhead as he shifts his dull gaze.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS190 	00:36:56,00 --> 00:37:04,50 	shifting his head on the pillow, he turns to someone and watches her sleep.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS195 	00:37:30,00 --> 00:37:46,50 	she presses her lips together to stifle a smile, then shifts her gaze to someone who blinks awake and looks up at her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS264 	00:51:10,00 --> 00:51:16,50 	shifting uneasily, someone tucks some hair behind one ear.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS310 	00:59:07,00 --> 00:59:13,50 	dusting contritely shifts his arms at his sides.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS121 	00:24:23,00 --> 00:24:31,50 	someone looks away, shifting her wary gaze then frowns at him again.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS164 	00:33:29,00 --> 00:33:34,50 	someone shifts his sheepish gaze.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS284 	00:53:05,00 --> 00:53:16,50 	he shifts into park and raises both hands innocently.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS291 	00:53:55,00 --> 00:54:01,50 	he shifts the car into park, gets out, and faces his ex-wife.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS529 	01:36:47,00 --> 01:36:52,50 	someone shifts his confused stare.
THE_CALL.srt 	THE_CALL_DVS278 	00:24:30,00 --> 00:24:34,50 	her eyes shift about.
THE_CALL.srt 	THE_CALL_DVS371 	00:30:09,00 --> 00:30:13,50 	someone shifts her gaze.
THE_CALL.srt 	THE_CALL_DVS543 	00:41:51,00 --> 00:41:56,50 	he shifts an anxious gaze between his trunk and the body.
THE_CALL.srt 	THE_CALL_DVS555 	00:42:32,00 --> 00:42:40,50 	holding her headset, someone shifts her wide, frantic eyes to the gps locator screen.
THE_CALL.srt 	THE_CALL_DVS567 	00:43:21,00 --> 00:43:27,50 	phillips' eyes shift from the glass shards to a large blood stain.
THE_CALL.srt 	THE_CALL_DVS658 	00:51:30,00 --> 00:51:35,50 	someone shifts her anxious gaze.
THE_CALL.srt 	THE_CALL_DVS707 	00:54:10,00 --> 00:54:16,50 	with her jaw trembling, someone shifts her desperate eyes.
THE_CALL.srt 	THE_CALL_DVS1042 	01:19:05,00 --> 01:19:11,50 	someone shifts her gaze and discovers someone absent from her view.
THE_CALL.srt 	THE_CALL_DVS1123 	01:24:41,00 --> 01:24:49,50 	our view shifts down behind someone to the surgical scissors protruding from his lower back.
THE_CALL.srt 	THE_CALL_DVS1137 	01:25:42,00 --> 01:25:48,50 	she looks up at the young girl, who shifts her eyes down to the open hatch.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS88 	00:16:26,00 --> 00:16:30,50 	troy shifts his wounded gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS165 	00:28:06,00 --> 00:28:10,50 	he shifts in his chair.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS334 	00:51:41,00 --> 00:51:46,50 	nodding softly, someone shifts his thoughtful gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS428 	01:05:04,00 --> 01:05:10,50 	someone stares at him, then shifts his frustrated gaze and nods.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS602 	01:28:14,00 --> 01:28:20,50 	someone pushes out a breath and shifts her attention to her mother.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS608 	01:28:59,00 --> 01:29:07,50 	as someone leads her uncle and grandmother to someone's bedside, someone shifts his gaze to someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS633 	01:31:58,00 --> 01:32:06,50 	blinking groggily, he looks at his watch, then leans forward on his elbows and shifts his thoughtful eyes.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS723 	01:41:44,00 --> 01:41:50,50 	shifting her tearful eyes to someone, someone steps to her side.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS784 	01:46:39,00 --> 01:46:45,50 	he shifts his serene gaze, then gives her a soft nod.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS765 	01:28:13,00 --> 01:28:20,50 	he shifts his contemplative gaze and shuts the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS815 	01:33:24,00 --> 01:33:29,50 	then thoughtfully shifts his gaze away.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS945 	01:44:38,00 --> 01:44:44,50 	someone shifts her gaze then goes to another table.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1001 	01:48:52,00 --> 01:48:59,50 	someone looks up, shifting his jaw.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1017 	01:49:49,00 --> 01:49:55,50 	in the cottage someone removes his reading glasses and shifts his thoughtful gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1080 	01:53:36,00 --> 01:53:40,50 	someone pauses, shifting his weary gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1118 	01:57:22,00 --> 01:57:28,50 	someone shifts his defeated gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1286 	02:15:44,00 --> 02:15:48,50 	someone shifts his gaze.
THE_SITTER.srt 	THE_SITTER_DVS132 	01:10:21,00 --> 01:10:29,50 	she shifts her lips thoughtfully, then climbs out of the minivan.
THE_VOW.srt 	THE_VOW_DVS145 	00:15:08,00 --> 00:15:15,50 	the brunette shifts her groggy gaze, then closes her eyes and winces.
THE_VOW.srt 	THE_VOW_DVS160 	00:16:36,00 --> 00:16:41,50 	she shifts her shocked eyes to someone.
THE_VOW.srt 	THE_VOW_DVS175 	00:19:02,00 --> 00:19:06,50 	someone shifts her shocked gaze.
THE_VOW.srt 	THE_VOW_DVS369 	00:52:14,00 --> 00:52:21,50 	someone shifts her sad eyes, then turns away.
THE_VOW.srt 	THE_VOW_DVS506 	01:10:31,00 --> 01:10:37,50 	her smile gone, someone shifts her uneasy gaze.
THE_VOW.srt 	THE_VOW_DVS509 	01:10:53,00 --> 01:11:01,50 	someone lingers on the spot, shifting boyishly on his feet as his wife enters her parents home.
THE_WATCH.srt 	THE_WATCH_DVS76 	00:10:01,00 --> 00:10:07,50 	shifting his emotional gaze, someone tugs at his collar.
THE_WATCH.srt 	THE_WATCH_DVS399 	01:12:14,00 --> 01:12:21,50 	someone opens the door and someone steps inside as someone shifts his weight in the driveway.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS107 	00:31:07,00 --> 00:31:16,50 	her eyes slowly shift back toward it.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS163 	00:42:39,00 --> 00:42:45,50 	he shifts his gaze to the stereo's display panel.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS230 	00:57:39,00 --> 00:57:43,50 	someone shifts her wide-eyed gaze.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS370 	01:29:00,00 --> 01:29:05,50 	she shifts her thoughtful eyes, then gives a pleased look.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS498 	01:51:38,00 --> 01:51:44,50 	shifting her gaze back to james, she shakes her head.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS161 	00:31:11,00 --> 00:31:17,50 	as his colleagues move on, someone shifts his gaze.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS374 	01:09:13,00 --> 01:09:19,50 	it shifts to james monroe elementary.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS194 	00:25:32,00 --> 00:25:39,50 	with a playful look, someone shifts his eyes to the bouquet of flowers then gives his girlfriend a winning grin.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS707 	01:18:26,00 --> 01:18:32,50 	he shifts his conflicted gaze and crouches slightly, his stick ready.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS787 	01:24:34,00 --> 01:24:38,50 	someone shifts his sober gaze, nods, then raises a finger.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS251 	00:23:49,00 --> 00:23:53,50 	she shifts on a branch.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS513 	01:07:50,00 --> 01:07:58,50 	she shifts her eyes back to the monitor and watches as someone forces a smile.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS549 	01:13:31,00 --> 01:13:39,50 	someone shifts her eyes to the floor.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS558 	01:14:25,00 --> 01:14:32,50 	as someone turns his back to the elevator, his jaw drops and his wide eyes shift disbelievingly.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS51 	00:09:58,00 --> 00:10:12,50 	with concerned looks, both men shift their eyes back to someone's drawing, where the bald 	decapitated man's tongue juts from his mouth in agony, as his head flies away from his body.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS84 	00:13:28,00 --> 00:13:34,50 	he shifts his gaze to a cluster of pill bottles filling a shelf.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS134 	00:24:09,00 --> 00:24:14,50 	someone shifts her jaw and gives a nod.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS143 	00:25:03,00 --> 00:25:18,50 	in the back seat, someone sighs and shifts his unhappy 	gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS158 	00:27:50,00 --> 00:27:56,50 	someone shifts her skeptical gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS328 	00:53:13,00 --> 00:53:20,50 	the inspector shifts his gaze to someone and wiggles his eyebrows.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS388 	01:01:22,00 --> 01:01:30,50 	a wide view shows the high-reaching beam, its glow shifting with someone's hand movements.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS393 	01:02:39,00 --> 01:02:44,50 	someone shifts his gaze to the zoo's grounds.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS435 	01:08:16,00 --> 01:08:21,50 	someone shifts her weight, her gaze intent.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS557 	01:26:48,00 --> 01:26:57,50 	a vulture's sharp-beaked face and white fluffy collar fill our view as it shifts its keen gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS806 	01:53:44,00 --> 01:53:50,50 	he glances after her, then shifts his thoughtful eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS843 	01:58:24,00 --> 01:58:29,50 	shifting his gaze from his kids,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS84 	00:07:26,00 --> 00:07:33,50 	she sets the magazine aside, then bites her lip and shifts her calculating gaze.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS516 	01:13:32,00 --> 01:13:37,50 	someone pauses and shifts her gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS75 	00:05:39,00 --> 00:05:46,50 	someone sighs, shifts his gaze to the coin, and grits his teeth.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS82 	00:06:04,00 --> 00:06:10,50 	his gaze troubled, the doctor shifts thoughtfully in his chair.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS362 	00:30:06,00 --> 00:30:14,50 	dark scales flutter around her figure in waves as she shifts into her natural blue form.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS414 	00:35:28,00 --> 00:35:39,50 	in the escaping submarine, someone shifts his smug gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS427 	00:37:40,00 --> 00:37:47,50 	the slim charmingly disheveled young man shifts his uncertain gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS468 	00:41:55,00 --> 00:42:01,50 	the young man licks his lips and shifts his uneasy gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS600 	00:55:58,00 --> 00:56:07,50 	the russian man blinks as if dazed, then shifts his gaze to someone as she greets a mustached general.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS663 	01:00:50,00 --> 01:00:55,50 	he shifts his gaze back to someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS975 	01:29:28,00 --> 01:29:37,50 	starting at her hand, she shifts into her natural form, with scaly blue skin, slick dark-red hair, and pale-yellow eye
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1060 	01:35:37,00 --> 01:35:45,50 	someone shifts his gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1179 	01:45:24,00 --> 01:45:30,50 	he shifts his troubled gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1222 	01:49:14,00 --> 01:49:27,50 	he looks at someone, who shifts into mystique.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1265 	01:54:25,00 --> 01:54:30,50 	on the beach, someone shifts his gaze.
ZOMBIELAND.srt 	ZOMBIELAND_DVS340 	00:39:10,00 --> 00:39:14,50 	he shifts his stare to the window.
ZOMBIELAND.srt 	ZOMBIELAND_DVS440 	00:49:58,00 --> 00:50:05,50 	the scraggly haired man stiffly shifts one shoulder then turns a corner.
ZOMBIELAND.srt 	ZOMBIELAND_DVS548 	01:04:10,00 --> 01:04:16,50 	someone smiles at her sister then shifts gears.
ZOMBIELAND.srt 	ZOMBIELAND_DVS736 	01:19:38,00 --> 01:19:45,50 	he swallows then shifts his attention to little someone who rolls her eyes.
ZOOKEEPER.srt 	ZOOKEEPER_DVS126 	00:27:17,00 --> 00:27:25,50 	the gorilla shifts his gaze.
ZOOKEEPER.srt 	ZOOKEEPER_DVS248 	00:55:38,00 --> 00:55:44,50 	he shifts his eyes pensively.
ZOOKEEPER.srt 	ZOOKEEPER_DVS338 	01:15:22,00 --> 01:15:28,50 	frowning, someone shifts her gaze to the eagles.
ZOOKEEPER.srt 	ZOOKEEPER_DVS350 	01:18:31,00 --> 01:18:35,50 	shane shifts his weight.
