21_JUMP_STREET.srt 	21_JUMP_STREET_DVS218 	00:36:47,00 --> 00:36:57,50 	he pushes an auditioning kid off stage.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS279 	01:31:37,00 --> 01:31:48,50 	the end credits start to roll over the scene, as a man pushes his mother on a wheelchair, and a teenager offers his mom a sip from his juice box.
THE_SITTER.srt 	THE_SITTER_DVS138 	01:11:14,00 --> 01:11:20,50 	as someone pushes visor back up, someone stirs.
THE_WATCH.srt 	THE_WATCH_DVS184 	00:33:06,00 --> 00:33:12,50 	he pushes faster and cranes his neck trying for a look at the creature.
THE_WATCH.srt 	THE_WATCH_DVS380 	01:07:29,00 --> 01:07:37,50 	she pushes his hand away.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS384 	01:30:48,00 --> 01:30:52,50 	she pushes him away.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS408 	01:35:55,00 --> 01:36:02,50 	meanwhile, someone pushes a plate of half-eaten food away and rests his head on his hand.
THOR.srt 	THOR_DVS237 	00:32:07,00 --> 00:32:16,50 	someone pushes a doctor away and stands, then flips a man into a supply cabinet.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS122 	00:14:00,00 --> 00:14:06,50 	the wingless case worker pushes him, then smirks.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS123 	00:14:07,00 --> 00:14:11,50 	someone pushes him back.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS169 	00:22:39,00 --> 00:22:45,50 	he pushes another lever and a squirming someone flies higher.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS369 	00:40:26,00 --> 00:40:36,50 	someone squeezes his eyes shut and pushes the magic generator button on his wand.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS623 	01:08:57,00 --> 01:09:04,50 	as someone irritably shakes his head, someone pushes himself onto his hands and knees.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS673 	01:15:21,00 --> 01:15:27,50 	someone wearily pushes himself up onto all fours.
TRUE_GRIT.srt 	TRUE_GRIT_DVS225 	00:48:09,00 --> 00:48:14,50 	someone pushes the body onto its back with his boot.
TRUE_GRIT.srt 	TRUE_GRIT_DVS560 	01:39:10,00 --> 01:39:14,50 	she resists, pushing him away bitterly, and beating at his chest with balled fists.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS340 	00:39:06,00 --> 00:39:17,50 	someone descends in black stiletto heels and a flattering black cocktail dress that pushes up her cleavage.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS529 	01:11:15,00 --> 01:11:22,50 	holding both of her hands, he pushes her away, then pulls her in with her back against him.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS554 	01:13:59,00 --> 01:14:04,50 	the doors start to close again and someone pushes them open.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS150 	00:25:46,00 --> 00:25:55,50 	now in a downpour, a burly bearded man in a raincoat pushes a wheelbarrow full of mulch.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS310 	00:50:00,00 --> 00:50:06,50 	later, someone pushes a wheelbarrow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS678 	01:39:05,00 --> 01:39:13,50 	later, as someone pushes a measuring wheel over the footpath, a camel walks beside him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS762 	01:48:25,00 --> 01:48:37,50 	he frowns 	and pushes himself up a little.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS450 	01:02:51,00 --> 01:03:02,50 	someone holds her 	side, but someone pushes him down and takes a shot.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS453 	01:03:06,00 --> 01:03:11,50 	he sinks a shot and she pushes him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS738 	01:37:39,00 --> 01:37:47,50 	she pushes a bass player out of the way and sings into a microphone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS530 	00:48:45,00 --> 00:48:52,50 	she opens a small metal box on a desk and pushes a button inside.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1067 	01:36:34,00 --> 01:36:42,50 	with wide eyes, he crosses the bridge, pushes a fellow officer out of his way, and presses a button.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1137 	01:41:45,00 --> 01:41:52,50 	in the cockpit, beast pushes a lever, firing the jet's twin engines.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1335 	02:01:38,00 --> 02:01:44,50 	someone pushes his wheelchair, then stops and faces him.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS367 	01:10:19,00 --> 01:10:24,50 	she tries to kiss him but someone pushes away.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS411 	01:19:20,00 --> 01:19:25,50 	as he slips them off, someone pushes them down with one foot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS191 	00:18:56,00 --> 00:19:04,50 	later, they push it down the road.
ZOMBIELAND.srt 	ZOMBIELAND_DVS594 	01:08:53,00 --> 01:09:00,50 	as someone pushes himself up, someone pulls an suv out of the garage.
ZOMBIELAND.srt 	ZOMBIELAND_DVS713 	01:18:06,00 --> 01:18:13,50 	he pushes out a breath as he eyes the clown.
ZOMBIELAND.srt 	ZOMBIELAND_DVS732 	01:19:17,00 --> 01:19:25,50 	he gently brushes someone's hair out of her face and pushes it back behind her ear.
ZOOKEEPER.srt 	ZOOKEEPER_DVS214 	00:47:54,00 --> 00:47:58,50 	with the music, someone pushes his door.
ZOOKEEPER.srt 	ZOOKEEPER_DVS353 	01:19:07,00 --> 01:19:21,50 	pushing the ferrari's passenger seat forward, he indicates the trunk.
