21_JUMP_STREET.srt 	21_JUMP_STREET_DVS185 	00:31:24,00 --> 00:31:32,50 	moving further inside the two undercover cops find the handsome, sensitive teen
PROMETHEUS.srt 	PROMETHEUS_DVS155 	00:09:47,00 --> 00:09:51,50 	moving on, he bounces the ball.
PROMETHEUS.srt 	PROMETHEUS_DVS168 	00:11:26,00 --> 00:11:34,50 	later, he moves through a dark corridor.
PROMETHEUS.srt 	PROMETHEUS_DVS171 	00:11:49,00 --> 00:11:55,50 	frowning, someone moves to a panel and types.
PROMETHEUS.srt 	PROMETHEUS_DVS283 	00:28:08,00 --> 00:28:14,50 	the mohawked man moves down a few spots.
PROMETHEUS.srt 	PROMETHEUS_DVS286 	00:28:17,00 --> 00:28:23,50 	in the transport, holloway moves close to someone.
PROMETHEUS.srt 	PROMETHEUS_DVS382 	00:38:33,00 --> 00:38:40,50 	as a pup moves in to scan the revealed chamber, someone kneels just on the other side of the door.
PROMETHEUS.srt 	PROMETHEUS_DVS384 	00:38:44,00 --> 00:38:51,50 	holloway moves further inside transfixed by an enormous humanoid bust.
PROMETHEUS.srt 	PROMETHEUS_DVS391 	00:39:22,00 --> 00:39:28,50 	holloway moves deeper in through the evenly spaced urns.
PROMETHEUS.srt 	PROMETHEUS_DVS402 	00:40:23,00 --> 00:40:29,50 	someone moves her flashlight beam across the high ceiling.
PROMETHEUS.srt 	PROMETHEUS_DVS421 	00:42:39,00 --> 00:42:50,50 	from a long distance, the storm appears as a swiftly moving wall of roiling dirt.
PROMETHEUS.srt 	PROMETHEUS_DVS436 	00:44:26,00 --> 00:44:33,50 	later as they move through the hanger, a crew member blasts the floor with a flame thrower.
PROMETHEUS.srt 	PROMETHEUS_DVS439 	00:45:43,00 --> 00:45:59,50 	the two trapped men move on through the dark cramped space.
PROMETHEUS.srt 	PROMETHEUS_DVS476 	00:50:15,00 --> 00:50:24,50 	tensing her jaw, someone takes a deep breath through her nose and moves her hand towards someone's mouth as if to smother him.
PROMETHEUS.srt 	PROMETHEUS_DVS641 	01:09:27,00 --> 01:09:33,50 	the team moves through the dark, treacherous space.
PROMETHEUS.srt 	PROMETHEUS_DVS780 	01:23:56,00 --> 01:24:06,50 	as she makes a selection on the overhead screen, the alien's four tentacles spread open and it moves its head.
PROMETHEUS.srt 	PROMETHEUS_DVS796 	01:25:27,00 --> 01:25:36,50 	he cocks his head, then moves closer to someone who sits crouched on the ground with his legs bent forward over his shoulders.
PROMETHEUS.srt 	PROMETHEUS_DVS1007 	01:50:01,00 --> 01:50:10,50 	wet with condensation, the doors windows show the med pod moving on its own in the flickering light.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS36 	00:05:53,00 --> 00:06:11,50 	someone struggles to keep his grip while holding on to the moving car himself.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS39 	00:06:21,00 --> 00:06:33,50 	someone lingers for a moment, then climbs into the back of the moving sedan.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS42 	00:06:53,00 --> 00:06:58,50 	out of the moving vehicle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS50 	00:08:35,00 --> 00:08:52,50 	a clean-cut man wearing suspenders swiftly moves after him toting a rifle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS284 	00:54:03,00 --> 00:54:12,50 	someone's plane moves closer.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS391 	01:15:08,00 --> 01:15:23,50 	as they exit the theater, someone moves closer to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS474 	01:30:05,00 --> 01:30:09,50 	someone to his feet and they move on.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS567 	01:45:43,00 --> 01:45:49,50 	things and move out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS673 	02:06:23,00 --> 02:06:44,50 	as someone lies dying, his lips move.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS197 	00:47:30,00 --> 00:47:36,50 	someone moves from his place beside the king's throne.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS334 	01:22:27,00 --> 01:22:32,50 	he moves in close to her face, seething.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS112 	00:20:15,00 --> 00:20:23,50 	moving through the foyer, he switches off the table lamp.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS392 	01:02:58,00 --> 01:03:05,50 	moving hesitantly, he turns on a bedside lamp and shifts his tempted gaze.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS445 	01:08:08,00 --> 01:08:14,50 	she moves into a curled shoulder stand and jiggles.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS588 	01:27:45,00 --> 01:27:51,50 	our view moves down her body to her feet.
SALT.srt 	SALT_DVS248 	00:42:54,00 --> 00:43:07,50 	depositing her backpack on the bed, she moves through the space, examining it with a keen perceptive gaze.
SALT.srt 	SALT_DVS260 	00:45:51,00 --> 00:46:03,50 	someone moves through the crowd, keeping an eye on him.
SALT.srt 	SALT_DVS267 	00:47:03,00 --> 00:47:10,50 	someone drops the newspaper by the door and moves away as it smolders.
SALT.srt 	SALT_DVS273 	00:48:00,00 --> 00:48:08,50 	the commander-in-chief moves aside, matveyev sidles into his row and nods at the first lady.
SALT.srt 	SALT_DVS275 	00:48:20,00 --> 00:48:35,50 	on a mezzanine balcony, someone gazes down on the nave as the president moves toward a podium.
SALT.srt 	SALT_DVS298 	00:52:27,00 --> 00:52:37,50 	someone reacts to the sound and moves toward it.
SALT.srt 	SALT_DVS310 	00:54:38,00 --> 00:54:53,50 	now the three vehicle police convoy moves down a vacant city street.
SANCTUM.srt 	SANCTUM_DVS22 	00:05:26,00 --> 00:05:40,50 	he gets up and moves a large backpack.
SANCTUM.srt 	SANCTUM_DVS385 	01:16:30,00 --> 01:16:38,50 	someone moves to his son's ledge and crouches.
SANCTUM.srt 	SANCTUM_DVS450 	01:24:48,00 --> 01:24:54,50 	as someone moves forward, his light fades out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS113 	00:07:42,00 --> 00:07:46,50 	the stepmother moves in close.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS357 	00:24:03,00 --> 00:24:08,50 	with someone tugging her arm, someone reluctantly moves on, but her face remains turned toward her cheerful mother.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS453 	00:29:56,00 --> 00:30:02,50 	moving closer to the bright panel, she sees rows of chinese characters.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1235 	01:22:54,00 --> 01:23:00,50 	moving hesitantly, she ventures a look at someone through her glistening eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS84 	00:16:36,00 --> 00:16:44,50 	he collects pages off the floor, then moves among the lecture seats, where a paper sits at a young woman's feet.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS169 	00:33:21,00 --> 00:33:32,50 	it starts to move.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS251 	00:50:21,00 --> 00:50:40,50 	crouching at the wall beneath the stairs, he moves a poster board aside.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS337 	01:10:39,00 --> 01:10:47,50 	he moves to the opponent beats him to the punch.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS384 	01:21:19,00 --> 01:21:24,50 	as they move out of view, light flashes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS447 	01:35:07,00 --> 01:35:25,50 	he then moves his fingers to his own forehead.
SOUL_SURFER.srt 	SOUL_SURFER_DVS192 	01:00:45,00 --> 01:00:52,50 	someone moves off with a sneer.
SPARKLE_2012.srt 	SPARKLE_2012_DVS117 	00:19:05,00 --> 00:19:12,50 	she moves her body closer to his as they dance.
SPARKLE_2012.srt 	SPARKLE_2012_DVS348 	00:57:09,00 --> 00:57:16,50 	the trio moves forward, provocatively swaying their hips with each snap.
SPARKLE_2012.srt 	SPARKLE_2012_DVS417 	01:09:50,00 --> 01:09:55,50 	someone moves toward someone's table.
SUPER_8.srt 	SUPER_8_DVS50 	00:07:21,00 --> 00:07:26,50 	he moves into the living room then walks down a hallway.
SUPER_8.srt 	SUPER_8_DVS462 	01:21:22,00 --> 01:21:28,50 	moving closer to the door, someone stops and glances back at someone.
SUPER_8.srt 	SUPER_8_DVS526 	01:28:43,00 --> 01:28:47,50 	they move to another door.
SUPER_8.srt 	SUPER_8_DVS527 	01:28:47,00 --> 01:28:53,50 	they moved to a set of double doors and ram them with their shoulders.
SUPER_8.srt 	SUPER_8_DVS545 	01:31:32,00 --> 01:31:40,50 	as they move closer someone turns and finds himself face-to-face with sheriff pruit who hangs upside down.
SUPER_8.srt 	SUPER_8_DVS573 	01:35:18,00 --> 01:35:25,50 	elsewhere, the creature moves through a tunnel as the light from fireworks flickers on the walls.
SUPER_8.srt 	SUPER_8_DVS625 	01:41:19,00 --> 01:41:25,50 	someone grips the necklace chain as the locket moves toward the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS118 	00:17:50,00 --> 00:17:56,50 	someone crouches and peers under the cabinet, then stands and moves it away from the wall.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS120 	00:18:13,00 --> 00:18:20,50 	moving to a lamp, someone unscrews the tube, opens it and pulls out a slip of paper.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS157 	00:24:23,00 --> 00:24:28,50 	the abductor's red moving van drives away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS218 	00:31:45,00 --> 00:31:50,50 	they move the man into the captain's cabin.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS222 	00:33:58,00 --> 00:34:03,50 	they dash upstairs as the thugs move on.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS264 	00:39:22,00 --> 00:39:28,50 	someone moves to a neighboring lifeboat and checks under its tarp as he readies it.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS161 	00:33:45,00 --> 00:33:56,50 	as someone moves on someone hands him a shot.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS211 	00:40:58,00 --> 00:41:07,50 	wearing a coiled white scarf, someone moves to a painting of two red rectangles below a white one.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS214 	00:41:26,00 --> 00:41:34,50 	someone shrugs, then moves to another painting.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS363 	01:11:33,00 --> 01:11:42,50 	as they share a series of soft gentle kisses, her hand moves up to his shoulder.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS406 	01:18:05,00 --> 01:18:13,50 	as she passes obliviously behind her own portrait, moving with slow deliberate steps,
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS412 	01:17:09,00 --> 01:17:16,50 	someone moves from the door, his eyes fixed on the photo, and his lips parted.
THE_CALL.srt 	THE_CALL_DVS385 	00:30:54,00 --> 00:31:02,50 	the maroon sedan speeds beneath an overpass, moving easily with other cars in light traffic.
THE_CALL.srt 	THE_CALL_DVS463 	00:34:50,00 --> 00:34:55,50 	moving a tarp, her eyes widen.
THE_CALL.srt 	THE_CALL_DVS491 	00:37:56,00 --> 00:38:02,50 	someone uncaps the other paint can and moves it to the hole.
THE_CALL.srt 	THE_CALL_DVS564 	00:43:04,00 --> 00:43:10,50 	moving to the trunk, someone nods to someone and he swings it open.
THE_CALL.srt 	THE_CALL_DVS573 	00:43:56,00 --> 00:44:05,50 	turning her head, she pushes his face off her shoulder and moves an arm from her torso then quickly retrieves the phone.
THE_CALL.srt 	THE_CALL_DVS609 	00:46:52,00 --> 00:46:59,50 	from overhead, cars move along a curvy freeway cutting through mountains.
THE_CALL.srt 	THE_CALL_DVS660 	00:51:39,00 --> 00:51:48,50 	the attendant shrugs and moves away.
THE_CALL.srt 	THE_CALL_DVS818 	01:01:47,00 --> 01:01:57,50 	in the hive, someone and her coworkers listen as the office ers move through the dark cottage.
THE_CALL.srt 	THE_CALL_DVS910 	01:10:02,00 --> 01:10:08,50 	from behind the door, we watch as she moves the flashlight across the mantle.
THE_CALL.srt 	THE_CALL_DVS912 	01:10:11,00 --> 01:10:17,50 	someone spots an open doorway and moves into the next room.
THE_CALL.srt 	THE_CALL_DVS916 	01:10:21,00 --> 01:10:28,50 	moving through the space, she enters another room filled with boxed belongings.
THE_CALL.srt 	THE_CALL_DVS978 	01:15:11,00 --> 01:15:19,50 	she moves to her right and sees a white plastic lawn chair with a work light hung above it.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS364 	00:56:43,00 --> 00:56:50,50 	now, a hula girl doll bobbles on the dashboard of a moving vehicle.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS448 	01:07:55,00 --> 01:08:06,50 	he moves with a rhythmic, purposeful gait, glancing occasionally over the slate-hued water.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS543 	01:19:02,00 --> 01:19:09,50 	moving around the house, they find mrs. speer coming out onto the back porch.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS355 	00:42:36,00 --> 00:42:45,50 	someone watches as she moves closer, her shrewd eyes scanning the photos and facts on each family member.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS367 	00:45:13,00 --> 00:45:18,50 	he rises and moves to the front of his desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS381 	00:46:12,00 --> 00:46:18,50 	as he moves her hand against the front of his pants,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS399 	00:47:27,00 --> 00:47:33,50 	he gives her a friendly smile then moves out from behind his desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS437 	00:52:06,00 --> 00:52:12,50 	someone starts to move past his ward then stops in front of her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS461 	00:53:39,00 --> 00:53:46,50 	as someone moves up beside her she flails and kicks desperately.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS488 	00:55:52,00 --> 00:55:58,50 	the journalist moves his reading glasses to his brow
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS491 	00:56:07,00 --> 00:56:15,50 	out view sinks down, moving closer to the side of the sofa until darkness fills our view.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS541 	01:01:08,00 --> 01:01:15,50 	moving a box of research materials someone drops some folders and envelopes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS834 	01:34:56,00 --> 01:35:01,50 	he moves to a window and peers inside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS838 	01:35:09,00 --> 01:35:19,50 	his foot kicks an empty bottle on the floor as he moves into a neglected room scattered with papers, books, and trash.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS841 	01:35:25,00 --> 01:35:32,50 	moving to a box of books he picks up a children's paperback and flips through it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS873 	01:37:25,00 --> 01:37:30,50 	as he swigs from the bottle she moves closer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS888 	01:39:04,00 --> 01:39:11,50 	they kiss and then she moves her mouth lower and bites his nipple.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1025 	01:50:22,00 --> 01:50:30,50 	now someone moves around the perimeter of someone's house.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1376 	02:27:48,00 --> 02:27:54,50 	she moves to a balcony's open door and lights up.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS327 	01:54:17,00 --> 01:54:22,50 	someone's cursor moves to the send request button.
THE_VOW.srt 	THE_VOW_DVS139 	00:14:26,00 --> 00:14:34,50 	his fingers move to the buttons on her top.
THE_VOW.srt 	THE_VOW_DVS176 	00:19:07,00 --> 00:19:14,50 	she moves down the serving line.
THE_VOW.srt 	THE_VOW_DVS197 	00:23:55,00 --> 00:23:59,50 	she moves off.
THE_VOW.srt 	THE_VOW_DVS383 	00:53:58,00 --> 00:54:03,50 	he moves to her unfinished piece.
THE_VOW.srt 	THE_VOW_DVS421 	00:58:31,00 --> 00:58:37,50 	she moves stiffly past someones doctor and leaves the room.
THE_VOW.srt 	THE_VOW_DVS541 	01:14:31,00 --> 01:14:36,50 	someone moves unhappily through the crowd.
THE_VOW.srt 	THE_VOW_DVS545 	01:14:44,00 --> 01:14:50,50 	she fails to notice him and he moves on sullenly.
THE_VOW.srt 	THE_VOW_DVS559 	01:16:40,00 --> 01:16:46,50 	moving past him, someone leaves the terrace.
THE_WATCH.srt 	THE_WATCH_DVS176 	00:32:31,00 --> 00:32:36,50 	something moves alongside of it.
THE_WATCH.srt 	THE_WATCH_DVS202 	00:36:30,00 --> 00:36:37,50 	it lights up and its sections move.
THE_WATCH.srt 	THE_WATCH_DVS258 	00:48:20,00 --> 00:48:25,50 	they move through a shadowy garden wafting with mist.
THE_WATCH.srt 	THE_WATCH_DVS261 	00:48:43,00 --> 00:48:49,50 	a few yards ahead, the branches of a thick cluster of bushes move.
THE_WATCH.srt 	THE_WATCH_DVS397 	01:12:02,00 --> 01:12:06,50 	someone slowly moves to someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS115 	00:33:30,00 --> 00:33:34,50 	he spots two guys moving a chair.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS278 	01:15:43,00 --> 01:15:50,50 	he moves closer.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS516 	01:54:33,00 --> 01:54:37,50 	she moves closer.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS34 	00:04:20,00 --> 00:04:35,50 	he glances up at the skyscraper then moves to someone's body which lies sprawled on the car's crushed roof.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS36 	00:04:35,00 --> 00:04:42,50 	an aerial view shows him moving away from the crash as bystanders crowd closer.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS161 	00:31:11,00 --> 00:31:17,50 	as his colleagues move on, someone shifts his gaze.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS224 	00:41:53,00 --> 00:41:59,50 	as a bouncer moves aside, someone faces his partner.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS282 	00:52:36,00 --> 00:52:44,50 	as someone moves on to the terrier's cage, the tiny mutt springs out and attacks someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS426 	01:16:48,00 --> 01:16:54,50 	now someone is bare feet, move up and down.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS469 	00:50:20,00 --> 00:50:25,50 	to move by itself and a lamp tips.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS527 	00:58:23,00 --> 00:58:28,50 	the father moves his hand toward someone's.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS857 	01:31:08,00 --> 01:31:13,50 	moving down the aisle, he sits beside someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS294 	01:03:14,00 --> 01:03:19,50 	two of the riders move closer to someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS389 	01:18:48,00 --> 01:18:57,50 	she passes between slender leafless trees crossing the snow dappled ground to the edge of a shallow, fast moving river.
TRUE_GRIT.srt 	TRUE_GRIT_DVS477 	01:31:54,00 --> 01:32:00,50 	still astride his horse, someone doesn't move a muscle.
TRUE_GRIT.srt 	TRUE_GRIT_DVS507 	01:34:17,00 --> 01:34:21,50 	it starts to move.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS249 	00:23:40,00 --> 00:23:45,50 	the cat moves farther away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS536 	01:12:00,00 --> 01:12:06,50 	she twirls away, then moves back into his arms.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS137 	00:24:27,00 --> 00:24:35,50 	now the family's suv drives through the neighborhood, followed by a mayflower moving truck.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS143 	00:25:03,00 --> 00:25:18,50 	the suv now leads the moving truck onto the zoo property.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS148 	00:25:34,00 --> 00:25:45,50 	she moves along the dingy windows, continuing to wave as she watches them drive on.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS152 	00:26:01,00 --> 00:26:06,50 	she watches the mees move in.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS169 	00:29:24,00 --> 00:29:27,50 	he moves off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS323 	00:52:27,00 --> 00:52:35,50 	as someone moves off, someone faces his colleagues and emphatically mouths, wow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS354 	00:57:05,00 --> 00:57:15,50 	the bear moves 	to the driver side window.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS385 	01:00:54,00 --> 01:01:07,50 	meanwhile, a flashlight's beam moves back and forth in 	the sky as someone and someone lie side by side on the roof.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS477 	01:14:37,00 --> 01:14:45,50 	he moves the cursor down the desktop photo of someone and someone to a row of icons at the bottom.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS478 	01:14:43,00 --> 01:14:49,50 	the cursor moves along the monitor's dock to the iphoto application.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS545 	01:23:54,00 --> 01:23:58,50 	she moves past him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS149 	00:19:01,00 --> 00:19:07,50 	her jaw drops open and she moves his arm off of her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS316 	00:44:39,00 --> 00:44:43,50 	a puppet moves in beside them.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS430 	01:01:04,00 --> 01:01:08,50 	he moves to her spot on the court.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS175 	00:13:29,00 --> 00:13:35,50 	as he moves to a couch, she flops down next to him and nestles.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS327 	00:24:40,00 --> 00:24:49,50 	his aim sweeps toward the tailor and the trigger moves.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS493 	00:45:10,00 --> 00:45:20,50 	someone flips more switches and a strip of paper begins to move like a conveyor belt under the arms of a chart recorder.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS798 	01:11:51,00 --> 01:11:59,50 	now a massive russian ship, named aral sea, slowly moves across the ocean.
ZOMBIELAND.srt 	ZOMBIELAND_DVS29 	00:03:08,00 --> 00:03:13,50 	as titles appear, images move in slow motion.
ZOMBIELAND.srt 	ZOMBIELAND_DVS159 	00:16:11,00 --> 00:16:16,50 	he quickly moves his hand to his hoodie and fidgets with it.
ZOMBIELAND.srt 	ZOMBIELAND_DVS232 	00:25:21,00 --> 00:25:26,50 	someone moves away and little someone's shoulders sag.
ZOMBIELAND.srt 	ZOMBIELAND_DVS356 	00:40:46,00 --> 00:40:51,50 	now as the horizon glows dimly, the hummer moves through a low fog.
ZOMBIELAND.srt 	ZOMBIELAND_DVS526 	01:01:36,00 --> 01:01:43,50 	in reply, he lets his hands move from her hips to the small of her back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS571 	01:06:42,00 --> 01:06:46,50 	someone moves out.
ZOMBIELAND.srt 	ZOMBIELAND_DVS618 	01:10:45,00 --> 01:10:49,50 	the seats stop moving.
ZOOKEEPER.srt 	ZOOKEEPER_DVS259 	00:56:36,00 --> 00:56:41,50 	watches them move to the bar.
ZOOKEEPER.srt 	ZOOKEEPER_DVS269 	00:59:28,00 --> 00:59:36,50 	she moves off and waves her arms at the dj on a balcony, then returns to her date.
ZOOKEEPER.srt 	ZOOKEEPER_DVS283 	01:01:23,00 --> 01:01:27,50 	as they move apart, we see someone watching.
ZOOKEEPER.srt 	ZOOKEEPER_DVS294 	01:04:50,00 --> 01:04:57,50 	moving his arms like a robot, he clanks a fork and knife together.
ZOOKEEPER.srt 	ZOOKEEPER_DVS415 	01:30:44,00 --> 01:30:49,50 	they move for the support beam.
