21_JUMP_STREET.srt 	21_JUMP_STREET_DVS70 	00:07:48,00 --> 00:07:55,50 	pulling out in front of the bearded bikers, someone gets off his bike and draws his gun.
COLOMBIANA.srt 	COLOMBIANA_DVS324 	00:28:31,00 --> 00:28:37,50 	a police cruiser pulls up by the wrecked car.
COLOMBIANA.srt 	COLOMBIANA_DVS348 	00:31:23,00 --> 00:31:27,50 	now a bus pulls up in an alley.
COLOMBIANA.srt 	COLOMBIANA_DVS362 	00:32:54,00 --> 00:33:01,50 	reaching into her shaggy black locks, she pulls out a small hairpin.
COLOMBIANA.srt 	COLOMBIANA_DVS367 	00:33:09,00 --> 00:33:15,50 	removes her bra, and pulls up a stretchy top attached to the leggings.
COLOMBIANA.srt 	COLOMBIANA_DVS388 	00:34:50,00 --> 00:34:56,50 	climbs into the air duct, and pulls up the vent cover.
COLOMBIANA.srt 	COLOMBIANA_DVS449 	00:39:37,00 --> 00:39:42,50 	the cop leaves and she pulls herself up.
COLOMBIANA.srt 	COLOMBIANA_DVS452 	00:39:50,00 --> 00:39:56,50 	someone pulls herself into an air duct as an officer comes over.
COLOMBIANA.srt 	COLOMBIANA_DVS488 	00:43:11,00 --> 00:43:17,50 	she opens a locker, and pulls out a purse and a travel bag.
COLOMBIANA.srt 	COLOMBIANA_DVS519 	00:47:02,00 --> 00:47:07,50 	she pulls off her hat then removes her flannel shirt,
COLOMBIANA.srt 	COLOMBIANA_DVS558 	00:51:17,00 --> 00:51:25,50 	grinning, she pulls her dress off over her head to reveal her black bra and matching panties.
COLOMBIANA.srt 	COLOMBIANA_DVS569 	00:51:55,00 --> 00:52:01,50 	padding into the living area, she picks her dress up off the floor and pulls it on.
COLOMBIANA.srt 	COLOMBIANA_DVS574 	00:52:15,00 --> 00:52:23,50 	turning, he pulls up onto a sidewalk and parks beneath an overhanging roof at a building's entrance.
COLOMBIANA.srt 	COLOMBIANA_DVS615 	00:58:19,00 --> 00:58:25,50 	outside, a van pulls into the estate and stops in front of the mansion.
COLOMBIANA.srt 	COLOMBIANA_DVS618 	00:58:37,00 --> 00:58:41,50 	as someone supervises the men, someone rolls out from the under the van just before it pulls away.
COLOMBIANA.srt 	COLOMBIANA_DVS762 	01:13:44,00 --> 01:13:49,50 	in a police station, someone pulls it up on her computer.
COLOMBIANA.srt 	COLOMBIANA_DVS911 	01:26:25,00 --> 01:26:31,50 	she pulls out a newspaper clipping and tearfully holds it out.
COLOMBIANA.srt 	COLOMBIANA_DVS946 	01:31:12,00 --> 01:31:18,50 	now the truck's headlights switch on and the vehicle pulls out of its spot.
COLOMBIANA.srt 	COLOMBIANA_DVS986 	01:34:28,00 --> 01:34:34,50 	the gunman tosses it over and someone pulls its pin.
COLOMBIANA.srt 	COLOMBIANA_DVS1028 	01:37:22,00 --> 01:37:32,50 	she wraps a towel around his gun wielding wrist and pulls down as if operating a lever, using her own shoulder as a fulcrum to break his arm.
COLOMBIANA.srt 	COLOMBIANA_DVS1041 	01:38:14,00 --> 01:38:24,50 	pushing himself to his feet, someone moves to someone and pulls her hair.
COLOMBIANA.srt 	COLOMBIANA_DVS1064 	01:39:37,00 --> 01:39:46,50 	with a frantic look, he pulls onto the main road leading out of his estate, passes through the front gate and swerves onto a street.
COLOMBIANA.srt 	COLOMBIANA_DVS1099 	01:43:56,00 --> 01:44:02,50 	its door closes after her and the vehicle pulls into the road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS90 	00:13:19,00 --> 00:13:30,50 	he pulls out a set of keys and hands them to someone, who ambles toward the door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS114 	00:17:20,00 --> 00:17:28,50 	now the someone family car pulls up in front of someone's house.
DEAR_JOHN.srt 	DEAR_JOHN_DVS154 	00:24:31,00 --> 00:24:36,50 	she pulls at the door knobs, but he yanks the doors open.
DEAR_JOHN.srt 	DEAR_JOHN_DVS167 	00:26:31,00 --> 00:26:36,50 	pulling her closer, someone kisses her brow.
DEAR_JOHN.srt 	DEAR_JOHN_DVS180 	00:29:00,00 --> 00:29:04,50 	someone pulls him aside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS185 	00:29:29,00 --> 00:29:40,50 	an suv rounds a turn, pulls up beside him, and continues on.
DEAR_JOHN.srt 	DEAR_JOHN_DVS206 	00:32:22,00 --> 00:32:32,50 	someone follows his gaze to find someone's car pulling up outside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS216 	00:34:07,00 --> 00:34:17,50 	a window shows someone's car pulling away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS224 	00:34:48,00 --> 00:34:58,50 	the bus pulls away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS336 	00:51:33,00 --> 00:51:39,50 	now someone's car pulls onto a private road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS364 	00:58:10,00 --> 00:58:22,50 	someone clasps someone's head in her hands, then wraps her arms around his neck and pulls him into a tight embrace.
DEAR_JOHN.srt 	DEAR_JOHN_DVS373 	00:59:23,00 --> 00:59:29,50 	propped up by his arms, as she pulls his undershirt over his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS503 	01:13:09,00 --> 01:13:19,50 	standing in front of the mirror in his uniform, he pulls his belt tight around his waist.
DEAR_JOHN.srt 	DEAR_JOHN_DVS538 	01:16:51,00 --> 01:16:59,50 	now, he pulls open a drawer and finds a jumble of dozens of coins in small boxes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS571 	01:21:17,00 --> 01:21:24,50 	someone pulls his hand away and places his palm against someone's cheek.
DEAR_JOHN.srt 	DEAR_JOHN_DVS580 	01:21:52,00 --> 01:21:59,50 	someone sits beside his surfboard with his knees pulled up, and his head bowed.
DEAR_JOHN.srt 	DEAR_JOHN_DVS604 	01:23:27,00 --> 01:23:36,50 	the car pulls through the gate of someone's family home.
DEAR_JOHN.srt 	DEAR_JOHN_DVS605 	01:23:33,00 --> 01:23:40,50 	slowing, the car pulls up alongside the corral beside the modest stables.
DEAR_JOHN.srt 	DEAR_JOHN_DVS699 	01:34:54,00 --> 01:34:59,50 	someone pulls her into his arms.
DEAR_JOHN.srt 	DEAR_JOHN_DVS716 	01:36:15,00 --> 01:36:23,50 	someone turns away pulls a flannel shirt over her shoulders.
DEAR_JOHN.srt 	DEAR_JOHN_DVS754 	01:38:35,00 --> 01:38:43,50 	then pulls them out.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS99 	00:24:07,00 --> 00:24:12,50 	she pulls the jesus mouse out of his pocket.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS111 	00:29:22,00 --> 00:29:26,50 	he pulls himself along.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS124 	00:29:58,00 --> 00:30:04,50 	someone pulls a comedy sad face and types
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS184 	00:42:19,00 --> 00:42:24,50 	he pulls someone's shoulders back.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS236 	00:59:25,00 --> 00:59:31,50 	someone pulls a pillow over his head to block out someone's laughter.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS260 	01:03:05,00 --> 01:03:10,50 	someone pulls a face and gets the phone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS267 	01:04:42,00 --> 01:04:47,50 	someone seethes and pulls up a chair.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS278 	01:09:51,00 --> 01:09:58,50 	as someone watches her go, someone pulls up in someone's porsche boxster.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS332 	01:19:11,00 --> 01:19:17,50 	he pulls a cloth cover off it and undoes the catches.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS337 	01:20:10,00 --> 01:20:19,50 	the porsche pulls up in front of someone's palatial home.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS417 	01:43:06,00 --> 01:43:10,50 	fire trucks pull up
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS436 	01:46:59,00 --> 01:47:07,50 	someone and someone pull away and gaze at each other.
DISTRICT_9.srt 	DISTRICT_9_DVS147 	00:17:08,00 --> 00:17:12,50 	he pulls a tube.
DISTRICT_9.srt 	DISTRICT_9_DVS311 	00:34:18,00 --> 00:34:29,50 	someone pulls into the driveway and gets out of the car.
DISTRICT_9.srt 	DISTRICT_9_DVS438 	00:48:20,00 --> 00:48:31,50 	an mnu vehicle pulls into a nearby clearing.
DISTRICT_9.srt 	DISTRICT_9_DVS440 	00:48:40,00 --> 00:48:56,50 	he ducks lower into the grass as the truck pulls out of the clearing.
DISTRICT_9.srt 	DISTRICT_9_DVS443 	00:49:29,00 --> 00:49:57,50 	someone lies on the floor using a thin cushion of foam as a mattress, and pulls a wide sheet of cardboard over himself like a blanket.
DISTRICT_9.srt 	DISTRICT_9_DVS521 	01:00:48,00 --> 01:00:58,50 	he pulls hard on a bloody flap of human skin on his love handle, then lets it hang loose.
DISTRICT_9.srt 	DISTRICT_9_DVS561 	01:06:24,00 --> 01:06:29,50 	they pull someone's jacket off.
DISTRICT_9.srt 	DISTRICT_9_DVS562 	01:06:29,00 --> 01:06:39,50 	the gang leader pulls out a knife and pricks the alien flesh.
DISTRICT_9.srt 	DISTRICT_9_DVS629 	01:13:44,00 --> 01:13:52,50 	someone pulls out and speeds through the garage.
DISTRICT_9.srt 	DISTRICT_9_DVS659 	01:17:16,00 --> 01:17:32,50 	someone sits in the chair and pulls down a harness, which engages the seat to move forward to a control station.
DISTRICT_9.srt 	DISTRICT_9_DVS748 	01:28:32,00 --> 01:28:40,50 	a mercenary pulls the pin from a smoke grenade and tosses it.
EASY_A.srt 	EASY_A_DVS71 	00:25:39,00 --> 00:25:43,50 	she pulls him inside.
EASY_A.srt 	EASY_A_DVS110 	00:36:47,00 --> 00:36:53,50 	she pulls out a phallic object wrapped in tissue.
EASY_A.srt 	EASY_A_DVS116 	00:38:25,00 --> 00:38:32,50 	pulling bustiers from the shopping bags, she sits to work with a needle and thread.
EASY_A.srt 	EASY_A_DVS195 	01:00:50,00 --> 01:00:57,50 	someone pulls her into a hug.
EASY_A.srt 	EASY_A_DVS232 	01:12:28,00 --> 01:12:33,50 	she pulls back.
EASY_A.srt 	EASY_A_DVS251 	01:16:49,00 --> 01:16:55,50 	as she pulls away, he holds on to her hand.
EASY_A.srt 	EASY_A_DVS252 	01:16:56,00 --> 01:17:03,50 	she pulls it away, and opens the door.
EASY_A.srt 	EASY_A_DVS280 	01:23:51,00 --> 01:23:59,50 	someone pulls the slide of a band member's trombone, and poses with someone.
FLIGHT.srt 	FLIGHT_DVS44 	00:06:42,00 --> 00:06:47,50 	she pulls some bills from a bundle of cash.
FLIGHT.srt 	FLIGHT_DVS55 	00:09:59,00 --> 00:10:03,50 	someone takes the yoke and pulls back.
FLIGHT.srt 	FLIGHT_DVS67 	00:13:23,00 --> 00:13:30,50 	she pulls out a key as she reaches the door, only to discover it is slightly open.
FLIGHT.srt 	FLIGHT_DVS130 	00:25:37,00 --> 00:25:43,50 	smoke blocks someone's vision, as he is pulled away from the plane.
FLIGHT.srt 	FLIGHT_DVS200 	00:46:42,00 --> 00:46:49,50 	the car passes a dilapidated shed on the right, and pulls up to a large, older farmhouse.
FLIGHT.srt 	FLIGHT_DVS212 	00:47:54,00 --> 00:48:00,50 	he leans on a bureau, and pulls out a prescription bottle from his pocket.
FLIGHT.srt 	FLIGHT_DVS239 	00:50:21,00 --> 00:50:28,50 	he pulls out a bottle of liquor from a bowling bag, and tosses it aside.
FLIGHT.srt 	FLIGHT_DVS365 	00:58:54,00 --> 00:58:59,50 	someone pulls up to the apartment entrance, behind someone's car.
FLIGHT.srt 	FLIGHT_DVS528 	01:16:06,00 --> 01:16:12,50 	someone reaches for her son, and pulls him close.
FLIGHT.srt 	FLIGHT_DVS675 	01:31:25,00 --> 01:31:31,50 	he kisses her, and she allows him to pull her into an embrace.
FLIGHT.srt 	FLIGHT_DVS773 	01:37:33,00 --> 01:37:41,50 	he stops opposite a house in a quiet neighborhood, pulling up on the curb, barely missing a fire hydrant.
FLIGHT.srt 	FLIGHT_DVS897 	01:46:15,00 --> 01:46:19,50 	then pulls it open.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS114 	00:31:16,00 --> 00:31:22,50 	he pulls a shaggy teddy bear out from under the sheets.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS115 	00:31:31,00 --> 00:31:38,50 	she grabs his head by the hair, pulls his head to hers and pinches his tongue.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS202 	00:53:37,00 --> 00:53:54,50 	clad in a t-shirt and panties, she digs behind a sofa cushion, pulls out her cellphone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS267 	01:09:26,00 --> 01:09:31,50 	he slips out of bed without waking her and pulls his hand.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS353 	01:33:48,00 --> 01:33:55,50 	he removes his shoes, pulls out a chair at the table, and takes off his own pants.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS84 	00:48:02,00 --> 00:48:15,50 	the suv limo pulls over to a curb.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS127 	01:15:56,00 --> 01:16:03,50 	they share a kiss and someone pulls him into the modern industrial home.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS148 	01:25:39,00 --> 01:25:46,50 	someone crawls up behind someone and she pulls away from someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS19 	00:03:05,00 --> 00:03:14,50 	someone and someone head through a door and pull it shut.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS80 	00:12:39,00 --> 00:12:53,50 	the hatchback swerves and the suv pulls up to side swipe it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS108 	00:17:24,00 --> 00:17:47,50 	someone opens the rear hatch of his suv, pulls out an enormous rifle and hands it off to his brutish henchman.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS116 	00:18:59,00 --> 00:19:11,50 	as it pulls away, someone reaches out for it then slumps breathlessly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS136 	00:21:11,00 --> 00:21:19,50 	carrying a briefcase, he pulls out a sleek cellphone, slides it open and answers it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	the trucks pull into an area surrounded by towering stacks of shipping containers.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS223 	00:36:22,00 --> 00:36:26,50 	she pulls it off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS239 	00:38:06,00 --> 00:38:30,50 	as another guard pulls the pin on a grenade, ghost rider whips him and the grenade drops.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS252 	00:40:05,00 --> 00:40:13,50 	sitting in the control seat between two levers, he pulls one back and pushes the other forward.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS269 	00:42:05,00 --> 00:42:18,50 	pulling her out through the driver's side window, he dismounts his motorcycle and grips her by the arms.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS328 	00:49:58,00 --> 00:50:03,50 	he pulls up to the driver's side window.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS332 	00:50:20,00 --> 00:50:32,50 	it pulls up beside then passes someone who shakes his head at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS339 	00:51:13,00 --> 00:51:26,50 	he pulls out a sandwich.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS408 	00:59:44,00 --> 00:59:54,50 	as it pulls taut, it breaks from his skull with a fiery flash.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS433 	01:02:13,00 --> 01:02:22,50 	a monk pulls back the nervous boy's collar.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS454 	01:06:10,00 --> 01:06:17,50 	an ambulance pulls up to the archways of an ancient amphitheater's outer wall.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS459 	01:06:46,00 --> 01:06:51,50 	he pulls out someone, bound to a stretcher.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS563 	01:20:32,00 --> 01:20:39,50 	ghost rider pulls up beside a ruthless truck as its driver barks into a radio.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	ahead, an suv carrying gunmen pulls up beside ghost rider's truck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS568 	01:22:01,00 --> 01:22:11,50 	the rider tugs the chain, pulling him down and leaps over him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS577 	01:23:32,00 --> 01:23:58,50 	his flaming motorcycle pulls up alongside someone's vehicle then creeps ahead.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS582 	01:24:17,00 --> 01:24:27,50 	ghost rider pulls up beside it, dismounts from his motorcycle and marches toward the vehicle with a steady purposeful gait.
GREEN_ZONE.srt 	GREEN_ZONE_DVS191 	00:49:14,00 --> 00:49:28,50 	it pulls up in front of an abandoned mansion surrounded by rubble and someone climbs out of the passenger seat.
GREEN_ZONE.srt 	GREEN_ZONE_DVS306 	01:10:00,00 --> 01:10:05,50 	the humvee pulls out, followed by someone.
GROWN_UPS.srt 	GROWN_UPS_DVS123 	00:38:40,00 --> 00:38:44,50 	he pulls a moth from his mouth.
HUGO.srt 	HUGO_DVS98 	00:12:56,00 --> 00:13:00,50 	the white-haired man pulls down a gate as he closes his shop.
HUGO.srt 	HUGO_DVS171 	00:24:08,00 --> 00:24:13,50 	her dog pulls her away from the cafe.
HUGO.srt 	HUGO_DVS251 	00:35:39,00 --> 00:35:45,50 	someone pulls off a thin metal rod and drops it onto his worktable.
HUGO.srt 	HUGO_DVS305 	00:47:03,00 --> 00:47:08,50 	reaching out his hand, he pulls her up off the floor.
HUGO.srt 	HUGO_DVS370 	00:56:31,00 --> 00:56:38,50 	they look at someone, who pulls a folded piece of paper from an inner-jacket pocket.
HUGO.srt 	HUGO_DVS384 	00:58:33,00 --> 00:58:38,50 	someone pulls the door almost shut but immediately opens it.
HUGO.srt 	HUGO_DVS402 	01:00:21,00 --> 01:00:26,50 	someone grabs the box with both hands and pulls it forward.
HUGO.srt 	HUGO_DVS472 	01:09:06,00 --> 01:09:12,50 	someone pulls a tall, thick book from a shelf.
HUGO.srt 	HUGO_DVS539 	01:20:56,00 --> 01:21:01,50 	later, someone pulls a metal grate over the front of his shop.
HUGO.srt 	HUGO_DVS587 	01:25:05,00 --> 01:25:15,50 	pulling his shirt open with both hands, someone looks down at his torso, which is now a metallic framework filled with pistons and moving parts.
HUGO.srt 	HUGO_DVS622 	01:30:43,00 --> 01:30:48,50 	someone pulls his chair closer to a screen.
HUGO.srt 	HUGO_DVS770 	01:51:32,00 --> 01:51:42,50 	the inspector reaches down and pulls someone and the automaton safely onto the platform.
HUGO.srt 	HUGO_DVS773 	01:51:52,00 --> 01:51:56,50 	he pulls the boy through the crowd.
HUGO.srt 	HUGO_DVS807 	01:57:40,00 --> 01:57:48,50 	a man pulls off a bearded sheik's robes and skin, leaving a skeleton which collapses into a chair.
IN_TIME.srt 	IN_TIME_DVS46 	00:05:10,00 --> 00:05:17,50 	someone sets a flat metal box on a platform, then pulls a lever.
IN_TIME.srt 	IN_TIME_DVS89 	00:09:56,00 --> 00:10:03,50 	someone yanks him through the doorway, then uses the chain to pull the door shut behind them.
IN_TIME.srt 	IN_TIME_DVS118 	00:14:05,00 --> 00:14:12,50 	someone pulls up his sleeve and watches his clock seconds tick away.
IN_TIME.srt 	IN_TIME_DVS134 	00:15:25,00 --> 00:15:29,50 	pulling back his sleeve,
IN_TIME.srt 	IN_TIME_DVS163 	00:17:30,00 --> 00:17:34,50 	glancing around, he pulls it up.
IN_TIME.srt 	IN_TIME_DVS172 	00:18:40,00 --> 00:18:46,50 	pulling away, he gives his friend an expectant look.
IN_TIME.srt 	IN_TIME_DVS184 	00:19:52,00 --> 00:19:56,50 	the bus pulls away.
IN_TIME.srt 	IN_TIME_DVS248 	00:25:29,00 --> 00:25:43,50 	it pulls into a business plaza where luxury vehicles wait a curb.
IN_TIME.srt 	IN_TIME_DVS252 	00:26:00,00 --> 00:26:07,50 	stopping by a hotel's front doors, he pulls up his sleeve and checks his clock.
IN_TIME.srt 	IN_TIME_DVS342 	00:35:20,00 --> 00:35:27,50 	it pulls up to a vast opulent mansion with a column-framed entrance.
IN_TIME.srt 	IN_TIME_DVS422 	00:45:23,00 --> 00:45:34,50 	turning, he pulls through a corridor and out onto the front driveway.
IN_TIME.srt 	IN_TIME_DVS443 	00:47:56,00 --> 00:48:00,50 	she pulls up her long glove.
IN_TIME.srt 	IN_TIME_DVS586 	01:02:40,00 --> 01:02:47,50 	turning back, she places her hand against someone's neck and pulls him into a kiss.
IN_TIME.srt 	IN_TIME_DVS684 	01:14:07,00 --> 01:14:14,50 	she pulls out a time capsule and looks around.
IN_TIME.srt 	IN_TIME_DVS757 	01:20:07,00 --> 01:20:13,50 	the bus pulls away, revealing someone as he arrives at the curb.
IN_TIME.srt 	IN_TIME_DVS764 	01:20:45,00 --> 01:20:52,50 	behind the desk, the clerk pulls her sleeve down over her clock.
IN_TIME.srt 	IN_TIME_DVS768 	01:20:58,00 --> 01:21:04,50 	the minutemen's car pulls up next to a group of guys who scatter.
IN_TIME.srt 	IN_TIME_DVS797 	01:24:20,00 --> 01:24:25,50 	the fedora-wearing thug pulls someone along.
IN_TIME.srt 	IN_TIME_DVS842 	01:29:20,00 --> 01:29:28,50 	three limos pulled into the semi-circular driveway in front of a towering skyscraper.
IN_TIME.srt 	IN_TIME_DVS855 	01:30:30,00 --> 01:30:35,50 	smiling, someone pulls someone closer.
IN_TIME.srt 	IN_TIME_DVS915 	01:36:37,00 --> 01:36:45,50 	grabbing someone's hand, someone pulls her against the flow of the crowd which now hurries toward the mission.
IN_TIME.srt 	IN_TIME_DVS948 	01:39:46,00 --> 01:39:53,50 	pulling away, he lifts his thoughtful gaze to the cruiser atop the hill.
IN_TIME.srt 	IN_TIME_DVS958 	01:40:43,00 --> 01:40:47,50 	then pulls away and grins.
INSIDE_MAN.srt 	INSIDE_MAN_DVS64 	00:17:28,00 --> 00:17:40,50 	someone flips open another phone and pulls up its speed dial numbers.
INSIDE_MAN.srt 	INSIDE_MAN_DVS125 	00:36:10,00 --> 00:36:15,50 	three cops frisk the released man and pulls off the mask.
INSIDE_MAN.srt 	INSIDE_MAN_DVS188 	00:54:01,00 --> 00:54:10,50 	as our view pulls back from the vault, someone places the handheld device on the floor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS260 	01:20:01,00 --> 01:20:10,50 	as the detective descends, someone reaches into his pocket and pulls out a pack of gum.
INSIDE_MAN.srt 	INSIDE_MAN_DVS308 	01:32:47,00 --> 01:32:51,50 	he pulls at the inner surface of the drawer and yanks the front panel off.
INSIDE_MAN.srt 	INSIDE_MAN_DVS314 	01:33:36,00 --> 01:33:42,50 	as his cohorts gather, someone pulls up his mask.
INSIDE_MAN.srt 	INSIDE_MAN_DVS347 	01:40:02,00 --> 01:40:14,50 	outside, a police transport bus pulls to a stop at one end of the street.
IRON_MAN_2.srt 	IRON_MAN_2_DVS117 	00:22:50,00 --> 00:22:57,50 	he pulls out a passport and a ticket.
IRON_MAN_2.srt 	IRON_MAN_2_DVS133 	00:25:05,00 --> 00:25:11,50 	someone jabs at someone, who grabs his glove and pulls his arm, flipping him onto his back.
IRON_MAN_2.srt 	IRON_MAN_2_DVS175 	00:32:47,00 --> 00:32:58,50 	someone pulls off his helmet and glances through a smoky haze at someone, who snaps the whips out to each side.
IRON_MAN_2.srt 	IRON_MAN_2_DVS194 	00:36:07,00 --> 00:36:21,50 	someone slings iron man onto the hood of the limousine, then pulls him down onto his knees with one whip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS197 	00:36:42,00 --> 00:36:50,50 	reaching down toward someone's chest, iron man pulls the arc reactor out of someone's body frame.
IRON_MAN_2.srt 	IRON_MAN_2_DVS240 	00:43:54,00 --> 00:44:04,50 	the dark-haired guard pulls the bag from someone's head and leads him out of the van.
IRON_MAN_2.srt 	IRON_MAN_2_DVS269 	00:49:37,00 --> 00:49:48,50 	a black stretch limousine pulls up to a factory building.
IRON_MAN_2.srt 	IRON_MAN_2_DVS288 	00:53:23,00 --> 00:53:31,50 	outside, a line of cars pulls into someone's circular driveway.
IRON_MAN_2.srt 	IRON_MAN_2_DVS326 	00:58:34,00 --> 00:58:41,50 	he lies staring through the flames, then pulls his head out of the fire.
IRON_MAN_2.srt 	IRON_MAN_2_DVS355 	01:04:48,00 --> 01:04:55,50 	someone climbs the steps to the scaffold and pulls a control unit off the top of the suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS380 	01:11:51,00 --> 01:11:56,50 	he pulls a small cigar-shaped missile from the box.
IRON_MAN_2.srt 	IRON_MAN_2_DVS406 	01:16:05,00 --> 01:16:11,50 	he pulls to the side of the road, where a goateed vendor sells strawberries.
IRON_MAN_2.srt 	IRON_MAN_2_DVS433 	01:20:54,00 --> 01:20:59,50 	someone pulls off the sheet,
IRON_MAN_2.srt 	IRON_MAN_2_DVS587 	01:41:04,00 --> 01:41:18,50 	meanwhile, the silver car pulls up outside hammer industries and parks.
IRON_MAN_2.srt 	IRON_MAN_2_DVS658 	01:50:11,00 --> 01:50:19,50 	someone pulls someone close and punches his helmet.
IRON_MAN_2.srt 	IRON_MAN_2_DVS662 	01:50:23,00 --> 01:50:29,50 	someone pulls someone along as he marches over and stomps on someone's chest.
IRON_MAN_2.srt 	IRON_MAN_2_DVS666 	01:50:30,00 --> 01:50:39,50 	on someone's right, someone pulls someone toward him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS680 	01:52:08,00 --> 01:52:14,50 	pulling away from pepper, someone yanks off his sparking helmet and throws it down.
