21_JUMP_STREET.srt 	21_JUMP_STREET_DVS136 	00:22:22,00 --> 00:22:29,50 	as someone drives at him, someone slams up on the hood, then slides to the pavement.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS490 	00:31:59,00 --> 00:32:04,50 	someone slides the folded fan out from her sleeve.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS760 	00:50:14,00 --> 00:50:19,50 	the automatic doors slide shut behind someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1324 	01:31:12,00 --> 01:31:18,50 	she slides the key into its lock and pulls open the door.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1354 	01:32:48,00 --> 01:32:52,50 	a tear slides down her cheek.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS51 	00:10:42,00 --> 00:10:57,50 	someone opens a door in the bricks and slides out someone's ancient spell book.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS377 	01:20:05,00 --> 01:20:19,50 	he slides someone's ring onto his cane and touches the jewel knob to the someone.
SOUL_SURFER.srt 	SOUL_SURFER_DVS91 	00:29:04,00 --> 00:29:08,50 	someone slides her right hand.
SUPER_8.srt 	SUPER_8_DVS216 	00:37:02,00 --> 00:37:11,50 	he draws his weapon as the dumpster slides across the parking lot.
SUPER_8.srt 	SUPER_8_DVS453 	01:20:20,00 --> 01:20:24,50 	the bus slides to a stop.
SUPER_8.srt 	SUPER_8_DVS606 	01:38:51,00 --> 01:38:58,50 	sliding along the street as if ice skating, another soldier clings to his rifle as it flies toward the tower.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS71 	00:09:55,00 --> 00:10:01,50 	a thin metal tube slides out of the model ship's broken center mast.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS377 	00:56:03,00 --> 00:56:09,50 	sliding someone even closer to the whirring propeller.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS410 	01:00:03,00 --> 01:00:10,50 	pirates slide down on ropes and fight the unicorn's crew with swords.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS421 	01:00:55,00 --> 01:01:00,50 	sir someone slides down a line toward the burning deck.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS179 	00:36:04,00 --> 00:36:19,50 	she slides his coat off then steadies him as he staggers to the bed.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS182 	00:36:26,00 --> 00:36:32,50 	with her back to him, someone slides out a dresser drawer.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS268 	00:51:48,00 --> 00:51:54,50 	someone slides out of her chair.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS222 	00:44:20,00 --> 00:44:27,50 	sliding the handcuff along the top rail of the headboard.
THE_CALL.srt 	THE_CALL_DVS262 	00:22:12,00 --> 00:22:19,50 	smiling, the blond shakes her head and slides the phone into her back pocket.
THE_CALL.srt 	THE_CALL_DVS521 	00:40:19,00 --> 00:40:24,50 	a tear slides down someone's cheek.
THE_CALL.srt 	THE_CALL_DVS660 	00:51:39,00 --> 00:51:48,50 	sliding the phone into her pocket, someone peels back a velcro flap.
THE_CALL.srt 	THE_CALL_DVS845 	01:04:17,00 --> 01:04:24,50 	now, the killer slides a cassette tape into an old boom box.
THE_CALL.srt 	THE_CALL_DVS1015 	01:17:38,00 --> 01:17:43,50 	he slides his finger from his lips, leaving his wedding ring between his teeth.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS48 	00:10:25,00 --> 00:10:31,50 	later, he enters the hospital through sliding glass doors.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS110 	00:19:14,00 --> 00:19:21,50 	a partition slides down, revealing a groggy teen girl putting on glasses.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS599 	01:28:06,00 --> 01:28:12,50 	someone gently slides her hands down her sister's ponytail.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS297 	00:34:10,00 --> 00:34:16,50 	he takes out of the datebook and slides it toward the older man.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS299 	00:34:21,00 --> 00:34:26,50 	he slides it back to his visitor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS313 	00:37:58,00 --> 00:38:09,50 	as the door slides shut a view through its window shows her enraged face.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS650 	01:10:58,00 --> 01:11:05,50 	a door slides shut and she mouths i love you through its window.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS711 	01:19:19,00 --> 01:19:23,50 	he slides a plate toward her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS817 	01:33:35,00 --> 01:33:39,50 	the door slides shut.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS885 	01:38:43,00 --> 01:38:50,50 	standing in front of him she slides down her panties.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS889 	01:39:11,00 --> 01:39:18,50 	she straightens to a kneeling position and slides his briefs off his waist.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS923 	01:42:46,00 --> 01:42:53,50 	she slides the printed photos across a table to someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1028 	01:50:38,00 --> 01:50:42,50 	he tries another door and it slides open.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1088 	01:54:00,00 --> 01:54:06,50 	someone slides the kitchen door open, gazing out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1409 	02:31:26,00 --> 02:31:34,50 	now, at her apartment she intently writes a message inside a card then slides it into an envelope.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS96 	00:31:07,00 --> 00:31:35,50 	an envelope slides under the bottom of his door.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS295 	01:48:51,00 --> 01:48:55,50 	finds to slide on the others.
THE_WATCH.srt 	THE_WATCH_DVS25 	00:04:25,00 --> 00:04:30,50 	crossing the store, he slides to a stop.
THE_WATCH.srt 	THE_WATCH_DVS527 	01:31:54,00 --> 01:32:07,50 	before the door closes completely, they all slide underneath and into the parking lot.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS345 	01:24:49,00 --> 01:24:55,50 	sliding on a suit jacket he turns and looks at someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS362 	01:28:29,00 --> 01:28:36,50 	he gazes up at her as she slides her silky tank top over her head,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS374 	01:29:18,00 --> 01:29:23,50 	returning it, she slides the drawer open farther.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS458 	01:45:24,00 --> 01:45:30,50 	taking the ring from its box, he slides it onto someone's finger.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS21 	00:03:02,00 --> 00:03:08,50 	he slides on his knees into a guard, knocking him over.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS33 	00:04:16,00 --> 00:04:23,50 	the surviving heinrich brother lands safely and slides his parachute off his back.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS70 	00:12:07,00 --> 00:12:14,50 	sliding off his jacket, he smirks.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS368 	01:08:21,00 --> 01:08:26,50 	the elevator doors slide shut.
THOR.srt 	THOR_DVS77 	00:09:58,00 --> 00:10:05,50 	hidden in shadows, a blue hand slides across a thick column, leaving a thin layer of frost.
THOR.srt 	THOR_DVS109 	00:16:23,00 --> 00:16:31,50 	someone steps onto a dayus behind them and slides his sword into a slot on the floor.
THOR.srt 	THOR_DVS196 	00:25:39,00 --> 00:25:47,50 	someone lands in front of the dead creature as it slides over the edge of the cliff and disappears.
THOR.srt 	THOR_DVS232 	00:31:18,00 --> 00:31:23,50 	they slide someone into the back of the truck.
THOR.srt 	THOR_DVS254 	00:34:36,00 --> 00:34:42,50 	he twists his left wrist, sliding it through the restraint.
THOR.srt 	THOR_DVS536 	01:25:56,00 --> 01:26:03,50 	the destroyer's visor slides down and its head glows with energy.
THOR.srt 	THOR_DVS598 	01:31:43,00 --> 01:31:50,50 	in the observatory, someone slides his sword into the bifrost control mechanism.
THOR.srt 	THOR_DVS623 	01:34:42,00 --> 01:34:50,50 	someone rides on horseback to the observatory and slides someone's sword into the bifrost control mechanism.
THOR.srt 	THOR_DVS658 	01:38:29,00 --> 01:38:39,50 	someone turns and staggers toward the observatory, his feet sliding on the slick bridge as tors of brilliant energy swirl around the building.
THOR.srt 	THOR_DVS674 	01:40:37,00 --> 01:40:42,50 	someone's hand slides down the shaft of his spear.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS246 	00:32:20,00 --> 00:32:26,50 	he drops the rolled up dollar and slides back to retrieve it.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS672 	01:15:12,00 --> 01:15:19,50 	someone slides into the rink wall under the opposing team's box.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS745 	01:21:46,00 --> 01:21:52,50 	then slides a rolled up someone under the pillow.
TRUE_GRIT.srt 	TRUE_GRIT_DVS44 	00:08:04,00 --> 00:08:10,50 	a coffin is slid onto a rail wagon.
TRUE_GRIT.srt 	TRUE_GRIT_DVS508 	01:34:24,00 --> 01:34:30,50 	someone pulls away but the corpse slides closer.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS547 	01:13:09,00 --> 01:13:15,50 	she gives him a sidelong glance as she slides her shoes back on.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS552 	01:13:50,00 --> 01:13:55,50 	the doors start to slide shut.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS412 	01:04:56,00 --> 01:05:01,50 	he slides a letter from an envelope.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS62 	00:04:57,00 --> 00:05:02,50 	he slides the candy bar forward on his desk.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS66 	00:05:09,00 --> 00:05:16,50 	the man sternly slides the chocolate back toward himself, then licks his finger.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS100 	00:06:51,00 --> 00:06:57,50 	he slides the coin toward someone, then turns his aim on the boy's mother.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1110 	01:40:10,00 --> 01:40:17,50 	someone flips three switches, then grips a lever and slides it upward.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS49 	00:06:52,00 --> 00:06:58,50 	she glances sideways at the man and slowly slides her right arm free.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS52 	00:07:28,00 --> 00:07:32,50 	someone slides out of bed and stands.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS421 	01:21:17,00 --> 01:21:23,50 	she opens her eyes and glances at him then slowly slides out of bed.
ZOMBIELAND.srt 	ZOMBIELAND_DVS88 	00:07:01,00 --> 00:07:07,50 	he slides down onto his butt with a small someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS211 	00:22:50,00 --> 00:22:54,50 	he slides on his knees.
ZOMBIELAND.srt 	ZOMBIELAND_DVS381 	00:43:35,00 --> 00:43:41,50 	someone slides a mug off of a display.
ZOOKEEPER.srt 	ZOOKEEPER_DVS145 	00:32:19,00 --> 00:32:24,50 	he exits and slides the metal door shut.
ZOOKEEPER.srt 	ZOOKEEPER_DVS333 	01:14:22,00 --> 01:14:27,50 	then finally slides his body.
ZOOKEEPER.srt 	ZOOKEEPER_DVS347 	01:17:54,00 --> 01:18:14,50 	stepping into the corridor, he slides the door closed and starts.
ZOOKEEPER.srt 	ZOOKEEPER_DVS369 	01:22:43,00 --> 01:22:49,50 	he watches as it slides open and.
