21_JUMP_STREET.srt 	21_JUMP_STREET_DVS85 	00:11:34,00 --> 00:11:39,50 	he leads his partner through the front gate.
PROMETHEUS.srt 	PROMETHEUS_DVS870 	01:35:53,00 --> 01:35:58,50 	a door rises and someone leads the group onward.
PROMETHEUS.srt 	PROMETHEUS_DVS878 	01:36:58,00 --> 01:37:04,50 	now someone leads the group into the chamber housing the giant disc.
PROMETHEUS.srt 	PROMETHEUS_DVS883 	01:37:50,00 --> 01:37:54,50 	he leads them to the working pod.
PROMETHEUS.srt 	PROMETHEUS_DVS927 	01:41:58,00 --> 01:42:04,50 	the exhaust hurls her through  passage leading outside.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS97 	00:15:57,00 --> 00:16:02,50 	the car heads down a dirt road leading toward a forest.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS123 	00:22:50,00 --> 00:22:55,50 	someone leads a young woman to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS129 	00:23:56,00 --> 00:24:00,50 	leads the way to the dance floor.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS175 	00:33:05,00 --> 00:33:25,50 	someone leads someone down a hall into a luxurious living room.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS199 	00:37:43,00 --> 00:38:05,50 	someone leads him across the street to a tawny white apartment building.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS199 	00:37:43,00 --> 00:38:05,50 	someone leads agent barton to a door, then readies his hand on his gun.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS234 	00:42:53,00 --> 00:42:58,50 	a banker leads someone to a vault.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS260 	00:49:30,00 --> 00:49:39,50 	the balding man from the front desk leads other men in and clouts someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS266 	00:50:42,00 --> 00:50:53,50 	the balding officer leads someone into the cell block.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS301 	00:56:18,00 --> 00:56:27,50 	as arriving lawmen lead someone inside, cameras flash.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS333 	01:03:34,00 --> 01:03:42,50 	the warden glances back as the accomplice leads him away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS364 	01:09:40,00 --> 01:09:47,50 	gilbert leads someone and someone upstairs.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS473 	01:29:47,00 --> 01:29:59,50 	now in slow motion, the criminals run along the misty overlook with someone leading the way.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS590 	01:49:45,00 --> 01:49:52,50 	someone leads someone to a car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS608 	01:54:25,00 --> 01:54:38,50 	he dries his hands with a towel and leads the way through the house to the front door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS649 	02:02:12,00 --> 02:02:37,50 	leading lady myrna loy stares with her mouth agape.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS17 	00:02:53,00 --> 00:02:58,50 	someone leads someone and someone toward the distant
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS96 	00:24:52,00 --> 00:25:00,50 	elsewhere, someone leads his companions through the woods.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS99 	00:25:34,00 --> 00:25:40,50 	someone sets off in fast pursuit, leading his peers along a winding trail.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS176 	00:42:12,00 --> 00:42:17,50 	farmer leading a horse and plow.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS238 	00:54:45,00 --> 00:54:56,50 	with a stoic expression, someone leads someone through a gate into the castle courtyard.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS347 	01:25:09,00 --> 01:25:15,50 	someone mounts his horse and she leads him onward.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS386 	01:34:46,00 --> 01:34:57,50 	to leaded glass window and gazes out through the diamond shaped panes.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS386 	01:34:46,00 --> 01:34:57,50 	someone leads his men out of the courtyard and rides around the corner toward the homestead entryway.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS457 	01:53:40,00 --> 01:53:49,50 	she beams after him as he leads his three trusted friends down the country road.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS470 	01:56:20,00 --> 01:56:24,50 	someone leads the others off the path.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS477 	01:59:09,00 --> 01:59:14,50 	capsizes, spilling armored men into the slope leading down to the beach.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS482 	02:00:39,00 --> 02:00:44,50 	the new comer leads a number of mounted troops on to the beach.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS244 	00:38:00,00 --> 00:38:05,50 	someone leads someone onto the balcony.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS251 	00:39:31,00 --> 00:39:36,50 	someone leads the way up the staircase.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS315 	00:50:05,00 --> 00:50:12,50 	someone's mom opens a wooden door and leads them pass more lush plant life.
SALT.srt 	SALT_DVS81 	00:17:38,00 --> 00:17:54,50 	the cia officer and a security escort lead someone through a door and into a hallway.
SALT.srt 	SALT_DVS346 	01:01:46,00 --> 01:01:57,50 	as someone leads her across a catwalk, her smile falters.
SALT.srt 	SALT_DVS516 	01:28:41,00 --> 01:28:47,50 	as someone gets led past, she jerks her chin up at someone.
SANCTUM.srt 	SANCTUM_DVS86 	00:17:39,00 --> 00:17:47,50 	a single spotlight shines up from the floor as someone leads them through the darkened chamber.
SANCTUM.srt 	SANCTUM_DVS235 	00:50:34,00 --> 00:50:42,50 	now, someone leads the way through the narrow passage leading to the devil's restriction.
SANCTUM.srt 	SANCTUM_DVS235 	00:50:34,00 --> 00:50:42,50 	now, someone leads the way through the narrow passage leading to the devil's restriction.
SANCTUM.srt 	SANCTUM_DVS237 	00:50:43,00 --> 00:51:01,50 	his father swims on, leading him through the winding passage.
SANCTUM.srt 	SANCTUM_DVS307 	01:01:56,00 --> 01:02:02,50 	they share a grin and someone leads them ahead.
SANCTUM.srt 	SANCTUM_DVS319 	01:04:08,00 --> 01:04:14,50 	someone leads the way into another rocky den.
SANCTUM.srt 	SANCTUM_DVS476 	01:28:41,00 --> 01:28:55,50 	later, orange light from someone's torch flickers on the rock walls as he leads his father through the tunnel.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS131 	00:08:36,00 --> 00:08:43,50 	holding someone's hand, someone leads her through a doorway and across a small courtyard.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS425 	00:28:23,00 --> 00:28:31,50 	someone shifts her handbag's shoulder strap as she climbs some steps leading to a set of glass doors.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS726 	00:48:17,00 --> 00:48:24,50 	she leads her taller friend back through the frenzied crowd toward the stage.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS800 	00:53:27,00 --> 00:53:33,50 	someone leads her by the hand into a courtyard.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS892 	00:58:25,00 --> 00:58:33,50 	later, the butcher leads an ox-drawn cart down a narrow road packed with fleeing refugees.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS899 	00:58:49,00 --> 00:58:57,50 	a sack in each powerful arm, the butcher leads his family farther on as panicking villagers race past.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS906 	00:59:11,00 --> 00:59:15,50 	the younger women lead her over.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1067 	01:12:04,00 --> 01:12:12,50 	someone sets down his mic, takes someone's hand, and leads her to the dance floor where he yanks her in close.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1115 	01:16:13,00 --> 01:16:18,50 	she leads her laotong onward with a pinched expression.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1255 	01:24:52,00 --> 01:24:58,50 	an old woman in a bath robe leads someone up a dank stairway.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1293 	01:29:15,00 --> 01:29:19,50 	he gently leads her onward.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1313 	01:30:42,00 --> 01:30:47,50 	leading her into a room, he turns to a worker.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1347 	01:32:22,00 --> 01:32:29,50 	as someone leads someone over, the girl enters and drops to her knees.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS125 	00:24:13,00 --> 00:24:19,50 	open a door and leads the others onto a subway platform.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS333 	01:09:03,00 --> 01:09:08,50 	she lets him lead her to the railing.
SOUL_SURFER.srt 	SOUL_SURFER_DVS221 	01:10:20,00 --> 01:10:26,50 	on another day, someone leads a youth group into an airport.
SOUL_SURFER.srt 	SOUL_SURFER_DVS236 	01:12:18,00 --> 01:12:31,50 	she leads them back up the road, past a steady stream of people trudging in the opposite direction.
SPARKLE_2012.srt 	SPARKLE_2012_DVS43 	00:07:26,00 --> 00:07:40,50 	at the top, the woman in pink hesitates, then leads them down the hallway and into a bedroom.
SPARKLE_2012.srt 	SPARKLE_2012_DVS339 	00:55:26,00 --> 00:55:30,50 	sister leads the girls out.
SPARKLE_2012.srt 	SPARKLE_2012_DVS379 	01:03:47,00 --> 01:03:53,50 	someone takes sister by the hand and leads her out of the room.
SPARKLE_2012.srt 	SPARKLE_2012_DVS383 	01:04:20,00 --> 01:04:27,50 	someone glances across the room at someone and someone, as sister leads him out of sight.
SPARKLE_2012.srt 	SPARKLE_2012_DVS502 	01:21:05,00 --> 01:21:12,50 	a heavy-set man with glasses leads sister from the house in a long black coat.
SPARKLE_2012.srt 	SPARKLE_2012_DVS557 	01:31:19,00 --> 01:31:32,50 	the receptionist leads someone down a hall and into someone's office.
SUPER_8.srt 	SUPER_8_DVS29 	00:03:24,00 --> 00:03:33,50 	the front door flies open as dark-haired someone leads the struggling someone out of the house in handcuffs, and shoves him into the back of a squad car.
SUPER_8.srt 	SUPER_8_DVS275 	00:47:30,00 --> 00:47:36,50 	someone stares as another officer leads mr.
SUPER_8.srt 	SUPER_8_DVS386 	01:08:54,00 --> 01:09:03,50 	a caravan of military vehicles leads buses out of town as large container trucks drive in from the opposite direction.
SUPER_8.srt 	SUPER_8_DVS396 	01:11:37,00 --> 01:11:42,50 	later, he leads the boys through the parking lot.
SUPER_8.srt 	SUPER_8_DVS496 	01:24:43,00 --> 01:24:47,50 	someone leads mr.
SUPER_8.srt 	SUPER_8_DVS529 	01:29:05,00 --> 01:29:11,50 	they gaze into the hole which leads straight down.
SUPER_8.srt 	SUPER_8_DVS578 	01:35:43,00 --> 01:35:48,50 	someone lead them around a curve.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS111 	00:16:40,00 --> 00:16:46,50 	someone's man servant returns someone's flashlight and leads him out.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS718 	01:36:15,00 --> 01:36:20,50 	nestor leads them to a large underground chamber.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS62 	00:14:20,00 --> 00:14:27,50 	at school a pretty teacher in bookish glasses leads a class.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS139 	00:30:34,00 --> 00:30:41,50 	she leads him downstairs to a chic living room where they join someone and a girlfriend.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS145 	00:31:48,00 --> 00:31:54,50 	now in a trendy nightclub, she leads him through the crowd.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS146 	00:32:03,00 --> 00:32:08,50 	she leads him across the dance floor.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS147 	00:32:11,00 --> 00:32:24,50 	someone leads someone to the middle of the dance floor.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS158 	00:33:35,00 --> 00:33:41,50 	a blond girl whispers in someone's ear then leads her off.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS238 	00:46:29,00 --> 00:46:36,50 	he leads someone into a grungy bathroom where someone sits handcuffed to a pipe.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS304 	00:54:54,00 --> 00:55:02,50 	now, someone leads an elderly man with fuzzy hair into the grungy bathroom.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS345 	01:04:08,00 --> 01:04:31,50 	the caddy leads him down a hill and across a grassy driving range.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS483 	01:27:23,00 --> 01:27:38,50 	someone leads someone out a side door then rushes back in, grabs the bowling photo, and hurries out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS516 	01:33:13,00 --> 01:33:24,50 	he leads her through the chaos.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS577 	01:44:17,00 --> 01:44:29,50 	a female officer leads someone away as she glares at someone.
THE_CALL.srt 	THE_CALL_DVS228 	00:19:34,00 --> 00:19:40,50 	now, she leads them through the facility.
THE_CALL.srt 	THE_CALL_DVS271 	00:23:02,00 --> 00:23:09,50 	in the hive, someone leads her trainees to a young woman's workstation.
THE_CALL.srt 	THE_CALL_DVS740 	00:55:54,00 --> 00:56:00,50 	at someone's house, the officer leads someone upstairs.
THE_CALL.srt 	THE_CALL_DVS959 	01:13:40,00 --> 01:13:48,50 	someone shines her flashlight into the hole and sees a metal ladder leading down several feet.
THE_CALL.srt 	THE_CALL_DVS1074 	01:20:46,00 --> 01:20:53,50 	a tube from someone's mask leads to the nitric oxide tank.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS31 	00:06:05,00 --> 00:06:13,50 	the mother leads them into a sprawling cluttered living room where a chubby pre-teen girl watches tv.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS93 	00:17:51,00 --> 00:17:55,50 	someone leads his daughter back.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS106 	00:18:52,00 --> 00:18:57,50 	a woman leads someone and someone forward.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS109 	00:19:07,00 --> 00:19:14,50 	the supervisor wearily leads the visitors down the hall to another door.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS111 	00:19:29,00 --> 00:19:35,50 	now, in the darkness, the dorm supervisor uses a flashlight to lead
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS187 	00:30:08,00 --> 00:30:14,50 	it leads him to a neighborhood nestled by verdant foothills.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS224 	00:35:09,00 --> 00:35:15,50 	someone arrives at the cul-de-sac leading to his driveway.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS243 	00:38:19,00 --> 00:38:26,50 	later, inside, someone gently leads a silver-haired woman by the hand.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS298 	00:45:18,00 --> 00:45:22,50 	they lead the way into the ward.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS321 	00:49:22,00 --> 00:49:27,50 	someone leads a taller girl into the room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS356 	00:55:17,00 --> 00:55:26,50 	now, as a hawaiian airlines jet takes off, the image dissolves to the map of hawaii with a dashed line leading from oahu to kauai.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS512 	01:13:12,00 --> 01:13:18,50 	someone leads the way up to the porch, then through the doorway.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS608 	01:28:59,00 --> 01:29:07,50 	as someone leads her uncle and grandmother to someone's bedside, someone shifts his gaze to someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS764 	01:45:33,00 --> 01:45:39,50 	someone and someone watch someone lead someone across the hallway
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS765 	01:45:37,00 --> 01:45:41,50 	someone lead someone into someone's room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS94 	00:09:37,00 --> 00:09:46,50 	it leads her to a wikipedia page.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS276 	00:32:25,00 --> 00:32:32,50 	someone leads someone into the room where the officer opens a purse.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS291 	00:33:07,00 --> 00:33:12,50 	led by dogs a search party comes afforest.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS439 	00:52:15,00 --> 00:52:20,50 	proceeding past her he leads her down a hallway.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS441 	00:52:27,00 --> 00:52:33,50 	it leads to a room with a bed set against the far wall.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS580 	01:04:15,00 --> 01:04:23,50 	in someone's apartment, a trail of fluid and crumpled clothes lead down the hall to his open bedroom door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS911 	01:41:41,00 --> 01:41:48,50 	later, a security guard leads someone into an archive facility.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS938 	01:43:56,00 --> 01:44:01,50 	he leads someone into a den.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1053 	01:52:06,00 --> 01:52:13,50 	it turns at a right angle leading him to a study with a gun case on the wall.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1366 	02:27:00,00 --> 02:27:07,50 	now, a man totes two bags for her as he leads her into a building.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS69 	00:17:32,00 --> 00:17:39,50 	a fifth boat leads the pack, 50 yards ahead.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS76 	00:22:10,00 --> 00:22:16,50 	cameron leads someone and his brother onward.
THE_VOW.srt 	THE_VOW_DVS214 	00:27:21,00 --> 00:27:27,50 	he leads her in to a foyer, then gestures.
THE_WATCH.srt 	THE_WATCH_DVS44 	00:05:44,00 --> 00:05:50,50 	he walks the aisles, the beam of his flashlight leading the way.
THE_WATCH.srt 	THE_WATCH_DVS476 	01:25:47,00 --> 01:25:52,50 	someone leads the way down a ladder.
THE_WATCH.srt 	THE_WATCH_DVS478 	01:25:54,00 --> 01:26:01,50 	rounding a corner, he leads his friends past walls of steaming pipes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS233 	00:58:21,00 --> 00:58:25,50 	now she leads the way into her apartment.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS451 	01:43:52,00 --> 01:43:57,50 	she leads him into the backyard.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS541 	01:57:05,00 --> 01:57:11,50 	someone leads him away.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS65 	00:10:47,00 --> 00:10:53,50 	as he leads her off, someone gazes at his grandparents.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS166 	00:31:54,00 --> 00:31:58,50 	he leads her to the entrance.
THOR.srt 	THOR_DVS57 	00:06:35,00 --> 00:06:42,50 	within asgard, the grey bearded king leads a blonde boy and a black-haired boy to the glowing box.
THOR.srt 	THOR_DVS128 	00:18:31,00 --> 00:18:41,50 	eyes darting as he surveys his surroundings, someone leads the group through distant structures resembling ruins of stone pillars and arches.
THOR.srt 	THOR_DVS364 	00:55:38,00 --> 00:55:46,50 	he runs into a tunneled plastic sheathing leading to the crater's center.
THOR.srt 	THOR_DVS401 	00:59:55,00 --> 01:00:03,50 	rain splatters someone, as more agents pull someone to his feet and lead him away.
THOR.srt 	THOR_DVS482 	01:18:33,00 --> 01:18:41,50 	with someone leading, the asgardians walk beneath two shield agents watching from a rooftop.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS710 	01:18:57,00 --> 01:19:03,50 	the scoreboard led screens flash an address.
TRUE_GRIT.srt 	TRUE_GRIT_DVS113 	00:29:10,00 --> 00:29:15,50 	and the boy leads the horse into a yard.
TRUE_GRIT.srt 	TRUE_GRIT_DVS134 	00:34:29,00 --> 00:34:34,50 	he leads little blackie away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS46 	00:08:06,00 --> 00:08:12,50 	later someone walks alone through the courtyard leading to her apartment.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS515 	01:08:09,00 --> 01:08:13,50 	the hostess leads him away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS526 	01:10:58,00 --> 01:11:03,50 	he leads her to the dance floor and flings off his jacket.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS49 	00:09:10,00 --> 00:09:17,50 	he beckons someone into the hall and leads him past artwork posted above the lockers.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS143 	00:25:03,00 --> 00:25:18,50 	the suv now leads the moving truck onto the zoo property.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS153 	00:26:06,00 --> 00:26:12,50 	someone leads the kids to a door.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS170 	00:29:29,00 --> 00:29:43,50 	someone leads the group down a trail lined with tall bushes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS628 	01:33:18,00 --> 01:33:31,50 	back in the field, someone's white spotted sundress flutters as she leads her children in tighter circles around her 	husband.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS688 	01:40:08,00 --> 01:40:15,50 	someone leads him off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS690 	01:40:34,00 --> 01:40:40,50 	meanwhile, someone leads someone and his kids through a grove.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS611 	01:22:49,00 --> 01:22:56,50 	now on the arm of a groomsman, someone leads the bridal procession down a grassy aisle.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS635 	01:27:58,00 --> 01:28:03,50 	he leads her from the dance floor.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS650 	01:30:50,00 --> 01:31:00,50 	she leads him away.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS742 	01:38:21,00 --> 01:38:26,50 	she takes someone's hand and leads him off the stage.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS224 	00:17:08,00 --> 00:17:15,50 	someone leads them through a doorway, followed by the parade of lingerie-clad women.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS225 	00:17:12,00 --> 00:17:20,50 	she leads the colonel down a stairway onto an opulently decorated casino floor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS585 	00:54:53,00 --> 00:55:00,50 	the dog sniffs around the vehicle and someone leads a soldier to the truck's rear.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS732 	01:06:24,00 --> 01:06:30,50 	she accepts it and someone leads her to the shattered window.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS807 	01:13:00,00 --> 01:13:07,50 	she leads the group off a gravel driveway and around the side of the mansion.
ZOMBIELAND.srt 	ZOMBIELAND_DVS70 	00:05:56,00 --> 00:06:02,50 	he ditches them and leads the zombies in another lap around the parking lot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS204 	00:22:04,00 --> 00:22:10,50 	loaded with weapons, someone leads someone inside.
ZOMBIELAND.srt 	ZOMBIELAND_DVS414 	00:47:33,00 --> 00:47:42,50 	six foot urns bookend the door and a grand staircase leads to a second story.
ZOMBIELAND.srt 	ZOMBIELAND_DVS509 	00:59:17,00 --> 00:59:21,50 	she leads the way.
ZOOKEEPER.srt 	ZOOKEEPER_DVS206 	00:46:25,00 --> 00:46:32,50 	someone leads someone up a staircase which emerges by the mouth of the pit.
ZOOKEEPER.srt 	ZOOKEEPER_DVS270 	00:59:41,00 --> 00:59:47,50 	she takes someone's arm and leads him to the dancefloor.
ZOOKEEPER.srt 	ZOOKEEPER_DVS314 	01:10:47,00 --> 01:10:53,50 	at the fashion show, someone leads someone towards a man.
