21_JUMP_STREET.srt 	21_JUMP_STREET_DVS61 	00:06:17,00 --> 00:06:24,50 	reaching their destination, they climb off their bikes and lower their kickstands.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS643 	01:09:04,00 --> 01:09:10,50 	as someone uses it to climb on board,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS709 	01:14:00,00 --> 01:14:07,50 	with no luck, he cautiously climbs from his raft onto the bow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS825 	01:24:07,00 --> 01:24:12,50 	someone climbs to his knees.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS867 	01:27:19,00 --> 01:27:25,50 	he climbs onto the boat and secures a rope around his torso.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS883 	01:29:12,00 --> 01:29:19,50 	with the rope around his waist, he climbs back up the side and flops onto the bench.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS955 	01:34:42,00 --> 01:34:47,50 	someone climbs off the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS970 	01:35:49,00 --> 01:35:56,50 	someone climbs up a small hill using an arched root for support.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS989 	01:37:20,00 --> 01:37:27,50 	later he climbs out of the pond and notices the meerkats staring behind him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1003 	01:38:25,00 --> 01:38:34,50 	the creatures climb into the trees.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1016 	01:39:22,00 --> 01:39:29,50 	a meerkat climbs onto someone's back and rests across his shoulder.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS90 	00:34:07,00 --> 00:34:15,50 	someone climbs out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS117 	00:26:34,00 --> 00:26:41,50 	a man stands on the crest of the hill she's climbing with a shotgun in his hands.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS207 	00:30:37,00 --> 00:30:43,50 	someone hugs him, then climbs into the cab.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS29 	00:07:49,00 --> 00:07:53,50 	he tries to climb over the wall, but fails.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS31 	00:08:43,00 --> 00:08:50,50 	reaching a light blue tractor, he climbs into
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS278 	01:00:48,00 --> 01:00:53,50 	someone climbs down from the scratch-o-matic seat.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS348 	01:15:53,00 --> 01:16:00,50 	someone climbs down from the chair.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS101 	00:26:35,00 --> 00:26:42,50 	someone climbs in beside someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS109 	00:28:29,00 --> 00:28:38,50 	climbing in, someone pauses at the side of the complex network of buckles.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS305 	01:11:43,00 --> 01:11:49,50 	as the kids climb off, someone lifts her head.
PROMETHEUS.srt 	PROMETHEUS_DVS350 	00:34:41,00 --> 00:34:47,50 	climbing up, he notices greenish slime dripping from a few of the engraved points.
PROMETHEUS.srt 	PROMETHEUS_DVS378 	00:37:58,00 --> 00:38:02,50 	someone climbs a ladder.
PROMETHEUS.srt 	PROMETHEUS_DVS427 	00:43:21,00 --> 00:43:27,50 	as holloway climbs out of the vehicle, it blows away.
PROMETHEUS.srt 	PROMETHEUS_DVS658 	01:11:44,00 --> 01:11:50,50 	someone climbs on the seat and leans back into it.
PROMETHEUS.srt 	PROMETHEUS_DVS675 	01:12:43,00 --> 01:12:50,50 	the android climbs up on the disc and crouches, studying the control panel.
PROMETHEUS.srt 	PROMETHEUS_DVS713 	01:15:35,00 --> 01:15:39,50 	the crew climbs out.
PROMETHEUS.srt 	PROMETHEUS_DVS920 	01:41:19,00 --> 01:41:27,50 	as the engineer climbs onto the gunner chair, we glimpse someone's motionless face in profile.
PROMETHEUS.srt 	PROMETHEUS_DVS989 	01:48:38,00 --> 01:48:47,50 	straightening she sways on her feet, then perseveres  to the compartment's open entryway and climbs up.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS39 	00:06:21,00 --> 00:06:33,50 	someone lingers for a moment, then climbs into the back of the moving sedan.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS50 	00:08:35,00 --> 00:08:52,50 	he trips, then climbs to his feet and runs on.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS357 	01:07:56,00 --> 01:08:19,50 	someone climbs into the passenger seat and hands him a file with the transcript from someone's phone call to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS433 	01:22:44,00 --> 01:22:57,50 	someone, someone, and several others in trench coats climb out of the vehicles.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS478 	01:30:45,00 --> 01:30:51,50 	someone climbs out the other door.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS365 	01:30:38,00 --> 01:31:05,50 	one mouse madly cycles his hind legs to climb up into a footed bowl.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS440 	01:49:03,00 --> 01:49:08,50 	several orphans climb down from the roof.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS450 	01:52:07,00 --> 01:52:31,50 	as servants stand ready with lit torches, she climbs down from the pyre.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS456 	01:53:15,00 --> 01:53:39,50 	as his mounted friends look on a few yards off, someone climbs astride his horse.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS338 	00:55:02,00 --> 00:55:08,50 	later, someone's mom climbs up to the tree house.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS341 	00:55:34,00 --> 00:55:40,50 	she climbs back down.
SALT.srt 	SALT_DVS22 	00:03:52,00 --> 00:04:37,50 	on the table, a tarantula climbs up the wall of a terrarium.
SALT.srt 	SALT_DVS143 	00:25:39,00 --> 00:25:45,50 	waving her hand, someone flags down a beltway cab and climbs in back.
SALT.srt 	SALT_DVS316 	00:55:23,00 --> 00:55:28,50 	she climbs into a bed next to someone's.
SANCTUM.srt 	SANCTUM_DVS22 	00:05:26,00 --> 00:05:40,50 	the fair-haired man gently swims across the rocky pool and climbs onto a ledge.
SANCTUM.srt 	SANCTUM_DVS107 	00:21:39,00 --> 00:21:51,50 	meanwhile, someone climbs out of shallow water onto a rock ledge where someone stands filming a cavern with a video camera.
SANCTUM.srt 	SANCTUM_DVS274 	00:55:32,00 --> 00:55:39,50 	the young man climbs up on an underwater ledge and raises his flippered feet.
SANCTUM.srt 	SANCTUM_DVS294 	00:59:22,00 --> 00:59:28,50 	someone climbs over a rock barrier carrying a yellow supply bag.
SANCTUM.srt 	SANCTUM_DVS433 	01:22:40,00 --> 01:22:45,50 	he resumes climbing.
SANCTUM.srt 	SANCTUM_DVS465 	01:26:42,00 --> 01:26:47,50 	someone climbs on to the tank.
SANCTUM.srt 	SANCTUM_DVS476 	01:28:41,00 --> 01:28:55,50 	it widens and he climbs down a ledge, his eyes squinting into a dim chamber.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS425 	00:28:23,00 --> 00:28:31,50 	someone shifts her handbag's shoulder strap as she climbs some steps leading to a set of glass doors.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1176 	01:19:34,00 --> 01:19:42,50 	someone reaches for her, but the noblewoman wrenches her arm out of her grasp and climbs the stairs alone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS145 	00:28:13,00 --> 00:28:20,50 	someone strides past someone, to the decorative eagle, and climbs onto it.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS180 	00:35:21,00 --> 00:35:26,50 	the dragon climbs up the building toward someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS360 	01:16:29,00 --> 01:16:34,50 	he climbs out of the pinto.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS436 	01:33:08,00 --> 01:33:16,50 	someone climbs toward the top of its framework and feebly kicks at the dish.
SOUL_SURFER.srt 	SOUL_SURFER_DVS52 	00:17:24,00 --> 00:17:28,50 	someone climbs back on.
SOUL_SURFER.srt 	SOUL_SURFER_DVS53 	00:17:32,00 --> 00:17:37,50 	kicking legs again, he climbs back on.
SOUL_SURFER.srt 	SOUL_SURFER_DVS233 	01:11:53,00 --> 01:12:08,50 	the bus halts a short distance from the aid tent and the youth group climbs off.
SUPER_8.srt 	SUPER_8_DVS129 	00:19:41,00 --> 00:19:49,50 	someone climbs over the twisted train tracks and finds preston standing near someone on the other side.
SUPER_8.srt 	SUPER_8_DVS319 	00:57:06,00 --> 00:57:12,50 	he climbs out of bed and trips as he makes his way across the room.
SUPER_8.srt 	SUPER_8_DVS321 	00:57:31,00 --> 00:57:39,50 	someone climbs through the window, stepping beside the white cube on someone's desk as she hops down.
SUPER_8.srt 	SUPER_8_DVS380 	01:07:51,00 --> 01:07:58,50 	on the screen, a gigantic creature climbs out of the crashed train car.
SUPER_8.srt 	SUPER_8_DVS473 	01:22:29,00 --> 01:22:35,50 	the creature climbs on top of the bus and rocks it from side to side.
SUPER_8.srt 	SUPER_8_DVS494 	01:24:23,00 --> 01:24:29,50 	outside, the boys watches the creature climbs out of the bus and runs off.
SUPER_8.srt 	SUPER_8_DVS498 	01:24:56,00 --> 01:25:01,50 	holding his pack someone climbs out of the bus.
SUPER_8.srt 	SUPER_8_DVS635 	01:42:29,00 --> 01:42:35,50 	the creature climbs up the tower and into the ship which flies away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS69 	00:09:29,00 --> 00:09:43,50 	the cat jumps onto a table, climbs up a curtain, and knocks over a vase as it runs along a shelf.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS189 	00:28:02,00 --> 00:28:08,50 	he shoves the crate against the wall, climbs onto it and opens a porthole.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS226 	00:35:21,00 --> 00:35:26,50 	someone climbs into the midst of the sleeping crew.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS324 	00:50:21,00 --> 00:50:29,50 	someone hops into the water besides someone as two men climb out of the plane and on to one of its pontoons.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS379 	00:56:17,00 --> 00:56:24,50 	someone climbs down and grabs someone and throws him back onto the roof of the plane.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS415 	01:00:32,00 --> 01:00:40,50 	pirates with swords climb their ship's tilted mast toward the unicorn, which lies on its side.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS468 	01:08:23,00 --> 01:08:30,50 	he climbs the steps to the deck where red someone faces him with his sword drawn.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS650 	01:28:02,00 --> 01:28:08,50 	someone climbs into the back of a car which rises into the air.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS62 	00:11:53,00 --> 00:12:04,50 	someone climbs out and sees the chiseled stranger speeding away in his black suv.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS233 	00:46:03,00 --> 00:46:07,50 	she climbs off.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS281 	00:52:42,00 --> 00:52:49,50 	a sedan passes them and she climbs off the bike.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS295 	00:54:16,00 --> 00:54:22,50 	she climbs into the seat and slams the door shut.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS330 	01:00:22,00 --> 01:00:27,50 	someone climbs out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS431 	01:21:14,00 --> 01:21:23,50 	he pops a candy into his mouth and climbs into bed fully clothed.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS434 	01:21:42,00 --> 01:21:49,50 	she climbs out of bed and grabs a blanket then swipes the pillow out from behind someone's head.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS453 	01:23:35,00 --> 01:23:45,50 	a young couple climbs out and he approaches the driver.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS454 	01:23:47,00 --> 01:23:54,50 	as the couple heads up the front steps, someone climbs into the car and peels out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS492 	01:28:34,00 --> 01:28:55,50 	someone climbs out of the borrowed car, satchel in hand.
THE_CALL.srt 	THE_CALL_DVS972 	01:14:26,00 --> 01:14:34,50 	the operator carefully climbs down the ladder to the floor and looks at her phone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS150 	00:25:36,00 --> 00:25:42,50 	she climbs out and buries her face in a colorful towel.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS264 	00:41:39,00 --> 00:41:43,50 	she climbs up.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS379 	00:58:07,00 --> 00:58:11,50 	the others climb out as well.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS465 	01:09:09,00 --> 01:09:15,50 	he peeks up over the top and finds someone climbing steps
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS108 	00:10:54,00 --> 00:11:00,50 	she pauses, looking around, then climbs a marble staircase to a posted directory.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS413 	00:48:09,00 --> 00:48:16,50 	later, in london, a cab pulls to a curb and someone climbs out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS430 	00:51:37,00 --> 00:51:45,50 	she enters and climbs a stairwell that wraps an old-fashioned wrought iron elevator shaft.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS561 	01:02:32,00 --> 01:02:38,50 	he enters the building and looks around as he climbs a flight of stairs.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS688 	01:16:19,00 --> 01:16:24,50 	her lover stirs as she climbs out of bed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS752 	01:24:55,00 --> 01:25:00,50 	someone climbs off her bike and removes her helmet.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS776 	01:29:27,00 --> 01:29:34,50 	he finds a photo with the same woman climbing into a car.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS787 	01:30:31,00 --> 01:30:37,50 	someone climbs into his vehicle and backs it out of its spot.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS845 	01:35:36,00 --> 01:35:41,50 	someone climbs a hill away from the cabin.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS855 	01:36:07,00 --> 01:36:12,50 	she drags a chair to the corner of the room climbs on top and mounts one camera from the ceiling.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS931 	01:43:31,00 --> 01:43:38,50 	the archives manager climbs down and adds the books to a fully stacked cart.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS937 	01:43:53,00 --> 01:43:57,50 	harold climbs out of the chair.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1021 	01:50:05,00 --> 01:50:12,50 	now someone climbs a steeply ascending walkway overlooking the water.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1197 	02:07:18,00 --> 02:07:23,50 	the suv climbs the gravel driveway.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1419 	02:32:23,00 --> 02:32:31,50 	someone watches woundedly as they climb into the cab, then lowers her heartbroken gaze.
THE_SITTER.srt 	THE_SITTER_DVS132 	01:10:21,00 --> 01:10:29,50 	she shifts her lips thoughtfully, then climbs out of the minivan.
THE_SITTER.srt 	THE_SITTER_DVS133 	01:10:28,00 --> 01:10:33,50 	unbuckles her seatbelt and climbs into the seat beside him.
THE_VOW.srt 	THE_VOW_DVS301 	00:38:48,00 --> 00:38:54,50 	climbing into the convertible mercedes, someone hugs her.
THE_WATCH.srt 	THE_WATCH_DVS514 	01:30:34,00 --> 01:31:11,50 	as someone climbs up last, an alien grabs his ankle.
THE_WATCH.srt 	THE_WATCH_DVS517 	01:31:21,00 --> 01:31:29,50 	the guys climb out from the basement, then tip over a refrigerator, slamming the grate over another alien.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS127 	00:36:13,00 --> 00:36:20,50 	he holds a town car's door open and she climbs in.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS137 	00:37:09,00 --> 00:37:13,50 	someone climbs out of the car.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS350 	01:26:10,00 --> 01:26:17,50 	she climbs into her silver mercedes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS411 	01:36:06,00 --> 01:36:14,50 	he uncomfortably averts his eyes, then opens the driver's side door and a businessman climbs out.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS32 	00:04:11,00 --> 00:04:18,50 	as someone climbs back onto the helipad, someone stares down at the destruction.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS81 	00:13:33,00 --> 00:13:37,50 	someone climbs in back.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS302 	00:55:09,00 --> 00:55:13,50 	he nimbly climbs down to her.
THOR.srt 	THOR_DVS257 	00:35:00,00 --> 00:35:06,50 	they hustle outdoors again and climb into their research truck.
THOR.srt 	THOR_DVS372 	00:56:13,00 --> 00:56:19,50 	the man runs outside and climbs into a basket dangling at the end of a crane.
THOR.srt 	THOR_DVS470 	01:17:25,00 --> 01:17:31,50 	someone and several other agents climb into vehicles and speed off.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS267 	00:33:53,00 --> 00:33:58,50 	clinging to the blanket, he climbs up.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS536 	00:58:54,00 --> 00:59:00,50 	someone climbs over the railing and jumps off the balcony.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS595 	01:05:22,00 --> 01:05:27,50 	later, he climbs up someone to reach it.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS605 	01:06:05,00 --> 01:06:15,50 	he climbs up the staged window and shows a prop tooth.
TRUE_GRIT.srt 	TRUE_GRIT_DVS235 	00:48:54,00 --> 00:48:59,50 	someone climbs down from the tree.
TRUE_GRIT.srt 	TRUE_GRIT_DVS425 	01:23:24,00 --> 01:23:31,50 	reconvened, they climb a steep track.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS247 	00:23:28,00 --> 00:23:33,50 	she climbs the tree in a hoodie and slip.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS635 	01:28:03,00 --> 01:28:10,50 	he climbs over the edge.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS216 	00:37:52,00 --> 00:38:00,50 	from a ladder, someone climbs into view.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS233 	00:39:17,00 --> 00:39:23,50 	as she climbs down, he cranes his neck to peer after her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS465 	01:13:30,00 --> 01:13:39,50 	the owner climbs down from his ladder and faces spar.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS528 	01:20:50,00 --> 01:20:58,50 	the grieving widower climbs the porch steps and takes a seat in a chair beside someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS764 	01:48:38,00 --> 01:48:44,50 	someone climbs out of bed and draws the curtains apart.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS775 	01:50:41,00 --> 01:50:47,50 	someone joins his son as he climbs onto the toppled tree.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS780 	01:51:09,00 --> 01:51:14,50 	someone takes a woman's hand as she climbs up.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS781 	01:51:15,00 --> 01:51:21,50 	someone and someone help the guests as they climb down on the other side.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS98 	00:08:31,00 --> 00:08:39,50 	she climbs a flight of stairs up to a tasteful party where an elegant blonde spots her.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS394 	00:57:14,00 --> 00:57:21,50 	someone climbs the stairs to her apartment, still in her heels and tight dress.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS724 	01:36:53,00 --> 01:37:00,50 	someone climbs a trellis fence, peeks overtop, and spots the security guards.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS553 	00:52:07,00 --> 00:52:13,50 	someone climbs out the broken window and enters the courtyard.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS595 	00:55:28,00 --> 00:55:37,50 	hidden behind a hill, someone, someone, someone, and someone watch as someone climbs off the chopper and heads toward the mansion.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS721 	01:04:49,00 --> 01:04:55,50 	the cyclone-maker climbs through the broken window.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1141 	01:42:07,00 --> 01:42:16,50 	a hatch on top of the sub opens and someone's dark-haired cohort climbs out wearing a tailored purple suit.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS94 	00:13:32,00 --> 00:13:38,50 	she turns on the television and climbs into bed.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS285 	00:55:30,00 --> 00:55:35,50 	dolce hops up and climbs over her back.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS352 	01:07:47,00 --> 01:07:52,50 	carrying a gift bag, someone climbs the front steps
ZOMBIELAND.srt 	ZOMBIELAND_DVS73 	00:06:11,00 --> 00:06:17,50 	he climbs in and locks it just as the zombies arrive.
ZOMBIELAND.srt 	ZOMBIELAND_DVS113 	00:09:17,00 --> 00:09:24,50 	the narrator climbs into the escalade's passenger seat then eyes the back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS566 	01:06:13,00 --> 01:06:21,50 	by the dozens, the ghoulish cannibals pour through the park gates and climb the fences.
ZOMBIELAND.srt 	ZOMBIELAND_DVS576 	01:07:03,00 --> 01:07:08,50 	someone climbs safely behind the wheel.
ZOMBIELAND.srt 	ZOMBIELAND_DVS660 	01:14:04,00 --> 01:14:10,50 	at the drop ride, zombies climb the tower's frame.
ZOMBIELAND.srt 	ZOMBIELAND_DVS664 	01:14:23,00 --> 01:14:29,50 	someone shoots as he climbs a staircase to a roller coaster platform.
ZOMBIELAND.srt 	ZOMBIELAND_DVS706 	01:17:24,00 --> 01:17:29,50 	a zombie climbs close to them.
ZOOKEEPER.srt 	ZOOKEEPER_DVS76 	00:15:00,00 --> 00:15:10,50 	the monkey leaps onto it, climbs down the pole and lands in someone's enclosure.
ZOOKEEPER.srt 	ZOOKEEPER_DVS81 	00:15:27,00 --> 00:15:39,50 	he climbs up to the keyhole, glances around, then picks the lock.
ZOOKEEPER.srt 	ZOOKEEPER_DVS216 	00:48:32,00 --> 00:48:40,50 	grinning, the zookeeper climbs out.
ZOOKEEPER.srt 	ZOOKEEPER_DVS310 	01:08:58,00 --> 01:09:04,50 	she holds the door for griffins ex who climbs in with him.
ZOOKEEPER.srt 	ZOOKEEPER_DVS332 	01:14:15,00 --> 01:14:25,50 	someone hits his head on the car's raised scissor door as he tries to climb inside.
ZOOKEEPER.srt 	ZOOKEEPER_DVS416 	01:30:53,00 --> 01:31:03,50 	he clings to someone's back as the gorilla climbs the beam which angles nearly 45 degrees outward.
ZOOKEEPER.srt 	ZOOKEEPER_DVS420 	01:31:25,00 --> 01:31:30,50 	someone keeps climbing.
