21_JUMP_STREET.srt 	21_JUMP_STREET_DVS84 	00:11:25,00 --> 00:11:34,50 	getting out with him, someone reads a sign at the entrance printed in korean and english.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS297 	01:11:11,00 --> 01:11:16,50 	someone the lacrosse player reads her topic.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS199 	00:25:55,00 --> 00:26:02,50 	now in bed, teenage someone reads a dostoyevsky novel as someone awakes to an alarm.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS202 	00:26:26,00 --> 00:26:31,50 	he reads l'etranger by albert camus.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS553 	01:00:06,00 --> 01:00:12,50 	reading it on his bobbing raft, someone looks over his shoulder.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS554 	01:00:14,00 --> 01:00:20,50 	now someone reads through the book and follows its advice.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS560 	01:01:06,00 --> 01:01:11,50 	juxtaposed with the scenes, someone reads the book.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS20 	00:07:09,00 --> 00:07:41,50 	it reads, certavi et vici byrnes.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS23 	00:08:44,00 --> 00:08:51,50 	now as someone drives, his cell reads incoming call.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS105 	00:42:00,00 --> 00:42:26,50 	turning to it, someone reads a text from someone, can't wait to see you at the hotel tonight.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS124 	00:45:34,00 --> 00:45:42,50 	as he reads it, someone creeps up behind him wearing a trench coat over a negligee.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS156 	00:55:32,00 --> 00:56:04,50 	the retired cia man reads the caption, "crazy night at the hilton."
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS200 	01:12:02,00 --> 01:12:11,50 	it reads, "rx grrrl."
MORNING_GLORY.srt 	MORNING_GLORY_DVS195 	00:44:07,00 --> 00:44:14,50 	the sign reads, ibs news.
MORNING_GLORY.srt 	MORNING_GLORY_DVS298 	01:05:38,00 --> 01:05:47,50 	she glances disapprovingly at someone, then reads the note, raises her hand, and points upwards.
MORNING_GLORY.srt 	MORNING_GLORY_DVS309 	01:07:27,00 --> 01:07:33,50 	onset, a stage manager reads out words to someone and someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS492 	01:41:12,00 --> 01:41:17,50 	it's a t-shirt that reads, welcome to daybreak.
MORNING_GLORY.srt 	MORNING_GLORY_DVS495 	01:41:24,00 --> 01:41:31,50 	someone's mum pins up a newspaper clipping on a notice board that reads daybreak revitalized.
MORNING_GLORY.srt 	MORNING_GLORY_DVS497 	01:41:33,00 --> 01:41:38,50 	someone reads a huge dictionary.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS231 	00:33:28,00 --> 00:33:32,50 	she reads.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS232 	00:33:42,00 --> 00:33:46,50 	he reads from the printout.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS145 	00:33:00,00 --> 00:33:19,50 	in bed, someone reads a worn letter, then sniffs a dried flower folded inside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS269 	00:59:08,00 --> 00:59:25,50 	as his mother reads the telegram, her smile vanishes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS364 	01:17:56,00 --> 01:18:02,50 	someone sets two pens beside someone who holds her head as she reads the papers.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS393 	01:23:07,00 --> 01:23:11,50 	he reads a manual.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS21 	00:04:46,00 --> 00:04:53,50 	its license plate reads davoice.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS76 	00:19:10,00 --> 00:19:19,50 	now a neon sign above a restaurant entrance reads, healthy tiger.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS144 	00:37:31,00 --> 00:37:41,50 	reads the email headed announcer auditions, and dials a number off the screen.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS40 	00:07:10,00 --> 00:07:17,50 	read the letters of the shakespearean line jumble on the chalkboard.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS53 	00:11:45,00 --> 00:11:51,50 	words at the top, which jumble to read,
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS68 	00:18:47,00 --> 00:18:54,50 	someone looks up and notices ancient greek words, which transform to read, camp half-blood,
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS193 	00:47:05,00 --> 00:47:16,50 	now a weathered sign reads auntie em's garden emporium.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS237 	01:02:27,00 --> 01:02:33,50 	its greek text translates to read athena.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS282 	01:11:02,00 --> 01:11:12,50 	now the pickup travels past an airport tarmac situated across the street from a sign reading welcome to fabulous las vegas, nevada.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS339 	01:23:49,00 --> 01:23:57,50 	the boat exits through a freestanding letter h in a towering hillside sign that reads hell.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS306 	00:57:47,00 --> 00:58:02,50 	now, a hulking black inmate strides past a row of cells and enters a common room where someone reads a newspaper.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS631 	01:58:52,00 --> 01:59:03,50 	a marquee reads biograph manhattan melodrama.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS638 	02:00:03,00 --> 02:00:38,50 	they read clark gable, someone powell, manhattan melodrama.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS657 	02:04:09,00 --> 02:04:20,50 	in the movie house, words on the screen read the end.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS288 	01:08:29,00 --> 01:08:41,50 	the noble man raises a magnifying lens and reads news of the french soldiers landing.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS341 	01:23:21,00 --> 01:23:42,50 	his brow lifts in shock as he reads.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS367 	01:31:44,00 --> 01:31:51,50 	someone reads an engraving.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS511 	02:07:23,00 --> 02:07:46,50 	someone occupies one throne while king someone stands in front of his and reads the charter.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS80 	00:13:05,00 --> 00:13:11,50 	in the daytime, he sits with his feet up, reading over his pages.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS85 	00:13:20,00 --> 00:13:25,50 	later, he reads his work.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS105 	00:18:11,00 --> 00:18:19,50 	on a patio, someone sits in a lounge chair, drinking a beer as he reads the manuscript.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS298 	00:47:51,00 --> 00:47:59,50 	leaving the room in total darkness, but for the alarm clock which reads 11:56.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS336 	00:54:31,00 --> 00:54:37,50 	someone reads in a tree house.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS361 	00:59:01,00 --> 00:59:07,50 	now the young writer reads on his sofa while someone cooks.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS376 	01:00:39,00 --> 01:00:45,50 	someone rolls over and eyes the clock reading 4:45.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS383 	01:01:35,00 --> 01:01:43,50 	now, his digital clock reads 3:19 as he lies in bed with someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS532 	01:22:27,00 --> 01:22:32,50 	with tears in her eyes she reads.
SALT.srt 	SALT_DVS117 	00:22:06,00 --> 00:22:26,50 	meanwhile, someone reads her file.
SALT.srt 	SALT_DVS254 	00:43:39,00 --> 00:44:13,50 	a blueprint reads detail: st.
SALT.srt 	SALT_DVS265 	00:46:46,00 --> 00:46:51,50 	the fugitive pretends to read a folded newspaper.
SALT.srt 	SALT_DVS541 	01:33:11,00 --> 01:33:28,50 	it reads, urgent message - fingerprints place someone on barge where someone was killed.
SANCTUM.srt 	SANCTUM_DVS320 	01:04:26,00 --> 01:04:32,50 	a crude carving reads "george was here".
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS157 	00:11:44,00 --> 00:11:53,50 	in the present day, someone sits by someone's hospital bed, thoughtfully reading through some papers as sunlight pours in through the windows.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS173 	00:12:45,00 --> 00:12:51,50 	the cover page reads simply "untitled by someone liao".
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS275 	00:18:44,00 --> 00:18:50,50 	the girls read.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS317 	00:21:39,00 --> 00:21:46,50 	with her elbow on the arm of the couch, she props her cheek on her hand as she reads.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS466 	00:30:37,00 --> 00:30:44,50 	spreading open the fan, someone reads her friend's message.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS561 	00:37:36,00 --> 00:37:41,50 	she opens it and begins to read.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS716 	00:47:07,00 --> 00:47:12,50 	a heading reads "listening comprehension".
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS736 	00:48:54,00 --> 00:49:01,50 	she reads.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS776 	00:52:07,00 --> 00:52:13,50 	in the present, someone sits at someone's bedside reading the manuscript.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1031 	01:07:15,00 --> 01:07:20,50 	they watch tv and read magazines.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1195 	01:20:44,00 --> 01:20:49,50 	now in her apartment, someone continues reading the manuscript.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1270 	01:25:52,00 --> 01:25:57,50 	we drift closer to her and find her lips slightly pursed as she reads.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1304 	01:30:10,00 --> 01:30:16,50 	reversed letters beneath read "yangtze bath".
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1340 	01:32:00,00 --> 01:32:06,50 	taking them out, she reads the cover page "snowflower and the secret fan."
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1414 	01:36:13,00 --> 01:36:19,50 	in the present, someone reads the manuscript page with doleful eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS25 	00:05:28,00 --> 00:05:35,50 	it reads, "check one.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS115 	00:22:23,00 --> 00:22:43,50 	it reads, someone stutler, fourth grade, b-, the life of napoleon bonaparte.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS213 	00:40:54,00 --> 00:41:08,50 	now, a neon sign over a burger stand reads, "the corner."
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS224 	00:42:54,00 --> 00:43:02,50 	a trophy reads, "magician of the year 2009."
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS263 	00:53:06,00 --> 00:53:14,50 	later, a banner outside a building reads, "new york university athletics."
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS298 	01:02:03,00 --> 01:02:07,50 	now reads, 7:50.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS415 	01:28:00,00 --> 01:28:05,50 	someone reads an attached note.
SOUL_SURFER.srt 	SOUL_SURFER_DVS41 	00:12:53,00 --> 00:13:03,50 	she beckons teens past a sign that reads, "calvary chapel."
SOUL_SURFER.srt 	SOUL_SURFER_DVS92 	00:32:08,00 --> 00:32:12,50 	father who reads a bible.
SOUL_SURFER.srt 	SOUL_SURFER_DVS104 	00:36:26,00 --> 00:36:37,50 	she turns her attention to the side of the road where a series of propped up surfboards read, "welcome home someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS36 	00:06:44,00 --> 00:06:53,50 	gazing out the window, she smiles at the filmore marquee which reads, "msomeone gaye, saturday 9:00 pm."
SPARKLE_2012.srt 	SPARKLE_2012_DVS326 	00:53:29,00 --> 00:53:37,50 	as he reads a book in a burgundy robe, she serves him coffee and caresses his shoulders.
SPARKLE_2012.srt 	SPARKLE_2012_DVS399 	01:07:51,00 --> 01:08:00,50 	now on someone's balcony, sister wearing a white feather-trimmed robe, holds a drink as she reads a magazine.
SPARKLE_2012.srt 	SPARKLE_2012_DVS425 	01:10:47,00 --> 01:10:57,50 	it reads, "presenting someone struthers, 8:00 pm."
SPARKLE_2012.srt 	SPARKLE_2012_DVS509 	01:21:50,00 --> 01:21:56,50 	as sister poses for mugshots, a newspaper headline reads.
SPARKLE_2012.srt 	SPARKLE_2012_DVS544 	01:29:41,00 --> 01:29:48,50 	an underlying song title at the top of a page reads, one wing.
SUPER_8.srt 	SUPER_8_DVS88 	00:14:08,00 --> 00:14:12,50 	someone and someone read scripts.
SUPER_8.srt 	SUPER_8_DVS444 	01:19:09,00 --> 01:19:15,50 	as preston sits reading a magazine, someone approaches and bats it away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS75 	00:10:23,00 --> 00:10:30,50 	later someone reads in a dim library between tall stacks of books.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS121 	00:18:22,00 --> 00:18:27,50 	he reads the note with a magnifying glass.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS257 	00:38:33,00 --> 00:38:37,50 	someone reads a brochure.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS328 	00:50:52,00 --> 00:50:58,50 	later crammed into the plane with someone and the pilots someone reads a flight manual.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS519 	01:13:47,00 --> 01:13:53,50 	nearby two men on ladders unfurl a huge banner, which reads
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS530 	01:15:05,00 --> 01:15:10,50 	a label on the case reads bulletproof.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS567 	01:18:54,00 --> 01:18:59,50 	someone focuses on the label reading bulletproof.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS83 	00:18:59,00 --> 00:19:07,50 	a marquee reads zazie dans le metro.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS135 	00:30:02,00 --> 00:30:16,50 	the teen takes out his cellphone and reads a text message from someone, happy new year.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS208 	00:39:17,00 --> 00:39:37,50 	he reads the newspaper.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS255 	00:48:49,00 --> 00:49:04,50 	she glances back at someone reading alone one table away.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS347 	01:08:28,00 --> 01:08:41,50 	now an illuminated awning over an entry way reads, lou's.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS30 	00:04:22,00 --> 00:04:36,50 	golden letters behind it read, daily news.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS64 	00:12:18,00 --> 00:12:40,50 	a sign on the window reads, sid's bail bonds.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS107 	00:21:19,00 --> 00:21:31,50 	a billboard, featuring someone's mother, reads, kitty borgata.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS297 	00:54:23,00 --> 00:54:32,50 	it reads, cupid's cabin and shows a picture of a bed and breakfast in a victorian style mansion.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS395 	01:15:16,00 --> 01:15:26,50 	reaching another door, they find a lavender heart-shaped sign that reads, bliss in rosy cursive letters.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS478 	01:26:39,00 --> 01:26:44,50 	a caption reads, police bowling league.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS558 	01:40:02,00 --> 01:40:18,50 	one labeled, gotti, k and the other gotti, v. a long flat box beneath them reads handle with care.
THE_CALL.srt 	THE_CALL_DVS772 	00:58:22,00 --> 00:58:29,50 	someone's gps locator still reads no location information.
THE_CALL.srt 	THE_CALL_DVS808 	01:01:17,00 --> 01:01:22,50 	at the hive, someone reads articles on the someone templeton murder.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS69 	00:14:30,00 --> 00:14:35,50 	they pass a sign that reads "ocean outrigger club".
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS103 	00:18:42,00 --> 00:18:48,50 	passing a sign that reads "hawaii pacific institute".
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS320 	00:49:17,00 --> 00:49:25,50 	later, someone sits next to someone, while someone reads in a chair facing the foot of the bed.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS652 	01:33:04,00 --> 01:33:09,50 	above an antique photo of a man with a mutton chop beard, a plaque beside it reads "cecil kikila king.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS675 	01:34:30,00 --> 01:34:35,50 	someone unfolds a ballot and reads it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS64 	00:05:01,00 --> 00:05:09,50 	a sign near its entrance reads millennium.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS179 	00:22:03,00 --> 00:22:09,50 	a train leaves hedestad station where a clock reads 4:30.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS304 	00:35:46,00 --> 00:35:51,50 	a bearded man reads paperwork.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS484 	00:55:28,00 --> 00:55:34,50 	someone reads handwritten notes in someone's white leather bible.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS539 	01:00:58,00 --> 01:01:07,50 	from wennerstrom, it reads, can somebody please explain to me what the fuck is going on with these two assholes?
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS665 	01:12:54,00 --> 01:13:02,50 	later, in the cottage someone reads bible verses on his laptop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS721 	01:20:23,00 --> 01:20:30,50 	at her laptop she stuffs junk food in her mouth then types, magda, underneath a line reading status equals unsolved.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS724 	01:20:31,00 --> 01:20:38,50 	now, someone reads the repeated line, full police report not digitized.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS736 	01:22:13,00 --> 01:22:19,50 	that night at a hostel someone reads by flashlight.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS745 	01:23:51,00 --> 01:24:01,50 	at the cottage, someone attaches a newspaper clipping about birger vanger to the family tree above a sticky note reading son of harold.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS990 	01:48:16,00 --> 01:48:21,50 	as she reads, a figure passes in the next room.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS131 	00:47:25,00 --> 00:47:32,50 	a pale-blue neon sign reads "abilene motor lodge lounge."
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS161 	00:54:20,00 --> 00:54:26,50 	it reads "steak your claim.
THE_SITTER.srt 	THE_SITTER_DVS107 	00:57:35,00 --> 00:57:45,50 	he takes out a scrap of paper and reads an address.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS29 	00:08:24,00 --> 00:08:30,50 	reading his blog post, he sips his beer.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS53 	00:14:37,00 --> 00:14:41,50 	as they read, two guys barged.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS309 	01:51:06,00 --> 01:51:16,50 	it reads, "i'm ceo, bitch.
THE_VOW.srt 	THE_VOW_DVS76 	00:06:43,00 --> 00:06:48,50 	she reads a note on a box of tissues.
THE_VOW.srt 	THE_VOW_DVS79 	00:06:53,00 --> 00:07:01,50 	finding another note, she reads.
THE_VOW.srt 	THE_VOW_DVS276 	00:36:04,00 --> 00:36:13,50 	it reads more evidence.
THE_VOW.srt 	THE_VOW_DVS372 	00:52:21,00 --> 00:52:28,50 	someone pours herself coffee then walks to someone who reads the paper.
THE_VOW.srt 	THE_VOW_DVS527 	01:13:44,00 --> 01:13:50,50 	a pink envelope bears a stamp reading past due.
THE_VOW.srt 	THE_VOW_DVS611 	01:24:17,00 --> 01:24:24,50 	above a phrase reads, joint petition for simplified dissolution of marriage.
THE_VOW.srt 	THE_VOW_DVS682 	01:35:17,00 --> 01:35:27,50 	she reads.
THE_VOW.srt 	THE_VOW_DVS690 	01:36:12,00 --> 01:36:17,50 	it reads, snow day.
THE_WATCH.srt 	THE_WATCH_DVS119 	00:20:08,00 --> 00:20:15,50 	it reads, if you see something, say something.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS198 	00:47:25,00 --> 00:47:29,50 	she reads.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS231 	00:57:48,00 --> 00:57:59,50 	now someone reads a chapter titled, mama's boys.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS231 	00:57:48,00 --> 00:57:59,50 	snippets read, excessively attached to their mother's.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS369 	01:28:51,00 --> 01:28:59,50 	with a dejected look, she opens it and reads, someone, ran out for breakfast.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS400 	01:34:33,00 --> 01:34:39,50 	a sticky note on it reads, found this with your stuff.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS109 	00:18:35,00 --> 00:18:41,50 	he checks out a short-haired woman then takes out his cellphone and reads a text message.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS223 	00:41:38,00 --> 00:41:44,50 	now a marquee reads, the penthouse - beautiful girls nightly.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS243 	00:44:13,00 --> 00:44:19,50 	it reads, boyles - urgent check in.
THOR.srt 	THOR_DVS439 	01:11:21,00 --> 01:11:25,50 	back on earth, someone sits and read a book.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS89 	00:10:33,00 --> 00:10:39,50 	its heading reads "department of dissemination of disbelief"
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS92 	00:10:51,00 --> 00:10:56,50 	someone sits up on the edge of his bed, flips on a lamp, and reads the summons.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS214 	00:27:46,00 --> 00:27:52,50 	he grabs it from a nearby table and reads a text message.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS353 	00:39:25,00 --> 00:39:31,50 	as a player charges someone, someone starts over, then reads a message on the scoreboard.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS387 	00:42:42,00 --> 00:42:46,50 	now, letters on double doors read "break room".
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS404 	00:43:49,00 --> 00:43:53,50 	he picks up his phone and reads a text "assignment cancelled."
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS467 	00:50:16,00 --> 00:50:20,50 	a couple reads on a couch.
TRUE_GRIT.srt 	TRUE_GRIT_DVS106 	00:27:18,00 --> 00:27:22,50 	someone reads a letter.
TRUE_GRIT.srt 	TRUE_GRIT_DVS131 	00:33:44,00 --> 00:33:49,50 	he holds a pipe and a letter, which she reads.
TRUE_GRIT.srt 	TRUE_GRIT_DVS588 	01:41:56,00 --> 01:42:01,50 	it reads.
TRUE_GRIT.srt 	TRUE_GRIT_DVS595 	01:43:37,00 --> 01:43:41,50 	his headstone reads ruben cogburn.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS408 	00:49:48,00 --> 00:49:54,50 	it reads: this present isn't for you.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS412 	00:50:14,00 --> 00:50:23,50 	a text message reads: someone anderson running late.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS476 	00:58:24,00 --> 00:58:28,50 	someone and someone read the card.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS145 	00:25:25,00 --> 00:25:31,50 	the sign reads, welcome, brave new owners.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS329 	00:53:17,00 --> 00:53:21,50 	he reads the measurement.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS410 	01:04:24,00 --> 01:04:33,50 	later at a restaurant, someone sits across a table from his brother and reads bank statements.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS639 	01:34:07,00 --> 01:34:17,50 	it reads, spar, 1993 to 2010, our unforgettable friend and features a photo illustration of the bengal tiger.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS661 	01:37:03,00 --> 01:37:15,50 	bearing someone's portrait of spar as its central logo, it reads rosemoor animal park adventure.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS734 	01:45:08,00 --> 01:45:15,50 	passing the restaurant, he doubles back and reads a new illuminated sign in the window.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS746 	01:46:58,00 --> 01:47:06,50 	now, rain drips from a sign reading zookeepers only.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS757 	01:47:53,00 --> 01:48:02,50 	in an open-air shelter, someone cuts potatoes into chunks, and then puts them in a scale's bowl, and reads the 	measurement.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS762 	01:48:25,00 --> 01:48:37,50 	now, a digital alarm clock on a nightstand reads 6:43 am.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS828 	01:56:07,00 --> 01:56:14,50 	its sign reads little dom's.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS59 	00:04:54,00 --> 00:05:02,50 	entering a workspace, she passes lettering on a window that reads, "linsky solutions."
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS81 	00:06:55,00 --> 00:07:03,50 	a tagline reads "the average number of lovers women have in their lifetime is 10.5."
