21_JUMP_STREET.srt 	21_JUMP_STREET_DVS254 	00:43:31,00 --> 00:43:39,50 	now in his old room, someone nervously taps a cordless phone against his palm, then makes a call.
PROMETHEUS.srt 	PROMETHEUS_DVS431 	00:43:46,00 --> 00:44:00,50 	he makes it over to holloway and helps him pull someone back into a recess made by the forked landing strut.
PROMETHEUS.srt 	PROMETHEUS_DVS431 	00:43:46,00 --> 00:44:00,50 	he makes it over to holloway and helps him pull someone back into a recess made by the forked landing strut.
PROMETHEUS.srt 	PROMETHEUS_DVS763 	01:22:29,00 --> 01:22:40,50 	she makes a few selections from a touch screen, projected over her head.
PROMETHEUS.srt 	PROMETHEUS_DVS780 	01:23:56,00 --> 01:24:06,50 	as she makes a selection on the overhead screen, the alien's four tentacles spread open and it moves its head.
PROMETHEUS.srt 	PROMETHEUS_DVS805 	01:26:16,00 --> 01:26:28,50 	meanwhile someone turns briefly as she makes her way past a hanging space suit.
PROMETHEUS.srt 	PROMETHEUS_DVS856 	01:34:00,00 --> 01:34:05,50 	she rubs her nose over his knuckles and he makes a fist.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS240 	00:44:28,00 --> 00:44:35,50 	the three newcomers make their way down the platform, suitcases in hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS334 	01:03:41,00 --> 01:04:03,50 	they make their way into a garage where a mechanic works on a police car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS460 	01:28:20,00 --> 01:28:25,50 	someone and someone make their own escape.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS544 	01:42:26,00 --> 01:42:32,50 	the two lovers make eye contact.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS652 	02:03:16,00 --> 02:03:45,50 	on the movie screen, gable makes his way down the cell block flanked by guards.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS111 	00:28:29,00 --> 00:28:41,50 	he makes the sign of the cross, then notices a spot of blood at the center of his palm.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS310 	01:14:48,00 --> 01:14:55,50 	now, at twilight, carts of grain make their way along a narrow road through the woods.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS367 	01:31:44,00 --> 01:31:51,50 	father and son make hand prints in wet mortar.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS45 	00:07:23,00 --> 00:07:30,50 	now, audience members shake his hand as someone makes his way up an aisle.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS190 	00:32:09,00 --> 00:32:14,50 	someone makes the busboy touch someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS337 	00:54:53,00 --> 00:55:00,50 	someone cannonballs off the roof, making a huge splash.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS344 	00:55:52,00 --> 00:56:00,50 	someone makes the same face but with a crinkled brow.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS681 	01:39:13,00 --> 01:39:21,50 	the young woman makes some room for someone and he joins her and someone on the blanket.
SALT.srt 	SALT_DVS119 	00:22:47,00 --> 00:22:52,50 	in the security hub, someone makes a call.
SANCTUM.srt 	SANCTUM_DVS297 	00:59:35,00 --> 00:59:46,50 	someone looks back at his hesitant friend who makes a fist and presses on.
SANCTUM.srt 	SANCTUM_DVS312 	01:03:09,00 --> 01:03:16,50 	he looks at more shimmering blood on his palm and makes a fist.
SANCTUM.srt 	SANCTUM_DVS396 	01:17:36,00 --> 01:17:42,50 	someone stumbles as he makes his way over the uneven ground.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS38 	00:02:56,00 --> 00:03:04,50 	outside, a young woman in a bulky knit cap with a pompom on top makes a call on her cellphone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS116 	00:07:51,00 --> 00:07:59,50 	the stepmother leans in intimidatingly, a someone smile plastered on her exquisitely made up features.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS274 	00:18:36,00 --> 00:18:47,50 	we are here today in front of gupo to write your laotong contract and make your vows of eternal commitment.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS506 	00:32:56,00 --> 00:33:03,50 	someone makes her way across a bridge outside a temple, then turns to the young servant.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS722 	00:47:31,00 --> 00:47:39,50 	someone and someone make their way through a tightly packed crowd of fans waving their arms overhead.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1214 	01:21:43,00 --> 01:21:50,50 	the noblewoman politely returns the gesture and makes an effort to sing along.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1322 	01:31:05,00 --> 01:31:13,50 	she makes her way to a bank of wooden lockers and skims her gaze over their numbers.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS48 	00:10:21,00 --> 00:10:38,50 	as he makes a light knocking motion, a wall buckles.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS163 	00:31:41,00 --> 00:32:07,50 	as he makes his way into a shop, a butterfly flits off a table.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS411 	01:26:35,00 --> 01:26:40,50 	now, someone makes out with a young woman.
SPARKLE_2012.srt 	SPARKLE_2012_DVS421 	01:10:19,00 --> 01:10:24,50 	someone makes a scissor gesture.
SUPER_8.srt 	SUPER_8_DVS232 	00:39:46,00 --> 00:39:52,50 	someone smiles then makes her face go slack and tilts her head sideways.
SUPER_8.srt 	SUPER_8_DVS319 	00:57:06,00 --> 00:57:12,50 	he climbs out of bed and trips as he makes his way across the room.
SUPER_8.srt 	SUPER_8_DVS409 	01:13:55,00 --> 01:14:00,50 	someone makes a sharp right turn onto a dirt road.
SUPER_8.srt 	SUPER_8_DVS483 	01:23:25,00 --> 01:23:31,50 	meanwhile, the creature rips seats out of the bus as it makes its way toward someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS167 	00:25:02,00 --> 00:25:10,50 	as the van makes another sharp turn, snowy leaps out of the wagon and onto the fence of a livestock pen.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS19 	00:03:03,00 --> 00:03:11,50 	as a matronly teacher makes her way down an aisle other students hand her their assignments.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS44 	00:10:34,00 --> 00:10:46,50 	her gaze follows as he makes his way past someone and someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS396 	01:16:13,00 --> 01:16:40,50 	in slow motion he stands and makes his way to the stage.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS158 	00:32:27,00 --> 00:32:32,50 	outside, the thug makes a call.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS225 	00:44:40,00 --> 00:44:50,50 	someone braces herself on the headboard, digs her feet into the comforter, and makes her downward facing body as stiff as a board.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS472 	01:25:55,00 --> 01:26:13,50 	glancing around, she creeps out of the bathroom and makes her way up some stairs.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS485 	01:27:44,00 --> 01:27:50,50 	meanwhile, someone makes a call.
THE_CALL.srt 	THE_CALL_DVS167 	00:13:41,00 --> 00:13:49,50 	someone gazes listlessly around the busy room and makes her way to her workstation.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS59 	00:13:15,00 --> 00:13:22,50 	his gait is listless and steady as he makes his way past a few recovery rooms.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS61 	00:13:23,00 --> 00:13:29,50 	a distant doorway shows a nurse making a bed.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS68 	00:14:27,00 --> 00:14:33,50 	someone rides shotgun as he makes a right turn into a parking lot.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS367 	00:57:10,00 --> 00:57:17,50 	the white jeep makes a left turn off the coastal highway onto a side street,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS408 	01:02:04,00 --> 01:02:12,50 	someone and someone trail behind someone and someone as they make their way down the wet sand.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS541 	01:18:45,00 --> 01:18:50,50 	someone and someone make their way across the narrow road.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS214 	00:26:07,00 --> 00:26:14,50 	driving up a one-lane road made visible by two tire tracks in the snow,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS216 	00:26:13,00 --> 00:26:20,50 	inside, as someone tries to make a call on his cell phone,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS229 	00:27:26,00 --> 00:27:31,50 	he attempts to make another call on his cell phone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS379 	00:46:07,00 --> 00:46:11,50 	he makes her rub him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS578 	01:04:08,00 --> 01:04:14,50 	he leans forward making note of someone's orientation on the sidewalk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS926 	01:43:14,00 --> 01:43:20,50 	with a prim glare, the corporate archives manager makes a phone call.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS930 	01:43:28,00 --> 01:43:34,50 	she looks to someone who makes no move to assist her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1026 	01:50:28,00 --> 01:50:34,50 	he makes his way to a bedroom door, tries the handle, and finds it locked.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1049 	01:51:52,00 --> 01:51:58,50 	as she leaves the room, the guard makes a note on a clipboard.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1087 	01:53:57,00 --> 01:54:03,50 	someone peeks in through a window then makes a run for it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1144 	01:59:32,00 --> 01:59:39,50 	someone makes adjustments to the video camera.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS85 	00:29:31,00 --> 00:29:35,50 	they make a u-turn.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS46 	00:13:07,00 --> 00:13:11,50 	as two young women make out.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS290 	01:47:17,00 --> 01:47:28,50 	there's a guy playing an acoustic guitar, two girls making out, and a group smoking pot.
THE_VOW.srt 	THE_VOW_DVS124 	00:12:57,00 --> 00:13:02,50 	he makes the tiny figure dance.
THE_VOW.srt 	THE_VOW_DVS185 	00:20:12,00 --> 00:20:18,50 	he finds the bed crisply made and unoccupied.
THE_VOW.srt 	THE_VOW_DVS235 	00:30:07,00 --> 00:30:14,50 	an artfully made, queen sized bed lies unoccupied behind her.
THE_VOW.srt 	THE_VOW_DVS500 	01:10:07,00 --> 01:10:14,50 	as they make out, we look on from the far end of the table.
THE_VOW.srt 	THE_VOW_DVS532 	01:14:00,00 --> 01:14:07,50 	the newlyweds joyfully make their way up a narrow aisle between the well-wishers.
THE_VOW.srt 	THE_VOW_DVS659 	01:31:16,00 --> 01:31:23,50 	making sketches that resemble the treelike sculptures in her former studio.
THE_WATCH.srt 	THE_WATCH_DVS99 	00:12:37,00 --> 00:12:43,50 	the young man flips his knife around, then makes a stabbing gesture.
THE_WATCH.srt 	THE_WATCH_DVS234 	00:42:32,00 --> 00:42:38,50 	it shows chelsea and a tall, dark-haired boy making out in a closet.
THE_WATCH.srt 	THE_WATCH_DVS235 	00:42:35,00 --> 00:42:42,50 	as they part, she faces her friend shyly while the boy makes a cocky face.
THE_WATCH.srt 	THE_WATCH_DVS297 	00:53:34,00 --> 00:53:40,50 	someone gropes the alien's butt, then pretends to make out with it.
THE_WATCH.srt 	THE_WATCH_DVS367 	01:04:22,00 --> 01:04:28,50 	two couples make out in front of some bushes where someone and someone hide.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS262 	01:09:13,00 --> 01:09:17,50 	someone makes a call.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS307 	01:20:28,00 --> 01:20:33,50 	now someone and someone make out in his car.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS430 	01:39:39,00 --> 01:39:46,50 	entering the bathroom, someone checks the stalls as he makes a phone call.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS529 	01:56:02,00 --> 01:56:13,50 	later, leslie spins past someone and makes a shot.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS201 	00:39:33,00 --> 00:39:40,50 	now in a stylish home, someone dances in a kitchen as she makes microwave popcorn.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS258 	00:48:23,00 --> 00:48:32,50 	behind his back, he discreetly draws a gun then makes a show of resting his hand behind someone's seat back.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS359 	01:05:59,00 --> 01:06:04,50 	someone makes a call as she heads out.
THOR.srt 	THOR_DVS85 	00:11:02,00 --> 00:11:08,50 	a spiked grid dissolves and releases a faceless guardian made of ribbed armor.
THOR.srt 	THOR_DVS129 	00:18:43,00 --> 00:18:51,50 	staying close together, the warriors make their way over uneven shelves of fractured ice.
THOR.srt 	THOR_DVS182 	00:24:15,00 --> 00:24:32,50 	a huge column of black rocks topples behind the others as they flee the beast, which burst through the barricade as if it were made of matchsticks.
THOR.srt 	THOR_DVS479 	01:18:16,00 --> 01:18:23,50 	the faceless guardian made of ribbed armor, the destroyer, steps forward.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS43 	00:05:52,00 --> 00:05:56,50 	the girl makes fangs.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS57 	00:07:13,00 --> 00:07:17,50 	someone makes a face.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS248 	00:32:29,00 --> 00:32:38,50 	with the dollar strapped to his back, he cautiously tiptoes across a hardwood floor, making his way past a looming dining table.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS725 	01:20:11,00 --> 01:20:16,50 	someone makes another turn and gathers speed.
TRUE_GRIT.srt 	TRUE_GRIT_DVS154 	00:35:56,00 --> 00:36:02,50 	on her head, she wears her father's wide-brimmed hat which she packed with paper to make it fit.
TRUE_GRIT.srt 	TRUE_GRIT_DVS256 	00:53:09,00 --> 00:53:15,50 	holding his rifle, someone makes his way to the front of the cabin.
TRUE_GRIT.srt 	TRUE_GRIT_DVS485 	01:32:25,00 --> 01:32:29,50 	she makes sure the gun is cocked.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS90 	00:10:05,00 --> 00:10:10,50 	with a disgusted gape, someone makes a phone call.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS555 	01:14:02,00 --> 01:14:12,50 	she leans against the door frame as they heatedly make out.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS60 	00:11:34,00 --> 00:11:41,50 	she combines the slices to make two sandwiches, then grabs storage bags.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS294 	00:46:49,00 --> 00:46:54,50 	someone makes a heart shape with her hands.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS321 	00:52:19,00 --> 00:52:24,50 	he dramatically makes a fist.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS330 	00:53:30,00 --> 00:53:34,50 	someone makes a note.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS338 	00:55:12,00 --> 00:55:21,50 	behind them, someone shakes her head and makes notes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS356 	00:57:30,00 --> 00:57:42,50 	as the bear trudges away, someone makes a call.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS371 	00:59:17,00 --> 00:59:21,50 	someone makes a call.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS502 	01:17:46,00 --> 01:17:51,50 	he carefully makes his way down.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS617 	01:32:15,00 --> 01:32:24,50 	someone making a goofy face behind a seated someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS686 	01:39:52,00 --> 01:40:01,50 	at buster's enclosure, someone makes notes.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS114 	00:11:26,00 --> 00:11:32,50 	the drunk young woman reluctantly makes her way to the center of the party.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS190 	00:22:40,00 --> 00:22:46,50 	now at a bakery, someone makes notes at a table.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS444 	01:02:08,00 --> 01:02:17,50 	now wearing only boxers, someone loops the ball under his leg and makes a layup.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS454 	01:03:08,00 --> 01:03:12,50 	he makes a layup.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS575 	01:19:21,00 --> 01:19:30,50 	tumbling down beside someone and someone, someone and someone make out.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS621 	01:24:59,00 --> 01:25:08,50 	the other bridesmaids quickly join in, making it a group hug as the sisters' father snaps a photo.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS651 	01:30:58,00 --> 01:31:05,50 	someone wedges between the bride and groom, making someone spill his champagne.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS193 	00:14:49,00 --> 00:14:55,50 	someone uses the banker's watch to stop his arm, then makes him smack himself.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS305 	00:23:34,00 --> 00:23:41,50 	since i was a boy, my father made the finest suits in dusseldorf.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS649 	00:59:40,00 --> 00:59:45,50 	making it squeeze even tighter.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS89 	00:12:56,00 --> 00:13:01,50 	someone takes out her cellphone and makes a call.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS142 	00:24:59,00 --> 00:25:06,50 	she walks into the sports bar and scans the patrons as she slowly makes her way toward the front.
ZOMBIELAND.srt 	ZOMBIELAND_DVS171 	00:16:59,00 --> 00:17:06,50 	he makes repeated efforts, smashing her ankle until a bone juts out.
ZOMBIELAND.srt 	ZOMBIELAND_DVS439 	00:49:56,00 --> 00:50:01,50 	now the oxfords make their way down a hall.
ZOMBIELAND.srt 	ZOMBIELAND_DVS574 	01:06:57,00 --> 01:07:03,50 	as someone pegs another, little someone barely makes it into the passenger seat.
ZOOKEEPER.srt 	ZOOKEEPER_DVS135 	00:28:27,00 --> 00:28:34,50 	someone shuts the door, makes sure no one's watching, then approaches the bears.
