21_JUMP_STREET.srt 	21_JUMP_STREET_DVS495 	01:18:52,00 --> 01:18:58,50 	someone hangs up, sitting alone on a weightlifting bench.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS578 	01:26:52,00 --> 01:26:58,50 	hanging his head, someone pounds the desk even harder.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS590 	01:27:55,00 --> 01:28:01,50 	his jaw hanging slack, someone steps over to her.
SALT.srt 	SALT_DVS461 	01:19:02,00 --> 01:19:07,50 	the general hangs up.
SANCTUM.srt 	SANCTUM_DVS333 	01:06:34,00 --> 01:06:40,50 	someone fixes the collar of his vest and hangs his head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS313 	00:21:28,00 --> 00:21:32,50 	she hangs up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS339 	00:23:13,00 --> 00:23:19,50 	a red scarf hangs over someone's bridal crown,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS433 	00:28:46,00 --> 00:28:57,50 	with a nod, she heads back to an exhibit room where she finds a gallery worker hanging black and white images of disfigured feet on a crisp white wall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS534 	00:35:02,00 --> 00:35:07,50 	she watches sympathetically as someone hangs her head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS672 	00:43:55,00 --> 00:44:02,50 	he turns and ambles across the room to a window, posts his arm on the wall, and hangs his head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS751 	00:49:44,00 --> 00:49:48,50 	someone hangs her head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS804 	00:53:38,00 --> 00:53:46,50 	beyond a steaming wok over a fire pit, slaughtered animal carcasses hang from hooks.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS992 	01:04:44,00 --> 01:04:50,50 	her jackets hangs slung over her chair's backrest
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS318 	01:04:44,00 --> 01:04:51,50 	as someone eyes him curiously, he hangs his head.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS476 	01:40:30,00 --> 01:40:44,50 	he defeatedly hangs his head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS452 	01:14:24,00 --> 01:14:29,50 	someone leans against the door jam and hangs his head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS532 	01:28:26,00 --> 01:28:33,50 	then hangs up the phone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS534 	01:28:36,00 --> 01:28:41,50 	someone sighs and hangs up the phone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS560 	01:31:49,00 --> 01:31:53,50 	he hangs up the phone.
SUPER_8.srt 	SUPER_8_DVS545 	01:31:32,00 --> 01:31:40,50 	as they move closer someone turns and finds himself face-to-face with sheriff pruit who hangs upside down.
SUPER_8.srt 	SUPER_8_DVS547 	01:31:47,00 --> 01:31:52,50 	dozens of bodies hang upside down in the chamber.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS62 	00:09:03,00 --> 00:09:08,50 	framed newspapers hang on the office wall.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS99 	00:14:04,00 --> 00:14:08,50 	crystal chandeliers hang from the ceiling.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS634 	01:24:25,00 --> 01:24:30,50 	someone struggles to hang on to the scrolls.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS92 	00:21:21,00 --> 00:21:34,50 	now a banner hangs over the school entrance, career fair.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS169 	00:34:35,00 --> 00:34:45,50 	he undoes a button of his shirt, then hangs his head with his eyes half closed.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS261 	00:49:51,00 --> 00:50:20,50 	with a frustrated look she hangs up.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS37 	00:06:42,00 --> 00:06:47,50 	in a stall, someone hangs up.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS53 	00:10:49,00 --> 00:10:52,50 	he hangs up.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS419 	01:19:27,00 --> 01:19:31,50 	someone hangs up then stares at her reflection in the mirror.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS424 	01:20:07,00 --> 01:20:12,50 	his back to someone, someone hangs up.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS502 	01:30:51,00 --> 01:30:57,50 	someone watches someone with her captors and hangs up.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS568 	01:42:44,00 --> 01:42:48,50 	someone hangs up.
THE_CALL.srt 	THE_CALL_DVS547 	00:42:09,00 --> 00:42:14,50 	the killer faces the sedan with his mouth hanging open.
THE_CALL.srt 	THE_CALL_DVS588 	00:45:41,00 --> 00:45:49,50 	with his mouth hanging open, the killer lowers the body onto someone and leans over the trunk.
THE_CALL.srt 	THE_CALL_DVS867 	01:05:51,00 --> 01:05:56,50 	she steps forward, her jaw hanging slack.
THE_CALL.srt 	THE_CALL_DVS882 	01:08:24,00 --> 01:08:29,50 	he hangs up and approaches a line of cars.
THE_CALL.srt 	THE_CALL_DVS1055 	01:19:36,00 --> 01:19:53,50 	his fingers hang over the thin door above someone.
THE_CALL.srt 	THE_CALL_DVS1066 	01:20:21,00 --> 01:20:27,50 	someone hangs up and faces the officers leaning over someone's body.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS53 	00:11:31,00 --> 00:11:36,50 	his eyes glisten and he hangs his head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS57 	00:13:03,00 --> 00:13:12,50 	at the end of a hallway, a door's window frames a view of someone shambling closer, his arms hanging at his sides.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS333 	00:51:30,00 --> 00:51:33,50 	she hangs up.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS351 	00:53:56,00 --> 00:54:02,50 	he drops to his hands and knees, hanging his head low to the ground.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS577 	01:26:35,00 --> 01:26:42,50 	her father turns away and hangs his head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS585 	01:27:00,00 --> 01:27:08,50 	she lies with each hand curled around a rolled up towel and her mouth hanging slack.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS701 	01:38:30,00 --> 01:38:36,50 	her mouth hangs open, her lips dry and slightly parched,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS182 	00:23:27,00 --> 00:23:33,50 	someone's jaw hangs slack.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS228 	00:27:22,00 --> 00:27:29,50 	later, he steps out front with a grocery bag and a cigarette hanging from his mouth.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS741 	01:23:33,00 --> 01:23:37,50 	a detective hangs up his phone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS867 	01:36:49,00 --> 01:36:54,50 	later, he sits shirtless in a tub with his legs hanging over its side as water showers onto his head.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS939 	01:44:00,00 --> 01:44:06,50 	three rifles hang on a rack by the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1247 	02:11:47,00 --> 02:11:53,50 	where the heavy set techie sleeps with his mouth hanging open.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1283 	02:14:47,00 --> 02:14:53,50 	he peeks around a corner then approaches someone who hangs up her desk phone.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS33 	00:04:47,00 --> 00:04:53,50 	someone hangs his head and repacks his briefcase.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS61 	00:18:15,00 --> 00:18:21,50 	someone hangs up and furrows his brow.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS74 	00:26:28,00 --> 00:26:34,50 	she takes a small hook out of her purse and hangs the bag on the table.
THE_SITTER.srt 	THE_SITTER_DVS50 	00:28:19,00 --> 00:28:23,50 	he hangs up.
THE_VOW.srt 	THE_VOW_DVS193 	00:22:58,00 --> 00:23:02,50 	someone hangs his head.
THE_VOW.srt 	THE_VOW_DVS198 	00:23:56,00 --> 00:24:02,50 	someone briefly hangs his head then takes a deep breath.
THE_VOW.srt 	THE_VOW_DVS274 	00:35:27,00 --> 00:35:32,50 	someone hangs his head unhappily.
THE_VOW.srt 	THE_VOW_DVS376 	00:52:41,00 --> 00:52:58,50 	sketches hang out of a few half-open drawers and a dresser 10 drawers high.
THE_VOW.srt 	THE_VOW_DVS423 	00:58:37,00 --> 00:58:41,50 	the young woman briefly hangs her head.
THE_VOW.srt 	THE_VOW_DVS581 	01:20:42,00 --> 01:20:49,50 	his suit jacket dangling from one hand, and his tie hanging from the other.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS24 	00:05:02,00 --> 00:05:10,50 	cooking in her kitchen, someone gets a text: mind if i hang with the guys?
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS217 	00:54:17,00 --> 00:54:26,50 	he hangs on it, pulling with his full weight, then falls to the floor.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS433 	01:41:03,00 --> 01:41:07,50 	he hangs up.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS540 	01:57:00,00 --> 01:57:08,50 	as he hangs from the hoop, his legs knock against someone who stands under the basket.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS542 	01:57:11,00 --> 01:57:18,50 	someone alley-oops to butler who hangs from the hoop by one hand.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS151 	00:29:28,00 --> 00:29:36,50 	hanging on by their legs, they grab each other's wrists.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS148 	00:18:06,00 --> 00:18:10,50 	he hangs up a cellphone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS265 	00:33:46,00 --> 00:33:52,50 	on the nearby bed, the blanket hangs over the side.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS478 	00:52:25,00 --> 00:52:29,50 	fairy godmother's jaw hangs slack.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS624 	01:09:07,00 --> 01:09:11,50 	someone hangs his head.
TRUE_GRIT.srt 	TRUE_GRIT_DVS35 	00:05:16,00 --> 00:05:21,50 	a crowd watches three men get hanged.
TRUE_GRIT.srt 	TRUE_GRIT_DVS153 	00:35:51,00 --> 00:35:59,50 	her long neat pigtails hang down over the front of her dark sodden brown coat.
TRUE_GRIT.srt 	TRUE_GRIT_DVS346 	01:11:42,00 --> 01:11:49,50 	fluffy white clouds hang in a blue sky above the trio as their horses plod on across a largely featureless landscape.
TRUE_GRIT.srt 	TRUE_GRIT_DVS440 	01:27:26,00 --> 01:27:33,50 	he hangs his head and stares at the ground.
TRUE_GRIT.srt 	TRUE_GRIT_DVS576 	01:40:30,00 --> 01:40:36,50 	cradling someone in his arms, someone hangs his head.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS255 	00:24:13,00 --> 00:24:21,50 	the branch under her feet snaps and she hangs upside-down.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS326 	00:35:55,00 --> 00:35:59,50 	someone hangs up.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS516 	01:08:11,00 --> 01:08:17,50 	a disco ball hangs from the high-arched ceiling, twinkling with light.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS592 	01:18:38,00 --> 01:18:45,50 	the yellow hallway lights glow harshly above someone as he hangs his head for a moment.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS353 	00:56:54,00 --> 00:57:05,50 	with their jaws hanging open, someone and someone stare 	at the lumbering grizzly.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS464 	01:13:08,00 --> 01:13:15,50 	the tiger hangs his head.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS717 	01:43:17,00 --> 01:43:21,50 	someone hangs her head.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS253 	00:35:06,00 --> 00:35:14,50 	in an alley, several kids play with a ball as white clothes hang on a sun-drenched clothesline nearby.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS377 	00:54:42,00 --> 00:54:46,50 	someone hangs up.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS456 	01:03:15,00 --> 01:03:22,50 	he scans the empty arena, but finds only someone's red dress hanging from the hoop.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS503 	01:12:10,00 --> 01:12:15,50 	someone puts his hands on his hips and hangs his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS152 	00:09:47,00 --> 00:09:54,50 	on the far wall, snapshots hang posted to various spots on a map.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS281 	00:22:23,00 --> 00:22:30,50 	the broodingly handsome man hangs up his jacket and hat, and approaches the bar.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS333 	00:25:10,00 --> 00:25:17,50 	someone swaggers to the photo hanging on the wall and stares at it piercingly.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS435 	00:38:10,00 --> 00:38:14,50 	he hangs upside down.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS563 	00:53:13,00 --> 00:53:20,50 	angel hovers in the air beside someone, who hangs upside-down from the ceiling.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS788 	01:10:28,00 --> 01:10:33,50 	someone hangs his head and someone looks away.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS308 	00:58:43,00 --> 00:58:49,50 	she fingers strings of beads hanging from a desk lamp,
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS321 	00:59:33,00 --> 00:59:38,50 	she stops to gaze at framed photographs hanging on the wall.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS396 	01:17:17,00 --> 01:17:21,50 	she hangs her head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS228 	00:25:04,00 --> 00:25:09,50 	behind someone, someone hangs her head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS415 	00:47:41,00 --> 00:47:46,50 	crystal chandeliers hang from the ceiling.
ZOMBIELAND.srt 	ZOMBIELAND_DVS545 	01:04:00,00 --> 01:04:05,50 	the sun hangs low in the sky
ZOMBIELAND.srt 	ZOMBIELAND_DVS653 	01:13:31,00 --> 01:13:45,50 	hanging off the swing by one arm, he shoots the zombies as they approach the fence.
ZOMBIELAND.srt 	ZOMBIELAND_DVS675 	01:14:58,00 --> 01:15:03,50 	fake bloody animal carcasses hang from the ceiling.
ZOOKEEPER.srt 	ZOOKEEPER_DVS30 	00:04:48,00 --> 00:05:02,50 	someone hangs the tire from a rope on a tree.
ZOOKEEPER.srt 	ZOOKEEPER_DVS46 	00:07:49,00 --> 00:07:56,50 	that night, a banner hanging over a party over the zoo reads, congratulations.
ZOOKEEPER.srt 	ZOOKEEPER_DVS85 	00:18:54,00 --> 00:19:02,50 	the next day, someone peers into someone's pit to find someone hanging a giant whiffle ball from the tree.
ZOOKEEPER.srt 	ZOOKEEPER_DVS272 	00:59:51,00 --> 00:59:59,50 	someone grabs two of the hanging silk drapes.
ZOOKEEPER.srt 	ZOOKEEPER_DVS292 	01:04:31,00 --> 01:04:35,50 	someone hangs up.
