21_JUMP_STREET.srt 	21_JUMP_STREET_DVS67 	00:07:35,00 --> 00:07:40,50 	a fat bearded biker crosses the bridge.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS390 	01:22:06,00 --> 01:22:10,50 	as he crosses a black persian carpet.
SOUL_SURFER.srt 	SOUL_SURFER_DVS63 	00:23:38,00 --> 00:23:42,50 	descend on the others as they cross.
SOUL_SURFER.srt 	SOUL_SURFER_DVS123 	00:40:05,00 --> 00:40:09,50 	that, crossing to one of her surf.
SPARKLE_2012.srt 	SPARKLE_2012_DVS172 	00:28:59,00 --> 00:29:07,50 	now a girl wearing knee-high boots and a mini-dress crosses a busy street and enters a record store.
SPARKLE_2012.srt 	SPARKLE_2012_DVS210 	00:33:31,00 --> 00:33:40,50 	someone crosses the room, smoking a cigarette.
SPARKLE_2012.srt 	SPARKLE_2012_DVS241 	00:37:39,00 --> 00:37:46,50 	they cross their wrists over their chest, then freeze with them crossed at an angle overhead.
SPARKLE_2012.srt 	SPARKLE_2012_DVS241 	00:37:39,00 --> 00:37:46,50 	they cross their wrists over their chest, then freeze with them crossed at an angle overhead.
SPARKLE_2012.srt 	SPARKLE_2012_DVS251 	00:39:16,00 --> 00:39:24,50 	now the club owner crosses the floor and greets the comedian as he and someone arrive on another night.
SPARKLE_2012.srt 	SPARKLE_2012_DVS540 	01:29:15,00 --> 01:29:20,50 	she crosses to a window and looks outside.
SPARKLE_2012.srt 	SPARKLE_2012_DVS549 	01:30:23,00 --> 01:30:30,50 	arriving at columbia records, she crosses to the desk of the blonde haired receptionist.
SPARKLE_2012.srt 	SPARKLE_2012_DVS564 	01:32:55,00 --> 01:33:00,50 	someone crosses the lobby and faces someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS711 	01:34:48,00 --> 01:34:55,50 	later, gulls cross a blue sky as wind ruffles snowy's fur and blows someone's hair.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS69 	00:15:42,00 --> 00:15:56,50 	now he crosses the lunchroom where someone sits with her two friends, a dark haired girl and a preppy guy.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS171 	00:34:50,00 --> 00:34:58,50 	crossing the street, someone picks up her pace as she finds her lost friend.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS203 	00:38:45,00 --> 00:39:04,50 	slowing his pace, he watches his stepfather grab a newspaper off the top of a trash can then cross the street.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS103 	00:20:21,00 --> 00:20:27,50 	now, on her cell, she crosses the verrazano-narrows bridge.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS106 	00:21:11,00 --> 00:21:22,50 	later, the baby blue ragtop crosses the bridge.
THE_CALL.srt 	THE_CALL_DVS923 	01:10:51,00 --> 01:10:59,50 	in it, the lively teen poses on her belly, chin in her hands and ankles crossed up behind her.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS332 	00:51:07,00 --> 00:51:12,50 	she grabs it from him and crosses the room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS347 	00:53:38,00 --> 00:53:43,50 	that evening, he crosses the driveway.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS751 	01:44:50,00 --> 01:44:55,50 	someone crosses the hallway toward her family.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS757 	01:45:08,00 --> 01:45:15,50 	he kisses her temple, then stands aside as she crosses to someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS183 	00:23:34,00 --> 00:23:41,50 	now, pedestrians cross paths outside someone's apartment building.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS218 	00:26:28,00 --> 00:26:36,50 	attempting another call, he crosses to a bedroom where pillows and folded towels lie stacked at the foot of the bed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS219 	00:26:36,00 --> 00:26:44,50 	someone looks over his shoulder then crosses to a window where a tabby waits on the sill in the cold.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS253 	00:29:42,00 --> 00:29:47,50 	under falling snow they cross the front yard.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS258 	00:31:22,00 --> 00:31:34,50 	now in the cottage, someone crosses the living room to a family tree he's created on a wall, and attaches current photos of someone and someone besides various sticky notes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS259 	00:31:31,00 --> 00:31:36,50 	he crosses to a map on another wall
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS317 	00:38:43,00 --> 00:38:47,50 	they cross the chic and minimalist home.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS654 	01:11:19,00 --> 01:11:26,50 	he crosses to a windowsill as the cat watches him from a chair.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS714 	01:19:57,00 --> 01:20:08,50 	now a taxi crosses the bridge back to the island.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1031 	01:50:50,00 --> 01:50:57,50 	it crosses the bridge into hedestad.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1107 	01:55:45,00 --> 01:55:53,50 	someone crosses to the island counter.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1147 	02:01:12,00 --> 02:01:20,50 	she crosses to his laptop and finds the photograph of young someone among the search party,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1151 	02:01:24,00 --> 02:01:29,50 	she looks up from the laptop then crosses the room,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1191 	02:06:54,00 --> 02:07:01,50 	with her gun at the ready, someone crosses the kitchen in search of the someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1257 	02:12:18,00 --> 02:12:25,50 	they cross the street with their hands in their pockets and climb into the van.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1262 	02:12:39,00 --> 02:12:45,50 	someone crosses the street and walks up to the front door.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS258 	01:26:58,00 --> 01:27:05,50 	outside, someone holds on to her son's arm, as they cross the street and head toward their car.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS156 	00:54:44,00 --> 00:54:50,50 	seat at the table and crosses her legs.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS293 	01:48:22,00 --> 01:48:28,50 	he crosses a room on the other side.
THE_VOW.srt 	THE_VOW_DVS343 	00:46:33,00 --> 00:46:43,50 	riding on board, someone glances out her window, as her train crosses an intersecting rail line.
THE_WATCH.srt 	THE_WATCH_DVS25 	00:04:25,00 --> 00:04:30,50 	crossing the store, he slides to a stop.
THE_WATCH.srt 	THE_WATCH_DVS38 	00:05:17,00 --> 00:05:23,50 	he crosses to a circuit breaker panel and opens its door.
THE_WATCH.srt 	THE_WATCH_DVS125 	00:21:14,00 --> 00:21:19,50 	someone watches his new neighbor cross the street.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS53 	00:13:16,00 --> 00:13:28,50 	the successful business woman crosses paths with her and rolls her eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS357 	01:28:08,00 --> 01:28:14,50 	as she embraces her, a horrified look crosses his face.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS98 	00:15:20,00 --> 00:15:26,50 	crossing the office, he glances over her outfit.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS178 	00:32:43,00 --> 00:32:55,50 	outside, as someone crosses the street, someone catches up.
THOR.srt 	THOR_DVS336 	00:50:01,00 --> 00:50:09,50 	he crosses the room and selects a book from a cart, then puts it down and opens a thicker volume beside it.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS186 	00:24:49,00 --> 00:24:54,50 	he crosses his arms and feels his back for wings.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS775 	01:23:25,00 --> 01:23:29,50 	and crosses to the bed.
TRUE_GRIT.srt 	TRUE_GRIT_DVS351 	01:12:13,00 --> 01:12:17,50 	they cross a river.
TRUE_GRIT.srt 	TRUE_GRIT_DVS389 	01:18:48,00 --> 01:18:57,50 	she passes between slender leafless trees crossing the snow dappled ground to the edge of a shallow, fast moving river.
TRUE_GRIT.srt 	TRUE_GRIT_DVS464 	01:31:03,00 --> 01:31:08,50 	someone and someone each fire as they cross paths.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS230 	00:21:33,00 --> 00:21:40,50 	someone closes his eyes and crosses himself, then takes off his jacket.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS387 	00:46:18,00 --> 00:46:25,50 	as someone crosses off items on a list, someone spies someone's nephew.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS399 	00:48:26,00 --> 00:48:31,50 	they cross the set to a coffee station.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS444 	00:54:01,00 --> 00:54:08,50 	under the table, someone crosses her legs.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS54 	00:10:18,00 --> 00:10:29,50 	turning thoughtfully to his son, someone sees him leaning against the bank of lockers with his arms crossed.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS165 	00:28:38,00 --> 00:28:49,50 	we glimpse a binturong crossing a branch, a fox lying in tall grass, one parrot grooming another, a camel licking its 	mouth, and a grizzly bear.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS449 	01:10:21,00 --> 01:10:36,50 	later, the hand crosses off june 10th.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS409 	00:58:07,00 --> 00:58:13,50 	he watches her cross the living room and approach the urban scene.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS571 	01:18:39,00 --> 01:18:43,50 	she crosses her finger
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS695 	01:34:50,00 --> 01:34:56,50 	driving, someone crosses a third wedding off her list.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS703 	01:35:22,00 --> 01:35:28,50 	driving again, she violently crosses another wedding off her list.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS52 	00:04:31,00 --> 00:04:36,50 	the owner crosses to a desk.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS232 	00:17:43,00 --> 00:17:48,50 	the agent crosses the floor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS441 	00:38:59,00 --> 00:39:05,50 	someone crosses to a large hard case sitting on a desk.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS452 	00:39:48,00 --> 00:39:54,50 	she takes the glass and crosses the stylish room to a hatch.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS836 	01:16:45,00 --> 01:16:52,50 	sitting on the window's ledge, someone crosses himself, then spreads his wings.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS970 	01:29:08,00 --> 01:29:14,50 	he crosses the room.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1040 	01:34:12,00 --> 01:34:22,50 	meanwhile on a russian battleship, the captain lowers a pair of binoculars, then crosses to a radioman, who shakes his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1055 	01:35:09,00 --> 01:35:19,50 	do not cross the line.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1067 	01:36:34,00 --> 01:36:42,50 	with wide eyes, he crosses the bridge, pushes a fellow officer out of his way, and presses a button.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1142 	01:42:13,00 --> 01:42:25,50 	someone peers at the someone, who twirls, engulfing himself in a cyclone, which grows tremendously in size and crosses onto the surface of the sea.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1161 	01:43:33,00 --> 01:43:38,50 	someone crosses the cabin.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1176 	01:45:07,00 --> 01:45:15,50 	someone crosses the submarine and reaches a control panel.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1188 	01:46:00,00 --> 01:46:06,50 	in the submarine, someone crosses the office.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1258 	01:53:41,00 --> 01:53:47,50 	crossing the beach, someone, someone, and someone all face the distant fleet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1316 	01:59:22,00 --> 01:59:30,50 	as someone crosses the beach, she glances at someone and someone, then sets her gaze on someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS543 	01:03:43,00 --> 01:03:48,50 	at dusk, the hummer crosses a vast parking lot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS565 	01:06:06,00 --> 01:06:14,50 	now zombies cross the play land parking lot, but the girls remain oblivious.
ZOOKEEPER.srt 	ZOOKEEPER_DVS157 	00:35:29,00 --> 00:35:35,50 	the wolf crosses to a nearby fence, averting his gaze.
ZOOKEEPER.srt 	ZOOKEEPER_DVS388 	01:27:11,00 --> 01:27:17,50 	in a parking lot, someone the gorilla crosses to a van and open.
