21_JUMP_STREET.srt 	21_JUMP_STREET_DVS57 	00:06:00,00 --> 00:06:04,50 	they pass a joint around.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS147 	00:21:42,00 --> 00:21:47,50 	later, someone passes the building's front desk.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS208 	00:30:43,00 --> 00:30:49,50 	someone grins at a passing man.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS244 	00:35:30,00 --> 00:35:36,50 	someone passes the ball.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS317 	00:40:58,00 --> 00:41:04,50 	meanwhile, the penguins pass the row of street vendors.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS418 	00:48:34,00 --> 00:48:40,50 	someone passes with his penguins on a walking rope.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS651 	01:19:07,00 --> 01:19:13,50 	the big guard helps free someone who races to a worker passing in a golf cart.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS674 	01:23:54,00 --> 01:24:02,50 	someone as he passes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS10 	00:03:37,00 --> 00:03:42,50 	they pass a pristine white, estate house.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS27 	00:07:13,00 --> 00:07:19,50 	now, someone passes a hedged in path.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS39 	00:09:59,00 --> 00:10:03,50 	his limousine passes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS154 	00:34:19,00 --> 00:34:33,50 	now in the children's room, someone's shadow passes over their sleeping forms.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS283 	01:02:56,00 --> 01:03:03,50 	they pass a row of red-coated guards who salute someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS308 	01:06:50,00 --> 01:07:21,50 	on the top floor, they pass military strategists who position model planes, ships, and tanks on a table map as big as eight king size beds.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS411 	01:25:54,00 --> 01:26:03,50 	she hands them to someone, who grins, then passes them up the ladder to someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS370 	01:08:28,00 --> 01:08:34,50 	the ball passes through a tube beneath the shrubbery and rolls straight toward the hole.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS26 	00:05:29,00 --> 00:05:34,50 	he despondently passes the women.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS170 	00:42:56,00 --> 00:43:02,50 	her teacher passes someone again.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS195 	00:47:21,00 --> 00:47:28,50 	they pass under a welcome sign and enter a stone gray clobbered building.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS285 	01:11:30,00 --> 01:11:37,50 	they pass a row of older casinos blaring flashy lights.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS307 	01:17:01,00 --> 01:17:07,50 	he passes a craps table, then comes to a roulette game.
PROMETHEUS.srt 	PROMETHEUS_DVS124 	00:07:34,00 --> 00:07:41,50 	as stars twinkle from within a cloudy nebula a point of light source passed.
PROMETHEUS.srt 	PROMETHEUS_DVS152 	00:09:38,00 --> 00:09:44,50 	lights turn on as he passes, then blink out again.
PROMETHEUS.srt 	PROMETHEUS_DVS252 	00:24:11,00 --> 00:24:18,50 	they pass jagged mountains peeking from thick mist as the sun shines through the clouds.
PROMETHEUS.srt 	PROMETHEUS_DVS316 	00:30:43,00 --> 00:30:48,50 	further in, the team passes through a circular archway
PROMETHEUS.srt 	PROMETHEUS_DVS418 	00:42:19,00 --> 00:42:29,50 	a dark shadow passes over them.
PROMETHEUS.srt 	PROMETHEUS_DVS594 	01:06:08,00 --> 01:06:14,50 	riding behind the transport, someone halts and gazes after it as it passes through.
PROMETHEUS.srt 	PROMETHEUS_DVS649 	01:11:02,00 --> 01:11:06,50 	someone passes ravel.
PROMETHEUS.srt 	PROMETHEUS_DVS785 	01:24:21,00 --> 01:24:30,50 	someone scoots down, flattening her head to one side it passes under the flailing alien.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS19 	00:02:46,00 --> 00:03:13,50 	they each pull out a gun and using the spools to conceal them, pass them to the young inmate and man sitting next to him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS77 	00:13:17,00 --> 00:13:25,50 	they pass a trembling customer.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS396 	01:16:14,00 --> 01:16:24,50 	they pass homer who waits outside by their car with his own hostage.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS537 	01:41:30,00 --> 01:41:34,50 	street between passing vehicles.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS580 	01:47:58,00 --> 01:48:18,50 	in the hall, the rest of the agents stand aside as he passes with the weakened woman.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS620 	01:56:33,00 --> 01:56:50,50 	he enters the quiet office, passing a row of empty chairs against the wall of a waiting area.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	a smile crosses someone's lips as he passes through a brilliant shot of sunlight.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS638 	02:00:03,00 --> 02:00:38,50 	across the street, someone accompanies the two women into the cinema, passing a manhattan melodrama poster.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS41 	00:08:51,00 --> 00:09:00,50 	she passes a string of rosary beads to a hand maid.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS168 	00:40:53,00 --> 00:41:00,50 	he eyes someone's comrade as they pass.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS209 	00:50:22,00 --> 00:50:27,50 	someone strolls pass someone, then faces him.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS439 	01:48:39,00 --> 01:48:47,50 	someone retrieves the frenchman's belt and passes it up sword first.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS443 	01:49:55,00 --> 01:49:58,50 	they pass an infant through a window.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS446 	01:51:13,00 --> 01:51:20,50 	as he walks pass the the crowd,
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS524 	02:10:35,00 --> 02:10:45,50 	as high above their heads and watches them pass.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS38 	00:06:02,00 --> 00:06:10,50 	now, a woman hurries into a building, passing an advertisement for two authors.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS129 	00:22:14,00 --> 00:22:19,50 	someone springs up and dashes pass him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS239 	00:36:53,00 --> 00:36:57,50 	a man passes by.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS315 	00:50:05,00 --> 00:50:12,50 	someone's mom opens a wooden door and leads them pass more lush plant life.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS486 	01:14:01,00 --> 01:14:07,50 	looking pass the woman, he notices someone drinking on her own.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS490 	01:15:09,00 --> 01:15:14,50 	a guy passes between them.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS510 	01:19:55,00 --> 01:20:00,50 	someone brushes pass him.
SALT.srt 	SALT_DVS21 	00:03:38,00 --> 00:03:50,50 	as they pass the south korean soldiers at the raised barricade, she blinks tearfully.
SALT.srt 	SALT_DVS22 	00:03:52,00 --> 00:04:37,50 	now pedestrians pass a high-rise apartment building.
SALT.srt 	SALT_DVS33 	00:07:25,00 --> 00:07:34,50 	they rescan their ids and pass back through the security gate.
SALT.srt 	SALT_DVS155 	00:27:20,00 --> 00:27:26,50 	she passes a framed photo of the couple embracing.
SALT.srt 	SALT_DVS203 	00:34:58,00 --> 00:35:03,50 	on a trailer of a passing semi with a hard bounce.
SALT.srt 	SALT_DVS247 	00:42:43,00 --> 00:42:54,50 	passing the rack, someone snatches a garment in each hand without breaking her stride.
SALT.srt 	SALT_DVS311 	00:54:52,00 --> 00:54:58,50 	the lead cruiser veers to one side and passes a u-haul truck.
SALT.srt 	SALT_DVS324 	00:57:46,00 --> 00:58:00,50 	as the sleeper agent sunders pass the sidewalk vendor's hat rack, she steals an ushanka-style fur cap.
SALT.srt 	SALT_DVS515 	01:28:12,00 --> 01:28:25,50 	later, someone passes someone and his men in a corridor.
SALT.srt 	SALT_DVS546 	01:34:05,00 --> 01:34:23,50 	craning his neck, he looks pass her to the fbi agents.
SANCTUM.srt 	SANCTUM_DVS238 	00:51:02,00 --> 00:51:08,50 	someone passes the decompression chamber.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS156 	00:11:36,00 --> 00:11:42,50 	she passes the contract to someone, who adds her signature.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS610 	00:40:30,00 --> 00:40:35,50 	master and lady someone passed away.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS619 	00:41:03,00 --> 00:41:10,50 	passing some scaffolding and a few partly torn down buildings,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS802 	00:53:33,00 --> 00:53:39,50 	the friends pass a single cow standing off to the side.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1021 	01:06:43,00 --> 01:06:49,50 	someone crosses to someone's door, opens it, and passes through.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1259 	01:25:04,00 --> 01:25:13,50 	they pass rows of frosted glass windows, then arrive at an apartment with shoddily whitewashed brick walls.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1263 	01:25:23,00 --> 01:25:30,50 	heading further in, she passes a mirror dotted with stickers and photographs.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1265 	01:25:31,00 --> 01:25:36,50 	someone passes a half-finished painting on an easel,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS24 	00:05:24,00 --> 00:05:29,50 	other school kids pass it along.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS89 	00:17:52,00 --> 00:18:07,50 	as a gray-haired man passes, the urn quivers.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS239 	00:47:05,00 --> 00:47:10,50 	now someone rejoins someone, passing two cops.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS327 	01:07:08,00 --> 01:07:15,50 	later, he passes a park.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS353 	01:14:05,00 --> 01:14:10,50 	they pass do not enter signs.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS458 	01:37:11,00 --> 01:37:15,50 	the bolts pass through
SOUL_SURFER.srt 	SOUL_SURFER_DVS102 	00:35:57,00 --> 00:36:01,50 	they pass by some restaurants then spots a few surfers.
SOUL_SURFER.srt 	SOUL_SURFER_DVS230 	01:11:12,00 --> 01:11:18,50 	the supply helicopter passes overhead.
SOUL_SURFER.srt 	SOUL_SURFER_DVS239 	01:12:57,00 --> 01:13:04,50 	forming a line, the youth group members pass down the sacks one at a time.
SOUL_SURFER.srt 	SOUL_SURFER_DVS247 	01:14:29,00 --> 01:14:55,50 	later, a volunteer passes by carrying a box of soccer balls.
SPARKLE_2012.srt 	SPARKLE_2012_DVS18 	00:02:52,00 --> 00:02:59,50 	someone and the sharp-dressed man lock eyes as she passes the bar.
SPARKLE_2012.srt 	SPARKLE_2012_DVS440 	01:11:58,00 --> 01:12:04,50 	a white businessman does a double take as she passes.
SUPER_8.srt 	SUPER_8_DVS55 	00:07:47,00 --> 00:07:54,50 	later at someone's diner, someone passes a brochure to someone as they sit at the counter.
SUPER_8.srt 	SUPER_8_DVS59 	00:08:53,00 --> 00:08:59,50 	someone's eyes pass over the brochure for a baseball camp
SUPER_8.srt 	SUPER_8_DVS73 	00:11:21,00 --> 00:11:30,50 	someone passes someone a stick of licorice, she eats it.
SUPER_8.srt 	SUPER_8_DVS160 	00:25:16,00 --> 00:25:20,50 	they pass a someone gas station.
SUPER_8.srt 	SUPER_8_DVS408 	01:13:21,00 --> 01:13:29,50 	on a rural highway, someone passes the boys and someone, the camera shop clerk, who speed in the opposite direction.
SUPER_8.srt 	SUPER_8_DVS440 	01:18:36,00 --> 01:18:41,50 	a passing soldier nods to him.
SUPER_8.srt 	SUPER_8_DVS504 	01:25:44,00 --> 01:25:52,50 	ahead, an armored tank fires at the car someone swerves into a driveway as the tank passes behind them.
SUPER_8.srt 	SUPER_8_DVS542 	01:30:48,00 --> 01:30:56,50 	someone follows someone through a tunnel they pass underneath another huge hole on the floor of a house where a lamp flickers.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS165 	00:25:00,00 --> 00:25:04,50 	they pass a street sign.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS533 	01:15:14,00 --> 01:15:20,50 	nearby someone passes the scroll to someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS102 	00:24:29,00 --> 00:24:46,50 	now traffic passes several evergreens adorned with lights.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS170 	00:34:46,00 --> 00:34:53,50 	later, someone lies alone, passed out against the wall.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS314 	00:59:28,00 --> 00:59:35,50 	someone passes in front of our view as the picture fades to black.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS406 	01:18:05,00 --> 01:18:13,50 	as she passes obliviously behind her own portrait, moving with slow deliberate steps,
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS30 	00:04:22,00 --> 00:04:36,50 	she passes a colleague.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS133 	00:26:56,00 --> 00:27:01,50 	she passes him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS281 	00:52:42,00 --> 00:52:49,50 	a sedan passes them and she climbs off the bike.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS367 	01:08:12,00 --> 01:08:19,50 	at a turnoff, they pass a sign reading, cupid's cabin.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS579 	01:44:43,00 --> 01:44:55,50 	now, someone strolls outside passing an officer and handcuffed teen on their way in.
THE_CALL.srt 	THE_CALL_DVS152 	00:12:36,00 --> 00:12:41,50 	the hand grips her chin and a finger passes over her mouth.
THE_CALL.srt 	THE_CALL_DVS159 	00:13:11,00 --> 00:13:16,50 	she passes a framed photo of a police officer.
THE_CALL.srt 	THE_CALL_DVS893 	01:09:09,00 --> 01:09:14,50 	a police cruiser passes in the opposite direction.
THE_CALL.srt 	THE_CALL_DVS983 	01:15:34,00 --> 01:15:42,50 	she passes into a low-ceilinged room bisected by the crumbling wooden skeleton of a wall.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS28 	00:05:41,00 --> 00:05:46,50 	as it passes, we glimpse someone riding shotgun.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS58 	00:13:10,00 --> 00:13:18,50 	he pulls the door open and passes through with a thunderstruck expression on his face.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS60 	00:13:20,00 --> 00:13:26,50 	he passes behind a staffer on the phone at a nurse's station.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS69 	00:14:30,00 --> 00:14:35,50 	they pass a sign that reads "ocean outrigger club".
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS94 	00:17:53,00 --> 00:17:59,50 	they pass the bar where troy drinks beer with his friends.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS98 	00:18:25,00 --> 00:18:34,50 	at dusk, a red car passes terrain decorated with names spelled out in white stones.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS103 	00:18:42,00 --> 00:18:48,50 	passing a sign that reads "hawaii pacific institute".
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS113 	00:19:35,00 --> 00:19:40,50 	they pass through a chain link gate to a driving range.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS121 	00:20:44,00 --> 00:20:50,50 	someone carries a passed out someone down a hallway upstairs.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS189 	00:30:13,00 --> 00:30:20,50 	arriving at a two-story house, he passes a little brown goat on his way up the driveway.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS226 	00:35:14,00 --> 00:35:19,50 	he heads toward his home, passing lush flowering shrubs.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS267 	00:42:37,00 --> 00:42:47,50 	a pickup truck passes by.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS274 	00:43:13,00 --> 00:43:21,50 	traveling through another neighborhood, the car passes a large, beautifully landscaped house on a corner.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS453 	01:08:14,00 --> 01:08:20,50 	the real estate agent gives a sportsmanlike wave as he passes.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS461 	01:08:50,00 --> 01:08:57,50 	as someone passes out of sight, the wronged husband dashes toward the hedge line.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS790 	01:46:59,00 --> 01:47:04,50 	they younger girl tearfully takes hold of the scoop handle, but lets go of it and passes the canister on to someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS75 	00:06:52,00 --> 00:07:01,50 	using keycards she passes purposefully through a series of doors.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS133 	00:13:38,00 --> 00:13:43,50 	watching trees pass the window.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS148 	00:14:40,00 --> 00:14:46,50 	the car passes through a gate set with glowing lamps.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS215 	00:26:11,00 --> 00:26:16,50 	the taxi passes someone's house.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS268 	00:31:59,00 --> 00:32:04,50 	a young officer someone rides a patrol boat passing under the commotion on the bridge.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS362 	00:44:30,00 --> 00:44:36,50 	inside, someone passes a janitor waxing the floor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS407 	00:47:47,00 --> 00:47:53,50 	a close drifting bird's eye view passes over her head.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS739 	01:23:25,00 --> 01:23:32,50 	now someone rides her motorcycle over a bridge as a train passes underneath.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS990 	01:48:16,00 --> 01:48:21,50 	as she reads, a figure passes in the next room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1130 	01:58:17,00 --> 01:58:23,50 	the journalist takes in his surroundings as they pass through an electrical room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1209 	02:08:06,00 --> 02:08:13,50 	someone spots her in his side mirror then cuts her off before she can pass.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS10 	00:06:10,00 --> 00:06:20,50 	passing other pedestrians, he continues down a campus
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS67 	00:17:22,00 --> 00:17:27,50 	they pass under a bridge followed by a small motor boat.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS93 	00:30:15,00 --> 00:30:20,50 	flashback show time passing.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS207 	01:24:31,00 --> 01:24:41,50 	white tents line the shore and varied boats cruise the river passing under an arched bridge.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS243 	01:34:28,00 --> 01:34:35,50 	a shadow passes through the light coming under it.
THE_VOW.srt 	THE_VOW_DVS52 	00:04:07,00 --> 00:04:13,50 	as she passes, he glances after her.
THE_VOW.srt 	THE_VOW_DVS434 	01:00:57,00 --> 01:01:02,50 	passing someone, someone happens upon someone.
THE_VOW.srt 	THE_VOW_DVS522 	01:13:29,00 --> 01:13:35,50 	at dusk in the city, two elevated trains pass one another under the chicago skyline.
THE_VOW.srt 	THE_VOW_DVS602 	01:23:39,00 --> 01:23:45,50 	passing a trio of tall gracefully curved sculptures.
THE_WATCH.srt 	THE_WATCH_DVS82 	00:10:45,00 --> 00:10:49,50 	passing a spartan soldier mascot.
THE_WATCH.srt 	THE_WATCH_DVS173 	00:32:18,00 --> 00:32:25,50 	now, the kid skates out of the station and rolls down an empty street passed closed storefronts.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS441 	01:41:52,00 --> 01:41:56,50 	a woman passes behind him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS537 	01:56:43,00 --> 01:56:54,50 	now someone smacks leslie's legs as she looks to pass.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS22 	00:03:05,00 --> 00:03:29,50 	at the chopper, someone passes his brother a backpack.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS116 	00:20:25,00 --> 00:20:30,50 	she struts pass him and he follows.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS128 	00:23:43,00 --> 00:23:49,50 	now an aerial view, roves pass downtown los angeles.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS209 	00:40:16,00 --> 00:40:24,50 	she passes stairs, steps through a doorway, and shuts it behind her.
THOR.srt 	THOR_DVS157 	00:22:26,00 --> 00:22:32,50 	then passes straight through him before tumbling into a deep ravine.
THOR.srt 	THOR_DVS315 	00:45:29,00 --> 00:45:37,50 	as she catches up with the others, a pickup truck loaded with scientific equipment passes in front of them.
THOR.srt 	THOR_DVS422 	01:06:23,00 --> 01:06:28,50 	passing a table filled with confiscated materials,
THOR.srt 	THOR_DVS588 	01:30:41,00 --> 01:30:52,50 	they follow someone toward the city passing someone, still encased in ice with his face frozen in a scream.
THOR.srt 	THOR_DVS686 	01:42:32,00 --> 01:42:39,50 	sitting at the table, someone smiles then stiffens as someone passes through the crowd behind her.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS31 	00:03:53,00 --> 00:04:00,50 	as a zamboni passes, a grinning someone accepts a pen from a curly-haired boy.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS105 	00:11:40,00 --> 00:11:47,50 	male and female fairies pass by.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS115 	00:12:32,00 --> 00:12:37,50 	bald fairies pass with pamphlets.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS254 	00:33:03,00 --> 00:33:09,50 	the cat's ear twitches as he passes in front of its face.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS297 	00:35:56,00 --> 00:36:08,50 	he winks at the cat as he passes over its head.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS401 	00:43:36,00 --> 00:43:43,50 	as time passes, the break room grows emptier and emptier until only someone remains.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS481 	00:52:40,00 --> 00:52:46,50 	a cagey fairy waits for him as he passes through a doorway.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS726 	01:20:13,00 --> 01:20:21,50 	he smiles at his benched teammates as he passes and they respond with slack-jawed stares.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS807 	01:25:59,00 --> 01:26:04,50 	passing someone, someone pauses and gives him a kiss.
TRUE_GRIT.srt 	TRUE_GRIT_DVS51 	00:08:33,00 --> 00:08:38,50 	she passes a hardware store and heads for colonel g. stonehill's sales table.
TRUE_GRIT.srt 	TRUE_GRIT_DVS389 	01:18:48,00 --> 01:18:57,50 	she passes between slender leafless trees crossing the snow dappled ground to the edge of a shallow, fast moving river.
TRUE_GRIT.srt 	TRUE_GRIT_DVS532 	01:36:39,00 --> 01:36:46,50 	they continues along the plain passing the slain bodies of someone's gang.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS393 	00:47:26,00 --> 00:47:31,50 	as the boy leaves, someone passes someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS495 	01:03:26,00 --> 01:03:33,50 	later in his office, someone sees someone wave as she passes his window.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS101 	00:16:27,00 --> 00:16:33,50 	they pass a cozy-looking white house with an ivy-covered chimney.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS311 	00:50:12,00 --> 00:50:22,50 	as a flashy black pickup passes on a nearby road, she uses a walkie-	talkie.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS629 	01:33:29,00 --> 01:33:36,50 	he wets his lips as he stares longingly at the passing vision of his wife.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS641 	01:34:32,00 --> 01:34:37,50 	passing through patches of flared sunlight.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS734 	01:45:08,00 --> 01:45:15,50 	passing the restaurant, he doubles back and reads a new illuminated sign in the window.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS792 	01:52:33,00 --> 01:52:41,50 	as he smiles at passing patrons, his gaze finds the home depot cashier in the crowd.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS59 	00:04:54,00 --> 00:05:02,50 	entering a workspace, she passes lettering on a window that reads, "linsky solutions."
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS213 	00:27:09,00 --> 00:27:17,50 	later, she passes out with her head on the keyboard.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS347 	00:51:29,00 --> 00:51:33,50 	a passing woman stares at someone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS496 	01:10:38,00 --> 01:10:42,50 	did you pass on someone's number to ally?"
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS475 	00:42:14,00 --> 00:42:19,50 	the complex, passing someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS635 	00:58:46,00 --> 00:58:51,50 	the general falls back and passes out.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS666 	01:01:14,00 --> 01:01:22,50 	in the courtyard, two agents pass the window and look in at angel, someone, someone, and someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS848 	01:17:35,00 --> 01:17:40,50 	passing a window, he sees someone inside.
