21_JUMP_STREET.srt 	21_JUMP_STREET_DVS32 	00:03:46,00 --> 00:03:50,50 	someone lifts the former nerd.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS155 	00:57:55,00 --> 00:58:01,50 	she lifts her face from the sticky muck.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS201 	01:11:21,00 --> 01:11:27,50 	someone's head dips below the water, and he lifts it back out.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS277 	01:30:27,00 --> 01:30:33,50 	he lifts the coconut off of the floor.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS278 	01:30:37,00 --> 01:30:43,50 	he waddles around, then lifts his backside to someone's waist.
KARATE_KID.srt 	KARATE_KID_DVS482 	00:43:34,00 --> 00:43:40,50 	someone lifts his arms, then releases a powerful frontward kick.
KARATE_KID.srt 	KARATE_KID_DVS501 	00:44:45,00 --> 00:44:51,50 	the man lifts someone's leg, then shoves him back.
KARATE_KID.srt 	KARATE_KID_DVS505 	00:45:15,00 --> 00:45:37,50 	he lifts one boy by his britches, and swings him in a circle, letting his sneakered feet whack another boy flat.
KARATE_KID.srt 	KARATE_KID_DVS507 	00:45:48,00 --> 00:46:03,50 	now, as someone fends off several boys simultaneously, someone lifts his head and watches the fight.
KARATE_KID.srt 	KARATE_KID_DVS536 	00:48:19,00 --> 00:48:23,50 	someone lifts his chin.
KARATE_KID.srt 	KARATE_KID_DVS554 	00:50:15,00 --> 00:50:23,50 	grabbing him by his shirt, the aggressor lifts the boy, then drops on his back, and flings him over his head.
KARATE_KID.srt 	KARATE_KID_DVS882 	01:12:24,00 --> 01:12:31,50 	someone lifts his other arm up.
KARATE_KID.srt 	KARATE_KID_DVS971 	01:19:29,00 --> 01:19:42,50 	the disciple tucks her extended leg in briefly, and folds her arms across her torso, then lifts her knee up to her chest, and extends her arms in a slanted t, pointing down at the serpent.
KARATE_KID.srt 	KARATE_KID_DVS994 	01:21:07,00 --> 01:21:12,50 	someone lifts his dripping face.
KARATE_KID.srt 	KARATE_KID_DVS1090 	01:29:56,00 --> 01:30:21,50 	he lifts his brow, smiles, and nods.
KARATE_KID.srt 	KARATE_KID_DVS1197 	01:37:53,00 --> 01:38:00,50 	lifting his eyes, he studies the middle-aged man's care-worn face.
KARATE_KID.srt 	KARATE_KID_DVS1240 	01:41:30,00 --> 01:41:35,50 	the kung fu master lifts his head and finds another rope handle lassoing his other hand.
KARATE_KID.srt 	KARATE_KID_DVS1281 	01:43:31,00 --> 01:43:39,50 	someone steps closer, raising the pole, and lifting the boy's leg into a near-vertical position.
KARATE_KID.srt 	KARATE_KID_DVS1366 	01:50:20,00 --> 01:50:25,50 	someone lifts his brow and looks to someone, who stands hiding in the bushes.
KARATE_KID.srt 	KARATE_KID_DVS1476 	02:00:01,00 --> 02:00:07,50 	the referee raises his flag and the fighting someone lifts his fists.
KARATE_KID.srt 	KARATE_KID_DVS1526 	02:03:49,00 --> 02:03:55,50 	now, he lifts a match to a cotton ball held in a long pair of tweezers.
KARATE_KID.srt 	KARATE_KID_DVS1613 	02:11:17,00 --> 02:11:26,50 	raising his injured knee to his chest, he lifts both hands before him, palms upturned.
KARATE_KID.srt 	KARATE_KID_DVS1616 	02:11:33,00 --> 02:11:37,50 	someone lifts his brow.
KNOCKED_UP.srt 	KNOCKED_UP_DVS80 	00:46:12,00 --> 00:46:17,50 	he lifts his brow and smiles.
KNOCKED_UP.srt 	KNOCKED_UP_DVS181 	01:54:53,00 --> 01:55:01,50 	someone lifts her head off the pillow as dr.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS44 	00:15:35,00 --> 00:15:39,50 	someone lifts his head.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS76 	00:26:11,00 --> 00:26:15,50 	he lifts his trembling chin.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS93 	00:30:15,00 --> 00:30:21,50 	someone lifts an object the size of a large beach ball.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS186 	01:06:19,00 --> 01:06:26,50 	the guys lift their heads, fixated on the creature.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS101 	00:24:37,00 --> 00:24:42,50 	he lifts his brow at the unresponsive students.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS358 	01:26:01,00 --> 01:26:07,50 	as someone heads out of the lecture hall the professor lifts his thermos.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS126 	00:15:17,00 --> 00:15:25,50 	our view lifts up and away from the floating candles to the stars twinkling in the night's sky.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS156 	00:20:54,00 --> 00:21:00,50 	slowly lifting his sheepish gaze, someone looks around the table.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS165 	00:22:31,00 --> 00:22:39,50 	a bengal tiger steps beneath the lifted gate and enters the narrow corridor before them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS385 	00:45:56,00 --> 00:46:02,50 	lifting the edge of the canvas, he peers inside.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS393 	00:46:30,00 --> 00:46:34,50 	someone lifts his head.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS399 	00:46:56,00 --> 00:47:03,50 	curling his abdominal muscles, he lifts his legs and fits them through the life preserver.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS448 	00:51:10,00 --> 00:51:22,50 	he lifts away a hatch beneath the canvas cover and finds a duffle inside.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS450 	00:51:24,00 --> 00:51:33,50 	lifting another hatch, the teen finds it packed with life jackets.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS485 	00:54:14,00 --> 00:54:25,50 	at the boat's prow, someone peaks in at the tiger, he lifts out the duffle of supplies, revealing a sizable stock of canned goods and boxed food beneath.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS545 	00:59:02,00 --> 00:59:08,50 	at the prow, someone lifts the end of the canvas cover and peers beneath.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS631 	01:08:16,00 --> 01:08:22,50 	he crouches and lifts up a hatch in front of his feet.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS781 	01:20:01,00 --> 01:20:08,50 	baring his teeth, the tiger backs away from the bow and someone lifts the spear.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS935 	01:33:05,00 --> 01:33:11,50 	someone lifts his companion's head without resistance,
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS40 	00:17:44,00 --> 00:17:49,50 	someone lifts his brow.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS46 	00:19:22,00 --> 00:19:26,50 	he lifts her brow.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS130 	00:49:03,00 --> 00:49:08,50 	someone lifts his gaze to someone's face.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS162 	00:57:22,00 --> 00:57:34,50 	someone lifts his shirt to reveal his lower back.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS230 	01:21:05,00 --> 01:21:09,50 	someone lifts his chin.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS282 	01:28:33,00 --> 01:28:37,50 	they lift the stretcher into their ridge.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS287 	01:29:19,00 --> 01:29:23,50 	he lifts his leg.
MORNING_GLORY.srt 	MORNING_GLORY_DVS115 	00:26:28,00 --> 00:26:33,50 	she lifts the contract and highlights a line.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS80 	00:12:31,00 --> 00:12:35,50 	it lifts its flippers.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS190 	00:26:50,00 --> 00:26:54,50 	a fourth lifts its rear.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS485 	00:58:57,00 --> 00:59:01,50 	he lifts a fish to his nose.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS549 	01:05:30,00 --> 01:05:36,50 	he lifts his hands from the egg and stares with devastated eyes.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS555 	01:05:48,00 --> 01:05:54,50 	someone lifts his gaze to the rugged, unshaven man and shakes his head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS597 	01:11:05,00 --> 01:11:12,50 	as he lifts his gaze toward the second floor, his face hardens in a resolute look.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS606 	01:12:11,00 --> 01:12:17,50 	with a smile, he takes the phone and dials, then lifts it to his ear.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS703 	01:27:12,00 --> 01:27:24,50 	as the four someone gaze down at the crowd of penguins, our view lifts back over the snowy ridge and widens to show an ice burg in the rippling ocean beyond.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS57 	00:14:18,00 --> 00:14:25,50 	someone lifts a foot.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS173 	00:39:17,00 --> 00:39:24,50 	she lifts her brow and raises her stick, then leans it gently against the table.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS323 	01:11:23,00 --> 01:11:36,50 	lord someone stares downward, picks up his glasses, then lifts his gaze thoughtfully to the boys before him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS349 	01:16:02,00 --> 01:16:12,50 	lifting the papers, he searches underneath, then pats his pockets.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS358 	01:17:08,00 --> 01:17:13,50 	someone lifts the walking stick from the sidecar.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS426 	01:29:56,00 --> 01:30:02,50 	someone lifts her brow and nods proudly.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS434 	01:30:40,00 --> 01:30:44,50 	she lifts her chin.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS483 	01:38:38,00 --> 01:38:43,50 	he lifts someone up in a big hug.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS204 	00:51:03,00 --> 00:51:10,50 	as she comes in, someone lifts her up in his arms and welcomes her with a big kiss.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS305 	01:11:43,00 --> 01:11:49,50 	as the kids climb off, someone lifts her head.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS207 	00:52:29,00 --> 00:52:37,50 	someone circles someone, then squats down and lifts her face close to hers.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS258 	01:07:22,00 --> 01:07:33,50 	his sneakers lift him into the air where he continues his assault.
PROMETHEUS.srt 	PROMETHEUS_DVS430 	00:43:36,00 --> 00:43:44,50 	meanwhile the storm lifts someone.
PROMETHEUS.srt 	PROMETHEUS_DVS433 	00:44:06,00 --> 00:44:13,50 	he lifts a remote control and the line pulls them back towards the open door in the ship.
PROMETHEUS.srt 	PROMETHEUS_DVS444 	00:46:47,00 --> 00:46:53,50 	someone easily releases the helmet, lifting the trunk like snout.
PROMETHEUS.srt 	PROMETHEUS_DVS445 	00:46:54,00 --> 00:47:01,50 	carefully lifting the large helmet off completely, he reveals a human-like head.
PROMETHEUS.srt 	PROMETHEUS_DVS487 	00:51:08,00 --> 00:51:14,50 	meanwhile, someone lifts a rack of four large vials from the urn.
PROMETHEUS.srt 	PROMETHEUS_DVS496 	00:51:47,00 --> 00:51:53,50 	he lifts it to eye level and peers closely at it.
PROMETHEUS.srt 	PROMETHEUS_DVS499 	00:52:11,00 --> 00:52:18,50 	the android lifts a glass off a shelf with his thumb and middle finger, leaving his index finger extended.
PROMETHEUS.srt 	PROMETHEUS_DVS548 	01:01:06,00 --> 01:01:11,50 	someone lifts his brow persistently.
PROMETHEUS.srt 	PROMETHEUS_DVS583 	01:04:56,00 --> 01:05:01,50 	he lifts a hand hesitantly, then tugs down on the skin beneath his eye.
PROMETHEUS.srt 	PROMETHEUS_DVS738 	01:19:38,00 --> 01:19:44,50 	he lifts her limp body back on to the table.
PROMETHEUS.srt 	PROMETHEUS_DVS778 	01:23:41,00 --> 01:23:48,50 	relaxing a bit someone lifts her head of the table and stares slack-jawed.
PROMETHEUS.srt 	PROMETHEUS_DVS898 	01:39:30,00 --> 01:39:38,50 	with both hands, he grabs someone by the throat, then lifts him off his feet and breaks his neck.
PROMETHEUS.srt 	PROMETHEUS_DVS946 	01:44:58,00 --> 01:45:05,50 	the four firing engines lift the someone off the ground.
PROMETHEUS.srt 	PROMETHEUS_DVS1017 	01:51:10,00 --> 01:51:16,50 	the creature lifts the engineer off the floor.
PROMETHEUS.srt 	PROMETHEUS_DVS1034 	01:53:26,00 --> 01:53:30,50 	outside someone lifts her head.
PROMETHEUS.srt 	PROMETHEUS_DVS1076 	01:57:34,00 --> 01:57:46,50 	it lifts its head which bears the oversized claw like growth as a sickle shaped head crest.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	someone lifts the present from its box, staring at it.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS199 	00:37:43,00 --> 00:38:05,50 	someone lifts his knuckles to the door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	as he opens the door all the way, she seductively slides her hands up the porcelain, out of the water, then lifts one shapely leg and caresses the tub's rim with her foot.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS580 	01:47:58,00 --> 01:48:18,50 	someone glances at the other interrogator, then lifts someone from the chair and carries her out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS54 	00:14:20,00 --> 00:14:27,50 	the brawny man stares at the archer tauntingly then, lifts the middle cup.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS55 	00:15:22,00 --> 00:15:27,50 	someone hesitantly lifts his gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS57 	00:16:14,00 --> 00:16:25,50 	someone winces, squeezing his eyes shut, then lifts his head.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS158 	00:39:19,00 --> 00:39:23,50 	someone lifts his head slightly.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS210 	00:50:28,00 --> 00:50:43,50 	he lifts his brow arrogantly, then continues down the corridor.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS305 	01:14:00,00 --> 01:14:19,50 	from a copper pot standing over an open flame, he lifts away a stick tied with mulling sacks and gives his concoction a stir.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS377 	01:33:18,00 --> 01:33:23,50 	someone lifts his gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS394 	01:37:28,00 --> 01:37:35,50 	someone lifts his face.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS395 	01:37:33,00 --> 01:37:40,50 	he remembers his father lifting his face as the soldier bring him to his knees.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS484 	02:00:47,00 --> 02:00:52,50 	mysterious leader who lifts the helmet's visor
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS502 	02:05:48,00 --> 02:05:52,50 	he lifts her upper body cradles her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS512 	02:07:45,00 --> 02:07:50,50 	king someone lifts his gaze to the crowd.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS159 	00:26:26,00 --> 00:26:30,50 	he lifts the bra.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS195 	00:32:52,00 --> 00:32:58,50 	someone lifts her over his shoulder and carries her down the sidewalk.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS320 	00:51:36,00 --> 00:51:41,50 	someone lifts his helmet's face mask.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS467 	01:11:13,00 --> 01:11:18,50 	he lifts his gaze and takes a calming breath.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS516 	01:20:47,00 --> 01:20:54,50 	lifting the typewriter, he grabs the key to the desk drawer hidden underneath.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS583 	01:27:24,00 --> 01:27:30,50 	someone lifts his head and metal type bars fall back into place.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS653 	01:33:50,00 --> 01:33:56,50 	he lifts the typewriter off the desk and sets it aside.
SALT.srt 	SALT_DVS229 	00:39:20,00 --> 00:39:44,50 	then lifts her bloodstained shirt to reveal a gunshot wound at the top of her hip.
SALT.srt 	SALT_DVS350 	01:02:20,00 --> 01:02:28,50 	reaching a dimly lit corridor, someone turns to find two thugs lifting a large circular hatch on the floor.
SALT.srt 	SALT_DVS402 	01:10:30,00 --> 01:10:35,50 	someone turns and lifts his arms.
SALT.srt 	SALT_DVS473 	01:21:09,00 --> 01:21:15,50 	he lifts his brow.
SALT.srt 	SALT_DVS486 	01:24:06,00 --> 01:24:11,50 	someone defiantly lifts her chin.
SANCTUM.srt 	SANCTUM_DVS21 	00:05:22,00 --> 00:05:27,50 	he shakes his head, then lifts it out of the water.
SANCTUM.srt 	SANCTUM_DVS145 	00:30:47,00 --> 00:30:52,50 	someone and someone lifted on to the rocks.
SANCTUM.srt 	SANCTUM_DVS154 	00:32:02,00 --> 00:32:08,50 	someone lifts his head but avoids his son's gaze.
SANCTUM.srt 	SANCTUM_DVS159 	00:33:53,00 --> 00:34:01,50 	tribal shaman elder lifts his face to the dark sky.
SANCTUM.srt 	SANCTUM_DVS421 	01:21:10,00 --> 01:21:22,50 	someone watches his son head to an eye-level cavity in the rock.reaching inside, someone touches a dark, muddy substance, then lifts his fingers to his nose.
SANCTUM.srt 	SANCTUM_DVS426 	01:21:57,00 --> 01:22:02,50 	lifting his foot, someone finds a hold.
SANCTUM.srt 	SANCTUM_DVS445 	01:24:22,00 --> 01:24:29,50 	someone lifts his hand to the light on his own helmet and switches it off.
SANCTUM.srt 	SANCTUM_DVS456 	01:25:31,00 --> 01:25:38,50 	as someone lifts his hand, a trace of light reflects on his palm and fingers.
SANCTUM.srt 	SANCTUM_DVS462 	01:26:11,00 --> 01:26:21,50 	someone removes his helmet as well and his father lifts his face to the hole.
SANCTUM.srt 	SANCTUM_DVS472 	01:28:05,00 --> 01:28:12,50 	someone lights his father's torch with his own and they lift them as if toasting.
SANCTUM.srt 	SANCTUM_DVS531 	01:38:27,00 --> 01:38:38,50 	sliding his hand from his father's forehead, someone lifts his body to the surface.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS135 	00:08:53,00 --> 00:09:00,50 	her mother brings a small pot and lifts the lid.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS198 	00:14:25,00 --> 00:14:31,50 	the child blinks and the woman lifts her to her feet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS312 	00:20:50,00 --> 00:20:55,50 	she lifts it to her ear and waits.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS367 	00:24:34,00 --> 00:24:40,50 	someone takes it, then lifts her gaze to her laotong's.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS382 	00:25:22,00 --> 00:25:29,50 	a young man walks over and lifts off her veil, revealing her elaborate bridal crown.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS391 	00:25:58,00 --> 00:26:06,50 	someone blinks behind the beaded fringe of her bridal crown as her husband kneels and lifts her tiny foot.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS480 	00:31:28,00 --> 00:31:33,50 	setting down her embroidery hoop, the matronly woman lifts a lid off her teacup.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS521 	00:33:50,00 --> 00:33:57,50 	someone lifts her eyes to her laotong's calm face and twitches a tender smile.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS858 	00:56:55,00 --> 00:57:00,50 	she lifts it up across her knee
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS909 	00:59:19,00 --> 00:59:25,50 	someone lifts her up as the butcher stuffs another sack beneath her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS982 	01:04:06,00 --> 01:04:10,50 	and gently lifts her head.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1218 	01:21:54,00 --> 01:22:02,50 	someone lifts her gaze, her eyes shining, as someone comes in with her jintian sisters.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1299 	01:29:43,00 --> 01:29:52,50 	she sways dreamily on her feet, then lifts her head and slips her hands into the pockets with a heavy sigh.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1311 	01:30:31,00 --> 01:30:37,50 	the burly bathhouse attendant stops eating and listens with a lifted brow.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1330 	01:31:30,00 --> 01:31:35,50 	someone lifts a folded fan of the locker's shelf.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1447 	01:38:07,00 --> 01:38:13,50 	someone lifts her steady eyes to her modern day counterpart
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1467 	01:39:08,00 --> 01:39:13,50 	closing her eyes, someone lifts someone's hand onto her stomach.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS106 	00:21:35,00 --> 00:21:39,50 	he lifts the urn to a window.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS189 	00:36:54,00 --> 00:37:01,50 	someone lifts his brow.
SOUL_SURFER.srt 	SOUL_SURFER_DVS45 	00:14:37,00 --> 00:14:43,50 	at the hamilton's, someone's mother lifts a longboard.
SOUL_SURFER.srt 	SOUL_SURFER_DVS217 	01:09:41,00 --> 01:09:47,50 	he lifts his brow then meets her gaze.
SPARKLE_2012.srt 	SPARKLE_2012_DVS619 	01:40:13,00 --> 01:40:20,50 	the mother shuts her eyes, lifts her brow, and gives a sad smile.
SPARKLE_2012.srt 	SPARKLE_2012_DVS627 	01:41:07,00 --> 01:41:13,50 	as someone stares, her mother cocks her head and lifts her brow.
SUPER_8.srt 	SUPER_8_DVS210 	00:36:10,00 --> 00:36:17,50 	the sheriff lifts his head and gazes around himself then takes a few steps toward the road.
SUPER_8.srt 	SUPER_8_DVS225 	00:38:15,00 --> 00:38:21,50 	someone lifts the gas pump handle off the ground then turns and freezes.
SUPER_8.srt 	SUPER_8_DVS364 	01:04:22,00 --> 01:04:27,50 	something lifts someone and her bike into the air.
SUPER_8.srt 	SUPER_8_DVS460 	01:21:06,00 --> 01:21:13,50 	standing under the bus flickering lights someone lifts the rifle.
SUPER_8.srt 	SUPER_8_DVS593 	01:37:04,00 --> 01:37:10,50 	the creature lifts someone close to its own face and studies him.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS170 	00:25:17,00 --> 00:25:23,50 	several cows lift their heads and widened their eyes as snowy races under them.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS173 	00:25:27,00 --> 00:25:31,50 	the crane lifts the crate,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS331 	00:51:16,00 --> 00:51:21,50 	it bounces over waves, then lifts into the air.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS375 	00:55:53,00 --> 00:55:59,50 	an updraft lifts someone's parachute and carries him of his feet.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS408 	00:59:56,00 --> 01:00:02,50 	as the unicorn tips to one side, it lifts the other ship out of the water.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS603 	01:22:01,00 --> 01:22:07,50 	the tank's barrel catches someone's jacket, lifting him out of the sidecar.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS652 	01:28:09,00 --> 01:28:14,50 	nestor shrugs as a crane lifts the car.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS657 	01:28:58,00 --> 01:29:14,50 	as they fight the crane lifts the car, smashes it into a brick wall, then drags it up the wall.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS203 	00:38:45,00 --> 00:39:04,50 	he lifts the straw to his lips and drinks.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS270 	00:51:54,00 --> 00:52:08,50 	gazing into his eyes, she lifts his hand and spins under his arm.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS299 	00:57:37,00 --> 00:57:43,50 	with a heavy blink, she lifts her brown eyes to meet his.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS317 	00:59:51,00 --> 00:59:57,50 	his mother smiles at him and lifts her eyebrows.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS396 	01:16:13,00 --> 01:16:40,50 	someone lifts his gaze, his hazel eyes gleaming.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS380 	01:12:16,00 --> 01:12:20,50 	someone lifts his brow.
THE_CALL.srt 	THE_CALL_DVS875 	01:06:50,00 --> 01:06:55,50 	she lifts her head from her hand and her eyes widen.
THE_CALL.srt 	THE_CALL_DVS957 	01:13:36,00 --> 01:13:40,50 	lifting a wide hatch.
THE_CALL.srt 	THE_CALL_DVS966 	01:14:05,00 --> 01:14:11,50 	then slowly lifts her head and looks toward the dimly lit cabin.
THE_CALL.srt 	THE_CALL_DVS1031 	01:18:43,00 --> 01:18:47,50 	someone lifts the hair and inspects it.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS83 	00:15:36,00 --> 00:15:42,50 	lifting his gaze, he notices someone in the distance.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS242 	00:38:16,00 --> 00:38:21,50 	creasing his lips, he lifts his mournful gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS436 	01:07:03,00 --> 01:07:08,50 	someone lifts his chin.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS527 	01:17:11,00 --> 01:17:16,50 	someone lifts his brow and blinks back his tears.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS601 	01:28:11,00 --> 01:28:16,50 	someone lifts his eyes to his older daughter.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS627 	01:31:36,00 --> 01:31:44,50 	he lifts his gaze from his dying daughter and glances, unfocused, toward the doorway.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS687 	01:37:31,00 --> 01:37:37,50 	someone lifts his brow and shares a thoughtful glance with someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS124 	00:12:51,00 --> 00:12:56,50 	she lifts her head then gets up.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS372 	00:45:40,00 --> 00:45:46,50 	he lifts the bag away and then lets it drop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS462 	00:53:43,00 --> 00:53:51,50 	someone lifts the back of her shirt over her head and lets it fall under her chin.
