21_JUMP_STREET.srt 	21_JUMP_STREET_DVS120 	00:17:54,00 --> 00:18:02,50 	the captain opens his office window.
EASY_A.srt 	EASY_A_DVS20 	00:05:00,00 --> 00:05:09,50 	sunday morning, someone repeatedly opens and shuts the card.
EASY_A.srt 	EASY_A_DVS100 	00:33:41,00 --> 00:33:47,50 	the eavesdroppers scatter as someone opens the door.
EASY_A.srt 	EASY_A_DVS109 	00:36:37,00 --> 00:36:45,50 	someone bonds unto her bed and opens the box.
EASY_A.srt 	EASY_A_DVS228 	01:11:59,00 --> 01:12:04,50 	she starts to open the passenger door, but he shuts it.
EASY_A.srt 	EASY_A_DVS252 	01:16:56,00 --> 01:17:03,50 	she pulls it away, and opens the door.
FLIGHT.srt 	FLIGHT_DVS34 	00:04:18,00 --> 00:04:22,50 	he pauses near one of the wheels, opens his mouth, and sprays some mouth freshener.
FLIGHT.srt 	FLIGHT_DVS137 	00:26:16,00 --> 00:26:21,50 	in a hospital ward, someone slowly opens his right eye.
FLIGHT.srt 	FLIGHT_DVS176 	00:38:55,00 --> 00:39:01,50 	he stops at a door marked stairwell, third floor, and opens it.
FLIGHT.srt 	FLIGHT_DVS194 	00:45:53,00 --> 00:45:58,50 	someone opens a beer, and takes a swig.
FLIGHT.srt 	FLIGHT_DVS228 	00:49:21,00 --> 00:49:26,50 	he opens a freezer, and finds a bottle of vodka.
FLIGHT.srt 	FLIGHT_DVS687 	01:32:49,00 --> 01:32:54,50 	he picks it up and opens it.
FLIGHT.srt 	FLIGHT_DVS777 	01:38:12,00 --> 01:38:17,50 	someone's ex-wife opens the door.
FLIGHT.srt 	FLIGHT_DVS889 	01:44:48,00 --> 01:44:55,50 	he tries to open the thick file someone left for him, and it spreads like an accordion.
FLIGHT.srt 	FLIGHT_DVS905 	01:47:23,00 --> 01:47:30,50 	he opens the door to reveal rows of miniature bottles of alcohol on the shelves.
FLIGHT.srt 	FLIGHT_DVS1241 	02:10:12,00 --> 02:10:16,50 	a guard punches in a code and a wire gate opens, letting someone through.
FLIGHT.srt 	FLIGHT_DVS1246 	02:11:20,00 --> 02:11:24,50 	someone opens a writing pad.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS49 	00:13:17,00 --> 00:13:34,50 	someone opens the gate and steps through.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS87 	00:22:54,00 --> 00:22:59,50 	later someone opens her door to someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS205 	00:54:36,00 --> 00:54:40,50 	with a bra in one hand, she open a door and glances at him.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS339 	01:29:42,00 --> 01:30:01,50 	as he goes to open it, he notices the note he received with the gift basket of sheets.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS351 	01:33:24,00 --> 01:33:39,50 	someone casually opens a menu, his son trudges over.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS387 	01:41:36,00 --> 01:41:49,50 	with their lips still pressed together, someone opens her eyes and smiles.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS15 	00:08:55,00 --> 00:09:00,50 	the sleazy man opens his cell.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS29 	00:20:24,00 --> 00:20:29,50 	slender man opens the door.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS126 	01:15:43,00 --> 01:15:47,50 	someone opens it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS108 	00:17:24,00 --> 00:17:47,50 	someone opens the rear hatch of his suv, pulls out an enormous rifle and hands it off to his brutish henchman.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS124 	00:20:07,00 --> 00:20:26,50 	now he opens the cabinet and rummages through the drugs.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS133 	00:20:53,00 --> 00:21:01,50 	the heavyset thug stands nearby as someone opens someone's door and yanks him out.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS458 	01:06:34,00 --> 01:06:40,50 	someone opens the ambulance's back door.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS522 	01:14:23,00 --> 01:14:33,50 	someone opens his black bloodshot eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS576 	01:23:07,00 --> 01:23:32,50 	he seizes someone by the head and brings his face close, his jaw opening wide.
GREEN_ZONE.srt 	GREEN_ZONE_DVS36 	00:08:29,00 --> 00:08:43,50 	someone removes his mask as two men open a pair of tall doors, letting sunlight flood into the room.
GREEN_ZONE.srt 	GREEN_ZONE_DVS201 	00:52:43,00 --> 00:52:46,50 	he opens a safe.
GREEN_ZONE.srt 	GREEN_ZONE_DVS226 	00:56:22,00 --> 00:56:27,50 	opens his backpack and a guard approaches someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS245 	00:59:02,00 --> 00:59:16,50 	a guard opens a chain-linked gate for them and they turn a corner.
GREEN_ZONE.srt 	GREEN_ZONE_DVS291 	01:07:21,00 --> 01:07:30,50 	at the bottom, the lean man opens a door and peeks outside into a motionless alley.
GREEN_ZONE.srt 	GREEN_ZONE_DVS310 	01:10:26,00 --> 01:10:34,50 	an aide opens up and al-malik enters.
GREEN_ZONE.srt 	GREEN_ZONE_DVS473 	01:43:47,00 --> 01:44:30,50 	she opens the email which reads, let's get this story right this time.
GROWN_UPS.srt 	GROWN_UPS_DVS76 	00:22:15,00 --> 00:22:21,50 	someone opens the door.
HUGO.srt 	HUGO_DVS48 	00:05:46,00 --> 00:05:52,50 	the man releases the boy's arm then opens the notebook.
HUGO.srt 	HUGO_DVS73 	00:09:33,00 --> 00:09:51,50 	the boy turns down a hallway then opens a metal door.
HUGO.srt 	HUGO_DVS106 	00:14:16,00 --> 00:14:21,50 	someone throws open the doors and steps outside.
HUGO.srt 	HUGO_DVS123 	00:15:50,00 --> 00:15:56,50 	a moment later, she opens the front door and steps outside.
HUGO.srt 	HUGO_DVS138 	00:18:55,00 --> 00:19:02,50 	someone's father opens the automaton's shirt and exposes its interior mechanism.
HUGO.srt 	HUGO_DVS167 	00:23:34,00 --> 00:23:41,50 	in the station, the brown-haired woman walks her little dog to the cafe and opens the door.
HUGO.srt 	HUGO_DVS184 	00:26:03,00 --> 00:26:08,50 	meanwhile, someone opens the toyshop.
HUGO.srt 	HUGO_DVS187 	00:26:44,00 --> 00:26:51,50 	as someone opens it, ashes and flakes of charred paper spill onto the floor.
HUGO.srt 	HUGO_DVS273 	00:40:11,00 --> 00:40:18,50 	he opens the door.
HUGO.srt 	HUGO_DVS372 	00:56:39,00 --> 00:56:46,50 	she opens it and gazes down at the drawing of the rocket striking the eye of the man in the moon.
HUGO.srt 	HUGO_DVS382 	00:58:18,00 --> 00:58:24,50 	she opens the door then immediately closes it.
HUGO.srt 	HUGO_DVS384 	00:58:33,00 --> 00:58:38,50 	someone pulls the door almost shut but immediately opens it.
HUGO.srt 	HUGO_DVS387 	00:58:54,00 --> 00:59:01,50 	someone opens the armoire as someone places her ear against the door.
HUGO.srt 	HUGO_DVS414 	01:01:12,00 --> 01:01:19,50 	someone's mouth opens as a drawing of the rocket crashing into the man in the moon drifts past.
HUGO.srt 	HUGO_DVS438 	01:03:50,00 --> 01:03:57,50 	he pushes open a door to the train station, steps inside, then collides with the bookseller.
HUGO.srt 	HUGO_DVS475 	01:09:20,00 --> 01:09:24,50 	someone opens it.
HUGO.srt 	HUGO_DVS489 	01:11:52,00 --> 01:11:56,50 	someone's mouth opens.
HUGO.srt 	HUGO_DVS518 	01:16:25,00 --> 01:16:31,50 	someone slides open a drawer and takes out a film canister.
HUGO.srt 	HUGO_DVS555 	01:22:13,00 --> 01:22:19,50 	later, he lies on his back, his eyes still open.
HUGO.srt 	HUGO_DVS596 	01:25:55,00 --> 01:26:04,50 	a gloved hand pushes open the man's coat revealing a flask in a vest pocket.
HUGO.srt 	HUGO_DVS608 	01:27:32,00 --> 01:27:37,50 	she opens the front door.
HUGO.srt 	HUGO_DVS719 	01:46:30,00 --> 01:46:35,50 	someone opens the cage and sneaks out.
HUGO.srt 	HUGO_DVS724 	01:47:05,00 --> 01:47:12,50 	furrowing his brow, the inspector opens the vent and peers inside.
HUGO.srt 	HUGO_DVS754 	01:50:00,00 --> 01:50:05,50 	opens the window, and climbs inside.
IN_TIME.srt 	IN_TIME_DVS40 	00:04:44,00 --> 00:04:49,50 	opening a flask, someone spikes his coffee.
IN_TIME.srt 	IN_TIME_DVS273 	00:28:02,00 --> 00:28:07,50 	he opens them again and furrows his brow.
IN_TIME.srt 	IN_TIME_DVS480 	00:52:00,00 --> 00:52:05,50 	she vacantly opens the screen door.
IN_TIME.srt 	IN_TIME_DVS521 	00:56:18,00 --> 00:56:25,50 	opening a window, he climbs into the building where he lived with his mother.
IN_TIME.srt 	IN_TIME_DVS569 	01:00:41,00 --> 01:00:48,50 	as the mission's door opens and a man emerges, she sucks in an anxious breath.
IN_TIME.srt 	IN_TIME_DVS624 	01:06:35,00 --> 01:06:41,50 	with a fearful look, the chauffeur pops open a back door.
IN_TIME.srt 	IN_TIME_DVS671 	01:12:42,00 --> 01:12:51,50 	someone opens a large suitcase on the floor and they hurriedly fill it with time capsules from the surrounding shelves.
IN_TIME.srt 	IN_TIME_DVS980 	01:42:44,00 --> 01:42:53,50 	our view widens to reveal a broad row of pillared stone archways opening into the towering bank's courtyard.
INSIDE_MAN.srt 	INSIDE_MAN_DVS29 	00:06:42,00 --> 00:06:54,50 	a customer opens the door for the arriving painters.
INSIDE_MAN.srt 	INSIDE_MAN_DVS56 	00:15:43,00 --> 00:15:48,50 	the hostages divide into two groups standing of a wide alcove that opens to the vault.
INSIDE_MAN.srt 	INSIDE_MAN_DVS71 	00:18:36,00 --> 00:18:41,50 	someone stops and opens the door, looking down near his feet.
INSIDE_MAN.srt 	INSIDE_MAN_DVS97 	00:25:14,00 --> 00:25:31,50 	a door opens.
INSIDE_MAN.srt 	INSIDE_MAN_DVS160 	00:47:19,00 --> 00:47:27,50 	she opens an office door and points to a row of
INSIDE_MAN.srt 	INSIDE_MAN_DVS170 	00:48:29,00 --> 00:48:35,50 	he opens the next room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS178 	00:51:19,00 --> 00:51:26,50 	an officer opens the barricade and a construction worker steps forward.
INSIDE_MAN.srt 	INSIDE_MAN_DVS180 	00:51:34,00 --> 00:51:39,50 	someone opens the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS261 	01:20:15,00 --> 01:20:41,50 	the mastermind opens the door revealing a group of hooded hostages seated on the floor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS262 	01:20:43,00 --> 01:21:07,50 	while someone looks around, the mastermind opens a third door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS402 	01:54:17,00 --> 01:54:27,50 	he opens the front passenger door and hands his duffel bag to someone who passes it someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS407 	01:55:23,00 --> 01:55:29,50 	someone slides out the maroon drawer and opens it.
INSIDE_MAN.srt 	INSIDE_MAN_DVS410 	01:55:54,00 --> 01:55:59,50 	he opens up a note and reads.
INSIDE_MAN.srt 	INSIDE_MAN_DVS411 	01:55:58,00 --> 01:56:13,50 	now, a valet holds open a door for mr. case as he enters his spacious study.
INSIDE_MAN.srt 	INSIDE_MAN_DVS424 	02:00:55,00 --> 02:01:12,50 	a door opens, spilling light into the room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS43 	00:05:15,00 --> 00:05:31,50 	as the bay door opens, someone runs down a ramp and leaps out of the plane.
IRON_MAN_2.srt 	IRON_MAN_2_DVS116 	00:22:43,00 --> 00:22:48,50 	he takes out the envelope and opens it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS186 	00:34:53,00 --> 00:34:58,50 	someone opens the right-rear door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS192 	00:35:29,00 --> 00:35:38,50 	the case opens, converting into a condensed iron man suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS206 	00:37:44,00 --> 00:37:49,50 	an officer opens a door and someone enters a dim room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS210 	00:40:02,00 --> 00:40:06,50 	the officer opens the door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS226 	00:42:38,00 --> 00:42:48,50 	the guard returns and opens the cell door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS237 	00:43:36,00 --> 00:43:44,50 	at the bottom, guards open a gate.
IRON_MAN_2.srt 	IRON_MAN_2_DVS240 	00:43:54,00 --> 00:44:04,50 	later, inside a pristine airplane hangar, two men in gray coveralls open the van's back doors.
IRON_MAN_2.srt 	IRON_MAN_2_DVS256 	00:47:39,00 --> 00:47:46,50 	someone presses buttons on a security system, opens a glass door, and steps into the basement.
IRON_MAN_2.srt 	IRON_MAN_2_DVS262 	00:48:35,00 --> 00:48:40,50 	someone opens a box containing palladium ingots.
IRON_MAN_2.srt 	IRON_MAN_2_DVS281 	00:52:24,00 --> 00:52:32,50 	she opens a compact and dabs makeup on the scars on someone's face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS293 	00:54:20,00 --> 00:54:25,50 	someone closes his eyes, then opens them.
IRON_MAN_2.srt 	IRON_MAN_2_DVS359 	01:06:09,00 --> 01:06:18,50 	in the hangar, someone opens a storage room door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS384 	01:12:50,00 --> 01:12:55,50 	at his house, someone opens the crate.
IRON_MAN_2.srt 	IRON_MAN_2_DVS387 	01:13:07,00 --> 01:13:13,50 	someone opens a round canister's lid and takes out a reel of film.
IRON_MAN_2.srt 	IRON_MAN_2_DVS458 	01:24:01,00 --> 01:24:10,50 	in the lab, he opens a wooden crate containing massive tubes.
IRON_MAN_2.srt 	IRON_MAN_2_DVS592 	01:41:32,00 --> 01:41:40,50 	someone opens the building's door and sprints inside.
IRON_MAN_2.srt 	IRON_MAN_2_DVS603 	01:43:47,00 --> 01:44:08,50 	at hammer industries, someone kicks open the door to someone's control room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS619 	01:45:49,00 --> 01:45:56,50 	someone opens his eyes.
IRON_MAN_2.srt 	IRON_MAN_2_DVS671 	01:50:54,00 --> 01:51:10,50 	someone opens his eyes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	to her left, a wide archway opens into the kitchen.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS137 	00:42:58,00 --> 00:43:04,50 	grimacing, he opens the door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS147 	00:48:16,00 --> 00:48:22,50 	she hurries back and opens the door but finds someone on the porch.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS179 	00:57:34,00 --> 00:57:39,50 	smiling she opens her hands in his direction.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS192 	01:00:17,00 --> 01:00:23,50 	as she gazes at a door it open the door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS265 	01:15:29,00 --> 01:15:35,50 	someone opens the door and peeks out then grins.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS363 	01:41:54,00 --> 01:42:25,50 	someone gazes back at her then looks away and opens the driver side door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS372 	01:43:42,00 --> 01:43:46,50 	someone opens the door and smiles.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS374 	01:44:02,00 --> 01:44:23,50 	she opens a door and finds someone, someone, and someone lying in bed together under a blanket.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS405 	01:53:11,00 --> 01:53:22,50 	someone steps outside and opens an umbrella.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS160 	00:32:36,00 --> 00:32:41,50 	someone opens the door to a dower, clean cut man.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS177 	00:34:55,00 --> 00:35:00,50 	opening the door, she finds it empty.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS304 	00:58:35,00 --> 00:58:41,50 	he looks around then opens a door for some air.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS354 	01:06:56,00 --> 01:07:00,50 	someone opens his arms inquisitively.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS27 	00:02:51,00 --> 00:02:59,50 	a concierge opens double doors to a courtyard.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS33 	00:03:39,00 --> 00:03:59,50 	she sets it down and opens its door.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS45 	00:05:23,00 --> 00:05:37,50 	someone opens french doors to a faux balcony, closing her eyes, as a breeze wafts through her curly hair.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS53 	00:06:01,00 --> 00:06:08,50 	now, in queens, a burly man opens the storefront of the pizzeria.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS172 	00:31:51,00 --> 00:32:02,50 	now a classroom door opens.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS202 	00:38:48,00 --> 00:38:55,50 	someone opens a padded envelope, which contains a small bottle and a note.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS235 	00:44:08,00 --> 00:44:13,50 	opening it, someone grins at someone,
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS331 	01:04:17,00 --> 01:04:22,50 	someone opens a letter.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS434 	01:26:02,00 --> 01:26:08,50 	someone's concierge opens the front door as they approach.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS557 	01:49:54,00 --> 01:50:01,50 	someone opens up and shivers.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS563 	01:50:24,00 --> 01:50:35,50 	she takes a seat on a cushion wicker bench, opens the envelope, and reads.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS606 	01:57:14,00 --> 01:57:20,50 	opening her purse, she pulls out a pound of butter, and shows to the portrait.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS260 	01:27:33,00 --> 01:27:46,50 	someone opens his arms.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS296 	01:36:42,00 --> 01:36:48,50 	the elevator opens and someone freezes.
KARATE_KID.srt 	KARATE_KID_DVS238 	00:20:46,00 --> 00:20:52,50 	the bathroom door opens, revealing someone with a cap tipped over his eyes.
KARATE_KID.srt 	KARATE_KID_DVS364 	00:32:23,00 --> 00:32:27,50 	as she steps away, someone opens his eyes.
KARATE_KID.srt 	KARATE_KID_DVS382 	00:34:15,00 --> 00:34:20,50 	someone opens the door and leans in.
KARATE_KID.srt 	KARATE_KID_DVS471 	00:41:57,00 --> 00:42:12,50 	as someone's crew struggle to open the doors, someone steps back and waits.
KARATE_KID.srt 	KARATE_KID_DVS472 	00:42:10,00 --> 00:42:30,50 	another boy leaps over the wall, then opens the doors for his friends.
KARATE_KID.srt 	KARATE_KID_DVS960 	01:18:36,00 --> 01:18:44,50 	where two railings make a corner, a monk does a split from one to the other, and snaps open a large fan.
KARATE_KID.srt 	KARATE_KID_DVS1129 	01:34:01,00 --> 01:34:08,50 	as someone opens her eyes, the boy claps his hands earnestly.
KARATE_KID.srt 	KARATE_KID_DVS1344 	01:48:39,00 --> 01:48:47,50 	someone opens the door.
KNOCKED_UP.srt 	KNOCKED_UP_DVS138 	01:23:02,00 --> 01:23:07,50 	opens the front door and stares through red-rimmed eyes.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS43 	00:15:17,00 --> 00:15:32,50 	he opens his eyes and blinks.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS45 	00:15:43,00 --> 00:15:59,50 	slowly opening it, she looks around and gapes.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS96 	00:31:49,00 --> 00:31:53,50 	someone breaks open a melon-like fruit.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS61 	00:16:45,00 --> 00:16:50,50 	then opens a drawer and takes out a pill.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS122 	00:28:28,00 --> 00:28:35,50 	she opens her mouth to speak, then strides off.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS292 	01:10:18,00 --> 01:10:25,50 	still in her pajamas, she opens a windows blinds.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS344 	01:19:36,00 --> 01:19:41,50 	driver side door opens someone places her heels on the ground
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS351 	01:20:44,00 --> 01:20:48,50 	it opens.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS112 	00:13:19,00 --> 00:13:23,50 	so krishna opened his mouth.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS309 	00:39:14,00 --> 00:39:20,50 	reaching a door at the end of the corridor, he struggles to open it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS448 	00:51:10,00 --> 00:51:22,50 	opening it, he finds a red booklet titled, "survival at sea" lying atop an array of supplies.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS490 	00:54:41,00 --> 00:54:47,50 	taking out small boxes, he chucks one in and opens the other.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS575 	01:03:53,00 --> 01:04:00,50 	someone opens his mouth wide in what appears to be a lazy yawn.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS982 	01:36:45,00 --> 01:36:51,50 	swimming forward, he opens his mouth wide and fills it with water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1017 	01:39:26,00 --> 01:39:32,50 	someone's eyes open up and he peeks over the branch.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1119 	01:57:53,00 --> 01:58:01,50 	seated on a couch, the young writer glances after him then opens the insurance file.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS59 	00:20:58,00 --> 00:21:05,50 	its window, he opens it then jogs across the street to the someone' car.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS131 	00:49:30,00 --> 00:49:39,50 	later, someone opens the apartment door and steps into the dark living room.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS139 	00:51:27,00 --> 00:51:34,50 	in the bathroom, someone pulls on latex gloves then opens the needle and syringe.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS156 	00:55:32,00 --> 00:56:04,50 	leaning in, someone opens the zebra print page then scrolls down to find the photo of someone kissing someone on the cheek.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS219 	01:19:02,00 --> 01:19:07,50 	clinging by his legs, he opens his arms.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS223 	01:20:08,00 --> 01:20:13,50 	someone opens a shoebox.
MORNING_GLORY.srt 	MORNING_GLORY_DVS64 	00:12:20,00 --> 00:12:25,50 	she opens the door and leaves.
MORNING_GLORY.srt 	MORNING_GLORY_DVS235 	00:52:12,00 --> 00:52:17,50 	she opens her eyes and blinks.
MORNING_GLORY.srt 	MORNING_GLORY_DVS264 	00:59:34,00 --> 00:59:39,50 	someone opens his front door.
MORNING_GLORY.srt 	MORNING_GLORY_DVS474 	01:39:46,00 --> 01:39:51,50 	someone opens a large oven on the set.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS76 	00:11:51,00 --> 00:11:59,50 	now fully dressed, someone opens his front door and finds a wooden crate waiting for him in a hallway.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS116 	00:19:11,00 --> 00:19:17,50 	as he opens it, water gushes out, knocking someone down.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS168 	00:24:05,00 --> 00:24:10,50 	opening the door, someone finds a wooden crate.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS183 	00:25:40,00 --> 00:25:45,50 	he opens a tin of sardines.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS199 	00:28:25,00 --> 00:28:29,50 	someone cracks open the door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS464 	00:55:10,00 --> 00:55:17,50 	in a flashback, young someone sits at the table with his parents and opens a gift.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS466 	00:55:31,00 --> 00:55:38,50 	later, someone holds open the restaurant's door as someone walks outside.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS538 	01:04:35,00 --> 01:04:41,50 	now someone wipes snow off his laptop and opens it.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS595 	01:10:30,00 --> 01:10:35,50 	opening it, he pulls out a letter and reads.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS616 	01:15:03,00 --> 01:15:08,50 	someone opens a holding tank.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS621 	01:15:36,00 --> 01:15:41,50 	a guard opens the tank door
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS644 	01:18:15,00 --> 01:18:21,50 	someone fearfully opens his eyes, and gapes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS20 	00:05:16,00 --> 00:05:23,50 	it waddles alongside her a few paces then opens its beak.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS45 	00:10:49,00 --> 00:10:53,50 	someone opens his door.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS60 	00:14:58,00 --> 00:15:07,50 	a third opens high above her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS61 	00:15:14,00 --> 00:15:20,50 	her way to a shelf where a teapot's lid opens like a mouth.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS69 	00:16:24,00 --> 00:16:28,50 	he opens it.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS118 	00:26:24,00 --> 00:26:28,50 	she looks at a window which opened.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS159 	00:36:23,00 --> 00:36:33,50 	someone hurries into someone's room and opens the wardrobe.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS223 	00:46:49,00 --> 00:46:54,50 	smiling, farmer someone opens the cart.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS242 	00:50:26,00 --> 00:50:39,50 	running to the car, she opens the passenger door and finds the backseat empty.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS269 	00:59:08,00 --> 00:59:25,50 	her lips pressed into a brisk smile, someone opens the envelope.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS321 	01:11:09,00 --> 01:11:21,50 	the man looks into his nephew's unwavering eyes, then opens his mouth to speak.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS113 	00:17:50,00 --> 00:17:54,50 	he opens his eyes.
