21_JUMP_STREET.srt 	21_JUMP_STREET_DVS41 	00:04:38,00 --> 00:04:43,50 	the oddly matched recruits cover each other.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS75 	00:17:11,00 --> 00:17:17,50 	someone covers his sketch with homework as someone enters.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS210 	00:40:26,00 --> 00:40:40,50 	now in a gallery at the whitney museum, someone and someone face a gray canvas covered with chalky scribbles.
THE_CALL.srt 	THE_CALL_DVS756 	00:57:22,00 --> 00:57:28,50 	he lowers her to the ground, covers her mouth, and puts the phone to his ear.
THE_CALL.srt 	THE_CALL_DVS869 	01:05:56,00 --> 01:06:02,50 	someone breaks through the door and grabs her, covering her mouth.
THE_CALL.srt 	THE_CALL_DVS878 	01:07:37,00 --> 01:07:45,50 	someone tosses off her headset and covers her eyes.
THE_CALL.srt 	THE_CALL_DVS914 	01:10:15,00 --> 01:10:20,50 	in the corner, plastic sheets cover old furniture.
THE_CALL.srt 	THE_CALL_DVS1004 	01:17:01,00 --> 01:17:09,50 	as he walks away from the door, our view shifts to reveal a pink twin bed covered in blood.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS45 	00:09:08,00 --> 00:09:15,50 	someone covers a half-eaten salad.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS125 	00:20:57,00 --> 00:21:03,50 	someone guides her raised knees down and covers her with a quilt.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS267 	00:42:37,00 --> 00:42:47,50 	someone and someone duck down in their seats and discreetly cover their faces.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS300 	00:45:28,00 --> 00:45:36,50 	someone shuts the door behind him, then draws a curtain covering the windows to the ward floor.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS699 	01:38:24,00 --> 01:38:30,50 	a gauze dressing covers the stoma in her trachea,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS815 	01:48:44,00 --> 01:48:50,50 	someone adjusts the end of someone's blanket and covers his legs.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS176 	00:21:46,00 --> 00:21:51,50 	a second grid of the artwork covers another wall.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS631 	01:09:06,00 --> 01:09:12,50 	tattooed words cover his torso in a bloody scrawl.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1135 	01:58:41,00 --> 01:58:49,50 	turning, someone finds him covering his own face with an oxygen mask as he flips a switch.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1345 	02:24:33,00 --> 02:24:39,50 	in her bathroom she covers the tattoo on her neck with makeup.
THE_SITTER.srt 	THE_SITTER_DVS47 	00:27:02,00 --> 00:27:08,50 	cocaine powder covers someone's face from the nose up.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS104 	00:33:48,00 --> 00:33:55,50 	someone takes notes on a page covered in doodles.
THE_VOW.srt 	THE_VOW_DVS140 	00:14:31,00 --> 00:14:37,50 	a rumpled sheet covers their waists.
THE_VOW.srt 	THE_VOW_DVS231 	00:29:54,00 --> 00:30:01,50 	in the living room, a shirtless someone covers his bare feet with a nappy blanket
THE_VOW.srt 	THE_VOW_DVS280 	00:37:01,00 --> 00:37:06,50 	someone sorrowfully covers her mouth.
THE_VOW.srt 	THE_VOW_DVS397 	00:55:30,00 --> 00:55:36,50 	in the studio, someone eyes the section of wall covered in drawings and other artwork,
THE_WATCH.srt 	THE_WATCH_DVS239 	00:43:42,00 --> 00:43:50,50 	in his house, someone stands facing a homemade evidence board covered with maps, photos, notes, and newspaper clippings.
THE_WATCH.srt 	THE_WATCH_DVS461 	01:22:54,00 --> 01:23:01,50 	someone covers his ears.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS310 	01:20:37,00 --> 01:20:41,50 	she covers herself up.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS144 	00:28:56,00 --> 00:29:00,50 	someone covers someone's eyes.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS405 	01:12:26,00 --> 01:12:33,50 	someone's head sinks and he covers his eyes.
THOR.srt 	THOR_DVS59 	00:07:05,00 --> 00:07:12,50 	his right eye covered by a patch, the grizzled king studies the two boys with his piercing left eye.
THOR.srt 	THOR_DVS250 	00:34:03,00 --> 00:34:11,50 	in a research lab, someone and someone join someone at a bulletin board covered with pictures of the magnetic storm.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS524 	00:57:57,00 --> 00:58:04,50 	someone covers his face with his gloved hand.
TRUE_GRIT.srt 	TRUE_GRIT_DVS47 	00:08:16,00 --> 00:08:21,50 	a body lies on a small wagon covered in sacking.
TRUE_GRIT.srt 	TRUE_GRIT_DVS70 	00:17:34,00 --> 00:17:39,50 	and white stubble covers his chin.
TRUE_GRIT.srt 	TRUE_GRIT_DVS265 	00:54:48,00 --> 00:54:59,50 	the younger, moon, has lank straggly hair and his face is covered in sweat.
TRUE_GRIT.srt 	TRUE_GRIT_DVS274 	00:58:12,00 --> 00:58:17,50 	blood speckles cover someone's cheek.
TRUE_GRIT.srt 	TRUE_GRIT_DVS310 	01:04:20,00 --> 01:04:28,50 	someone and someone walk past the dead man to someone, who's mouth is covered in blood.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS258 	00:24:34,00 --> 00:24:40,50 	she covers her eyes.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS295 	00:30:11,00 --> 00:30:15,50 	in a dream, someone stands naked with cartoon clouds covering her chest and hips.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS364 	00:42:58,00 --> 00:43:03,50 	sitting back in his seat, someone covers his mouth.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS102 	00:16:32,00 --> 00:16:42,50 	they pull up in front of a ranch-style house with a yard 	covered in native-california plants.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS52 	00:03:48,00 --> 00:03:58,50 	a strikingly handsome man steps out naked, covering his genitals with a dishrag.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS223 	00:28:26,00 --> 00:28:32,50 	he lifts the dishrag covering his genitals and dabs at his mouth.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS473 	01:06:30,00 --> 01:06:35,50 	he lies beside her and she covers up a bit.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS747 	01:40:06,00 --> 01:40:11,50 	she covers his mouth with her hand and shakes her head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS443 	00:39:06,00 --> 00:39:11,50 	designed to cover the entire head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS532 	00:48:53,00 --> 00:49:01,50 	entering a room covered in mirrored panels, someone finds someone staring down at a waist-high nuclear reactor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1156 	01:43:10,00 --> 01:43:19,50 	someone hits the floor and someone covers him, securing them both to the metal hull as the jet rolls upside-down.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1198 	01:47:08,00 --> 01:47:15,50 	on the deck, someone spots someone flying his way and covers his ears.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1297 	01:57:03,00 --> 01:57:08,50 	someone covers her mouth.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS216 	00:40:28,00 --> 00:40:34,50 	he points toward a nearby table covered with paperback books.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS383 	01:14:06,00 --> 01:14:11,50 	someone covers her face as the garage door opens.
ZOMBIELAND.srt 	ZOMBIELAND_DVS683 	01:15:33,00 --> 01:15:40,50 	someone glances at her sister as the blood covered zombie climbs closer.
