21_JUMP_STREET.srt 	21_JUMP_STREET_DVS26 	00:03:12,00 --> 00:03:18,50 	he gives the trashcan a kick then grabs his aching leg.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS437 	01:02:37,00 --> 01:02:45,50 	as another monk gropes in the dark, someone grabs him from behind, rip him and lets him fall.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS439 	01:02:44,00 --> 01:03:11,50 	he grabs another from behind.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS439 	01:02:44,00 --> 01:03:11,50 	the monk grabs someone's throat and he collapses to his knees, waving his hands in surrender.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS441 	01:03:16,00 --> 01:03:34,50 	someone smashes the monk's hand, grabs his jaw, then slams him onto his back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS511 	01:13:38,00 --> 01:13:47,50 	he grabs his bag and leaves.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS567 	01:21:50,00 --> 01:22:03,50 	someone grabs the chains which start to rot in his grasp.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS568 	01:22:01,00 --> 01:22:11,50 	recovering, someone grabs him from behind.
GREEN_ZONE.srt 	GREEN_ZONE_DVS140 	00:32:12,00 --> 00:32:16,50 	someone grabs the notebook.
GREEN_ZONE.srt 	GREEN_ZONE_DVS192 	00:49:29,00 --> 00:49:41,50 	in a neglected, once luxurious bedroom, someone slings a backpack over his shoulder, closes the laptop, and grabs his gun from the bed.
GREEN_ZONE.srt 	GREEN_ZONE_DVS353 	01:20:12,00 --> 01:20:19,50 	someone grabs a pistol from under his sedan's backseat and hustles off.
GREEN_ZONE.srt 	GREEN_ZONE_DVS390 	01:29:26,00 --> 01:29:30,50 	his foe, both grab the gun.
GROWN_UPS.srt 	GROWN_UPS_DVS226 	01:05:47,00 --> 01:05:52,50 	he steps up to the platform and grabs the handles.
HUGO.srt 	HUGO_DVS279 	00:40:37,00 --> 00:40:45,50 	in an apartment, a man swings out the bottom of his window, forcing someone to grab onto the hands of a nearby clock.
HUGO.srt 	HUGO_DVS282 	00:40:50,00 --> 00:40:56,50 	a mustached man sneaks up behind someone and someone and grabs their shoulders.
HUGO.srt 	HUGO_DVS293 	00:43:31,00 --> 00:43:37,50 	someone starts to slide away but someone grabs the hem of his coat.
HUGO.srt 	HUGO_DVS402 	01:00:21,00 --> 01:00:26,50 	someone grabs the box with both hands and pulls it forward.
HUGO.srt 	HUGO_DVS423 	01:01:54,00 --> 01:02:01,50 	someone furiously crumples the drawings as someone tries to grab his hands.
HUGO.srt 	HUGO_DVS597 	01:26:02,00 --> 01:26:08,50 	a policeman grabs the flask and turns it upside down.
HUGO.srt 	HUGO_DVS712 	01:45:01,00 --> 01:45:05,50 	the inspector grabs someone.
HUGO.srt 	HUGO_DVS737 	01:48:21,00 --> 01:48:32,50 	he reaches up and grabs onto the clock's giant minute hand - a thin metal beam pointed at the number three.
IN_TIME.srt 	IN_TIME_DVS171 	00:18:38,00 --> 00:18:43,50 	someone grabs him into a hug.
IN_TIME.srt 	IN_TIME_DVS414 	00:44:40,00 --> 00:44:47,50 	someone springs up, grabs a timekeeper's gun and punches both officers flanking him.
IN_TIME.srt 	IN_TIME_DVS418 	00:44:56,00 --> 00:45:06,50 	someone flings a guard to the floor, then grabs someone.
IN_TIME.srt 	IN_TIME_DVS465 	00:50:18,00 --> 00:50:24,50 	he grabs her forearm and gives her a few minutes.
IN_TIME.srt 	IN_TIME_DVS485 	00:52:47,00 --> 00:52:58,50 	he grabs her hand and leads her down the steps.
IN_TIME.srt 	IN_TIME_DVS561 	01:00:14,00 --> 01:00:22,50 	he grabs two guns off the table, tucking one into the back of his waistband as he strides out of the room.
IN_TIME.srt 	IN_TIME_DVS915 	01:36:37,00 --> 01:36:45,50 	grabbing someone's hand, someone pulls her against the flow of the crowd which now hurries toward the mission.
IN_TIME.srt 	IN_TIME_DVS918 	01:37:01,00 --> 01:37:08,50 	grabbing him, he hurls him to the ground, climbs into the cruiser, and speeds off.
INSIDE_MAN.srt 	INSIDE_MAN_DVS311 	01:33:00,00 --> 01:33:04,50 	he grabs a radio handset.
IRON_MAN_2.srt 	IRON_MAN_2_DVS133 	00:25:05,00 --> 00:25:11,50 	someone jabs at someone, who grabs his glove and pulls his arm, flipping him onto his back.
IRON_MAN_2.srt 	IRON_MAN_2_DVS199 	00:36:51,00 --> 00:37:01,50 	officers in black uniforms and helmets rush over and grab someone by the shoulders.
IRON_MAN_2.srt 	IRON_MAN_2_DVS220 	00:42:17,00 --> 00:42:22,50 	someone stands, picks up the tray, and grabs a note lying on it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS234 	00:43:11,00 --> 00:43:22,50 	someone grabs the key, reaches through the cell bars, and unlocks the door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS238 	00:43:41,00 --> 00:43:49,50 	the dark-haired guard and another man rush down the stairs, grab someone, and place a white bag over his head.
IRON_MAN_2.srt 	IRON_MAN_2_DVS312 	00:56:55,00 --> 00:57:07,50 	he grabs someone's arm.
IRON_MAN_2.srt 	IRON_MAN_2_DVS315 	00:57:28,00 --> 00:57:32,50 	someone grabs a post.
IRON_MAN_2.srt 	IRON_MAN_2_DVS316 	00:57:31,00 --> 00:57:43,50 	someone hits someone in the chest and head with the post, which someone then grabs.
IRON_MAN_2.srt 	IRON_MAN_2_DVS425 	01:20:23,00 --> 01:20:30,50 	someone leans back in his chair, then leans forward and grabs the toy's rotating arm.
IRON_MAN_2.srt 	IRON_MAN_2_DVS427 	01:20:34,00 --> 01:20:40,50 	he stands and grabs the basket of strawberries.
IRON_MAN_2.srt 	IRON_MAN_2_DVS493 	01:28:41,00 --> 01:28:45,50 	one man grabs the bird
IRON_MAN_2.srt 	IRON_MAN_2_DVS496 	01:28:49,00 --> 01:28:53,50 	the other man grabs someone's pillows.
IRON_MAN_2.srt 	IRON_MAN_2_DVS507 	01:31:36,00 --> 01:31:42,50 	someone grabs the reactor containing the new element and pops it into his chest.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS115 	00:35:09,00 --> 00:35:19,50 	wearing only boxers someone grabs his shirt then faces her and slaps his ample belly.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS148 	00:48:24,00 --> 00:48:28,50 	he slides in and grabs her waist.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS353 	01:39:44,00 --> 01:39:58,50 	someone aims the laptop at someone, then grabs his robe.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS38 	00:04:45,00 --> 00:04:49,50 	someone grabs a bottle of pepto.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS120 	00:24:16,00 --> 00:24:21,50 	she tearfully grabs her purse and gets up.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS161 	00:32:53,00 --> 00:32:57,50 	someone grabs him.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS373 	01:09:42,00 --> 01:09:48,50 	he grabs a bowl from the table and shatters it.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS375 	01:10:00,00 --> 01:10:06,50 	someone grabs the liquor bottle from the servant and chugs.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS439 	01:21:38,00 --> 01:21:42,50 	she grabs someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS215 	00:41:01,00 --> 00:41:06,50 	she stuffs the lobster in, then grabs another.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS249 	00:46:23,00 --> 00:46:33,50 	someone grabs a bedside container of antacid tablets and pops one in his mouth.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS277 	00:53:53,00 --> 00:53:58,50 	she gets up, goes into the living room, and grabs a tissue.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS397 	01:17:15,00 --> 01:17:19,50 	someone grabs his bike.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS414 	01:21:06,00 --> 01:21:10,50 	someone grabs his jacket.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS416 	01:21:14,00 --> 01:21:21,50 	he grabs his coat from a hook, picks up his bag, and hurries downstairs.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS23 	00:05:30,00 --> 00:05:35,50 	she grabs her own breast.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS239 	01:24:03,00 --> 01:24:09,50 	he shoves hay in its mouth and grabs her udder.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS269 	01:29:10,00 --> 01:29:15,50 	someone grabs the mic.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS311 	01:39:14,00 --> 01:39:20,50 	he grabs a towel and wraps his arm.
KARATE_KID.srt 	KARATE_KID_DVS87 	00:07:34,00 --> 00:07:39,50 	someone grabs some luggage.
KARATE_KID.srt 	KARATE_KID_DVS476 	00:42:40,00 --> 00:42:58,50 	someone tries to climb over the inner wall, but someone grabs him and throws him to the ground.
KARATE_KID.srt 	KARATE_KID_DVS476 	00:42:40,00 --> 00:42:58,50 	someone races toward it, but two boys grab him by the arms.
KARATE_KID.srt 	KARATE_KID_DVS488 	00:44:05,00 --> 00:44:11,50 	his friends grab him.
KARATE_KID.srt 	KARATE_KID_DVS491 	00:44:17,00 --> 00:44:24,50 	someone lunges with a punch, but a hand grabs his wrist.
KARATE_KID.srt 	KARATE_KID_DVS508 	00:46:00,00 --> 00:46:11,50 	someone grabs the arms of a boy in a warm-up jacket.
KARATE_KID.srt 	KARATE_KID_DVS511 	00:46:28,00 --> 00:46:34,50 	he crouches and gently grabs someone's arm.
KARATE_KID.srt 	KARATE_KID_DVS516 	00:46:55,00 --> 00:47:04,50 	grabbing another, he briefly holds the flame inside it, then places it on someone's skin, next to the first bulb-shaped cup.
KARATE_KID.srt 	KARATE_KID_DVS554 	00:50:15,00 --> 00:50:23,50 	grabbing him by his shirt, the aggressor lifts the boy, then drops on his back, and flings him over his head.
KARATE_KID.srt 	KARATE_KID_DVS556 	00:50:23,00 --> 00:50:30,50 	as one boy attacks, the other blocks him, then grabs his arm, and flips him to the floor.
KARATE_KID.srt 	KARATE_KID_DVS603 	00:52:38,00 --> 00:52:46,50 	as the instructor grabs him by the wrist, mr.
KARATE_KID.srt 	KARATE_KID_DVS656 	00:55:32,00 --> 00:55:38,50 	down the road, he grabs the back of a bicycle-driven cart.
KARATE_KID.srt 	KARATE_KID_DVS689 	00:58:44,00 --> 00:58:50,50 	the boy lazily bends forward and grabs the jacket.
KARATE_KID.srt 	KARATE_KID_DVS861 	01:11:16,00 --> 01:11:21,50 	someone grabs his jacket and storms off.
KARATE_KID.srt 	KARATE_KID_DVS875 	01:12:02,00 --> 01:12:07,50 	someone grabs his arm at the wrist and elbow.
KARATE_KID.srt 	KARATE_KID_DVS877 	01:12:10,00 --> 01:12:14,50 	he grabs someone's other arm.
KARATE_KID.srt 	KARATE_KID_DVS890 	01:12:52,00 --> 01:13:00,50 	someone bends to grab it, but someone kicks his hands away.
KARATE_KID.srt 	KARATE_KID_DVS890 	01:12:52,00 --> 01:13:00,50 	he grabs someone's arms and smacks his palms.
KARATE_KID.srt 	KARATE_KID_DVS1101 	01:31:16,00 --> 01:31:29,50 	grabbing her violin case, she rushes off.
KARATE_KID.srt 	KARATE_KID_DVS1449 	01:57:57,00 --> 01:58:08,50 	grabbing his opponent's arm, he flips himself around someone ping's body, and pins him to his knees.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS25 	00:08:20,00 --> 00:08:25,50 	he grabs a french fry.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS142 	00:51:13,00 --> 00:51:23,50 	pterodactyl swoops down and grabs it, taking the amplifier with it.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS104 	00:25:06,00 --> 00:25:17,50 	with her eyes averted, she grabs her bag off the table and strides to the back of the classroom.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS109 	00:25:46,00 --> 00:25:53,50 	she grabs two bottles from a liquor cabinet.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS111 	00:25:56,00 --> 00:26:01,50 	he grabs a book and enters the kitchen.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS262 	01:02:38,00 --> 01:02:55,50 	as she grabs him, someone wraps his arms around her waist.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS276 	01:06:18,00 --> 01:06:23,50 	grabbing a skateboard, someone smirks at someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS161 	00:21:41,00 --> 00:21:46,50 	he grabs handfuls of raw meat from a table.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS249 	00:33:14,00 --> 00:33:19,50 	someone grabs the cook.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS503 	00:55:45,00 --> 00:55:49,50 	the teen grabs the rodent.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS608 	01:06:29,00 --> 01:06:36,50 	grabbing the tether, he tugs hand over fist to reel himself toward the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS663 	01:10:26,00 --> 01:10:40,50 	someone pins it down on an oar beam, stretches one arm out and grabs the hatchet from the edge of the supply pallet.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS713 	01:14:22,00 --> 01:14:30,50 	glancing around with wide eyes, someone backs away from the tiger and grabs the flailing fish.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS728 	01:15:45,00 --> 01:16:00,50 	trembling, someone grabs his grappling tool and sticks it in the large fish.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS731 	01:16:04,00 --> 01:16:14,50 	grabbing the handle of the boat hook, someone stands tall atop the canvas.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS806 	01:22:23,00 --> 01:22:29,50 	he glances toward the ship then swiftly grabs another flare.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS863 	01:27:00,00 --> 01:27:06,50 	someone secures his tools in the bow and grabs the journal.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS888 	01:29:43,00 --> 01:29:51,50 	someone gazes longingly after it, then glances back at someone someone and grabs the canvas cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS991 	01:37:29,00 --> 01:37:36,50 	the tiger grabs a meerkat in his teeth and swings its lifeless body.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS251 	01:23:15,00 --> 01:23:19,50 	he grabs his son-in-law.
MORNING_GLORY.srt 	MORNING_GLORY_DVS207 	00:47:58,00 --> 00:48:02,50 	she grabs her bags and runs out without her skirt on.
MORNING_GLORY.srt 	MORNING_GLORY_DVS208 	00:48:00,00 --> 00:48:04,50 	she grabs her bags and runs out without her skirt on.
MORNING_GLORY.srt 	MORNING_GLORY_DVS265 	00:59:40,00 --> 00:59:45,50 	she grabs him and kisses him hard.
MORNING_GLORY.srt 	MORNING_GLORY_DVS268 	01:00:02,00 --> 01:00:06,50 	he grabs it.
MORNING_GLORY.srt 	MORNING_GLORY_DVS389 	01:25:44,00 --> 01:25:49,50 	someone grabs a weather vane.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS42 	00:06:23,00 --> 00:06:27,50 	he grabs a chair.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS90 	00:13:29,00 --> 00:13:34,50 	he carefully grabs the penguin by the waist and picks it up.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS97 	00:14:14,00 --> 00:14:19,50 	he grabs his briefcase and leaves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS144 	00:21:32,00 --> 00:21:37,50 	he grabs the bird.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS478 	00:57:38,00 --> 00:57:42,50 	he grabs the sandwich.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS491 	00:59:45,00 --> 00:59:53,50 	someone steps into the doorway and sees someone slipping in the snow as he grabs his son.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS100 	00:24:04,00 --> 00:24:07,50 	fireplace and grabs the letters.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS295 	01:04:45,00 --> 01:04:50,50 	they each grab a shoulder.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS413 	01:26:22,00 --> 01:26:34,50 	he frees up a hand and grabs a shaker off the table to season his eggs.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS262 	00:47:03,00 --> 00:47:08,50 	he looks away from her and grabs his coat.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS375 	01:09:03,00 --> 01:09:09,50 	someone grabs a handful of straws and has a big slurp of the chocolate milkshake.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS451 	01:22:13,00 --> 01:22:20,50 	she grabs someone's phone and hands it to her.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS493 	01:31:03,00 --> 01:31:09,50 	she grabs her phone, a message from someone reads, "call me."
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS361 	01:27:00,00 --> 01:27:07,50 	grabbing the milk, someone pours it all over the box then sets on tofu dog.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS387 	01:28:32,00 --> 01:28:39,50 	stepping around the hole, someone grabs a shovel and pats the restaurant owner on the back.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS57 	00:13:27,00 --> 00:13:37,50 	with someone on the floor, he grabs his shoulder, then scoots away as the monster bares her fangs at him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	someone spots his sword near the minotaur then hurries around the tree and grabs the horn.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS118 	00:26:43,00 --> 00:26:49,50 	he grabs the three-pronged spear by its shaft and examines it.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS272 	01:09:14,00 --> 01:09:35,50 	grabbing his backpack he leads them to the exit.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS313 	01:18:33,00 --> 01:18:52,50 	someone grabs a pool queue and swings it like a staff.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS387 	01:35:34,00 --> 01:35:39,50 	but someone swoops past her and grabs it.
PROMETHEUS.srt 	PROMETHEUS_DVS714 	01:15:51,00 --> 01:15:57,50 	someone strides through the hanger and grabs a flamethrower.
PROMETHEUS.srt 	PROMETHEUS_DVS757 	01:22:03,00 --> 01:22:12,50 	someone quickly removes her white hospital gown, revealing her bandage-like underwear, and grabs two auto-injectors.
PROMETHEUS.srt 	PROMETHEUS_DVS780 	01:23:56,00 --> 01:24:06,50 	she quickly grabs the umbilical cord and yanks it out.
PROMETHEUS.srt 	PROMETHEUS_DVS789 	01:24:43,00 --> 01:24:48,50 	she grabs some more auto-injectors from a cart,
PROMETHEUS.srt 	PROMETHEUS_DVS898 	01:39:30,00 --> 01:39:38,50 	with both hands, he grabs someone by the throat, then lifts him off his feet and breaks his neck.
PROMETHEUS.srt 	PROMETHEUS_DVS944 	01:44:25,00 --> 01:44:35,50 	reaching the escape pods she opens a pod door and grabs a space suit.
PROMETHEUS.srt 	PROMETHEUS_DVS1018 	01:51:15,00 --> 01:51:22,50 	grabbing her helmet, someone rushes back to the airlock compartment.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS332 	01:03:14,00 --> 01:03:31,50 	someone steps into the closet-sized safe, discards his fake, waxy gun, and grabs a pistol from the wall.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS333 	01:03:34,00 --> 01:03:42,50 	someone grabs a hat and coat from a nearby rack.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS334 	01:03:41,00 --> 01:04:03,50 	he puts them on and tosses a jacket to the other inmate who grabs a hat from the rack as he ushers the deputy out behind someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS391 	01:15:08,00 --> 01:15:23,50 	he exchanges a glance with someone and they rise, grabbing their coats.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS410 	01:19:16,00 --> 01:19:28,50 	homer grabs his take.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS444 	01:25:27,00 --> 01:25:33,50 	someone springs awake, grabs his someone gun, and goes to a window.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS538 	01:41:35,00 --> 01:41:49,50 	inside, someone passes through another doorway and someone' men grab her.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS554 	01:43:51,00 --> 01:43:55,50 	he grabs her chin.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS559 	01:44:35,00 --> 01:44:40,50 	he crosses to her and grabs her chin again.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS560 	01:44:42,00 --> 01:44:46,50 	he grabs her chin.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS570 	01:46:04,00 --> 01:46:14,50 	the burly one grabs a phone book.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS94 	00:24:37,00 --> 00:24:41,50 	he grabs someone's ankle.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS201 	00:48:47,00 --> 00:49:02,50 	grabbing his cheek, king someone stumbles.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS439 	01:48:39,00 --> 01:48:47,50 	grabbing its leather strap, she
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS189 	00:32:04,00 --> 00:32:09,50 	someone grabs a busboy.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS194 	00:32:24,00 --> 00:32:29,50 	she whacks him with her purse and he grabs her.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS327 	00:52:58,00 --> 00:53:08,50 	someone's mom points to her breasts then pushes away the men and grabs her behind.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS420 	01:05:24,00 --> 01:05:32,50 	someone grabs his hand, nearly yanking him off balance, he gives a bewildered nod.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS516 	01:20:47,00 --> 01:20:54,50 	lifting the typewriter, he grabs the key to the desk drawer hidden underneath.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS517 	01:20:56,00 --> 01:21:02,50 	someone grabs an article of clothing from a hanger and packs a bag.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS683 	01:39:24,00 --> 01:39:29,50 	she grabs the book back from him.
SALT.srt 	SALT_DVS154 	00:26:54,00 --> 00:27:17,50 	as she enters the apartment, she grabs a tan overcoat from the hall and puts it on.
SALT.srt 	SALT_DVS161 	00:27:56,00 --> 00:28:04,50 	she grabs it.
SALT.srt 	SALT_DVS170 	00:29:08,00 --> 00:29:16,50 	she grabs an air conditioning unit and crosses to its other side.
SALT.srt 	SALT_DVS405 	01:10:49,00 --> 01:11:02,50 	the impostor grabs her service cap and attach case from a security conveyor belt then walks beside someone.
SALT.srt 	SALT_DVS414 	01:12:36,00 --> 01:12:43,50 	she grabs a set of keys and a gun off a fallen agent then hurries upstairs.
SANCTUM.srt 	SANCTUM_DVS224 	00:48:26,00 --> 00:48:32,50 	someone's hand grabs his shoulder again, flexes weakly, and goes limp.
SANCTUM.srt 	SANCTUM_DVS427 	01:22:01,00 --> 01:22:06,50 	someone grabs a piece of jutting rock.
SANCTUM.srt 	SANCTUM_DVS437 	01:23:19,00 --> 01:23:26,50 	body, and grabs a ledge.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS216 	00:15:19,00 --> 00:15:24,50 	her mother grabs her hand and pulls her forward.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS375 	00:25:00,00 --> 00:25:06,50 	her friend grabs her wrist and lowers her hand from the veil.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS389 	00:25:47,00 --> 00:25:52,50 	he gently grabs the skirt of her robe
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS398 	00:26:34,00 --> 00:26:41,50 	sitting up next to his bride again, he tosses his braid over his shoulder and grabs her hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS708 	00:46:22,00 --> 00:46:29,50 	someone grabs her friend's arm.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS880 	00:58:04,00 --> 00:58:08,50 	someone grabs her friend.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS962 	01:02:28,00 --> 01:02:35,50 	the butcher shoves her away, then grabs her by the tunic and flings her aside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1361 	01:33:09,00 --> 01:33:16,50 	the girl's face crumbles in sobs as she grabs someone's hands.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS58 	00:12:01,00 --> 00:12:06,50 	someone grabs his cane and blasts him backwards.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS70 	00:13:37,00 --> 00:13:41,50 	he grabs someone's leg and reels into the urn,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS269 	00:54:16,00 --> 00:54:21,50 	grabbing someone by the collar
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS385 	01:21:26,00 --> 01:21:33,50 	he grabs her pentagram necklace.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS394 	01:22:37,00 --> 01:22:46,50 	he abruptly grabs the someone and looks around warily.
SOUL_SURFER.srt 	SOUL_SURFER_DVS57 	00:18:50,00 --> 00:18:54,50 	someone grabs a snack.
SPARKLE_2012.srt 	SPARKLE_2012_DVS25 	00:04:30,00 --> 00:04:36,50 	someone lip syncs as someone grabs the mic and a tambourine.
SPARKLE_2012.srt 	SPARKLE_2012_DVS96 	00:15:52,00 --> 00:15:56,50 	she grabs her book from him.
SPARKLE_2012.srt 	SPARKLE_2012_DVS139 	00:23:44,00 --> 00:23:49,50 	he catches up with her and grabs her arm.
SPARKLE_2012.srt 	SPARKLE_2012_DVS171 	00:28:51,00 --> 00:29:01,50 	someone grabs her pocket book.
SPARKLE_2012.srt 	SPARKLE_2012_DVS304 	00:51:29,00 --> 00:51:38,50 	sister closes the buckles on her hard case black and white print suitcase, and grabs a second one on her way out.
SPARKLE_2012.srt 	SPARKLE_2012_DVS312 	00:52:06,00 --> 00:52:13,50 	with a soft smile, she touches someone's cheek and grabs her suitcases.
SPARKLE_2012.srt 	SPARKLE_2012_DVS480 	01:18:17,00 --> 01:18:26,50 	someone grabs a poker from the fireplace.
SUPER_8.srt 	SUPER_8_DVS153 	00:24:17,00 --> 00:24:25,50 	someone grabs his makeup kit.
SUPER_8.srt 	SUPER_8_DVS353 	01:03:15,00 --> 01:03:21,50 	someone runs outside, grabs her bike, and takes off down the dark street.
