40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS76 	00:40:29,00 --> 00:40:39,50 	he closes his mouth and stuffs his hands in his pockets.
SPARKLE_2012.srt 	SPARKLE_2012_DVS304 	00:51:29,00 --> 00:51:38,50 	sister closes the buckles on her hard case black and white print suitcase, and grabs a second one on her way out.
SPARKLE_2012.srt 	SPARKLE_2012_DVS318 	00:52:35,00 --> 00:52:42,50 	she stares out for a moment toward her oldest daughter, then gently closes the front door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS323 	00:53:06,00 --> 00:53:13,50 	with her eyes closed, someone rests her cheek against his brown leather jacket.
SPARKLE_2012.srt 	SPARKLE_2012_DVS504 	01:21:11,00 --> 01:21:19,50 	she glances at the body-bag, as he guides her into the backseat of a patrol car and closes the door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS523 	01:26:52,00 --> 01:26:57,50 	she gets in the backseat and closes the door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS593 	01:37:34,00 --> 01:37:39,50 	as she plays on with her eyes closed.
SUPER_8.srt 	SUPER_8_DVS31 	00:03:58,00 --> 00:04:04,50 	someone gazes down at the necklace in his hand, and closes the locket.
SUPER_8.srt 	SUPER_8_DVS52 	00:07:39,00 --> 00:07:42,50 	someone stands and closes the bathroom door.
SUPER_8.srt 	SUPER_8_DVS85 	00:13:16,00 --> 00:13:22,50 	smiling, someone closes her eyes as someone applies more makeup.
SUPER_8.srt 	SUPER_8_DVS427 	01:17:26,00 --> 01:17:34,50 	outside in his car, someone smokes a joint and listens to the radio with his eyes closed as military vehicles drive past.
SUPER_8.srt 	SUPER_8_DVS435 	01:18:14,00 --> 01:18:19,50 	the driver closes the bus door.
SUPER_8.srt 	SUPER_8_DVS570 	01:34:42,00 --> 01:34:47,50 	someone stares straight ahead then closes his eyes.
SUPER_8.srt 	SUPER_8_DVS622 	01:41:08,00 --> 01:41:14,50 	someone closes his eyes as he and someone embrace.
SUPER_8.srt 	SUPER_8_DVS639 	01:42:55,00 --> 01:43:01,50 	someone closes his hand around someone's hand then squeezes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS150 	00:32:31,00 --> 00:32:38,50 	someone smiles and watches her dance ecstatically with her eyes closed.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS169 	00:34:35,00 --> 00:34:45,50 	he undoes a button of his shirt, then hangs his head with his eyes half closed.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS191 	00:37:07,00 --> 00:37:17,50 	he props himself up on his elbows and sweeps his gaze up someone's face, taking in her rosy lips, smooth cheeks, and closed eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS250 	00:47:53,00 --> 00:48:01,50 	now he wears a different but similar outfit as he lies on his bed with his eyes closed.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS253 	00:48:31,00 --> 00:48:41,50 	slack jawed, she closes the door as she leaves.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS258 	00:49:26,00 --> 00:49:37,50 	someone stares at him for a moment then backs out of the room and closes the door.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS271 	00:52:11,00 --> 00:52:20,50 	closing her eyes, she begins to dance in front of someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS318 	01:00:24,00 --> 01:00:36,50 	he folds his overcoat closed as a strong breeze blows through some trees and bushes at a wall behind them.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS319 	01:01:22,00 --> 01:01:28,50 	smiling gently she closes her eyes and lets out a breath.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS320 	01:01:39,00 --> 01:01:48,50 	she closes her hands over her nose and mouth as she sobs.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS55 	00:11:13,00 --> 00:11:19,50 	the judge follows someone's gaze to the closed double-doors.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS214 	00:43:20,00 --> 00:43:34,50 	he kisses it and the elevator closes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS264 	00:49:53,00 --> 00:50:08,50 	he glimpses someone as her elevator closes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS430 	01:20:59,00 --> 01:21:11,50 	lying on her back, someone closes her eyes then sneakily peeks one open.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS433 	01:21:28,00 --> 01:21:33,50 	he closes his eyes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS437 	01:22:00,00 --> 01:22:06,50 	closing his eyes, someone folds his hands behind his head.
THE_CALL.srt 	THE_CALL_DVS114 	00:08:55,00 --> 00:09:01,50 	he slowly pulls it closed as he checks behind it.
THE_CALL.srt 	THE_CALL_DVS117 	00:09:09,00 --> 00:09:15,50 	he returns to the vestibule and closes the door to the hall.
THE_CALL.srt 	THE_CALL_DVS220 	00:18:41,00 --> 00:18:46,50 	with her eyes closed, she leans on the sink.
THE_CALL.srt 	THE_CALL_DVS465 	00:35:30,00 --> 00:35:36,50 	slowly closing her eyes, the scared teen presses her lips tight.
THE_CALL.srt 	THE_CALL_DVS877 	01:07:11,00 --> 01:07:18,50 	she stops the track and adjusts the audio levels, then replays the recording with her eyes closed.
THE_CALL.srt 	THE_CALL_DVS1048 	01:19:25,00 --> 01:19:34,50 	someone shuts her mouth in a tight someone while someone closes his eyes and smells the contents of the wardrobe.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS611 	01:30:13,00 --> 01:30:17,50 	closing his eyes, he lets his head droop.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS615 	01:30:45,00 --> 01:30:49,50 	he pulls the door closed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS353 	00:42:27,00 --> 00:42:32,50 	she steps into the cottage and he closes the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS394 	00:47:02,00 --> 00:47:06,50 	he closes his eyes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS485 	00:55:44,00 --> 00:55:51,50 	someone flips through the bible's pages then snaps it closed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS668 	01:13:13,00 --> 01:13:19,50 	someone closes the page of bible verses on his laptop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS769 	01:28:35,00 --> 01:28:44,50 	as the report awakes to cigarette smoke, someone hurriedly closes the photo library in the adjoining room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1014 	01:49:40,00 --> 01:49:46,50 	our view closes in on her open laptop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1074 	01:53:18,00 --> 01:53:22,50 	in the house, someone lunges sideways and pulls a door closed.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS95 	00:34:28,00 --> 00:34:33,50 	someone scowls and closes his eyes.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS216 	01:10:39,00 --> 01:10:44,50 	she carefully closes the door and tiptoes in.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS220 	01:13:13,00 --> 01:13:19,50 	someone nods slowly and closes her eyes.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS130 	00:44:26,00 --> 00:44:35,50 	his fist closed, someone shakes his head.
THE_VOW.srt 	THE_VOW_DVS63 	00:05:45,00 --> 00:05:51,50 	she closes her driver side door and triggers her keychain remote.
THE_VOW.srt 	THE_VOW_DVS145 	00:15:08,00 --> 00:15:15,50 	the brunette shifts her groggy gaze, then closes her eyes and winces.
THE_VOW.srt 	THE_VOW_DVS601 	01:23:37,00 --> 01:23:42,50 	someone closes the box and carries it out.
THE_VOW.srt 	THE_VOW_DVS643 	01:29:19,00 --> 01:29:24,50 	closing her eyes for a moment, someone winces.
THE_VOW.srt 	THE_VOW_DVS685 	01:35:55,00 --> 01:36:05,50 	now someone holds his coat, closed around his neck as he walks past a row of snow dusted christmas trees for sale.
THE_WATCH.srt 	THE_WATCH_DVS20 	00:03:20,00 --> 00:03:26,50 	as the manager closes up, a chubby security guard arrives.
THE_WATCH.srt 	THE_WATCH_DVS158 	00:30:02,00 --> 00:30:08,50 	he closes in on him, lunges, and tackles him near the end zone.
THE_WATCH.srt 	THE_WATCH_DVS527 	01:31:54,00 --> 01:32:07,50 	before the door closes completely, they all slide underneath and into the parking lot.
THE_WATCH.srt 	THE_WATCH_DVS544 	01:33:48,00 --> 01:33:53,50 	someone holds her tight, closing his eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS160 	00:41:51,00 --> 00:41:57,50 	he closes his eyes, then gazes at someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS178 	00:44:53,00 --> 00:44:58,50 	she flashes a smile, then closes it.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS279 	01:15:47,00 --> 01:15:53,50 	finishing her sip of wine, someone closes her eyes ecstatically.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS291 	01:17:18,00 --> 01:17:22,50 	she closes her eyes for a moment,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS499 	01:51:54,00 --> 01:51:58,50 	she closes her eyes.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS82 	00:13:36,00 --> 00:13:41,50 	someone closes the door behind him.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS369 	01:08:23,00 --> 01:08:30,50 	someone closes his eyes and lifts his brow then returns to the living room.
THOR.srt 	THOR_DVS87 	00:11:10,00 --> 00:11:20,50 	as someone, someone, and someone's black-haired brother step into the subterranean vault, the armored guardian steps back behind the spiked grid which closes.
THOR.srt 	THOR_DVS537 	01:26:05,00 --> 01:26:11,50 	the destroyer's visor closes.
THOR.srt 	THOR_DVS544 	01:26:53,00 --> 01:26:59,50 	someone lies motionless with his eyes closed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS458 	00:49:46,00 --> 00:49:51,50 	someone closes his eyes as he sprays.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS462 	00:49:56,00 --> 00:50:00,50 	he closes them again and sprays.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS764 	01:23:09,00 --> 01:23:14,50 	in his room, someone lies on his loft bed, his back to the door and his eyes closed.
TRUE_GRIT.srt 	TRUE_GRIT_DVS441 	01:27:53,00 --> 01:27:57,50 	someone's eyes are closed.
TRUE_GRIT.srt 	TRUE_GRIT_DVS524 	01:35:32,00 --> 01:35:40,50 	someone closes her eyes and someone scores an x between the fang marks with his large hunting knife.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS227 	00:21:14,00 --> 00:21:19,50 	someone closes the closet door, shutting herself in.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS230 	00:21:33,00 --> 00:21:40,50 	someone closes his eyes and crosses himself, then takes off his jacket.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS554 	01:13:59,00 --> 01:14:04,50 	the doors start to close again and someone pushes them open.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS580 	01:17:14,00 --> 01:17:18,50 	she closes the door.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS603 	01:20:32,00 --> 01:20:38,50 	he glances down at his exposed chest and pulls his shirt closed.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS93 	00:14:09,00 --> 00:14:21,50 	she rests her head against his shoulder and closes her eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS519 	01:20:06,00 --> 01:20:11,50 	at the table, someone closes his sketchbook.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS683 	01:39:35,00 --> 01:39:43,50 	someone turns the key back, and tries closing the gate, but the extended deadbolt prevents it from latching shut.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS797 	01:53:06,00 --> 01:53:11,50 	she closes her eyes and presses her lips to his.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS800 	01:53:19,00 --> 01:53:24,50 	he kisses her and she closes her eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS801 	01:53:23,00 --> 01:53:32,50 	as he pulls away slightly, someone leans closer, her eyes still closed, and lets her lips graze his.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS315 	00:44:34,00 --> 00:44:41,50 	now in bed, gerry rocks slightly on top of someone, grimacing with his eyes closed.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS608 	01:22:38,00 --> 01:22:42,50 	someone closes someone's dress.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS492 	00:45:06,00 --> 00:45:13,50 	as someone closes his eyes, someone watches with an anxious look.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS592 	00:55:17,00 --> 00:55:23,50 	as he swings the doors closed, someone lowers his hand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS830 	01:16:03,00 --> 01:16:09,50 	someone steps out and closes a heavy-duty hatch.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS861 	01:18:59,00 --> 01:19:03,50 	someone closes his mouth.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1060 	01:35:37,00 --> 01:35:45,50 	someone touches his finger to his temple and closes his eye
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1065 	01:36:27,00 --> 01:36:33,50 	someone touches his temple and closes his eyes.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS202 	00:38:55,00 --> 00:38:59,50 	someone closes her window again.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS341 	01:06:53,00 --> 01:06:59,50 	wearing a towel around her head, someone lies with her eyes closed
ZOMBIELAND.srt 	ZOMBIELAND_DVS663 	01:14:16,00 --> 01:14:22,50 	a zombie in a track suit closes in on the sisters.
ZOOKEEPER.srt 	ZOOKEEPER_DVS221 	00:49:31,00 --> 00:49:35,50 	someone closes his menu.
ZOOKEEPER.srt 	ZOOKEEPER_DVS347 	01:17:54,00 --> 01:18:14,50 	stepping into the corridor, he slides the door closed and starts.
ZOOKEEPER.srt 	ZOOKEEPER_DVS360 	01:20:51,00 --> 01:21:00,50 	closing his eyes, he puckers his lips and leans toward her.
