21_JUMP_STREET.srt 	21_JUMP_STREET_DVS54 	00:05:43,00 --> 00:05:48,50 	a boy defiantly holds out torn bread.
COLOMBIANA.srt 	COLOMBIANA_DVS423 	00:37:13,00 --> 00:37:20,50 	she stands, holding the weapon pointed at the floor, and moves to someone's cell.
COLOMBIANA.srt 	COLOMBIANA_DVS582 	00:53:25,00 --> 00:53:32,50 	someone holds up a newspaper clipping.
COLOMBIANA.srt 	COLOMBIANA_DVS592 	00:55:53,00 --> 00:55:59,50 	the agent holds up the drawing and finds that it matches perfectly.
COLOMBIANA.srt 	COLOMBIANA_DVS622 	00:58:51,00 --> 00:58:57,50 	an oblivious bodyguard stands at a window holding a handgun.
COLOMBIANA.srt 	COLOMBIANA_DVS723 	01:08:48,00 --> 01:08:53,50 	someone grabs her arms and holds her at bay.
COLOMBIANA.srt 	COLOMBIANA_DVS730 	01:09:14,00 --> 01:09:21,50 	the next morning, the stuffed alligator sits on a table in front of a tray holding glasses of orange juice,
COLOMBIANA.srt 	COLOMBIANA_DVS797 	01:17:08,00 --> 01:17:14,50 	one arm dangles over the side holding a lit cigarette.
COLOMBIANA.srt 	COLOMBIANA_DVS911 	01:26:25,00 --> 01:26:31,50 	she pulls out a newspaper clipping and tearfully holds it out.
COLOMBIANA.srt 	COLOMBIANA_DVS1008 	01:36:05,00 --> 01:36:11,50 	someone stands beside him holding a gun to his cheek.
COLOMBIANA.srt 	COLOMBIANA_DVS1034 	01:37:43,00 --> 01:37:47,50 	holding him against a wall, she strikes him over and over.
COLOMBIANA.srt 	COLOMBIANA_DVS1044 	01:38:27,00 --> 01:38:34,50 	he grabs her wrists, holding her back, but she twists free and slashes at him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS69 	00:09:12,00 --> 00:09:18,50 	holding a hotdog on a stick, someone grins.
DEAR_JOHN.srt 	DEAR_JOHN_DVS141 	00:22:46,00 --> 00:22:58,50 	now, someone holds his surfboard, tucked under his arm as they trod into the ocean.
DEAR_JOHN.srt 	DEAR_JOHN_DVS259 	00:40:52,00 --> 00:40:57,50 	she holds her gaze steady.
DEAR_JOHN.srt 	DEAR_JOHN_DVS263 	00:41:39,00 --> 00:41:45,50 	then takes out a coin, which he holds under a magnifying glass.
DEAR_JOHN.srt 	DEAR_JOHN_DVS295 	00:45:36,00 --> 00:45:52,50 	a confused someone holds someone's letter with both hands as she observes the anxious activity.
DEAR_JOHN.srt 	DEAR_JOHN_DVS310 	00:48:08,00 --> 00:48:14,50 	another man eyes them, holding out his arms for a guard.
DEAR_JOHN.srt 	DEAR_JOHN_DVS364 	00:58:10,00 --> 00:58:22,50 	she rests her chin on his shoulder as he holds her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS387 	01:00:18,00 --> 01:00:26,50 	now someone and someone hold hands as they stroll outside the stable into the daylight.
DEAR_JOHN.srt 	DEAR_JOHN_DVS510 	01:14:35,00 --> 01:14:39,50 	someone holds the captain's gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS535 	01:16:39,00 --> 01:16:45,50 	someone's haunted stare holds steady on the mess.
DEAR_JOHN.srt 	DEAR_JOHN_DVS572 	01:21:21,00 --> 01:21:26,50 	someone holds it in place with his own hand.
DEAR_JOHN.srt 	DEAR_JOHN_DVS724 	01:36:50,00 --> 01:36:57,50 	he holds someone's gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS757 	01:39:33,00 --> 01:39:40,50 	now in a desert, someone holds out his jefferson mule.
DEAR_JOHN.srt 	DEAR_JOHN_DVS778 	01:41:53,00 --> 01:41:59,50 	someone holds her tightly.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS94 	00:22:43,00 --> 00:22:51,50 	someone holds up his ring finger as the doors close.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS217 	00:55:19,00 --> 00:55:23,50 	he holds up the number.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS347 	01:23:48,00 --> 01:23:56,50 	the animal psychic holds her hands over her grilled lobster and goes into a trance.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS353 	01:25:03,00 --> 01:25:09,50 	the final mouse holds a sheet of paper.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS395 	01:36:42,00 --> 01:36:48,50 	someone holds someone hostage.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS396 	01:36:47,00 --> 01:36:59,50 	someone holds his cape up.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS442 	01:47:45,00 --> 01:47:55,50 	a breakfast with someone and someone in the center, holding trophies.
DISTRICT_9.srt 	DISTRICT_9_DVS121 	00:14:12,00 --> 00:14:22,50 	someone holds out a form.
DISTRICT_9.srt 	DISTRICT_9_DVS128 	00:15:09,00 --> 00:15:14,50 	wrangle a mule, while two soldiers hold them in.
DISTRICT_9.srt 	DISTRICT_9_DVS169 	00:19:48,00 --> 00:19:57,50 	as the vest-clad alien crosses to another pile, a yellow patterned alien adult holds up a piece of trash.
DISTRICT_9.srt 	DISTRICT_9_DVS181 	00:20:52,00 --> 00:21:08,50 	by tiny alligator clips holds a gelatinous puddle.
DISTRICT_9.srt 	DISTRICT_9_DVS282 	00:31:25,00 --> 00:31:34,50 	in the headquarters, someone leans back in a cubicle holding his head.
DISTRICT_9.srt 	DISTRICT_9_DVS298 	00:33:01,00 --> 00:33:07,50 	a thug hold up his index finger.
DISTRICT_9.srt 	DISTRICT_9_DVS330 	00:36:09,00 --> 00:36:16,50 	he hold his hand to his mouth.
DISTRICT_9.srt 	DISTRICT_9_DVS353 	00:39:06,00 --> 00:39:14,50 	rows of stainless steel tables hold various alien body parts.
DISTRICT_9.srt 	DISTRICT_9_DVS354 	00:39:13,00 --> 00:39:20,50 	later in a live recording, a doctor holds a surgical drill.
DISTRICT_9.srt 	DISTRICT_9_DVS358 	00:39:37,00 --> 00:39:47,50 	now a doctor holds up a slate.
DISTRICT_9.srt 	DISTRICT_9_DVS400 	00:44:21,00 --> 00:44:26,50 	holds a scalpel to the head doctor's neck.
DISTRICT_9.srt 	DISTRICT_9_DVS503 	00:59:01,00 --> 00:59:13,50 	he looks at the man's alien arm and holds out his own arm next to it.
DISTRICT_9.srt 	DISTRICT_9_DVS579 	01:08:18,00 --> 01:08:24,50 	outside, someone holds off the others with the alien gun.
DISTRICT_9.srt 	DISTRICT_9_DVS759 	01:29:43,00 --> 01:29:59,50 	it shifts its shoulders, then tilts its head to look at someone, who kneels in front of him held at gunpoint by a mercenary.
DISTRICT_9.srt 	DISTRICT_9_DVS871 	01:44:45,00 --> 01:44:52,50 	turning to profile, he holds up the imitation
EASY_A.srt 	EASY_A_DVS48 	00:16:12,00 --> 00:16:20,50 	an athletic team steps into view, followed by a smaller guy holding a rag to his bloody nose.
EASY_A.srt 	EASY_A_DVS182 	00:57:13,00 --> 00:57:18,50 	now in the school office, someone holds a phone to her ear.
EASY_A.srt 	EASY_A_DVS196 	01:00:56,00 --> 01:01:05,50 	later someone steps outside, to find the fundamentalists holding signs reading variations of, "olive is a slut."
EASY_A.srt 	EASY_A_DVS251 	01:16:49,00 --> 01:16:55,50 	as she pulls away, he holds on to her hand.
EASY_A.srt 	EASY_A_DVS287 	01:25:15,00 --> 01:25:23,50 	someone peeks outside, and finds someone standing on a lawnmower holding a pair of speakers.
FLIGHT.srt 	FLIGHT_DVS51 	00:08:43,00 --> 00:08:48,50 	he holds a small square.
FLIGHT.srt 	FLIGHT_DVS82 	00:15:53,00 --> 00:15:58,50 	she tightens a tourniquet around her arm, and holds the end securely in her mouth.
FLIGHT.srt 	FLIGHT_DVS241 	00:50:31,00 --> 00:50:37,50 	he holds a framed wedding photo of himself and his wife.
FLIGHT.srt 	FLIGHT_DVS405 	01:03:51,00 --> 01:03:57,50 	someone steps onto the veranda, holding his cane and a gun.
FLIGHT.srt 	FLIGHT_DVS851 	01:41:57,00 --> 01:42:04,50 	someone walks down a hotel corridor, with someone holding a can of coca cola.
FLIGHT.srt 	FLIGHT_DVS896 	01:46:10,00 --> 01:46:14,50 	he holds his ear to it,
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS23 	00:05:52,00 --> 00:05:59,50 	now at the airport, she approaches a driver holding a name card.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS59 	00:15:44,00 --> 00:15:53,50 	nearby a man holds up a boom box while another starts break dancing.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS90 	00:23:24,00 --> 00:23:52,50 	now as someone holds up a lipstick sign at the airport, she sees someone's gq flash mob ad on a kiosk.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS129 	00:35:09,00 --> 00:35:19,50 	an artist holds up a sketchpad.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS241 	01:05:49,00 --> 01:06:09,50 	he wakes and rushes out, holding his crotch.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS246 	01:07:20,00 --> 01:07:37,50 	holding his gaze, she leans in, lays a hand on his chest and plants a tender kiss on his lips.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS334 	01:28:15,00 --> 01:28:23,50 	male models pose with sports items held in front of their flesh colored jockstraps.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS338 	01:29:36,00 --> 01:29:44,50 	an asian male model spreads his arms as the other man holds him horizontally.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS34 	00:22:26,00 --> 00:22:33,50 	someone's mom holds a teacup.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS87 	00:50:35,00 --> 00:50:41,50 	back in the airport someone trudges back to someone and holds out a hand.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS132 	01:19:59,00 --> 01:20:08,50 	someone holds his arms out and the boy gives him a hug.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS132 	01:19:59,00 --> 01:20:08,50 	the rock-star holds him close then stands and steps away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS87 	00:13:49,00 --> 00:13:58,50 	someone's attacker holds her arms behind her back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS102 	00:15:49,00 --> 00:16:04,50 	lightening casts a glow on the mustached thug as he holds his shotgun ready.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS202 	00:32:32,00 --> 00:32:38,50 	someone shoves him against a wall and someone holds up a knife.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS276 	00:42:42,00 --> 00:43:07,50 	he stumbles back a few steps, then continues toward someone who holds his ground.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS277 	00:43:04,00 --> 00:43:18,50 	the flames on his skull subside and he holds his hands in front of his face as if to protect it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS345 	00:51:49,00 --> 00:51:55,50 	he shoves half of the remaining sheathed twinkie into his mouth, then bites down on the wrapper using his teeth to hold the cake in place.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS386 	00:57:06,00 --> 00:57:12,50 	holding the cross, someone looks into the priests eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS441 	01:03:16,00 --> 01:03:34,50 	sneering at his victim, he holds two fingers over the monk's tattooed face.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS441 	01:03:16,00 --> 01:03:34,50 	as he rots completely, someone holds up his two fingers.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS540 	01:16:52,00 --> 01:17:13,50 	he brings the other hand around to his cheek and holds him by the head.
GREEN_ZONE.srt 	GREEN_ZONE_DVS34 	00:08:13,00 --> 00:08:18,50 	and holds out a device pointed toward the floor.
GREEN_ZONE.srt 	GREEN_ZONE_DVS82 	00:22:08,00 --> 00:22:22,50 	someone accepts it then holds his hands up in a polite refusal to others as they edge toward him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS92 	00:23:20,00 --> 00:23:24,50 	villagers hold off the predominately male army.
GREEN_ZONE.srt 	GREEN_ZONE_DVS152 	00:40:24,00 --> 00:40:33,50 	someone holds his earnest gaze.
GREEN_ZONE.srt 	GREEN_ZONE_DVS179 	00:46:26,00 --> 00:46:32,50 	she holds someone's gaze then reaches into her bag.
GREEN_ZONE.srt 	GREEN_ZONE_DVS203 	00:53:15,00 --> 00:53:26,50 	someone steadily holds his gaze.
GREEN_ZONE.srt 	GREEN_ZONE_DVS340 	01:16:29,00 --> 01:17:03,50 	nearby, three of his men take positions around other buses, all hold their weapons at the ready.
GREEN_ZONE.srt 	GREEN_ZONE_DVS377 	01:27:32,00 --> 01:27:37,50 	the american reels on the floor holding his head.
GREEN_ZONE.srt 	GREEN_ZONE_DVS440 	01:36:48,00 --> 01:37:08,50 	still holding a pistol, the general raises his hands.
GROWN_UPS.srt 	GROWN_UPS_DVS133 	00:41:48,00 --> 00:41:55,50 	holding the basketball net around the urn, someone removes its lid.
GROWN_UPS.srt 	GROWN_UPS_DVS171 	00:48:18,00 --> 00:48:22,50 	holding his cramped leg, someone looks
HUGO.srt 	HUGO_DVS87 	00:11:09,00 --> 00:11:16,50 	outside the cafe, the brown-haired woman still holds her little dog to her chest.
HUGO.srt 	HUGO_DVS223 	00:33:16,00 --> 00:33:22,50 	he glances up at someone, who holds a deck of playing cards topped by the eight of spades.
HUGO.srt 	HUGO_DVS253 	00:35:56,00 --> 00:36:03,50 	holding his dog on a leash, the station inspector stares intently at the boy as he follows him.
HUGO.srt 	HUGO_DVS327 	00:50:35,00 --> 00:50:43,50 	holding a pen above a blank page, the automaton's right arm moves slightly then stops.
HUGO.srt 	HUGO_DVS363 	00:55:47,00 --> 00:55:53,50 	someone holds the door open as someone steps inside.
HUGO.srt 	HUGO_DVS371 	00:56:36,00 --> 00:56:41,50 	he partially unfolds the paper then holds it out to someone.
HUGO.srt 	HUGO_DVS378 	00:57:47,00 --> 00:57:51,50 	someone holds up the drawing then stands.
HUGO.srt 	HUGO_DVS405 	01:00:32,00 --> 01:00:39,50 	suddenly, the box falls but someone holds on, hugging it to her chest.
HUGO.srt 	HUGO_DVS446 	01:04:40,00 --> 01:04:46,50 	holding the book in both hands, someone walks deeper into the station.
HUGO.srt 	HUGO_DVS498 	01:13:09,00 --> 01:13:13,50 	someone holds up an old playbill.
HUGO.srt 	HUGO_DVS510 	01:14:52,00 --> 01:15:03,50 	on set, the three women hold perfectly still as lobstermen rush around them.
HUGO.srt 	HUGO_DVS517 	01:15:45,00 --> 01:15:57,50 	knights wearing helmets hold their arms out to a man with a long white beard holding a trident, who sits above the seashell throne.
HUGO.srt 	HUGO_DVS517 	01:15:45,00 --> 01:15:57,50 	knights wearing helmets hold their arms out to a man with a long white beard holding a trident, who sits above the seashell throne.
HUGO.srt 	HUGO_DVS524 	01:17:35,00 --> 01:17:40,50 	someone holds one finger over his mouth.
HUGO.srt 	HUGO_DVS537 	01:20:50,00 --> 01:20:55,50 	they hold hands as they look out over paris.
HUGO.srt 	HUGO_DVS571 	01:23:52,00 --> 01:23:59,50 	the train roars toward someone, who holds out one hand as he falls backward onto the tracks.
HUGO.srt 	HUGO_DVS583 	01:24:44,00 --> 01:24:50,50 	someone gazes toward the dangling strap that held his watch,
HUGO.srt 	HUGO_DVS590 	01:25:22,00 --> 01:25:27,50 	he holds his robotic hands to his face,
HUGO.srt 	HUGO_DVS594 	01:25:45,00 --> 01:25:52,50 	sitting on his bed, staring back at the automaton, someone holds a small oil lamp.
HUGO.srt 	HUGO_DVS599 	01:26:09,00 --> 01:26:17,50 	the policeman holds out the flask to another policeman.
HUGO.srt 	HUGO_DVS628 	01:31:15,00 --> 01:31:21,50 	someone holds one hand to her chest as she watches.
HUGO.srt 	HUGO_DVS797 	01:56:53,00 --> 01:57:04,50 	someone holds up his arms then bows and steps backward toward a movie screen.
IN_TIME.srt 	IN_TIME_DVS34 	00:04:04,00 --> 00:04:10,50 	someone holds out a hand.
IN_TIME.srt 	IN_TIME_DVS44 	00:05:02,00 --> 00:05:10,50 	as someone moves on, someone lingers, holding the thin man's gaze with narrowed eyes.
IN_TIME.srt 	IN_TIME_DVS93 	00:10:19,00 --> 00:10:28,50 	as he tugs at it, the working man on the other side holds the chain tightly.
IN_TIME.srt 	IN_TIME_DVS101 	00:11:14,00 --> 00:11:19,50 	he holds it out to his rescuer and nods insistently.
IN_TIME.srt 	IN_TIME_DVS123 	00:14:44,00 --> 00:14:49,50 	someone leans forward, holding out the flask.
IN_TIME.srt 	IN_TIME_DVS167 	00:18:13,00 --> 00:18:18,50 	clasping someone's arm, he holds his gaze.
IN_TIME.srt 	IN_TIME_DVS192 	00:20:24,00 --> 00:20:31,50 	as the bus stops in dayton, someone steps forward holding a bouquet.
IN_TIME.srt 	IN_TIME_DVS260 	00:26:42,00 --> 00:26:46,50 	he holds out his wrist.
IN_TIME.srt 	IN_TIME_DVS279 	00:28:27,00 --> 00:28:32,50 	still chewing, someone holds out his wrist.
IN_TIME.srt 	IN_TIME_DVS292 	00:30:05,00 --> 00:30:10,50 	with a defiant look, someone holds out his wrist.
IN_TIME.srt 	IN_TIME_DVS332 	00:34:20,00 --> 00:34:24,50 	she holds his gaze.
IN_TIME.srt 	IN_TIME_DVS337 	00:34:54,00 --> 00:35:00,50 	the sales attendant holds a time capsule to it and smiles.
IN_TIME.srt 	IN_TIME_DVS352 	00:37:05,00 --> 00:37:10,50 	he holds her close as they dance.
IN_TIME.srt 	IN_TIME_DVS509 	00:54:44,00 --> 00:54:48,50 	someone holds out the phone.
IN_TIME.srt 	IN_TIME_DVS543 	00:58:36,00 --> 00:58:41,50 	lifting her gaze to someone's, she holds
IN_TIME.srt 	IN_TIME_DVS580 	01:01:47,00 --> 01:01:53,50 	now, someone holds someone's arm as he escorts her down a sidewalk.
IN_TIME.srt 	IN_TIME_DVS582 	01:02:16,00 --> 01:02:21,50 	she holds his gaze with solemn eyes.
IN_TIME.srt 	IN_TIME_DVS596 	01:03:41,00 --> 01:03:54,50 	someone retrieves it as someone holds someone down with one knee and presses his gun to his chest.
IN_TIME.srt 	IN_TIME_DVS625 	01:06:38,00 --> 01:06:44,50 	someone holds it open as a blond woman steps out.
IN_TIME.srt 	IN_TIME_DVS692 	01:14:30,00 --> 01:14:34,50 	a masked someone holds up its young, long-haired proprietor.
IN_TIME.srt 	IN_TIME_DVS693 	01:14:32,00 --> 01:14:38,50 	holding him at gunpoint, someone transfers time into his body.
IN_TIME.srt 	IN_TIME_DVS771 	01:21:23,00 --> 01:21:28,50 	someone holds up a man's body clock.
IN_TIME.srt 	IN_TIME_DVS772 	01:21:34,00 --> 01:21:39,50 	his thugs hold the citizens at gunpoint.
IN_TIME.srt 	IN_TIME_DVS795 	01:23:47,00 --> 01:23:53,50 	someone sits by someone and forcefully holds her close.
IN_TIME.srt 	IN_TIME_DVS825 	01:27:45,00 --> 01:27:50,50 	his cold eyes hold someone's.
IN_TIME.srt 	IN_TIME_DVS920 	01:37:11,00 --> 01:37:18,50 	meanwhile, someone and someone flee down a street, still holding hands.
INSIDE_MAN.srt 	INSIDE_MAN_DVS30 	00:06:55,00 --> 00:07:00,50 	someone holds a gun to a guard's side.
INSIDE_MAN.srt 	INSIDE_MAN_DVS61 	00:16:49,00 --> 00:16:53,50 	he holds his gun to someone's cheek.
INSIDE_MAN.srt 	INSIDE_MAN_DVS68 	00:18:20,00 --> 00:18:24,50 	someone holds him up, someone shuts the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS73 	00:18:54,00 --> 00:19:00,50 	he approaches the turbaned loan officer who holds out a set of keys.
INSIDE_MAN.srt 	INSIDE_MAN_DVS81 	00:20:16,00 --> 00:20:23,50 	someone's female accomplice grabs hold of the older woman.
INSIDE_MAN.srt 	INSIDE_MAN_DVS132 	00:39:52,00 --> 00:39:57,50 	he holds ice to his brow.
INSIDE_MAN.srt 	INSIDE_MAN_DVS140 	00:42:11,00 --> 00:42:16,50 	the masked figure holds a piece of paper.
INSIDE_MAN.srt 	INSIDE_MAN_DVS157 	00:46:44,00 --> 00:46:51,50 	as someone hangs his head, someone holds his brow wrinkled.
INSIDE_MAN.srt 	INSIDE_MAN_DVS174 	00:50:14,00 --> 00:50:18,50 	she holds a picture.
INSIDE_MAN.srt 	INSIDE_MAN_DVS200 	00:57:16,00 --> 00:57:43,50 	scotch tape holds snapshots to a window and keys hang on a dirty pegboard.
INSIDE_MAN.srt 	INSIDE_MAN_DVS203 	00:58:12,00 --> 00:58:32,50 	someone lifts the lid holding a lit cigarette between two of his latex gloved fingers.
INSIDE_MAN.srt 	INSIDE_MAN_DVS218 	01:02:03,00 --> 01:02:09,50 	the esu team members hold their rifles at the ready.
INSIDE_MAN.srt 	INSIDE_MAN_DVS224 	01:04:09,00 --> 01:04:14,50 	one of someone's staff holds up a note - food.
INSIDE_MAN.srt 	INSIDE_MAN_DVS259 	01:19:44,00 --> 01:19:59,50 	holding his gun steady, the other robber tails the detective closely.
INSIDE_MAN.srt 	INSIDE_MAN_DVS260 	01:20:01,00 --> 01:20:10,50 	he holds it out to someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS272 	01:24:33,00 --> 01:24:46,50 	holding his hands up, someone nods and paces to the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS362 	01:44:53,00 --> 01:45:05,50 	one holds scrolls that read lex scripta and lex tradita.
INSIDE_MAN.srt 	INSIDE_MAN_DVS376 	01:50:10,00 --> 01:50:14,50 	he holds out a check.
INSIDE_MAN.srt 	INSIDE_MAN_DVS411 	01:55:58,00 --> 01:56:13,50 	now, a valet holds open a door for mr. case as he enters his spacious study.
INSIDE_MAN.srt 	INSIDE_MAN_DVS422 	02:00:31,00 --> 02:00:35,50 	he holds out the pen recorder.
IRON_MAN_2.srt 	IRON_MAN_2_DVS35 	00:04:05,00 --> 00:04:17,50 	smiling, someone holds a full wine glass up to the drinking bird.
IRON_MAN_2.srt 	IRON_MAN_2_DVS64 	00:10:55,00 --> 00:11:00,50 	the woman holds up a federal someone's badge.
IRON_MAN_2.srt 	IRON_MAN_2_DVS152 	00:28:16,00 --> 00:28:20,50 	christine holds out a recorder.
IRON_MAN_2.srt 	IRON_MAN_2_DVS168 	00:31:54,00 --> 00:32:03,50 	she turns to face the entrance where someone stands holding a red case containing someone's iron man suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS213 	00:40:43,00 --> 00:40:48,50 	holding a covered tray, someone stands behind her.
IRON_MAN_2.srt 	IRON_MAN_2_DVS280 	00:52:18,00 --> 00:52:23,50 	someone carries the box holding watches to someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS300 	00:55:42,00 --> 00:55:51,50 	at the front of the crowd, a busty blond woman holds a champagne bottle by its neck.
IRON_MAN_2.srt 	IRON_MAN_2_DVS393 	01:14:03,00 --> 01:14:09,50 	a young dark-haired boy holding a piece of the model stands behind the table.
IRON_MAN_2.srt 	IRON_MAN_2_DVS399 	01:14:51,00 --> 01:15:05,50 	as someone drinks from a glass on the screen, someone leans against the table, holding the model.
IRON_MAN_2.srt 	IRON_MAN_2_DVS411 	01:16:34,00 --> 01:16:39,50 	someone walks in holding the strawberries.
IRON_MAN_2.srt 	IRON_MAN_2_DVS546 	01:37:24,00 --> 01:37:32,50 	backstage, someone runs up to someone, who holds a telephone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	still holding the cord, someone knocks one guard out and releases the cord.
IRON_MAN_2.srt 	IRON_MAN_2_DVS603 	01:43:47,00 --> 01:44:08,50 	someone follows someone, who holds two cocked pistols, into the room.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS43 	00:11:23,00 --> 00:11:28,50 	he holds a measuring tool to her brow.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS72 	00:22:35,00 --> 00:22:41,50 	she jogs into the bathroom holding a pillow over her rear and kicks the door shut.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS110 	00:34:26,00 --> 00:34:31,50 	someone holds up her hands.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS195 	01:00:27,00 --> 01:00:32,50 	husband holds her in a fond gaze.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS253 	01:11:45,00 --> 01:11:52,50 	someone stops carving the chicken and turns in someone's direction still holding her knife.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS82 	00:18:34,00 --> 00:18:39,50 	he holds his hands out and stops moving.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS87 	00:19:54,00 --> 00:19:59,50 	each holding a doll that matches their outfit.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS166 	00:33:20,00 --> 00:33:27,50 	someone holds a doll that looks exactly like someone dressed in a matching outfit.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS187 	00:36:52,00 --> 00:36:59,50 	walking courtside with her brother, someone holds a giant stick of cotton candy.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS218 	00:44:07,00 --> 00:44:12,50 	someone mcenroe holds up a club.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS236 	00:47:42,00 --> 00:47:47,50 	he holds someone from behind, guiding her stance.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS248 	00:50:04,00 --> 00:50:10,50 	someone holds the bird inside a hoagie roll.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS280 	00:53:09,00 --> 00:53:16,50 	she holds the ball between her feet and jumps.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS307 	00:59:24,00 --> 00:59:29,50 	in the doorway, the cheering kids hold their noses.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS308 	00:59:29,00 --> 00:59:34,50 	the cockatoo holds his beak.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS334 	01:04:31,00 --> 01:04:35,50 	they hold their arms out like mummies.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS356 	01:07:04,00 --> 01:07:10,50 	the attendant holds eye contact then grabs and shifts someone's melons.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS370 	01:09:38,00 --> 01:09:42,50 	as someone holds up his arms,
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS440 	01:21:40,00 --> 01:21:46,50 	someone holds someone in the headlock and flings her around.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS96 	00:15:19,00 --> 00:15:24,50 	someone child holds a pan.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS111 	00:18:56,00 --> 00:19:08,50 	as someone passes two butchers, one holds up a hare, still with its fur.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS195 	00:37:29,00 --> 00:37:36,50 	someone holds her in a loving gaze.
