21_JUMP_STREET.srt 	21_JUMP_STREET_DVS62 	00:06:21,00 --> 00:06:26,50 	the rookies approach the biker gang.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS434 	01:26:02,00 --> 01:26:08,50 	someone's concierge opens the front door as they approach.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS488 	01:34:10,00 --> 01:34:18,50 	she slows down as she approaches the apartment, and notices someone crossing the street toward her.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS40 	00:10:22,00 --> 00:10:31,50 	clad in a filmy cerulean dress, a young statuesque beauty with sun-kissed skin and long blonde hair approaches someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS69 	00:24:09,00 --> 00:24:14,50 	she frowns as he coldly approaches.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS132 	00:47:06,00 --> 00:47:15,50 	someone approaches the registration desk.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS161 	00:58:49,00 --> 00:58:54,50 	someone approaches the water.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS176 	01:03:17,00 --> 01:03:22,50 	as she leaves, someone approaches her in the hallway.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS233 	01:20:23,00 --> 01:20:33,50 	someone nervously approaches the white sheep, which lies on its side.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS322 	01:42:22,00 --> 01:42:29,50 	the blonde approaches wearing a white dress and a magnolia in her hair.
KARATE_KID.srt 	KARATE_KID_DVS212 	00:18:15,00 --> 00:18:21,50 	someone approaches the bully.
KARATE_KID.srt 	KARATE_KID_DVS299 	00:26:49,00 --> 00:26:53,50 	someone approaches his mother.
KARATE_KID.srt 	KARATE_KID_DVS331 	00:29:52,00 --> 00:29:57,50 	someone approaches the stage.
KARATE_KID.srt 	KARATE_KID_DVS564 	00:50:47,00 --> 00:50:53,50 	the winning student approaches his instructor, his eyes averted.
KARATE_KID.srt 	KARATE_KID_DVS582 	00:51:44,00 --> 00:51:50,50 	as they approach, someone's cohorts turn to look at them.
KARATE_KID.srt 	KARATE_KID_DVS992 	01:20:52,00 --> 01:21:00,50 	the boy solemnly steps up on one of the white-stone beams and approaches the basin.
KARATE_KID.srt 	KARATE_KID_DVS1546 	02:05:01,00 --> 02:05:10,50 	the american looks the bully dead in the eye, then approaches mr.
KARATE_KID.srt 	KARATE_KID_DVS1636 	02:12:59,00 --> 02:13:05,50 	as the announcer approaches with the trophy, someone intercepts him.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS64 	00:12:06,00 --> 00:12:11,50 	she approaches and hugs a tall balding man.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS161 	00:46:05,00 --> 00:46:11,50 	wearing her black wig now, someone approaches two young boys.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS177 	00:48:56,00 --> 00:49:01,50 	someone approaches waiting fans.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS195 	00:51:54,00 --> 00:52:01,50 	white haired someone jensen approaches her.
KNOCKED_UP.srt 	KNOCKED_UP_DVS26 	00:18:34,00 --> 00:18:39,50 	now in a dinner, someone approaches someone in a booth.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS84 	00:28:10,00 --> 00:28:14,50 	someone approaches someone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS183 	01:05:42,00 --> 01:05:52,50 	someone approaches it, her hand still on the tachyon amplifier.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS197 	01:10:07,00 --> 01:10:13,50 	someone approaches his slain body.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS38 	00:12:25,00 --> 00:12:32,50 	a silver haired man with a bowtie and a toothy smile approaches him.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS48 	00:14:34,00 --> 00:14:38,50 	someone approaches a scooter.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS272 	01:05:06,00 --> 01:05:12,50 	he lumbers on to the sidewalk and approaches the apartment building.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS329 	01:16:20,00 --> 01:16:26,50 	an approaching bmw sports a pizza joint sign on its.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS367 	01:27:18,00 --> 01:27:23,50 	someone approaches someone's booth.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS137 	00:16:32,00 --> 00:16:38,50 	the priest approaches the boy and offers a glass of water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS404 	00:47:33,00 --> 00:47:40,50 	someone ducks into the canvas and the zebra stretches its neck toward the approaching ape.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS588 	01:04:50,00 --> 01:04:55,50 	someone pushes off as someone approaches the bucket.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS919 	01:31:59,00 --> 01:32:07,50 	using the rim of the boat for support, he steps onto the bench and approaches the resting beast.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS971 	01:35:56,00 --> 01:36:01,50 	he turns his head and approaches a crest.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS977 	01:36:28,00 --> 01:36:36,50 	someone approaches a glistening pond surround by a three foot tall bank of roots.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1073 	01:48:16,00 --> 01:48:21,50 	he stands and approaches a cabinet.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS33 	00:13:31,00 --> 00:13:36,50 	bikini clog beauty approaches someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS127 	00:46:39,00 --> 00:46:51,50 	now at a bar, three doctors approach someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS180 	01:03:15,00 --> 01:03:20,50 	now, someone approaches the nurses' station.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS229 	01:20:59,00 --> 01:21:04,50 	now, someone approaches someone, who sits.
MORNING_GLORY.srt 	MORNING_GLORY_DVS432 	01:33:40,00 --> 01:33:45,50 	a woman approaches carrying a note.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS443 	00:52:01,00 --> 00:52:05,50 	someone approaches a penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS531 	01:03:43,00 --> 01:03:47,50 	reader approaches captain's egg.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS673 	01:23:40,00 --> 01:23:56,50 	the someone pass colorful flower beds as they approach the building.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS241 	00:50:12,00 --> 00:50:19,50 	the limousine approaches.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS396 	01:23:37,00 --> 01:23:43,50 	someone approaches someone, who wears one cuff on his wrist.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS24 	00:05:12,00 --> 00:05:17,50 	someone exits his car and approaches the front door.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS165 	00:41:27,00 --> 00:41:33,50 	a stick-thin woman with a copper red someone and severe features approaches her.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS325 	01:17:28,00 --> 01:17:33,50 	an officer approaches.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS346 	01:22:44,00 --> 01:22:50,50 	someone slowly approaches someone as she takes a sip of wine.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS221 	00:57:29,00 --> 00:57:38,50 	someone swerves away from the big rig, then cuts across approaching traffic as he returns to the proper lane.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS232 	01:01:54,00 --> 01:01:59,50 	as they approach the parthenon's entrance
PROMETHEUS.srt 	PROMETHEUS_DVS260 	00:24:54,00 --> 00:25:01,50 	the ship slows as it approaches a gap between two outcroppings.
PROMETHEUS.srt 	PROMETHEUS_DVS300 	00:29:41,00 --> 00:29:49,50 	the team members approach one of the entry ways, each carrying a kit or bag of varying size.
PROMETHEUS.srt 	PROMETHEUS_DVS302 	00:29:48,00 --> 00:29:55,50 	we peer up at the approaching humans from a sandy slope dotted with sharp rocks.
PROMETHEUS.srt 	PROMETHEUS_DVS361 	00:35:25,00 --> 00:35:29,50 	he stares at an approaching light.
PROMETHEUS.srt 	PROMETHEUS_DVS370 	00:36:22,00 --> 00:36:26,50 	the team approaches it.
PROMETHEUS.srt 	PROMETHEUS_DVS479 	00:50:24,00 --> 00:50:31,50 	someone approaches a wall of glass-doored coolers filled with supplies.
PROMETHEUS.srt 	PROMETHEUS_DVS512 	00:54:42,00 --> 00:54:49,50 	someone stops playing a concertina and approaches a pinging red dot on the map.
PROMETHEUS.srt 	PROMETHEUS_DVS592 	01:06:03,00 --> 01:06:09,50 	later, the vehicles approach the structures gateway.
PROMETHEUS.srt 	PROMETHEUS_DVS681 	01:13:10,00 --> 01:13:16,50 	staring, someone approaches the intergalactic map.
PROMETHEUS.srt 	PROMETHEUS_DVS702 	01:14:31,00 --> 01:14:37,50 	aiming his flashlight, the android approaches it wearily.
PROMETHEUS.srt 	PROMETHEUS_DVS748 	01:20:56,00 --> 01:21:04,50 	as a crewman in a containment suit approaches, someone whacks him with a metal object, then heads forward.
PROMETHEUS.srt 	PROMETHEUS_DVS853 	01:33:40,00 --> 01:33:46,50 	she approaches him and he averts his gaze.
PROMETHEUS.srt 	PROMETHEUS_DVS1003 	01:49:49,00 --> 01:49:54,50 	sparks rain down erratically from the ceiling as she ventures past the bar, her axe ready, and approaches a doorway.
PROMETHEUS.srt 	PROMETHEUS_DVS1064 	01:56:26,00 --> 01:56:30,50 	it approaches the next structure.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS63 	00:11:12,00 --> 00:11:18,50 	as they approach the house, a young blonde woman greets them.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS75 	00:12:46,00 --> 00:13:05,50 	someone approaches a guard.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS155 	00:28:15,00 --> 00:28:30,50 	a short husky man with someone skin and a toothbrush mustache approaches someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS195 	00:37:03,00 --> 00:37:13,50 	two other g-men approach the luxury car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS437 	01:24:17,00 --> 01:24:33,50 	inside, baby face approaches a couple eating dinner.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS97 	00:24:58,00 --> 00:25:07,50 	as they reach a path, they king's horse approaches at a full gallop.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS117 	00:30:23,00 --> 00:30:37,50 	now, as a rider approaches a humble country chapel, a word appears - nottingham.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS447 	01:51:24,00 --> 01:51:29,50 	noticing someone as she approaches the cart.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS511 	02:07:23,00 --> 02:07:46,50 	they approach two thrones on a canopied platform.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS495 	01:16:12,00 --> 01:16:16,50 	someone approaches her.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS628 	01:30:56,00 --> 01:31:02,50 	someone watches him approach the foot of the stairs, pause.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS631 	01:31:12,00 --> 01:31:19,50 	as he approaches it, the stack of pages comes into focus.
SALT.srt 	SALT_DVS179 	00:30:51,00 --> 00:31:05,50 	he approaches a wandering someone.
SALT.srt 	SALT_DVS211 	00:36:06,00 --> 00:36:16,50 	the tanker approaches below.
SALT.srt 	SALT_DVS272 	00:47:52,00 --> 00:47:58,50 	he approaches a lanky man in a row behind her.
SALT.srt 	SALT_DVS290 	00:51:06,00 --> 00:51:10,50 	nails the approaching agent in his bulletproof vest.
SALT.srt 	SALT_DVS425 	01:13:57,00 --> 01:14:03,50 	turning a corner, the president and his men approach an elevator.
SALT.srt 	SALT_DVS468 	01:20:18,00 --> 01:20:24,50 	meanwhile, someone approaches the room.
SALT.srt 	SALT_DVS478 	01:22:19,00 --> 01:22:25,50 	someone approaches the window separating him from someone.
SANCTUM.srt 	SANCTUM_DVS43 	00:09:18,00 --> 00:09:22,50 	someone approaches a native.
SANCTUM.srt 	SANCTUM_DVS52 	00:11:25,00 --> 00:11:32,50 	someone leaves the computer station to approach someone and someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS441 	00:29:16,00 --> 00:29:21,50 	with a straight line of bangs over her eyebrows approaches.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS509 	00:33:05,00 --> 00:33:09,50 	a woman approaches someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS586 	00:39:09,00 --> 00:39:15,50 	she sets it down, then approaches a door and peeks inside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS623 	00:41:22,00 --> 00:41:28,50 	now inside, someone cautiously approaches a door with her purse in hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS868 	00:57:36,00 --> 00:57:42,50 	someone approaches it, raising a hand over her nose and mouth as she peers out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1307 	01:30:17,00 --> 01:30:23,50 	she crosses a waiting area and approaches a front desk.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS267 	00:53:51,00 --> 00:53:55,50 	later in a men's room, someone approaches him.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS328 	01:07:15,00 --> 01:07:26,50 	farther along, he approaches a window to a coffee house marked, "communication cafe."
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS361 	01:16:33,00 --> 01:16:40,50 	finding the garbage truck empty, someone approaches a crowd of onlookers.
SOUL_SURFER.srt 	SOUL_SURFER_DVS95 	00:33:54,00 --> 00:34:00,50 	the shark underwater approaching her surfboard attacking.
SOUL_SURFER.srt 	SOUL_SURFER_DVS192 	01:00:45,00 --> 01:00:52,50 	later, an official approaches someone.
SOUL_SURFER.srt 	SOUL_SURFER_DVS254 	01:15:48,00 --> 01:16:01,50 	someone approaches a boy who stands on one the donated surfboards.
SPARKLE_2012.srt 	SPARKLE_2012_DVS23 	00:03:40,00 --> 00:03:45,50 	black approaches the sharp-dressed man.
SPARKLE_2012.srt 	SPARKLE_2012_DVS38 	00:06:56,00 --> 00:07:07,50 	now the sisters hurry up a quiet suburban driveway past a white sedan, and approach a side entrance.
SPARKLE_2012.srt 	SPARKLE_2012_DVS55 	00:09:30,00 --> 00:09:35,50 	the manager approaches her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS90 	00:14:17,00 --> 00:14:23,50 	he approaches the door of the room someone entered and stops.
SPARKLE_2012.srt 	SPARKLE_2012_DVS93 	00:14:30,00 --> 00:14:38,50 	unnoticed, someone approaches a doorway and finds the reserved beauty singing with her eyes closed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS169 	00:28:21,00 --> 00:28:26,50 	someone approaches with a dark-skinned mannequin.
SPARKLE_2012.srt 	SPARKLE_2012_DVS216 	00:34:09,00 --> 00:34:15,50 	backstage in an overcoat, sister approaches her sisters already dressed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS224 	00:35:05,00 --> 00:35:13,50 	sister approaches a center microphone, walking seductively.
SPARKLE_2012.srt 	SPARKLE_2012_DVS305 	00:51:35,00 --> 00:51:39,50 	someone slowly approaches.
SPARKLE_2012.srt 	SPARKLE_2012_DVS325 	00:53:25,00 --> 00:53:32,50 	sister emerges from inside and approaches someone in a white baby doll nightie.
SPARKLE_2012.srt 	SPARKLE_2012_DVS559 	01:31:38,00 --> 01:31:44,50 	she approaches the desk, and the busy executive glances at her.
SUPER_8.srt 	SUPER_8_DVS94 	00:15:36,00 --> 00:15:42,50 	someone runs to the edge of the platform and peers toward a train approaching in the distance.
SUPER_8.srt 	SUPER_8_DVS97 	00:16:38,00 --> 00:16:46,50 	the train approaches the depot at full speed.
SUPER_8.srt 	SUPER_8_DVS401 	01:12:34,00 --> 01:12:41,50 	later, wearing the soldier's uniform someone runs through the building and approaches a window.
SUPER_8.srt 	SUPER_8_DVS489 	01:24:01,00 --> 01:24:07,50 	inside the bus, someone fires at the creature as it approaches.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS399 	00:59:11,00 --> 00:59:18,50 	an approaching pirate ship fires cannon balls,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS419 	01:00:47,00 --> 01:00:53,50 	as more pirates approach, he slices a line and untangles the two ships.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS425 	01:01:21,00 --> 01:01:27,50 	sir someone glares at the silhouetted figure as he approaches.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS70 	00:15:55,00 --> 00:16:00,50 	he approaches, tray in hand.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS93 	00:21:33,00 --> 00:21:46,50 	with his back turned to the approaching student the unshaven man hunches over to light a cigarette.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS155 	00:33:05,00 --> 00:33:13,50 	he approaches someone's friends at the bar.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS261 	00:49:51,00 --> 00:50:20,50 	someone approaches from the opposite direction.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS408 	01:18:21,00 --> 01:18:30,50 	approaching the young artist, she regards the portrait appraisingly then tilts her head and smiles.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS46 	00:08:39,00 --> 00:08:46,50 	nighttime at a police station, a man in a sport coat approaches a jail cell.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS106 	00:21:11,00 --> 00:21:22,50 	now, a bird's-eye view shows someone's car exiting a tunnel and approaching a toll plaza.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS135 	00:27:04,00 --> 00:27:12,50 	she approaches two rows of waiting cabs parked along a curb.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS453 	01:23:35,00 --> 01:23:45,50 	a young couple climbs out and he approaches the driver.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS494 	01:29:16,00 --> 01:29:21,50 	someone approaches a purple and white muscle car.
THE_CALL.srt 	THE_CALL_DVS479 	00:36:53,00 --> 00:37:04,50 	approaching a large intersection, the kidnapper slows to a stop in the left turn lane.
THE_CALL.srt 	THE_CALL_DVS653 	00:50:42,00 --> 00:50:48,50 	hopping out, he approaches a chubby service attendant with some cash in hand.
THE_CALL.srt 	THE_CALL_DVS798 	01:00:46,00 --> 01:00:51,50 	an officer approaches someone as he leaves with someone.
THE_CALL.srt 	THE_CALL_DVS814 	01:01:34,00 --> 01:01:42,50 	one behind the other, several groups of officers stealthily approach from all sides, weapons drawn.
THE_CALL.srt 	THE_CALL_DVS882 	01:08:24,00 --> 01:08:29,50 	he hangs up and approaches a line of cars.
THE_CALL.srt 	THE_CALL_DVS941 	01:12:34,00 --> 01:12:40,50 	she walks astride a row of bushes and approaches a flag pole.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS87 	00:15:49,00 --> 00:15:53,50 	he approaches the table.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS151 	00:25:40,00 --> 00:25:45,50 	her father approaches with a compassionate frown.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS227 	00:35:17,00 --> 00:35:24,50 	he approaches the pool area where his daughters share a lounge chair.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS340 	00:52:07,00 --> 00:52:14,50 	a teenage boy enters the room and approaches him from behind.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS584 	01:26:58,00 --> 01:27:03,50 	as the girls approach someone's bed, someone wraps her arm around her sister's shoulders.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS141 	00:13:54,00 --> 00:14:02,50 	now, on a narrow snow smeared road, the car approaches a bridge with rainbow-shaped arches barely wide enough for two cars.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS149 	00:14:43,00 --> 00:14:49,50 	then approaches a sprawling elegant manor house with a circular driveway.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS202 	00:25:08,00 --> 00:25:13,50 	inside, she approaches an apartment door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS337 	00:41:28,00 --> 00:41:35,50 	as she approaches the platform a guy snatches her backpack off her shoulder.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS692 	01:16:29,00 --> 01:16:35,50 	someone approaches the door to her apartment.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS796 	01:31:33,00 --> 01:31:40,50 	now, someone consults a gps as he approaches a modest house on a country road.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS869 	01:37:02,00 --> 01:37:07,50 	she bites a strand off with her teeth and approaches him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS904 	01:40:07,00 --> 01:40:14,50 	he spots two breakfast settings arranged on a small table, then approaches.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1038 	01:51:20,00 --> 01:51:27,50 	at the archives someone pushes through heavy doors and approaches some vending machines.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1054 	01:52:11,00 --> 01:52:17,50 	he cautiously approaches the room, opens its glass door and enters.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1084 	01:53:47,00 --> 01:53:52,50 	in the living room someone sets his bag down and approaches the kitchen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1182 	02:06:17,00 --> 02:06:21,50 	she approaches someone from behind.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1193 	02:07:02,00 --> 02:07:07,50 	and approaches the dining table.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1216 	02:08:36,00 --> 02:08:43,50 	approaching the vehicle someone removes the gun from her waistband and holds it at her side.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1283 	02:14:47,00 --> 02:14:53,50 	he peeks around a corner then approaches someone who hangs up her desk phone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1319 	02:20:08,00 --> 02:20:13,50 	someone approaches someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1351 	02:25:11,00 --> 02:25:17,50 	inside, someone approaches the front desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1400 	02:29:56,00 --> 02:30:02,50 	in the millennium offices a goateed man approaches someone.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS53 	00:10:58,00 --> 00:11:04,50 	later, a series of men try to approach someone.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS54 	00:11:12,00 --> 00:11:22,50 	someone sighs as he sits at the bar, watching his mother turn down one man after another, until they stop approaching her altogether.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS120 	00:43:03,00 --> 00:43:10,50 	uniformed costco employees approach people seated at scattered tables.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS122 	00:43:14,00 --> 00:43:21,50 	he sees his mother taking a look around as she approaches his table.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS183 	01:00:07,00 --> 01:00:14,50 	someone approaches the stage and pulls up a chair beside someone, who is focused on eating.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS227 	01:14:39,00 --> 01:14:44,50 	a man with a clipboard approaches.
THE_SITTER.srt 	THE_SITTER_DVS36 	00:20:19,00 --> 00:20:25,50 	approaches the maitre d's post at an upscale restaurant.
THE_SITTER.srt 	THE_SITTER_DVS52 	00:31:14,00 --> 00:31:19,50 	someone winks, then approaches rodrigo
THE_SITTER.srt 	THE_SITTER_DVS54 	00:31:38,00 --> 00:31:45,50 	as he searches for more the server approaches.
THE_SITTER.srt 	THE_SITTER_DVS59 	00:34:07,00 --> 00:34:12,50 	as someone trudges off the valet approaches someone.
THE_SITTER.srt 	THE_SITTER_DVS66 	00:37:01,00 --> 00:37:05,50 	they approach a fishmonger.
THE_SITTER.srt 	THE_SITTER_DVS104 	00:56:00,00 --> 00:56:04,50 	two officers approach.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS144 	00:51:37,00 --> 00:51:45,50 	a guy approaches.
THE_VOW.srt 	THE_VOW_DVS297 	00:38:20,00 --> 00:38:26,50 	someone enters a restaurant equipment store and approaches a worker at a counter.
THE_VOW.srt 	THE_VOW_DVS314 	00:40:43,00 --> 00:40:48,50 	they approach a tudor style house.
THE_VOW.srt 	THE_VOW_DVS548 	01:14:55,00 --> 01:15:01,50 	someone approaches with a bottle of fine liquor.
THE_VOW.srt 	THE_VOW_DVS666 	01:32:55,00 --> 01:33:00,50 	her father approaches.
THE_WATCH.srt 	THE_WATCH_DVS336 	00:58:20,00 --> 00:58:24,50 	someone approaches someone.
THE_WATCH.srt 	THE_WATCH_DVS369 	01:04:54,00 --> 01:05:00,50 	someone glares at someone as someone approaches chelsea.
THE_WATCH.srt 	THE_WATCH_DVS389 	01:08:41,00 --> 01:08:47,50 	someone flips open his butterfly knife and approaches someone.
THE_WATCH.srt 	THE_WATCH_DVS441 	01:20:33,00 --> 01:20:41,50 	someone, someone, someone, and someone approach the building and peer inside through the glass-paneled rollaway door.
THE_WATCH.srt 	THE_WATCH_DVS553 	01:35:13,00 --> 01:35:17,50 	someone approaches someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS92 	00:29:05,00 --> 00:29:10,50 	at the restaurant the chef approaches someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS93 	00:29:11,00 --> 00:29:17,50 	outside, someone approaches her car and hands over her valet ticket.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS214 	00:53:49,00 --> 00:53:59,50 	behind him, someone leslie and three more nba players approach.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS283 	01:16:16,00 --> 01:16:21,50 	the couple approaches the table and a nearby service cart.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS125 	00:23:00,00 --> 00:23:04,50 	he approaches her.
