21_JUMP_STREET.srt 	21_JUMP_STREET_DVS112 	00:15:13,00 --> 00:15:22,50 	the teen dances, rips the clothes from his closet, trashes a piano keyboard and then leans close to the camera.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS156 	00:55:32,00 --> 00:56:04,50 	leaning in, someone opens the zebra print page then scrolls down to find the photo of someone kissing someone on the cheek.
MORNING_GLORY.srt 	MORNING_GLORY_DVS203 	00:46:40,00 --> 00:46:48,50 	he leans her over a worktop.
MORNING_GLORY.srt 	MORNING_GLORY_DVS405 	01:29:10,00 --> 01:29:17,50 	someone leans over and kisses someone on the cheek, then wipes off her lipstick someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS67 	00:10:31,00 --> 00:10:36,50 	he leans his hands on the table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS135 	00:20:49,00 --> 00:20:55,50 	leaning closer, it eyes the weary man.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS328 	00:41:58,00 --> 00:42:06,50 	someone watches someone go, then leans back on a railing next to a white-haired man.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS355 	00:44:56,00 --> 00:45:01,50 	squinting after them, she leans back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS604 	01:11:45,00 --> 01:11:49,50 	he leans closer.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS121 	00:26:47,00 --> 00:26:52,50 	she leans the bat on the stair rail.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS173 	00:39:17,00 --> 00:39:24,50 	she lifts her brow and raises her stick, then leans it gently against the table.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS325 	01:11:51,00 --> 01:11:58,50 	as he leans over her shoulder, the fountain pen poised, someone gives him a look.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS373 	01:19:13,00 --> 01:19:19,50 	grins at someone, then leans forward.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS416 	01:26:47,00 --> 01:26:57,50 	someone leans into the bomb, her arms stretching toward the wire.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS418 	01:27:12,00 --> 01:27:27,50 	the kids return their attention to someone, who leans down into the vent and stretches her arms toward the red wire.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS460 	01:34:51,00 --> 01:34:56,50 	the slide leans on a hay bale.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS139 	00:23:20,00 --> 00:23:24,50 	someone leans closer.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS187 	00:32:27,00 --> 00:32:32,50 	someone leans over and snuggles closer.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS378 	01:09:30,00 --> 01:09:34,50 	avoiding his gaze she leans forward and has a drink.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS417 	01:16:30,00 --> 01:16:34,50 	someone stands leaning against the worktop in a kitchen area.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS482 	01:28:32,00 --> 01:28:39,50 	they sip red wine, then lean in for a kiss at the same time, and bash heads.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS392 	01:29:05,00 --> 01:29:15,50 	leaning forward, someone scowls with a black eye.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS392 	01:29:05,00 --> 01:29:15,50 	as someone leans forward, someone's sister gives a dirty look.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS439 	01:42:52,00 --> 01:43:00,50 	he leans down and holds out his monstrous hand.
PROMETHEUS.srt 	PROMETHEUS_DVS78 	00:04:28,00 --> 00:04:36,50 	as he leans his head back, it emits countless black particles like ash that float through the air.
PROMETHEUS.srt 	PROMETHEUS_DVS79 	00:04:33,00 --> 00:04:38,50 	he leans forward on one arm.
PROMETHEUS.srt 	PROMETHEUS_DVS376 	00:37:46,00 --> 00:37:52,50 	leaning close to someone, someone wheels around and leaves with someone.
PROMETHEUS.srt 	PROMETHEUS_DVS522 	00:57:52,00 --> 00:57:58,50 	she leans over and hugs him from behind with a giddy smile.
PROMETHEUS.srt 	PROMETHEUS_DVS531 	00:59:12,00 --> 00:59:18,50 	he leans in and they embrace with mounting passion.
PROMETHEUS.srt 	PROMETHEUS_DVS536 	00:59:27,00 --> 00:59:32,50 	holloway leans down again and kisses her hungrily.
PROMETHEUS.srt 	PROMETHEUS_DVS541 	00:59:46,00 --> 00:59:51,50 	leaning close, she reaches toward the map.
PROMETHEUS.srt 	PROMETHEUS_DVS582 	01:04:53,00 --> 01:04:59,50 	holloway knits his brow and leans closer to the mirror.
PROMETHEUS.srt 	PROMETHEUS_DVS640 	01:09:22,00 --> 01:09:27,50 	someone leans over an urn, peering closely with his flashlight.
PROMETHEUS.srt 	PROMETHEUS_DVS658 	01:11:44,00 --> 01:11:50,50 	someone climbs on the seat and leans back into it.
PROMETHEUS.srt 	PROMETHEUS_DVS686 	01:13:24,00 --> 01:13:30,50 	spreading his arms wide, the pilot leans back as if playing an organ.
PROMETHEUS.srt 	PROMETHEUS_DVS707 	01:14:58,00 --> 01:15:03,50 	turning his head  he leans an ear close to it.
PROMETHEUS.srt 	PROMETHEUS_DVS832 	01:30:08,00 --> 01:30:14,50 	now in her cabin, she leans over her sink.
PROMETHEUS.srt 	PROMETHEUS_DVS1008 	01:50:07,00 --> 01:50:13,50 	someone leans her face close to the glass peering through.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS72 	00:12:22,00 --> 00:12:31,50 	a man leans against the refrigerator.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS151 	00:27:47,00 --> 00:27:54,50 	someone glances at the man over his shoulder, then leans toward someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS184 	00:34:53,00 --> 00:35:06,50 	her head, revealing a silvery blue slip, then leans over on top of someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS224 	00:41:32,00 --> 00:41:37,50 	a panic maulin leans out an open window.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS253 	00:47:39,00 --> 00:47:50,50 	leaning forward, she cups the back of someone's head in her hand and presses her lips to his.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS264 	00:50:19,00 --> 00:50:37,50 	he paces forward and leans tensely on a rail attaching the cell bars one to the next.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS469 	01:29:24,00 --> 01:29:33,50 	he leans out and fires.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS674 	02:06:45,00 --> 02:06:52,50 	someone removes his hat, crouches, and leans his ear close to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS688 	02:09:06,00 --> 02:09:14,50 	leaning forward, he faces her with a knitted brow.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS19 	00:03:03,00 --> 00:03:08,50 	then, leans back and fires.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS266 	01:01:55,00 --> 01:02:04,50 	someone watches, then glances at someone and leans back in his chair.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS302 	01:13:07,00 --> 01:13:15,50 	someone leans into tuck.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS398 	01:37:55,00 --> 01:38:02,50 	someone wedges the blade underneath the stone, levers it upward and leans it back.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS405 	01:41:14,00 --> 01:41:20,50 	king someone winces thoughtfully, then leans toward someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS414 	01:43:58,00 --> 01:44:08,50 	he leans close and gives a taunting smile.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS430 	01:46:52,00 --> 01:47:00,50 	he leans in close.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS433 	01:47:27,00 --> 01:47:50,50 	as he leans his head toward her raised skirts, a sickened scowl overtakes someone's face and she plunges a dagger into the back of his neck.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS181 	00:29:27,00 --> 00:29:32,50 	leaning forward, she turns on the radio.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS201 	00:33:53,00 --> 00:34:00,50 	she shuts her eyes ecstatically as he leans his face toward hers.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS240 	00:37:03,00 --> 00:37:09,50 	someone looks around then leans back in his chair.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS406 	01:04:05,00 --> 01:04:10,50 	someone leans back in his chair and bows his head.
SALT.srt 	SALT_DVS25 	00:04:58,00 --> 00:05:07,50 	the dog eyes her as she hugs her husband from behind then leans over his shoulder and kisses him on his lips and forehead.
SALT.srt 	SALT_DVS170 	00:29:08,00 --> 00:29:16,50 	as someone leans out the window.
SALT.srt 	SALT_DVS211 	00:36:06,00 --> 00:36:16,50 	flanked by agents aiming their guns, someone leans out toward her.
SALT.srt 	SALT_DVS485 	01:23:48,00 --> 01:23:54,50 	he leans his arms against the glass and looks into her eyes.
SALT.srt 	SALT_DVS556 	01:35:52,00 --> 01:36:15,50 	leaning briefly against a tree trunk, she glances over her shoulder.
SANCTUM.srt 	SANCTUM_DVS349 	01:09:45,00 --> 01:09:53,50 	down at the churning pool, gets a hold on the wall, and leans out far under a light waterfall.
SANCTUM.srt 	SANCTUM_DVS430 	01:22:18,00 --> 01:22:22,50 	he leans against his arm.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS109 	00:07:31,00 --> 00:07:36,50 	leaning against a far wall,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS241 	00:16:48,00 --> 00:16:53,50 	she leans on her cane and eyes someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS773 	00:51:58,00 --> 00:52:06,50 	she sets a few file aside, picks up a document, then leans back in her chair and reads.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS839 	00:55:35,00 --> 00:55:41,50 	someone hesitantly rolls over and leans her head over the edge of the bed.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS841 	00:55:43,00 --> 00:55:48,50 	she leans a little further to see below.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS905 	00:59:09,00 --> 00:59:13,50 	and leans them against a rock.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS937 	01:00:48,00 --> 01:00:55,50 	they share a grave look, then lean over and adjust the blankets covering the children at their feet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS984 	01:04:15,00 --> 01:04:19,50 	someone absently meets her laotong's loving gaze, then leans back.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS136 	00:25:37,00 --> 00:25:42,50 	he leans over the balcony railing.
SOUL_SURFER.srt 	SOUL_SURFER_DVS118 	00:39:24,00 --> 00:39:33,50 	leaning against the sink, her father looks on soberly as she struggles with the bag's twist tie.
SOUL_SURFER.srt 	SOUL_SURFER_DVS180 	00:54:39,00 --> 00:54:47,50 	as her parents watch, someone lays a short board across the table and starts to lean down.
SPARKLE_2012.srt 	SPARKLE_2012_DVS188 	00:30:54,00 --> 00:31:00,50 	she softens and leans forward.
SPARKLE_2012.srt 	SPARKLE_2012_DVS351 	00:58:32,00 --> 00:58:38,50 	she awakes to her daughters performing, and leans closer.
SPARKLE_2012.srt 	SPARKLE_2012_DVS390 	01:05:45,00 --> 01:05:49,50 	someone leans forward.
SPARKLE_2012.srt 	SPARKLE_2012_DVS577 	01:34:37,00 --> 01:34:45,50 	someone leans over it.
SPARKLE_2012.srt 	SPARKLE_2012_DVS620 	01:40:19,00 --> 01:40:25,50 	leaning close to the glass, sister smiles softly.
SPARKLE_2012.srt 	SPARKLE_2012_DVS651 	01:48:31,00 --> 01:48:38,50 	someone leans her head back, spreads her arms and drinks in the applause.
SUPER_8.srt 	SUPER_8_DVS209 	00:36:03,00 --> 00:36:09,50 	at the pump, he leans against his car as he fills it with gas.
SUPER_8.srt 	SUPER_8_DVS324 	00:58:45,00 --> 00:58:50,50 	someone leans forward onto her knees and peers at the film.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS196 	00:28:59,00 --> 00:29:05,50 	someone ties a rope against the plank and leans out of the porthole.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS74 	00:16:59,00 --> 00:17:12,50 	he leans over a sketchbook with a pen and adds to a drawing which includes a horned cyclops wearing a party hat.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS173 	00:35:05,00 --> 00:35:16,50 	leaning him against the door jam, she doffs her coat.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS301 	00:57:48,00 --> 00:57:56,50 	charlotte sits on the sofa near someone who guiltily leans forward in an armchair.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS397 	01:16:41,00 --> 01:16:47,50 	smiling faintly he shakes someone's hand then leans in.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS42 	00:07:25,00 --> 00:07:33,50 	reaching a corner, she leans on a railing and peers over the edge.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS170 	00:35:36,00 --> 00:35:41,50 	he leans on his open window.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS215 	00:43:31,00 --> 00:43:44,50 	now he stumbles down the hall, leaning against a wall for support.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS216 	00:43:43,00 --> 00:43:54,50 	her handcuffed arm leaning vertically against the headboard.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS275 	00:51:58,00 --> 00:52:07,50 	cringing, she leans wearily over the handlebars.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS400 	01:15:40,00 --> 01:15:47,50 	as he unlocks the door, he steps in close and leans his face toward hers.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS469 	01:25:34,00 --> 01:25:40,50 	sitting beside her, someone leans back and smiles.
THE_CALL.srt 	THE_CALL_DVS69 	00:03:57,00 --> 00:04:04,50 	the 911 operator locks her hands behind her head and leans back in her chair.
THE_CALL.srt 	THE_CALL_DVS196 	00:15:41,00 --> 00:15:46,50 	she leans on a cement ledge.
THE_CALL.srt 	THE_CALL_DVS220 	00:18:41,00 --> 00:18:46,50 	with her eyes closed, she leans on the sink.
THE_CALL.srt 	THE_CALL_DVS673 	00:52:21,00 --> 00:52:26,50 	turning around, the murderer leans on the roof.
THE_CALL.srt 	THE_CALL_DVS968 	01:14:13,00 --> 01:14:19,50 	she leans forward and sets her hand on the open hatch.
THE_CALL.srt 	THE_CALL_DVS985 	01:15:41,00 --> 01:15:49,50 	as she steps forward, the woman cautiously puts out a hand and lightly leans on a dingy wooden partition.
THE_CALL.srt 	THE_CALL_DVS1013 	01:17:33,00 --> 01:17:39,50 	leaning forward, she sees him with his ring finger in his mouth.
THE_CALL.srt 	THE_CALL_DVS1066 	01:20:21,00 --> 01:20:27,50 	someone hangs up and faces the officers leaning over someone's body.
THE_CALL.srt 	THE_CALL_DVS1170 	01:27:19,00 --> 01:27:25,50 	she leans in close to the killer's face.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS55 	00:12:24,00 --> 00:12:29,50 	someone leans back in his seat.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS100 	00:18:32,00 --> 00:18:39,50 	at the wheel, someone glances over at someone, who sleeps with her head leaned against the window.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS204 	00:33:32,00 --> 00:33:38,50 	he leans forward, his elbows on his knees.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS262 	00:41:25,00 --> 00:41:31,50 	unfastening her seat belt, she leans forward and hugs his seat.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS304 	00:46:30,00 --> 00:46:35,50 	leaning close, someone holds an anguished stare.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS329 	00:50:58,00 --> 00:51:02,50 	then leans forward heavily.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS471 	01:09:29,00 --> 01:09:34,50 	he descends halfway down the porch steps, then leans back against a supporting pillar.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS478 	01:09:54,00 --> 01:09:58,50 	now, sitting on a blanket on the beach, someone leans back on his hands.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS525 	01:17:04,00 --> 01:17:11,50 	reaching his table, he collapses into a chair and leans back heavily.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS573 	01:25:32,00 --> 01:25:40,50 	as she leans in to hug him, someone tilts his head and gives her a full kiss on the lips instead.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS621 	01:31:05,00 --> 01:31:11,50 	then leans over someone and strokes her hair.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS633 	01:31:58,00 --> 01:32:06,50 	blinking groggily, he looks at his watch, then leans forward on his elbows and shifts his thoughtful eyes.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS740 	01:43:55,00 --> 01:44:01,50 	he bends down and leans over her, his fingers lingering on her brow.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS203 	00:25:14,00 --> 00:25:19,50 	she leans towards the door and listens.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS344 	00:41:46,00 --> 00:41:52,50 	grabbing him by the lapels she leans over him, her face contorted with rage.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS395 	00:47:07,00 --> 00:47:11,50 	he leans his head back.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS578 	01:04:08,00 --> 01:04:14,50 	he leans forward making note of someone's orientation on the sidewalk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS609 	01:07:29,00 --> 01:07:34,50 	with an icy stare, she leans in close.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS623 	01:08:35,00 --> 01:08:41,50 	someone leans back in his chair, his gaze chilled.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS802 	01:32:18,00 --> 01:32:23,50 	someone leans forward to stare after her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS813 	01:33:14,00 --> 01:33:20,50 	leaning closer to the monitor, he enlarges the picture.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1030 	01:50:42,00 --> 01:50:46,50 	he leans in cautiously.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1301 	02:18:57,00 --> 02:19:03,50 	they look at someone who leans against a brick wall across the park.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS117 	00:42:49,00 --> 00:42:56,50 	with a resigned expression, she leans on her hand and looks out the window beside her.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS186 	01:02:05,00 --> 01:02:11,50 	someone leans forward on the table and shovels in the last of the steak.
THE_SITTER.srt 	THE_SITTER_DVS21 	00:11:38,00 --> 00:11:47,50 	someone in pajamas rodrigo lights another sparkler, leans back in his chair and watches it burn.
THE_VOW.srt 	THE_VOW_DVS88 	00:07:27,00 --> 00:07:33,50 	his eyes squint merrily as he leans back laughing.
THE_VOW.srt 	THE_VOW_DVS164 	00:17:10,00 --> 00:17:14,50 	he leans against the machine.
THE_VOW.srt 	THE_VOW_DVS494 	01:09:41,00 --> 01:09:49,50 	leaning close, she brushes someones blanket off his shoulders, while letting her own fall to the floor.
THE_VOW.srt 	THE_VOW_DVS528 	01:13:48,00 --> 01:13:54,50 	someone wearily leans back on the sofa and stares at the ceiling.
THE_WATCH.srt 	THE_WATCH_DVS141 	00:27:14,00 --> 00:27:19,50 	someone leans over.
THE_WATCH.srt 	THE_WATCH_DVS166 	00:31:10,00 --> 00:31:14,50 	someone leans close on one side.
THE_WATCH.srt 	THE_WATCH_DVS280 	00:51:14,00 --> 00:51:21,50 	as the creature leans close to someone, someone smashes the gnome on its head.
THE_WATCH.srt 	THE_WATCH_DVS298 	00:53:37,00 --> 00:53:47,50 	as someone records him, someone leans the alien down in a dip.
THE_WATCH.srt 	THE_WATCH_DVS308 	00:54:30,00 --> 00:54:37,50 	someone gets up as it leans a mouthful of sharp teeth close to the youth.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS26 	00:05:26,00 --> 00:05:31,50 	he leans in too close.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS171 	00:43:18,00 --> 00:43:23,50 	someone tentatively leans in for a kiss.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS216 	00:54:00,00 --> 00:54:06,50 	someone turns back to his friends, leaning his hands on his knees.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS519 	01:54:53,00 --> 01:54:58,50 	as he meets her gaze again, she leans in closer.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS226 	00:42:06,00 --> 00:42:13,50 	leaning on someone, someone staggers drunkenly into a backroom where men play cards.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS397 	01:11:33,00 --> 01:11:40,50 	someone leans someone over a dining table and reaches into a center piece.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS458 	01:21:24,00 --> 01:21:38,50 	as the jeep comes up fast on the vw's unguarded side, someone grips the roll bar and leans out.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS513 	01:28:25,00 --> 01:28:30,50 	leaning on someone, the man obeys with effort.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS518 	01:28:58,00 --> 01:29:05,50 	leaning against the door frame, she steps forward and extends a hand.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS139 	00:17:29,00 --> 00:17:34,50 	she leans and someone mimes cracking an egg.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS205 	00:26:45,00 --> 00:26:50,50 	someone leans the stick against the bed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS212 	00:27:41,00 --> 00:27:45,50 	she leans in and they kiss.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS487 	00:53:25,00 --> 00:53:29,50 	he leans toward ziggy.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS746 	01:21:50,00 --> 01:21:58,50 	the winged man leans forward, resting his elbows the side of tess' bed as he gazes tenderly at her.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS840 	01:29:24,00 --> 01:29:31,50 	he leans toward someone with puckered lips but she gracefully recoils.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS882 	01:33:24,00 --> 01:33:29,50 	he bounces smoothly, leaning back.
TRUE_GRIT.srt 	TRUE_GRIT_DVS373 	01:17:43,00 --> 01:17:47,50 	he leans down to her.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS275 	00:26:40,00 --> 00:26:45,50 	she leans closer to someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS343 	00:40:14,00 --> 00:40:19,50 	she leans in coyly and caresses his chest.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS483 	00:59:15,00 --> 00:59:20,50 	he munches a snack, then leans forward.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS487 	01:01:19,00 --> 01:01:23,50 	someone leans back.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS530 	01:11:25,00 --> 01:11:30,50 	leaning against his chest, someone slinks up and down.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS544 	01:12:59,00 --> 01:13:06,50 	then leans against the wall with his hands in his pockets.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS555 	01:14:02,00 --> 01:14:12,50 	she leans against the door frame as they heatedly make out.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS653 	01:30:44,00 --> 01:30:51,50 	as someone leans her against the basket's edge, the pilot looks on anxiously.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS54 	00:10:18,00 --> 00:10:29,50 	turning thoughtfully to his son, someone sees him leaning against the bank of lockers with his arms crossed.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS173 	00:30:04,00 --> 00:30:08,50 	she leans on the wall.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS368 	00:58:51,00 --> 00:58:58,50 	someone leans away from buster's wide-open jaws.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS506 	01:18:04,00 --> 01:18:09,50 	someone leans heavily on a guard rail.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS540 	01:23:05,00 --> 01:23:12,50 	frowning, someone releases a deep breath and leans forward in her seat.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS551 	01:25:51,00 --> 01:25:57,50 	pressing his lips together, he leans against the banister railing.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS562 	01:27:11,00 --> 01:27:18,50 	the zoo owner takes a seat on the floor, leaning back against the wall.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS103 	00:09:49,00 --> 00:09:56,50 	perching in an armchair, someone leans back and peers out a window.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS336 	00:48:51,00 --> 00:48:56,50 	someone leans down and takes a look between her legs.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS343 	00:51:08,00 --> 00:51:13,50 	he leans forward to watch her go.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS367 	00:52:59,00 --> 00:53:04,50 	she leans back to peer around the statue.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS387 	00:55:30,00 --> 00:55:36,50 	leaning his elbows on a railing, he looks out the city lights.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS600 	01:21:25,00 --> 01:21:30,50 	she works her mouth, then leans over the banister.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS40 	00:03:03,00 --> 00:03:09,50 	she leans forward with an inviting smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS555 	00:52:13,00 --> 00:52:20,50 	they retreat behind the wall, then lean their bodies to look out the window again.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS916 	01:24:16,00 --> 01:24:20,50 	she leans toward him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS937 	01:26:29,00 --> 01:26:35,50 	leaning his elbows on his knees, someone folds his hand
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS983 	01:30:09,00 --> 01:30:16,50 	he leans in and kisses her on the lips, then gently raises his hand to her neck.
