21_JUMP_STREET.srt 	21_JUMP_STREET_DVS412 	01:09:40,00 --> 01:09:46,50 	as the last of the bikers rides off, someone rises from someone's lap.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS365 	00:55:06,00 --> 00:55:16,50 	the plane rises over another dune revealing as vast desert filled with wrecked ships and planes.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS393 	00:58:14,00 --> 00:58:18,50 	seemed to rise over the horizon.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS650 	01:28:02,00 --> 01:28:08,50 	someone climbs into the back of a car which rises into the air.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS707 	01:34:16,00 --> 01:34:22,50 	as the sun rises, someone stands on the deck of the karaboudjan with someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS52 	00:12:47,00 --> 00:12:54,50 	someone rises, smiling.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS270 	00:51:54,00 --> 00:52:08,50 	someone accepts, then rises from his chair.
THE_CALL.srt 	THE_CALL_DVS142 	00:11:37,00 --> 00:11:41,50 	she rises and rushes out.
THE_CALL.srt 	THE_CALL_DVS889 	01:08:54,00 --> 01:08:59,50 	her eyes dart and she rises from her chair.
THE_CALL.srt 	THE_CALL_DVS1110 	01:23:38,00 --> 01:23:44,50 	someone takes a step back as someone rises to face them.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS692 	01:37:54,00 --> 01:38:00,50 	rising from his chair, someone faces the group and gives them a nod.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS752 	01:44:56,00 --> 01:45:01,50 	someone rises from his chair and faces her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS236 	00:27:53,00 --> 00:27:58,50 	a doctor enters and she rises to her feet.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS284 	00:32:47,00 --> 00:32:52,50 	someone rises from his chair.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS367 	00:45:13,00 --> 00:45:18,50 	he rises and moves to the front of his desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS839 	01:35:16,00 --> 01:35:22,50 	his gaze rose past the paperbacks,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1215 	02:08:34,00 --> 02:08:38,50 	thick smoke rises from the wreck.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1222 	02:08:56,00 --> 02:09:03,50 	a fiery explosion erupts, rising over 50 feet high.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS208 	01:25:20,00 --> 01:25:23,50 	as the oars rise.
THE_VOW.srt 	THE_VOW_DVS350 	00:48:02,00 --> 00:48:06,50 	he rises.
THE_VOW.srt 	THE_VOW_DVS530 	01:13:53,00 --> 01:14:01,50 	yellow rose petals arc through the air as wedding guests shower them on someone and someone.
THE_WATCH.srt 	THE_WATCH_DVS263 	00:48:53,00 --> 00:49:01,50 	as someone and someone look on, a head rises into view and peeks above the leafy branches.
THE_WATCH.srt 	THE_WATCH_DVS298 	00:53:37,00 --> 00:53:47,50 	its hand rises into view and curls around someone's shoulder.
THE_WATCH.srt 	THE_WATCH_DVS386 	01:08:27,00 --> 01:08:32,50 	as someone slowly rises, someone grabs him.
THE_WATCH.srt 	THE_WATCH_DVS500 	01:28:38,00 --> 01:28:43,50 	someone rises to his feet.
THE_WATCH.srt 	THE_WATCH_DVS535 	01:32:41,00 --> 01:32:50,50 	in slow motion, someone's flaming costco id card, which bears his photo, rises into the night sky.
THE_WATCH.srt 	THE_WATCH_DVS537 	01:32:51,00 --> 01:32:58,50 	boxes spilling out foil-wrapped magnum condoms soar amid the rising smoke.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS104 	00:30:14,00 --> 00:30:19,50 	his gull-wing door slowly rises.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS128 	00:36:17,00 --> 00:36:22,50 	sitting beside her, he gives her a rose.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS325 	01:22:20,00 --> 01:22:27,50 	later, someone and someone lie on the floor beside her bed, surrounded by rose petals.
THOR.srt 	THOR_DVS133 	00:19:07,00 --> 00:19:13,50 	a pair of twin towers rises like horns from the massive building.
THOR.srt 	THOR_DVS324 	00:47:56,00 --> 00:48:03,50 	wearing a helmet with long horns that rise in a v, someone sits upon the throne.
THOR.srt 	THOR_DVS388 	00:57:47,00 --> 00:57:52,50 	he kicks the agent again as he tries to rise.
THOR.srt 	THOR_DVS557 	01:28:01,00 --> 01:28:09,50 	kneeling beside someone, someone glances toward the desert as a thin vapor trail rises then arcs toward them.
THOR.srt 	THOR_DVS571 	01:28:59,00 --> 01:29:05,50 	the destroyer rises to its feet and gazes upward.
THOR.srt 	THOR_DVS606 	01:32:34,00 --> 01:32:41,50 	someone steps away, then rises into the sky with the other asgardians in a streak of light.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS98 	00:11:07,00 --> 00:11:13,50 	magical smoke envelops his feet and rises up his entire body,
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS268 	00:33:55,00 --> 00:34:02,50 	he reaches the top and peeks over at the boy, whose chest rises rhythmically.
TRUE_GRIT.srt 	TRUE_GRIT_DVS446 	01:28:21,00 --> 01:28:27,50 	smoke rises from the fire between them as someone rises.
TRUE_GRIT.srt 	TRUE_GRIT_DVS446 	01:28:21,00 --> 01:28:27,50 	smoke rises from the fire between them as someone rises.
TRUE_GRIT.srt 	TRUE_GRIT_DVS467 	01:31:15,00 --> 01:31:22,50 	a dust cloud rises from the ground where someone's horse has fallen.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS353 	00:41:48,00 --> 00:41:53,50 	a batter swings and hits, and the crowd rises.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS360 	00:42:36,00 --> 00:42:42,50 	in the stands, someone rises with the rest of the crowd.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS629 	01:25:45,00 --> 01:25:50,50 	someone rises from his makeup chair.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS634 	01:27:53,00 --> 01:27:57,50 	the balloon rises.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS355 	00:57:13,00 --> 00:57:25,50 	the grizzly smells the window, then rises onto his hind legs and presses a paw to the glass.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS623 	01:32:34,00 --> 01:32:42,50 	someone imagines her opening her eyes, her chest rises and falls beneath the sheet.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS685 	01:34:21,00 --> 01:34:28,50 	as she drives off, our view rises to glimpse the reception tent across the pond.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS764 	01:41:52,00 --> 01:41:57,50 	skyscrapers rise from the heart of the city.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS398 	00:33:30,00 --> 00:33:39,50 	the yacht's anchor chains rise all around him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS400 	00:33:48,00 --> 00:33:54,50 	one of the yacht's anchors rises high above its deck.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS402 	00:33:55,00 --> 00:34:06,50 	it rises high as someone, someone, and the man in black stare.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS509 	00:46:30,00 --> 00:46:42,50 	as they flutter rapidly, the young woman rises into the air.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS552 	00:51:59,00 --> 00:52:04,50 	someone rises from his chair.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS609 	00:57:01,00 --> 00:57:07,50 	with a seductive look, she rises from a couch.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS682 	01:02:04,00 --> 01:02:09,50 	the others rise from their seats.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS958 	01:28:35,00 --> 01:28:42,50 	as he clutches at his pant leg, it rises, revealing a thick coat of blue hair.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS989 	01:30:25,00 --> 01:30:31,50 	our view rises up the side of her naked body, revealing the hard rippled blue skin on her thigh, her forearm, and the side of her breast.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1108 	01:40:05,00 --> 01:40:11,50 	the waist-high pillar rises from the blue-lit floor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1111 	01:40:14,00 --> 01:40:24,50 	two rods rise from the pillar and someone clutches them with both hands.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1125 	01:41:07,00 --> 01:41:12,50 	the submarine rises from the deep.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1128 	01:41:14,00 --> 01:41:20,50 	as the propellers rise, sea water rains down.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1130 	01:41:20,00 --> 01:41:27,50 	the entire craft leaves the sea and rises into the air alongside of the jet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1159 	01:43:26,00 --> 01:43:33,50 	a cloud of black smoke rises from the jet's burning wreckage.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1217 	01:48:37,00 --> 01:48:44,50 	someone rises from the floor and sends metal beams crashing through the chamber between them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1222 	01:49:14,00 --> 01:49:27,50 	someone rises from beast and faces his leader.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1332 	02:01:02,00 --> 02:01:08,50 	smoke rises from the crashed submarine and x-jet.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS61 	00:08:44,00 --> 00:08:51,50 	as the sun rises over distant skyscrapers, someone drives across a bridge out of town.
ZOMBIELAND.srt 	ZOMBIELAND_DVS105 	00:08:47,00 --> 00:08:52,50 	the narrator rises.
ZOMBIELAND.srt 	ZOMBIELAND_DVS453 	00:52:18,00 --> 00:52:28,50 	smoke rises to a crystal chandelier.
ZOMBIELAND.srt 	ZOMBIELAND_DVS764 	01:22:33,00 --> 01:22:40,50 	as the suv pulls away, our view rises over the sparkling lights of the amusement park.
ZOOKEEPER.srt 	ZOOKEEPER_DVS419 	01:31:21,00 --> 01:31:26,50 	of a spotlight and rises to his feet with the zoo.
