21_JUMP_STREET.srt 	21_JUMP_STREET_DVS498 	01:19:01,00 --> 01:19:08,50 	his mother looks out the window then shuts the laptop and gives her son a stern look.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS300 	00:45:28,00 --> 00:45:36,50 	someone shuts the door behind him, then draws a curtain covering the windows to the ward floor.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS380 	00:58:11,00 --> 00:58:16,50 	someone shuts his passenger door.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS430 	01:05:10,00 --> 01:05:15,50 	the teen shuts his eyes, frowning against the light.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS730 	01:43:03,00 --> 01:43:07,50 	someone shuts it and sighs.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS69 	00:05:33,00 --> 00:05:39,50 	as someone steps further in, she shuts the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS159 	00:16:50,00 --> 00:16:57,50 	she eyes him and shuts the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS222 	00:26:55,00 --> 00:27:01,50 	he shuts the fridge and shares a look with the hungry cat.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS246 	00:29:03,00 --> 00:29:08,50 	someone quickly shuts the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS313 	00:37:58,00 --> 00:38:09,50 	as the door slides shut a view through its window shows her enraged face.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS435 	00:51:53,00 --> 00:52:00,50 	someone shuts the door and positions himself in front of it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS451 	00:52:59,00 --> 00:53:04,50 	her hand bumps it shut as someone drags her back.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS572 	01:03:35,00 --> 01:03:43,50 	he shuts the door and lingers in front of it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS725 	01:20:35,00 --> 01:20:40,50 	she shuts her laptop then packs it up.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS727 	01:20:44,00 --> 01:20:49,50 	shutting the door behind him,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS765 	01:28:13,00 --> 01:28:20,50 	he shifts his contemplative gaze and shuts the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS824 	01:34:18,00 --> 01:34:24,50 	someone exits, someone shuts his eyes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS962 	01:46:37,00 --> 01:46:46,50 	as the manager marches out haughtily someone finishes flipping through the pages of a binder then shuts it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1256 	02:12:15,00 --> 02:12:21,50 	followed by a tall young man who shuts the railing gate.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1265 	02:13:18,00 --> 02:13:22,50 	she shuts the door.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS56 	00:15:48,00 --> 00:15:54,50 	someone stares at his mom for a moment, then squeezes his eyes shut.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS307 	01:50:54,00 --> 01:50:59,50 	he swallows and shuts his eyes.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS314 	01:51:46,00 --> 01:51:51,50 	shuts his laptop then face to.
THE_VOW.srt 	THE_VOW_DVS212 	00:27:09,00 --> 00:27:16,50 	at night, someone shuts her door for her as she gets out of his 80s era wagoneer.
THE_VOW.srt 	THE_VOW_DVS215 	00:27:25,00 --> 00:27:33,50 	as he shuts the door and carries their things, someone wrings her hands and ventures warily into the living room.
THE_VOW.srt 	THE_VOW_DVS221 	00:28:20,00 --> 00:28:27,50 	someone sees off a trendy couple, then withdraws into the apartment and shuts the door.
THE_VOW.srt 	THE_VOW_DVS227 	00:29:32,00 --> 00:29:37,50 	her gaze anguished, someone shuts her eyes.
THE_VOW.srt 	THE_VOW_DVS269 	00:34:17,00 --> 00:34:22,50 	someone offers a small wave and he shuts the door.
THE_VOW.srt 	THE_VOW_DVS510 	01:10:58,00 --> 01:11:05,50 	as she shuts the door, he turns away and steps around his car.
THE_VOW.srt 	THE_VOW_DVS579 	01:20:31,00 --> 01:20:40,50 	someone stares after her estranged husband, then takes a few deep steadying breaths and shuts her eyes.
THE_VOW.srt 	THE_VOW_DVS603 	01:23:43,00 --> 01:23:52,50 	outside, someone loads the box on top of another in the back of his wagoneer, then shuts the rear gate.
THE_WATCH.srt 	THE_WATCH_DVS19 	00:03:06,00 --> 00:03:14,50 	at night, the store's lights shut off and the metal security door rolls down.
THE_WATCH.srt 	THE_WATCH_DVS70 	00:08:13,00 --> 00:08:18,50 	someone steps out of his vehicle and shuts the door.
THE_WATCH.srt 	THE_WATCH_DVS237 	00:43:34,00 --> 00:43:39,50 	she shuts the door in his face.
THE_WATCH.srt 	THE_WATCH_DVS437 	01:19:44,00 --> 01:19:49,50 	now, on the street, someone's car doors shut.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS131 	00:25:39,00 --> 00:25:47,50 	someone shuts his laptop.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS209 	00:40:16,00 --> 00:40:24,50 	she passes stairs, steps through a doorway, and shuts it behind her.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS393 	01:11:09,00 --> 01:11:15,50 	someone shuts his eyes and bows his head.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS413 	01:14:41,00 --> 01:14:47,50 	someone shuts his laptop.
THOR.srt 	THOR_DVS548 	01:27:15,00 --> 01:27:19,50 	someone shuts her eyes and sobs.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS221 	00:28:22,00 --> 00:28:27,50 	someone paws at the air, her eyes still shut.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS369 	00:40:26,00 --> 00:40:36,50 	someone squeezes his eyes shut and pushes the magic generator button on his wand.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS644 	01:11:22,00 --> 01:11:27,50 	someone squeezes his eyes shut,
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS782 	01:24:11,00 --> 01:24:17,50 	his back still to someone's remorseful gaze, someone shuts his eyes and bites his lip.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS790 	01:24:40,00 --> 01:24:45,50 	someone shuts his eyes, shakes his head, and mutters a silent wish.
TRUE_GRIT.srt 	TRUE_GRIT_DVS259 	00:53:27,00 --> 00:53:31,50 	they shut the door.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS227 	00:21:14,00 --> 00:21:19,50 	someone closes the closet door, shutting herself in.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS350 	00:41:27,00 --> 00:41:31,50 	she shuts the door.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS553 	01:26:30,00 --> 01:26:34,50 	he shuts himself in his room.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS567 	01:27:34,00 --> 01:27:39,50 	clad in a red hooded sweatshirt and jeans, someone comes in and shuts the door.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS53 	00:03:57,00 --> 00:04:07,50 	she stares, then shuts her door.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS464 	01:04:59,00 --> 01:05:06,50 	later, they return to someone's apartment and someone shuts the door behind them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS228 	00:17:24,00 --> 00:17:35,50 	wearing a black someone ensemble of bra, panties, and garter belt, she breezes past a bouncer, who follows her dutifully into the casino and shuts the door.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS231 	00:17:39,00 --> 00:17:46,50 	at the end, someone shuts herself into an alcove with someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS466 	00:41:48,00 --> 00:41:53,50 	someone presses his lips shut and swallow
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS964 	01:28:55,00 --> 01:29:00,50 	he shuts the door behind him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1019 	01:31:59,00 --> 01:32:04,50 	someone shuts the lid, darkening our view.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS167 	00:32:09,00 --> 00:32:14,50 	someone shuts his door and starts his car.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS178 	00:34:20,00 --> 00:34:26,50 	someone's sister frowns after her then shakes her head and shuts the door.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS365 	01:09:28,00 --> 01:09:32,50 	she shuts the door.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS394 	01:16:39,00 --> 01:16:44,50 	someone shuts the door then follows her into his bedroom.
ZOMBIELAND.srt 	ZOMBIELAND_DVS170 	00:16:56,00 --> 00:17:02,50 	he tries to shut her out but she blocks the door with her foot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS352 	00:40:32,00 --> 00:40:39,50 	someone shuts the door, remaining seated, and someone smiles.
ZOMBIELAND.srt 	ZOMBIELAND_DVS411 	00:46:56,00 --> 00:47:04,50 	someone shuts the door as a group of zombies reach the vehicle.
ZOOKEEPER.srt 	ZOOKEEPER_DVS104 	00:21:49,00 --> 00:21:53,50 	his house and shuts the door.
ZOOKEEPER.srt 	ZOOKEEPER_DVS121 	00:26:27,00 --> 00:26:38,50 	someone enters the gorilla enclosure with a bucket and shuts the door behind him.
ZOOKEEPER.srt 	ZOOKEEPER_DVS135 	00:28:27,00 --> 00:28:34,50 	someone shuts the door, makes sure no one's watching, then approaches the bears.
