21_JUMP_STREET.srt 	21_JUMP_STREET_DVS308 	00:52:23,00 --> 00:52:31,50 	someone turns, revealing an ornate south-western knife handle sticking out of his back.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS253 	00:50:50,00 --> 00:51:05,50 	he unfolds it to reveal a delicate drop-pendant necklace.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS343 	01:11:26,00 --> 01:11:35,50 	the gray gases reveal the contours of the someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS421 	01:29:16,00 --> 01:29:22,50 	she opens her exotic eyes to reveal glowing pupils.
SOUL_SURFER.srt 	SOUL_SURFER_DVS176 	00:53:57,00 --> 00:54:07,50 	on a table on a grassy overlook, a man in a suit opens a case to reveal a realistic prosthetic arm.
SPARKLE_2012.srt 	SPARKLE_2012_DVS151 	00:26:03,00 --> 00:26:11,50 	she opens the box, revealing a small black and white picture of a ring where the ring should be.
SPARKLE_2012.srt 	SPARKLE_2012_DVS342 	00:55:58,00 --> 00:56:04,50 	sister removes her hat, revealing a black eye.
SPARKLE_2012.srt 	SPARKLE_2012_DVS642 	01:45:38,00 --> 01:45:45,50 	a partition rises, revealing a gospel choir of singers dressed in white robes.
SUPER_8.srt 	SUPER_8_DVS416 	01:14:41,00 --> 01:14:47,50 	someone opens the doors revealing film reels and other items.
SUPER_8.srt 	SUPER_8_DVS528 	01:29:01,00 --> 01:29:06,50 	they bust the doors open revealing a huge hole in the ground.
SUPER_8.srt 	SUPER_8_DVS626 	01:41:32,00 --> 01:41:40,50 	someone stares at the locket which opens revealing a photograph of someone's brunette mother holding someone as a baby.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS397 	00:58:53,00 --> 00:58:58,50 	shutters open along the side of the ship, revealing cannons.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS482 	01:09:31,00 --> 01:09:39,50 	with his sword, sir someone flicks away red someone's bandana, revealing someone's face.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS521 	01:13:54,00 --> 01:14:00,50 	the banner completely unfurls revealing a portrait of a blond haired woman.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS709 	01:34:28,00 --> 01:34:34,50 	the combined notes reveal a set of coordinates.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS721 	01:36:44,00 --> 01:36:51,50 	someone and someone move aside furniture, revealing a small hole in a back wall.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS72 	00:16:28,00 --> 00:16:39,50 	someone scans the pages revealing severe black and white renderings of faces, eyes and mouths.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS183 	00:36:30,00 --> 00:36:37,50 	she pulls her dress up over her head, revealing her bra.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS207 	00:39:11,00 --> 00:39:18,50 	the bus glides away to reveal someone alone on the shelter bench.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS214 	00:43:20,00 --> 00:43:34,50 	later, it opens revealing a disheveled someone clutching a drink.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS401 	01:15:50,00 --> 01:15:57,50 	someone opens the door, revealing a narrow four-post bed on a lavender carpet.
THE_CALL.srt 	THE_CALL_DVS954 	01:13:24,00 --> 01:13:30,50 	brushing away, she peels back a flap of material to reveal an inset handle.
THE_CALL.srt 	THE_CALL_DVS1004 	01:17:01,00 --> 01:17:09,50 	as he walks away from the door, our view shifts to reveal a pink twin bed covered in blood.
THE_CALL.srt 	THE_CALL_DVS1084 	01:21:27,00 --> 01:21:34,50 	the killer pulls back someone's shower cap, revealing a dotted marker line on her forehead.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS108 	00:19:00,00 --> 00:19:06,50 	it opens, revealing a sleepy, disheveled teen.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS110 	00:19:14,00 --> 00:19:21,50 	a partition slides down, revealing a groggy teen girl putting on glasses.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS125 	00:12:53,00 --> 00:12:59,50 	revealing an oversized shirt with a hem just below her hips.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS523 	00:57:40,00 --> 00:57:45,50 	the driver's window lowers, revealing his lover's face.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS860 	01:36:21,00 --> 01:36:26,50 	she steps away to reveal the camera's aim at the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1033 	01:51:00,00 --> 01:51:07,50 	he takes one from the knife block revealing its long smooth edged blade.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1134 	01:58:35,00 --> 01:58:43,50 	someone follows and turns on a light revealing a torture chamber with a white tiled center.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1367 	02:27:04,00 --> 02:27:11,50 	in an office, the disguised woman reveals the bonds inside one of the bags.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS245 	01:34:41,00 --> 01:34:44,50 	the door swings open, revealing someone.
THE_VOW.srt 	THE_VOW_DVS136 	00:14:20,00 --> 00:14:24,50 	she pulls up his shirt to reveal his toned back, and works it over his head.
THE_VOW.srt 	THE_VOW_DVS250 	00:31:26,00 --> 00:31:34,50 	now, a door opens to reveal someone wearing a chicago cubs sweatshirt and a sporty ponytail.
THE_WATCH.srt 	THE_WATCH_DVS374 	01:05:55,00 --> 01:06:00,50 	a curtain separates, revealing an orgy.
THE_WATCH.srt 	THE_WATCH_DVS429 	01:18:41,00 --> 01:19:01,50 	someone flips over a mattress, revealing a cache of weapons of all kinds.
THE_WATCH.srt 	THE_WATCH_DVS459 	01:22:44,00 --> 01:22:52,50 	the fat man falls, revealing an alien.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS96 	00:29:23,00 --> 00:29:31,50 	someone watches her slide her jacket off revealing her silky smooth bare shoulders.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS130 	00:24:20,00 --> 00:24:26,50 	each man turns his laptop to reveal a photo of the same woman.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS145 	00:28:59,00 --> 00:29:05,50 	he reveals a trapeze structure adorned with lights in the middle of a circus ring.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS228 	00:42:40,00 --> 00:42:45,50 	someone stands revealing his powerful build.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS270 	00:50:39,00 --> 00:50:45,50 	he unveils it, revealing klimt's romantic masterpiece, the kiss.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS290 	00:54:07,00 --> 00:54:14,50 	someone sweeps curtains of netting apart revealing men and boys on a paintball field.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS366 	01:07:46,00 --> 01:07:53,50 	he goes to an elevator door and answers it to reveal a sexy woman in a flight attendant's uniform.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS422 	01:15:44,00 --> 01:15:51,50 	a zoomed in image clarifies, revealing the shadowy face of the driver.
THOR.srt 	THOR_DVS39 	00:04:31,00 --> 00:04:39,50 	smoke clears to reveal a vast army of armored warriors wearing capes and holding spears.
THOR.srt 	THOR_DVS177 	00:23:50,00 --> 00:23:58,50 	someone's allies watch as the beast shakes its head free, revealing a wide mouth filled with fangs.
THOR.srt 	THOR_DVS497 	01:21:41,00 --> 01:21:47,50 	the destroyer's visor slides open revealing fiery light.
TRUE_GRIT.srt 	TRUE_GRIT_DVS230 	00:48:28,00 --> 00:48:34,50 	someone opens his coat revealing his pistol holstered at his side.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS256 	00:24:18,00 --> 00:24:25,50 	the bottom hem of her slip dangles around her neck, revealing her panties.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS611 	01:21:17,00 --> 01:21:24,50 	someone removes a hair extension to reveal her shorter natural length.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS57 	00:10:58,00 --> 00:11:06,50 	at home, someone opens the fridge to reveal stacks of plastic containers with notes on them.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS281 	00:44:43,00 --> 00:44:50,50 	he lifts the lid to reveal a writhing tangle of intertwined snakes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS636 	01:33:57,00 --> 01:34:05,50 	now, a blurred image sharpens into focus to reveal the gnarled branches of a california oak.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS95 	00:08:20,00 --> 00:08:26,50 	now a taxi pulls away revealing someone in a navy blue sheath dress.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS256 	00:35:15,00 --> 00:35:21,50 	she gets up, revealing a tiny t-shirt and boy-cut panties.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS753 	01:40:21,00 --> 01:40:34,50 	our view pulls back from the couple to reveal more of their romantic surroundings.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS44 	00:03:30,00 --> 00:03:38,50 	blue scales ripple over the figure in a wave as the stranger reveals her true form.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS88 	00:06:21,00 --> 00:06:29,50 	a glass wall beside them reveals a medical lab equipped with gruesome-looking tool
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS316 	00:24:10,00 --> 00:24:17,50 	someone turns his arm over revealing his concentration camp number.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS430 	00:37:50,00 --> 00:37:56,50 	revealing large feet with long prehensile toes,
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS531 	00:48:49,00 --> 00:48:55,50 	two sections of wall separate to reveal a secret doorway.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS820 	01:14:03,00 --> 01:14:10,50 	the remaining two converge to reveal someone aiming a gun on his estate.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS958 	01:28:35,00 --> 01:28:42,50 	as he clutches at his pant leg, it rises, revealing a thick coat of blue hair.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS989 	01:30:25,00 --> 01:30:31,50 	our view rises up the side of her naked body, revealing the hard rippled blue skin on her thigh, her forearm, and the side of her breast.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1027 	01:32:39,00 --> 01:32:48,50 	the bespectacled mutant steps out of the shadows to reveal his pale-blue face framed by a coat of blue fur.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1105 	01:39:55,00 --> 01:40:02,50 	now in the mirrored chamber, a doorway opens revealing someone's office.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1189 	01:46:15,00 --> 01:46:21,50 	behind him, the wall parts, revealing the secret chamber.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS183 	00:34:52,00 --> 00:35:00,50 	he opens the garage door revealing an elaborate contraption of pipes, hoses, tanks, valves, and buckets.
ZOMBIELAND.srt 	ZOMBIELAND_DVS422 	00:48:48,00 --> 00:48:53,50 	open doors reveal a home theater.
