21_JUMP_STREET.srt 	21_JUMP_STREET_DVS261 	00:45:23,00 --> 00:45:27,50 	someone kicks him away.
THOR.srt 	THOR_DVS534 	01:25:30,00 --> 01:25:37,50 	the destroyer kicks aside a car like a toy as someone stops a few feet away.
TRUE_GRIT.srt 	TRUE_GRIT_DVS546 	01:37:57,00 --> 01:38:01,50 	little blackie forages onward, kicking up dust in his wake.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS433 	00:53:03,00 --> 00:53:09,50 	someone kicks him under the table, upsetting her purse.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS305 	00:48:39,00 --> 00:48:45,50 	someone throws the bucket and drop kicks a snake.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS334 	00:54:19,00 --> 00:54:26,50 	outside, the flashy black pickup speeds away, kicking up a trail of dust.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS344 	00:55:57,00 --> 00:56:02,50 	he kicks over a large wooden barrel.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS421 	00:59:11,00 --> 00:59:21,50 	still in her tight cocktail dress, someone dances around the couch and faces someone, wildly waving her arms overhead and kicking her feet.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS440 	01:01:54,00 --> 01:01:59,50 	sitting on the floor, he kicks the ball.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS394 	00:33:11,00 --> 00:33:17,50 	the motorized boats near the yacht, kicking up spray in their wake.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS428 	00:37:45,00 --> 00:37:51,50 	he gives a little shrug of the head, then kicks off his shoes.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS617 	00:57:43,00 --> 00:57:48,50 	he kicks one as he races past.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1063 	01:35:46,00 --> 01:35:51,50 	someone kicks him.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS242 	00:46:16,00 --> 00:46:20,50 	someone kicks someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS135 	00:11:46,00 --> 00:11:51,50 	with a nod from someone, he kicks the rear door.
ZOMBIELAND.srt 	ZOMBIELAND_DVS382 	00:43:40,00 --> 00:43:49,50 	someone kicks a figurine.
ZOMBIELAND.srt 	ZOMBIELAND_DVS695 	01:16:30,00 --> 01:16:38,50 	at the drop ride, someone frantically kicks the zombie in the track suit clinging to her leg.
