21_JUMP_STREET.srt 	21_JUMP_STREET_DVS23 	00:03:03,00 --> 00:03:09,50 	with tearful eyes he notices the awkward teen watching him.
COLOMBIANA.srt 	COLOMBIANA_DVS479 	00:42:22,00 --> 00:42:29,50 	now someone warren watches, arms folded, as someone stands in someone's cell.
COLOMBIANA.srt 	COLOMBIANA_DVS508 	00:46:03,00 --> 00:46:10,50 	from around a corner, someone watches him swagger out, then approaches someone.
COLOMBIANA.srt 	COLOMBIANA_DVS531 	00:48:01,00 --> 00:48:07,50 	now we watch from overhead as she gets into the shower.
COLOMBIANA.srt 	COLOMBIANA_DVS551 	00:50:28,00 --> 00:50:35,50 	he halts and turns around to find someone watching him from a leather sofa.
COLOMBIANA.srt 	COLOMBIANA_DVS779 	01:15:28,00 --> 01:15:33,50 	mama watches her remove her sunglasses.
COLOMBIANA.srt 	COLOMBIANA_DVS788 	01:16:07,00 --> 01:16:15,50 	nearby, a car's side mirror reflects a man smoking a cigar as he watches someone's uncle through sunglasses.
COLOMBIANA.srt 	COLOMBIANA_DVS825 	01:19:39,00 --> 01:19:47,50 	she races to a door, unlocks it, and slips into a living room where a long haired man watches tv.
COLOMBIANA.srt 	COLOMBIANA_DVS832 	01:20:07,00 --> 01:20:16,50 	on the 11th floor, a swat officer slips a snake camera under a door while agent someone watches its video monitor.
COLOMBIANA.srt 	COLOMBIANA_DVS944 	01:31:02,00 --> 01:31:08,50 	as she loads an armored truck, she notices the dogs watching her.
COLOMBIANA.srt 	COLOMBIANA_DVS990 	01:34:41,00 --> 01:34:48,50 	someone watches from a safe distance as smoldering someone rains down.
COLOMBIANA.srt 	COLOMBIANA_DVS1022 	01:36:52,00 --> 01:36:59,50 	setting his tinted glasses on the shelf, someone watches the bathroom door open.
DEAR_JOHN.srt 	DEAR_JOHN_DVS25 	00:02:44,00 --> 00:02:55,50 	the bare-chested soldier watches the students halt at the end of the someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS66 	00:08:48,00 --> 00:08:53,50 	someone watches enviously from the fire pit.
DEAR_JOHN.srt 	DEAR_JOHN_DVS139 	00:22:38,00 --> 00:22:43,50 	she stops, watching him appreciatively.
DEAR_JOHN.srt 	DEAR_JOHN_DVS142 	00:22:55,00 --> 00:23:10,50 	from the shore, her female friend pouts beside someone, who sullenly watches the couple.
DEAR_JOHN.srt 	DEAR_JOHN_DVS163 	00:25:20,00 --> 00:25:29,50 	he watches his rival cross to the dune, then turns back to his game.
DEAR_JOHN.srt 	DEAR_JOHN_DVS198 	00:31:15,00 --> 00:31:33,50 	his father closes the oven door, crosses to an island counter and watches him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS202 	00:31:55,00 --> 00:32:05,50 	later, we watch through a doorway, as father and son eat at the dining room table.
DEAR_JOHN.srt 	DEAR_JOHN_DVS204 	00:32:12,00 --> 00:32:17,50 	someone watches him with a concerned expression.
DEAR_JOHN.srt 	DEAR_JOHN_DVS219 	00:34:26,00 --> 00:34:32,50 	with glistening eyes, someone watches him through her rear-view mirror.
DEAR_JOHN.srt 	DEAR_JOHN_DVS220 	00:34:29,00 --> 00:34:34,50 	she tearfully looks away, and watches the road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS238 	00:37:07,00 --> 00:37:12,50 	someone watches the helicopter take off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	reaching the entrance, someone joins his dark-haired buddy to watch television news coverage.
DEAR_JOHN.srt 	DEAR_JOHN_DVS297 	00:46:21,00 --> 00:46:27,50 	someone breathes heavily as he watches someone falling off the building.
DEAR_JOHN.srt 	DEAR_JOHN_DVS361 	00:56:41,00 --> 00:56:51,50 	someone watches her go, then swallows hard and hangs his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS400 	01:01:32,00 --> 01:01:47,50 	the soldier awkwardly watches his father, then turns to someone, who waits a few steps away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS410 	01:02:38,00 --> 01:02:43,50 	someone clenches his jaw as he watches her leave.
DEAR_JOHN.srt 	DEAR_JOHN_DVS418 	01:03:23,00 --> 01:03:31,50 	as the captain heads off, our bird's eye view of his men swings down to watch them collect their belongings.
DEAR_JOHN.srt 	DEAR_JOHN_DVS526 	01:15:42,00 --> 01:15:49,50 	later in a hospital hallway, someone watches his father through a window.
DEAR_JOHN.srt 	DEAR_JOHN_DVS667 	01:30:16,00 --> 01:30:23,50 	someone watches someone as she stands with someone at a snack kiosk.
DEAR_JOHN.srt 	DEAR_JOHN_DVS728 	01:37:09,00 --> 01:37:14,50 	he grinds his jaw as he watches her.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS43 	00:03:36,00 --> 00:03:46,50 	three office workers - someone, someone and someone - watch a man carry a box of things to a car in the car park below.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS278 	01:09:51,00 --> 01:09:58,50 	as someone watches her go, someone pulls up in someone's porsche boxster.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS305 	01:16:08,00 --> 01:16:12,50 	someone watches him for a moment
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS434 	01:46:54,00 --> 01:46:58,50 	someone and someone watch them.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS440 	01:47:37,00 --> 01:47:42,50 	someone stands close and watches them.
DISTRICT_9.srt 	DISTRICT_9_DVS296 	00:32:51,00 --> 00:32:55,50 	while people watch, robot's chest opens
DISTRICT_9.srt 	DISTRICT_9_DVS307 	00:33:48,00 --> 00:33:54,50 	the gang leader watches the witch raise an alien arm in a ritual.
DISTRICT_9.srt 	DISTRICT_9_DVS350 	00:38:42,00 --> 00:38:56,50 	someone peers at the canister, watching the doctors study it through the plastic bag.
DISTRICT_9.srt 	DISTRICT_9_DVS355 	00:39:20,00 --> 00:39:27,50 	someone and another man watch on a monitor as he drills into someone's arm.
DISTRICT_9.srt 	DISTRICT_9_DVS409 	00:45:02,00 --> 00:45:08,50 	someone watches her father rise from the couch and answer his phone.
DISTRICT_9.srt 	DISTRICT_9_DVS411 	00:45:13,00 --> 00:45:18,50 	he watches attentively.
DISTRICT_9.srt 	DISTRICT_9_DVS469 	00:54:11,00 --> 00:54:24,50 	he stands and watches several helicopters approach.
DISTRICT_9.srt 	DISTRICT_9_DVS538 	01:03:20,00 --> 01:03:26,50 	he watches someone show his son the mnu.
DISTRICT_9.srt 	DISTRICT_9_DVS678 	01:19:23,00 --> 01:19:28,50 	watching the spinning ship on television.
DISTRICT_9.srt 	DISTRICT_9_DVS689 	01:20:50,00 --> 01:21:00,50 	still unnoticed, the little alien watches them pass.
DISTRICT_9.srt 	DISTRICT_9_DVS693 	01:21:18,00 --> 01:21:40,50 	as someone watches from the transport, a rear door shuts, blocking his view.
DISTRICT_9.srt 	DISTRICT_9_DVS709 	01:23:17,00 --> 01:23:23,50 	to another window, watching the gangsters dragging someone away.
DISTRICT_9.srt 	DISTRICT_9_DVS741 	01:27:27,00 --> 01:27:47,50 	he watches as the mother ship makes its way across the sky.
DISTRICT_9.srt 	DISTRICT_9_DVS823 	01:36:59,00 --> 01:37:04,50 	he watches the module approach the mother ship.
DISTRICT_9.srt 	DISTRICT_9_DVS835 	01:38:20,00 --> 01:38:40,50 	in the module, someone's son watches lights blink on throughout the interior.
DISTRICT_9.srt 	DISTRICT_9_DVS837 	01:38:44,00 --> 01:38:59,50 	as we watch from behind the blasted brick wall, a caption reads - 74 hours after exposure.
DISTRICT_9.srt 	DISTRICT_9_DVS845 	01:39:57,00 --> 01:40:13,50 	from a bird's eye view, we watch the aliens dismember someone and devour his flesh.
DISTRICT_9.srt 	DISTRICT_9_DVS851 	01:40:52,00 --> 01:41:11,50 	someone watches with a heaving chest.
DISTRICT_9.srt 	DISTRICT_9_DVS851 	01:40:52,00 --> 01:41:11,50 	as we watch from a distant field, a wave of dust blast toward us.
DISTRICT_9.srt 	DISTRICT_9_DVS861 	01:42:00,00 --> 01:42:26,50 	we watch him from above.
EASY_A.srt 	EASY_A_DVS125 	00:39:37,00 --> 00:39:44,50 	a girl and guy watched slack-jawed.
EASY_A.srt 	EASY_A_DVS142 	00:44:06,00 --> 00:44:12,50 	she watches as someone plops down on a bench.
EASY_A.srt 	EASY_A_DVS223 	01:10:51,00 --> 01:10:58,50 	watching fondly, someone spies someone on the other side of a fish tank.
EASY_A.srt 	EASY_A_DVS286 	01:24:41,00 --> 01:24:49,50 	later she faces her webcam as her classmates, teachers, and family watch her webcast.
EASY_A.srt 	EASY_A_DVS292 	01:26:20,00 --> 01:26:26,50 	someone watches on a cellphone and a truck almost hits him.
EASY_A.srt 	EASY_A_DVS297 	01:26:35,00 --> 01:26:39,50 	mr., someone watches her go.
EASY_A.srt 	EASY_A_DVS302 	01:26:50,00 --> 01:26:59,50 	his beefy mocha skin boyfriend snuggles up behind him and they watch huckleberry finn on a laptop.
FLIGHT.srt 	FLIGHT_DVS243 	00:50:42,00 --> 00:50:46,50 	later that evening he sits, watching the news.
FLIGHT.srt 	FLIGHT_DVS362 	00:58:41,00 --> 00:58:45,50 	he watches, as someone loads items in the back of a car.
FLIGHT.srt 	FLIGHT_DVS391 	01:02:46,00 --> 01:02:52,50 	someone is laid back in the armchair, watching as someone's hands move up to cover his hand.
FLIGHT.srt 	FLIGHT_DVS401 	01:03:32,00 --> 01:03:38,50 	the next morning, someone watches someone as she briefly stirs in her sleep.
FLIGHT.srt 	FLIGHT_DVS409 	01:05:04,00 --> 01:05:11,50 	someone takes a pair of binoculars, and watches a woman step out of a black suv.
FLIGHT.srt 	FLIGHT_DVS491 	01:10:23,00 --> 01:10:29,50 	he watches a home video of his father and son playing football.
FLIGHT.srt 	FLIGHT_DVS493 	01:11:00,00 --> 01:11:04,50 	someone watches him.
FLIGHT.srt 	FLIGHT_DVS496 	01:11:25,00 --> 01:11:30,50 	she watches someone try to stand, and then fall.
FLIGHT.srt 	FLIGHT_DVS524 	01:15:38,00 --> 01:15:44,50 	someone stands in a dark suit, and watches the procession pass.
FLIGHT.srt 	FLIGHT_DVS581 	01:19:19,00 --> 01:19:24,50 	someone watches him, her brow creased and her eyes soft with sympathy.
FLIGHT.srt 	FLIGHT_DVS583 	01:19:32,00 --> 01:19:39,50 	someone leans against his car in a parking lot, and watches an airplane overhead.
FLIGHT.srt 	FLIGHT_DVS776 	01:38:02,00 --> 01:38:08,50 	a man watches someone from a parked car, and speaks into his cell phone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS66 	00:17:13,00 --> 00:17:24,50 	the boom box holder stands erect among the participants, as onlookers watch delightedly.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS97 	00:25:32,00 --> 00:25:38,50 	someone watches someone lip sync every word.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS102 	00:27:19,00 --> 00:27:24,50 	he watches her rear as he is sitting on the couch.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS134 	00:36:14,00 --> 00:36:19,50 	now they watch a mets game in their underwear.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS326 	01:26:55,00 --> 01:27:01,50 	someone swigs a beer watching their screen kiss.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS346 	01:32:15,00 --> 01:32:25,50 	through a wall of windows he watches his dad get pushed up a boarding ramp in a wheel chair.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS381 	01:39:43,00 --> 01:39:53,50 	watching the dancers twirl their partners all around her, someone allows an emotional smile.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS381 	01:39:43,00 --> 01:39:53,50 	someone stands watching her.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS77 	00:44:48,00 --> 00:44:52,50 	someone watches the video drinking.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS162 	01:28:59,00 --> 01:29:04,50 	now someone watches tv in his apartment.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS58 	00:09:57,00 --> 00:10:05,50 	in a cafe, someone sits alone at a table, watching a man in a grey suit take off his wedding ring.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS68 	00:11:11,00 --> 00:11:21,50 	the wavy haired man and his men watch from their own vehicles.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS72 	00:11:43,00 --> 00:11:54,50 	our view lurches backward in brief irregular bursts of fast motion as we watch a pair of black suvs pull out and follow them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS127 	00:20:31,00 --> 00:20:38,50 	he pauses, watching her.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS140 	00:22:31,00 --> 00:22:39,50 	on the left, we watch the mysterious man's moving lips.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS276 	00:42:42,00 --> 00:43:07,50 	someone watches the smoke ringed skeleton drop to one knee.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS282 	00:43:33,00 --> 00:43:46,50 	he watches the father affectionately touch his son's head then glances back at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS335 	00:50:43,00 --> 00:50:51,50 	watching from the truck, someone smiles.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS339 	00:51:13,00 --> 00:51:26,50 	glancing into the lunch box, he takes out an apple and watches the bright green fruit turn grey and crumble.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS443 	01:03:35,00 --> 01:03:49,50 	in the light of day, someone watches someone jump back from his kill.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS482 	01:10:20,00 --> 01:10:25,50 	they watch the guests convene outside.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS495 	01:12:12,00 --> 01:12:19,50 	she glances down then heads off and he turns to watch her go.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS527 	01:14:59,00 --> 01:15:10,50 	as he watches someone shooting his guards and acolytes, someone runs onto the stage and punches him out.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS538 	01:16:37,00 --> 01:16:45,50 	someone and someone watch the acolytes surround someone who struggles to stand in the gravel pit.
GREEN_ZONE.srt 	GREEN_ZONE_DVS48 	00:10:28,00 --> 00:10:32,50 	a petite blonde woman watches two cars approach.
GREEN_ZONE.srt 	GREEN_ZONE_DVS121 	00:28:46,00 --> 00:28:52,50 	they watch two men in suits head down the sidewalk.
GREEN_ZONE.srt 	GREEN_ZONE_DVS123 	00:28:57,00 --> 00:29:02,50 	someone watches the men get in their car.
GREEN_ZONE.srt 	GREEN_ZONE_DVS227 	00:56:27,00 --> 00:56:42,50 	beside them, a guard seated at a desk watches a basketball game on tv.
GREEN_ZONE.srt 	GREEN_ZONE_DVS334 	01:15:26,00 --> 01:15:46,50 	back at the alley, someone peeks around the corner and watches the chief pass a tall boxy bus.
GREEN_ZONE.srt 	GREEN_ZONE_DVS343 	01:17:38,00 --> 01:17:43,50 	someone watches smugly.
GREEN_ZONE.srt 	GREEN_ZONE_DVS380 	01:27:57,00 --> 01:28:04,50 	the humvee commander watches the water tower.
GREEN_ZONE.srt 	GREEN_ZONE_DVS465 	01:41:32,00 --> 01:41:45,50 	as he peruses the report, someone watches him coldly.
GREEN_ZONE.srt 	GREEN_ZONE_DVS470 	01:42:38,00 --> 01:42:51,50 	someone notices someone watching him from a doorway.
GROWN_UPS.srt 	GROWN_UPS_DVS145 	00:44:32,00 --> 00:44:42,50 	later, someone, someone, someone, and someone sit in chairs watching as someone leans over her car to fix it.
GROWN_UPS.srt 	GROWN_UPS_DVS230 	01:07:13,00 --> 01:07:19,50 	someone watches someone gesture to her breasts.
GROWN_UPS.srt 	GROWN_UPS_DVS293 	01:33:19,00 --> 01:33:35,50 	pressing his lips together, he shifts his gaze to bailey's wife, who watches hopefully.
HUGO.srt 	HUGO_DVS30 	00:03:39,00 --> 00:03:44,50 	the man releases a wind-up mouse, watches it scoot across the counter,
HUGO.srt 	HUGO_DVS140 	00:19:23,00 --> 00:19:30,50 	someone watches his father place a gear assembly into the automaton's chest.
HUGO.srt 	HUGO_DVS145 	00:20:07,00 --> 00:20:12,50 	someone watches him add another sketch.
HUGO.srt 	HUGO_DVS261 	00:37:46,00 --> 00:37:51,50 	someone watches the boy being lead to a policeman's paddy wagon.
HUGO.srt 	HUGO_DVS264 	00:38:24,00 --> 00:38:30,50 	someone scurries to another vent and watches someone give dance lessons.
HUGO.srt 	HUGO_DVS343 	00:52:04,00 --> 00:52:10,50 	someone wrings her hands as she watches someone.
HUGO.srt 	HUGO_DVS477 	01:09:33,00 --> 01:09:40,50 	people watching the movie duck or turn away.
HUGO.srt 	HUGO_DVS482 	01:10:39,00 --> 01:10:56,50 	people watch a movie.
HUGO.srt 	HUGO_DVS547 	01:21:38,00 --> 01:21:44,50 	someone watches her walk past an empty bench towards someone
HUGO.srt 	HUGO_DVS550 	01:21:52,00 --> 01:21:58,50 	someone slowly backs up behind the kiosk as he watches them leave.
HUGO.srt 	HUGO_DVS628 	01:31:15,00 --> 01:31:21,50 	someone holds one hand to her chest as she watches.
HUGO.srt 	HUGO_DVS663 	01:36:05,00 --> 01:36:11,50 	someone's mouth drops open as he watches the screen.
HUGO.srt 	HUGO_DVS693 	01:41:08,00 --> 01:41:18,50 	he watches as flames erupt through the props open mouth and consume it.
IN_TIME.srt 	IN_TIME_DVS26 	00:03:25,00 --> 00:03:31,50 	they watch their clocks tick rapidly on their free arms.
IN_TIME.srt 	IN_TIME_DVS67 	00:07:51,00 --> 00:07:59,50 	as someone leaves, someone watches the rich stranger and the minutemen.
IN_TIME.srt 	IN_TIME_DVS118 	00:14:05,00 --> 00:14:12,50 	someone pulls up his sleeve and watches his clock seconds tick away.
IN_TIME.srt 	IN_TIME_DVS137 	00:15:33,00 --> 00:15:39,50 	and watches the rapidly decreasing count.
IN_TIME.srt 	IN_TIME_DVS194 	00:20:31,00 --> 00:20:39,50 	someone gazes in at the bus's remaining passengers, then watches the vehicle glide away.
IN_TIME.srt 	IN_TIME_DVS232 	00:24:22,00 --> 00:24:29,50 	he slips his wrist into the cuff-like scanner and watches his clock's balance count down.
IN_TIME.srt 	IN_TIME_DVS276 	00:28:14,00 --> 00:28:21,50 	the auburn-haired young woman watches him from her table on a patio outside.
IN_TIME.srt 	IN_TIME_DVS281 	00:28:35,00 --> 00:28:41,50 	the auburn-haired young woman continues to watch with intrigued eyes.
IN_TIME.srt 	IN_TIME_DVS297 	00:30:28,00 --> 00:30:35,50 	he watches with an indifferent expression as the dealer lays out a fourth card.
IN_TIME.srt 	IN_TIME_DVS310 	00:32:12,00 --> 00:32:18,50 	someone watches the pot tick up to 900 years.
IN_TIME.srt 	IN_TIME_DVS355 	00:37:24,00 --> 00:37:30,50 	her parents watch vigilantly from the doorway.
IN_TIME.srt 	IN_TIME_DVS363 	00:38:07,00 --> 00:38:16,50 	at the timekeeper's headquarters, someone joins his men who watch video footage of someone's arrival at the party.
IN_TIME.srt 	IN_TIME_DVS370 	00:38:59,00 --> 00:39:04,50 	she watches him get in the water.
IN_TIME.srt 	IN_TIME_DVS498 	00:53:49,00 --> 00:53:54,50 	they watch their own clocks, then release each other.
IN_TIME.srt 	IN_TIME_DVS542 	00:58:31,00 --> 00:58:39,50 	she watches as his balance ticks back up to 16 hours, 9 minutes, and 59 seconds.
IN_TIME.srt 	IN_TIME_DVS599 	01:04:08,00 --> 01:04:23,50 	as the vehicle peels out, someone gets to his feet and watches it speed past.
IN_TIME.srt 	IN_TIME_DVS632 	01:07:25,00 --> 01:07:30,50 	now parked, they watch a news report.
IN_TIME.srt 	IN_TIME_DVS715 	01:16:21,00 --> 01:16:25,50 	now, someone watches the news.
IN_TIME.srt 	IN_TIME_DVS756 	01:19:58,00 --> 01:20:09,50 	the driver puts his own on top of it, watches his body clock tally the transfer of time, and welcomes them with a terse nod.
IN_TIME.srt 	IN_TIME_DVS816 	01:26:33,00 --> 01:27:01,50 	someone and the thugs lean forward, watching intently.
IN_TIME.srt 	IN_TIME_DVS816 	01:26:33,00 --> 01:27:01,50 	he watches his clock tick down to ten seconds.
IN_TIME.srt 	IN_TIME_DVS835 	01:28:24,00 --> 01:28:31,50 	they watch it as it ticks up from 33% to 37%.
IN_TIME.srt 	IN_TIME_DVS877 	01:33:00,00 --> 01:33:06,50 	someone takes a shaky breath as she watches from a doorway.
IN_TIME.srt 	IN_TIME_DVS945 	01:39:26,00 --> 01:39:31,50 	someone watches her own clock dip under one minute.
IN_TIME.srt 	IN_TIME_DVS962 	01:41:01,00 --> 01:41:09,50 	now, in someone's office, someone watches the time zone map, which lights up in a frenzy.
IN_TIME.srt 	IN_TIME_DVS966 	01:41:42,00 --> 01:41:49,50 	someone and three others watch the circulation map at their headquarters.
INSIDE_MAN.srt 	INSIDE_MAN_DVS23 	00:05:38,00 --> 00:05:52,50 	a potbellied security guard watches him pass.
INSIDE_MAN.srt 	INSIDE_MAN_DVS29 	00:06:42,00 --> 00:06:54,50 	as they wheel in the hand truck, at street level, the two guards watch the upper lobby from the top of the stairs.
INSIDE_MAN.srt 	INSIDE_MAN_DVS62 	00:16:58,00 --> 00:17:12,50 	the hostages watch
INSIDE_MAN.srt 	INSIDE_MAN_DVS188 	00:54:01,00 --> 00:54:10,50 	he watches the boy.
INSIDE_MAN.srt 	INSIDE_MAN_DVS318 	01:34:28,00 --> 01:34:43,50 	someone and someone watch the explosion grimly.
INSIDE_MAN.srt 	INSIDE_MAN_DVS354 	01:41:31,00 --> 01:41:40,50 	on one bus, the female robber, someone, watches more suspects file down the aisle.
INSIDE_MAN.srt 	INSIDE_MAN_DVS373 	01:47:35,00 --> 01:47:41,50 	he dismisses his aging barber and watches the man go.
IRON_MAN_2.srt 	IRON_MAN_2_DVS86 	00:17:08,00 --> 00:17:18,50 	at home, someone watches someone leave the hearing room on tv.
IRON_MAN_2.srt 	IRON_MAN_2_DVS126 	00:23:53,00 --> 00:23:59,50 	watching her, someone drinks chlorophyll from a sports bottle.
IRON_MAN_2.srt 	IRON_MAN_2_DVS164 	00:30:53,00 --> 00:31:11,50 	in the restaurant, pepper watches the cars race on tv.
IRON_MAN_2.srt 	IRON_MAN_2_DVS165 	00:31:09,00 --> 00:31:20,50 	watching from bleachers above the road, race fans lean over the fence and gawk as someone throws his helmet off and walks down the center of the road toward the approaching cars.
IRON_MAN_2.srt 	IRON_MAN_2_DVS166 	00:31:18,00 --> 00:31:54,50 	inside the restaurant, pepper, someone, and other patrons stand and watch someone on television.
IRON_MAN_2.srt 	IRON_MAN_2_DVS181 	00:34:03,00 --> 00:34:09,50 	glancing into the racecar's side mirror, he watches someone approach from behind.
IRON_MAN_2.srt 	IRON_MAN_2_DVS202 	00:37:23,00 --> 00:37:34,50 	inside the restaurant, someone smiles as he watches tv with the other customers.
IRON_MAN_2.srt 	IRON_MAN_2_DVS287 	00:53:19,00 --> 00:53:25,50 	frowning, she watches as someone bumps fists with the dark-haired deejay.
IRON_MAN_2.srt 	IRON_MAN_2_DVS301 	00:55:48,00 --> 00:55:55,50 	watching from the back of the room, someone, his nostrils flared, storms out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS388 	01:13:11,00 --> 01:13:16,50 	later, he watches the film on a projection screen.
IRON_MAN_2.srt 	IRON_MAN_2_DVS398 	01:14:37,00 --> 01:14:42,50 	someone watches the film, then thumbs through the notebook.
IRON_MAN_2.srt 	IRON_MAN_2_DVS421 	01:19:54,00 --> 01:19:59,50 	someone watches pepper as she walks out of the office.
IRON_MAN_2.srt 	IRON_MAN_2_DVS557 	01:38:31,00 --> 01:38:44,50 	in his control room at hammer industries, the smiling someone watches the mayhem on two large computer monitors.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	someone watches on a monitor as someone runs out of view.
IRON_MAN_2.srt 	IRON_MAN_2_DVS599 	01:43:23,00 --> 01:43:42,50 	someone watches security camera videos.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS59 	00:17:25,00 --> 00:17:39,50 	someone watches out of the corner of her eye as the older man whispers in the younger woman's ear.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS115 	00:35:09,00 --> 00:35:19,50 	she watches as he gets out of bed.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS211 	01:03:24,00 --> 01:03:33,50 	someone and someone eats soup served on trays as they watch oprah.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS220 	01:04:54,00 --> 01:05:08,50 	leaning her head back someone wistfully watches his thumb stroke her fingers.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS222 	01:05:11,00 --> 01:05:18,50 	someone beams fondly as he watches.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS260 	01:14:40,00 --> 01:14:44,50 	she watches someone through a window.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS261 	01:14:46,00 --> 01:14:52,50 	he watches her smile.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS364 	01:42:28,00 --> 01:42:41,50 	she watches as someone's sports car drives away passing a three-rail horse fence that lines the road.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS374 	01:44:02,00 --> 01:44:23,50 	from the hallway, someone watches someone tread into the room then peeks in after her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS402 	01:52:43,00 --> 01:53:01,50 	someone watches her.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS96 	00:20:35,00 --> 00:20:42,50 	he turns around to find someone snuggled up against him, watching him with a big creepy smile.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS101 	00:21:46,00 --> 00:21:52,50 	at home, someone watches scarface on his computer.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS105 	00:22:15,00 --> 00:22:21,50 	later, the family watches a movie together at a theater.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS111 	00:22:55,00 --> 00:23:00,50 	watching the movie, the twins crack up.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS200 	00:39:37,00 --> 00:39:45,50 	she notices someone watching her from across the court and furrows her brow in a quizzical expression.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS264 	00:52:16,00 --> 00:52:22,50 	grandma watches her eyes wide and round behind her glasses.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS378 	01:10:23,00 --> 01:10:29,50 	the body builders watch someone easily curl what they struggled with.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS95 	00:15:00,00 --> 00:15:07,50 	now they watch someone on tv.
