21_JUMP_STREET.srt 	21_JUMP_STREET_DVS374 	01:02:44,00 --> 01:02:52,50 	she gazes at him with doe-like eyes.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS251 	00:50:56,00 --> 00:51:00,50 	they all gaze skyward.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS95 	00:15:00,00 --> 00:15:07,50 	someone gazes at someone's delighted face.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS418 	01:21:26,00 --> 01:21:35,50 	facing him, someone fidgets with her cardigan as she gazes forlornly around the half-packed kitchen.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS608 	01:57:19,00 --> 01:57:28,50 	she sets it down on a ledge beneath the framed photograph, and gazes at the renowned chef's coy grin.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS236 	01:23:33,00 --> 01:23:39,50 	gazing into his eyes, someone softly nods.
KARATE_KID.srt 	KARATE_KID_DVS267 	00:24:26,00 --> 00:24:31,50 	outside, someone gazes after someone sympathetically.
KARATE_KID.srt 	KARATE_KID_DVS306 	00:27:33,00 --> 00:27:41,50 	gazing after her, someone flings the jacket up on its hook, with a broad sarcastic smile.
KARATE_KID.srt 	KARATE_KID_DVS317 	00:28:24,00 --> 00:28:30,50 	someone gazes after them and his shoulders sag.
KARATE_KID.srt 	KARATE_KID_DVS332 	00:30:03,00 --> 00:30:09,50 	someone gazes out into the house and spreads his arms.
KARATE_KID.srt 	KARATE_KID_DVS774 	01:05:23,00 --> 01:05:29,50 	someone gazes after someone suspiciously.
KARATE_KID.srt 	KARATE_KID_DVS783 	01:05:55,00 --> 01:06:02,50 	the children lock gazes from the wings, then meet behind the screen.
KARATE_KID.srt 	KARATE_KID_DVS914 	01:14:32,00 --> 01:14:48,50 	on a crowded passenger car, someone gazes out a window at the exotic landscape.
KARATE_KID.srt 	KARATE_KID_DVS926 	01:15:42,00 --> 01:15:50,50 	as he settles back into his seat, his student gazes solemnly at the character for chi.
KARATE_KID.srt 	KARATE_KID_DVS991 	01:20:47,00 --> 01:20:54,50 	someone gazes reverently upon the well, then faces someone, and nods toward the water.
KARATE_KID.srt 	KARATE_KID_DVS1081 	01:28:42,00 --> 01:29:00,50 	later, they gaze at the still water.
KARATE_KID.srt 	KARATE_KID_DVS1095 	01:30:43,00 --> 01:30:48,50 	later, they gaze out from a balcony.
KARATE_KID.srt 	KARATE_KID_DVS1471 	01:59:42,00 --> 01:59:49,50 	eyeing the platform, he finds someone gazing down on him with a stony expression.
KARATE_KID.srt 	KARATE_KID_DVS1483 	02:00:50,00 --> 02:00:56,50 	someone gazes down at someone remorsefully.
KARATE_KID.srt 	KARATE_KID_DVS1518 	02:03:15,00 --> 02:03:20,50 	his pupil gazes into his eyes, then gravely looks away.
KARATE_KID.srt 	KARATE_KID_DVS1522 	02:03:30,00 --> 02:03:35,50 	gazing up, someone takes a deep breath.
KARATE_KID.srt 	KARATE_KID_DVS1617 	02:11:35,00 --> 02:11:43,50 	the boy gracefully maintains the advanced position, gazing steadily at his opponent.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS110 	00:26:44,00 --> 00:26:51,50 	someone gazes toward someone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS220 	00:55:27,00 --> 00:55:35,50 	people on the ground hold their arms above their heads as they gaze skyward.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS224 	00:55:48,00 --> 00:55:54,50 	someone gazes downward.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS276 	01:04:07,00 --> 01:04:13,50 	as the stylist works, someone gazes into a mirror.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS341 	01:20:05,00 --> 01:20:11,50 	wearing her wedding gown, someone gazes at herself in a mirror.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS342 	01:20:14,00 --> 01:20:21,50 	someone stands aside and gazes at her sister then blinks and stares downward.
KNOCKED_UP.srt 	KNOCKED_UP_DVS27 	00:19:39,00 --> 00:19:44,50 	someone shakes his head gazing off.
KNOCKED_UP.srt 	KNOCKED_UP_DVS40 	00:26:14,00 --> 00:26:18,50 	someone gazes off.
KNOCKED_UP.srt 	KNOCKED_UP_DVS54 	00:33:18,00 --> 00:33:25,50 	someone gazes at the ceiling.
KNOCKED_UP.srt 	KNOCKED_UP_DVS66 	00:40:18,00 --> 00:40:23,50 	they gaze at her through blurry eyes.
KNOCKED_UP.srt 	KNOCKED_UP_DVS74 	00:43:47,00 --> 00:43:55,50 	he gazes into her eyes.
KNOCKED_UP.srt 	KNOCKED_UP_DVS171 	01:48:24,00 --> 01:48:30,50 	hangs up and gazes off.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS143 	00:51:28,00 --> 00:51:44,50 	someone gazes after him worriedly.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS26 	00:07:57,00 --> 00:08:16,50 	later, he gazes worriedly into the mirror, as he blots his skin with a towel.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS77 	00:19:45,00 --> 00:19:58,50 	the instructor gazes out at their expectant faces, then gives an indifferent shrug.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS281 	01:07:08,00 --> 01:07:12,50 	she gazes off.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS285 	01:08:00,00 --> 01:08:23,50 	sitting motionless, the teacher gazes after him, then bows her head as he exits.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS300 	01:11:31,00 --> 01:11:36,50 	someone removes his reading glasses, then gazes after her.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS57 	00:03:42,00 --> 00:03:50,50 	it reaches a high branch and gazes out over its surroundings.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS72 	00:06:16,00 --> 00:06:24,50 	boasting a broad chest, narrow waist and dark mustache, someone gazes out with a love-lorn smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS229 	00:31:31,00 --> 00:31:39,50 	he gazes back at the brilliant sun setting beyond his homeland on the horizon.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS351 	00:42:30,00 --> 00:42:47,50 	getting his bearings, he looks back at the lifeboat, then gazes out over the roiling water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS414 	00:48:15,00 --> 00:48:27,50 	turning her head over her shoulder, she gazes off over the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS539 	00:58:36,00 --> 00:58:41,50 	he gazes out over the vast expanse of motion-less sunlit sea.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS549 	00:59:15,00 --> 00:59:21,50 	someone gives a small nod and gazes into the animal's fierce amber eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS786 	01:20:24,00 --> 01:20:31,50 	someone gazes with bewildered eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS795 	01:21:37,00 --> 01:21:45,50 	someone quickly stands and moves around the raft gazing at a massive school of dolphins.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS810 	01:22:41,00 --> 01:22:47,50 	on his raft, someone gazes out with defeated eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS826 	01:24:09,00 --> 01:24:15,50 	the weakened teen gazes over the side of the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS849 	01:25:56,00 --> 01:26:02,50 	someone remains in a kneeling position, gazing over the side.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS878 	01:28:39,00 --> 01:28:53,50 	perched on the bow, someone gazes at the panicked animal as swirling water covers them both.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS888 	01:29:43,00 --> 01:29:51,50 	someone gazes longingly after it, then glances back at someone someone and grabs the canvas cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS916 	01:31:46,00 --> 01:31:55,50 	his blurry gaze shifts into focus revealing someone someone, emaciated and lying on the bench with one arm dangling.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS949 	01:34:20,00 --> 01:34:26,50 	he gazes up with barely comprehending eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1085 	01:50:20,00 --> 01:50:26,50 	the older someone leans back with his arms folded and gazes off.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1108 	01:56:10,00 --> 01:56:16,50 	the writer gazes at the mild mannered older man.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1125 	01:58:43,00 --> 01:58:50,50 	now the teenage someone floats on the ocean gazing toward us.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS45 	00:19:11,00 --> 00:19:21,50 	gazing out the window, someone lowers his phone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS71 	00:25:40,00 --> 00:25:44,50 	someone gazes at her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS130 	00:30:53,00 --> 00:31:01,50 	someone stands at the other side of it, his hand in his pockets, gazing down at the floor.
MORNING_GLORY.srt 	MORNING_GLORY_DVS257 	00:58:23,00 --> 00:58:27,50 	they both gaze into the camera.
MORNING_GLORY.srt 	MORNING_GLORY_DVS285 	01:02:12,00 --> 01:02:17,50 	someone glances up at her as she gazes ahead,
MORNING_GLORY.srt 	MORNING_GLORY_DVS303 	01:06:49,00 --> 01:06:56,50 	someone gazes down miserably.
MORNING_GLORY.srt 	MORNING_GLORY_DVS398 	01:27:06,00 --> 01:27:13,50 	he nods pensively and gazes ahead.
MORNING_GLORY.srt 	MORNING_GLORY_DVS418 	01:30:37,00 --> 01:30:44,50 	someone stands gazing in from outside.
MORNING_GLORY.srt 	MORNING_GLORY_DVS441 	01:34:21,00 --> 01:34:29,50 	he gazes in through the window, his craggy face set in its usual curmudgeonly expression.
MORNING_GLORY.srt 	MORNING_GLORY_DVS504 	01:41:47,00 --> 01:41:52,50 	someone gazes down the corridor
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS91 	00:13:34,00 --> 00:13:39,50 	someone stands upright, gazing at it.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS108 	00:16:41,00 --> 00:16:46,50 	he gazes at the corner table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS239 	00:34:56,00 --> 00:35:00,50 	someone meets the penguins gaze.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS504 	01:00:58,00 --> 01:01:04,50 	someone holds his kids tighter as he gazes at the tiny bird.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS571 	01:08:05,00 --> 01:08:12,50 	his smile fades as he gazes around the immaculate living room.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS582 	01:09:45,00 --> 01:09:52,50 	later, he gazes sadly at his laptop as he clicks through photos of the penguins.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS138 	00:31:32,00 --> 00:31:37,50 	the someone gazes at the children's window.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS264 	00:58:24,00 --> 00:58:31,50 	someone gazes sadly as someone hikes toward them.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS467 	01:35:35,00 --> 01:35:56,50 	someone gazes after her tearfully, then faces the children with a sobbing breath.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS138 	00:23:17,00 --> 00:23:22,50 	they gaze at each other for a moment,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS154 	00:25:22,00 --> 00:25:28,50 	she gazes into adams eyes.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS377 	01:09:21,00 --> 01:09:26,50 	they gaze at each other.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS120 	00:30:54,00 --> 00:31:02,50 	now we gaze out over atlanta's skyscrapers which stand interwoven with thick sections of woodlands.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS183 	00:45:13,00 --> 00:45:22,50 	on the mound, someone gazes intently at his bully who scowls.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS181 	00:41:15,00 --> 00:41:23,50 	the satyr meets his friends gaze and nods.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS304 	01:15:58,00 --> 01:16:04,50 	he reaches a crowded video game arcade and pauses, gazing about.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS360 	01:29:28,00 --> 01:29:34,50 	then holds him out at arm's length and gazes tearfully at him.
PROMETHEUS.srt 	PROMETHEUS_DVS256 	00:24:27,00 --> 00:24:35,50 	we gaze down on the someone as it progresses past jagged blades of rock.
PROMETHEUS.srt 	PROMETHEUS_DVS394 	00:39:47,00 --> 00:39:53,50 	as someone gazes slack-jawed at the humanoid statue.
PROMETHEUS.srt 	PROMETHEUS_DVS529 	00:59:02,00 --> 00:59:09,50 	gazing into her eyes he gives her a tender kiss and rubs her chest.
PROMETHEUS.srt 	PROMETHEUS_DVS594 	01:06:08,00 --> 01:06:14,50 	riding behind the transport, someone halts and gazes after it as it passes through.
PROMETHEUS.srt 	PROMETHEUS_DVS694 	01:13:59,00 --> 01:14:07,50 	he releases the model of earth, letting it float back up again and gazes after it ardently.
PROMETHEUS.srt 	PROMETHEUS_DVS739 	01:19:50,00 --> 01:19:56,50 	as someone shifts to lie on her back, someone gazes down at her.
PROMETHEUS.srt 	PROMETHEUS_DVS835 	01:30:29,00 --> 01:30:34,50 	gazing thoughtfully, she covers her mouth.
PROMETHEUS.srt 	PROMETHEUS_DVS1004 	01:49:51,00 --> 01:49:59,50 	pausing at its threshold, she raises the axe and gazes down a brief passageway ending in a sealed door with two small windows.
PROMETHEUS.srt 	PROMETHEUS_DVS1048 	01:54:20,00 --> 01:54:24,50 	gazing tenderly at it, someone gently straightens the chain.
PROMETHEUS.srt 	PROMETHEUS_DVS1055 	01:55:12,00 --> 01:55:19,50 	his head lies on the floor by her feet, gazing up at her placidly.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS48 	00:08:08,00 --> 00:08:30,50 	as someone turns and walks away from the farmhouse, the woman continues to gaze after him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS55 	00:09:38,00 --> 00:09:45,50 	the shooter gazes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS109 	00:18:33,00 --> 00:18:44,50 	now, a fedora sits on a burgundy leather couch by someone who gazes off thoughtfully.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS132 	00:24:27,00 --> 00:24:33,50 	someone gazes off shyly, then finds her lovely face.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS148 	00:27:24,00 --> 00:27:30,50 	someone and someone lock gazes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS165 	00:30:38,00 --> 00:30:45,50 	someone gazes out a window at a neighboring high-rise, then faces his men.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS181 	00:34:30,00 --> 00:34:40,50 	they gaze into each other's eyes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS190 	00:36:26,00 --> 00:36:33,50 	someone gazes dreamily at him and he gives her another smile.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS264 	00:50:19,00 --> 00:50:37,50 	someone massages his wrists, gazing off.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS505 	01:35:06,00 --> 01:35:20,50 	he gazes downward.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS518 	01:37:58,00 --> 01:38:04,50 	the agents abruptly gaze out the door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS520 	01:38:11,00 --> 01:38:22,50 	as someone gazes at them, his eyes water and he works his lips.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS530 	01:39:28,00 --> 01:39:36,50 	someone gazes at her and brushes her dark hair aside to reveal her big eyes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS587 	01:49:25,00 --> 01:49:31,50 	he takes her hand and gazes into her eyes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS591 	01:49:52,00 --> 01:49:58,50 	she gets in back and gazes at the unseen driver.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS631 	01:58:52,00 --> 01:59:03,50 	gazing across the street, he shakes his head.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS647 	02:01:39,00 --> 02:01:45,50 	someone gazes at the screen with a boyish smirk.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS649 	02:02:12,00 --> 02:02:37,50 	someone gazes at her with a knitted brow and clenched jaw.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS650 	02:02:34,00 --> 02:02:57,50 	someone turns, gazing toward the cinema lobby.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS702 	02:10:54,00 --> 02:10:58,50 	young woman gazes off with a solemn
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS57 	00:16:14,00 --> 00:16:25,50 	as his brawny opponent stares at the ground, someone locks gazes with the monarch.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS64 	00:18:10,00 --> 00:18:23,50 	his dark, deep set eyes gazing from his helmet.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS123 	00:32:10,00 --> 00:32:23,50 	as she mounts a dark horse, the father gazes wearily at her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS249 	00:57:06,00 --> 00:57:15,50 	someone draws it halfway from its sheath, his eyes gazing off tearfully.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS265 	01:01:41,00 --> 01:01:45,50 	averts her eyes from the archers gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS318 	01:16:43,00 --> 01:16:59,50 	a fiery glow illuminating her noble features as she gazes downward.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS374 	01:32:50,00 --> 01:32:59,50 	a younger someone gazes solemnly.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS386 	01:34:46,00 --> 01:34:57,50 	to leaded glass window and gazes out through the diamond shaped panes.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS413 	01:43:51,00 --> 01:43:56,50 	someone gazes sorrowfully.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS456 	01:53:15,00 --> 01:53:39,50 	he gazes down at the noble woman who smiles at him serenely.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS204 	00:34:11,00 --> 00:34:17,50 	they gaze into each other's eyes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS365 	00:59:15,00 --> 00:59:20,50 	she gazes out at the view as he shuffles over to her.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS677 	01:38:07,00 --> 01:38:14,50 	the young woman gazes up at him.
SALT.srt 	SALT_DVS20 	00:03:29,00 --> 00:03:38,50 	the blonde woman gazes stoically at the unshaven man.
SALT.srt 	SALT_DVS254 	00:43:39,00 --> 00:44:13,50 	gazing wistfully at it, someone remembers swearing in as a cia agent.
SALT.srt 	SALT_DVS275 	00:48:20,00 --> 00:48:35,50 	on a mezzanine balcony, someone gazes down on the nave as the president moves toward a podium.
SALT.srt 	SALT_DVS352 	01:02:43,00 --> 01:02:58,50 	someone gazes up at her.
SALT.srt 	SALT_DVS532 	01:30:49,00 --> 01:31:09,50 	someone gazes listlessly out the window.
SANCTUM.srt 	SANCTUM_DVS106 	00:21:32,00 --> 00:21:37,50 	last rock and gazes into a dark passageway.
SANCTUM.srt 	SANCTUM_DVS178 	00:37:25,00 --> 00:37:32,50 	someone gazes around.
SANCTUM.srt 	SANCTUM_DVS332 	01:06:18,00 --> 01:06:27,50 	he looks at someone who sadly gazes at the floor.
SANCTUM.srt 	SANCTUM_DVS532 	01:38:37,00 --> 01:38:45,50 	under the green illumination of the glow stick, the young man blinks, gazing sadly.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS56 	00:03:57,00 --> 00:04:01,50 	now, we gaze out over the city.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS64 	00:04:49,00 --> 00:04:57,50 	we gaze past the oriental pearl tower and the adjacent huangpu river to the hazy city.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS101 	00:07:09,00 --> 00:07:15,50 	someone slips past her, gazing after the older woman.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS127 	00:08:28,00 --> 00:08:32,50 	someone beams softly, folds the note shut, and gazes out the window with a hopeful smile.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS260 	00:17:52,00 --> 00:17:58,50 	someone gazes across the table at someone's paper.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS284 	00:19:06,00 --> 00:19:13,50 	in the present, someone sits at someone's bedside, gazing at her unconscious friend.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS439 	00:29:10,00 --> 00:29:16,50 	she gazes at the writing on the spread panels of one.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS458 	00:30:11,00 --> 00:30:16,50 	someone gazes at the projection.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS552 	00:36:57,00 --> 00:37:02,50 	someone gazes thoughtfully at the message,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS685 	00:44:45,00 --> 00:44:51,50 	someone holds her father tight and gazes off thoughtfully.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1000 	01:05:23,00 --> 01:05:29,50 	now, we gaze at a shanghai freeway from a distance.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1132 	01:17:03,00 --> 01:17:09,50 	she pauses at the threshold, gazing out over the countryside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1353 	01:32:44,00 --> 01:32:50,50 	gazing up at her, someone's daughter grimaces woefully.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1365 	01:33:20,00 --> 01:33:25,50 	someone gazes off sadly.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1382 	01:34:08,00 --> 01:34:15,50 	she gently squeezes someone's fingers as she gazes at the ailing woman.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1400 	01:35:11,00 --> 01:35:20,50 	she gazes at someone, who lies peacefully by with her eyes closed and her hands folded on her stomach.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1439 	01:37:40,00 --> 01:37:47,50 	someone gazes out into a balcony where she imagines someone and someone at a table doing embroidery together.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1450 	01:38:22,00 --> 01:38:26,50 	someone gazes at her sister,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS243 	00:48:02,00 --> 00:48:13,50 	someone gazes wistfully after the departing train.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS450 	01:35:29,00 --> 01:35:36,50 	she gazes up at her wincing lover.
SOUL_SURFER.srt 	SOUL_SURFER_DVS26 	00:05:24,00 --> 00:05:29,50 	sitting on her bed, someone gazes out a window as she plays her ukulele.
SOUL_SURFER.srt 	SOUL_SURFER_DVS87 	00:28:31,00 --> 00:28:43,50 	she gazes ahead, lips parted.
SOUL_SURFER.srt 	SOUL_SURFER_DVS98 	00:35:14,00 --> 00:35:19,50 	he hand around her shoulder, someone gazes upward.
SOUL_SURFER.srt 	SOUL_SURFER_DVS157 	00:46:51,00 --> 00:47:02,50 	someone gazes after the father as he follows his sons away.
SOUL_SURFER.srt 	SOUL_SURFER_DVS200 	01:06:15,00 --> 01:06:20,50 	someone gazes willfully at the three eager girls.
SOUL_SURFER.srt 	SOUL_SURFER_DVS247 	01:14:29,00 --> 01:14:55,50 	gazing at the ravaged town, she struggles to remain composed.
SOUL_SURFER.srt 	SOUL_SURFER_DVS308 	01:32:34,00 --> 01:32:38,50 	paddles over to the other finalists as they gaze.
SPARKLE_2012.srt 	SPARKLE_2012_DVS36 	00:06:44,00 --> 00:06:53,50 	gazing out the window, she smiles at the filmore marquee which reads, "msomeone gaye, saturday 9:00 pm."
SPARKLE_2012.srt 	SPARKLE_2012_DVS146 	00:25:04,00 --> 00:25:09,50 	he gazes into her eyes.
SPARKLE_2012.srt 	SPARKLE_2012_DVS319 	00:52:43,00 --> 00:52:51,50 	turning around, she gazes up at her two remaining daughters, who glare down and promptly retreat into the bedroom.
SPARKLE_2012.srt 	SPARKLE_2012_DVS604 	01:39:11,00 --> 01:39:17,50 	pulling back, he gazes solemnly into her eyes.
SUPER_8.srt 	SUPER_8_DVS31 	00:03:58,00 --> 00:04:04,50 	someone gazes down at the necklace in his hand, and closes the locket.
SUPER_8.srt 	SUPER_8_DVS190 	00:31:53,00 --> 00:31:58,50 	they gazed down at the train crash site far below.
SUPER_8.srt 	SUPER_8_DVS210 	00:36:10,00 --> 00:36:17,50 	the sheriff lifts his head and gazes around himself then takes a few steps toward the road.
SUPER_8.srt 	SUPER_8_DVS244 	00:41:47,00 --> 00:41:53,50 	the people drift away as someone walks to the front of the lot and gazes into the street
SUPER_8.srt 	SUPER_8_DVS249 	00:42:13,00 --> 00:42:18,50 	he gazes around the area.
SUPER_8.srt 	SUPER_8_DVS303 	00:54:17,00 --> 00:54:21,50 	someone gazes into the distance.
SUPER_8.srt 	SUPER_8_DVS378 	01:07:47,00 --> 01:07:53,50 	standing in front of the projector, someone gazes at images on someone's shirt.
SUPER_8.srt 	SUPER_8_DVS426 	01:17:16,00 --> 01:17:24,50 	someone and the others gaze at the classroom door, armed soldiers burst into the room.
SUPER_8.srt 	SUPER_8_DVS472 	01:22:24,00 --> 01:22:31,50 	lying a mid-broken glass someone gazes at the dead soldier beside him and stands.
SUPER_8.srt 	SUPER_8_DVS529 	01:29:05,00 --> 01:29:11,50 	they gaze into the hole which leads straight down.
SUPER_8.srt 	SUPER_8_DVS544 	01:31:13,00 --> 01:31:20,50 	they gaze into the chamber which is filled to electric wiring, other equipment and batteries.
SUPER_8.srt 	SUPER_8_DVS584 	01:36:15,00 --> 01:36:20,50 	reaching a dead end they turn and gazed down the empty tunnel.
SUPER_8.srt 	SUPER_8_DVS591 	01:36:52,00 --> 01:36:57,50 	someone gazes up at the creature.
SUPER_8.srt 	SUPER_8_DVS620 	01:40:54,00 --> 01:41:00,50 	still hugging his own father someone gazes up at the ship.
SUPER_8.srt 	SUPER_8_DVS636 	01:42:41,00 --> 01:42:48,50 	on a sidewalk, someone hobbles along and holds onto someone as they gaze up at the ship.
SUPER_8.srt 	SUPER_8_DVS640 	01:43:04,00 --> 01:43:09,50 	still gazing skyward they both smile.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS117 	00:17:41,00 --> 00:17:49,50 	someone gazes around at ransacked furniture and broken items.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS392 	00:58:11,00 --> 00:58:16,50 	as someone gazes over the rolling desert, a ship's mast
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS426 	01:01:30,00 --> 01:01:35,50 	in the desert someone gazes skyward.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS492 	01:10:55,00 --> 01:11:02,50 	kneeling on the mast, someone gazes up as gold and jewels shower down around him.
